"","Statistic","Year","Crop.Type","value"
"129","Cereal Seeds (000 Tonnes)","2005","Wheat",19
"130","Cereal Losses (000 Tonnes)","2005","Wheat",59
"131","Cereal Feeding Stuffs (000 Tonnes)","2005","Wheat",968
"132","Cereal Products for Industrial Use (000 Tonnes)","2005","Wheat",1
"133","Cereal Seeds (000 Tonnes)","2006","Wheat",18
"134","Cereal Losses (000 Tonnes)","2006","Wheat",28
"135","Cereal Feeding Stuffs (000 Tonnes)","2006","Wheat",976
"136","Cereal Products for Industrial Use (000 Tonnes)","2006","Wheat",1
"137","Cereal Seeds (000 Tonnes)","2007","Wheat",17
"138","Cereal Losses (000 Tonnes)","2007","Wheat",25
"139","Cereal Feeding Stuffs (000 Tonnes)","2007","Wheat",897
"140","Cereal Products for Industrial Use (000 Tonnes)","2007","Wheat",1
"141","Cereal Seeds (000 Tonnes)","2008","Wheat",22
"142","Cereal Losses (000 Tonnes)","2008","Wheat",23
"143","Cereal Feeding Stuffs (000 Tonnes)","2008","Wheat",683
"144","Cereal Products for Industrial Use (000 Tonnes)","2008","Wheat",1
"145","Cereal Seeds (000 Tonnes)","2009","Wheat",17
"146","Cereal Losses (000 Tonnes)","2009","Wheat",31
"147","Cereal Feeding Stuffs (000 Tonnes)","2009","Wheat",1058
"148","Cereal Products for Industrial Use (000 Tonnes)","2009","Wheat",1
"149","Cereal Seeds (000 Tonnes)","2010","Wheat",16
"150","Cereal Losses (000 Tonnes)","2010","Wheat",22
"151","Cereal Feeding Stuffs (000 Tonnes)","2010","Wheat",804
"152","Cereal Products for Industrial Use (000 Tonnes)","2010","Wheat",1
"153","Cereal Seeds (000 Tonnes)","2011","Wheat",19
"154","Cereal Losses (000 Tonnes)","2011","Wheat",21
"155","Cereal Feeding Stuffs (000 Tonnes)","2011","Wheat",792
"156","Cereal Products for Industrial Use (000 Tonnes)","2011","Wheat",0
"157","Cereal Seeds (000 Tonnes)","2012","Wheat",20
"158","Cereal Losses (000 Tonnes)","2012","Wheat",29
"159","Cereal Feeding Stuffs (000 Tonnes)","2012","Wheat",760
"160","Cereal Products for Industrial Use (000 Tonnes)","2012","Wheat",0
"161","Cereal Seeds (000 Tonnes)","1993","Barley",27
"162","Cereal Losses (000 Tonnes)","1993","Barley",75
"163","Cereal Feeding Stuffs (000 Tonnes)","1993","Barley",581
"164","Cereal Products for Industrial Use (000 Tonnes)","1993","Barley",177
"165","Cereal Seeds (000 Tonnes)","1994","Barley",26
"166","Cereal Losses (000 Tonnes)","1994","Barley",62
"167","Cereal Feeding Stuffs (000 Tonnes)","1994","Barley",607
"168","Cereal Products for Industrial Use (000 Tonnes)","1994","Barley",142
"169","Cereal Seeds (000 Tonnes)","1995","Barley",27
"170","Cereal Losses (000 Tonnes)","1995","Barley",81
