"","Statistic","Year","Fish.and.Fish.Product","value"
"171","Weight of External Trade of Fish (Exports) (Tonnes)","2000","Lobster",262
"172","Value of External Trade of Fish (Exports) (Euro Thousand)","2000","Lobster",4570
"173","Weight of External Trade of Fish (Exports) (Tonnes)","2001","Lobster",312
"174","Value of External Trade of Fish (Exports) (Euro Thousand)","2001","Lobster",5281
"175","Weight of External Trade of Fish (Exports) (Tonnes)","2002","Lobster",256
"176","Value of External Trade of Fish (Exports) (Euro Thousand)","2002","Lobster",4303
"177","Weight of External Trade of Fish (Exports) (Tonnes)","2003","Lobster",299
"178","Value of External Trade of Fish (Exports) (Euro Thousand)","2003","Lobster",4762
"179","Weight of External Trade of Fish (Exports) (Tonnes)","2004","Lobster",255
"180","Value of External Trade of Fish (Exports) (Euro Thousand)","2004","Lobster",4523
"181","Weight of External Trade of Fish (Exports) (Tonnes)","1996","Mackerel and Horse Mackerel",169773
"182","Value of External Trade of Fish (Exports) (Euro Thousand)","1996","Mackerel and Horse Mackerel",96919
"183","Weight of External Trade of Fish (Exports) (Tonnes)","1997","Mackerel and Horse Mackerel",139546
"184","Value of External Trade of Fish (Exports) (Euro Thousand)","1997","Mackerel and Horse Mackerel",84535
"185","Weight of External Trade of Fish (Exports) (Tonnes)","1998","Mackerel and Horse Mackerel",126132
"186","Value of External Trade of Fish (Exports) (Euro Thousand)","1998","Mackerel and Horse Mackerel",75023
"187","Weight of External Trade of Fish (Exports) (Tonnes)","1999","Mackerel and Horse Mackerel",101646
"188","Value of External Trade of Fish (Exports) (Euro Thousand)","1999","Mackerel and Horse Mackerel",57699
"189","Weight of External Trade of Fish (Exports) (Tonnes)","2000","Mackerel and Horse Mackerel",102946
"190","Value of External Trade of Fish (Exports) (Euro Thousand)","2000","Mackerel and Horse Mackerel",68157
"191","Weight of External Trade of Fish (Exports) (Tonnes)","2001","Mackerel and Horse Mackerel",128196
"192","Value of External Trade of Fish (Exports) (Euro Thousand)","2001","Mackerel and Horse Mackerel",106041
"193","Weight of External Trade of Fish (Exports) (Tonnes)","2002","Mackerel and Horse Mackerel",150541
"194","Value of External Trade of Fish (Exports) (Euro Thousand)","2002","Mackerel and Horse Mackerel",116013
"195","Weight of External Trade of Fish (Exports) (Tonnes)","2003","Mackerel and Horse Mackerel",106769
"196","Value of External Trade of Fish (Exports) (Euro Thousand)","2003","Mackerel and Horse Mackerel",84259
"197","Weight of External Trade of Fish (Exports) (Tonnes)","2004","Mackerel and Horse Mackerel",114246
"198","Value of External Trade of Fish (Exports) (Euro Thousand)","2004","Mackerel and Horse Mackerel",82787
"199","Weight of External Trade of Fish (Exports) (Tonnes)","1996","Megrim",3054
"200","Value of External Trade of Fish (Exports) (Euro Thousand)","1996","Megrim",9240
"201","Weight of External Trade of Fish (Exports) (Tonnes)","1997","Megrim",2669
"202","Value of External Trade of Fish (Exports) (Euro Thousand)","1997","Megrim",7391
"203","Weight of External Trade of Fish (Exports) (Tonnes)","1998","Megrim",2046
"204","Value of External Trade of Fish (Exports) (Euro Thousand)","1998","Megrim",6375
"205","Weight of External Trade of Fish (Exports) (Tonnes)","1999","Megrim",1956
"206","Value of External Trade of Fish (Exports) (Euro Thousand)","1999","Megrim",6723
"207","Weight of External Trade of Fish (Exports) (Tonnes)","2000","Megrim",2014
"208","Value of External Trade of Fish (Exports) (Euro Thousand)","2000","Megrim",6930
"209","Weight of External Trade of Fish (Exports) (Tonnes)","2001","Megrim",1960
"210","Value of External Trade of Fish (Exports) (Euro Thousand)","2001","Megrim",6951
"211","Weight of External Trade of Fish (Exports) (Tonnes)","2002","Megrim",1593
"212","Value of External Trade of Fish (Exports) (Euro Thousand)","2002","Megrim",5346
"213","Weight of External Trade of Fish (Exports) (Tonnes)","2003","Megrim",1571
"214","Value of External Trade of Fish (Exports) (Euro Thousand)","2003","Megrim",5792
"215","Weight of External Trade of Fish (Exports) (Tonnes)","2004","Megrim",1728
"216","Value of External Trade of Fish (Exports) (Euro Thousand)","2004","Megrim",6785
"217","Weight of External Trade of Fish (Exports) (Tonnes)","1996","Monk/Angler",2808
"218","Value of External Trade of Fish (Exports) (Euro Thousand)","1996","Monk/Angler",9783
"219","Weight of External Trade of Fish (Exports) (Tonnes)","1997","Monk/Angler",2691
"220","Value of External Trade of Fish (Exports) (Euro Thousand)","1997","Monk/Angler",9976
"221","Weight of External Trade of Fish (Exports) (Tonnes)","1998","Monk/Angler",2347
"222","Value of External Trade of Fish (Exports) (Euro Thousand)","1998","Monk/Angler",10220
"223","Weight of External Trade of Fish (Exports) (Tonnes)","1999","Monk/Angler",2406
"224","Value of External Trade of Fish (Exports) (Euro Thousand)","1999","Monk/Angler",10983
"225","Weight of External Trade of Fish (Exports) (Tonnes)","2000","Monk/Angler",2461
"226","Value of External Trade of Fish (Exports) (Euro Thousand)","2000","Monk/Angler",12073
"227","Weight of External Trade of Fish (Exports) (Tonnes)","2001","Monk/Angler",2880
"228","Value of External Trade of Fish (Exports) (Euro Thousand)","2001","Monk/Angler",14090
"229","Weight of External Trade of Fish (Exports) (Tonnes)","2002","Monk/Angler",2856
"230","Value of External Trade of Fish (Exports) (Euro Thousand)","2002","Monk/Angler",12631
"231","Weight of External Trade of Fish (Exports) (Tonnes)","2003","Monk/Angler",4171
"232","Value of External Trade of Fish (Exports) (Euro Thousand)","2003","Monk/Angler",16404
"233","Weight of External Trade of Fish (Exports) (Tonnes)","2004","Monk/Angler",4968
"234","Value of External Trade of Fish (Exports) (Euro Thousand)","2004","Monk/Angler",21050
"235","Weight of External Trade of Fish (Exports) (Tonnes)","1996","Mussels",9803
"236","Value of External Trade of Fish (Exports) (Euro Thousand)","1996","Mussels",16552
"237","Weight of External Trade of Fish (Exports) (Tonnes)","1997","Mussels",11591
"238","Value of External Trade of Fish (Exports) (Euro Thousand)","1997","Mussels",17770
"239","Weight of External Trade of Fish (Exports) (Tonnes)","1998","Mussels",11821
"240","Value of External Trade of Fish (Exports) (Euro Thousand)","1998","Mussels",20662
"241","Weight of External Trade of Fish (Exports) (Tonnes)","1999","Mussels",10550
"242","Value of External Trade of Fish (Exports) (Euro Thousand)","1999","Mussels",19010
"243","Weight of External Trade of Fish (Exports) (Tonnes)","2000","Mussels",13626
"244","Value of External Trade of Fish (Exports) (Euro Thousand)","2000","Mussels",24086
"245","Weight of External Trade of Fish (Exports) (Tonnes)","2001","Mussels",20208
"246","Value of External Trade of Fish (Exports) (Euro Thousand)","2001","Mussels",32294
"247","Weight of External Trade of Fish (Exports) (Tonnes)","2002","Mussels",21022
"248","Value of External Trade of Fish (Exports) (Euro Thousand)","2002","Mussels",35910
"249","Weight of External Trade of Fish (Exports) (Tonnes)","2003","Mussels",22007
"250","Value of External Trade of Fish (Exports) (Euro Thousand)","2003","Mussels",36406
"251","Weight of External Trade of Fish (Exports) (Tonnes)","2004","Mussels",20401
"252","Value of External Trade of Fish (Exports) (Euro Thousand)","2004","Mussels",34829
"253","Weight of External Trade of Fish (Exports) (Tonnes)","1996","Oysters",1282
"254","Value of External Trade of Fish (Exports) (Euro Thousand)","1996","Oysters",2303
"255","Weight of External Trade of Fish (Exports) (Tonnes)","1997","Oysters",1501
"256","Value of External Trade of Fish (Exports) (Euro Thousand)","1997","Oysters",2249
"257","Weight of External Trade of Fish (Exports) (Tonnes)","1998","Oysters",1734
"258","Value of External Trade of Fish (Exports) (Euro Thousand)","1998","Oysters",2769
"259","Weight of External Trade of Fish (Exports) (Tonnes)","1999","Oysters",1056
"260","Value of External Trade of Fish (Exports) (Euro Thousand)","1999","Oysters",2770
"261","Weight of External Trade of Fish (Exports) (Tonnes)","2000","Oysters",1042
"262","Value of External Trade of Fish (Exports) (Euro Thousand)","2000","Oysters",3786
"263","Weight of External Trade of Fish (Exports) (Tonnes)","2001","Oysters",1067
"264","Value of External Trade of Fish (Exports) (Euro Thousand)","2001","Oysters",4362
"265","Weight of External Trade of Fish (Exports) (Tonnes)","2002","Oysters",900
"266","Value of External Trade of Fish (Exports) (Euro Thousand)","2002","Oysters",3779
"267","Weight of External Trade of Fish (Exports) (Tonnes)","2003","Oysters",1422
"268","Value of External Trade of Fish (Exports) (Euro Thousand)","2003","Oysters",3892
"269","Weight of External Trade of Fish (Exports) (Tonnes)","2004","Oysters",1313
"270","Value of External Trade of Fish (Exports) (Euro Thousand)","2004","Oysters",3661
"271","Weight of External Trade of Fish (Exports) (Tonnes)","1996","Pollock",683
"272","Value of External Trade of Fish (Exports) (Euro Thousand)","1996","Pollock",838
"273","Weight of External Trade of Fish (Exports) (Tonnes)","1997","Pollock",526
"274","Value of External Trade of Fish (Exports) (Euro Thousand)","1997","Pollock",645
"275","Weight of External Trade of Fish (Exports) (Tonnes)","1998","Pollock",258
"276","Value of External Trade of Fish (Exports) (Euro Thousand)","1998","Pollock",366
"277","Weight of External Trade of Fish (Exports) (Tonnes)","1999","Pollock",205
"278","Value of External Trade of Fish (Exports) (Euro Thousand)","1999","Pollock",341
"279","Weight of External Trade of Fish (Exports) (Tonnes)","2000","Pollock",480
"280","Value of External Trade of Fish (Exports) (Euro Thousand)","2000","Pollock",581
"281","Weight of External Trade of Fish (Exports) (Tonnes)","2001","Pollock",633
"282","Value of External Trade of Fish (Exports) (Euro Thousand)","2001","Pollock",721
"283","Weight of External Trade of Fish (Exports) (Tonnes)","2002","Pollock",97
"284","Value of External Trade of Fish (Exports) (Euro Thousand)","2002","Pollock",148
"285","Weight of External Trade of Fish (Exports) (Tonnes)","2003","Pollock",137
"286","Value of External Trade of Fish (Exports) (Euro Thousand)","2003","Pollock",241
"287","Weight of External Trade of Fish (Exports) (Tonnes)","2004","Pollock",207
"288","Value of External Trade of Fish (Exports) (Euro Thousand)","2004","Pollock",410
"289","Weight of External Trade of Fish (Exports) (Tonnes)","1996","Salmon",11954
"290","Value of External Trade of Fish (Exports) (Euro Thousand)","1996","Salmon",37974
"291","Weight of External Trade of Fish (Exports) (Tonnes)","1997","Salmon",11100
"292","Value of External Trade of Fish (Exports) (Euro Thousand)","1997","Salmon",36124
"293","Weight of External Trade of Fish (Exports) (Tonnes)","1998","Salmon",10253
"294","Value of External Trade of Fish (Exports) (Euro Thousand)","1998","Salmon",37040
"295","Weight of External Trade of Fish (Exports) (Tonnes)","1999","Salmon",11520
"296","Value of External Trade of Fish (Exports) (Euro Thousand)","1999","Salmon",47356
"297","Weight of External Trade of Fish (Exports) (Tonnes)","2000","Salmon",10796
"298","Value of External Trade of Fish (Exports) (Euro Thousand)","2000","Salmon",50964
"299","Weight of External Trade of Fish (Exports) (Tonnes)","2001","Salmon",16982
"300","Value of External Trade of Fish (Exports) (Euro Thousand)","2001","Salmon",61688
"301","Weight of External Trade of Fish (Exports) (Tonnes)","2002","Salmon",15819
"302","Value of External Trade of Fish (Exports) (Euro Thousand)","2002","Salmon",57966
"303","Weight of External Trade of Fish (Exports) (Tonnes)","2003","Salmon",11669
"304","Value of External Trade of Fish (Exports) (Euro Thousand)","2003","Salmon",45045
"305","Weight of External Trade of Fish (Exports) (Tonnes)","2004","Salmon",8303
"306","Value of External Trade of Fish (Exports) (Euro Thousand)","2004","Salmon",36642
"307","Weight of External Trade of Fish (Exports) (Tonnes)","1996","Sardines",1627
