"","Statistic","Flow","Year","Type.of.Product","Degree.of.Processing","value"
"566","Value of External Trade of Fish (Euro Thousand)","Exports","2003","Whole Fish","Prepared, Preserved",17131
"567","Weight of External Trade of Fish (Tonnes)","Imports","2003","Whole Fish","Prepared, Preserved",9644
"568","Value of External Trade of Fish (Euro Thousand)","Imports","2003","Whole Fish","Prepared, Preserved",34166
"569","Weight of External Trade of Fish (Tonnes)","Exports","2004","Whole Fish","Prepared, Preserved",8457
"570","Value of External Trade of Fish (Euro Thousand)","Exports","2004","Whole Fish","Prepared, Preserved",19738
"571","Weight of External Trade of Fish (Tonnes)","Imports","2004","Whole Fish","Prepared, Preserved",8934
"572","Value of External Trade of Fish (Euro Thousand)","Imports","2004","Whole Fish","Prepared, Preserved",30415
"573","Weight of External Trade of Fish (Tonnes)","Exports","1994","Fillets","Prepared, Preserved",1536
"574","Value of External Trade of Fish (Euro Thousand)","Exports","1994","Fillets","Prepared, Preserved",4883
"575","Weight of External Trade of Fish (Tonnes)","Imports","1994","Fillets","Prepared, Preserved",1755
"576","Value of External Trade of Fish (Euro Thousand)","Imports","1994","Fillets","Prepared, Preserved",4420
"577","Weight of External Trade of Fish (Tonnes)","Exports","1995","Fillets","Prepared, Preserved",463
"578","Value of External Trade of Fish (Euro Thousand)","Exports","1995","Fillets","Prepared, Preserved",1606
"579","Weight of External Trade of Fish (Tonnes)","Imports","1995","Fillets","Prepared, Preserved",2638
"580","Value of External Trade of Fish (Euro Thousand)","Imports","1995","Fillets","Prepared, Preserved",5108
"581","Weight of External Trade of Fish (Tonnes)","Exports","1996","Fillets","Prepared, Preserved",551
"582","Value of External Trade of Fish (Euro Thousand)","Exports","1996","Fillets","Prepared, Preserved",2226
"583","Weight of External Trade of Fish (Tonnes)","Imports","1996","Fillets","Prepared, Preserved",2493
"584","Value of External Trade of Fish (Euro Thousand)","Imports","1996","Fillets","Prepared, Preserved",6016
"585","Weight of External Trade of Fish (Tonnes)","Exports","1997","Fillets","Prepared, Preserved",769
"586","Value of External Trade of Fish (Euro Thousand)","Exports","1997","Fillets","Prepared, Preserved",2908
"587","Weight of External Trade of Fish (Tonnes)","Imports","1997","Fillets","Prepared, Preserved",2117
"588","Value of External Trade of Fish (Euro Thousand)","Imports","1997","Fillets","Prepared, Preserved",5313
"589","Weight of External Trade of Fish (Tonnes)","Exports","1998","Fillets","Prepared, Preserved",1015
"590","Value of External Trade of Fish (Euro Thousand)","Exports","1998","Fillets","Prepared, Preserved",4489
"591","Weight of External Trade of Fish (Tonnes)","Imports","1998","Fillets","Prepared, Preserved",1287
"592","Value of External Trade of Fish (Euro Thousand)","Imports","1998","Fillets","Prepared, Preserved",4252
"593","Weight of External Trade of Fish (Tonnes)","Exports","1999","Fillets","Prepared, Preserved",933
"594","Value of External Trade of Fish (Euro Thousand)","Exports","1999","Fillets","Prepared, Preserved",4308
"595","Weight of External Trade of Fish (Tonnes)","Imports","1999","Fillets","Prepared, Preserved",934
"596","Value of External Trade of Fish (Euro Thousand)","Imports","1999","Fillets","Prepared, Preserved",3873
"597","Weight of External Trade of Fish (Tonnes)","Exports","2000","Fillets","Prepared, Preserved",1106
"598","Value of External Trade of Fish (Euro Thousand)","Exports","2000","Fillets","Prepared, Preserved",4726
"599","Weight of External Trade of Fish (Tonnes)","Imports","2000","Fillets","Prepared, Preserved",808
"600","Value of External Trade of Fish (Euro Thousand)","Imports","2000","Fillets","Prepared, Preserved",3746
"601","Weight of External Trade of Fish (Tonnes)","Exports","2001","Fillets","Prepared, Preserved",1453
"602","Value of External Trade of Fish (Euro Thousand)","Exports","2001","Fillets","Prepared, Preserved",7899
"603","Weight of External Trade of Fish (Tonnes)","Imports","2001","Fillets","Prepared, Preserved",1124
"604","Value of External Trade of Fish (Euro Thousand)","Imports","2001","Fillets","Prepared, Preserved",5142
"605","Weight of External Trade of Fish (Tonnes)","Exports","2002","Fillets","Prepared, Preserved",1230
"606","Value of External Trade of Fish (Euro Thousand)","Exports","2002","Fillets","Prepared, Preserved",6297
"607","Weight of External Trade of Fish (Tonnes)","Imports","2002","Fillets","Prepared, Preserved",1238
"608","Value of External Trade of Fish (Euro Thousand)","Imports","2002","Fillets","Prepared, Preserved",5443
"609","Weight of External Trade of Fish (Tonnes)","Exports","2003","Fillets","Prepared, Preserved",1120
"610","Value of External Trade of Fish (Euro Thousand)","Exports","2003","Fillets","Prepared, Preserved",5511
"611","Weight of External Trade of Fish (Tonnes)","Imports","2003","Fillets","Prepared, Preserved",1319
"612","Value of External Trade of Fish (Euro Thousand)","Imports","2003","Fillets","Prepared, Preserved",5488
"613","Weight of External Trade of Fish (Tonnes)","Exports","2004","Fillets","Prepared, Preserved",1169
"614","Value of External Trade of Fish (Euro Thousand)","Exports","2004","Fillets","Prepared, Preserved",5572
"615","Weight of External Trade of Fish (Tonnes)","Imports","2004","Fillets","Prepared, Preserved",1263
"616","Value of External Trade of Fish (Euro Thousand)","Imports","2004","Fillets","Prepared, Preserved",5164
"617","Weight of External Trade of Fish (Tonnes)","Exports","1994","Shellfish","Prepared, Preserved",2736
"618","Value of External Trade of Fish (Euro Thousand)","Exports","1994","Shellfish","Prepared, Preserved",5718
"619","Weight of External Trade of Fish (Tonnes)","Imports","1994","Shellfish","Prepared, Preserved",811
"620","Value of External Trade of Fish (Euro Thousand)","Imports","1994","Shellfish","Prepared, Preserved",1986
"621","Weight of External Trade of Fish (Tonnes)","Exports","1995","Shellfish","Prepared, Preserved",2904
"622","Value of External Trade of Fish (Euro Thousand)","Exports","1995","Shellfish","Prepared, Preserved",6303
"623","Weight of External Trade of Fish (Tonnes)","Imports","1995","Shellfish","Prepared, Preserved",322
"624","Value of External Trade of Fish (Euro Thousand)","Imports","1995","Shellfish","Prepared, Preserved",1696
"625","Weight of External Trade of Fish (Tonnes)","Exports","1996","Shellfish","Prepared, Preserved",4432
"626","Value of External Trade of Fish (Euro Thousand)","Exports","1996","Shellfish","Prepared, Preserved",11100
"627","Weight of External Trade of Fish (Tonnes)","Imports","1996","Shellfish","Prepared, Preserved",548
"628","Value of External Trade of Fish (Euro Thousand)","Imports","1996","Shellfish","Prepared, Preserved",2368
"629","Weight of External Trade of Fish (Tonnes)","Exports","1997","Shellfish","Prepared, Preserved",4096
"630","Value of External Trade of Fish (Euro Thousand)","Exports","1997","Shellfish","Prepared, Preserved",11353
"631","Weight of External Trade of Fish (Tonnes)","Imports","1997","Shellfish","Prepared, Preserved",304
"632","Value of External Trade of Fish (Euro Thousand)","Imports","1997","Shellfish","Prepared, Preserved",1953
"633","Weight of External Trade of Fish (Tonnes)","Exports","1998","Shellfish","Prepared, Preserved",5589
"634","Value of External Trade of Fish (Euro Thousand)","Exports","1998","Shellfish","Prepared, Preserved",15007
"635","Weight of External Trade of Fish (Tonnes)","Imports","1998","Shellfish","Prepared, Preserved",610
"636","Value of External Trade of Fish (Euro Thousand)","Imports","1998","Shellfish","Prepared, Preserved",2829
"637","Weight of External Trade of Fish (Tonnes)","Exports","1999","Shellfish","Prepared, Preserved",5759
"638","Value of External Trade of Fish (Euro Thousand)","Exports","1999","Shellfish","Prepared, Preserved",17743
"639","Weight of External Trade of Fish (Tonnes)","Imports","1999","Shellfish","Prepared, Preserved",434
"640","Value of External Trade of Fish (Euro Thousand)","Imports","1999","Shellfish","Prepared, Preserved",2618
"641","Weight of External Trade of Fish (Tonnes)","Exports","2000","Shellfish","Prepared, Preserved",6162
"642","Value of External Trade of Fish (Euro Thousand)","Exports","2000","Shellfish","Prepared, Preserved",21087
"643","Weight of External Trade of Fish (Tonnes)","Imports","2000","Shellfish","Prepared, Preserved",609
"644","Value of External Trade of Fish (Euro Thousand)","Imports","2000","Shellfish","Prepared, Preserved",4323
"645","Weight of External Trade of Fish (Tonnes)","Exports","2001","Shellfish","Prepared, Preserved",6804
"646","Value of External Trade of Fish (Euro Thousand)","Exports","2001","Shellfish","Prepared, Preserved",20998
"647","Weight of External Trade of Fish (Tonnes)","Imports","2001","Shellfish","Prepared, Preserved",795
"648","Value of External Trade of Fish (Euro Thousand)","Imports","2001","Shellfish","Prepared, Preserved",5086
"649","Weight of External Trade of Fish (Tonnes)","Exports","2002","Shellfish","Prepared, Preserved",6650
"650","Value of External Trade of Fish (Euro Thousand)","Exports","2002","Shellfish","Prepared, Preserved",22325
"651","Weight of External Trade of Fish (Tonnes)","Imports","2002","Shellfish","Prepared, Preserved",891
"652","Value of External Trade of Fish (Euro Thousand)","Imports","2002","Shellfish","Prepared, Preserved",4622
"653","Weight of External Trade of Fish (Tonnes)","Exports","2003","Shellfish","Prepared, Preserved",6916
"654","Value of External Trade of Fish (Euro Thousand)","Exports","2003","Shellfish","Prepared, Preserved",24942
"655","Weight of External Trade of Fish (Tonnes)","Imports","2003","Shellfish","Prepared, Preserved",856
"656","Value of External Trade of Fish (Euro Thousand)","Imports","2003","Shellfish","Prepared, Preserved",4981
"657","Weight of External Trade of Fish (Tonnes)","Exports","2004","Shellfish","Prepared, Preserved",8422
"658","Value of External Trade of Fish (Euro Thousand)","Exports","2004","Shellfish","Prepared, Preserved",29863
"659","Weight of External Trade of Fish (Tonnes)","Imports","2004","Shellfish","Prepared, Preserved",1482
"660","Value of External Trade of Fish (Euro Thousand)","Imports","2004","Shellfish","Prepared, Preserved",5067
"661","Weight of External Trade of Fish (Tonnes)","Exports","1994","Whole Fish","Meal, Oil, Fats, Waste",16282
"662","Value of External Trade of Fish (Euro Thousand)","Exports","1994","Whole Fish","Meal, Oil, Fats, Waste",6972
"663","Weight of External Trade of Fish (Tonnes)","Imports","1994","Whole Fish","Meal, Oil, Fats, Waste",39738
"664","Value of External Trade of Fish (Euro Thousand)","Imports","1994","Whole Fish","Meal, Oil, Fats, Waste",14831
"665","Weight of External Trade of Fish (Tonnes)","Exports","1995","Whole Fish","Meal, Oil, Fats, Waste",22484
"666","Value of External Trade of Fish (Euro Thousand)","Exports","1995","Whole Fish","Meal, Oil, Fats, Waste",11673
"667","Weight of External Trade of Fish (Tonnes)","Imports","1995","Whole Fish","Meal, Oil, Fats, Waste",36676
"668","Value of External Trade of Fish (Euro Thousand)","Imports","1995","Whole Fish","Meal, Oil, Fats, Waste",16463
"669","Weight of External Trade of Fish (Tonnes)","Exports","1996","Whole Fish","Meal, Oil, Fats, Waste",21652
"670","Value of External Trade of Fish (Euro Thousand)","Exports","1996","Whole Fish","Meal, Oil, Fats, Waste",14255
"671","Weight of External Trade of Fish (Tonnes)","Imports","1996","Whole Fish","Meal, Oil, Fats, Waste",31570
"672","Value of External Trade of Fish (Euro Thousand)","Imports","1996","Whole Fish","Meal, Oil, Fats, Waste",19842
"673","Weight of External Trade of Fish (Tonnes)","Exports","1997","Whole Fish","Meal, Oil, Fats, Waste",14823
"674","Value of External Trade of Fish (Euro Thousand)","Exports","1997","Whole Fish","Meal, Oil, Fats, Waste",9917
"675","Weight of External Trade of Fish (Tonnes)","Imports","1997","Whole Fish","Meal, Oil, Fats, Waste",33921
"676","Value of External Trade of Fish (Euro Thousand)","Imports","1997","Whole Fish","Meal, Oil, Fats, Waste",21944
"677","Weight of External Trade of Fish (Tonnes)","Exports","1998","Whole Fish","Meal, Oil, Fats, Waste",11930
"678","Value of External Trade of Fish (Euro Thousand)","Exports","1998","Whole Fish","Meal, Oil, Fats, Waste",9214
"679","Weight of External Trade of Fish (Tonnes)","Imports","1998","Whole Fish","Meal, Oil, Fats, Waste",22314
"680","Value of External Trade of Fish (Euro Thousand)","Imports","1998","Whole Fish","Meal, Oil, Fats, Waste",16652
"681","Weight of External Trade of Fish (Tonnes)","Exports","1999","Whole Fish","Meal, Oil, Fats, Waste",7262
"682","Value of External Trade of Fish (Euro Thousand)","Exports","1999","Whole Fish","Meal, Oil, Fats, Waste",6421
"683","Weight of External Trade of Fish (Tonnes)","Imports","1999","Whole Fish","Meal, Oil, Fats, Waste",32042
"684","Value of External Trade of Fish (Euro Thousand)","Imports","1999","Whole Fish","Meal, Oil, Fats, Waste",23204
"685","Weight of External Trade of Fish (Tonnes)","Exports","2000","Whole Fish","Meal, Oil, Fats, Waste",14312
"686","Value of External Trade of Fish (Euro Thousand)","Exports","2000","Whole Fish","Meal, Oil, Fats, Waste",9225
"687","Weight of External Trade of Fish (Tonnes)","Imports","2000","Whole Fish","Meal, Oil, Fats, Waste",44514
"688","Value of External Trade of Fish (Euro Thousand)","Imports","2000","Whole Fish","Meal, Oil, Fats, Waste",31469
"689","Weight of External Trade of Fish (Tonnes)","Exports","2001","Whole Fish","Meal, Oil, Fats, Waste",38838
"690","Value of External Trade of Fish (Euro Thousand)","Exports","2001","Whole Fish","Meal, Oil, Fats, Waste",23817
"691","Weight of External Trade of Fish (Tonnes)","Imports","2001","Whole Fish","Meal, Oil, Fats, Waste",36934
"692","Value of External Trade of Fish (Euro Thousand)","Imports","2001","Whole Fish","Meal, Oil, Fats, Waste",29442
"693","Weight of External Trade of Fish (Tonnes)","Exports","2002","Whole Fish","Meal, Oil, Fats, Waste",25178
"694","Value of External Trade of Fish (Euro Thousand)","Exports","2002","Whole Fish","Meal, Oil, Fats, Waste",17319
"695","Weight of External Trade of Fish (Tonnes)","Imports","2002","Whole Fish","Meal, Oil, Fats, Waste",32588
"696","Value of External Trade of Fish (Euro Thousand)","Imports","2002","Whole Fish","Meal, Oil, Fats, Waste",24401
"697","Weight of External Trade of Fish (Tonnes)","Exports","2003","Whole Fish","Meal, Oil, Fats, Waste",16446
"698","Value of External Trade of Fish (Euro Thousand)","Exports","2003","Whole Fish","Meal, Oil, Fats, Waste",11741
"699","Weight of External Trade of Fish (Tonnes)","Imports","2003","Whole Fish","Meal, Oil, Fats, Waste",40738
"700","Value of External Trade of Fish (Euro Thousand)","Imports","2003","Whole Fish","Meal, Oil, Fats, Waste",18017
"701","Weight of External Trade of Fish (Tonnes)","Exports","2004","Whole Fish","Meal, Oil, Fats, Waste",29757
"702","Value of External Trade of Fish (Euro Thousand)","Exports","2004","Whole Fish","Meal, Oil, Fats, Waste",20726
"703","Weight of External Trade of Fish (Tonnes)","Imports","2004","Whole Fish","Meal, Oil, Fats, Waste",30461
"704","Value of External Trade of Fish (Euro Thousand)","Imports","2004","Whole Fish","Meal, Oil, Fats, Waste",11303
"705","Weight of External Trade of Fish (Tonnes)","Exports","1994","Fillets","Meal, Oil, Fats, Waste",0
"706","Value of External Trade of Fish (Euro Thousand)","Exports","1994","Fillets","Meal, Oil, Fats, Waste",0
"707","Weight of External Trade of Fish (Tonnes)","Imports","1994","Fillets","Meal, Oil, Fats, Waste",0
"708","Value of External Trade of Fish (Euro Thousand)","Imports","1994","Fillets","Meal, Oil, Fats, Waste",0
"709","Weight of External Trade of Fish (Tonnes)","Exports","1995","Fillets","Meal, Oil, Fats, Waste",0
"710","Value of External Trade of Fish (Euro Thousand)","Exports","1995","Fillets","Meal, Oil, Fats, Waste",0
"711","Weight of External Trade of Fish (Tonnes)","Imports","1995","Fillets","Meal, Oil, Fats, Waste",0
"712","Value of External Trade of Fish (Euro Thousand)","Imports","1995","Fillets","Meal, Oil, Fats, Waste",0
"713","Weight of External Trade of Fish (Tonnes)","Exports","1996","Fillets","Meal, Oil, Fats, Waste",0
"714","Value of External Trade of Fish (Euro Thousand)","Exports","1996","Fillets","Meal, Oil, Fats, Waste",0
"715","Weight of External Trade of Fish (Tonnes)","Imports","1996","Fillets","Meal, Oil, Fats, Waste",0
"716","Value of External Trade of Fish (Euro Thousand)","Imports","1996","Fillets","Meal, Oil, Fats, Waste",0
"717","Weight of External Trade of Fish (Tonnes)","Exports","1997","Fillets","Meal, Oil, Fats, Waste",0
"718","Value of External Trade of Fish (Euro Thousand)","Exports","1997","Fillets","Meal, Oil, Fats, Waste",0
"719","Weight of External Trade of Fish (Tonnes)","Imports","1997","Fillets","Meal, Oil, Fats, Waste",0
"720","Value of External Trade of Fish (Euro Thousand)","Imports","1997","Fillets","Meal, Oil, Fats, Waste",0
"721","Weight of External Trade of Fish (Tonnes)","Exports","1998","Fillets","Meal, Oil, Fats, Waste",0
"722","Value of External Trade of Fish (Euro Thousand)","Exports","1998","Fillets","Meal, Oil, Fats, Waste",0
"723","Weight of External Trade of Fish (Tonnes)","Imports","1998","Fillets","Meal, Oil, Fats, Waste",0
"724","Value of External Trade of Fish (Euro Thousand)","Imports","1998","Fillets","Meal, Oil, Fats, Waste",0
"725","Weight of External Trade of Fish (Tonnes)","Exports","1999","Fillets","Meal, Oil, Fats, Waste",0
"726","Value of External Trade of Fish (Euro Thousand)","Exports","1999","Fillets","Meal, Oil, Fats, Waste",0
"727","Weight of External Trade of Fish (Tonnes)","Imports","1999","Fillets","Meal, Oil, Fats, Waste",0
"728","Value of External Trade of Fish (Euro Thousand)","Imports","1999","Fillets","Meal, Oil, Fats, Waste",0
"729","Weight of External Trade of Fish (Tonnes)","Exports","2000","Fillets","Meal, Oil, Fats, Waste",0
"730","Value of External Trade of Fish (Euro Thousand)","Exports","2000","Fillets","Meal, Oil, Fats, Waste",0
"731","Weight of External Trade of Fish (Tonnes)","Imports","2000","Fillets","Meal, Oil, Fats, Waste",0
"732","Value of External Trade of Fish (Euro Thousand)","Imports","2000","Fillets","Meal, Oil, Fats, Waste",0
"733","Weight of External Trade of Fish (Tonnes)","Exports","2001","Fillets","Meal, Oil, Fats, Waste",0
"734","Value of External Trade of Fish (Euro Thousand)","Exports","2001","Fillets","Meal, Oil, Fats, Waste",0
"735","Weight of External Trade of Fish (Tonnes)","Imports","2001","Fillets","Meal, Oil, Fats, Waste",0
"736","Value of External Trade of Fish (Euro Thousand)","Imports","2001","Fillets","Meal, Oil, Fats, Waste",0
"737","Weight of External Trade of Fish (Tonnes)","Exports","2002","Fillets","Meal, Oil, Fats, Waste",0
"738","Value of External Trade of Fish (Euro Thousand)","Exports","2002","Fillets","Meal, Oil, Fats, Waste",0
"739","Weight of External Trade of Fish (Tonnes)","Imports","2002","Fillets","Meal, Oil, Fats, Waste",0
"740","Value of External Trade of Fish (Euro Thousand)","Imports","2002","Fillets","Meal, Oil, Fats, Waste",0
"741","Weight of External Trade of Fish (Tonnes)","Exports","2003","Fillets","Meal, Oil, Fats, Waste",0
"742","Value of External Trade of Fish (Euro Thousand)","Exports","2003","Fillets","Meal, Oil, Fats, Waste",0
"743","Weight of External Trade of Fish (Tonnes)","Imports","2003","Fillets","Meal, Oil, Fats, Waste",0
"744","Value of External Trade of Fish (Euro Thousand)","Imports","2003","Fillets","Meal, Oil, Fats, Waste",0
"745","Weight of External Trade of Fish (Tonnes)","Exports","2004","Fillets","Meal, Oil, Fats, Waste",0
"746","Value of External Trade of Fish (Euro Thousand)","Exports","2004","Fillets","Meal, Oil, Fats, Waste",0
"747","Weight of External Trade of Fish (Tonnes)","Imports","2004","Fillets","Meal, Oil, Fats, Waste",0
"748","Value of External Trade of Fish (Euro Thousand)","Imports","2004","Fillets","Meal, Oil, Fats, Waste",0
"749","Weight of External Trade of Fish (Tonnes)","Exports","1994","Shellfish","Meal, Oil, Fats, Waste",0
"750","Value of External Trade of Fish (Euro Thousand)","Exports","1994","Shellfish","Meal, Oil, Fats, Waste",0
"751","Weight of External Trade of Fish (Tonnes)","Imports","1994","Shellfish","Meal, Oil, Fats, Waste",0
"752","Value of External Trade of Fish (Euro Thousand)","Imports","1994","Shellfish","Meal, Oil, Fats, Waste",0
"753","Weight of External Trade of Fish (Tonnes)","Exports","1995","Shellfish","Meal, Oil, Fats, Waste",0
"754","Value of External Trade of Fish (Euro Thousand)","Exports","1995","Shellfish","Meal, Oil, Fats, Waste",0
"755","Weight of External Trade of Fish (Tonnes)","Imports","1995","Shellfish","Meal, Oil, Fats, Waste",0
"756","Value of External Trade of Fish (Euro Thousand)","Imports","1995","Shellfish","Meal, Oil, Fats, Waste",0
"757","Weight of External Trade of Fish (Tonnes)","Exports","1996","Shellfish","Meal, Oil, Fats, Waste",0
"758","Value of External Trade of Fish (Euro Thousand)","Exports","1996","Shellfish","Meal, Oil, Fats, Waste",0
"759","Weight of External Trade of Fish (Tonnes)","Imports","1996","Shellfish","Meal, Oil, Fats, Waste",0
"760","Value of External Trade of Fish (Euro Thousand)","Imports","1996","Shellfish","Meal, Oil, Fats, Waste",0
"761","Weight of External Trade of Fish (Tonnes)","Exports","1997","Shellfish","Meal, Oil, Fats, Waste",0
"762","Value of External Trade of Fish (Euro Thousand)","Exports","1997","Shellfish","Meal, Oil, Fats, Waste",0
"763","Weight of External Trade of Fish (Tonnes)","Imports","1997","Shellfish","Meal, Oil, Fats, Waste",0
"764","Value of External Trade of Fish (Euro Thousand)","Imports","1997","Shellfish","Meal, Oil, Fats, Waste",0
"765","Weight of External Trade of Fish (Tonnes)","Exports","1998","Shellfish","Meal, Oil, Fats, Waste",0
"766","Value of External Trade of Fish (Euro Thousand)","Exports","1998","Shellfish","Meal, Oil, Fats, Waste",0
"767","Weight of External Trade of Fish (Tonnes)","Imports","1998","Shellfish","Meal, Oil, Fats, Waste",0
"768","Value of External Trade of Fish (Euro Thousand)","Imports","1998","Shellfish","Meal, Oil, Fats, Waste",0
"769","Weight of External Trade of Fish (Tonnes)","Exports","1999","Shellfish","Meal, Oil, Fats, Waste",0
"770","Value of External Trade of Fish (Euro Thousand)","Exports","1999","Shellfish","Meal, Oil, Fats, Waste",0
"771","Weight of External Trade of Fish (Tonnes)","Imports","1999","Shellfish","Meal, Oil, Fats, Waste",0
"772","Value of External Trade of Fish (Euro Thousand)","Imports","1999","Shellfish","Meal, Oil, Fats, Waste",0
"773","Weight of External Trade of Fish (Tonnes)","Exports","2000","Shellfish","Meal, Oil, Fats, Waste",0
"774","Value of External Trade of Fish (Euro Thousand)","Exports","2000","Shellfish","Meal, Oil, Fats, Waste",0
"775","Weight of External Trade of Fish (Tonnes)","Imports","2000","Shellfish","Meal, Oil, Fats, Waste",0
"776","Value of External Trade of Fish (Euro Thousand)","Imports","2000","Shellfish","Meal, Oil, Fats, Waste",0
"777","Weight of External Trade of Fish (Tonnes)","Exports","2001","Shellfish","Meal, Oil, Fats, Waste",0
"778","Value of External Trade of Fish (Euro Thousand)","Exports","2001","Shellfish","Meal, Oil, Fats, Waste",0
"779","Weight of External Trade of Fish (Tonnes)","Imports","2001","Shellfish","Meal, Oil, Fats, Waste",0
"780","Value of External Trade of Fish (Euro Thousand)","Imports","2001","Shellfish","Meal, Oil, Fats, Waste",0
"781","Weight of External Trade of Fish (Tonnes)","Exports","2002","Shellfish","Meal, Oil, Fats, Waste",0
"782","Value of External Trade of Fish (Euro Thousand)","Exports","2002","Shellfish","Meal, Oil, Fats, Waste",0
"783","Weight of External Trade of Fish (Tonnes)","Imports","2002","Shellfish","Meal, Oil, Fats, Waste",0
"784","Value of External Trade of Fish (Euro Thousand)","Imports","2002","Shellfish","Meal, Oil, Fats, Waste",0
"785","Weight of External Trade of Fish (Tonnes)","Exports","2003","Shellfish","Meal, Oil, Fats, Waste",0
"786","Value of External Trade of Fish (Euro Thousand)","Exports","2003","Shellfish","Meal, Oil, Fats, Waste",0
"787","Weight of External Trade of Fish (Tonnes)","Imports","2003","Shellfish","Meal, Oil, Fats, Waste",0
"788","Value of External Trade of Fish (Euro Thousand)","Imports","2003","Shellfish","Meal, Oil, Fats, Waste",0
"789","Weight of External Trade of Fish (Tonnes)","Exports","2004","Shellfish","Meal, Oil, Fats, Waste",0
"790","Value of External Trade of Fish (Euro Thousand)","Exports","2004","Shellfish","Meal, Oil, Fats, Waste",0
"791","Weight of External Trade of Fish (Tonnes)","Imports","2004","Shellfish","Meal, Oil, Fats, Waste",0
"792","Value of External Trade of Fish (Euro Thousand)","Imports","2004","Shellfish","Meal, Oil, Fats, Waste",0
