"","Statistic","Flow","Year","Type.of.Product","Degree.of.Processing","value"
"147","Weight of External Trade of Fish (Tonnes)","Imports","1997","Whole Fish","Live, Fresh, Chilled",7325
"148","Value of External Trade of Fish (Euro Thousand)","Imports","1997","Whole Fish","Live, Fresh, Chilled",13370
"149","Weight of External Trade of Fish (Tonnes)","Exports","1998","Whole Fish","Live, Fresh, Chilled",52448
"150","Value of External Trade of Fish (Euro Thousand)","Exports","1998","Whole Fish","Live, Fresh, Chilled",84635
"151","Weight of External Trade of Fish (Tonnes)","Imports","1998","Whole Fish","Live, Fresh, Chilled",8236
"152","Value of External Trade of Fish (Euro Thousand)","Imports","1998","Whole Fish","Live, Fresh, Chilled",14470
"153","Weight of External Trade of Fish (Tonnes)","Exports","1999","Whole Fish","Live, Fresh, Chilled",36762
"154","Value of External Trade of Fish (Euro Thousand)","Exports","1999","Whole Fish","Live, Fresh, Chilled",83580
"155","Weight of External Trade of Fish (Tonnes)","Imports","1999","Whole Fish","Live, Fresh, Chilled",5845
"156","Value of External Trade of Fish (Euro Thousand)","Imports","1999","Whole Fish","Live, Fresh, Chilled",15837
"157","Weight of External Trade of Fish (Tonnes)","Exports","2000","Whole Fish","Live, Fresh, Chilled",39633
"158","Value of External Trade of Fish (Euro Thousand)","Exports","2000","Whole Fish","Live, Fresh, Chilled",90605
"159","Weight of External Trade of Fish (Tonnes)","Imports","2000","Whole Fish","Live, Fresh, Chilled",6218
"160","Value of External Trade of Fish (Euro Thousand)","Imports","2000","Whole Fish","Live, Fresh, Chilled",18020
"161","Weight of External Trade of Fish (Tonnes)","Exports","2001","Whole Fish","Live, Fresh, Chilled",63993
"162","Value of External Trade of Fish (Euro Thousand)","Exports","2001","Whole Fish","Live, Fresh, Chilled",118265
"163","Weight of External Trade of Fish (Tonnes)","Imports","2001","Whole Fish","Live, Fresh, Chilled",12107
"164","Value of External Trade of Fish (Euro Thousand)","Imports","2001","Whole Fish","Live, Fresh, Chilled",25296
"165","Weight of External Trade of Fish (Tonnes)","Exports","2002","Whole Fish","Live, Fresh, Chilled",58482
"166","Value of External Trade of Fish (Euro Thousand)","Exports","2002","Whole Fish","Live, Fresh, Chilled",109696
"167","Weight of External Trade of Fish (Tonnes)","Imports","2002","Whole Fish","Live, Fresh, Chilled",5983
"168","Value of External Trade of Fish (Euro Thousand)","Imports","2002","Whole Fish","Live, Fresh, Chilled",11227
"169","Weight of External Trade of Fish (Tonnes)","Exports","2003","Whole Fish","Live, Fresh, Chilled",60154
"170","Value of External Trade of Fish (Euro Thousand)","Exports","2003","Whole Fish","Live, Fresh, Chilled",101884
"171","Weight of External Trade of Fish (Tonnes)","Imports","2003","Whole Fish","Live, Fresh, Chilled",4298
"172","Value of External Trade of Fish (Euro Thousand)","Imports","2003","Whole Fish","Live, Fresh, Chilled",8017
"173","Weight of External Trade of Fish (Tonnes)","Exports","2004","Whole Fish","Live, Fresh, Chilled",42322
"174","Value of External Trade of Fish (Euro Thousand)","Exports","2004","Whole Fish","Live, Fresh, Chilled",92876
"175","Weight of External Trade of Fish (Tonnes)","Imports","2004","Whole Fish","Live, Fresh, Chilled",3364
"176","Value of External Trade of Fish (Euro Thousand)","Imports","2004","Whole Fish","Live, Fresh, Chilled",8010
"177","Weight of External Trade of Fish (Tonnes)","Exports","1994","Fillets","Live, Fresh, Chilled",3288
"178","Value of External Trade of Fish (Euro Thousand)","Exports","1994","Fillets","Live, Fresh, Chilled",2106
"179","Weight of External Trade of Fish (Tonnes)","Imports","1994","Fillets","Live, Fresh, Chilled",129
"180","Value of External Trade of Fish (Euro Thousand)","Imports","1994","Fillets","Live, Fresh, Chilled",298
"181","Weight of External Trade of Fish (Tonnes)","Exports","1995","Fillets","Live, Fresh, Chilled",2789
"182","Value of External Trade of Fish (Euro Thousand)","Exports","1995","Fillets","Live, Fresh, Chilled",1972
"183","Weight of External Trade of Fish (Tonnes)","Imports","1995","Fillets","Live, Fresh, Chilled",45
"184","Value of External Trade of Fish (Euro Thousand)","Imports","1995","Fillets","Live, Fresh, Chilled",161
"185","Weight of External Trade of Fish (Tonnes)","Exports","1996","Fillets","Live, Fresh, Chilled",2695
"186","Value of External Trade of Fish (Euro Thousand)","Exports","1996","Fillets","Live, Fresh, Chilled",1958
"187","Weight of External Trade of Fish (Tonnes)","Imports","1996","Fillets","Live, Fresh, Chilled",212
"188","Value of External Trade of Fish (Euro Thousand)","Imports","1996","Fillets","Live, Fresh, Chilled",425
"189","Weight of External Trade of Fish (Tonnes)","Exports","1997","Fillets","Live, Fresh, Chilled",4163
"190","Value of External Trade of Fish (Euro Thousand)","Exports","1997","Fillets","Live, Fresh, Chilled",2823
"191","Weight of External Trade of Fish (Tonnes)","Imports","1997","Fillets","Live, Fresh, Chilled",764
"192","Value of External Trade of Fish (Euro Thousand)","Imports","1997","Fillets","Live, Fresh, Chilled",898
"193","Weight of External Trade of Fish (Tonnes)","Exports","1998","Fillets","Live, Fresh, Chilled",4982
"194","Value of External Trade of Fish (Euro Thousand)","Exports","1998","Fillets","Live, Fresh, Chilled",3098
"195","Weight of External Trade of Fish (Tonnes)","Imports","1998","Fillets","Live, Fresh, Chilled",407
"196","Value of External Trade of Fish (Euro Thousand)","Imports","1998","Fillets","Live, Fresh, Chilled",923
"197","Weight of External Trade of Fish (Tonnes)","Exports","1999","Fillets","Live, Fresh, Chilled",6032
"198","Value of External Trade of Fish (Euro Thousand)","Exports","1999","Fillets","Live, Fresh, Chilled",4560
"199","Weight of External Trade of Fish (Tonnes)","Imports","1999","Fillets","Live, Fresh, Chilled",397
"200","Value of External Trade of Fish (Euro Thousand)","Imports","1999","Fillets","Live, Fresh, Chilled",791
"201","Weight of External Trade of Fish (Tonnes)","Exports","2000","Fillets","Live, Fresh, Chilled",3500
"202","Value of External Trade of Fish (Euro Thousand)","Exports","2000","Fillets","Live, Fresh, Chilled",2848
"203","Weight of External Trade of Fish (Tonnes)","Imports","2000","Fillets","Live, Fresh, Chilled",218
"204","Value of External Trade of Fish (Euro Thousand)","Imports","2000","Fillets","Live, Fresh, Chilled",858
"205","Weight of External Trade of Fish (Tonnes)","Exports","2001","Fillets","Live, Fresh, Chilled",3871
"206","Value of External Trade of Fish (Euro Thousand)","Exports","2001","Fillets","Live, Fresh, Chilled",5668
"207","Weight of External Trade of Fish (Tonnes)","Imports","2001","Fillets","Live, Fresh, Chilled",571
"208","Value of External Trade of Fish (Euro Thousand)","Imports","2001","Fillets","Live, Fresh, Chilled",2052
"209","Weight of External Trade of Fish (Tonnes)","Exports","2002","Fillets","Live, Fresh, Chilled",2816
"210","Value of External Trade of Fish (Euro Thousand)","Exports","2002","Fillets","Live, Fresh, Chilled",3631
"211","Weight of External Trade of Fish (Tonnes)","Imports","2002","Fillets","Live, Fresh, Chilled",243
"212","Value of External Trade of Fish (Euro Thousand)","Imports","2002","Fillets","Live, Fresh, Chilled",1213
"213","Weight of External Trade of Fish (Tonnes)","Exports","2003","Fillets","Live, Fresh, Chilled",1882
"214","Value of External Trade of Fish (Euro Thousand)","Exports","2003","Fillets","Live, Fresh, Chilled",3437
"215","Weight of External Trade of Fish (Tonnes)","Imports","2003","Fillets","Live, Fresh, Chilled",530
"216","Value of External Trade of Fish (Euro Thousand)","Imports","2003","Fillets","Live, Fresh, Chilled",2035
"217","Weight of External Trade of Fish (Tonnes)","Exports","2004","Fillets","Live, Fresh, Chilled",1314
"218","Value of External Trade of Fish (Euro Thousand)","Exports","2004","Fillets","Live, Fresh, Chilled",3533
"219","Weight of External Trade of Fish (Tonnes)","Imports","2004","Fillets","Live, Fresh, Chilled",996
"220","Value of External Trade of Fish (Euro Thousand)","Imports","2004","Fillets","Live, Fresh, Chilled",5022
"221","Weight of External Trade of Fish (Tonnes)","Exports","1994","Shellfish","Live, Fresh, Chilled",7921
"222","Value of External Trade of Fish (Euro Thousand)","Exports","1994","Shellfish","Live, Fresh, Chilled",28662
"223","Weight of External Trade of Fish (Tonnes)","Imports","1994","Shellfish","Live, Fresh, Chilled",1245
"224","Value of External Trade of Fish (Euro Thousand)","Imports","1994","Shellfish","Live, Fresh, Chilled",2443
"225","Weight of External Trade of Fish (Tonnes)","Exports","1995","Shellfish","Live, Fresh, Chilled",10788
"226","Value of External Trade of Fish (Euro Thousand)","Exports","1995","Shellfish","Live, Fresh, Chilled",32099
