"","Statistic","Year","Fish.and.Fish.Product","value"
"105","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Lamprey",NA
"106","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Lamprey",NA
"107","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Lamprey",NA
"108","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Lamprey",NA
"109","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Mackerel and Horse Mackerel",2066
"110","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Mackerel and Horse Mackerel",1672
"111","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Mackerel and Horse Mackerel",2267
"112","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Mackerel and Horse Mackerel",1886
"113","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Mackerel and Horse Mackerel",1048
"114","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Mackerel and Horse Mackerel",1169
"115","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Mackerel and Horse Mackerel",490
"116","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Mackerel and Horse Mackerel",766
"117","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Mackerel and Horse Mackerel",1944
"118","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Mackerel and Horse Mackerel",2355
"119","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Mackerel and Horse Mackerel",19113
"120","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Mackerel and Horse Mackerel",10112
"121","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Mackerel and Horse Mackerel",19642
"122","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Mackerel and Horse Mackerel",10716
"123","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Mackerel and Horse Mackerel",3493
"124","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Mackerel and Horse Mackerel",2865
"125","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Mackerel and Horse Mackerel",2244
"126","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Mackerel and Horse Mackerel",2572
"127","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Mussels",1877
"128","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Mussels",1376
"129","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Mussels",232
"130","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Mussels",391
"131","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Mussels",305
"132","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Mussels",649
"133","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Mussels",107
"134","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Mussels",424
"135","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Mussels",78
"136","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Mussels",342
"137","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Mussels",149
"138","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Mussels",576
"139","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Mussels",246
"140","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Mussels",797
"141","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Mussels",319
"142","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Mussels",1150
"143","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Mussels",527
"144","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Mussels",1580
"145","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Plaice",993
"146","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Plaice",3299
"147","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Plaice",632
"148","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Plaice",2108
"149","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Plaice",586
"150","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Plaice",1789
"151","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Plaice",508
"152","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Plaice",2392
"153","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Plaice",430
"154","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Plaice",1938
"155","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Plaice",455
"156","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Plaice",1860
"157","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Plaice",260
"158","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Plaice",1061
"159","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Plaice",316
"160","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Plaice",1148
"161","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Plaice",379
"162","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Plaice",1588
"163","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Salmon",4053
"164","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Salmon",12019
"165","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Salmon",4827
"166","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Salmon",12788
"167","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Salmon",2910
"168","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Salmon",9475
"169","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Salmon",2974
"170","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Salmon",11876
"171","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Salmon",2912
"172","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Salmon",12080
"173","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Salmon",3934
"174","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Salmon",14208
"175","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Salmon",2909
"176","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Salmon",11288
"177","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Salmon",3159
"178","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Salmon",12639
"179","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Salmon",4012
"180","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Salmon",16126
"181","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Sardines",177
"182","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Sardines",563
"183","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Sardines",207
"184","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Sardines",21944
"185","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Sardines",340
"186","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Sardines",984
"187","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Sardines",363
"188","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Sardines",1042
"189","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Sardines",407
"190","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Sardines",1110
"191","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Sardines",25580
"192","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Sardines",15339
"193","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Sardines",14964
"194","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Sardines",8888
"195","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Sardines",736
"196","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Sardines",2489
"197","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Sardines",771
"198","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Sardines",2333
"199","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Shrimps and Prawns",2018
"200","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Shrimps and Prawns",10696
"201","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Shrimps and Prawns",2824
"202","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Shrimps and Prawns",12934
"203","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Shrimps and Prawns",3446
"204","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Shrimps and Prawns",20167
"205","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Shrimps and Prawns",4706
"206","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Shrimps and Prawns",26058
"207","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Shrimps and Prawns",3882
"208","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Shrimps and Prawns",24506
"209","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Shrimps and Prawns",4086
"210","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Shrimps and Prawns",25696
"211","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Shrimps and Prawns",3269
"212","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Shrimps and Prawns",20850
"213","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Shrimps and Prawns",3152
"214","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Shrimps and Prawns",16501
"215","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Shrimps and Prawns",4188
"216","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Shrimps and Prawns",18222
"217","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Surimi",982
"218","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Surimi",2557
"219","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Surimi",807
"220","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Surimi",2614
"221","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Surimi",789
"222","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Surimi",2539
"223","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Surimi",439
"224","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Surimi",1762
"225","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Surimi",645
"226","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Surimi",2353
"227","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Surimi",644
"228","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Surimi",2775
"229","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Surimi",572
"230","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Surimi",2362
"231","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Surimi",355
"232","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Surimi",1429
"233","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Surimi",404
"234","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Surimi",1898
"235","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Tuna",2382
"236","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Tuna",5513
"237","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Tuna",2588
"238","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Tuna",6501
"239","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Tuna",5175
"240","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Tuna",10643
"241","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Tuna",3624
"242","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Tuna",10485
"243","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Tuna",3510
"244","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Tuna",11637
"245","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Tuna",4788
"246","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Tuna",13821
"247","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Tuna",5212
"248","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Tuna",16088
"249","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Tuna",5354
"250","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Tuna",15752
"251","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Tuna",3838
"252","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Tuna",11538
"253","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Whiting",1950
"254","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Whiting",5081
"255","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Whiting",2975
"256","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Whiting",5362
"257","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Whiting",3402
"258","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Whiting",7863
"259","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Whiting",3281
"260","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Whiting",7203
"261","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Whiting",2701
"262","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Whiting",9031
"263","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Whiting",3198
"264","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Whiting",11536
"265","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Whiting",2393
"266","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Whiting",4143
"267","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Whiting",71
"268","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Whiting",247
"269","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Whiting",283
"270","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Whiting",913
"271","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Meal, Oils, Fats, Waste",31570
"272","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Meal, Oils, Fats, Waste",19841
"273","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Meal, Oils, Fats, Waste",33921
"274","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Meal, Oils, Fats, Waste",21944
"275","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Meal, Oils, Fats, Waste",22314
"276","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Meal, Oils, Fats, Waste",16652
"277","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Meal, Oils, Fats, Waste",32042
"278","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Meal, Oils, Fats, Waste",23204
"279","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Meal, Oils, Fats, Waste",44514
"280","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Meal, Oils, Fats, Waste",31469
"281","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Meal, Oils, Fats, Waste",36934
"282","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Meal, Oils, Fats, Waste",29442
"283","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Meal, Oils, Fats, Waste",32588
"284","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Meal, Oils, Fats, Waste",24401
"285","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Meal, Oils, Fats, Waste",40739
"286","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Meal, Oils, Fats, Waste",18017
"287","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Meal, Oils, Fats, Waste",30461
"288","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Meal, Oils, Fats, Waste",11303
"289","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Other Species and Products",4122
"290","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Other Species and Products",10650
"291","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Other Species and Products",3772
"292","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Other Species and Products",13057
"293","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Other Species and Products",4541
"294","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Other Species and Products",13483
"295","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Other Species and Products",3059
"296","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Other Species and Products",12352
"297","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Other Species and Products",2652
"298","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Other Species and Products",11234
"299","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Other Species and Products",4292
"300","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Other Species and Products",15606
"301","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Other Species and Products",6914
"302","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Other Species and Products",26065
"303","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Other Species and Products",5421
"304","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Other Species and Products",22354
"305","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Other Species and Products",5780
"306","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Other Species and Products",21875
