"","Statistic","Year","Country","value"
"120","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Cyprus",NA
"121","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Cyprus",NA
"122","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Cyprus",NA
"123","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Cyprus",NA
"124","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Cyprus",NA
"125","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Cyprus",NA
"126","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Cyprus",NA
"127","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Cyprus",0
"128","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Cyprus",0
"129","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Cyprus",1
"130","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Cyprus",7
"131","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Cyprus",0
"132","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Cyprus",0
"133","Weight of External Trade of Fish (Imports) (Tonnes)","1994","Czech Republic",NA
"134","Value of External Trade of Fish (Imports) (Euro Thousand)","1994","Czech Republic",NA
"135","Weight of External Trade of Fish (Imports) (Tonnes)","1995","Czech Republic",NA
"136","Value of External Trade of Fish (Imports) (Euro Thousand)","1995","Czech Republic",NA
"137","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Czech Republic",NA
"138","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Czech Republic",NA
"139","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Czech Republic",NA
"140","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Czech Republic",NA
"141","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Czech Republic",NA
"142","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Czech Republic",NA
"143","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Czech Republic",NA
"144","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Czech Republic",NA
"145","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Czech Republic",NA
"146","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Czech Republic",NA
"147","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Czech Republic",NA
"148","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Czech Republic",NA
"149","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Czech Republic",0
"150","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Czech Republic",5
"151","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Czech Republic",2
"152","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Czech Republic",12
"153","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Czech Republic",0
"154","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Czech Republic",8
"155","Weight of External Trade of Fish (Imports) (Tonnes)","1994","Denmark",3000
"156","Value of External Trade of Fish (Imports) (Euro Thousand)","1994","Denmark",5467
"157","Weight of External Trade of Fish (Imports) (Tonnes)","1995","Denmark",3402
"158","Value of External Trade of Fish (Imports) (Euro Thousand)","1995","Denmark",6034
"159","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Denmark",6339
"160","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Denmark",9806
"161","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Denmark",6482
"162","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Denmark",10021
"163","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Denmark",4503
"164","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Denmark",10092
"165","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Denmark",4070
"166","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Denmark",10585
"167","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Denmark",6001
"168","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Denmark",11807
"169","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Denmark",5112
"170","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Denmark",12491
"171","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Denmark",3037
"172","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Denmark",7772
"173","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Denmark",2255
"174","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Denmark",5403
"175","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Denmark",2336
"176","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Denmark",5655
"177","Weight of External Trade of Fish (Imports) (Tonnes)","1994","Estonia",NA
"178","Value of External Trade of Fish (Imports) (Euro Thousand)","1994","Estonia",NA
"179","Weight of External Trade of Fish (Imports) (Tonnes)","1995","Estonia",NA
"180","Value of External Trade of Fish (Imports) (Euro Thousand)","1995","Estonia",NA
"181","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Estonia",NA
"182","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Estonia",NA
"183","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Estonia",NA
"184","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Estonia",NA
"185","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Estonia",NA
"186","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Estonia",NA
"187","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Estonia",NA
"188","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Estonia",NA
"189","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Estonia",NA
"190","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Estonia",NA
"191","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Estonia",NA
"192","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Estonia",NA
"193","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Estonia",0
"194","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Estonia",0
"195","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Estonia",0
"196","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Estonia",0
"197","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Estonia",0
"198","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Estonia",0
"199","Weight of External Trade of Fish (Imports) (Tonnes)","1994","Finland",21
"200","Value of External Trade of Fish (Imports) (Euro Thousand)","1994","Finland",8
"201","Weight of External Trade of Fish (Imports) (Tonnes)","1995","Finland",0
"202","Value of External Trade of Fish (Imports) (Euro Thousand)","1995","Finland",0
"203","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Finland",14
"204","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Finland",9
"205","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Finland",0
"206","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Finland",0
"207","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Finland",0
"208","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Finland",0
"209","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Finland",37
"210","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Finland",22
"211","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Finland",NA
"212","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Finland",NA
"213","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Finland",NA
"214","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Finland",NA
"215","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Finland",0
"216","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Finland",0
"217","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Finland",0
"218","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Finland",0
"219","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Finland",0
"220","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Finland",0
"221","Weight of External Trade of Fish (Imports) (Tonnes)","1994","France",14
"222","Value of External Trade of Fish (Imports) (Euro Thousand)","1994","France",100
"223","Weight of External Trade of Fish (Imports) (Tonnes)","1995","France",143
"224","Value of External Trade of Fish (Imports) (Euro Thousand)","1995","France",503
"225","Weight of External Trade of Fish (Imports) (Tonnes)","1996","France",36
"226","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","France",185
"227","Weight of External Trade of Fish (Imports) (Tonnes)","1997","France",230
"228","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","France",503
"229","Weight of External Trade of Fish (Imports) (Tonnes)","1998","France",99
"230","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","France",238
"231","Weight of External Trade of Fish (Imports) (Tonnes)","1999","France",26
"232","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","France",159
"233","Weight of External Trade of Fish (Imports) (Tonnes)","2000","France",107
"234","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","France",429
"235","Weight of External Trade of Fish (Imports) (Tonnes)","2001","France",38698
"236","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","France",15654
"237","Weight of External Trade of Fish (Imports) (Tonnes)","2002","France",331
"238","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","France",815
"239","Weight of External Trade of Fish (Imports) (Tonnes)","2003","France",877
"240","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","France",1360
"241","Weight of External Trade of Fish (Imports) (Tonnes)","2004","France",381
"242","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","France",1185
"243","Weight of External Trade of Fish (Imports) (Tonnes)","1994","Germany",45
"244","Value of External Trade of Fish (Imports) (Euro Thousand)","1994","Germany",159
"245","Weight of External Trade of Fish (Imports) (Tonnes)","1995","Germany",202
"246","Value of External Trade of Fish (Imports) (Euro Thousand)","1995","Germany",246
"247","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Germany",75
"248","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Germany",291
"249","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Germany",88
"250","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Germany",184
"251","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Germany",225
"252","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Germany",690
"253","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Germany",24
"254","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Germany",96
"255","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Germany",215
"256","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Germany",510
"257","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Germany",625
"258","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Germany",1813
"259","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Germany",1232
"260","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Germany",4402
"261","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Germany",1388
"262","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Germany",5070
"263","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Germany",1081
"264","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Germany",4316
"265","Weight of External Trade of Fish (Imports) (Tonnes)","1994","Great Britain",26442
"266","Value of External Trade of Fish (Imports) (Euro Thousand)","1994","Great Britain",34010
"267","Weight of External Trade of Fish (Imports) (Tonnes)","1995","Great Britain",33412
"268","Value of External Trade of Fish (Imports) (Euro Thousand)","1995","Great Britain",42014
"269","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Great Britain",26819
"270","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Great Britain",46964
"271","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Great Britain",21856
"272","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Great Britain",49679
"273","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Great Britain",18896
"274","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Great Britain",55912
"275","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Great Britain",23777
"276","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Great Britain",72738
"277","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Great Britain",29973
"278","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Great Britain",82695
"279","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Great Britain",42837
"280","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Great Britain",98624
"281","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Great Britain",31090
"282","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Great Britain",82098
"283","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Great Britain",25664
"284","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Great Britain",73414
"285","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Great Britain",24527
"286","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Great Britain",76968
"287","Weight of External Trade of Fish (Imports) (Tonnes)","1994","Greece",1
"288","Value of External Trade of Fish (Imports) (Euro Thousand)","1994","Greece",14
"289","Weight of External Trade of Fish (Imports) (Tonnes)","1995","Greece",4
"290","Value of External Trade of Fish (Imports) (Euro Thousand)","1995","Greece",48
"291","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Greece",16
"292","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Greece",104
"293","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Greece",2
"294","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Greece",22
"295","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Greece",0
"296","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Greece",0
"297","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Greece",0
"298","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Greece",2
"299","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Greece",1
"300","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Greece",7
"301","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Greece",5
"302","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Greece",34
"303","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Greece",10
"304","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Greece",47
"305","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Greece",8
"306","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Greece",47
"307","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Greece",17
"308","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Greece",112
"309","Weight of External Trade of Fish (Imports) (Tonnes)","1994","Hungary",NA
"310","Value of External Trade of Fish (Imports) (Euro Thousand)","1994","Hungary",NA
"311","Weight of External Trade of Fish (Imports) (Tonnes)","1995","Hungary",NA
"312","Value of External Trade of Fish (Imports) (Euro Thousand)","1995","Hungary",NA
"313","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Hungary",NA
"314","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Hungary",NA
"315","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Hungary",NA
"316","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Hungary",NA
"317","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Hungary",NA
"318","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Hungary",NA
"319","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Hungary",NA
"320","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Hungary",NA
"321","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Hungary",NA
"322","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Hungary",NA
"323","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Hungary",NA
"324","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Hungary",NA
"325","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Hungary",0
"326","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Hungary",3
"327","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Hungary",0
"328","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Hungary",0
"329","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Hungary",0
"330","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Hungary",0
"331","Weight of External Trade of Fish (Imports) (Tonnes)","1994","Italy",146
"332","Value of External Trade of Fish (Imports) (Euro Thousand)","1994","Italy",463
