"","Statistic","Year","Country","value"
"703","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Iceland",389
"704","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Iceland",2196
"705","Weight of External Trade of Fish (Imports) (Tonnes)","1994","Nigeria",NA
"706","Value of External Trade of Fish (Imports) (Euro Thousand)","1994","Nigeria",NA
"707","Weight of External Trade of Fish (Imports) (Tonnes)","1995","Nigeria",NA
"708","Value of External Trade of Fish (Imports) (Euro Thousand)","1995","Nigeria",NA
"709","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Nigeria",NA
"710","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Nigeria",NA
"711","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Nigeria",NA
"712","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Nigeria",NA
"713","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Nigeria",NA
"714","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Nigeria",NA
"715","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Nigeria",NA
"716","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Nigeria",NA
"717","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Nigeria",NA
"718","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Nigeria",NA
"719","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Nigeria",NA
"720","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Nigeria",NA
"721","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Nigeria",0
"722","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Nigeria",1
"723","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Nigeria",0
"724","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Nigeria",0
"725","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Nigeria",0
"726","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Nigeria",2
"727","Weight of External Trade of Fish (Imports) (Tonnes)","1994","Norway",10821
"728","Value of External Trade of Fish (Imports) (Euro Thousand)","1994","Norway",2725
"729","Weight of External Trade of Fish (Imports) (Tonnes)","1995","Norway",6187
"730","Value of External Trade of Fish (Imports) (Euro Thousand)","1995","Norway",2526
"731","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Norway",9001
"732","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Norway",4150
"733","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Norway",7188
"734","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Norway",3713
"735","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Norway",8831
"736","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Norway",5273
"737","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Norway",8687
"738","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Norway",4322
"739","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Norway",13619
"740","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Norway",6789
"741","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Norway",9996
"742","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Norway",2890
"743","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Norway",8909
"744","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Norway",3651
"745","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Norway",21320
"746","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Norway",2897
"747","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Norway",8489
"748","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Norway",788
"749","Weight of External Trade of Fish (Imports) (Tonnes)","1994","Russian Federation",NA
"750","Value of External Trade of Fish (Imports) (Euro Thousand)","1994","Russian Federation",NA
"751","Weight of External Trade of Fish (Imports) (Tonnes)","1995","Russian Federation",NA
"752","Value of External Trade of Fish (Imports) (Euro Thousand)","1995","Russian Federation",NA
"753","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Russian Federation",NA
"754","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Russian Federation",NA
"755","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Russian Federation",NA
"756","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Russian Federation",NA
"757","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Russian Federation",NA
"758","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Russian Federation",NA
"759","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Russian Federation",NA
"760","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Russian Federation",NA
"761","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Russian Federation",NA
"762","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Russian Federation",NA
"763","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Russian Federation",NA
"764","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Russian Federation",NA
"765","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Russian Federation",17
"766","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Russian Federation",12
"767","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Russian Federation",0
"768","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Russian Federation",0
"769","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Russian Federation",0
"770","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Russian Federation",0
"771","Weight of External Trade of Fish (Imports) (Tonnes)","1994","Switzerland",3
"772","Value of External Trade of Fish (Imports) (Euro Thousand)","1994","Switzerland",72
"773","Weight of External Trade of Fish (Imports) (Tonnes)","1995","Switzerland",11
"774","Value of External Trade of Fish (Imports) (Euro Thousand)","1995","Switzerland",93
"775","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Switzerland",16
"776","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Switzerland",127
"777","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Switzerland",12
"778","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Switzerland",246
"779","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Switzerland",15
"780","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Switzerland",256
"781","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Switzerland",17
"782","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Switzerland",376
"783","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Switzerland",52
"784","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Switzerland",413
"785","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Switzerland",12
"786","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Switzerland",257
"787","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Switzerland",70
"788","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Switzerland",470
"789","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Switzerland",34
"790","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Switzerland",631
"791","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Switzerland",64
"792","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Switzerland",676
"793","Weight of External Trade of Fish (Imports) (Tonnes)","1994","Thailand",1583
"794","Value of External Trade of Fish (Imports) (Euro Thousand)","1994","Thailand",4849
"795","Weight of External Trade of Fish (Imports) (Tonnes)","1995","Thailand",1547
"796","Value of External Trade of Fish (Imports) (Euro Thousand)","1995","Thailand",4567
"797","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Thailand",968
"798","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Thailand",3226
"799","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Thailand",1257
"800","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Thailand",3733
"801","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Thailand",587
"802","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Thailand",2180
"803","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Thailand",281
"804","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Thailand",689
"805","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Thailand",318
"806","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Thailand",849
"807","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Thailand",359
"808","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Thailand",1073
"809","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Thailand",310
"810","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Thailand",863
"811","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Thailand",255
"812","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Thailand",636
"813","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Thailand",512
"814","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Thailand",1262
"815","Weight of External Trade of Fish (Imports) (Tonnes)","1994","United States",1087
"816","Value of External Trade of Fish (Imports) (Euro Thousand)","1994","United States",3791
"817","Weight of External Trade of Fish (Imports) (Tonnes)","1995","United States",1058
"818","Value of External Trade of Fish (Imports) (Euro Thousand)","1995","United States",4014
"819","Weight of External Trade of Fish (Imports) (Tonnes)","1996","United States",1033
"820","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","United States",3026
"821","Weight of External Trade of Fish (Imports) (Tonnes)","1997","United States",1139
"822","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","United States",3671
"823","Weight of External Trade of Fish (Imports) (Tonnes)","1998","United States",478
"824","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","United States",1811
"825","Weight of External Trade of Fish (Imports) (Tonnes)","1999","United States",898
"826","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","United States",1572
"827","Weight of External Trade of Fish (Imports) (Tonnes)","2000","United States",519
"828","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","United States",1016
"829","Weight of External Trade of Fish (Imports) (Tonnes)","2001","United States",200
"830","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","United States",725
"831","Weight of External Trade of Fish (Imports) (Tonnes)","2002","United States",351
"832","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","United States",1084
"833","Weight of External Trade of Fish (Imports) (Tonnes)","2003","United States",334
"834","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","United States",974
"835","Weight of External Trade of Fish (Imports) (Tonnes)","2004","United States",636
"836","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","United States",1405
"837","Weight of External Trade of Fish (Imports) (Tonnes)","1994","Other countries (3)",NA
"838","Value of External Trade of Fish (Imports) (Euro Thousand)","1994","Other countries (3)",NA
"839","Weight of External Trade of Fish (Imports) (Tonnes)","1995","Other countries (3)",NA
"840","Value of External Trade of Fish (Imports) (Euro Thousand)","1995","Other countries (3)",NA
"841","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Other countries (3)",NA
"842","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Other countries (3)",NA
"843","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Other countries (3)",NA
"844","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Other countries (3)",NA
"845","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Other countries (3)",NA
"846","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Other countries (3)",NA
"847","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Other countries (3)",NA
"848","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Other countries (3)",NA
"849","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Other countries (3)",NA
"850","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Other countries (3)",NA
"851","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Other countries (3)",NA
"852","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Other countries (3)",NA
"853","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Other countries (3)",29161
"854","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Other countries (3)",20259
"855","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Other countries (3)",4818
"856","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Other countries (3)",7576
"857","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Other countries (3)",9054
"858","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Other countries (3)",8185
"859","Weight of External Trade of Fish (Imports) (Tonnes)","1994","Other countries (1)",5443
"860","Value of External Trade of Fish (Imports) (Euro Thousand)","1994","Other countries (1)",3942
"861","Weight of External Trade of Fish (Imports) (Tonnes)","1995","Other countries (1)",4661
"862","Value of External Trade of Fish (Imports) (Euro Thousand)","1995","Other countries (1)",4715
"863","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Other countries (1)",2519
"864","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Other countries (1)",6604
"865","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Other countries (1)",3852
"866","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Other countries (1)",5677
"867","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Other countries (1)",3341
"868","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Other countries (1)",7590
"869","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Other countries (1)",1807
"870","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Other countries (1)",3555
"871","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Other countries (1)",2084
"872","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Other countries (1)",4015
"873","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Other countries (1)",4664
"874","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Other countries (1)",10779
"875","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Other countries (1)",NA
"876","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Other countries (1)",NA
"877","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Other countries (1)",NA
"878","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Other countries (1)",NA
"879","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Other countries (1)",NA
"880","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Other countries (1)",NA
