"","Statistic","Domestic.or.Import.Source","Month","value"
"143","Fat Content (%)","Import","1976M12",NA
"144","Protein Content (%)","Import","1976M12",NA
"145","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1977M01",66.7
"146","Fat Content (%)","Domestic","1977M01",NA
"147","Protein Content (%)","Domestic","1977M01",NA
"148","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1977M01",NA
"149","Fat Content (%)","Import","1977M01",NA
"150","Protein Content (%)","Import","1977M01",NA
"151","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1977M02",113.7
"152","Fat Content (%)","Domestic","1977M02",NA
"153","Protein Content (%)","Domestic","1977M02",NA
"154","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1977M02",NA
"155","Fat Content (%)","Import","1977M02",NA
"156","Protein Content (%)","Import","1977M02",NA
"157","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1977M03",236.9
"158","Fat Content (%)","Domestic","1977M03",NA
"159","Protein Content (%)","Domestic","1977M03",NA
"160","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1977M03",NA
"161","Fat Content (%)","Import","1977M03",NA
"162","Protein Content (%)","Import","1977M03",NA
"163","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1977M04",399.8
"164","Fat Content (%)","Domestic","1977M04",NA
"165","Protein Content (%)","Domestic","1977M04",NA
"166","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1977M04",NA
"167","Fat Content (%)","Import","1977M04",NA
"168","Protein Content (%)","Import","1977M04",NA
"169","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1977M05",567.1
"170","Fat Content (%)","Domestic","1977M05",NA
"171","Protein Content (%)","Domestic","1977M05",NA
"172","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1977M05",NA
"173","Fat Content (%)","Import","1977M05",NA
"174","Protein Content (%)","Import","1977M05",NA
"175","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1977M06",581.6
"176","Fat Content (%)","Domestic","1977M06",NA
"177","Protein Content (%)","Domestic","1977M06",NA
"178","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1977M06",NA
"179","Fat Content (%)","Import","1977M06",NA
"180","Protein Content (%)","Import","1977M06",NA
"181","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1977M07",535.4
"182","Fat Content (%)","Domestic","1977M07",NA
"183","Protein Content (%)","Domestic","1977M07",NA
"184","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1977M07",NA
"185","Fat Content (%)","Import","1977M07",NA
"186","Protein Content (%)","Import","1977M07",NA
"187","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1977M08",458.9
"188","Fat Content (%)","Domestic","1977M08",NA
"189","Protein Content (%)","Domestic","1977M08",NA
"190","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1977M08",NA
"191","Fat Content (%)","Import","1977M08",NA
"192","Protein Content (%)","Import","1977M08",NA
"193","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1977M09",361.5
"194","Fat Content (%)","Domestic","1977M09",NA
