"","Statistic","Domestic.or.Import.Source","Month","value"
"1433","Fat Content (%)","Import","1994M11",NA
"1434","Protein Content (%)","Import","1994M11",NA
"1435","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1994M12",171
"1436","Fat Content (%)","Domestic","1994M12",3.83
"1437","Protein Content (%)","Domestic","1994M12",3.26
"1438","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1994M12",NA
"1439","Fat Content (%)","Import","1994M12",NA
"1440","Protein Content (%)","Import","1994M12",NA
"1441","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1995M01",153.1
"1442","Fat Content (%)","Domestic","1995M01",3.66
"1443","Protein Content (%)","Domestic","1995M01",3.12
"1444","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1995M01",NA
"1445","Fat Content (%)","Import","1995M01",NA
"1446","Protein Content (%)","Import","1995M01",NA
"1447","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1995M02",211.1
"1448","Fat Content (%)","Domestic","1995M02",3.55
"1449","Protein Content (%)","Domestic","1995M02",3.02
"1450","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1995M02",NA
"1451","Fat Content (%)","Import","1995M02",NA
"1452","Protein Content (%)","Import","1995M02",NA
"1453","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1995M03",368.7
"1454","Fat Content (%)","Domestic","1995M03",3.51
"1455","Protein Content (%)","Domestic","1995M03",2.97
"1456","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1995M03",NA
"1457","Fat Content (%)","Import","1995M03",NA
"1458","Protein Content (%)","Import","1995M03",NA
"1459","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1995M04",573.6
"1460","Fat Content (%)","Domestic","1995M04",3.47
"1461","Protein Content (%)","Domestic","1995M04",3.06
"1462","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1995M04",NA
"1463","Fat Content (%)","Import","1995M04",NA
"1464","Protein Content (%)","Import","1995M04",NA
"1465","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1995M05",716.3
"1466","Fat Content (%)","Domestic","1995M05",3.41
"1467","Protein Content (%)","Domestic","1995M05",3.18
"1468","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1995M05",NA
"1469","Fat Content (%)","Import","1995M05",NA
"1470","Protein Content (%)","Import","1995M05",NA
"1471","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1995M06",706.9
"1472","Fat Content (%)","Domestic","1995M06",3.45
"1473","Protein Content (%)","Domestic","1995M06",3.17
"1474","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1995M06",NA
"1475","Fat Content (%)","Import","1995M06",NA
"1476","Protein Content (%)","Import","1995M06",NA
"1477","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1995M07",640.8
"1478","Fat Content (%)","Domestic","1995M07",3.5
"1479","Protein Content (%)","Domestic","1995M07",3.17
"1480","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1995M07",NA
"1481","Fat Content (%)","Import","1995M07",NA
"1482","Protein Content (%)","Import","1995M07",NA
"1483","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1995M08",577
"1484","Fat Content (%)","Domestic","1995M08",3.56
"1485","Protein Content (%)","Domestic","1995M08",3.15
"1486","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1995M08",NA
"1487","Fat Content (%)","Import","1995M08",NA
"1488","Protein Content (%)","Import","1995M08",NA
"1489","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1995M09",447.4
"1490","Fat Content (%)","Domestic","1995M09",3.76
"1491","Protein Content (%)","Domestic","1995M09",3.3
"1492","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1995M09",NA
"1493","Fat Content (%)","Import","1995M09",NA
"1494","Protein Content (%)","Import","1995M09",NA
"1495","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1995M10",359.8
"1496","Fat Content (%)","Domestic","1995M10",3.96
"1497","Protein Content (%)","Domestic","1995M10",3.47
"1498","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1995M10",NA
"1499","Fat Content (%)","Import","1995M10",NA
"1500","Protein Content (%)","Import","1995M10",NA
"1501","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1995M11",233.2
"1502","Fat Content (%)","Domestic","1995M11",4
"1503","Protein Content (%)","Domestic","1995M11",3.49
"1504","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1995M11",NA
"1505","Fat Content (%)","Import","1995M11",NA
"1506","Protein Content (%)","Import","1995M11",NA
"1507","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1995M12",147.7
"1508","Fat Content (%)","Domestic","1995M12",3.83
"1509","Protein Content (%)","Domestic","1995M12",3.27
"1510","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1995M12",NA
"1511","Fat Content (%)","Import","1995M12",NA
"1512","Protein Content (%)","Import","1995M12",NA
"1513","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1996M01",139.5
"1514","Fat Content (%)","Domestic","1996M01",3.66
"1515","Protein Content (%)","Domestic","1996M01",3.1
"1516","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1996M01",NA
"1517","Fat Content (%)","Import","1996M01",NA
"1518","Protein Content (%)","Import","1996M01",NA
"1519","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1996M02",220.5
"1520","Fat Content (%)","Domestic","1996M02",3.58
"1521","Protein Content (%)","Domestic","1996M02",3.05
"1522","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1996M02",NA
"1523","Fat Content (%)","Import","1996M02",NA
"1524","Protein Content (%)","Import","1996M02",NA
"1525","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1996M03",370
"1526","Fat Content (%)","Domestic","1996M03",3.52
"1527","Protein Content (%)","Domestic","1996M03",2.94
"1528","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1996M03",NA
"1529","Fat Content (%)","Import","1996M03",NA
"1530","Protein Content (%)","Import","1996M03",NA
"1531","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1996M04",574.9
"1532","Fat Content (%)","Domestic","1996M04",3.49
"1533","Protein Content (%)","Domestic","1996M04",2.94
"1534","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1996M04",NA
"1535","Fat Content (%)","Import","1996M04",NA
"1536","Protein Content (%)","Import","1996M04",NA
"1537","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1996M05",747.7
"1538","Fat Content (%)","Domestic","1996M05",3.42
"1539","Protein Content (%)","Domestic","1996M05",3.18
"1540","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1996M05",NA
"1541","Fat Content (%)","Import","1996M05",NA
"1542","Protein Content (%)","Import","1996M05",NA
"1543","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1996M06",720.9
"1544","Fat Content (%)","Domestic","1996M06",3.46
"1545","Protein Content (%)","Domestic","1996M06",3.2
"1546","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1996M06",NA
"1547","Fat Content (%)","Import","1996M06",NA
"1548","Protein Content (%)","Import","1996M06",NA
"1549","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1996M07",649.3
"1550","Fat Content (%)","Domestic","1996M07",3.52
"1551","Protein Content (%)","Domestic","1996M07",3.19
"1552","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1996M07",NA
"1553","Fat Content (%)","Import","1996M07",NA
"1554","Protein Content (%)","Import","1996M07",NA
"1555","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1996M08",592.1
"1556","Fat Content (%)","Domestic","1996M08",3.61
"1557","Protein Content (%)","Domestic","1996M08",3.2
"1558","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1996M08",NA
"1559","Fat Content (%)","Import","1996M08",NA
"1560","Protein Content (%)","Import","1996M08",NA
"1561","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1996M09",476.5
"1562","Fat Content (%)","Domestic","1996M09",3.75
"1563","Protein Content (%)","Domestic","1996M09",3.36
"1564","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1996M09",NA
"1565","Fat Content (%)","Import","1996M09",NA
"1566","Protein Content (%)","Import","1996M09",NA
"1567","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1996M10",335.7
"1568","Fat Content (%)","Domestic","1996M10",3.99
"1569","Protein Content (%)","Domestic","1996M10",3.52
"1570","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1996M10",NA
"1571","Fat Content (%)","Import","1996M10",NA
"1572","Protein Content (%)","Import","1996M10",NA
"1573","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1996M11",188.6
"1574","Fat Content (%)","Domestic","1996M11",4.02
"1575","Protein Content (%)","Domestic","1996M11",3.45
"1576","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1996M11",NA
"1577","Fat Content (%)","Import","1996M11",NA
"1578","Protein Content (%)","Import","1996M11",NA
"1579","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1996M12",128.6
"1580","Fat Content (%)","Domestic","1996M12",3.81
"1581","Protein Content (%)","Domestic","1996M12",3.21
"1582","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1996M12",NA
"1583","Fat Content (%)","Import","1996M12",NA
"1584","Protein Content (%)","Import","1996M12",NA
"1585","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1997M01",127.6
"1586","Fat Content (%)","Domestic","1997M01",3.76
"1587","Protein Content (%)","Domestic","1997M01",3.07
"1588","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1997M01",NA
"1589","Fat Content (%)","Import","1997M01",NA
"1590","Protein Content (%)","Import","1997M01",NA
"1591","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1997M02",197.5
"1592","Fat Content (%)","Domestic","1997M02",3.56
"1593","Protein Content (%)","Domestic","1997M02",3.01
"1594","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1997M02",NA
"1595","Fat Content (%)","Import","1997M02",NA
"1596","Protein Content (%)","Import","1997M02",NA
"1597","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1997M03",384.1
"1598","Fat Content (%)","Domestic","1997M03",3.52
"1599","Protein Content (%)","Domestic","1997M03",2.97
"1600","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1997M03",NA
"1601","Fat Content (%)","Import","1997M03",NA
"1602","Protein Content (%)","Import","1997M03",NA
"1603","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1997M04",640.3
"1604","Fat Content (%)","Domestic","1997M04",3.44
"1605","Protein Content (%)","Domestic","1997M04",3.11
"1606","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1997M04",NA
"1607","Fat Content (%)","Import","1997M04",NA
"1608","Protein Content (%)","Import","1997M04",NA
"1609","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1997M05",726.3
"1610","Fat Content (%)","Domestic","1997M05",3.46
"1611","Protein Content (%)","Domestic","1997M05",3.16
"1612","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1997M05",NA
"1613","Fat Content (%)","Import","1997M05",NA
"1614","Protein Content (%)","Import","1997M05",NA
"1615","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1997M06",674.4
"1616","Fat Content (%)","Domestic","1997M06",3.5
"1617","Protein Content (%)","Domestic","1997M06",3.17
"1618","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1997M06",NA
"1619","Fat Content (%)","Import","1997M06",NA
"1620","Protein Content (%)","Import","1997M06",NA
"1621","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1997M07",660.7
"1622","Fat Content (%)","Domestic","1997M07",3.54
"1623","Protein Content (%)","Domestic","1997M07",3.2
"1624","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1997M07",NA
"1625","Fat Content (%)","Import","1997M07",NA
"1626","Protein Content (%)","Import","1997M07",NA
"1627","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1997M08",559.6
"1628","Fat Content (%)","Domestic","1997M08",3.65
"1629","Protein Content (%)","Domestic","1997M08",3.23
"1630","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1997M08",NA
"1631","Fat Content (%)","Import","1997M08",NA
"1632","Protein Content (%)","Import","1997M08",NA
"1633","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1997M09",447.8
"1634","Fat Content (%)","Domestic","1997M09",3.82
"1635","Protein Content (%)","Domestic","1997M09",3.41
"1636","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1997M09",NA
"1637","Fat Content (%)","Import","1997M09",NA
"1638","Protein Content (%)","Import","1997M09",NA
"1639","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1997M10",357.5
"1640","Fat Content (%)","Domestic","1997M10",4.02
"1641","Protein Content (%)","Domestic","1997M10",3.54
"1642","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1997M10",NA
"1643","Fat Content (%)","Import","1997M10",NA
"1644","Protein Content (%)","Import","1997M10",NA
"1645","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1997M11",200.6
"1646","Fat Content (%)","Domestic","1997M11",4.01
"1647","Protein Content (%)","Domestic","1997M11",3.46
"1648","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1997M11",NA
"1649","Fat Content (%)","Import","1997M11",NA
"1650","Protein Content (%)","Import","1997M11",NA
"1651","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1997M12",128.2
"1652","Fat Content (%)","Domestic","1997M12",3.81
"1653","Protein Content (%)","Domestic","1997M12",3.23
"1654","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1997M12",NA
"1655","Fat Content (%)","Import","1997M12",NA
"1656","Protein Content (%)","Import","1997M12",NA
"1657","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1998M01",120.4
"1658","Fat Content (%)","Domestic","1998M01",3.67
"1659","Protein Content (%)","Domestic","1998M01",3.08
"1660","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1998M01",18.9
"1661","Fat Content (%)","Import","1998M01",NA
"1662","Protein Content (%)","Import","1998M01",NA
"1663","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1998M02",195
"1664","Fat Content (%)","Domestic","1998M02",3.61
"1665","Protein Content (%)","Domestic","1998M02",3.05
"1666","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1998M02",16.9
"1667","Fat Content (%)","Import","1998M02",NA
"1668","Protein Content (%)","Import","1998M02",NA
"1669","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1998M03",382.3
"1670","Fat Content (%)","Domestic","1998M03",3.57
"1671","Protein Content (%)","Domestic","1998M03",3.02
"1672","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1998M03",25.9
"1673","Fat Content (%)","Import","1998M03",NA
"1674","Protein Content (%)","Import","1998M03",NA
"1675","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1998M04",575.5
"1676","Fat Content (%)","Domestic","1998M04",3.55
"1677","Protein Content (%)","Domestic","1998M04",3.12
"1678","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1998M04",18.8
"1679","Fat Content (%)","Import","1998M04",NA
"1680","Protein Content (%)","Import","1998M04",NA
"1681","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1998M05",680
"1682","Fat Content (%)","Domestic","1998M05",3.49
"1683","Protein Content (%)","Domestic","1998M05",3.18
"1684","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1998M05",18.7
"1685","Fat Content (%)","Import","1998M05",NA
"1686","Protein Content (%)","Import","1998M05",NA
"1687","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1998M06",659.5
"1688","Fat Content (%)","Domestic","1998M06",3.55
"1689","Protein Content (%)","Domestic","1998M06",3.2
"1690","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1998M06",16.4
"1691","Fat Content (%)","Import","1998M06",NA
"1692","Protein Content (%)","Import","1998M06",NA
"1693","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1998M07",609.8
"1694","Fat Content (%)","Domestic","1998M07",3.6
"1695","Protein Content (%)","Domestic","1998M07",3.2
"1696","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1998M07",16.6
"1697","Fat Content (%)","Import","1998M07",NA
"1698","Protein Content (%)","Import","1998M07",NA
"1699","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1998M08",567.8
"1700","Fat Content (%)","Domestic","1998M08",3.68
"1701","Protein Content (%)","Domestic","1998M08",3.26
"1702","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1998M08",13.9
"1703","Fat Content (%)","Import","1998M08",NA
"1704","Protein Content (%)","Import","1998M08",NA
"1705","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1998M09",461.9
"1706","Fat Content (%)","Domestic","1998M09",3.87
"1707","Protein Content (%)","Domestic","1998M09",3.43
"1708","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1998M09",22.9
"1709","Fat Content (%)","Import","1998M09",NA
"1710","Protein Content (%)","Import","1998M09",NA
"1711","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1998M10",363.2
"1712","Fat Content (%)","Domestic","1998M10",4.08
"1713","Protein Content (%)","Domestic","1998M10",3.58
"1714","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1998M10",38.2
"1715","Fat Content (%)","Import","1998M10",NA
"1716","Protein Content (%)","Import","1998M10",NA
"1717","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1998M11",200.6
"1718","Fat Content (%)","Domestic","1998M11",4.06
"1719","Protein Content (%)","Domestic","1998M11",3.44
"1720","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1998M11",38.4
"1721","Fat Content (%)","Import","1998M11",NA
"1722","Protein Content (%)","Import","1998M11",NA
"1723","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1998M12",128.4
"1724","Fat Content (%)","Domestic","1998M12",3.88
"1725","Protein Content (%)","Domestic","1998M12",3.23
"1726","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1998M12",36.2
"1727","Fat Content (%)","Import","1998M12",NA
"1728","Protein Content (%)","Import","1998M12",NA
"1729","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1999M01",115.7
"1730","Fat Content (%)","Domestic","1999M01",3.77
"1731","Protein Content (%)","Domestic","1999M01",3.13
"1732","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1999M01",22.7
"1733","Fat Content (%)","Import","1999M01",NA
"1734","Protein Content (%)","Import","1999M01",NA
"1735","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1999M02",182.1
"1736","Fat Content (%)","Domestic","1999M02",3.68
"1737","Protein Content (%)","Domestic","1999M02",3.09
"1738","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1999M02",19.1
"1739","Fat Content (%)","Import","1999M02",NA
"1740","Protein Content (%)","Import","1999M02",NA
"1741","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1999M03",406.8
"1742","Fat Content (%)","Domestic","1999M03",3.62
"1743","Protein Content (%)","Domestic","1999M03",3.04
"1744","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1999M03",39.8
"1745","Fat Content (%)","Import","1999M03",NA
"1746","Protein Content (%)","Import","1999M03",NA
"1747","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1999M04",564.4
"1748","Fat Content (%)","Domestic","1999M04",3.58
"1749","Protein Content (%)","Domestic","1999M04",3.14
"1750","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1999M04",25
"1751","Fat Content (%)","Import","1999M04",NA
"1752","Protein Content (%)","Import","1999M04",NA
"1753","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1999M05",688.9
"1754","Fat Content (%)","Domestic","1999M05",3.52
"1755","Protein Content (%)","Domestic","1999M05",3.19
"1756","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1999M05",29.4
"1757","Fat Content (%)","Import","1999M05",NA
"1758","Protein Content (%)","Import","1999M05",NA
"1759","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1999M06",625.5
"1760","Fat Content (%)","Domestic","1999M06",3.54
"1761","Protein Content (%)","Domestic","1999M06",3.22
"1762","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1999M06",28.2
"1763","Fat Content (%)","Import","1999M06",NA
"1764","Protein Content (%)","Import","1999M06",NA
"1765","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1999M07",611
"1766","Fat Content (%)","Domestic","1999M07",3.6
"1767","Protein Content (%)","Domestic","1999M07",3.22
"1768","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1999M07",24.9
"1769","Fat Content (%)","Import","1999M07",NA
"1770","Protein Content (%)","Import","1999M07",NA
"1771","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1999M08",574.9
"1772","Fat Content (%)","Domestic","1999M08",3.71
"1773","Protein Content (%)","Domestic","1999M08",3.26
"1774","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1999M08",21.2
"1775","Fat Content (%)","Import","1999M08",NA
"1776","Protein Content (%)","Import","1999M08",NA
"1777","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1999M09",473.4
"1778","Fat Content (%)","Domestic","1999M09",3.89
"1779","Protein Content (%)","Domestic","1999M09",3.42
"1780","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1999M09",25
"1781","Fat Content (%)","Import","1999M09",NA
"1782","Protein Content (%)","Import","1999M09",NA
"1783","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1999M10",368.9
"1784","Fat Content (%)","Domestic","1999M10",4.11
"1785","Protein Content (%)","Domestic","1999M10",3.58
"1786","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1999M10",40.8
"1787","Fat Content (%)","Import","1999M10",NA
"1788","Protein Content (%)","Import","1999M10",NA
"1789","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1999M11",230.2
"1790","Fat Content (%)","Domestic","1999M11",4.12
"1791","Protein Content (%)","Domestic","1999M11",3.49
"1792","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1999M11",42.1
"1793","Fat Content (%)","Import","1999M11",NA
"1794","Protein Content (%)","Import","1999M11",NA
"1795","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1999M12",131.5
"1796","Fat Content (%)","Domestic","1999M12",3.89
"1797","Protein Content (%)","Domestic","1999M12",3.25
"1798","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1999M12",42.5
"1799","Fat Content (%)","Import","1999M12",NA
"1800","Protein Content (%)","Import","1999M12",NA
"1801","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2000M01",118.9
"1802","Fat Content (%)","Domestic","2000M01",3.73
"1803","Protein Content (%)","Domestic","2000M01",3.09
"1804","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2000M01",47.5
"1805","Fat Content (%)","Import","2000M01",NA
"1806","Protein Content (%)","Import","2000M01",NA
"1807","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2000M02",187.8
"1808","Fat Content (%)","Domestic","2000M02",3.67
"1809","Protein Content (%)","Domestic","2000M02",3.07
"1810","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2000M02",41.2
"1811","Fat Content (%)","Import","2000M02",NA
"1812","Protein Content (%)","Import","2000M02",NA
"1813","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2000M03",358.7
"1814","Fat Content (%)","Domestic","2000M03",3.63
"1815","Protein Content (%)","Domestic","2000M03",3.06
"1816","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2000M03",44
"1817","Fat Content (%)","Import","2000M03",NA
"1818","Protein Content (%)","Import","2000M03",NA
"1819","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2000M04",611.4
"1820","Fat Content (%)","Domestic","2000M04",3.55
"1821","Protein Content (%)","Domestic","2000M04",3.21
"1822","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2000M04",20.1
"1823","Fat Content (%)","Import","2000M04",NA
"1824","Protein Content (%)","Import","2000M04",NA
"1825","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2000M05",695.9
"1826","Fat Content (%)","Domestic","2000M05",3.53
"1827","Protein Content (%)","Domestic","2000M05",3.23
"1828","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2000M05",23.1
"1829","Fat Content (%)","Import","2000M05",NA
"1830","Protein Content (%)","Import","2000M05",NA
"1831","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2000M06",676.3
"1832","Fat Content (%)","Domestic","2000M06",3.57
"1833","Protein Content (%)","Domestic","2000M06",3.24
"1834","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2000M06",22.7
"1835","Fat Content (%)","Import","2000M06",NA
"1836","Protein Content (%)","Import","2000M06",NA
"1837","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2000M07",638.7
"1838","Fat Content (%)","Domestic","2000M07",3.62
"1839","Protein Content (%)","Domestic","2000M07",3.22
"1840","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2000M07",19.9
"1841","Fat Content (%)","Import","2000M07",NA
"1842","Protein Content (%)","Import","2000M07",NA
"1843","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2000M08",570.8
"1844","Fat Content (%)","Domestic","2000M08",3.73
"1845","Protein Content (%)","Domestic","2000M08",3.27
"1846","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2000M08",17.6
"1847","Fat Content (%)","Import","2000M08",NA
"1848","Protein Content (%)","Import","2000M08",NA
"1849","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2000M09",476.7
"1850","Fat Content (%)","Domestic","2000M09",3.92
"1851","Protein Content (%)","Domestic","2000M09",3.47
"1852","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2000M09",16.4
"1853","Fat Content (%)","Import","2000M09",NA
"1854","Protein Content (%)","Import","2000M09",NA
"1855","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2000M10",359.9
"1856","Fat Content (%)","Domestic","2000M10",4.17
"1857","Protein Content (%)","Domestic","2000M10",3.63
