"","Statistic","Domestic.or.Import.Source","Year","value"
"70","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2003",348.9
"71","Fat Content (%)","Import","2003",NA
"72","Protein Content (%)","Import","2003",NA
"73","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2004",5116
"74","Fat Content (%)","Domestic","2004",3.75
"75","Protein Content (%)","Domestic","2004",3.3
"76","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2004",377.3
"77","Fat Content (%)","Import","2004",NA
"78","Protein Content (%)","Import","2004",NA
"79","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2005",4915.3
"80","Fat Content (%)","Domestic","2005",3.77
"81","Protein Content (%)","Domestic","2005",3.3
"82","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2005",550.3
"83","Fat Content (%)","Import","2005",NA
"84","Protein Content (%)","Import","2005",NA
"85","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2006",5073.74
"86","Fat Content (%)","Domestic","2006",3.75
"87","Protein Content (%)","Domestic","2006",3.3
"88","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2006",565.9
"89","Fat Content (%)","Import","2006",NA
"90","Protein Content (%)","Import","2006",NA
"91","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2007",5074.11
"92","Fat Content (%)","Domestic","2007",3.79
"93","Protein Content (%)","Domestic","2007",3.32
"94","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2007",473
"95","Fat Content (%)","Import","2007",NA
"96","Protein Content (%)","Import","2007",NA
"97","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2008",4943.2
"98","Fat Content (%)","Domestic","2008",3.82
"99","Protein Content (%)","Domestic","2008",3.34
"100","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2008",463.92
"101","Fat Content (%)","Import","2008",NA
"102","Protein Content (%)","Import","2008",NA
"103","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2009",4785.43
"104","Fat Content (%)","Domestic","2009",3.83
"105","Protein Content (%)","Domestic","2009",3.33
"106","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2009",427.23
"107","Fat Content (%)","Import","2009",NA
"108","Protein Content (%)","Import","2009",NA
"109","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2010",5173.41
"110","Fat Content (%)","Domestic","2010",3.85
"111","Protein Content (%)","Domestic","2010",3.37
"112","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2010",387.7
"113","Fat Content (%)","Import","2010",NA
"114","Protein Content (%)","Import","2010",NA
"115","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2011",5377
"116","Fat Content (%)","Domestic","2011",3.89
"117","Protein Content (%)","Domestic","2011",3.37
"118","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2011",356.1
"119","Fat Content (%)","Import","2011",NA
"120","Protein Content (%)","Import","2011",NA
"121","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2012",5224.6
"122","Fat Content (%)","Domestic","2012",3.94
"123","Protein Content (%)","Domestic","2012",3.36
"124","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2012",405.72
"125","Fat Content (%)","Import","2012",NA
"126","Protein Content (%)","Import","2012",NA
"127","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2013",5420.2
"128","Fat Content (%)","Domestic","2013",3.94
"129","Protein Content (%)","Domestic","2013",3.39
"130","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2013",410.5
"131","Fat Content (%)","Import","2013",NA
"132","Protein Content (%)","Import","2013",NA
