"","Product","Month","value"
"420","Butter and butteroil","1988M09",NA
"421","Cheese","1988M10",4.2
"422","Butter","1988M10",8.3
"423","Skimmed Milk Powder","1988M10",2.7
"424","Butter and butteroil","1988M10",NA
"425","Cheese","1988M11",0.1
"426","Butter","1988M11",4.5
"427","Skimmed Milk Powder","1988M11",1.3
"428","Butter and butteroil","1988M11",NA
"429","Cheese","1988M12",0.1
"430","Butter","1988M12",2.1
"431","Skimmed Milk Powder","1988M12",1.6
"432","Butter and butteroil","1988M12",NA
"433","Cheese","1989M01",0
"434","Butter","1989M01",3
"435","Skimmed Milk Powder","1989M01",2.4
"436","Butter and butteroil","1989M01",NA
"437","Cheese","1989M02",0.4
"438","Butter","1989M02",5
"439","Skimmed Milk Powder","1989M02",6
"440","Butter and butteroil","1989M02",NA
"441","Cheese","1989M03",3.2
"442","Butter","1989M03",10.3
"443","Skimmed Milk Powder","1989M03",10.5
"444","Butter and butteroil","1989M03",NA
"445","Cheese","1989M04",6.7
"446","Butter","1989M04",14.1
"447","Skimmed Milk Powder","1989M04",15.6
"448","Butter and butteroil","1989M04",NA
"449","Cheese","1989M05",12.1
"450","Butter","1989M05",21.4
"451","Skimmed Milk Powder","1989M05",24.6
"452","Butter and butteroil","1989M05",NA
"453","Cheese","1989M06",12.2
"454","Butter","1989M06",19.9
"455","Skimmed Milk Powder","1989M06",20.6
"456","Butter and butteroil","1989M06",NA
"457","Cheese","1989M07",10.7
"458","Butter","1989M07",16.6
"459","Skimmed Milk Powder","1989M07",19
"460","Butter and butteroil","1989M07",NA
"461","Cheese","1989M08",10.6
"462","Butter","1989M08",16.4
"463","Skimmed Milk Powder","1989M08",17.5
"464","Butter and butteroil","1989M08",NA
"465","Cheese","1989M09",10.3
"466","Butter","1989M09",12.9
"467","Skimmed Milk Powder","1989M09",9.5
"468","Butter and butteroil","1989M09",NA
"469","Cheese","1989M10",5.8
"470","Butter","1989M10",10.1
"471","Skimmed Milk Powder","1989M10",6.2
"472","Butter and butteroil","1989M10",NA
"473","Cheese","1989M11",0.6
"474","Butter","1989M11",6.5
"475","Skimmed Milk Powder","1989M11",4.4
"476","Butter and butteroil","1989M11",NA
"477","Cheese","1989M12",0.1
"478","Butter","1989M12",2.8
"479","Skimmed Milk Powder","1989M12",4.2
"480","Butter and butteroil","1989M12",NA
"481","Cheese","1990M01",0.2
"482","Butter","1990M01",3.4
"483","Skimmed Milk Powder","1990M01",4.3
"484","Butter and butteroil","1990M01",NA
"485","Cheese","1990M02",0.8
"486","Butter","1990M02",6
"487","Skimmed Milk Powder","1990M02",8.7
"488","Butter and butteroil","1990M02",NA
"489","Cheese","1990M03",4.1
"490","Butter","1990M03",11.1
"491","Skimmed Milk Powder","1990M03",13
"492","Butter and butteroil","1990M03",NA
"493","Cheese","1990M04",9.2
"494","Butter","1990M04",15.6
"495","Skimmed Milk Powder","1990M04",19.4
"496","Butter and butteroil","1990M04",NA
"497","Cheese","1990M05",13.6
"498","Butter","1990M05",20.9
"499","Skimmed Milk Powder","1990M05",29.1
"500","Butter and butteroil","1990M05",NA
"501","Cheese","1990M06",12.6
"502","Butter","1990M06",19.2
"503","Skimmed Milk Powder","1990M06",28.9
"504","Butter and butteroil","1990M06",NA
"505","Cheese","1990M07",10.8
"506","Butter","1990M07",19.8
"507","Skimmed Milk Powder","1990M07",29.2
"508","Butter and butteroil","1990M07",NA
"509","Cheese","1990M08",7.7
"510","Butter","1990M08",19.1
"511","Skimmed Milk Powder","1990M08",25.9
"512","Butter and butteroil","1990M08",NA
"513","Cheese","1990M09",5.4
"514","Butter","1990M09",13.9
"515","Skimmed Milk Powder","1990M09",16.2
"516","Butter and butteroil","1990M09",NA
"517","Cheese","1990M10",3.4
"518","Butter","1990M10",11.1
"519","Skimmed Milk Powder","1990M10",9.9
"520","Butter and butteroil","1990M10",NA
"521","Cheese","1990M11",0.5
"522","Butter","1990M11",5.7
"523","Skimmed Milk Powder","1990M11",6.2
"524","Butter and butteroil","1990M11",NA
"525","Cheese","1990M12",0.2
"526","Butter","1990M12",2.7
"527","Skimmed Milk Powder","1990M12",4.3
"528","Butter and butteroil","1990M12",NA
"529","Cheese","1991M01",0.4
"530","Butter","1991M01",3.3
"531","Skimmed Milk Powder","1991M01",4.6
"532","Butter and butteroil","1991M01",NA
"533","Cheese","1991M02",0.7
"534","Butter","1991M02",5.9
"535","Skimmed Milk Powder","1991M02",11.2
"536","Butter and butteroil","1991M02",NA
"537","Cheese","1991M03",3.2
"538","Butter","1991M03",11.3
"539","Skimmed Milk Powder","1991M03",18.9
"540","Butter and butteroil","1991M03",NA
"541","Cheese","1991M04",7.5
"542","Butter","1991M04",17.1
"543","Skimmed Milk Powder","1991M04",26.6
"544","Butter and butteroil","1991M04",NA
"545","Cheese","1991M05",11.5
"546","Butter","1991M05",22.8
"547","Skimmed Milk Powder","1991M05",34.7
"548","Butter and butteroil","1991M05",NA
"549","Cheese","1991M06",10.7
"550","Butter","1991M06",18.8
"551","Skimmed Milk Powder","1991M06",27.1
"552","Butter and butteroil","1991M06",NA
"553","Cheese","1991M07",11.4
"554","Butter","1991M07",19.1
"555","Skimmed Milk Powder","1991M07",24.8
"556","Butter and butteroil","1991M07",NA
"557","Cheese","1991M08",11.2
"558","Butter","1991M08",14.7
"559","Skimmed Milk Powder","1991M08",14.7
"560","Butter and butteroil","1991M08",NA
"561","Cheese","1991M09",8.6
"562","Butter","1991M09",10.9
"563","Skimmed Milk Powder","1991M09",10.2
"564","Butter and butteroil","1991M09",NA
"565","Cheese","1991M10",5.3
"566","Butter","1991M10",9.1
"567","Skimmed Milk Powder","1991M10",5.1
"568","Butter and butteroil","1991M10",NA
"569","Cheese","1991M11",2.8
"570","Butter","1991M11",4
"571","Skimmed Milk Powder","1991M11",1.5
"572","Butter and butteroil","1991M11",NA
"573","Cheese","1991M12",0.4
"574","Butter","1991M12",3
"575","Skimmed Milk Powder","1991M12",3.9
"576","Butter and butteroil","1991M12",NA
"577","Cheese","1992M01",0.9
"578","Butter","1992M01",3.9
"579","Skimmed Milk Powder","1992M01",3.9
"580","Butter and butteroil","1992M01",NA
"581","Cheese","1992M02",1.8
"582","Butter","1992M02",5.8
"583","Skimmed Milk Powder","1992M02",7.3
"584","Butter and butteroil","1992M02",NA
"585","Cheese","1992M03",6.5
"586","Butter","1992M03",10.4
"587","Skimmed Milk Powder","1992M03",10.7
"588","Butter and butteroil","1992M03",NA
"589","Cheese","1992M04",11
"590","Butter","1992M04",15
"591","Skimmed Milk Powder","1992M04",12.5
"592","Butter and butteroil","1992M04",NA
"593","Cheese","1992M05",12.9
"594","Butter","1992M05",16.5
"595","Skimmed Milk Powder","1992M05",20
"596","Butter and butteroil","1992M05",NA
