"","Type.of.Milk","Month","value"
"1287","Whole Milk","2001M06",35.8
"1288","Skimmed and Semi-skimmed milk","2001M06",9.6
"1289","Skimmed Milk","2001M06",1.5
"1290","Semi-skimmed milk","2001M06",8.1
"1291","All Milk","2001M07",46.1
"1292","Whole Milk","2001M07",36.3
"1293","Skimmed and Semi-skimmed milk","2001M07",9.7
"1294","Skimmed Milk","2001M07",1.5
"1295","Semi-skimmed milk","2001M07",8.2
"1296","All Milk","2001M08",46.8
"1297","Whole Milk","2001M08",36.8
"1298","Skimmed and Semi-skimmed milk","2001M08",9.9
"1299","Skimmed Milk","2001M08",1.5
"1300","Semi-skimmed milk","2001M08",8.4
"1301","All Milk","2001M09",45.1
"1302","Whole Milk","2001M09",35.6
"1303","Skimmed and Semi-skimmed milk","2001M09",9.6
"1304","Skimmed Milk","2001M09",1.5
"1305","Semi-skimmed milk","2001M09",8
"1306","All Milk","2001M10",46.8
"1307","Whole Milk","2001M10",36.7
"1308","Skimmed and Semi-skimmed milk","2001M10",10
"1309","Skimmed Milk","2001M10",1.6
"1310","Semi-skimmed milk","2001M10",8.4
"1311","All Milk","2001M11",44.3
"1312","Whole Milk","2001M11",34.9
"1313","Skimmed and Semi-skimmed milk","2001M11",9.4
"1314","Skimmed Milk","2001M11",1.5
"1315","Semi-skimmed milk","2001M11",7.9
"1316","All Milk","2001M12",44.6
"1317","Whole Milk","2001M12",35.2
"1318","Skimmed and Semi-skimmed milk","2001M12",9.4
"1319","Skimmed Milk","2001M12",1.4
"1320","Semi-skimmed milk","2001M12",8
"1321","All Milk","2002M01",46.1
"1322","Whole Milk","2002M01",36.1
"1323","Skimmed and Semi-skimmed milk","2002M01",9.9
"1324","Skimmed Milk","2002M01",1.5
"1325","Semi-skimmed milk","2002M01",8.4
"1326","All Milk","2002M02",42.2
"1327","Whole Milk","2002M02",32.9
"1328","Skimmed and Semi-skimmed milk","2002M02",9.3
"1329","Skimmed Milk","2002M02",1.5
"1330","Semi-skimmed milk","2002M02",7.8
"1331","All Milk","2002M03",44.6
"1332","Whole Milk","2002M03",34.6
"1333","Skimmed and Semi-skimmed milk","2002M03",10.1
"1334","Skimmed Milk","2002M03",1.6
"1335","Semi-skimmed milk","2002M03",8.5
"1336","All Milk","2002M04",44.7
"1337","Whole Milk","2002M04",34.7
"1338","Skimmed and Semi-skimmed milk","2002M04",10
"1339","Skimmed Milk","2002M04",1.6
"1340","Semi-skimmed milk","2002M04",8.4
"1341","All Milk","2002M05",46.2
"1342","Whole Milk","2002M05",35.9
"1343","Skimmed and Semi-skimmed milk","2002M05",10.3
"1344","Skimmed Milk","2002M05",1.6
"1345","Semi-skimmed milk","2002M05",8.7
"1346","All Milk","2002M06",44
"1347","Whole Milk","2002M06",34.2
"1348","Skimmed and Semi-skimmed milk","2002M06",9.8
"1349","Skimmed Milk","2002M06",1.5
"1350","Semi-skimmed milk","2002M06",8.3
"1351","All Milk","2002M07",45.9
"1352","Whole Milk","2002M07",35.8
"1353","Skimmed and Semi-skimmed milk","2002M07",10.2
"1354","Skimmed Milk","2002M07",1.5
"1355","Semi-skimmed milk","2002M07",8.6
"1356","All Milk","2002M08",45.5
"1357","Whole Milk","2002M08",35.4
"1358","Skimmed and Semi-skimmed milk","2002M08",10.1
"1359","Skimmed Milk","2002M08",1.5
"1360","Semi-skimmed milk","2002M08",8.6
"1361","All Milk","2002M09",44.4
"1362","Whole Milk","2002M09",34.6
"1363","Skimmed and Semi-skimmed milk","2002M09",9.9
"1364","Skimmed Milk","2002M09",1.5
"1365","Semi-skimmed milk","2002M09",8.4
"1366","All Milk","2002M10",46
"1367","Whole Milk","2002M10",35.7
"1368","Skimmed and Semi-skimmed milk","2002M10",10.3
"1369","Skimmed Milk","2002M10",1.6
"1370","Semi-skimmed milk","2002M10",8.7
"1371","All Milk","2002M11",44.1
"1372","Whole Milk","2002M11",34.2
"1373","Skimmed and Semi-skimmed milk","2002M11",9.9
"1374","Skimmed Milk","2002M11",1.5
"1375","Semi-skimmed milk","2002M11",8.4
"1376","All Milk","2002M12",43.1
"1377","Whole Milk","2002M12",33.5
"1378","Skimmed and Semi-skimmed milk","2002M12",9.5
"1379","Skimmed Milk","2002M12",1.4
"1380","Semi-skimmed milk","2002M12",8.2
"1381","All Milk","2003M01",45.4
"1382","Whole Milk","2003M01",35.1
"1383","Skimmed and Semi-skimmed milk","2003M01",10.3
"1384","Skimmed Milk","2003M01",1.6
"1385","Semi-skimmed milk","2003M01",8.8
"1386","All Milk","2003M02",40.8
"1387","Whole Milk","2003M02",31.4
"1388","Skimmed and Semi-skimmed milk","2003M02",9.4
"1389","Skimmed Milk","2003M02",1.5
"1390","Semi-skimmed milk","2003M02",8
"1391","All Milk","2003M03",48.2
"1392","Whole Milk","2003M03",36.9
"1393","Skimmed and Semi-skimmed milk","2003M03",11.3
"1394","Skimmed Milk","2003M03",1.7
"1395","Semi-skimmed milk","2003M03",9.6
"1396","All Milk","2003M04",41.6
"1397","Whole Milk","2003M04",32.1
"1398","Skimmed and Semi-skimmed milk","2003M04",9.5
"1399","Skimmed Milk","2003M04",1.4
"1400","Semi-skimmed milk","2003M04",8.1
"1401","All Milk","2003M05",44.8
"1402","Whole Milk","2003M05",34.6
"1403","Skimmed and Semi-skimmed milk","2003M05",10.2
"1404","Skimmed Milk","2003M05",1.5
"1405","Semi-skimmed milk","2003M05",8.7
"1406","All Milk","2003M06",43
"1407","Whole Milk","2003M06",33.1
"1408","Skimmed and Semi-skimmed milk","2003M06",9.8
"1409","Skimmed Milk","2003M06",1.4
"1410","Semi-skimmed milk","2003M06",8.4
"1411","All Milk","2003M07",45.4
"1412","Whole Milk","2003M07",34.8
"1413","Skimmed and Semi-skimmed milk","2003M07",10.6
"1414","Skimmed Milk","2003M07",1.5
"1415","Semi-skimmed milk","2003M07",9.1
"1416","All Milk","2003M08",44
"1417","Whole Milk","2003M08",33.7
"1418","Skimmed and Semi-skimmed milk","2003M08",10.2
"1419","Skimmed Milk","2003M08",1.4
"1420","Semi-skimmed milk","2003M08",8.8
"1421","All Milk","2003M09",44.6
"1422","Whole Milk","2003M09",34.2
"1423","Skimmed and Semi-skimmed milk","2003M09",10.4
"1424","Skimmed Milk","2003M09",1.5
"1425","Semi-skimmed milk","2003M09",8.9
"1426","All Milk","2003M10",45.6
"1427","Whole Milk","2003M10",35
"1428","Skimmed and Semi-skimmed milk","2003M10",10.6
"1429","Skimmed Milk","2003M10",1.5
"1430","Semi-skimmed milk","2003M10",9.1
"1431","All Milk","2003M11",43
"1432","Whole Milk","2003M11",33.1
"1433","Skimmed and Semi-skimmed milk","2003M11",9.9
"1434","Skimmed Milk","2003M11",1.4
"1435","Semi-skimmed milk","2003M11",8.5
"1436","All Milk","2003M12",43.6
"1437","Whole Milk","2003M12",33.7
"1438","Skimmed and Semi-skimmed milk","2003M12",9.9
"1439","Skimmed Milk","2003M12",1.3
"1440","Semi-skimmed milk","2003M12",8.5
"1441","All Milk","2004M01",44.2
"1442","Whole Milk","2004M01",33.9
"1443","Skimmed and Semi-skimmed milk","2004M01",10.3
"1444","Skimmed Milk","2004M01",1.5
"1445","Semi-skimmed milk","2004M01",8.8
"1446","All Milk","2004M02",41.4
"1447","Whole Milk","2004M02",31.6
"1448","Skimmed and Semi-skimmed milk","2004M02",9.8
"1449","Skimmed Milk","2004M02",1.5
"1450","Semi-skimmed milk","2004M02",8.3
"1451","All Milk","2004M03",47.4
"1452","Whole Milk","2004M03",36
"1453","Skimmed and Semi-skimmed milk","2004M03",11.4
"1454","Skimmed Milk","2004M03",1.7
"1455","Semi-skimmed milk","2004M03",9.7
"1456","All Milk","2004M04",41.2
"1457","Whole Milk","2004M04",31.5
"1458","Skimmed and Semi-skimmed milk","2004M04",9.7
"1459","Skimmed Milk","2004M04",1.4
"1460","Semi-skimmed milk","2004M04",8.3
"1461","All Milk","2004M05",44
"1462","Whole Milk","2004M05",33.3
"1463","Skimmed and Semi-skimmed milk","2004M05",10.7
"1464","Skimmed Milk","2004M05",1.5
"1465","Semi-skimmed milk","2004M05",9.1
"1466","All Milk","2004M06",43.4
"1467","Whole Milk","2004M06",32.9
"1468","Skimmed and Semi-skimmed milk","2004M06",10.5
"1469","Skimmed Milk","2004M06",1.5
"1470","Semi-skimmed milk","2004M06",9
"1471","All Milk","2004M07",43.8
"1472","Whole Milk","2004M07",33.2
"1473","Skimmed and Semi-skimmed milk","2004M07",10.6
"1474","Skimmed Milk","2004M07",1.5
"1475","Semi-skimmed milk","2004M07",9.1
"1476","All Milk","2004M08",44.3
"1477","Whole Milk","2004M08",33.6
"1478","Skimmed and Semi-skimmed milk","2004M08",10.7
"1479","Skimmed Milk","2004M08",1.5
"1480","Semi-skimmed milk","2004M08",9.2
"1481","All Milk","2004M09",44.2
"1482","Whole Milk","2004M09",33.6
"1483","Skimmed and Semi-skimmed milk","2004M09",10.6
"1484","Skimmed Milk","2004M09",1.5
"1485","Semi-skimmed milk","2004M09",9.1
"1486","All Milk","2004M10",43.6
"1487","Whole Milk","2004M10",32.9
"1488","Skimmed and Semi-skimmed milk","2004M10",10.6
"1489","Skimmed Milk","2004M10",1.5
"1490","Semi-skimmed milk","2004M10",9.1
"1491","All Milk","2004M11",43.1
"1492","Whole Milk","2004M11",32.7
"1493","Skimmed and Semi-skimmed milk","2004M11",10.4
"1494","Skimmed Milk","2004M11",1.5
"1495","Semi-skimmed milk","2004M11",9
"1496","All Milk","2004M12",43.3
"1497","Whole Milk","2004M12",32.8
"1498","Skimmed and Semi-skimmed milk","2004M12",10.5
"1499","Skimmed Milk","2004M12",1.4
"1500","Semi-skimmed milk","2004M12",9.1
"1501","All Milk","2005M01",43.5
"1502","Whole Milk","2005M01",32.8
"1503","Skimmed and Semi-skimmed milk","2005M01",10.8
"1504","Skimmed Milk","2005M01",1.5
"1505","Semi-skimmed milk","2005M01",9.2
"1506","All Milk","2005M02",40.5
"1507","Whole Milk","2005M02",30.3
"1508","Skimmed and Semi-skimmed milk","2005M02",10.2
"1509","Skimmed Milk","2005M02",1.4
"1510","Semi-skimmed milk","2005M02",8.8
"1511","All Milk","2005M03",45.4
"1512","Whole Milk","2005M03",33.8
"1513","Skimmed and Semi-skimmed milk","2005M03",11.7
"1514","Skimmed Milk","2005M03",1.6
"1515","Semi-skimmed milk","2005M03",10.1
"1516","All Milk","2005M04",40.9
"1517","Whole Milk","2005M04",30.5
"1518","Skimmed and Semi-skimmed milk","2005M04",10.4
"1519","Skimmed Milk","2005M04",1.4
"1520","Semi-skimmed milk","2005M04",9
"1521","All Milk","2005M05",44.5
"1522","Whole Milk","2005M05",33.1
"1523","Skimmed and Semi-skimmed milk","2005M05",11.4
"1524","Skimmed Milk","2005M05",1.6
"1525","Semi-skimmed milk","2005M05",9.8
"1526","All Milk","2005M06",43.2
"1527","Whole Milk","2005M06",32.2
"1528","Skimmed and Semi-skimmed milk","2005M06",11.1
"1529","Skimmed Milk","2005M06",1.5
"1530","Semi-skimmed milk","2005M06",9.6
"1531","All Milk","2005M07",43.3
"1532","Whole Milk","2005M07",32.1
"1533","Skimmed and Semi-skimmed milk","2005M07",11.2
"1534","Skimmed Milk","2005M07",1.5
"1535","Semi-skimmed milk","2005M07",9.7
"1536","All Milk","2005M08",45.8
"1537","Whole Milk","2005M08",33.9
"1538","Skimmed and Semi-skimmed milk","2005M08",11.9
"1539","Skimmed Milk","2005M08",1.6
"1540","Semi-skimmed milk","2005M08",10.3
"1541","All Milk","2005M09",44.4
"1542","Whole Milk","2005M09",32.9
"1543","Skimmed and Semi-skimmed milk","2005M09",11.5
"1544","Skimmed Milk","2005M09",1.5
"1545","Semi-skimmed milk","2005M09",10
"1546","All Milk","2005M10",42.7
"1547","Whole Milk","2005M10",31.6
"1548","Skimmed and Semi-skimmed milk","2005M10",11.1
"1549","Skimmed Milk","2005M10",1.5
"1550","Semi-skimmed milk","2005M10",9.6
"1551","All Milk","2005M11",43.6
"1552","Whole Milk","2005M11",32.3
"1553","Skimmed and Semi-skimmed milk","2005M11",11.3
"1554","Skimmed Milk","2005M11",1.5
"1555","Semi-skimmed milk","2005M11",9.8
"1556","All Milk","2005M12",42.7
"1557","Whole Milk","2005M12",31.7
"1558","Skimmed and Semi-skimmed milk","2005M12",11
"1559","Skimmed Milk","2005M12",1.4
"1560","Semi-skimmed milk","2005M12",9.6
"1561","All Milk","2006M01",43.6
"1562","Whole Milk","2006M01",32
"1563","Skimmed and Semi-skimmed milk","2006M01",11.6
"1564","Skimmed Milk","2006M01",1.5
"1565","Semi-skimmed milk","2006M01",10.1
"1566","All Milk","2006M02",40.3
"1567","Whole Milk","2006M02",29.5
"1568","Skimmed and Semi-skimmed milk","2006M02",10.8
"1569","Skimmed Milk","2006M02",1.4
"1570","Semi-skimmed milk","2006M02",9.4
"1571","All Milk","2006M03",46.2
"1572","Whole Milk","2006M03",33.8
"1573","Skimmed and Semi-skimmed milk","2006M03",12.4
"1574","Skimmed Milk","2006M03",1.6
"1575","Semi-skimmed milk","2006M03",10.8
"1576","All Milk","2006M04",41.4
"1577","Whole Milk","2006M04",30.2
"1578","Skimmed and Semi-skimmed milk","2006M04",11.2
"1579","Skimmed Milk","2006M04",1.4
"1580","Semi-skimmed milk","2006M04",9.8
"1581","All Milk","2006M05",44.2
"1582","Whole Milk","2006M05",32.4
"1583","Skimmed and Semi-skimmed milk","2006M05",11.7
"1584","Skimmed Milk","2006M05",1.5
"1585","Semi-skimmed milk","2006M05",10.3
"1586","All Milk","2006M06",42.8
"1587","Whole Milk","2006M06",31.3
"1588","Skimmed and Semi-skimmed milk","2006M06",11.5
"1589","Skimmed Milk","2006M06",1.5
"1590","Semi-skimmed milk","2006M06",10
"1591","All Milk","2006M07",43.3
"1592","Whole Milk","2006M07",31.6
"1593","Skimmed and Semi-skimmed milk","2006M07",11.7
"1594","Skimmed Milk","2006M07",1.5
"1595","Semi-skimmed milk","2006M07",10.2
"1596","All Milk","2006M08",46.9
"1597","Whole Milk","2006M08",34.3
"1598","Skimmed and Semi-skimmed milk","2006M08",12.6
"1599","Skimmed Milk","2006M08",1.6
"1600","Semi-skimmed milk","2006M08",11
"1601","All Milk","2006M09",43.5
"1602","Whole Milk","2006M09",31.7
"1603","Skimmed and Semi-skimmed milk","2006M09",11.8
"1604","Skimmed Milk","2006M09",1.5
"1605","Semi-skimmed milk","2006M09",10.3
"1606","All Milk","2006M10",44.4
"1607","Whole Milk","2006M10",32.3
"1608","Skimmed and Semi-skimmed milk","2006M10",12.1
"1609","Skimmed Milk","2006M10",1.6
"1610","Semi-skimmed milk","2006M10",10.5
"1611","All Milk","2006M11",44.1
"1612","Whole Milk","2006M11",32.2
"1613","Skimmed and Semi-skimmed milk","2006M11",12
"1614","Skimmed Milk","2006M11",1.5
"1615","Semi-skimmed milk","2006M11",10.5
"1616","All Milk","2006M12",43.1
"1617","Whole Milk","2006M12",31.4
"1618","Skimmed and Semi-skimmed milk","2006M12",11.7
"1619","Skimmed Milk","2006M12",1.4
"1620","Semi-skimmed milk","2006M12",10.3
"1621","All Milk","2007M01",44.4
"1622","Whole Milk","2007M01",32.1
"1623","Skimmed and Semi-skimmed milk","2007M01",12.3
"1624","Skimmed Milk","2007M01",1.6
"1625","Semi-skimmed milk","2007M01",10.7
"1626","All Milk","2007M02",41.9
"1627","Whole Milk","2007M02",29.3
"1628","Skimmed and Semi-skimmed milk","2007M02",12.6
"1629","Skimmed Milk","2007M02",2.7
"1630","Semi-skimmed milk","2007M02",9.9
"1631","All Milk","2007M03",45.3
"1632","Whole Milk","2007M03",32.4
"1633","Skimmed and Semi-skimmed milk","2007M03",12.8
"1634","Skimmed Milk","2007M03",1.6
"1635","Semi-skimmed milk","2007M03",11.2
"1636","All Milk","2007M04",42.6
"1637","Whole Milk","2007M04",30.4
"1638","Skimmed and Semi-skimmed milk","2007M04",12.1
"1639","Skimmed Milk","2007M04",1.6
"1640","Semi-skimmed milk","2007M04",10.6
"1641","All Milk","2007M05",44.6
"1642","Whole Milk","2007M05",31.8
"1643","Skimmed and Semi-skimmed milk","2007M05",12.8
"1644","Skimmed Milk","2007M05",1.6
"1645","Semi-skimmed milk","2007M05",11.2
"1646","All Milk","2007M06",43.3
"1647","Whole Milk","2007M06",30.8
"1648","Skimmed and Semi-skimmed milk","2007M06",12.5
"1649","Skimmed Milk","2007M06",1.6
"1650","Semi-skimmed milk","2007M06",10.9
"1651","All Milk","2007M07",43.9
"1652","Whole Milk","2007M07",31.2
"1653","Skimmed and Semi-skimmed milk","2007M07",12.7
"1654","Skimmed Milk","2007M07",1.6
"1655","Semi-skimmed milk","2007M07",11.2
"1656","All Milk","2007M08",45.7
"1657","Whole Milk","2007M08",32.2
"1658","Skimmed and Semi-skimmed milk","2007M08",13.5
"1659","Skimmed Milk","2007M08",1.9
"1660","Semi-skimmed milk","2007M08",11.6
"1661","All Milk","2007M09",44.1
"1662","Whole Milk","2007M09",31.1
"1663","Skimmed and Semi-skimmed milk","2007M09",13
"1664","Skimmed Milk","2007M09",1.9
"1665","Semi-skimmed milk","2007M09",11.1
"1666","All Milk","2007M10",45.4
"1667","Whole Milk","2007M10",31.9
"1668","Skimmed and Semi-skimmed milk","2007M10",13.5
"1669","Skimmed Milk","2007M10",1.9
"1670","Semi-skimmed milk","2007M10",11.6
"1671","All Milk","2007M11",44.3
"1672","Whole Milk","2007M11",30.9
"1673","Skimmed and Semi-skimmed milk","2007M11",13.4
"1674","Skimmed Milk","2007M11",1.9
"1675","Semi-skimmed milk","2007M11",11.4
"1676","All Milk","2007M12",43.1
"1677","Whole Milk","2007M12",30.2
"1678","Skimmed and Semi-skimmed milk","2007M12",13
"1679","Skimmed Milk","2007M12",1.7
"1680","Semi-skimmed milk","2007M12",11.3
"1681","All Milk","2008M01",44.7
"1682","Whole Milk","2008M01",30.9
"1683","Skimmed and Semi-skimmed milk","2008M01",13.8
"1684","Skimmed Milk","2008M01",2.1
"1685","Semi-skimmed milk","2008M01",11.7
"1686","All Milk","2008M02",42.1
"1687","Whole Milk","2008M02",29.1
"1688","Skimmed and Semi-skimmed milk","2008M02",13
"1689","Skimmed Milk","2008M02",1.8
"1690","Semi-skimmed milk","2008M02",11.2
"1691","All Milk","2008M03",43.1
"1692","Whole Milk","2008M03",29.8
"1693","Skimmed and Semi-skimmed milk","2008M03",13.4
"1694","Skimmed Milk","2008M03",1.8
"1695","Semi-skimmed milk","2008M03",11.5
"1696","All Milk","2008M04",45.5
"1697","Whole Milk","2008M04",31.4
"1698","Skimmed and Semi-skimmed milk","2008M04",14.1
"1699","Skimmed Milk","2008M04",2
"1700","Semi-skimmed milk","2008M04",12.1
"1701","All Milk","2008M05",43.5
"1702","Whole Milk","2008M05",29.9
"1703","Skimmed and Semi-skimmed milk","2008M05",13.7
"1704","Skimmed Milk","2008M05",1.9
"1705","Semi-skimmed milk","2008M05",11.7
"1706","All Milk","2008M06",42.9
"1707","Whole Milk","2008M06",29.4
"1708","Skimmed and Semi-skimmed milk","2008M06",13.5
"1709","Skimmed Milk","2008M06",1.9
"1710","Semi-skimmed milk","2008M06",11.6
"1711","All Milk","2008M07",43.3
"1712","Whole Milk","2008M07",29.7
"1713","Skimmed and Semi-skimmed milk","2008M07",13.7
"1714","Skimmed Milk","2008M07",1.9
"1715","Semi-skimmed milk","2008M07",11.8
"1716","All Milk","2008M08",43.9
"1717","Whole Milk","2008M08",30
"1718","Skimmed and Semi-skimmed milk","2008M08",13.9
"1719","Skimmed Milk","2008M08",1.9
"1720","Semi-skimmed milk","2008M08",12.1
"1721","All Milk","2008M09",42.6
"1722","Whole Milk","2008M09",29.2
"1723","Skimmed and Semi-skimmed milk","2008M09",13.4
"1724","Skimmed Milk","2008M09",1.8
"1725","Semi-skimmed milk","2008M09",11.6
"1726","All Milk","2008M10",43.5
"1727","Whole Milk","2008M10",29.8
"1728","Skimmed and Semi-skimmed milk","2008M10",13.7
"1729","Skimmed Milk","2008M10",1.8
"1730","Semi-skimmed milk","2008M10",11.9
"1731","All Milk","2008M11",42.3
"1732","Whole Milk","2008M11",28.8
"1733","Skimmed and Semi-skimmed milk","2008M11",13.5
"1734","Skimmed Milk","2008M11",1.8
"1735","Semi-skimmed milk","2008M11",11.7
"1736","All Milk","2008M12",42.7
"1737","Whole Milk","2008M12",29.4
"1738","Skimmed and Semi-skimmed milk","2008M12",13.4
"1739","Skimmed Milk","2008M12",1.7
"1740","Semi-skimmed milk","2008M12",11.7
"1741","All Milk","2009M01",42.84
"1742","Whole Milk","2009M01",29.21
"1743","Skimmed and Semi-skimmed milk","2009M01",13.63
"1744","Skimmed Milk","2009M01",1.81
"1745","Semi-skimmed milk","2009M01",11.82
"1746","All Milk","2009M02",39.19
"1747","Whole Milk","2009M02",26.6
"1748","Skimmed and Semi-skimmed milk","2009M02",12.58
"1749","Skimmed Milk","2009M02",1.7
"1750","Semi-skimmed milk","2009M02",10.88
"1751","All Milk","2009M03",45.72
"1752","Whole Milk","2009M03",30.59
"1753","Skimmed and Semi-skimmed milk","2009M03",15.13
"1754","Skimmed Milk","2009M03",2.1
"1755","Semi-skimmed milk","2009M03",13.1
"1756","All Milk","2009M04",38.64
"1757","Whole Milk","2009M04",26.2
"1758","Skimmed and Semi-skimmed milk","2009M04",12.44
"1759","Skimmed Milk","2009M04",1.7
"1760","Semi-skimmed milk","2009M04",10.8
"1761","All Milk","2009M05",41.5
"1762","Whole Milk","2009M05",27.9
"1763","Skimmed and Semi-skimmed milk","2009M05",13.6
"1764","Skimmed Milk","2009M05",1.8
"1765","Semi-skimmed milk","2009M05",11.8
"1766","All Milk","2009M06",40.52
"1767","Whole Milk","2009M06",27.3
"1768","Skimmed and Semi-skimmed milk","2009M06",13.3
"1769","Skimmed Milk","2009M06",1.8
"1770","Semi-skimmed milk","2009M06",11.5
"1771","All Milk","2009M07",41.4
"1772","Whole Milk","2009M07",27.7
"1773","Skimmed and Semi-skimmed milk","2009M07",13.7
"1774","Skimmed Milk","2009M07",1.8
"1775","Semi-skimmed milk","2009M07",11.9
"1776","All Milk","2009M08",41.7
"1777","Whole Milk","2009M08",27.78
"1778","Skimmed and Semi-skimmed milk","2009M08",13.92
"1779","Skimmed Milk","2009M08",1.84
"1780","Semi-skimmed milk","2009M08",12.08
"1781","All Milk","2009M09",39.81
"1782","Whole Milk","2009M09",26.2
"1783","Skimmed and Semi-skimmed milk","2009M09",13.61
"1784","Skimmed Milk","2009M09",1.82
"1785","Semi-skimmed milk","2009M09",11.8
"1786","All Milk","2009M10",41.49
"1787","Whole Milk","2009M10",27.64
"1788","Skimmed and Semi-skimmed milk","2009M10",13.9
"1789","Skimmed Milk","2009M10",1.8
"1790","Semi-skimmed milk","2009M10",12.07
"1791","All Milk","2009M11",40.9
"1792","Whole Milk","2009M11",27.18
"1793","Skimmed and Semi-skimmed milk","2009M11",13.7
"1794","Skimmed Milk","2009M11",1.74
"1795","Semi-skimmed milk","2009M11",11.93
"1796","All Milk","2009M12",41.29
"1797","Whole Milk","2009M12",27.84
"1798","Skimmed and Semi-skimmed milk","2009M12",13.5
"1799","Skimmed Milk","2009M12",1.6
"1800","Semi-skimmed milk","2009M12",11.86
"1801","All Milk","2010M01",41.38
"1802","Whole Milk","2010M01",27.58
"1803","Skimmed and Semi-skimmed milk","2010M01",13.81
"1804","Skimmed Milk","2010M01",1.68
"1805","Semi-skimmed milk","2010M01",12.13
"1806","All Milk","2010M02",38.29
"1807","Whole Milk","2010M02",25.23
"1808","Skimmed and Semi-skimmed milk","2010M02",13.06
"1809","Skimmed Milk","2010M02",1.73
"1810","Semi-skimmed milk","2010M02",11.33
"1811","All Milk","2010M03",44.49
"1812","Whole Milk","2010M03",29.08
"1813","Skimmed and Semi-skimmed milk","2010M03",15.41
"1814","Skimmed Milk","2010M03",2.02
"1815","Semi-skimmed milk","2010M03",13.39
"1816","All Milk","2010M04",38.31
"1817","Whole Milk","2010M04",25.2
"1818","Skimmed and Semi-skimmed milk","2010M04",13.12
"1819","Skimmed Milk","2010M04",1.7
"1820","Semi-skimmed milk","2010M04",11.5
"1821","All Milk","2010M05",41.54
"1822","Whole Milk","2010M05",27.3
"1823","Skimmed and Semi-skimmed milk","2010M05",14.3
"1824","Skimmed Milk","2010M05",1.82
"1825","Semi-skimmed milk","2010M05",12.5
"1826","All Milk","2010M06",40.6
"1827","Whole Milk","2010M06",26.7
"1828","Skimmed and Semi-skimmed milk","2010M06",13.9
"1829","Skimmed Milk","2010M06",1.71
"1830","Semi-skimmed milk","2010M06",12.2
"1831","All Milk","2010M07",40.8
"1832","Whole Milk","2010M07",26.6
"1833","Skimmed and Semi-skimmed milk","2010M07",14.2
"1834","Skimmed Milk","2010M07",1.8
"1835","Semi-skimmed milk","2010M07",12.4
"1836","All Milk","2010M08",41.7
"1837","Whole Milk","2010M08",27.1
"1838","Skimmed and Semi-skimmed milk","2010M08",14.6
"1839","Skimmed Milk","2010M08",1.8
"1840","Semi-skimmed milk","2010M08",12.8
"1841","All Milk","2010M09",40.8
"1842","Whole Milk","2010M09",26.5
"1843","Skimmed and Semi-skimmed milk","2010M09",14.3
"1844","Skimmed Milk","2010M09",1.8
"1845","Semi-skimmed milk","2010M09",12.44
"1846","All Milk","2010M10",40.76
"1847","Whole Milk","2010M10",26.3
"1848","Skimmed and Semi-skimmed milk","2010M10",14.46
"1849","Skimmed Milk","2010M10",1.85
"1850","Semi-skimmed milk","2010M10",12.61
"1851","All Milk","2010M11",42.12
"1852","Whole Milk","2010M11",27.4
"1853","Skimmed and Semi-skimmed milk","2010M11",14.8
"1854","Skimmed Milk","2010M11",1.83
"1855","Semi-skimmed milk","2010M11",12.94
"1856","All Milk","2010M12",41.54
"1857","Whole Milk","2010M12",27.2
"1858","Skimmed and Semi-skimmed milk","2010M12",14.4
"1859","Skimmed Milk","2010M12",1.9
"1860","Semi-skimmed milk","2010M12",12.5
"1861","All Milk","2011M01",41.1
"1862","Whole Milk","2011M01",26.6
"1863","Skimmed and Semi-skimmed milk","2011M01",14.51
"1864","Skimmed Milk","2011M01",1.84
"1865","Semi-skimmed milk","2011M01",12.7
"1866","All Milk","2011M02",38.2
"1867","Whole Milk","2011M02",24.4
"1868","Skimmed and Semi-skimmed milk","2011M02",13.8
"1869","Skimmed Milk","2011M02",1.9
"1870","Semi-skimmed milk","2011M02",11.9
"1871","All Milk","2011M03",43.8
"1872","Whole Milk","2011M03",28
"1873","Skimmed and Semi-skimmed milk","2011M03",15.8
"1874","Skimmed Milk","2011M03",2
"1875","Semi-skimmed milk","2011M03",13.7
"1876","All Milk","2011M04",40.1
"1877","Whole Milk","2011M04",26.2
"1878","Skimmed and Semi-skimmed milk","2011M04",13.9
"1879","Skimmed Milk","2011M04",1.7
"1880","Semi-skimmed milk","2011M04",12.2
"1881","All Milk","2011M05",43
"1882","Whole Milk","2011M05",27.9
"1883","Skimmed and Semi-skimmed milk","2011M05",15
"1884","Skimmed Milk","2011M05",1.9
"1885","Semi-skimmed milk","2011M05",13.1
"1886","All Milk","2011M06",42.52
"1887","Whole Milk","2011M06",28.01
"1888","Skimmed and Semi-skimmed milk","2011M06",14.51
"1889","Skimmed Milk","2011M06",1.8
"1890","Semi-skimmed milk","2011M06",12.73
"1891","All Milk","2011M07",40.7
"1892","Whole Milk","2011M07",26.1
"1893","Skimmed and Semi-skimmed milk","2011M07",14.64
"1894","Skimmed Milk","2011M07",1.8
"1895","Semi-skimmed milk","2011M07",12.9
"1896","All Milk","2011M08",42.4
"1897","Whole Milk","2011M08",27.01
"1898","Skimmed and Semi-skimmed milk","2011M08",15.4
"1899","Skimmed Milk","2011M08",1.91
"1900","Semi-skimmed milk","2011M08",13.5
"1901","All Milk","2011M09",40.31
"1902","Whole Milk","2011M09",25.63
