"","Type.of.Milk","Month","value"
"202","Whole Milk","1983M05",43.4
"203","Skimmed and Semi-skimmed milk","1983M05",NA
"204","Skimmed Milk","1983M05",NA
"205","Semi-skimmed milk","1983M05",NA
"206","All Milk","1983M06",42.4
"207","Whole Milk","1983M06",42.4
"208","Skimmed and Semi-skimmed milk","1983M06",NA
"209","Skimmed Milk","1983M06",NA
"210","Semi-skimmed milk","1983M06",NA
"211","All Milk","1983M07",44.1
"212","Whole Milk","1983M07",44.1
"213","Skimmed and Semi-skimmed milk","1983M07",NA
"214","Skimmed Milk","1983M07",NA
"215","Semi-skimmed milk","1983M07",NA
"216","All Milk","1983M08",43.4
"217","Whole Milk","1983M08",43.4
"218","Skimmed and Semi-skimmed milk","1983M08",NA
"219","Skimmed Milk","1983M08",NA
"220","Semi-skimmed milk","1983M08",NA
"221","All Milk","1983M09",42.1
"222","Whole Milk","1983M09",42.1
"223","Skimmed and Semi-skimmed milk","1983M09",NA
"224","Skimmed Milk","1983M09",NA
"225","Semi-skimmed milk","1983M09",NA
"226","All Milk","1983M10",42.6
"227","Whole Milk","1983M10",42.6
"228","Skimmed and Semi-skimmed milk","1983M10",NA
"229","Skimmed Milk","1983M10",NA
"230","Semi-skimmed milk","1983M10",NA
"231","All Milk","1983M11",41.8
"232","Whole Milk","1983M11",41.8
"233","Skimmed and Semi-skimmed milk","1983M11",NA
"234","Skimmed Milk","1983M11",NA
"235","Semi-skimmed milk","1983M11",NA
"236","All Milk","1983M12",41.5
"237","Whole Milk","1983M12",41.5
"238","Skimmed and Semi-skimmed milk","1983M12",NA
"239","Skimmed Milk","1983M12",NA
"240","Semi-skimmed milk","1983M12",NA
"241","All Milk","1984M01",42.4
"242","Whole Milk","1984M01",42.4
"243","Skimmed and Semi-skimmed milk","1984M01",NA
"244","Skimmed Milk","1984M01",NA
"245","Semi-skimmed milk","1984M01",NA
"246","All Milk","1984M02",41.2
"247","Whole Milk","1984M02",41.2
"248","Skimmed and Semi-skimmed milk","1984M02",NA
"249","Skimmed Milk","1984M02",NA
"250","Semi-skimmed milk","1984M02",NA
"251","All Milk","1984M03",45.6
"252","Whole Milk","1984M03",45.6
"253","Skimmed and Semi-skimmed milk","1984M03",NA
"254","Skimmed Milk","1984M03",NA
"255","Semi-skimmed milk","1984M03",NA
"256","All Milk","1984M04",41.8
"257","Whole Milk","1984M04",41.8
"258","Skimmed and Semi-skimmed milk","1984M04",NA
"259","Skimmed Milk","1984M04",NA
"260","Semi-skimmed milk","1984M04",NA
"261","All Milk","1984M05",44.7
"262","Whole Milk","1984M05",44.7
"263","Skimmed and Semi-skimmed milk","1984M05",NA
"264","Skimmed Milk","1984M05",NA
"265","Semi-skimmed milk","1984M05",NA
"266","All Milk","1984M06",42.6
"267","Whole Milk","1984M06",42.6
"268","Skimmed and Semi-skimmed milk","1984M06",NA
"269","Skimmed Milk","1984M06",NA
"270","Semi-skimmed milk","1984M06",NA
"271","All Milk","1984M07",43.3
"272","Whole Milk","1984M07",43.3
"273","Skimmed and Semi-skimmed milk","1984M07",NA
"274","Skimmed Milk","1984M07",NA
"275","Semi-skimmed milk","1984M07",NA
"276","All Milk","1984M08",43.6
"277","Whole Milk","1984M08",43.6
"278","Skimmed and Semi-skimmed milk","1984M08",NA
"279","Skimmed Milk","1984M08",NA
"280","Semi-skimmed milk","1984M08",NA
"281","All Milk","1984M09",42.3
"282","Whole Milk","1984M09",42.3
"283","Skimmed and Semi-skimmed milk","1984M09",NA
"284","Skimmed Milk","1984M09",NA
"285","Semi-skimmed milk","1984M09",NA
"286","All Milk","1984M10",43.8
"287","Whole Milk","1984M10",43.8
"288","Skimmed and Semi-skimmed milk","1984M10",NA
"289","Skimmed Milk","1984M10",NA
"290","Semi-skimmed milk","1984M10",NA
"291","All Milk","1984M11",42.4
"292","Whole Milk","1984M11",42.4
"293","Skimmed and Semi-skimmed milk","1984M11",NA
"294","Skimmed Milk","1984M11",NA
"295","Semi-skimmed milk","1984M11",NA
"296","All Milk","1984M12",41.9
"297","Whole Milk","1984M12",41.9
"298","Skimmed and Semi-skimmed milk","1984M12",NA
"299","Skimmed Milk","1984M12",NA
"300","Semi-skimmed milk","1984M12",NA
"301","All Milk","1985M01",43.2
"302","Whole Milk","1985M01",42
"303","Skimmed and Semi-skimmed milk","1985M01",NA
"304","Skimmed Milk","1985M01",0.5
"305","Semi-skimmed milk","1985M01",0.6
"306","All Milk","1985M02",40.2
"307","Whole Milk","1985M02",39.2
"308","Skimmed and Semi-skimmed milk","1985M02",NA
"309","Skimmed Milk","1985M02",0.4
"310","Semi-skimmed milk","1985M02",0.7
"311","All Milk","1985M03",43.6
"312","Whole Milk","1985M03",42.4
"313","Skimmed and Semi-skimmed milk","1985M03",NA
"314","Skimmed Milk","1985M03",0.4
"315","Semi-skimmed milk","1985M03",0.8
"316","All Milk","1985M04",42
"317","Whole Milk","1985M04",40.7
"318","Skimmed and Semi-skimmed milk","1985M04",NA
"319","Skimmed Milk","1985M04",0.4
"320","Semi-skimmed milk","1985M04",0.8
"321","All Milk","1985M05",43.8
"322","Whole Milk","1985M05",42.4
"323","Skimmed and Semi-skimmed milk","1985M05",NA
"324","Skimmed Milk","1985M05",0.5
"325","Semi-skimmed milk","1985M05",0.9
"326","All Milk","1985M06",42.1
"327","Whole Milk","1985M06",40.7
"328","Skimmed and Semi-skimmed milk","1985M06",NA
"329","Skimmed Milk","1985M06",0.5
"330","Semi-skimmed milk","1985M06",0.9
"331","All Milk","1985M07",43.7
"332","Whole Milk","1985M07",42.2
"333","Skimmed and Semi-skimmed milk","1985M07",NA
"334","Skimmed Milk","1985M07",0.6
"335","Semi-skimmed milk","1985M07",0.9
"336","All Milk","1985M08",43.3
"337","Whole Milk","1985M08",41.8
"338","Skimmed and Semi-skimmed milk","1985M08",NA
"339","Skimmed Milk","1985M08",0.6
"340","Semi-skimmed milk","1985M08",0.9
"341","All Milk","1985M09",41.2
"342","Whole Milk","1985M09",39.7
"343","Skimmed and Semi-skimmed milk","1985M09",NA
"344","Skimmed Milk","1985M09",0.5
"345","Semi-skimmed milk","1985M09",1
"346","All Milk","1985M10",44.1
"347","Whole Milk","1985M10",42.4
"348","Skimmed and Semi-skimmed milk","1985M10",NA
"349","Skimmed Milk","1985M10",0.5
"350","Semi-skimmed milk","1985M10",1.2
"351","All Milk","1985M11",42.5
"352","Whole Milk","1985M11",40.8
"353","Skimmed and Semi-skimmed milk","1985M11",NA
"354","Skimmed Milk","1985M11",0.5
"355","Semi-skimmed milk","1985M11",1.2
"356","All Milk","1985M12",42.6
"357","Whole Milk","1985M12",41.2
"358","Skimmed and Semi-skimmed milk","1985M12",NA
"359","Skimmed Milk","1985M12",0.5
"360","Semi-skimmed milk","1985M12",0.9
"361","All Milk","1986M01",43.2
"362","Whole Milk","1986M01",41.6
"363","Skimmed and Semi-skimmed milk","1986M01",NA
"364","Skimmed Milk","1986M01",0.5
"365","Semi-skimmed milk","1986M01",1
"366","All Milk","1986M02",40
"367","Whole Milk","1986M02",38.5
"368","Skimmed and Semi-skimmed milk","1986M02",NA
"369","Skimmed Milk","1986M02",0.5
"370","Semi-skimmed milk","1986M02",1
"371","All Milk","1986M03",42.8
"372","Whole Milk","1986M03",41.1
"373","Skimmed and Semi-skimmed milk","1986M03",NA
"374","Skimmed Milk","1986M03",0.5
"375","Semi-skimmed milk","1986M03",1.2
"376","All Milk","1986M04",42.1
"377","Whole Milk","1986M04",40.4
"378","Skimmed and Semi-skimmed milk","1986M04",NA
"379","Skimmed Milk","1986M04",0.5
"380","Semi-skimmed milk","1986M04",1.2
"381","All Milk","1986M05",42.9
"382","Whole Milk","1986M05",41
"383","Skimmed and Semi-skimmed milk","1986M05",NA
"384","Skimmed Milk","1986M05",0.5
"385","Semi-skimmed milk","1986M05",1.4
"386","All Milk","1986M06",40.5
"387","Whole Milk","1986M06",38.8
"388","Skimmed and Semi-skimmed milk","1986M06",NA
"389","Skimmed Milk","1986M06",0.5
"390","Semi-skimmed milk","1986M06",1.3
"391","All Milk","1986M07",42.1
"392","Whole Milk","1986M07",40.4
"393","Skimmed and Semi-skimmed milk","1986M07",NA
"394","Skimmed Milk","1986M07",0.3
"395","Semi-skimmed milk","1986M07",1.4
"396","All Milk","1986M08",41.4
"397","Whole Milk","1986M08",39.6
"398","Skimmed and Semi-skimmed milk","1986M08",NA
"399","Skimmed Milk","1986M08",0.4
"400","Semi-skimmed milk","1986M08",1.4
"401","All Milk","1986M09",41.5
"402","Whole Milk","1986M09",39.4
"403","Skimmed and Semi-skimmed milk","1986M09",NA
"404","Skimmed Milk","1986M09",0.5
"405","Semi-skimmed milk","1986M09",1.6
"406","All Milk","1986M10",43
"407","Whole Milk","1986M10",40.8
"408","Skimmed and Semi-skimmed milk","1986M10",NA
"409","Skimmed Milk","1986M10",0.5
"410","Semi-skimmed milk","1986M10",1.8
"411","All Milk","1986M11",40.7
"412","Whole Milk","1986M11",38.6
"413","Skimmed and Semi-skimmed milk","1986M11",NA
"414","Skimmed Milk","1986M11",0.3
"415","Semi-skimmed milk","1986M11",1.8
"416","All Milk","1986M12",41
"417","Whole Milk","1986M12",38.9
"418","Skimmed and Semi-skimmed milk","1986M12",NA
"419","Skimmed Milk","1986M12",0.4
"420","Semi-skimmed milk","1986M12",1.7
"421","All Milk","1987M01",42.7
"422","Whole Milk","1987M01",40.6
"423","Skimmed and Semi-skimmed milk","1987M01",NA
"424","Skimmed Milk","1987M01",0.3
"425","Semi-skimmed milk","1987M01",1.7
"426","All Milk","1987M02",39.2
"427","Whole Milk","1987M02",37.2
"428","Skimmed and Semi-skimmed milk","1987M02",NA
"429","Skimmed Milk","1987M02",0.4
"430","Semi-skimmed milk","1987M02",1.6
"431","All Milk","1987M03",43.3
"432","Whole Milk","1987M03",41.1
"433","Skimmed and Semi-skimmed milk","1987M03",NA
"434","Skimmed Milk","1987M03",0.4
"435","Semi-skimmed milk","1987M03",1.8
"436","All Milk","1987M04",41.3
"437","Whole Milk","1987M04",39.1
"438","Skimmed and Semi-skimmed milk","1987M04",NA
"439","Skimmed Milk","1987M04",0.4
"440","Semi-skimmed milk","1987M04",1.8
"441","All Milk","1987M05",42.5
"442","Whole Milk","1987M05",40.2
"443","Skimmed and Semi-skimmed milk","1987M05",NA
"444","Skimmed Milk","1987M05",0.4
"445","Semi-skimmed milk","1987M05",1.9
"446","All Milk","1987M06",41.2
"447","Whole Milk","1987M06",38.9
"448","Skimmed and Semi-skimmed milk","1987M06",NA
"449","Skimmed Milk","1987M06",0.4
"450","Semi-skimmed milk","1987M06",1.9
"451","All Milk","1987M07",42.7
