"","Statistic","Type.of.Crop","Year","value"
"95","Crop Yield per Hectare (Tonnes)","Winter oats","2013",8.1
"96","Crop Production (000 Tonnes)","Winter oats","2013",43.4
"97","Area under Crops (000 Hectares)","Spring oats","2013",21.3
"98","Crop Yield per Hectare (Tonnes)","Spring oats","2013",7
"99","Crop Production (000 Tonnes)","Spring oats","2013",149.1
"100","Area under Crops (000 Hectares)","Total barley","2013",219.4
"101","Crop Yield per Hectare (Tonnes)","Total barley","2013",7.6
"102","Crop Production (000 Tonnes)","Total barley","2013",1662.8
"103","Area under Crops (000 Hectares)","Winter barley","2013",36
"104","Crop Yield per Hectare (Tonnes)","Winter barley","2013",9.5
"105","Crop Production (000 Tonnes)","Winter barley","2013",341.8
"106","Area under Crops (000 Hectares)","Spring barley","2013",183.5
"107","Crop Yield per Hectare (Tonnes)","Spring barley","2013",7.2
"108","Crop Production (000 Tonnes)","Spring barley","2013",1320.9
"109","Area under Crops (000 Hectares)","Beans and peas","2013",4.5
"110","Crop Yield per Hectare (Tonnes)","Beans and peas","2013",5.2
"111","Crop Production (000 Tonnes)","Beans and peas","2013",23.3
"112","Area under Crops (000 Hectares)","Oilseed rape","2013",13.7
"113","Crop Yield per Hectare (Tonnes)","Oilseed rape","2013",3.6
"114","Crop Production (000 Tonnes)","Oilseed rape","2013",49.2
"115","Area under Crops (000 Hectares)","Potatoes","2013",10.7
"116","Crop Yield per Hectare (Tonnes)","Potatoes","2013",38.2
"117","Crop Production (000 Tonnes)","Potatoes","2013",410.1
