"","Region","Year","Type.of.Land.Use","value"
"2019","North West","1996","Potatoes",3.2
"2020","West","1996","Potatoes",0.9
"2021","South-East (IRL)","1996","Potatoes",4.2
"2022","South-West (IRL)","1996","Potatoes",3.1
"2023","State","1997","Potatoes",18.2
"2024","Midlands and East","1997","Potatoes",9.2
"2025","North West","1997","Potatoes",3
"2026","West","1997","Potatoes",0.7
"2027","South-East (IRL)","1997","Potatoes",2.9
"2028","South-West (IRL)","1997","Potatoes",2.5
"2029","State","1998","Potatoes",18.5
"2030","Midlands and East","1998","Potatoes",9.2
"2031","North West","1998","Potatoes",2.6
"2032","West","1998","Potatoes",0.6
"2033","South-East (IRL)","1998","Potatoes",3.1
"2034","South-West (IRL)","1998","Potatoes",2.8
"2035","State","1999","Potatoes",17.5
"2036","Midlands and East","1999","Potatoes",9.6
"2037","North West","1999","Potatoes",2.5
"2038","West","1999","Potatoes",0.6
"2039","South-East (IRL)","1999","Potatoes",2.9
"2040","South-West (IRL)","1999","Potatoes",1.9
"2041","State","1980","Turnips",13.9
"2042","Midlands and East","1980","Turnips",3.5
"2043","North West","1980","Turnips",0.6
"2044","West","1980","Turnips",1.9
"2045","South-East (IRL)","1980","Turnips",5.8
"2046","South-West (IRL)","1980","Turnips",2.1
"2047","State","1981","Turnips",11.5
"2048","Midlands and East","1981","Turnips",3.1
"2049","North West","1981","Turnips",0.4
"2050","West","1981","Turnips",1.5
"2051","South-East (IRL)","1981","Turnips",4.7
"2052","South-West (IRL)","1981","Turnips",1.8
"2053","State","1982","Turnips",10.9
"2054","Midlands and East","1982","Turnips",3.1
"2055","North West","1982","Turnips",0.4
"2056","West","1982","Turnips",1.3
"2057","South-East (IRL)","1982","Turnips",4.4
"2058","South-West (IRL)","1982","Turnips",1.7
"2059","State","1983","Turnips",10.3
"2060","Midlands and East","1983","Turnips",2.9
"2061","North West","1983","Turnips",0.3
"2062","West","1983","Turnips",1
"2063","South-East (IRL)","1983","Turnips",4.4
"2064","South-West (IRL)","1983","Turnips",1.6
"2065","State","1984","Turnips",9.8
"2066","Midlands and East","1984","Turnips",3
"2067","North West","1984","Turnips",0.3
"2068","West","1984","Turnips",0.9
"2069","South-East (IRL)","1984","Turnips",4.1
"2070","South-West (IRL)","1984","Turnips",1.5
"2071","State","1985","Turnips",8.7
"2072","Midlands and East","1985","Turnips",2.5
"2073","North West","1985","Turnips",0.3
"2074","West","1985","Turnips",0.8
"2075","South-East (IRL)","1985","Turnips",3.7
"2076","South-West (IRL)","1985","Turnips",1.5
"2077","State","1986","Turnips",8.9
"2078","Midlands and East","1986","Turnips",2.7
"2079","North West","1986","Turnips",0.3
"2080","West","1986","Turnips",0.9
"2081","South-East (IRL)","1986","Turnips",3.7
"2082","South-West (IRL)","1986","Turnips",1.5
"2083","State","1987","Turnips",8.9
"2084","Midlands and East","1987","Turnips",2.4
"2085","North West","1987","Turnips",0.2
"2086","West","1987","Turnips",0.8
"2087","South-East (IRL)","1987","Turnips",4.1
"2088","South-West (IRL)","1987","Turnips",1.3
"2089","State","1988","Turnips",8.1
"2090","Midlands and East","1988","Turnips",2.2
"2091","North West","1988","Turnips",0.2
"2092","West","1988","Turnips",0.8
"2093","South-East (IRL)","1988","Turnips",3.8
"2094","South-West (IRL)","1988","Turnips",1.1
"2095","State","1989","Turnips",8.1
"2096","Midlands and East","1989","Turnips",2.3
"2097","North West","1989","Turnips",0.2
"2098","West","1989","Turnips",1
"2099","South-East (IRL)","1989","Turnips",3.4
"2100","South-West (IRL)","1989","Turnips",1.2
"2101","State","1990","Turnips",7.1
"2102","Midlands and East","1990","Turnips",2.2
"2103","North West","1990","Turnips",0.2
"2104","West","1990","Turnips",0.9
"2105","South-East (IRL)","1990","Turnips",2.8
"2106","South-West (IRL)","1990","Turnips",0.9
"2107","State","1991","Turnips",6
"2108","Midlands and East","1991","Turnips",1.9
"2109","North West","1991","Turnips",0.1
"2110","West","1991","Turnips",0.7
"2111","South-East (IRL)","1991","Turnips",2.5
"2112","South-West (IRL)","1991","Turnips",0.7
"2113","State","1992","Turnips",5.5
"2114","Midlands and East","1992","Turnips",1.8
"2115","North West","1992","Turnips",0.1
"2116","West","1992","Turnips",0.8
"2117","South-East (IRL)","1992","Turnips",2
"2118","South-West (IRL)","1992","Turnips",0.8
"2119","State","1993","Turnips",5.2
"2120","Midlands and East","1993","Turnips",1.7
"2121","North West","1993","Turnips",0.2
"2122","West","1993","Turnips",0.6
"2123","South-East (IRL)","1993","Turnips",1.9
"2124","South-West (IRL)","1993","Turnips",0.8
"2125","State","1994","Turnips",5.6
"2126","Midlands and East","1994","Turnips",1.8
"2127","North West","1994","Turnips",0.1
"2128","West","1994","Turnips",0.8
"2129","South-East (IRL)","1994","Turnips",2
"2130","South-West (IRL)","1994","Turnips",0.9
"2131","State","1995","Turnips",5.3
"2132","Midlands and East","1995","Turnips",1.7
"2133","North West","1995","Turnips",0.1
"2134","West","1995","Turnips",0.7
"2135","South-East (IRL)","1995","Turnips",2
"2136","South-West (IRL)","1995","Turnips",0.8
"2137","State","1996","Turnips",5.4
"2138","Midlands and East","1996","Turnips",1.7
"2139","North West","1996","Turnips",0.3
"2140","West","1996","Turnips",0.6
"2141","South-East (IRL)","1996","Turnips",1.8
"2142","South-West (IRL)","1996","Turnips",0.9
"2143","State","1997","Turnips",5.2
"2144","Midlands and East","1997","Turnips",1.3
"2145","North West","1997","Turnips",0.2
"2146","West","1997","Turnips",0.7
"2147","South-East (IRL)","1997","Turnips",1.8
"2148","South-West (IRL)","1997","Turnips",1.1
"2149","State","1998","Turnips",4.6
"2150","Midlands and East","1998","Turnips",1.5
"2151","North West","1998","Turnips",0.1
"2152","West","1998","Turnips",0.5
"2153","South-East (IRL)","1998","Turnips",1.2
"2154","South-West (IRL)","1998","Turnips",1.2
"2155","State","1999","Turnips",4.2
"2156","Midlands and East","1999","Turnips",1.4
"2157","North West","1999","Turnips",0.1
"2158","West","1999","Turnips",0.2
"2159","South-East (IRL)","1999","Turnips",1.5
"2160","South-West (IRL)","1999","Turnips",1
"2161","State","1980","Total beet",37.7
"2162","Midlands and East","1980","Total beet",5.4
"2163","North West","1980","Total beet",0
"2164","West","1980","Total beet",1.8
"2165","South-East (IRL)","1980","Total beet",18.6
"2166","South-West (IRL)","1980","Total beet",11.8
"2167","State","1981","Total beet",39.5
"2168","Midlands and East","1981","Total beet",5.7
"2169","North West","1981","Total beet",0
"2170","West","1981","Total beet",2
"2171","South-East (IRL)","1981","Total beet",20.2
"2172","South-West (IRL)","1981","Total beet",11.4
"2173","State","1982","Total beet",40.2
"2174","Midlands and East","1982","Total beet",5.7
"2175","North West","1982","Total beet",0
"2176","West","1982","Total beet",2.3
"2177","South-East (IRL)","1982","Total beet",21.4
"2178","South-West (IRL)","1982","Total beet",10.8
"2179","State","1983","Total beet",41.1
"2180","Midlands and East","1983","Total beet",5.8
"2181","North West","1983","Total beet",0
"2182","West","1983","Total beet",2.7
"2183","South-East (IRL)","1983","Total beet",21.2
"2184","South-West (IRL)","1983","Total beet",11.5
"2185","State","1984","Total beet",40
"2186","Midlands and East","1984","Total beet",5.5
"2187","North West","1984","Total beet",0
"2188","West","1984","Total beet",2.7
"2189","South-East (IRL)","1984","Total beet",20.5
"2190","South-West (IRL)","1984","Total beet",11.2
"2191","State","1985","Total beet",39.6
"2192","Midlands and East","1985","Total beet",5.6
"2193","North West","1985","Total beet",0
"2194","West","1985","Total beet",2.5
"2195","South-East (IRL)","1985","Total beet",19.9
"2196","South-West (IRL)","1985","Total beet",11.6
"2197","State","1986","Total beet",43.4
"2198","Midlands and East","1986","Total beet",6.7
"2199","North West","1986","Total beet",0
"2200","West","1986","Total beet",2.3
"2201","South-East (IRL)","1986","Total beet",21.7
"2202","South-West (IRL)","1986","Total beet",12.6
"2203","State","1987","Total beet",43.5
"2204","Midlands and East","1987","Total beet",6.7
"2205","North West","1987","Total beet",0
"2206","West","1987","Total beet",1.1
"2207","South-East (IRL)","1987","Total beet",22.9
"2208","South-West (IRL)","1987","Total beet",12.7
"2209","State","1988","Total beet",40.2
"2210","Midlands and East","1988","Total beet",6.5
"2211","North West","1988","Total beet",0
"2212","West","1988","Total beet",1.2
"2213","South-East (IRL)","1988","Total beet",20.6
"2214","South-West (IRL)","1988","Total beet",11.8
"2215","State","1989","Total beet",39.2
"2216","Midlands and East","1989","Total beet",6.5
"2217","North West","1989","Total beet",0
"2218","West","1989","Total beet",0.9
"2219","South-East (IRL)","1989","Total beet",20.3
"2220","South-West (IRL)","1989","Total beet",11.7
"2221","State","1990","Total beet",40.8
"2222","Midlands and East","1990","Total beet",6.9
"2223","North West","1990","Total beet",0
"2224","West","1990","Total beet",0.7
"2225","South-East (IRL)","1990","Total beet",21
"2226","South-West (IRL)","1990","Total beet",12.2
"2227","State","1991","Total beet",43.4
"2228","Midlands and East","1991","Total beet",8.2
"2229","North West","1991","Total beet",0.1
"2230","West","1991","Total beet",0.5
"2231","South-East (IRL)","1991","Total beet",21.8
"2232","South-West (IRL)","1991","Total beet",12.9
"2233","State","1992","Total beet",42.3
"2234","Midlands and East","1992","Total beet",8.5
"2235","North West","1992","Total beet",0.1
"2236","West","1992","Total beet",0.5
"2237","South-East (IRL)","1992","Total beet",20.9
"2238","South-West (IRL)","1992","Total beet",12.5
"2239","State","1993","Total beet",43.1
"2240","Midlands and East","1993","Total beet",8.6
"2241","North West","1993","Total beet",0.1
"2242","West","1993","Total beet",0.6
"2243","South-East (IRL)","1993","Total beet",20.6
"2244","South-West (IRL)","1993","Total beet",13.2
"2245","State","1994","Total beet",45.2
"2246","Midlands and East","1994","Total beet",8.6
"2247","North West","1994","Total beet",0.1
"2248","West","1994","Total beet",0.7
"2249","South-East (IRL)","1994","Total beet",22.1
"2250","South-West (IRL)","1994","Total beet",13.8
"2251","State","1995","Total beet",44
"2252","Midlands and East","1995","Total beet",8.4
"2253","North West","1995","Total beet",0.1
"2254","West","1995","Total beet",0.5
"2255","South-East (IRL)","1995","Total beet",21.4
"2256","South-West (IRL)","1995","Total beet",13.6
"2257","State","1996","Total beet",42.2
"2258","Midlands and East","1996","Total beet",8.4
"2259","North West","1996","Total beet",0
"2260","West","1996","Total beet",0.5
"2261","South-East (IRL)","1996","Total beet",20
"2262","South-West (IRL)","1996","Total beet",13.2
"2263","State","1997","Total beet",41.4
"2264","Midlands and East","1997","Total beet",8.6
"2265","North West","1997","Total beet",0.1
"2266","West","1997","Total beet",0.4
"2267","South-East (IRL)","1997","Total beet",19.5
"2268","South-West (IRL)","1997","Total beet",12.7
"2269","State","1998","Total beet",40.2
"2270","Midlands and East","1998","Total beet",7.6
"2271","North West","1998","Total beet",0.1
"2272","West","1998","Total beet",0.6
"2273","South-East (IRL)","1998","Total beet",19.6
"2274","South-West (IRL)","1998","Total beet",12.4
"2275","State","1999","Total beet",40.8
"2276","Midlands and East","1999","Total beet",8.1
"2277","North West","1999","Total beet",0.1
"2278","West","1999","Total beet",0.3
"2279","South-East (IRL)","1999","Total beet",19.4
"2280","South-West (IRL)","1999","Total beet",12.8
"2281","State","1980","Sugar beet",33
"2282","Midlands and East","1980","Sugar beet",4.5
"2283","North West","1980","Sugar beet",0
"2284","West","1980","Sugar beet",1.1
"2285","South-East (IRL)","1980","Sugar beet",17.2
"2286","South-West (IRL)","1980","Sugar beet",10.2
"2287","State","1981","Sugar beet",34.9
"2288","Midlands and East","1981","Sugar beet",4.8
"2289","North West","1981","Sugar beet",0
"2290","West","1981","Sugar beet",1.4
"2291","South-East (IRL)","1981","Sugar beet",18.7
"2292","South-West (IRL)","1981","Sugar beet",9.9
"2293","State","1982","Sugar beet",35.5
"2294","Midlands and East","1982","Sugar beet",4.7
"2295","North West","1982","Sugar beet",0
"2296","West","1982","Sugar beet",1.7
"2297","South-East (IRL)","1982","Sugar beet",19.7
"2298","South-West (IRL)","1982","Sugar beet",9.4
"2299","State","1983","Sugar beet",36.4
"2300","Midlands and East","1983","Sugar beet",4.7
"2301","North West","1983","Sugar beet",0
"2302","West","1983","Sugar beet",2.1
"2303","South-East (IRL)","1983","Sugar beet",19.5
"2304","South-West (IRL)","1983","Sugar beet",10.2
"2305","State","1984","Sugar beet",34.9
"2306","Midlands and East","1984","Sugar beet",4.4
"2307","North West","1984","Sugar beet",0
"2308","West","1984","Sugar beet",2.1
"2309","South-East (IRL)","1984","Sugar beet",18.4
"2310","South-West (IRL)","1984","Sugar beet",9.9
"2311","State","1985","Sugar beet",33.9
"2312","Midlands and East","1985","Sugar beet",4.4
"2313","North West","1985","Sugar beet",0
"2314","West","1985","Sugar beet",1.9
"2315","South-East (IRL)","1985","Sugar beet",17.6
"2316","South-West (IRL)","1985","Sugar beet",10
"2317","State","1986","Sugar beet",37
"2318","Midlands and East","1986","Sugar beet",5.3
"2319","North West","1986","Sugar beet",0
"2320","West","1986","Sugar beet",1.7
"2321","South-East (IRL)","1986","Sugar beet",19
"2322","South-West (IRL)","1986","Sugar beet",11
"2323","State","1987","Sugar beet",37.1
"2324","Midlands and East","1987","Sugar beet",5.2
"2325","North West","1987","Sugar beet",0
"2326","West","1987","Sugar beet",0.7
"2327","South-East (IRL)","1987","Sugar beet",20
"2328","South-West (IRL)","1987","Sugar beet",11.2
"2329","State","1988","Sugar beet",33.3
"2330","Midlands and East","1988","Sugar beet",4.8
"2331","North West","1988","Sugar beet",0
"2332","West","1988","Sugar beet",0.8
"2333","South-East (IRL)","1988","Sugar beet",17.5
"2334","South-West (IRL)","1988","Sugar beet",10.2
"2335","State","1989","Sugar beet",32.1
"2336","Midlands and East","1989","Sugar beet",4.8
"2337","North West","1989","Sugar beet",0
"2338","West","1989","Sugar beet",0.5
"2339","South-East (IRL)","1989","Sugar beet",16.9
"2340","South-West (IRL)","1989","Sugar beet",10
"2341","State","1990","Sugar beet",32.3
"2342","Midlands and East","1990","Sugar beet",4.7
"2343","North West","1990","Sugar beet",0
"2344","West","1990","Sugar beet",0.4
"2345","South-East (IRL)","1990","Sugar beet",17.1
"2346","South-West (IRL)","1990","Sugar beet",10.1
"2347","State","1991","Sugar beet",33.3
"2348","Midlands and East","1991","Sugar beet",5.4
"2349","North West","1991","Sugar beet",0
"2350","West","1991","Sugar beet",0.3
"2351","South-East (IRL)","1991","Sugar beet",17.1
"2352","South-West (IRL)","1991","Sugar beet",10.5
"2353","State","1992","Sugar beet",31.3
"2354","Midlands and East","1992","Sugar beet",5
"2355","North West","1992","Sugar beet",0
"2356","West","1992","Sugar beet",0.2
"2357","South-East (IRL)","1992","Sugar beet",16.2
"2358","South-West (IRL)","1992","Sugar beet",10
"2359","State","1993","Sugar beet",32.2
"2360","Midlands and East","1993","Sugar beet",5.4
"2361","North West","1993","Sugar beet",0
"2362","West","1993","Sugar beet",0.4
"2363","South-East (IRL)","1993","Sugar beet",16
"2364","South-West (IRL)","1993","Sugar beet",10.4
"2365","State","1994","Sugar beet",35.4
"2366","Midlands and East","1994","Sugar beet",5.9
"2367","North West","1994","Sugar beet",0
"2368","West","1994","Sugar beet",0.5
"2369","South-East (IRL)","1994","Sugar beet",17.7
"2370","South-West (IRL)","1994","Sugar beet",11.3
"2371","State","1995","Sugar beet",35.1
"2372","Midlands and East","1995","Sugar beet",5.7
"2373","North West","1995","Sugar beet",0
"2374","West","1995","Sugar beet",0.4
"2375","South-East (IRL)","1995","Sugar beet",17.5
"2376","South-West (IRL)","1995","Sugar beet",11.4
"2377","State","1996","Sugar beet",32.3
"2378","Midlands and East","1996","Sugar beet",5.5
"2379","North West","1996","Sugar beet",0
"2380","West","1996","Sugar beet",0.5
"2381","South-East (IRL)","1996","Sugar beet",15.9
"2382","South-West (IRL)","1996","Sugar beet",10.4
"2383","State","1997","Sugar beet",32.3
"2384","Midlands and East","1997","Sugar beet",5.9
"2385","North West","1997","Sugar beet",0
"2386","West","1997","Sugar beet",0.3
"2387","South-East (IRL)","1997","Sugar beet",15.6
"2388","South-West (IRL)","1997","Sugar beet",10.4
"2389","State","1998","Sugar beet",32.9
"2390","Midlands and East","1998","Sugar beet",5.5
"2391","North West","1998","Sugar beet",0
"2392","West","1998","Sugar beet",0.5
"2393","South-East (IRL)","1998","Sugar beet",16.2
"2394","South-West (IRL)","1998","Sugar beet",10.6
"2395","State","1999","Sugar beet",33.8
"2396","Midlands and East","1999","Sugar beet",5.9
"2397","North West","1999","Sugar beet",0
"2398","West","1999","Sugar beet",0.3
"2399","South-East (IRL)","1999","Sugar beet",16.6
"2400","South-West (IRL)","1999","Sugar beet",10.9
"2401","State","1980","Fodder beet",4.7
"2402","Midlands and East","1980","Fodder beet",0.9
"2403","North West","1980","Fodder beet",0
"2404","West","1980","Fodder beet",0.7
"2405","South-East (IRL)","1980","Fodder beet",1.4
"2406","South-West (IRL)","1980","Fodder beet",1.6
"2407","State","1981","Fodder beet",4.6
"2408","Midlands and East","1981","Fodder beet",0.9
"2409","North West","1981","Fodder beet",0
"2410","West","1981","Fodder beet",0.6
"2411","South-East (IRL)","1981","Fodder beet",1.5
"2412","South-West (IRL)","1981","Fodder beet",1.5
"2413","State","1982","Fodder beet",4.7
"2414","Midlands and East","1982","Fodder beet",1
"2415","North West","1982","Fodder beet",0
"2416","West","1982","Fodder beet",0.6
"2417","South-East (IRL)","1982","Fodder beet",1.7
"2418","South-West (IRL)","1982","Fodder beet",1.4
"2419","State","1983","Fodder beet",4.7
"2420","Midlands and East","1983","Fodder beet",1.1
"2421","North West","1983","Fodder beet",0
"2422","West","1983","Fodder beet",0.6
"2423","South-East (IRL)","1983","Fodder beet",1.7
"2424","South-West (IRL)","1983","Fodder beet",1.3
"2425","State","1984","Fodder beet",5.1
"2426","Midlands and East","1984","Fodder beet",1.1
"2427","North West","1984","Fodder beet",0
"2428","West","1984","Fodder beet",0.6
"2429","South-East (IRL)","1984","Fodder beet",2.1
"2430","South-West (IRL)","1984","Fodder beet",1.3
"2431","State","1985","Fodder beet",5.7
"2432","Midlands and East","1985","Fodder beet",1.2
"2433","North West","1985","Fodder beet",0
"2434","West","1985","Fodder beet",0.6
"2435","South-East (IRL)","1985","Fodder beet",2.3
"2436","South-West (IRL)","1985","Fodder beet",1.6
"2437","State","1986","Fodder beet",6.4
"2438","Midlands and East","1986","Fodder beet",1.4
"2439","North West","1986","Fodder beet",0
"2440","West","1986","Fodder beet",0.6
"2441","South-East (IRL)","1986","Fodder beet",2.7
"2442","South-West (IRL)","1986","Fodder beet",1.6
"2443","State","1987","Fodder beet",6.4
"2444","Midlands and East","1987","Fodder beet",1.5
"2445","North West","1987","Fodder beet",0
"2446","West","1987","Fodder beet",0.4
"2447","South-East (IRL)","1987","Fodder beet",2.9
"2448","South-West (IRL)","1987","Fodder beet",1.5
"2449","State","1988","Fodder beet",6.9
"2450","Midlands and East","1988","Fodder beet",1.7
"2451","North West","1988","Fodder beet",0
"2452","West","1988","Fodder beet",0.4
"2453","South-East (IRL)","1988","Fodder beet",3.1
"2454","South-West (IRL)","1988","Fodder beet",1.6
"2455","State","1989","Fodder beet",7.1
"2456","Midlands and East","1989","Fodder beet",1.7
"2457","North West","1989","Fodder beet",0
"2458","West","1989","Fodder beet",0.4
"2459","South-East (IRL)","1989","Fodder beet",3.4
"2460","South-West (IRL)","1989","Fodder beet",1.7
"2461","State","1990","Fodder beet",8.5
"2462","Midlands and East","1990","Fodder beet",2.2
"2463","North West","1990","Fodder beet",0
"2464","West","1990","Fodder beet",0.3
"2465","South-East (IRL)","1990","Fodder beet",3.9
"2466","South-West (IRL)","1990","Fodder beet",2.1
"2467","State","1991","Fodder beet",10.1
"2468","Midlands and East","1991","Fodder beet",2.8
"2469","North West","1991","Fodder beet",0.1
"2470","West","1991","Fodder beet",0.2
"2471","South-East (IRL)","1991","Fodder beet",4.7
"2472","South-West (IRL)","1991","Fodder beet",2.4
"2473","State","1992","Fodder beet",11
"2474","Midlands and East","1992","Fodder beet",3.5
"2475","North West","1992","Fodder beet",0.1
"2476","West","1992","Fodder beet",0.3
"2477","South-East (IRL)","1992","Fodder beet",4.7
"2478","South-West (IRL)","1992","Fodder beet",2.5
"2479","State","1993","Fodder beet",10.9
"2480","Midlands and East","1993","Fodder beet",3.2
"2481","North West","1993","Fodder beet",0.1
"2482","West","1993","Fodder beet",0.2
"2483","South-East (IRL)","1993","Fodder beet",4.6
"2484","South-West (IRL)","1993","Fodder beet",2.8
"2485","State","1994","Fodder beet",9.8
"2486","Midlands and East","1994","Fodder beet",2.7
"2487","North West","1994","Fodder beet",0.1
"2488","West","1994","Fodder beet",0.2
"2489","South-East (IRL)","1994","Fodder beet",4.4
"2490","South-West (IRL)","1994","Fodder beet",2.5
"2491","State","1995","Fodder beet",8.9
"2492","Midlands and East","1995","Fodder beet",2.7
"2493","North West","1995","Fodder beet",0.1
"2494","West","1995","Fodder beet",0.1
"2495","South-East (IRL)","1995","Fodder beet",3.9
"2496","South-West (IRL)","1995","Fodder beet",2.2
"2497","State","1996","Fodder beet",9.9
"2498","Midlands and East","1996","Fodder beet",2.9
"2499","North West","1996","Fodder beet",0
"2500","West","1996","Fodder beet",0
"2501","South-East (IRL)","1996","Fodder beet",4.1
"2502","South-West (IRL)","1996","Fodder beet",2.8
"2503","State","1997","Fodder beet",9.1
"2504","Midlands and East","1997","Fodder beet",2.7
"2505","North West","1997","Fodder beet",0.1
"2506","West","1997","Fodder beet",0.1
"2507","South-East (IRL)","1997","Fodder beet",3.9
"2508","South-West (IRL)","1997","Fodder beet",2.3
"2509","State","1998","Fodder beet",7.3
"2510","Midlands and East","1998","Fodder beet",2.1
"2511","North West","1998","Fodder beet",0.1
"2512","West","1998","Fodder beet",0.1
"2513","South-East (IRL)","1998","Fodder beet",3.4
"2514","South-West (IRL)","1998","Fodder beet",1.8
"2515","State","1999","Fodder beet",7
"2516","Midlands and East","1999","Fodder beet",2.2
"2517","North West","1999","Fodder beet",0.1
"2518","West","1999","Fodder beet",0
"2519","South-East (IRL)","1999","Fodder beet",2.8
"2520","South-West (IRL)","1999","Fodder beet",1.9
"2521","State","1980","Kale and field cabbage",3.8
"2522","Midlands and East","1980","Kale and field cabbage",0.6
"2523","North West","1980","Kale and field cabbage",0.2
"2524","West","1980","Kale and field cabbage",0.3
"2525","South-East (IRL)","1980","Kale and field cabbage",1.1
"2526","South-West (IRL)","1980","Kale and field cabbage",1.6
"2527","State","1981","Kale and field cabbage",3.5
"2528","Midlands and East","1981","Kale and field cabbage",0.5
"2529","North West","1981","Kale and field cabbage",0.2
"2530","West","1981","Kale and field cabbage",0.3
"2531","South-East (IRL)","1981","Kale and field cabbage",1
"2532","South-West (IRL)","1981","Kale and field cabbage",1.5
"2533","State","1982","Kale and field cabbage",3.6
"2534","Midlands and East","1982","Kale and field cabbage",0.5
"2535","North West","1982","Kale and field cabbage",0.2
"2536","West","1982","Kale and field cabbage",0.3
"2537","South-East (IRL)","1982","Kale and field cabbage",0.9
"2538","South-West (IRL)","1982","Kale and field cabbage",1.7
"2539","State","1983","Kale and field cabbage",3.6
"2540","Midlands and East","1983","Kale and field cabbage",0.5
"2541","North West","1983","Kale and field cabbage",0.2
"2542","West","1983","Kale and field cabbage",0.3
"2543","South-East (IRL)","1983","Kale and field cabbage",0.9
"2544","South-West (IRL)","1983","Kale and field cabbage",1.6
"2545","State","1984","Kale and field cabbage",3.5
"2546","Midlands and East","1984","Kale and field cabbage",0.5
"2547","North West","1984","Kale and field cabbage",0.2
"2548","West","1984","Kale and field cabbage",0.3
"2549","South-East (IRL)","1984","Kale and field cabbage",0.9
"2550","South-West (IRL)","1984","Kale and field cabbage",1.6
"2551","State","1985","Kale and field cabbage",3.7
"2552","Midlands and East","1985","Kale and field cabbage",0.5
"2553","North West","1985","Kale and field cabbage",0.2
"2554","West","1985","Kale and field cabbage",0.3
"2555","South-East (IRL)","1985","Kale and field cabbage",1
"2556","South-West (IRL)","1985","Kale and field cabbage",1.7
"2557","State","1986","Kale and field cabbage",3.5
"2558","Midlands and East","1986","Kale and field cabbage",0.5
"2559","North West","1986","Kale and field cabbage",0.1
"2560","West","1986","Kale and field cabbage",0.3
"2561","South-East (IRL)","1986","Kale and field cabbage",1
"2562","South-West (IRL)","1986","Kale and field cabbage",1.5
"2563","State","1987","Kale and field cabbage",2.9
"2564","Midlands and East","1987","Kale and field cabbage",0.4
"2565","North West","1987","Kale and field cabbage",0.1
"2566","West","1987","Kale and field cabbage",0.3
"2567","South-East (IRL)","1987","Kale and field cabbage",0.6
"2568","South-West (IRL)","1987","Kale and field cabbage",1.4
"2569","State","1988","Kale and field cabbage",2.5
"2570","Midlands and East","1988","Kale and field cabbage",0.4
"2571","North West","1988","Kale and field cabbage",0.1
"2572","West","1988","Kale and field cabbage",0.3
"2573","South-East (IRL)","1988","Kale and field cabbage",0.5
"2574","South-West (IRL)","1988","Kale and field cabbage",1.2
"2575","State","1989","Kale and field cabbage",2.4
"2576","Midlands and East","1989","Kale and field cabbage",0.4
"2577","North West","1989","Kale and field cabbage",0.1
"2578","West","1989","Kale and field cabbage",0.3
"2579","South-East (IRL)","1989","Kale and field cabbage",0.5
"2580","South-West (IRL)","1989","Kale and field cabbage",1
"2581","State","1990","Kale and field cabbage",2
"2582","Midlands and East","1990","Kale and field cabbage",0.3
"2583","North West","1990","Kale and field cabbage",0.1
"2584","West","1990","Kale and field cabbage",0.2
"2585","South-East (IRL)","1990","Kale and field cabbage",0.7
"2586","South-West (IRL)","1990","Kale and field cabbage",0.7
"2587","State","1991","Kale and field cabbage",1.4
"2588","Midlands and East","1991","Kale and field cabbage",0.3
"2589","North West","1991","Kale and field cabbage",0
"2590","West","1991","Kale and field cabbage",0.1
"2591","South-East (IRL)","1991","Kale and field cabbage",0.5
"2592","South-West (IRL)","1991","Kale and field cabbage",0.5
"2593","State","1992","Kale and field cabbage",1.9
"2594","Midlands and East","1992","Kale and field cabbage",0.4
"2595","North West","1992","Kale and field cabbage",0.1
"2596","West","1992","Kale and field cabbage",0.2
"2597","South-East (IRL)","1992","Kale and field cabbage",0.5
"2598","South-West (IRL)","1992","Kale and field cabbage",0.6
"2599","State","1993","Kale and field cabbage",1.8
"2600","Midlands and East","1993","Kale and field cabbage",0.4
"2601","North West","1993","Kale and field cabbage",0
"2602","West","1993","Kale and field cabbage",0.2
"2603","South-East (IRL)","1993","Kale and field cabbage",0.6
"2604","South-West (IRL)","1993","Kale and field cabbage",0.6
"2605","State","1994","Kale and field cabbage",1.8
"2606","Midlands and East","1994","Kale and field cabbage",0.3
"2607","North West","1994","Kale and field cabbage",0
"2608","West","1994","Kale and field cabbage",0.2
"2609","South-East (IRL)","1994","Kale and field cabbage",0.7
"2610","South-West (IRL)","1994","Kale and field cabbage",0.7
"2611","State","1995","Kale and field cabbage",1.5
"2612","Midlands and East","1995","Kale and field cabbage",0.2
"2613","North West","1995","Kale and field cabbage",0
"2614","West","1995","Kale and field cabbage",0.1
"2615","South-East (IRL)","1995","Kale and field cabbage",0.6
"2616","South-West (IRL)","1995","Kale and field cabbage",0.5
"2617","State","1996","Kale and field cabbage",1.6
"2618","Midlands and East","1996","Kale and field cabbage",0.2
"2619","North West","1996","Kale and field cabbage",0
"2620","West","1996","Kale and field cabbage",0.1
"2621","South-East (IRL)","1996","Kale and field cabbage",0.7
"2622","South-West (IRL)","1996","Kale and field cabbage",0.5
"2623","State","1997","Kale and field cabbage",1.7
"2624","Midlands and East","1997","Kale and field cabbage",0.2
"2625","North West","1997","Kale and field cabbage",0
"2626","West","1997","Kale and field cabbage",0.1
"2627","South-East (IRL)","1997","Kale and field cabbage",0.7
"2628","South-West (IRL)","1997","Kale and field cabbage",0.6
"2629","State","1998","Kale and field cabbage",1.1
"2630","Midlands and East","1998","Kale and field cabbage",0.2
"2631","North West","1998","Kale and field cabbage",0
