"","Region","Year","Type.of.Land.Use","value"
"304","West","1990","Spring wheat",0.3
"305","South-East (IRL)","1990","Spring wheat",7.6
"306","South-West (IRL)","1990","Spring wheat",2.3
"307","State","1991","Spring wheat",18.8
"308","Midlands and East","1991","Spring wheat",4.5
"309","North West","1991","Spring wheat",0.1
"310","West","1991","Spring wheat",0.1
"311","South-East (IRL)","1991","Spring wheat",9.4
"312","South-West (IRL)","1991","Spring wheat",4.7
"313","State","1992","Spring wheat",17.3
"314","Midlands and East","1992","Spring wheat",4.6
"315","North West","1992","Spring wheat",0.1
"316","West","1992","Spring wheat",0.2
"317","South-East (IRL)","1992","Spring wheat",8.6
"318","South-West (IRL)","1992","Spring wheat",3.9
"319","State","1993","Spring wheat",22
"320","Midlands and East","1993","Spring wheat",6.1
"321","North West","1993","Spring wheat",0.1
"322","West","1993","Spring wheat",0
"323","South-East (IRL)","1993","Spring wheat",10.2
"324","South-West (IRL)","1993","Spring wheat",5.6
"325","State","1994","Spring wheat",17.9
"326","Midlands and East","1994","Spring wheat",3.7
"327","North West","1994","Spring wheat",0.1
"328","West","1994","Spring wheat",0.1
"329","South-East (IRL)","1994","Spring wheat",9
"330","South-West (IRL)","1994","Spring wheat",5.1
"331","State","1995","Spring wheat",18.9
"332","Midlands and East","1995","Spring wheat",5
"333","North West","1995","Spring wheat",0.1
"334","West","1995","Spring wheat",0.1
"335","South-East (IRL)","1995","Spring wheat",9.3
"336","South-West (IRL)","1995","Spring wheat",4.4
"337","State","1996","Spring wheat",18.5
"338","Midlands and East","1996","Spring wheat",4.1
"339","North West","1996","Spring wheat",0.2
"340","West","1996","Spring wheat",0
"341","South-East (IRL)","1996","Spring wheat",9.9
"342","South-West (IRL)","1996","Spring wheat",4.2
"343","State","1997","Spring wheat",23.7
"344","Midlands and East","1997","Spring wheat",6.3
"345","North West","1997","Spring wheat",0.2
"346","West","1997","Spring wheat",0.1
"347","South-East (IRL)","1997","Spring wheat",11.7
"348","South-West (IRL)","1997","Spring wheat",5.4
