"","Statistic","Year","Type.of.Crop","value"
"846","Crop Yield (000 Tonnes)","1990","Potatoes",605
"847","Area under Crops (000 Hectares)","1991","Potatoes",20.5
"848","Crop Yield per Hectare (Tonnes)","1991","Potatoes",27.9
"849","Crop Yield (000 Tonnes)","1991","Potatoes",571
"850","Area under Crops (000 Hectares)","1992","Potatoes",22.1
"851","Crop Yield per Hectare (Tonnes)","1992","Potatoes",28.9
"852","Crop Yield (000 Tonnes)","1992","Potatoes",638
"853","Area under Crops (000 Hectares)","1993","Potatoes",21.6
"854","Crop Yield per Hectare (Tonnes)","1993","Potatoes",26.3
"855","Crop Yield (000 Tonnes)","1993","Potatoes",569
"856","Area under Crops (000 Hectares)","1994","Potatoes",21.4
"857","Crop Yield per Hectare (Tonnes)","1994","Potatoes",30.1
"858","Crop Yield (000 Tonnes)","1994","Potatoes",642
"859","Area under Crops (000 Hectares)","1995","Potatoes",22.4
"860","Crop Yield per Hectare (Tonnes)","1995","Potatoes",27.6
"861","Crop Yield (000 Tonnes)","1995","Potatoes",618
"862","Area under Crops (000 Hectares)","1996","Potatoes",24.3
"863","Crop Yield per Hectare (Tonnes)","1996","Potatoes",30.2
"864","Crop Yield (000 Tonnes)","1996","Potatoes",733.3
"865","Area under Crops (000 Hectares)","1997","Potatoes",18.2
"866","Crop Yield per Hectare (Tonnes)","1997","Potatoes",25.9
"867","Crop Yield (000 Tonnes)","1997","Potatoes",471.9
"868","Area under Crops (000 Hectares)","1998","Potatoes",18.5
"869","Crop Yield per Hectare (Tonnes)","1998","Potatoes",26.1
"870","Crop Yield (000 Tonnes)","1998","Potatoes",482.1
"871","Area under Crops (000 Hectares)","1999","Potatoes",17.5
"872","Crop Yield per Hectare (Tonnes)","1999","Potatoes",32
"873","Crop Yield (000 Tonnes)","1999","Potatoes",558.6
"874","Area under Crops (000 Hectares)","2000","Potatoes",13.5
"875","Crop Yield per Hectare (Tonnes)","2000","Potatoes",33.6
"876","Crop Yield (000 Tonnes)","2000","Potatoes",454.8
"877","Area under Crops (000 Hectares)","2001","Potatoes",14.3
"878","Crop Yield per Hectare (Tonnes)","2001","Potatoes",33.5
"879","Crop Yield (000 Tonnes)","2001","Potatoes",477.6
"880","Area under Crops (000 Hectares)","2002","Potatoes",15.4
"881","Crop Yield per Hectare (Tonnes)","2002","Potatoes",33.7
"882","Crop Yield (000 Tonnes)","2002","Potatoes",518.6
"883","Area under Crops (000 Hectares)","2003","Potatoes",14.2
"884","Crop Yield per Hectare (Tonnes)","2003","Potatoes",34.5
"885","Crop Yield (000 Tonnes)","2003","Potatoes",488.2
"886","Area under Crops (000 Hectares)","2004","Potatoes",13.3
"887","Crop Yield per Hectare (Tonnes)","2004","Potatoes",41.4
"888","Crop Yield (000 Tonnes)","2004","Potatoes",552.2
"889","Area under Crops (000 Hectares)","2005","Potatoes",11.8
"890","Crop Yield per Hectare (Tonnes)","2005","Potatoes",34.7
"891","Crop Yield (000 Tonnes)","2005","Potatoes",409.2
"892","Area under Crops (000 Hectares)","2006","Potatoes",11.5
"893","Crop Yield per Hectare (Tonnes)","2006","Potatoes",33.4
"894","Crop Yield (000 Tonnes)","2006","Potatoes",382.9
"895","Area under Crops (000 Hectares)","2007","Potatoes",11.7
"896","Crop Yield per Hectare (Tonnes)","2007","Potatoes",34
"897","Crop Yield (000 Tonnes)","2007","Potatoes",399
"898","Area under Crops (000 Hectares)","1985","Turnips",8.7
"899","Crop Yield per Hectare (Tonnes)","1985","Turnips",53.5
"900","Crop Yield (000 Tonnes)","1985","Turnips",466
"901","Area under Crops (000 Hectares)","1986","Turnips",8.9
"902","Crop Yield per Hectare (Tonnes)","1986","Turnips",51.6
"903","Crop Yield (000 Tonnes)","1986","Turnips",462
"904","Area under Crops (000 Hectares)","1987","Turnips",8.9
"905","Crop Yield per Hectare (Tonnes)","1987","Turnips",56.8
"906","Crop Yield (000 Tonnes)","1987","Turnips",505
"907","Area under Crops (000 Hectares)","1988","Turnips",8.1
"908","Crop Yield per Hectare (Tonnes)","1988","Turnips",51.9
"909","Crop Yield (000 Tonnes)","1988","Turnips",422
"910","Area under Crops (000 Hectares)","1989","Turnips",8.1
"911","Crop Yield per Hectare (Tonnes)","1989","Turnips",57.6
"912","Crop Yield (000 Tonnes)","1989","Turnips",465
"913","Area under Crops (000 Hectares)","1990","Turnips",7.1
"914","Crop Yield per Hectare (Tonnes)","1990","Turnips",54.8
"915","Crop Yield (000 Tonnes)","1990","Turnips",387
"916","Area under Crops (000 Hectares)","1991","Turnips",6
"917","Crop Yield per Hectare (Tonnes)","1991","Turnips",52.5
"918","Crop Yield (000 Tonnes)","1991","Turnips",313
"919","Area under Crops (000 Hectares)","1992","Turnips",5.5
"920","Crop Yield per Hectare (Tonnes)","1992","Turnips",55.5
"921","Crop Yield (000 Tonnes)","1992","Turnips",306
"922","Area under Crops (000 Hectares)","1993","Turnips",5.2
"923","Crop Yield per Hectare (Tonnes)","1993","Turnips",52.3
"924","Crop Yield (000 Tonnes)","1993","Turnips",271
"925","Area under Crops (000 Hectares)","1994","Turnips",5.6
"926","Crop Yield per Hectare (Tonnes)","1994","Turnips",53.1
"927","Crop Yield (000 Tonnes)","1994","Turnips",296
"928","Area under Crops (000 Hectares)","1995","Turnips",5.3
"929","Crop Yield per Hectare (Tonnes)","1995","Turnips",54.1
"930","Crop Yield (000 Tonnes)","1995","Turnips",289
"931","Area under Crops (000 Hectares)","1996","Turnips",5.4
"932","Crop Yield per Hectare (Tonnes)","1996","Turnips",57.8
"933","Crop Yield (000 Tonnes)","1996","Turnips",309.8
"934","Area under Crops (000 Hectares)","1997","Turnips",5.2
"935","Crop Yield per Hectare (Tonnes)","1997","Turnips",55
"936","Crop Yield (000 Tonnes)","1997","Turnips",284.7
"937","Area under Crops (000 Hectares)","1998","Turnips",4.6
"938","Crop Yield per Hectare (Tonnes)","1998","Turnips",45.3
"939","Crop Yield (000 Tonnes)","1998","Turnips",208.1
"940","Area under Crops (000 Hectares)","1999","Turnips",4.2
"941","Crop Yield per Hectare (Tonnes)","1999","Turnips",42
"942","Crop Yield (000 Tonnes)","1999","Turnips",176.6
"943","Area under Crops (000 Hectares)","2000","Turnips",2.1
"944","Crop Yield per Hectare (Tonnes)","2000","Turnips",60
"945","Crop Yield (000 Tonnes)","2000","Turnips",124
"946","Area under Crops (000 Hectares)","2001","Turnips",1.8
"947","Crop Yield per Hectare (Tonnes)","2001","Turnips",54.4
"948","Crop Yield (000 Tonnes)","2001","Turnips",99.9
"949","Area under Crops (000 Hectares)","2002","Turnips",1.6
"950","Crop Yield per Hectare (Tonnes)","2002","Turnips",54.4
"951","Crop Yield (000 Tonnes)","2002","Turnips",89.7
"952","Area under Crops (000 Hectares)","2003","Turnips",NA
"953","Crop Yield per Hectare (Tonnes)","2003","Turnips",NA
"954","Crop Yield (000 Tonnes)","2003","Turnips",NA
"955","Area under Crops (000 Hectares)","2004","Turnips",NA
"956","Crop Yield per Hectare (Tonnes)","2004","Turnips",NA
"957","Crop Yield (000 Tonnes)","2004","Turnips",NA
"958","Area under Crops (000 Hectares)","2005","Turnips",NA
"959","Crop Yield per Hectare (Tonnes)","2005","Turnips",NA
"960","Crop Yield (000 Tonnes)","2005","Turnips",NA
"961","Area under Crops (000 Hectares)","2006","Turnips",NA
"962","Crop Yield per Hectare (Tonnes)","2006","Turnips",NA
"963","Crop Yield (000 Tonnes)","2006","Turnips",NA
"964","Area under Crops (000 Hectares)","2007","Turnips",NA
"965","Crop Yield per Hectare (Tonnes)","2007","Turnips",NA
"966","Crop Yield (000 Tonnes)","2007","Turnips",NA
"967","Area under Crops (000 Hectares)","1985","Sugar beet",33.9
"968","Crop Yield per Hectare (Tonnes)","1985","Sugar beet",38.7
"969","Crop Yield (000 Tonnes)","1985","Sugar beet",1309
"970","Area under Crops (000 Hectares)","1986","Sugar beet",37
"971","Crop Yield per Hectare (Tonnes)","1986","Sugar beet",34.4
"972","Crop Yield (000 Tonnes)","1986","Sugar beet",1274
"973","Area under Crops (000 Hectares)","1987","Sugar beet",37.1
"974","Crop Yield per Hectare (Tonnes)","1987","Sugar beet",43.7
"975","Crop Yield (000 Tonnes)","1987","Sugar beet",1623
"976","Area under Crops (000 Hectares)","1988","Sugar beet",33.3
"977","Crop Yield per Hectare (Tonnes)","1988","Sugar beet",40.1
"978","Crop Yield (000 Tonnes)","1988","Sugar beet",1334
"979","Area under Crops (000 Hectares)","1989","Sugar beet",32.1
"980","Crop Yield per Hectare (Tonnes)","1989","Sugar beet",45.2
"981","Crop Yield (000 Tonnes)","1989","Sugar beet",1451
"982","Area under Crops (000 Hectares)","1990","Sugar beet",32.3
"983","Crop Yield per Hectare (Tonnes)","1990","Sugar beet",45.8
"984","Crop Yield (000 Tonnes)","1990","Sugar beet",1480
"985","Area under Crops (000 Hectares)","1991","Sugar beet",33.3
"986","Crop Yield per Hectare (Tonnes)","1991","Sugar beet",42.3
"987","Crop Yield (000 Tonnes)","1991","Sugar beet",1409
"988","Area under Crops (000 Hectares)","1992","Sugar beet",31.3
"989","Crop Yield per Hectare (Tonnes)","1992","Sugar beet",44.6
"990","Crop Yield (000 Tonnes)","1992","Sugar beet",1397
"991","Area under Crops (000 Hectares)","1993","Sugar beet",32.2
"992","Crop Yield per Hectare (Tonnes)","1993","Sugar beet",34.7
"993","Crop Yield (000 Tonnes)","1993","Sugar beet",1117
"994","Area under Crops (000 Hectares)","1994","Sugar beet",35.4
"995","Crop Yield per Hectare (Tonnes)","1994","Sugar beet",39.3
"996","Crop Yield (000 Tonnes)","1994","Sugar beet",1390
"997","Area under Crops (000 Hectares)","1995","Sugar beet",35.1
"998","Crop Yield per Hectare (Tonnes)","1995","Sugar beet",44.1
"999","Crop Yield (000 Tonnes)","1995","Sugar beet",1547
"1000","Area under Crops (000 Hectares)","1996","Sugar beet",32.3
"1001","Crop Yield per Hectare (Tonnes)","1996","Sugar beet",45.7
"1002","Crop Yield (000 Tonnes)","1996","Sugar beet",1475.6
"1003","Area under Crops (000 Hectares)","1997","Sugar beet",32.3
"1004","Crop Yield per Hectare (Tonnes)","1997","Sugar beet",51
"1005","Crop Yield (000 Tonnes)","1997","Sugar beet",1648.2
"1006","Area under Crops (000 Hectares)","1998","Sugar beet",32.9
"1007","Crop Yield per Hectare (Tonnes)","1998","Sugar beet",49.8
"1008","Crop Yield (000 Tonnes)","1998","Sugar beet",1640
"1009","Area under Crops (000 Hectares)","1999","Sugar beet",33.8
"1010","Crop Yield per Hectare (Tonnes)","1999","Sugar beet",50.7
"1011","Crop Yield (000 Tonnes)","1999","Sugar beet",1712.1
"1012","Area under Crops (000 Hectares)","2000","Sugar beet",32.2
"1013","Crop Yield per Hectare (Tonnes)","2000","Sugar beet",56.8
"1014","Crop Yield (000 Tonnes)","2000","Sugar beet",1829
"1015","Area under Crops (000 Hectares)","2001","Sugar beet",31.1
"1016","Crop Yield per Hectare (Tonnes)","2001","Sugar beet",48.2
"1017","Crop Yield (000 Tonnes)","2001","Sugar beet",1498
"1018","Area under Crops (000 Hectares)","2002","Sugar beet",31.3
"1019","Crop Yield per Hectare (Tonnes)","2002","Sugar beet",41.6
"1020","Crop Yield (000 Tonnes)","2002","Sugar beet",1300.7
"1021","Area under Crops (000 Hectares)","2003","Sugar beet",31.5
"1022","Crop Yield per Hectare (Tonnes)","2003","Sugar beet",47.7
"1023","Crop Yield (000 Tonnes)","2003","Sugar beet",1505.2
"1024","Area under Crops (000 Hectares)","2004","Sugar beet",31.1
"1025","Crop Yield per Hectare (Tonnes)","2004","Sugar beet",59.8
"1026","Crop Yield (000 Tonnes)","2004","Sugar beet",1861.4
"1027","Area under Crops (000 Hectares)","2005","Sugar beet",31
"1028","Crop Yield per Hectare (Tonnes)","2005","Sugar beet",44.5
"1029","Crop Yield (000 Tonnes)","2005","Sugar beet",1380
"1030","Area under Crops (000 Hectares)","2006","Sugar beet",NA
"1031","Crop Yield per Hectare (Tonnes)","2006","Sugar beet",NA
"1032","Crop Yield (000 Tonnes)","2006","Sugar beet",NA
"1033","Area under Crops (000 Hectares)","2007","Sugar beet",NA
"1034","Crop Yield per Hectare (Tonnes)","2007","Sugar beet",NA
"1035","Crop Yield (000 Tonnes)","2007","Sugar beet",NA
"1036","Area under Crops (000 Hectares)","1985","Fodder beet",5.7
"1037","Crop Yield per Hectare (Tonnes)","1985","Fodder beet",56.8
"1038","Crop Yield (000 Tonnes)","1985","Fodder beet",324
"1039","Area under Crops (000 Hectares)","1986","Fodder beet",6.4
"1040","Crop Yield per Hectare (Tonnes)","1986","Fodder beet",51.1
"1041","Crop Yield (000 Tonnes)","1986","Fodder beet",325
"1042","Area under Crops (000 Hectares)","1987","Fodder beet",6.4
"1043","Crop Yield per Hectare (Tonnes)","1987","Fodder beet",64.8
"1044","Crop Yield (000 Tonnes)","1987","Fodder beet",414
"1045","Area under Crops (000 Hectares)","1988","Fodder beet",6.9
"1046","Crop Yield per Hectare (Tonnes)","1988","Fodder beet",63.4
"1047","Crop Yield (000 Tonnes)","1988","Fodder beet",438
"1048","Area under Crops (000 Hectares)","1989","Fodder beet",7.1
"1049","Crop Yield per Hectare (Tonnes)","1989","Fodder beet",54.9
"1050","Crop Yield (000 Tonnes)","1989","Fodder beet",391
"1051","Area under Crops (000 Hectares)","1990","Fodder beet",8.5
"1052","Crop Yield per Hectare (Tonnes)","1990","Fodder beet",65
"1053","Crop Yield (000 Tonnes)","1990","Fodder beet",553
"1054","Area under Crops (000 Hectares)","1991","Fodder beet",10.1
"1055","Crop Yield per Hectare (Tonnes)","1991","Fodder beet",68.9
"1056","Crop Yield (000 Tonnes)","1991","Fodder beet",695
"1057","Area under Crops (000 Hectares)","1992","Fodder beet",11
"1058","Crop Yield per Hectare (Tonnes)","1992","Fodder beet",70.6
"1059","Crop Yield (000 Tonnes)","1992","Fodder beet",780
"1060","Area under Crops (000 Hectares)","1993","Fodder beet",10.9
"1061","Crop Yield per Hectare (Tonnes)","1993","Fodder beet",54.9
"1062","Crop Yield (000 Tonnes)","1993","Fodder beet",600
"1063","Area under Crops (000 Hectares)","1994","Fodder beet",9.8
"1064","Crop Yield per Hectare (Tonnes)","1994","Fodder beet",59
"1065","Crop Yield (000 Tonnes)","1994","Fodder beet",579
"1066","Area under Crops (000 Hectares)","1995","Fodder beet",8.9
"1067","Crop Yield per Hectare (Tonnes)","1995","Fodder beet",66.8
"1068","Crop Yield (000 Tonnes)","1995","Fodder beet",596
"1069","Area under Crops (000 Hectares)","1996","Fodder beet",9.9
"1070","Crop Yield per Hectare (Tonnes)","1996","Fodder beet",73.7
"1071","Crop Yield (000 Tonnes)","1996","Fodder beet",726.3
"1072","Area under Crops (000 Hectares)","1997","Fodder beet",9.1
"1073","Crop Yield per Hectare (Tonnes)","1997","Fodder beet",66.2
"1074","Crop Yield (000 Tonnes)","1997","Fodder beet",603.5
"1075","Area under Crops (000 Hectares)","1998","Fodder beet",7.3
"1076","Crop Yield per Hectare (Tonnes)","1998","Fodder beet",64.8
"1077","Crop Yield (000 Tonnes)","1998","Fodder beet",475.2
"1078","Area under Crops (000 Hectares)","1999","Fodder beet",7
"1079","Crop Yield per Hectare (Tonnes)","1999","Fodder beet",70.4
"1080","Crop Yield (000 Tonnes)","1999","Fodder beet",494.8
"1081","Area under Crops (000 Hectares)","2000","Fodder beet",5.1
"1082","Crop Yield per Hectare (Tonnes)","2000","Fodder beet",70.3
"1083","Crop Yield (000 Tonnes)","2000","Fodder beet",361.3
"1084","Area under Crops (000 Hectares)","2001","Fodder beet",4.3
"1085","Crop Yield per Hectare (Tonnes)","2001","Fodder beet",65.5
"1086","Crop Yield (000 Tonnes)","2001","Fodder beet",278.7
"1087","Area under Crops (000 Hectares)","2002","Fodder beet",4.1
"1088","Crop Yield per Hectare (Tonnes)","2002","Fodder beet",60.9
"1089","Crop Yield (000 Tonnes)","2002","Fodder beet",249.5
"1090","Area under Crops (000 Hectares)","2003","Fodder beet",NA
"1091","Crop Yield per Hectare (Tonnes)","2003","Fodder beet",NA
"1092","Crop Yield (000 Tonnes)","2003","Fodder beet",NA
"1093","Area under Crops (000 Hectares)","2004","Fodder beet",NA
"1094","Crop Yield per Hectare (Tonnes)","2004","Fodder beet",NA
"1095","Crop Yield (000 Tonnes)","2004","Fodder beet",NA
"1096","Area under Crops (000 Hectares)","2005","Fodder beet",NA
"1097","Crop Yield per Hectare (Tonnes)","2005","Fodder beet",NA
"1098","Crop Yield (000 Tonnes)","2005","Fodder beet",NA
"1099","Area under Crops (000 Hectares)","2006","Fodder beet",NA
"1100","Crop Yield per Hectare (Tonnes)","2006","Fodder beet",NA
"1101","Crop Yield (000 Tonnes)","2006","Fodder beet",NA
"1102","Area under Crops (000 Hectares)","2007","Fodder beet",NA
"1103","Crop Yield per Hectare (Tonnes)","2007","Fodder beet",NA
"1104","Crop Yield (000 Tonnes)","2007","Fodder beet",NA
"1105","Area under Crops (000 Hectares)","1985","Kale and field cabbage",3.7
"1106","Crop Yield per Hectare (Tonnes)","1985","Kale and field cabbage",44.2
"1107","Crop Yield (000 Tonnes)","1985","Kale and field cabbage",162
"1108","Area under Crops (000 Hectares)","1986","Kale and field cabbage",3.5
"1109","Crop Yield per Hectare (Tonnes)","1986","Kale and field cabbage",43.1
"1110","Crop Yield (000 Tonnes)","1986","Kale and field cabbage",150
"1111","Area under Crops (000 Hectares)","1987","Kale and field cabbage",2.9
"1112","Crop Yield per Hectare (Tonnes)","1987","Kale and field cabbage",52.1
"1113","Crop Yield (000 Tonnes)","1987","Kale and field cabbage",153
"1114","Area under Crops (000 Hectares)","1988","Kale and field cabbage",2.5
"1115","Crop Yield per Hectare (Tonnes)","1988","Kale and field cabbage",39
"1116","Crop Yield (000 Tonnes)","1988","Kale and field cabbage",98
"1117","Area under Crops (000 Hectares)","1989","Kale and field cabbage",2.4
"1118","Crop Yield per Hectare (Tonnes)","1989","Kale and field cabbage",39.5
"1119","Crop Yield (000 Tonnes)","1989","Kale and field cabbage",94
"1120","Area under Crops (000 Hectares)","1990","Kale and field cabbage",2
"1121","Crop Yield per Hectare (Tonnes)","1990","Kale and field cabbage",49.5
"1122","Crop Yield (000 Tonnes)","1990","Kale and field cabbage",99
"1123","Area under Crops (000 Hectares)","1991","Kale and field cabbage",1.4
"1124","Crop Yield per Hectare (Tonnes)","1991","Kale and field cabbage",42.2
"1125","Crop Yield (000 Tonnes)","1991","Kale and field cabbage",60
"1126","Area under Crops (000 Hectares)","1992","Kale and field cabbage",1.9
"1127","Crop Yield per Hectare (Tonnes)","1992","Kale and field cabbage",48.8
"1128","Crop Yield (000 Tonnes)","1992","Kale and field cabbage",91
"1129","Area under Crops (000 Hectares)","1993","Kale and field cabbage",1.8
"1130","Crop Yield per Hectare (Tonnes)","1993","Kale and field cabbage",43
"1131","Crop Yield (000 Tonnes)","1993","Kale and field cabbage",78
"1132","Area under Crops (000 Hectares)","1994","Kale and field cabbage",1.8
"1133","Crop Yield per Hectare (Tonnes)","1994","Kale and field cabbage",44.5
"1134","Crop Yield (000 Tonnes)","1994","Kale and field cabbage",81
"1135","Area under Crops (000 Hectares)","1995","Kale and field cabbage",1.5
"1136","Crop Yield per Hectare (Tonnes)","1995","Kale and field cabbage",39
"1137","Crop Yield (000 Tonnes)","1995","Kale and field cabbage",57
"1138","Area under Crops (000 Hectares)","1996","Kale and field cabbage",1.6
"1139","Crop Yield per Hectare (Tonnes)","1996","Kale and field cabbage",40.8
"1140","Crop Yield (000 Tonnes)","1996","Kale and field cabbage",63.7
"1141","Area under Crops (000 Hectares)","1997","Kale and field cabbage",NA
"1142","Crop Yield per Hectare (Tonnes)","1997","Kale and field cabbage",NA
"1143","Crop Yield (000 Tonnes)","1997","Kale and field cabbage",NA
"1144","Area under Crops (000 Hectares)","1998","Kale and field cabbage",NA
"1145","Crop Yield per Hectare (Tonnes)","1998","Kale and field cabbage",NA
"1146","Crop Yield (000 Tonnes)","1998","Kale and field cabbage",NA
"1147","Area under Crops (000 Hectares)","1999","Kale and field cabbage",NA
"1148","Crop Yield per Hectare (Tonnes)","1999","Kale and field cabbage",NA
"1149","Crop Yield (000 Tonnes)","1999","Kale and field cabbage",NA
"1150","Area under Crops (000 Hectares)","2000","Kale and field cabbage",NA
"1151","Crop Yield per Hectare (Tonnes)","2000","Kale and field cabbage",NA
"1152","Crop Yield (000 Tonnes)","2000","Kale and field cabbage",NA
"1153","Area under Crops (000 Hectares)","2001","Kale and field cabbage",NA
"1154","Crop Yield per Hectare (Tonnes)","2001","Kale and field cabbage",NA
"1155","Crop Yield (000 Tonnes)","2001","Kale and field cabbage",NA
"1156","Area under Crops (000 Hectares)","2002","Kale and field cabbage",NA
"1157","Crop Yield per Hectare (Tonnes)","2002","Kale and field cabbage",NA
"1158","Crop Yield (000 Tonnes)","2002","Kale and field cabbage",NA
"1159","Area under Crops (000 Hectares)","2003","Kale and field cabbage",NA
"1160","Crop Yield per Hectare (Tonnes)","2003","Kale and field cabbage",NA
"1161","Crop Yield (000 Tonnes)","2003","Kale and field cabbage",NA
"1162","Area under Crops (000 Hectares)","2004","Kale and field cabbage",NA
"1163","Crop Yield per Hectare (Tonnes)","2004","Kale and field cabbage",NA
"1164","Crop Yield (000 Tonnes)","2004","Kale and field cabbage",NA
"1165","Area under Crops (000 Hectares)","2005","Kale and field cabbage",NA
"1166","Crop Yield per Hectare (Tonnes)","2005","Kale and field cabbage",NA
"1167","Crop Yield (000 Tonnes)","2005","Kale and field cabbage",NA
"1168","Area under Crops (000 Hectares)","2006","Kale and field cabbage",NA
"1169","Crop Yield per Hectare (Tonnes)","2006","Kale and field cabbage",NA
"1170","Crop Yield (000 Tonnes)","2006","Kale and field cabbage",NA
"1171","Area under Crops (000 Hectares)","2007","Kale and field cabbage",NA
"1172","Crop Yield per Hectare (Tonnes)","2007","Kale and field cabbage",NA
"1173","Crop Yield (000 Tonnes)","2007","Kale and field cabbage",NA
