"","Statistic","Year","Type.of.Crop","value"
"125","Crop Yield per Hectare (Tonnes)","2003","Winter wheat",8.7
"126","Crop Yield (000 Tonnes)","2003","Winter wheat",526.9
"127","Area under Crops (000 Hectares)","2004","Winter wheat",71.5
"128","Crop Yield per Hectare (Tonnes)","2004","Winter wheat",10.5
"129","Crop Yield (000 Tonnes)","2004","Winter wheat",750.6
"130","Area under Crops (000 Hectares)","2005","Winter wheat",65
"131","Crop Yield per Hectare (Tonnes)","2005","Winter wheat",8.8
"132","Crop Yield (000 Tonnes)","2005","Winter wheat",572
"133","Area under Crops (000 Hectares)","2006","Winter wheat",59.2
"134","Crop Yield per Hectare (Tonnes)","2006","Winter wheat",9.8
"135","Crop Yield (000 Tonnes)","2006","Winter wheat",580
"136","Area under Crops (000 Hectares)","2007","Winter wheat",64.7
"137","Crop Yield per Hectare (Tonnes)","2007","Winter wheat",8.7
"138","Crop Yield (000 Tonnes)","2007","Winter wheat",562.5
"139","Area under Crops (000 Hectares)","1985","Spring wheat",17.4
"140","Crop Yield per Hectare (Tonnes)","1985","Spring wheat",5.8
"141","Crop Yield (000 Tonnes)","1985","Spring wheat",100
"142","Area under Crops (000 Hectares)","1986","Spring wheat",17.6
"143","Crop Yield per Hectare (Tonnes)","1986","Spring wheat",5.4
"144","Crop Yield (000 Tonnes)","1986","Spring wheat",95
"145","Area under Crops (000 Hectares)","1987","Spring wheat",17.8
"146","Crop Yield per Hectare (Tonnes)","1987","Spring wheat",6.2
"147","Crop Yield (000 Tonnes)","1987","Spring wheat",110
"148","Area under Crops (000 Hectares)","1988","Spring wheat",21.4
"149","Crop Yield per Hectare (Tonnes)","1988","Spring wheat",7
"150","Crop Yield (000 Tonnes)","1988","Spring wheat",150
"151","Area under Crops (000 Hectares)","1989","Spring wheat",17.7
"152","Crop Yield per Hectare (Tonnes)","1989","Spring wheat",6.2
"153","Crop Yield (000 Tonnes)","1989","Spring wheat",109
"154","Area under Crops (000 Hectares)","1990","Spring wheat",13.6
"155","Crop Yield per Hectare (Tonnes)","1990","Spring wheat",6.7
"156","Crop Yield (000 Tonnes)","1990","Spring wheat",92
"157","Area under Crops (000 Hectares)","1991","Spring wheat",18.8
"158","Crop Yield per Hectare (Tonnes)","1991","Spring wheat",6.7
"159","Crop Yield (000 Tonnes)","1991","Spring wheat",125
"160","Area under Crops (000 Hectares)","1992","Spring wheat",17.3
"161","Crop Yield per Hectare (Tonnes)","1992","Spring wheat",7.4
"162","Crop Yield (000 Tonnes)","1992","Spring wheat",127
"163","Area under Crops (000 Hectares)","1993","Spring wheat",22
"164","Crop Yield per Hectare (Tonnes)","1993","Spring wheat",7.1
"165","Crop Yield (000 Tonnes)","1993","Spring wheat",155
"166","Area under Crops (000 Hectares)","1994","Spring wheat",17.9
"167","Crop Yield per Hectare (Tonnes)","1994","Spring wheat",6.4
"168","Crop Yield (000 Tonnes)","1994","Spring wheat",114
"169","Area under Crops (000 Hectares)","1995","Spring wheat",18.9
"170","Crop Yield per Hectare (Tonnes)","1995","Spring wheat",7
"171","Crop Yield (000 Tonnes)","1995","Spring wheat",132
"172","Area under Crops (000 Hectares)","1996","Spring wheat",18.5
"173","Crop Yield per Hectare (Tonnes)","1996","Spring wheat",7.5
"174","Crop Yield (000 Tonnes)","1996","Spring wheat",138.7
"175","Area under Crops (000 Hectares)","1997","Spring wheat",23.7
"176","Crop Yield per Hectare (Tonnes)","1997","Spring wheat",6.8
"177","Crop Yield (000 Tonnes)","1997","Spring wheat",161.2
"178","Area under Crops (000 Hectares)","1998","Spring wheat",18.4
"179","Crop Yield per Hectare (Tonnes)","1998","Spring wheat",7.7
"180","Crop Yield (000 Tonnes)","1998","Spring wheat",141.1
"181","Area under Crops (000 Hectares)","1999","Spring wheat",27.4
"182","Crop Yield per Hectare (Tonnes)","1999","Spring wheat",7.8
"183","Crop Yield (000 Tonnes)","1999","Spring wheat",215.3
"184","Area under Crops (000 Hectares)","2000","Spring wheat",19.1
"185","Crop Yield per Hectare (Tonnes)","2000","Spring wheat",8.1
"186","Crop Yield (000 Tonnes)","2000","Spring wheat",155.1
"187","Area under Crops (000 Hectares)","2001","Spring wheat",35
"188","Crop Yield per Hectare (Tonnes)","2001","Spring wheat",8
"189","Crop Yield (000 Tonnes)","2001","Spring wheat",280
"190","Area under Crops (000 Hectares)","2002","Spring wheat",22.7
"191","Crop Yield per Hectare (Tonnes)","2002","Spring wheat",7.2
"192","Crop Yield (000 Tonnes)","2002","Spring wheat",163.6
"193","Area under Crops (000 Hectares)","2003","Spring wheat",35.2
"194","Crop Yield per Hectare (Tonnes)","2003","Spring wheat",7.6
"195","Crop Yield (000 Tonnes)","2003","Spring wheat",267.2
"196","Area under Crops (000 Hectares)","2004","Spring wheat",31.2
"197","Crop Yield per Hectare (Tonnes)","2004","Spring wheat",8.6
"198","Crop Yield (000 Tonnes)","2004","Spring wheat",268.6
"199","Area under Crops (000 Hectares)","2005","Spring wheat",30.2
"200","Crop Yield per Hectare (Tonnes)","2005","Spring wheat",7.6
"201","Crop Yield (000 Tonnes)","2005","Spring wheat",229.7
"202","Area under Crops (000 Hectares)","2006","Spring wheat",28.3
"203","Crop Yield per Hectare (Tonnes)","2006","Spring wheat",7.8
"204","Crop Yield (000 Tonnes)","2006","Spring wheat",221
"205","Area under Crops (000 Hectares)","2007","Spring wheat",19.6
"206","Crop Yield per Hectare (Tonnes)","2007","Spring wheat",7.7
"207","Crop Yield (000 Tonnes)","2007","Spring wheat",150.9
"208","Area under Crops (000 Hectares)","1985","Total oats",24.9
"209","Crop Yield per Hectare (Tonnes)","1985","Total oats",5.1
"210","Crop Yield (000 Tonnes)","1985","Total oats",126
"211","Area under Crops (000 Hectares)","1986","Total oats",23
"212","Crop Yield per Hectare (Tonnes)","1986","Total oats",5.4
"213","Crop Yield (000 Tonnes)","1986","Total oats",124
"214","Area under Crops (000 Hectares)","1987","Total oats",22.9
"215","Crop Yield per Hectare (Tonnes)","1987","Total oats",5.8
"216","Crop Yield (000 Tonnes)","1987","Total oats",133
"217","Area under Crops (000 Hectares)","1988","Total oats",22.6
"218","Crop Yield per Hectare (Tonnes)","1988","Total oats",6.5
"219","Crop Yield (000 Tonnes)","1988","Total oats",147
"220","Area under Crops (000 Hectares)","1989","Total oats",22.4
"221","Crop Yield per Hectare (Tonnes)","1989","Total oats",6
"222","Crop Yield (000 Tonnes)","1989","Total oats",134
"223","Area under Crops (000 Hectares)","1990","Total oats",21.8
"224","Crop Yield per Hectare (Tonnes)","1990","Total oats",6.6
"225","Crop Yield (000 Tonnes)","1990","Total oats",144
"226","Area under Crops (000 Hectares)","1991","Total oats",20.6
"227","Crop Yield per Hectare (Tonnes)","1991","Total oats",7
"228","Crop Yield (000 Tonnes)","1991","Total oats",143
"229","Area under Crops (000 Hectares)","1992","Total oats",20.1
"230","Crop Yield per Hectare (Tonnes)","1992","Total oats",6.8
"231","Crop Yield (000 Tonnes)","1992","Total oats",136
"232","Area under Crops (000 Hectares)","1993","Total oats",20.2
"233","Crop Yield per Hectare (Tonnes)","1993","Total oats",6.4
"234","Crop Yield (000 Tonnes)","1993","Total oats",129
"235","Area under Crops (000 Hectares)","1994","Total oats",20.9
"236","Crop Yield per Hectare (Tonnes)","1994","Total oats",6.1
"237","Crop Yield (000 Tonnes)","1994","Total oats",128
"238","Area under Crops (000 Hectares)","1995","Total oats",19.9
"239","Crop Yield per Hectare (Tonnes)","1995","Total oats",6.5
"240","Crop Yield (000 Tonnes)","1995","Total oats",129
"241","Area under Crops (000 Hectares)","1996","Total oats",20.9
"242","Crop Yield per Hectare (Tonnes)","1996","Total oats",7
"243","Crop Yield (000 Tonnes)","1996","Total oats",146.1
"244","Area under Crops (000 Hectares)","1997","Total oats",20.6
"245","Crop Yield per Hectare (Tonnes)","1997","Total oats",6.4
"246","Crop Yield (000 Tonnes)","1997","Total oats",131.6
"247","Area under Crops (000 Hectares)","1998","Total oats",19.4
"248","Crop Yield per Hectare (Tonnes)","1998","Total oats",6.1
"249","Crop Yield (000 Tonnes)","1998","Total oats",119.1
"250","Area under Crops (000 Hectares)","1999","Total oats",20.2
"251","Crop Yield per Hectare (Tonnes)","1999","Total oats",6.7
"252","Crop Yield (000 Tonnes)","1999","Total oats",136.4
"253","Area under Crops (000 Hectares)","2000","Total oats",16.8
"254","Crop Yield per Hectare (Tonnes)","2000","Total oats",7.5
"255","Crop Yield (000 Tonnes)","2000","Total oats",126.6
"256","Area under Crops (000 Hectares)","2001","Total oats",16.8
"257","Crop Yield per Hectare (Tonnes)","2001","Total oats",7.1
"258","Crop Yield (000 Tonnes)","2001","Total oats",118.7
"259","Area under Crops (000 Hectares)","2002","Total oats",18.8
"260","Crop Yield per Hectare (Tonnes)","2002","Total oats",7.1
"261","Crop Yield (000 Tonnes)","2002","Total oats",133.6
"262","Area under Crops (000 Hectares)","2003","Total oats",21
"263","Crop Yield per Hectare (Tonnes)","2003","Total oats",7.4
"264","Crop Yield (000 Tonnes)","2003","Total oats",155.1
"265","Area under Crops (000 Hectares)","2004","Total oats",20
"266","Crop Yield per Hectare (Tonnes)","2004","Total oats",7.8
"267","Crop Yield (000 Tonnes)","2004","Total oats",155.2
"268","Area under Crops (000 Hectares)","2005","Total oats",16.8
"269","Crop Yield per Hectare (Tonnes)","2005","Total oats",6.7
"270","Crop Yield (000 Tonnes)","2005","Total oats",112.8
"271","Area under Crops (000 Hectares)","2006","Total oats",20.4
"272","Crop Yield per Hectare (Tonnes)","2006","Total oats",7
