"","Statistic","Agricultural.Product","Month","value"
"100","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Cattle","2000M02",87.062
"101","Agricultural Input and Output Price Indices (Base 2005=100)","Cattle excluding calves","2000M02",90.04
"102","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Cattle excluding calves","2000M02",NA
"103","Agricultural Input and Output Price Indices (Base 2005=100)","Calves","2000M02",85.225
"104","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Calves","2000M02",NA
"105","Agricultural Input and Output Price Indices (Base 2005=100)","Pigs","2000M02",84.569
"106","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Pigs","2000M02",86.582
"107","Agricultural Input and Output Price Indices (Base 2005=100)","Sheep","2000M02",104.328
"108","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Sheep","2000M02",99.198
"109","Agricultural Input and Output Price Indices (Base 2005=100)","Poultry","2000M02",93.217
"110","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Poultry","2000M02",NA
"111","Agricultural Input and Output Price Indices (Base 2005=100)","Animal products","2000M02",105.311
"112","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Animal products","2000M02",NA
"113","Agricultural Input and Output Price Indices (Base 2005=100)","Milk","2000M02",105.493
"114","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Milk","2000M02",104.207
"115","Agricultural Input and Output Price Indices (Base 2005=100)","Eggs","2000M02",92.445
"116","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Eggs","2000M02",NA
"117","Agricultural Input and Output Price Indices (Base 2005=100)","Wool","2000M02",109.441
"118","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Wool","2000M02",NA
"119","Agricultural Input and Output Price Indices (Base 2005=100)","Agricultural input price index","2000M02",82.552
"120","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Agricultural input price index","2000M02",NA
"121","Agricultural Input and Output Price Indices (Base 2005=100)","Seeds","2000M02",86.667
"122","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Seeds","2000M02",NA
"123","Agricultural Input and Output Price Indices (Base 2005=100)","Energy","2000M02",70.033
"124","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Energy","2000M02",NA
"125","Agricultural Input and Output Price Indices (Base 2005=100)","Electricity","2000M02",73.689
"126","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Electricity","2000M02",NA
"127","Agricultural Input and Output Price Indices (Base 2005=100)","Motor fuel","2000M02",68.658
"128","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Motor fuel","2000M02",NA
"129","Agricultural Input and Output Price Indices (Base 2005=100)","Lubricants","2000M02",84.059
"130","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Lubricants","2000M02",NA
"131","Agricultural Input and Output Price Indices (Base 2005=100)","Fertilisers","2000M02",77.912
"132","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Fertilisers","2000M02",NA
"133","Agricultural Input and Output Price Indices (Base 2005=100)","Straight fertilisers","2000M02",71.743
"134","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Straight fertilisers","2000M02",NA
"135","Agricultural Input and Output Price Indices (Base 2005=100)","Compound fertilisers","2000M02",80.981
"136","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound fertilisers","2000M02",NA
"137","Agricultural Input and Output Price Indices (Base 2005=100)","PK fertilisers","2000M02",88.997
"138","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","PK fertilisers","2000M02",NA
"139","Agricultural Input and Output Price Indices (Base 2005=100)","NPK fertilisers","2000M02",80.463
"140","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","NPK fertilisers","2000M02",NA
"141","Agricultural Input and Output Price Indices (Base 2005=100)","Other fertilisers","2000M02",90.002
"142","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other fertilisers","2000M02",NA
