"","Statistic","Agricultural.Product","Month","value"
"2366","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Animals","2002M05",NA
"2367","Agricultural Input and Output Price Indices (Base 2005=100)","Cattle","2002M05",93.299
"2368","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Cattle","2002M05",90.051
"2369","Agricultural Input and Output Price Indices (Base 2005=100)","Cattle excluding calves","2002M05",93.098
"2370","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Cattle excluding calves","2002M05",NA
"2371","Agricultural Input and Output Price Indices (Base 2005=100)","Calves","2002M05",109.082
"2372","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Calves","2002M05",NA
"2373","Agricultural Input and Output Price Indices (Base 2005=100)","Pigs","2002M05",101.28
"2374","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Pigs","2002M05",99.731
"2375","Agricultural Input and Output Price Indices (Base 2005=100)","Sheep","2002M05",122.489
"2376","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Sheep","2002M05",110.106
"2377","Agricultural Input and Output Price Indices (Base 2005=100)","Poultry","2002M05",97.579
"2378","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Poultry","2002M05",NA
"2379","Agricultural Input and Output Price Indices (Base 2005=100)","Animal products","2002M05",101.467
"2380","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Animal products","2002M05",NA
"2381","Agricultural Input and Output Price Indices (Base 2005=100)","Milk","2002M05",101.707
"2382","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Milk","2002M05",104.27
"2383","Agricultural Input and Output Price Indices (Base 2005=100)","Eggs","2002M05",98.255
"2384","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Eggs","2002M05",NA
"2385","Agricultural Input and Output Price Indices (Base 2005=100)","Wool","2002M05",69.195
"2386","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Wool","2002M05",NA
"2387","Agricultural Input and Output Price Indices (Base 2005=100)","Agricultural input price index","2002M05",90.428
"2388","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Agricultural input price index","2002M05",NA
"2389","Agricultural Input and Output Price Indices (Base 2005=100)","Seeds","2002M05",93.095
"2390","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Seeds","2002M05",NA
"2391","Agricultural Input and Output Price Indices (Base 2005=100)","Energy","2002M05",74.93
"2392","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Energy","2002M05",NA
"2393","Agricultural Input and Output Price Indices (Base 2005=100)","Electricity","2002M05",78.057
"2394","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Electricity","2002M05",NA
"2395","Agricultural Input and Output Price Indices (Base 2005=100)","Motor fuel","2002M05",73.418
"2396","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Motor fuel","2002M05",NA
"2397","Agricultural Input and Output Price Indices (Base 2005=100)","Lubricants","2002M05",94.376
"2398","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Lubricants","2002M05",NA
"2399","Agricultural Input and Output Price Indices (Base 2005=100)","Fertilisers","2002M05",89.606
"2400","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Fertilisers","2002M05",NA
"2401","Agricultural Input and Output Price Indices (Base 2005=100)","Straight fertilisers","2002M05",87.635
"2402","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Straight fertilisers","2002M05",NA
"2403","Agricultural Input and Output Price Indices (Base 2005=100)","Compound fertilisers","2002M05",90.462
"2404","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound fertilisers","2002M05",NA
"2405","Agricultural Input and Output Price Indices (Base 2005=100)","PK fertilisers","2002M05",93.817
"2406","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","PK fertilisers","2002M05",NA
"2407","Agricultural Input and Output Price Indices (Base 2005=100)","NPK fertilisers","2002M05",90.245
"2408","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","NPK fertilisers","2002M05",NA
"2409","Agricultural Input and Output Price Indices (Base 2005=100)","Other fertilisers","2002M05",95.273
"2410","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other fertilisers","2002M05",NA
"2411","Agricultural Input and Output Price Indices (Base 2005=100)","Plant protection products","2002M05",98.818
"2412","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Plant protection products","2002M05",NA
"2413","Agricultural Input and Output Price Indices (Base 2005=100)","Veterinary expenses","2002M05",93.384
"2414","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Veterinary expenses","2002M05",NA
"2415","Agricultural Input and Output Price Indices (Base 2005=100)","Feeding stuffs","2002M05",98.127
"2416","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Feeding stuffs","2002M05",NA
"2417","Agricultural Input and Output Price Indices (Base 2005=100)","Straight feeding stuffs","2002M05",93.586
"2418","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Straight feeding stuffs","2002M05",NA
"2419","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs","2002M05",98.634
"2420","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs","2002M05",NA
"2421","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for calves","2002M05",99.498
"2422","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for calves","2002M05",NA
"2423","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for cattle excluding calves","2002M05",99.41
"2424","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for cattle excluding calves","2002M05",NA
"2425","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for pigs","2002M05",97.391
"2426","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for pigs","2002M05",NA
"2427","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for poultry","2002M05",97.79
"2428","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for poultry","2002M05",NA
"2429","Agricultural Input and Output Price Indices (Base 2005=100)","Other compound feeding stuffs","2002M05",98.634
"2430","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other compound feeding stuffs","2002M05",NA
"2431","Agricultural Input and Output Price Indices (Base 2005=100)","Maintenance of materials","2002M05",88.213
"2432","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Maintenance of materials","2002M05",NA
"2433","Agricultural Input and Output Price Indices (Base 2005=100)","Maintenance of buildings","2002M05",88.62
"2434","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Maintenance of buildings","2002M05",NA
"2435","Agricultural Input and Output Price Indices (Base 2005=100)","Other goods and services including artificial insemination","2002M05",99.433
"2436","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other goods and services including artificial insemination","2002M05",NA
"2437","Agricultural Input and Output Price Indices (Base 2005=100)","Agricultural output price index","2002M06",99.501
"2438","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Agricultural output price index","2002M06",98.262
"2439","Agricultural Input and Output Price Indices (Base 2005=100)","Crop output","2002M06",106.813
"2440","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Crop output","2002M06",NA
"2441","Agricultural Input and Output Price Indices (Base 2005=100)","Cereals including seeds","2002M06",108.107
"2442","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Cereals including seeds","2002M06",NA
"2443","Agricultural Input and Output Price Indices (Base 2005=100)","Vegetables","2002M06",92.137
"2444","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Vegetables","2002M06",92.43
"2445","Agricultural Input and Output Price Indices (Base 2005=100)","Potatoes including seeds","2002M06",136.799
"2446","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Potatoes including seeds","2002M06",125.76
"2447","Agricultural Input and Output Price Indices (Base 2005=100)","Animal output","2002M06",98.151
"2448","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Animal output","2002M06",NA
"2449","Agricultural Input and Output Price Indices (Base 2005=100)","Animals","2002M06",96.357
"2450","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Animals","2002M06",NA
"2451","Agricultural Input and Output Price Indices (Base 2005=100)","Cattle","2002M06",91.966
"2452","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Cattle","2002M06",87.87
"2453","Agricultural Input and Output Price Indices (Base 2005=100)","Cattle excluding calves","2002M06",91.879
"2454","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Cattle excluding calves","2002M06",NA
"2455","Agricultural Input and Output Price Indices (Base 2005=100)","Calves","2002M06",98.856
"2456","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Calves","2002M06",NA
"2457","Agricultural Input and Output Price Indices (Base 2005=100)","Pigs","2002M06",103.65
"2458","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Pigs","2002M06",100.917
"2459","Agricultural Input and Output Price Indices (Base 2005=100)","Sheep","2002M06",111.587
"2460","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Sheep","2002M06",109.077
"2461","Agricultural Input and Output Price Indices (Base 2005=100)","Poultry","2002M06",97.791
"2462","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Poultry","2002M06",NA
"2463","Agricultural Input and Output Price Indices (Base 2005=100)","Animal products","2002M06",101.007
"2464","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Animal products","2002M06",NA
"2465","Agricultural Input and Output Price Indices (Base 2005=100)","Milk","2002M06",101.229
"2466","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Milk","2002M06",103.673
"2467","Agricultural Input and Output Price Indices (Base 2005=100)","Eggs","2002M06",98.255
"2468","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Eggs","2002M06",NA
"2469","Agricultural Input and Output Price Indices (Base 2005=100)","Wool","2002M06",70.541
"2470","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Wool","2002M06",NA
"2471","Agricultural Input and Output Price Indices (Base 2005=100)","Agricultural input price index","2002M06",90.397
"2472","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Agricultural input price index","2002M06",NA
"2473","Agricultural Input and Output Price Indices (Base 2005=100)","Seeds","2002M06",93.095
"2474","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Seeds","2002M06",NA
"2475","Agricultural Input and Output Price Indices (Base 2005=100)","Energy","2002M06",74.44
"2476","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Energy","2002M06",NA
"2477","Agricultural Input and Output Price Indices (Base 2005=100)","Electricity","2002M06",78.057
"2478","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Electricity","2002M06",NA
"2479","Agricultural Input and Output Price Indices (Base 2005=100)","Motor fuel","2002M06",72.772
"2480","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Motor fuel","2002M06",NA
"2481","Agricultural Input and Output Price Indices (Base 2005=100)","Lubricants","2002M06",94.376
"2482","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Lubricants","2002M06",NA
"2483","Agricultural Input and Output Price Indices (Base 2005=100)","Fertilisers","2002M06",89.119
"2484","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Fertilisers","2002M06",NA
"2485","Agricultural Input and Output Price Indices (Base 2005=100)","Straight fertilisers","2002M06",87.024
"2486","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Straight fertilisers","2002M06",NA
"2487","Agricultural Input and Output Price Indices (Base 2005=100)","Compound fertilisers","2002M06",90.021
"2488","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound fertilisers","2002M06",NA
"2489","Agricultural Input and Output Price Indices (Base 2005=100)","PK fertilisers","2002M06",93.569
"2490","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","PK fertilisers","2002M06",NA
"2491","Agricultural Input and Output Price Indices (Base 2005=100)","NPK fertilisers","2002M06",89.792
"2492","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","NPK fertilisers","2002M06",NA
"2493","Agricultural Input and Output Price Indices (Base 2005=100)","Other fertilisers","2002M06",95.273
"2494","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other fertilisers","2002M06",NA
"2495","Agricultural Input and Output Price Indices (Base 2005=100)","Plant protection products","2002M06",98.737
"2496","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Plant protection products","2002M06",NA
"2497","Agricultural Input and Output Price Indices (Base 2005=100)","Veterinary expenses","2002M06",93.392
"2498","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Veterinary expenses","2002M06",NA
"2499","Agricultural Input and Output Price Indices (Base 2005=100)","Feeding stuffs","2002M06",98.119
"2500","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Feeding stuffs","2002M06",NA
"2501","Agricultural Input and Output Price Indices (Base 2005=100)","Straight feeding stuffs","2002M06",93.551
"2502","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Straight feeding stuffs","2002M06",NA
"2503","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs","2002M06",98.629
"2504","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs","2002M06",NA
"2505","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for calves","2002M06",99.498
"2506","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for calves","2002M06",NA
"2507","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for cattle excluding calves","2002M06",99.401
"2508","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for cattle excluding calves","2002M06",NA
"2509","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for pigs","2002M06",97.391
"2510","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for pigs","2002M06",NA
"2511","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for poultry","2002M06",97.79
"2512","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for poultry","2002M06",NA
"2513","Agricultural Input and Output Price Indices (Base 2005=100)","Other compound feeding stuffs","2002M06",98.629
"2514","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other compound feeding stuffs","2002M06",NA
"2515","Agricultural Input and Output Price Indices (Base 2005=100)","Maintenance of materials","2002M06",88.522
"2516","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Maintenance of materials","2002M06",NA
"2517","Agricultural Input and Output Price Indices (Base 2005=100)","Maintenance of buildings","2002M06",89.327
"2518","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Maintenance of buildings","2002M06",NA
"2519","Agricultural Input and Output Price Indices (Base 2005=100)","Other goods and services including artificial insemination","2002M06",98.684
"2520","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other goods and services including artificial insemination","2002M06",NA
"2521","Agricultural Input and Output Price Indices (Base 2005=100)","Agricultural output price index","2002M07",96.996
"2522","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Agricultural output price index","2002M07",97.947
"2523","Agricultural Input and Output Price Indices (Base 2005=100)","Crop output","2002M07",106.186
"2524","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Crop output","2002M07",NA
"2525","Agricultural Input and Output Price Indices (Base 2005=100)","Cereals including seeds","2002M07",108.107
"2526","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Cereals including seeds","2002M07",NA
"2527","Agricultural Input and Output Price Indices (Base 2005=100)","Vegetables","2002M07",100.568
"2528","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Vegetables","2002M07",100.979
"2529","Agricultural Input and Output Price Indices (Base 2005=100)","Potatoes including seeds","2002M07",116.893
"2530","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Potatoes including seeds","2002M07",105.728
"2531","Agricultural Input and Output Price Indices (Base 2005=100)","Animal output","2002M07",95.301
"2532","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Animal output","2002M07",NA
"2533","Agricultural Input and Output Price Indices (Base 2005=100)","Animals","2002M07",91.769
"2534","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Animals","2002M07",NA
"2535","Agricultural Input and Output Price Indices (Base 2005=100)","Cattle","2002M07",88.101
"2536","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Cattle","2002M07",87.348
"2537","Agricultural Input and Output Price Indices (Base 2005=100)","Cattle excluding calves","2002M07",88.123
"2538","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Cattle excluding calves","2002M07",NA
"2539","Agricultural Input and Output Price Indices (Base 2005=100)","Calves","2002M07",86.398
"2540","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Calves","2002M07",NA
"2541","Agricultural Input and Output Price Indices (Base 2005=100)","Pigs","2002M07",102.919
"2542","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Pigs","2002M07",99.97
"2543","Agricultural Input and Output Price Indices (Base 2005=100)","Sheep","2002M07",96.357
"2544","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Sheep","2002M07",103.724
"2545","Agricultural Input and Output Price Indices (Base 2005=100)","Poultry","2002M07",97.33
"2546","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Poultry","2002M07",NA
"2547","Agricultural Input and Output Price Indices (Base 2005=100)","Animal products","2002M07",100.921
"2548","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Animal products","2002M07",NA
"2549","Agricultural Input and Output Price Indices (Base 2005=100)","Milk","2002M07",101.101
"2550","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Milk","2002M07",103.624
"2551","Agricultural Input and Output Price Indices (Base 2005=100)","Eggs","2002M07",97.267
"2552","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Eggs","2002M07",NA
"2553","Agricultural Input and Output Price Indices (Base 2005=100)","Wool","2002M07",80.041
"2554","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Wool","2002M07",NA
"2555","Agricultural Input and Output Price Indices (Base 2005=100)","Agricultural input price index","2002M07",90.09
"2556","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Agricultural input price index","2002M07",NA
"2557","Agricultural Input and Output Price Indices (Base 2005=100)","Seeds","2002M07",93.095
"2558","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Seeds","2002M07",NA
"2559","Agricultural Input and Output Price Indices (Base 2005=100)","Energy","2002M07",73.48
"2560","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Energy","2002M07",NA
"2561","Agricultural Input and Output Price Indices (Base 2005=100)","Electricity","2002M07",78.057
"2562","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Electricity","2002M07",NA
"2563","Agricultural Input and Output Price Indices (Base 2005=100)","Motor fuel","2002M07",71.572
"2564","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Motor fuel","2002M07",NA
"2565","Agricultural Input and Output Price Indices (Base 2005=100)","Lubricants","2002M07",94.376
"2566","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Lubricants","2002M07",NA
"2567","Agricultural Input and Output Price Indices (Base 2005=100)","Fertilisers","2002M07",87.977
"2568","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Fertilisers","2002M07",NA
"2569","Agricultural Input and Output Price Indices (Base 2005=100)","Straight fertilisers","2002M07",85.723
"2570","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Straight fertilisers","2002M07",NA
"2571","Agricultural Input and Output Price Indices (Base 2005=100)","Compound fertilisers","2002M07",88.901
"2572","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound fertilisers","2002M07",NA
"2573","Agricultural Input and Output Price Indices (Base 2005=100)","PK fertilisers","2002M07",93.569
"2574","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","PK fertilisers","2002M07",NA
"2575","Agricultural Input and Output Price Indices (Base 2005=100)","NPK fertilisers","2002M07",88.6
"2576","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","NPK fertilisers","2002M07",NA
"2577","Agricultural Input and Output Price Indices (Base 2005=100)","Other fertilisers","2002M07",95.273
"2578","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other fertilisers","2002M07",NA
"2579","Agricultural Input and Output Price Indices (Base 2005=100)","Plant protection products","2002M07",99.103
"2580","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Plant protection products","2002M07",NA
"2581","Agricultural Input and Output Price Indices (Base 2005=100)","Veterinary expenses","2002M07",93.63
"2582","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Veterinary expenses","2002M07",NA
"2583","Agricultural Input and Output Price Indices (Base 2005=100)","Feeding stuffs","2002M07",98.135
"2584","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Feeding stuffs","2002M07",NA
"2585","Agricultural Input and Output Price Indices (Base 2005=100)","Straight feeding stuffs","2002M07",93.559
"2586","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Straight feeding stuffs","2002M07",NA
"2587","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs","2002M07",98.645
"2588","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs","2002M07",NA
"2589","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for calves","2002M07",99.5
"2590","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for calves","2002M07",NA
"2591","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for cattle excluding calves","2002M07",99.432
"2592","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for cattle excluding calves","2002M07",NA
"2593","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for pigs","2002M07",97.391
"2594","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for pigs","2002M07",NA
"2595","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for poultry","2002M07",97.79
"2596","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for poultry","2002M07",NA
"2597","Agricultural Input and Output Price Indices (Base 2005=100)","Other compound feeding stuffs","2002M07",98.645
"2598","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other compound feeding stuffs","2002M07",NA
"2599","Agricultural Input and Output Price Indices (Base 2005=100)","Maintenance of materials","2002M07",88.832
"2600","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Maintenance of materials","2002M07",NA
"2601","Agricultural Input and Output Price Indices (Base 2005=100)","Maintenance of buildings","2002M07",89.353
"2602","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Maintenance of buildings","2002M07",NA
"2603","Agricultural Input and Output Price Indices (Base 2005=100)","Other goods and services including artificial insemination","2002M07",98.048
"2604","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other goods and services including artificial insemination","2002M07",NA
"2605","Agricultural Input and Output Price Indices (Base 2005=100)","Agricultural output price index","2002M08",95.136
"2606","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Agricultural output price index","2002M08",97.891
"2607","Agricultural Input and Output Price Indices (Base 2005=100)","Crop output","2002M08",99.573
"2608","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Crop output","2002M08",NA
"2609","Agricultural Input and Output Price Indices (Base 2005=100)","Cereals including seeds","2002M08",94.968
"2610","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Cereals including seeds","2002M08",NA
"2611","Agricultural Input and Output Price Indices (Base 2005=100)","Vegetables","2002M08",113.005
"2612","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Vegetables","2002M08",109.654
"2613","Agricultural Input and Output Price Indices (Base 2005=100)","Potatoes including seeds","2002M08",78.855
"2614","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Potatoes including seeds","2002M08",116.536
"2615","Agricultural Input and Output Price Indices (Base 2005=100)","Animal output","2002M08",94.318
"2616","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Animal output","2002M08",NA
"2617","Agricultural Input and Output Price Indices (Base 2005=100)","Animals","2002M08",89.914
"2618","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Animals","2002M08",NA
"2619","Agricultural Input and Output Price Indices (Base 2005=100)","Cattle","2002M08",85.903
"2620","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Cattle","2002M08",87.564
"2621","Agricultural Input and Output Price Indices (Base 2005=100)","Cattle excluding calves","2002M08",85.744
"2622","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Cattle excluding calves","2002M08",NA
"2623","Agricultural Input and Output Price Indices (Base 2005=100)","Calves","2002M08",98.352
"2624","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Calves","2002M08",NA
"2625","Agricultural Input and Output Price Indices (Base 2005=100)","Pigs","2002M08",96.874
"2626","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Pigs","2002M08",98.122
"2627","Agricultural Input and Output Price Indices (Base 2005=100)","Sheep","2002M08",100.373
"2628","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Sheep","2002M08",108.665
"2629","Agricultural Input and Output Price Indices (Base 2005=100)","Poultry","2002M08",96.786
"2630","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Poultry","2002M08",NA
"2631","Agricultural Input and Output Price Indices (Base 2005=100)","Animal products","2002M08",101.326
"2632","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Animal products","2002M08",NA
"2633","Agricultural Input and Output Price Indices (Base 2005=100)","Milk","2002M08",101.438
"2634","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Milk","2002M08",103.686
"2635","Agricultural Input and Output Price Indices (Base 2005=100)","Eggs","2002M08",97.267
"2636","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Eggs","2002M08",NA
