"","Statistic","Month","Agricultural.Product","value"
"651","Agricultural Input and Output Prices Indices (Base 2000=100)","2006M02","Total Livestock and Livestock Products (Output)",103.85
"652","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2006M02","Total Livestock and Livestock Products (Output)",NA
"653","Agricultural Input and Output Prices Indices (Base 2000=100)","2006M03","Total Livestock and Livestock Products (Output)",104.74
"654","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2006M03","Total Livestock and Livestock Products (Output)",NA
"655","Agricultural Input and Output Prices Indices (Base 2000=100)","2006M04","Total Livestock and Livestock Products (Output)",105.47
"656","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2006M04","Total Livestock and Livestock Products (Output)",NA
"657","Agricultural Input and Output Prices Indices (Base 2000=100)","2006M05","Total Livestock and Livestock Products (Output)",105.768
"658","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2006M05","Total Livestock and Livestock Products (Output)",NA
"659","Agricultural Input and Output Prices Indices (Base 2000=100)","2006M06","Total Livestock and Livestock Products (Output)",104.319
"660","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2006M06","Total Livestock and Livestock Products (Output)",NA
"661","Agricultural Input and Output Prices Indices (Base 2000=100)","2006M07","Total Livestock and Livestock Products (Output)",100.372
"662","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2006M07","Total Livestock and Livestock Products (Output)",NA
"663","Agricultural Input and Output Prices Indices (Base 2000=100)","2006M08","Total Livestock and Livestock Products (Output)",99.535
"664","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2006M08","Total Livestock and Livestock Products (Output)",NA
"665","Agricultural Input and Output Prices Indices (Base 2000=100)","2006M09","Total Livestock and Livestock Products (Output)",102.476
"666","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2006M09","Total Livestock and Livestock Products (Output)",NA
"667","Agricultural Input and Output Prices Indices (Base 2000=100)","2006M10","Total Livestock and Livestock Products (Output)",103.057
"668","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2006M10","Total Livestock and Livestock Products (Output)",NA
"669","Agricultural Input and Output Prices Indices (Base 2000=100)","2006M11","Total Livestock and Livestock Products (Output)",102.363
"670","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2006M11","Total Livestock and Livestock Products (Output)",NA
"671","Agricultural Input and Output Prices Indices (Base 2000=100)","2006M12","Total Livestock and Livestock Products (Output)",101.927
"672","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2006M12","Total Livestock and Livestock Products (Output)",NA
"673","Agricultural Input and Output Prices Indices (Base 2000=100)","2007M01","Total Livestock and Livestock Products (Output)",103.651
"674","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2007M01","Total Livestock and Livestock Products (Output)",NA
"675","Agricultural Input and Output Prices Indices (Base 2000=100)","2007M02","Total Livestock and Livestock Products (Output)",103.649
"676","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2007M02","Total Livestock and Livestock Products (Output)",NA
"677","Agricultural Input and Output Prices Indices (Base 2000=100)","2007M03","Total Livestock and Livestock Products (Output)",103.361
"678","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2007M03","Total Livestock and Livestock Products (Output)",NA
"679","Agricultural Input and Output Prices Indices (Base 2000=100)","2007M04","Total Livestock and Livestock Products (Output)",105.298
"680","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2007M04","Total Livestock and Livestock Products (Output)",NA
"681","Agricultural Input and Output Prices Indices (Base 2000=100)","2007M05","Total Livestock and Livestock Products (Output)",105.643
"682","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2007M05","Total Livestock and Livestock Products (Output)",NA
"683","Agricultural Input and Output Prices Indices (Base 2000=100)","2007M06","Total Livestock and Livestock Products (Output)",109.068
"684","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2007M06","Total Livestock and Livestock Products (Output)",NA
"685","Agricultural Input and Output Prices Indices (Base 2000=100)","2007M07","Total Livestock and Livestock Products (Output)",109.439
"686","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2007M07","Total Livestock and Livestock Products (Output)",NA
"687","Agricultural Input and Output Prices Indices (Base 2000=100)","2007M08","Total Livestock and Livestock Products (Output)",113.832
"688","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2007M08","Total Livestock and Livestock Products (Output)",NA
"689","Agricultural Input and Output Prices Indices (Base 2000=100)","2007M09","Total Livestock and Livestock Products (Output)",119.043
"690","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2007M09","Total Livestock and Livestock Products (Output)",NA
"691","Agricultural Input and Output Prices Indices (Base 2000=100)","2007M10","Total Livestock and Livestock Products (Output)",118.461
"692","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2007M10","Total Livestock and Livestock Products (Output)",NA
"693","Agricultural Input and Output Prices Indices (Base 2000=100)","2007M11","Total Livestock and Livestock Products (Output)",119.396
"694","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2007M11","Total Livestock and Livestock Products (Output)",NA
"695","Agricultural Input and Output Prices Indices (Base 2000=100)","2007M12","Total Livestock and Livestock Products (Output)",120.264
"696","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2007M12","Total Livestock and Livestock Products (Output)",NA
"697","Agricultural Input and Output Prices Indices (Base 2000=100)","2008M01","Total Livestock and Livestock Products (Output)",124.008
"698","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2008M01","Total Livestock and Livestock Products (Output)",NA
"699","Agricultural Input and Output Prices Indices (Base 2000=100)","2008M02","Total Livestock and Livestock Products (Output)",127.957
"700","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2008M02","Total Livestock and Livestock Products (Output)",NA
"701","Agricultural Input and Output Prices Indices (Base 2000=100)","2008M03","Total Livestock and Livestock Products (Output)",128.494
"702","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2008M03","Total Livestock and Livestock Products (Output)",NA
"703","Agricultural Input and Output Prices Indices (Base 2000=100)","2008M04","Total Livestock and Livestock Products (Output)",123.566
"704","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2008M04","Total Livestock and Livestock Products (Output)",NA
"705","Agricultural Input and Output Prices Indices (Base 2000=100)","2008M05","Total Livestock and Livestock Products (Output)",122.839
"706","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2008M05","Total Livestock and Livestock Products (Output)",NA
"707","Agricultural Input and Output Prices Indices (Base 2000=100)","2008M06","Total Livestock and Livestock Products (Output)",123.006
"708","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2008M06","Total Livestock and Livestock Products (Output)",NA
"709","Agricultural Input and Output Prices Indices (Base 2000=100)","2008M07","Total Livestock and Livestock Products (Output)",120.015
"710","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2008M07","Total Livestock and Livestock Products (Output)",NA
"711","Agricultural Input and Output Prices Indices (Base 2000=100)","2008M08","Total Livestock and Livestock Products (Output)",118.827
"712","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2008M08","Total Livestock and Livestock Products (Output)",NA
"713","Agricultural Input and Output Prices Indices (Base 2000=100)","2008M09","Total Livestock and Livestock Products (Output)",116.739
"714","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2008M09","Total Livestock and Livestock Products (Output)",NA
"715","Agricultural Input and Output Prices Indices (Base 2000=100)","2008M10","Total Livestock and Livestock Products (Output)",113.793
"716","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2008M10","Total Livestock and Livestock Products (Output)",NA
"717","Agricultural Input and Output Prices Indices (Base 2000=100)","2008M11","Total Livestock and Livestock Products (Output)",111.04
"718","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2008M11","Total Livestock and Livestock Products (Output)",NA
"719","Agricultural Input and Output Prices Indices (Base 2000=100)","2008M12","Total Livestock and Livestock Products (Output)",110.497
"720","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2008M12","Total Livestock and Livestock Products (Output)",NA
"721","Agricultural Input and Output Prices Indices (Base 2000=100)","2009M01","Total Livestock and Livestock Products (Output)",107.448
"722","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2009M01","Total Livestock and Livestock Products (Output)",NA
"723","Agricultural Input and Output Prices Indices (Base 2000=100)","2009M02","Total Livestock and Livestock Products (Output)",106.34
"724","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2009M02","Total Livestock and Livestock Products (Output)",NA
"725","Agricultural Input and Output Prices Indices (Base 2000=100)","2009M03","Total Livestock and Livestock Products (Output)",101.362
"726","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2009M03","Total Livestock and Livestock Products (Output)",NA
"727","Agricultural Input and Output Prices Indices (Base 2000=100)","2009M04","Total Livestock and Livestock Products (Output)",101.389
"728","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2009M04","Total Livestock and Livestock Products (Output)",NA
"729","Agricultural Input and Output Prices Indices (Base 2000=100)","2009M05","Total Livestock and Livestock Products (Output)",101.665
"730","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2009M05","Total Livestock and Livestock Products (Output)",NA
"731","Agricultural Input and Output Prices Indices (Base 2000=100)","2009M06","Total Livestock and Livestock Products (Output)",101.983
"732","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2009M06","Total Livestock and Livestock Products (Output)",NA
"733","Agricultural Input and Output Prices Indices (Base 2000=100)","2009M07","Total Livestock and Livestock Products (Output)",97.249
"734","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2009M07","Total Livestock and Livestock Products (Output)",NA
"735","Agricultural Input and Output Prices Indices (Base 2000=100)","2009M08","Total Livestock and Livestock Products (Output)",95.509
"736","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2009M08","Total Livestock and Livestock Products (Output)",NA
"737","Agricultural Input and Output Prices Indices (Base 2000=100)","2009M09","Total Livestock and Livestock Products (Output)",97.568
"738","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2009M09","Total Livestock and Livestock Products (Output)",NA
"739","Agricultural Input and Output Prices Indices (Base 2000=100)","2009M10","Total Livestock and Livestock Products (Output)",98.18
"740","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2009M10","Total Livestock and Livestock Products (Output)",NA
"741","Agricultural Input and Output Prices Indices (Base 2000=100)","2009M11","Total Livestock and Livestock Products (Output)",98.634
"742","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2009M11","Total Livestock and Livestock Products (Output)",NA
"743","Agricultural Input and Output Prices Indices (Base 2000=100)","2009M12","Total Livestock and Livestock Products (Output)",100.001
"744","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2009M12","Total Livestock and Livestock Products (Output)",NA
"745","Agricultural Input and Output Prices Indices (Base 2000=100)","2010M01","Total Livestock and Livestock Products (Output)",104
"746","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2010M01","Total Livestock and Livestock Products (Output)",NA
"747","Agricultural Input and Output Prices Indices (Base 2000=100)","2010M02","Total Livestock and Livestock Products (Output)",104.677
"748","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2010M02","Total Livestock and Livestock Products (Output)",NA
"749","Agricultural Input and Output Prices Indices (Base 2000=100)","2010M03","Total Livestock and Livestock Products (Output)",106.397
"750","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2010M03","Total Livestock and Livestock Products (Output)",NA
"751","Agricultural Input and Output Prices Indices (Base 2000=100)","2010M04","Total Livestock and Livestock Products (Output)",108.151
"752","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2010M04","Total Livestock and Livestock Products (Output)",NA
"753","Agricultural Input and Output Prices Indices (Base 2000=100)","2010M05","Total Livestock and Livestock Products (Output)",112.659
"754","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2010M05","Total Livestock and Livestock Products (Output)",NA
"755","Agricultural Input and Output Prices Indices (Base 2000=100)","2010M06","Total Livestock and Livestock Products (Output)",113.027
"756","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2010M06","Total Livestock and Livestock Products (Output)",NA
"757","Agricultural Input and Output Prices Indices (Base 2000=100)","2010M07","Total Livestock and Livestock Products (Output)",111.36
"758","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2010M07","Total Livestock and Livestock Products (Output)",NA
"759","Agricultural Input and Output Prices Indices (Base 2000=100)","2010M08","Total Livestock and Livestock Products (Output)",112.44
"760","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2010M08","Total Livestock and Livestock Products (Output)",NA
"761","Agricultural Input and Output Prices Indices (Base 2000=100)","2010M09","Total Livestock and Livestock Products (Output)",111.694
"762","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2010M09","Total Livestock and Livestock Products (Output)",NA
"763","Agricultural Input and Output Prices Indices (Base 2000=100)","2010M10","Total Livestock and Livestock Products (Output)",110.838
"764","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2010M10","Total Livestock and Livestock Products (Output)",NA
"765","Agricultural Input and Output Prices Indices (Base 2000=100)","2010M11","Total Livestock and Livestock Products (Output)",111.363
"766","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2010M11","Total Livestock and Livestock Products (Output)",NA
"767","Agricultural Input and Output Prices Indices (Base 2000=100)","2010M12","Total Livestock and Livestock Products (Output)",116.255
"768","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2010M12","Total Livestock and Livestock Products (Output)",NA
"769","Agricultural Input and Output Prices Indices (Base 2000=100)","1995M01","Total Livestock Products (Output)",102.9
"770","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1995M01","Total Livestock Products (Output)",NA
"771","Agricultural Input and Output Prices Indices (Base 2000=100)","1995M02","Total Livestock Products (Output)",103.7
"772","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1995M02","Total Livestock Products (Output)",NA
"773","Agricultural Input and Output Prices Indices (Base 2000=100)","1995M03","Total Livestock Products (Output)",102.3
"774","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1995M03","Total Livestock Products (Output)",NA
"775","Agricultural Input and Output Prices Indices (Base 2000=100)","1995M04","Total Livestock Products (Output)",104.8
"776","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1995M04","Total Livestock Products (Output)",NA
"777","Agricultural Input and Output Prices Indices (Base 2000=100)","1995M05","Total Livestock Products (Output)",106
"778","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1995M05","Total Livestock Products (Output)",NA
"779","Agricultural Input and Output Prices Indices (Base 2000=100)","1995M06","Total Livestock Products (Output)",105.6
"780","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1995M06","Total Livestock Products (Output)",NA
"781","Agricultural Input and Output Prices Indices (Base 2000=100)","1995M07","Total Livestock Products (Output)",104.5
"782","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1995M07","Total Livestock Products (Output)",NA
"783","Agricultural Input and Output Prices Indices (Base 2000=100)","1995M08","Total Livestock Products (Output)",104.3
"784","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1995M08","Total Livestock Products (Output)",NA
"785","Agricultural Input and Output Prices Indices (Base 2000=100)","1995M09","Total Livestock Products (Output)",105.4
"786","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1995M09","Total Livestock Products (Output)",NA
"787","Agricultural Input and Output Prices Indices (Base 2000=100)","1995M10","Total Livestock Products (Output)",106.7
"788","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1995M10","Total Livestock Products (Output)",NA
"789","Agricultural Input and Output Prices Indices (Base 2000=100)","1995M11","Total Livestock Products (Output)",108.4
"790","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1995M11","Total Livestock Products (Output)",NA
"791","Agricultural Input and Output Prices Indices (Base 2000=100)","1995M12","Total Livestock Products (Output)",108.4
"792","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1995M12","Total Livestock Products (Output)",NA
"793","Agricultural Input and Output Prices Indices (Base 2000=100)","1996M01","Total Livestock Products (Output)",111
"794","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1996M01","Total Livestock Products (Output)",NA
"795","Agricultural Input and Output Prices Indices (Base 2000=100)","1996M02","Total Livestock Products (Output)",110.3
"796","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1996M02","Total Livestock Products (Output)",NA
"797","Agricultural Input and Output Prices Indices (Base 2000=100)","1996M03","Total Livestock Products (Output)",110.6
"798","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1996M03","Total Livestock Products (Output)",NA
"799","Agricultural Input and Output Prices Indices (Base 2000=100)","1996M04","Total Livestock Products (Output)",105.3
"800","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1996M04","Total Livestock Products (Output)",NA
"801","Agricultural Input and Output Prices Indices (Base 2000=100)","1996M05","Total Livestock Products (Output)",105.1
"802","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1996M05","Total Livestock Products (Output)",NA
"803","Agricultural Input and Output Prices Indices (Base 2000=100)","1996M06","Total Livestock Products (Output)",104.4
"804","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1996M06","Total Livestock Products (Output)",NA
"805","Agricultural Input and Output Prices Indices (Base 2000=100)","1996M07","Total Livestock Products (Output)",104
"806","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1996M07","Total Livestock Products (Output)",NA
"807","Agricultural Input and Output Prices Indices (Base 2000=100)","1996M08","Total Livestock Products (Output)",103.7
"808","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1996M08","Total Livestock Products (Output)",NA
"809","Agricultural Input and Output Prices Indices (Base 2000=100)","1996M09","Total Livestock Products (Output)",104.6
"810","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1996M09","Total Livestock Products (Output)",NA
"811","Agricultural Input and Output Prices Indices (Base 2000=100)","1996M10","Total Livestock Products (Output)",102.6
"812","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1996M10","Total Livestock Products (Output)",NA
"813","Agricultural Input and Output Prices Indices (Base 2000=100)","1996M11","Total Livestock Products (Output)",104.2
"814","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1996M11","Total Livestock Products (Output)",NA
"815","Agricultural Input and Output Prices Indices (Base 2000=100)","1996M12","Total Livestock Products (Output)",105.9
"816","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1996M12","Total Livestock Products (Output)",NA
"817","Agricultural Input and Output Prices Indices (Base 2000=100)","1997M01","Total Livestock Products (Output)",100.4
"818","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1997M01","Total Livestock Products (Output)",NA
"819","Agricultural Input and Output Prices Indices (Base 2000=100)","1997M02","Total Livestock Products (Output)",100.9
"820","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1997M02","Total Livestock Products (Output)",NA
"821","Agricultural Input and Output Prices Indices (Base 2000=100)","1997M03","Total Livestock Products (Output)",98.4
"822","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1997M03","Total Livestock Products (Output)",NA
"823","Agricultural Input and Output Prices Indices (Base 2000=100)","1997M04","Total Livestock Products (Output)",97.6
"824","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1997M04","Total Livestock Products (Output)",NA
"825","Agricultural Input and Output Prices Indices (Base 2000=100)","1997M05","Total Livestock Products (Output)",97.8
"826","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1997M05","Total Livestock Products (Output)",NA
"827","Agricultural Input and Output Prices Indices (Base 2000=100)","1997M06","Total Livestock Products (Output)",96.4
"828","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1997M06","Total Livestock Products (Output)",NA
"829","Agricultural Input and Output Prices Indices (Base 2000=100)","1997M07","Total Livestock Products (Output)",96.3
"830","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1997M07","Total Livestock Products (Output)",NA
"831","Agricultural Input and Output Prices Indices (Base 2000=100)","1997M08","Total Livestock Products (Output)",96.1
"832","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1997M08","Total Livestock Products (Output)",NA
"833","Agricultural Input and Output Prices Indices (Base 2000=100)","1997M09","Total Livestock Products (Output)",98.8
"834","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1997M09","Total Livestock Products (Output)",NA
"835","Agricultural Input and Output Prices Indices (Base 2000=100)","1997M10","Total Livestock Products (Output)",98.8
"836","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1997M10","Total Livestock Products (Output)",NA
"837","Agricultural Input and Output Prices Indices (Base 2000=100)","1997M11","Total Livestock Products (Output)",101.6
"838","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1997M11","Total Livestock Products (Output)",NA
"839","Agricultural Input and Output Prices Indices (Base 2000=100)","1997M12","Total Livestock Products (Output)",101.1
"840","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1997M12","Total Livestock Products (Output)",NA
"841","Agricultural Input and Output Prices Indices (Base 2000=100)","1998M01","Total Livestock Products (Output)",104.7
"842","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1998M01","Total Livestock Products (Output)",NA
"843","Agricultural Input and Output Prices Indices (Base 2000=100)","1998M02","Total Livestock Products (Output)",101.9
"844","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1998M02","Total Livestock Products (Output)",NA
"845","Agricultural Input and Output Prices Indices (Base 2000=100)","1998M03","Total Livestock Products (Output)",98.8
"846","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1998M03","Total Livestock Products (Output)",NA
"847","Agricultural Input and Output Prices Indices (Base 2000=100)","1998M04","Total Livestock Products (Output)",99.6
"848","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1998M04","Total Livestock Products (Output)",NA
"849","Agricultural Input and Output Prices Indices (Base 2000=100)","1998M05","Total Livestock Products (Output)",100.6
"850","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1998M05","Total Livestock Products (Output)",NA
"851","Agricultural Input and Output Prices Indices (Base 2000=100)","1998M06","Total Livestock Products (Output)",100.4
"852","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1998M06","Total Livestock Products (Output)",NA
"853","Agricultural Input and Output Prices Indices (Base 2000=100)","1998M07","Total Livestock Products (Output)",100.3
"854","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1998M07","Total Livestock Products (Output)",NA
"855","Agricultural Input and Output Prices Indices (Base 2000=100)","1998M08","Total Livestock Products (Output)",99.8
"856","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1998M08","Total Livestock Products (Output)",NA
"857","Agricultural Input and Output Prices Indices (Base 2000=100)","1998M09","Total Livestock Products (Output)",101.8
"858","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1998M09","Total Livestock Products (Output)",NA
"859","Agricultural Input and Output Prices Indices (Base 2000=100)","1998M10","Total Livestock Products (Output)",101.6
"860","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1998M10","Total Livestock Products (Output)",NA
"861","Agricultural Input and Output Prices Indices (Base 2000=100)","1998M11","Total Livestock Products (Output)",102.4
"862","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1998M11","Total Livestock Products (Output)",NA
"863","Agricultural Input and Output Prices Indices (Base 2000=100)","1998M12","Total Livestock Products (Output)",102.3
"864","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1998M12","Total Livestock Products (Output)",NA
"865","Agricultural Input and Output Prices Indices (Base 2000=100)","1999M01","Total Livestock Products (Output)",103.9
"866","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1999M01","Total Livestock Products (Output)",NA
"867","Agricultural Input and Output Prices Indices (Base 2000=100)","1999M02","Total Livestock Products (Output)",101.9
"868","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1999M02","Total Livestock Products (Output)",NA
"869","Agricultural Input and Output Prices Indices (Base 2000=100)","1999M03","Total Livestock Products (Output)",99.2
"870","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1999M03","Total Livestock Products (Output)",NA
"871","Agricultural Input and Output Prices Indices (Base 2000=100)","1999M04","Total Livestock Products (Output)",97.2
"872","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1999M04","Total Livestock Products (Output)",NA
"873","Agricultural Input and Output Prices Indices (Base 2000=100)","1999M05","Total Livestock Products (Output)",97
"874","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1999M05","Total Livestock Products (Output)",NA
"875","Agricultural Input and Output Prices Indices (Base 2000=100)","1999M06","Total Livestock Products (Output)",96.8
"876","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1999M06","Total Livestock Products (Output)",NA
"877","Agricultural Input and Output Prices Indices (Base 2000=100)","1999M07","Total Livestock Products (Output)",96.2
"878","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1999M07","Total Livestock Products (Output)",NA
"879","Agricultural Input and Output Prices Indices (Base 2000=100)","1999M08","Total Livestock Products (Output)",98.1
"880","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1999M08","Total Livestock Products (Output)",NA
"881","Agricultural Input and Output Prices Indices (Base 2000=100)","1999M09","Total Livestock Products (Output)",98
"882","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1999M09","Total Livestock Products (Output)",NA
"883","Agricultural Input and Output Prices Indices (Base 2000=100)","1999M10","Total Livestock Products (Output)",98.4
"884","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1999M10","Total Livestock Products (Output)",NA
"885","Agricultural Input and Output Prices Indices (Base 2000=100)","1999M11","Total Livestock Products (Output)",99.4
"886","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1999M11","Total Livestock Products (Output)",NA
"887","Agricultural Input and Output Prices Indices (Base 2000=100)","1999M12","Total Livestock Products (Output)",99.7
