"","Statistic","Month","Meat.Usage","value"
"1389","Average Pig Carcass Weight (Kg)","1993M06","Pigs for Bacon",65.1
"1390","Pigs Slaughtered (Number)","1993M07","Pigs for Bacon",90228
"1391","Weight of Pigs Slaughtered (Tonnes)","1993M07","Pigs for Bacon",5871
"1392","Average Pig Carcass Weight (Kg)","1993M07","Pigs for Bacon",65.1
"1393","Pigs Slaughtered (Number)","1993M08","Pigs for Bacon",104516
"1394","Weight of Pigs Slaughtered (Tonnes)","1993M08","Pigs for Bacon",6899
"1395","Average Pig Carcass Weight (Kg)","1993M08","Pigs for Bacon",66
"1396","Pigs Slaughtered (Number)","1993M09","Pigs for Bacon",104483
"1397","Weight of Pigs Slaughtered (Tonnes)","1993M09","Pigs for Bacon",6924
"1398","Average Pig Carcass Weight (Kg)","1993M09","Pigs for Bacon",66.3
"1399","Pigs Slaughtered (Number)","1993M10","Pigs for Bacon",102697
"1400","Weight of Pigs Slaughtered (Tonnes)","1993M10","Pigs for Bacon",6859
"1401","Average Pig Carcass Weight (Kg)","1993M10","Pigs for Bacon",66.8
"1402","Pigs Slaughtered (Number)","1993M11","Pigs for Bacon",114050
"1403","Weight of Pigs Slaughtered (Tonnes)","1993M11","Pigs for Bacon",7562
"1404","Average Pig Carcass Weight (Kg)","1993M11","Pigs for Bacon",66.3
"1405","Pigs Slaughtered (Number)","1993M12","Pigs for Bacon",97775
"1406","Weight of Pigs Slaughtered (Tonnes)","1993M12","Pigs for Bacon",6502
"1407","Average Pig Carcass Weight (Kg)","1993M12","Pigs for Bacon",66.5
"1408","Pigs Slaughtered (Number)","1994M01","Pigs for Bacon",93377
"1409","Weight of Pigs Slaughtered (Tonnes)","1994M01","Pigs for Bacon",6403
"1410","Average Pig Carcass Weight (Kg)","1994M01","Pigs for Bacon",68.6
"1411","Pigs Slaughtered (Number)","1994M02","Pigs for Bacon",90322
"1412","Weight of Pigs Slaughtered (Tonnes)","1994M02","Pigs for Bacon",6109
"1413","Average Pig Carcass Weight (Kg)","1994M02","Pigs for Bacon",67.6
"1414","Pigs Slaughtered (Number)","1994M03","Pigs for Bacon",104826
"1415","Weight of Pigs Slaughtered (Tonnes)","1994M03","Pigs for Bacon",6938
"1416","Average Pig Carcass Weight (Kg)","1994M03","Pigs for Bacon",66.2
"1417","Pigs Slaughtered (Number)","1994M04","Pigs for Bacon",86187
"1418","Weight of Pigs Slaughtered (Tonnes)","1994M04","Pigs for Bacon",5636
"1419","Average Pig Carcass Weight (Kg)","1994M04","Pigs for Bacon",65.4
"1420","Pigs Slaughtered (Number)","1994M05","Pigs for Bacon",94613
"1421","Weight of Pigs Slaughtered (Tonnes)","1994M05","Pigs for Bacon",6214
"1422","Average Pig Carcass Weight (Kg)","1994M05","Pigs for Bacon",65.7
"1423","Pigs Slaughtered (Number)","1994M06","Pigs for Bacon",107407
"1424","Weight of Pigs Slaughtered (Tonnes)","1994M06","Pigs for Bacon",7059
"1425","Average Pig Carcass Weight (Kg)","1994M06","Pigs for Bacon",65.7
"1426","Pigs Slaughtered (Number)","1994M07","Pigs for Bacon",98751
"1427","Weight of Pigs Slaughtered (Tonnes)","1994M07","Pigs for Bacon",6424
"1428","Average Pig Carcass Weight (Kg)","1994M07","Pigs for Bacon",65.1
"1429","Pigs Slaughtered (Number)","1994M08","Pigs for Bacon",104935
"1430","Weight of Pigs Slaughtered (Tonnes)","1994M08","Pigs for Bacon",6873
"1431","Average Pig Carcass Weight (Kg)","1994M08","Pigs for Bacon",65.5
"1432","Pigs Slaughtered (Number)","1994M09","Pigs for Bacon",109614
"1433","Weight of Pigs Slaughtered (Tonnes)","1994M09","Pigs for Bacon",7262
"1434","Average Pig Carcass Weight (Kg)","1994M09","Pigs for Bacon",66.2
"1435","Pigs Slaughtered (Number)","1994M10","Pigs for Bacon",105270
"1436","Weight of Pigs Slaughtered (Tonnes)","1994M10","Pigs for Bacon",7019
"1437","Average Pig Carcass Weight (Kg)","1994M10","Pigs for Bacon",66.7
"1438","Pigs Slaughtered (Number)","1994M11","Pigs for Bacon",117068
"1439","Weight of Pigs Slaughtered (Tonnes)","1994M11","Pigs for Bacon",7819
"1440","Average Pig Carcass Weight (Kg)","1994M11","Pigs for Bacon",66.8
"1441","Pigs Slaughtered (Number)","1994M12","Pigs for Bacon",103178
"1442","Weight of Pigs Slaughtered (Tonnes)","1994M12","Pigs for Bacon",6815
"1443","Average Pig Carcass Weight (Kg)","1994M12","Pigs for Bacon",66
"1444","Pigs Slaughtered (Number)","1995M01","Pigs for Bacon",115891
"1445","Weight of Pigs Slaughtered (Tonnes)","1995M01","Pigs for Bacon",7931
"1446","Average Pig Carcass Weight (Kg)","1995M01","Pigs for Bacon",68.4
"1447","Pigs Slaughtered (Number)","1995M02","Pigs for Bacon",100410
"1448","Weight of Pigs Slaughtered (Tonnes)","1995M02","Pigs for Bacon",6805
"1449","Average Pig Carcass Weight (Kg)","1995M02","Pigs for Bacon",67.8
"1450","Pigs Slaughtered (Number)","1995M03","Pigs for Bacon",105683
"1451","Weight of Pigs Slaughtered (Tonnes)","1995M03","Pigs for Bacon",7176
"1452","Average Pig Carcass Weight (Kg)","1995M03","Pigs for Bacon",67.9
"1453","Pigs Slaughtered (Number)","1995M04","Pigs for Bacon",94184
"1454","Weight of Pigs Slaughtered (Tonnes)","1995M04","Pigs for Bacon",6365
"1455","Average Pig Carcass Weight (Kg)","1995M04","Pigs for Bacon",67.6
"1456","Pigs Slaughtered (Number)","1995M05","Pigs for Bacon",115870
"1457","Weight of Pigs Slaughtered (Tonnes)","1995M05","Pigs for Bacon",7714
"1458","Average Pig Carcass Weight (Kg)","1995M05","Pigs for Bacon",66.6
"1459","Pigs Slaughtered (Number)","1995M06","Pigs for Bacon",105508
"1460","Weight of Pigs Slaughtered (Tonnes)","1995M06","Pigs for Bacon",7058
"1461","Average Pig Carcass Weight (Kg)","1995M06","Pigs for Bacon",66.9
"1462","Pigs Slaughtered (Number)","1995M07","Pigs for Bacon",101841
"1463","Weight of Pigs Slaughtered (Tonnes)","1995M07","Pigs for Bacon",6751
"1464","Average Pig Carcass Weight (Kg)","1995M07","Pigs for Bacon",66.3
"1465","Pigs Slaughtered (Number)","1995M08","Pigs for Bacon",116501
"1466","Weight of Pigs Slaughtered (Tonnes)","1995M08","Pigs for Bacon",7741
"1467","Average Pig Carcass Weight (Kg)","1995M08","Pigs for Bacon",66.4
"1468","Pigs Slaughtered (Number)","1995M09","Pigs for Bacon",104315
"1469","Weight of Pigs Slaughtered (Tonnes)","1995M09","Pigs for Bacon",7019
"1470","Average Pig Carcass Weight (Kg)","1995M09","Pigs for Bacon",67.3
"1471","Pigs Slaughtered (Number)","1995M10","Pigs for Bacon",107487
"1472","Weight of Pigs Slaughtered (Tonnes)","1995M10","Pigs for Bacon",7322
"1473","Average Pig Carcass Weight (Kg)","1995M10","Pigs for Bacon",68.1
"1474","Pigs Slaughtered (Number)","1995M11","Pigs for Bacon",122064
"1475","Weight of Pigs Slaughtered (Tonnes)","1995M11","Pigs for Bacon",8352
"1476","Average Pig Carcass Weight (Kg)","1995M11","Pigs for Bacon",68.4
"1477","Pigs Slaughtered (Number)","1995M12","Pigs for Bacon",92340
"1478","Weight of Pigs Slaughtered (Tonnes)","1995M12","Pigs for Bacon",6173
"1479","Average Pig Carcass Weight (Kg)","1995M12","Pigs for Bacon",66.8
"1480","Pigs Slaughtered (Number)","1996M01","Pigs for Bacon",111979
"1481","Weight of Pigs Slaughtered (Tonnes)","1996M01","Pigs for Bacon",7687
"1482","Average Pig Carcass Weight (Kg)","1996M01","Pigs for Bacon",68.6
"1483","Pigs Slaughtered (Number)","1996M02","Pigs for Bacon",91754
"1484","Weight of Pigs Slaughtered (Tonnes)","1996M02","Pigs for Bacon",6287
"1485","Average Pig Carcass Weight (Kg)","1996M02","Pigs for Bacon",68.5
"1486","Pigs Slaughtered (Number)","1996M03","Pigs for Bacon",83815
"1487","Weight of Pigs Slaughtered (Tonnes)","1996M03","Pigs for Bacon",5768
"1488","Average Pig Carcass Weight (Kg)","1996M03","Pigs for Bacon",68.8
"1489","Pigs Slaughtered (Number)","1996M04","Pigs for Bacon",89035
"1490","Weight of Pigs Slaughtered (Tonnes)","1996M04","Pigs for Bacon",6130
"1491","Average Pig Carcass Weight (Kg)","1996M04","Pigs for Bacon",68.8
"1492","Pigs Slaughtered (Number)","1996M05","Pigs for Bacon",91427
"1493","Weight of Pigs Slaughtered (Tonnes)","1996M05","Pigs for Bacon",6289
"1494","Average Pig Carcass Weight (Kg)","1996M05","Pigs for Bacon",68.8
"1495","Pigs Slaughtered (Number)","1996M06","Pigs for Bacon",80203
"1496","Weight of Pigs Slaughtered (Tonnes)","1996M06","Pigs for Bacon",5464
"1497","Average Pig Carcass Weight (Kg)","1996M06","Pigs for Bacon",68.1
"1498","Pigs Slaughtered (Number)","1996M07","Pigs for Bacon",98529
"1499","Weight of Pigs Slaughtered (Tonnes)","1996M07","Pigs for Bacon",6630
"1500","Average Pig Carcass Weight (Kg)","1996M07","Pigs for Bacon",67.3
"1501","Pigs Slaughtered (Number)","1996M08","Pigs for Bacon",88419
"1502","Weight of Pigs Slaughtered (Tonnes)","1996M08","Pigs for Bacon",6048
"1503","Average Pig Carcass Weight (Kg)","1996M08","Pigs for Bacon",68.4
"1504","Pigs Slaughtered (Number)","1996M09","Pigs for Bacon",90571
"1505","Weight of Pigs Slaughtered (Tonnes)","1996M09","Pigs for Bacon",6196
"1506","Average Pig Carcass Weight (Kg)","1996M09","Pigs for Bacon",68.4
"1507","Pigs Slaughtered (Number)","1996M10","Pigs for Bacon",87204
"1508","Weight of Pigs Slaughtered (Tonnes)","1996M10","Pigs for Bacon",6029
"1509","Average Pig Carcass Weight (Kg)","1996M10","Pigs for Bacon",69.1
"1510","Pigs Slaughtered (Number)","1996M11","Pigs for Bacon",94126
"1511","Weight of Pigs Slaughtered (Tonnes)","1996M11","Pigs for Bacon",6491
"1512","Average Pig Carcass Weight (Kg)","1996M11","Pigs for Bacon",69
"1513","Pigs Slaughtered (Number)","1996M12","Pigs for Bacon",86581
"1514","Weight of Pigs Slaughtered (Tonnes)","1996M12","Pigs for Bacon",5874
"1515","Average Pig Carcass Weight (Kg)","1996M12","Pigs for Bacon",67.8
"1516","Pigs Slaughtered (Number)","1997M01","Pigs for Bacon",102745
"1517","Weight of Pigs Slaughtered (Tonnes)","1997M01","Pigs for Bacon",7220
"1518","Average Pig Carcass Weight (Kg)","1997M01","Pigs for Bacon",70.3
"1519","Pigs Slaughtered (Number)","1997M02","Pigs for Bacon",88765
"1520","Weight of Pigs Slaughtered (Tonnes)","1997M02","Pigs for Bacon",6177
"1521","Average Pig Carcass Weight (Kg)","1997M02","Pigs for Bacon",69.6
"1522","Pigs Slaughtered (Number)","1997M03","Pigs for Bacon",89707
"1523","Weight of Pigs Slaughtered (Tonnes)","1997M03","Pigs for Bacon",6217
"1524","Average Pig Carcass Weight (Kg)","1997M03","Pigs for Bacon",69.3
"1525","Pigs Slaughtered (Number)","1997M04","Pigs for Bacon",102542
"1526","Weight of Pigs Slaughtered (Tonnes)","1997M04","Pigs for Bacon",7101
"1527","Average Pig Carcass Weight (Kg)","1997M04","Pigs for Bacon",69.2
"1528","Pigs Slaughtered (Number)","1997M05","Pigs for Bacon",98081
"1529","Weight of Pigs Slaughtered (Tonnes)","1997M05","Pigs for Bacon",6802
"1530","Average Pig Carcass Weight (Kg)","1997M05","Pigs for Bacon",69.3
"1531","Pigs Slaughtered (Number)","1997M06","Pigs for Bacon",93630
"1532","Weight of Pigs Slaughtered (Tonnes)","1997M06","Pigs for Bacon",6463
"1533","Average Pig Carcass Weight (Kg)","1997M06","Pigs for Bacon",69
"1534","Pigs Slaughtered (Number)","1997M07","Pigs for Bacon",95272
"1535","Weight of Pigs Slaughtered (Tonnes)","1997M07","Pigs for Bacon",6466
"1536","Average Pig Carcass Weight (Kg)","1997M07","Pigs for Bacon",67.9
"1537","Pigs Slaughtered (Number)","1997M08","Pigs for Bacon",85147
"1538","Weight of Pigs Slaughtered (Tonnes)","1997M08","Pigs for Bacon",5812
"1539","Average Pig Carcass Weight (Kg)","1997M08","Pigs for Bacon",68.3
"1540","Pigs Slaughtered (Number)","1997M09","Pigs for Bacon",91567
"1541","Weight of Pigs Slaughtered (Tonnes)","1997M09","Pigs for Bacon",6187
"1542","Average Pig Carcass Weight (Kg)","1997M09","Pigs for Bacon",67.6
"1543","Pigs Slaughtered (Number)","1997M10","Pigs for Bacon",95711
"1544","Weight of Pigs Slaughtered (Tonnes)","1997M10","Pigs for Bacon",6636
"1545","Average Pig Carcass Weight (Kg)","1997M10","Pigs for Bacon",69.3
"1546","Pigs Slaughtered (Number)","1997M11","Pigs for Bacon",98539
"1547","Weight of Pigs Slaughtered (Tonnes)","1997M11","Pigs for Bacon",6834
"1548","Average Pig Carcass Weight (Kg)","1997M11","Pigs for Bacon",69.4
"1549","Pigs Slaughtered (Number)","1997M12","Pigs for Bacon",83738
"1550","Weight of Pigs Slaughtered (Tonnes)","1997M12","Pigs for Bacon",5646
"1551","Average Pig Carcass Weight (Kg)","1997M12","Pigs for Bacon",67.4
"1552","Pigs Slaughtered (Number)","1998M01","Pigs for Bacon",88637
"1553","Weight of Pigs Slaughtered (Tonnes)","1998M01","Pigs for Bacon",6118
"1554","Average Pig Carcass Weight (Kg)","1998M01","Pigs for Bacon",69
"1555","Pigs Slaughtered (Number)","1998M02","Pigs for Bacon",95033
"1556","Weight of Pigs Slaughtered (Tonnes)","1998M02","Pigs for Bacon",6563
"1557","Average Pig Carcass Weight (Kg)","1998M02","Pigs for Bacon",69.1
"1558","Pigs Slaughtered (Number)","1998M03","Pigs for Bacon",97022
"1559","Weight of Pigs Slaughtered (Tonnes)","1998M03","Pigs for Bacon",6721
"1560","Average Pig Carcass Weight (Kg)","1998M03","Pigs for Bacon",69.3
"1561","Pigs Slaughtered (Number)","1998M04","Pigs for Bacon",94577
"1562","Weight of Pigs Slaughtered (Tonnes)","1998M04","Pigs for Bacon",6487
"1563","Average Pig Carcass Weight (Kg)","1998M04","Pigs for Bacon",68.6
"1564","Pigs Slaughtered (Number)","1998M05","Pigs for Bacon",80186
"1565","Weight of Pigs Slaughtered (Tonnes)","1998M05","Pigs for Bacon",5595
"1566","Average Pig Carcass Weight (Kg)","1998M05","Pigs for Bacon",69.8
"1567","Pigs Slaughtered (Number)","1998M06","Pigs for Bacon",96619
"1568","Weight of Pigs Slaughtered (Tonnes)","1998M06","Pigs for Bacon",6612
"1569","Average Pig Carcass Weight (Kg)","1998M06","Pigs for Bacon",68.4
"1570","Pigs Slaughtered (Number)","1998M07","Pigs for Bacon",103847
"1571","Weight of Pigs Slaughtered (Tonnes)","1998M07","Pigs for Bacon",7007
"1572","Average Pig Carcass Weight (Kg)","1998M07","Pigs for Bacon",67.5
"1573","Pigs Slaughtered (Number)","1998M08","Pigs for Bacon",98033
"1574","Weight of Pigs Slaughtered (Tonnes)","1998M08","Pigs for Bacon",6761
"1575","Average Pig Carcass Weight (Kg)","1998M08","Pigs for Bacon",69
"1576","Pigs Slaughtered (Number)","1998M09","Pigs for Bacon",93448
"1577","Weight of Pigs Slaughtered (Tonnes)","1998M09","Pigs for Bacon",6403
"1578","Average Pig Carcass Weight (Kg)","1998M09","Pigs for Bacon",68.5
"1579","Pigs Slaughtered (Number)","1998M10","Pigs for Bacon",81163
"1580","Weight of Pigs Slaughtered (Tonnes)","1998M10","Pigs for Bacon",5535
"1581","Average Pig Carcass Weight (Kg)","1998M10","Pigs for Bacon",68.2
"1582","Pigs Slaughtered (Number)","1998M11","Pigs for Bacon",117161
"1583","Weight of Pigs Slaughtered (Tonnes)","1998M11","Pigs for Bacon",8098
"1584","Average Pig Carcass Weight (Kg)","1998M11","Pigs for Bacon",69.1
"1585","Pigs Slaughtered (Number)","1998M12","Pigs for Bacon",95798
"1586","Weight of Pigs Slaughtered (Tonnes)","1998M12","Pigs for Bacon",6541
"1587","Average Pig Carcass Weight (Kg)","1998M12","Pigs for Bacon",68.3
"1588","Pigs Slaughtered (Number)","1999M01","Pigs for Bacon",101549
"1589","Weight of Pigs Slaughtered (Tonnes)","1999M01","Pigs for Bacon",7067
"1590","Average Pig Carcass Weight (Kg)","1999M01","Pigs for Bacon",69.6
"1591","Pigs Slaughtered (Number)","1999M02","Pigs for Bacon",109469
"1592","Weight of Pigs Slaughtered (Tonnes)","1999M02","Pigs for Bacon",7616
"1593","Average Pig Carcass Weight (Kg)","1999M02","Pigs for Bacon",69.6
"1594","Pigs Slaughtered (Number)","1999M03","Pigs for Bacon",86066
"1595","Weight of Pigs Slaughtered (Tonnes)","1999M03","Pigs for Bacon",6015
"1596","Average Pig Carcass Weight (Kg)","1999M03","Pigs for Bacon",69.9
"1597","Pigs Slaughtered (Number)","1999M04","Pigs for Bacon",98976
"1598","Weight of Pigs Slaughtered (Tonnes)","1999M04","Pigs for Bacon",6920
"1599","Average Pig Carcass Weight (Kg)","1999M04","Pigs for Bacon",69.9
"1600","Pigs Slaughtered (Number)","1999M05","Pigs for Bacon",90823
"1601","Weight of Pigs Slaughtered (Tonnes)","1999M05","Pigs for Bacon",6272
"1602","Average Pig Carcass Weight (Kg)","1999M05","Pigs for Bacon",69.1
"1603","Pigs Slaughtered (Number)","1999M06","Pigs for Bacon",96790
"1604","Weight of Pigs Slaughtered (Tonnes)","1999M06","Pigs for Bacon",6666
"1605","Average Pig Carcass Weight (Kg)","1999M06","Pigs for Bacon",68.9
"1606","Pigs Slaughtered (Number)","1999M07","Pigs for Bacon",92483
"1607","Weight of Pigs Slaughtered (Tonnes)","1999M07","Pigs for Bacon",6393
"1608","Average Pig Carcass Weight (Kg)","1999M07","Pigs for Bacon",69.1
"1609","Pigs Slaughtered (Number)","1999M08","Pigs for Bacon",88037
"1610","Weight of Pigs Slaughtered (Tonnes)","1999M08","Pigs for Bacon",6108
"1611","Average Pig Carcass Weight (Kg)","1999M08","Pigs for Bacon",69.4
"1612","Pigs Slaughtered (Number)","1999M09","Pigs for Bacon",87557
"1613","Weight of Pigs Slaughtered (Tonnes)","1999M09","Pigs for Bacon",6015
"1614","Average Pig Carcass Weight (Kg)","1999M09","Pigs for Bacon",68.7
"1615","Pigs Slaughtered (Number)","1999M10","Pigs for Bacon",86392
"1616","Weight of Pigs Slaughtered (Tonnes)","1999M10","Pigs for Bacon",6068
"1617","Average Pig Carcass Weight (Kg)","1999M10","Pigs for Bacon",70.2
"1618","Pigs Slaughtered (Number)","1999M11","Pigs for Bacon",99390
"1619","Weight of Pigs Slaughtered (Tonnes)","1999M11","Pigs for Bacon",6924
"1620","Average Pig Carcass Weight (Kg)","1999M11","Pigs for Bacon",69.7
"1621","Pigs Slaughtered (Number)","1999M12","Pigs for Bacon",78146
"1622","Weight of Pigs Slaughtered (Tonnes)","1999M12","Pigs for Bacon",5229
"1623","Average Pig Carcass Weight (Kg)","1999M12","Pigs for Bacon",66.9
"1624","Pigs Slaughtered (Number)","2000M01","Pigs for Bacon",51411
"1625","Weight of Pigs Slaughtered (Tonnes)","2000M01","Pigs for Bacon",3733
"1626","Average Pig Carcass Weight (Kg)","2000M01","Pigs for Bacon",72.6
"1627","Pigs Slaughtered (Number)","2000M02","Pigs for Bacon",46964
"1628","Weight of Pigs Slaughtered (Tonnes)","2000M02","Pigs for Bacon",3518
"1629","Average Pig Carcass Weight (Kg)","2000M02","Pigs for Bacon",74.9
"1630","Pigs Slaughtered (Number)","2000M03","Pigs for Bacon",56763
"1631","Weight of Pigs Slaughtered (Tonnes)","2000M03","Pigs for Bacon",4282
"1632","Average Pig Carcass Weight (Kg)","2000M03","Pigs for Bacon",75.4
"1633","Pigs Slaughtered (Number)","2000M04","Pigs for Bacon",45147
"1634","Weight of Pigs Slaughtered (Tonnes)","2000M04","Pigs for Bacon",3391
"1635","Average Pig Carcass Weight (Kg)","2000M04","Pigs for Bacon",75.1
"1636","Pigs Slaughtered (Number)","2000M05","Pigs for Bacon",62042
"1637","Weight of Pigs Slaughtered (Tonnes)","2000M05","Pigs for Bacon",4654
"1638","Average Pig Carcass Weight (Kg)","2000M05","Pigs for Bacon",75
"1639","Pigs Slaughtered (Number)","2000M06","Pigs for Bacon",65634
"1640","Weight of Pigs Slaughtered (Tonnes)","2000M06","Pigs for Bacon",4808
"1641","Average Pig Carcass Weight (Kg)","2000M06","Pigs for Bacon",73.2
"1642","Pigs Slaughtered (Number)","2000M07","Pigs for Bacon",52065
"1643","Weight of Pigs Slaughtered (Tonnes)","2000M07","Pigs for Bacon",3853
"1644","Average Pig Carcass Weight (Kg)","2000M07","Pigs for Bacon",74
"1645","Pigs Slaughtered (Number)","2000M08","Pigs for Bacon",64036
"1646","Weight of Pigs Slaughtered (Tonnes)","2000M08","Pigs for Bacon",4785
"1647","Average Pig Carcass Weight (Kg)","2000M08","Pigs for Bacon",74.7
"1648","Pigs Slaughtered (Number)","2000M09","Pigs for Bacon",51092
"1649","Weight of Pigs Slaughtered (Tonnes)","2000M09","Pigs for Bacon",3820
"1650","Average Pig Carcass Weight (Kg)","2000M09","Pigs for Bacon",74.8
"1651","Pigs Slaughtered (Number)","2000M10","Pigs for Bacon",56485
"1652","Weight of Pigs Slaughtered (Tonnes)","2000M10","Pigs for Bacon",4244
"1653","Average Pig Carcass Weight (Kg)","2000M10","Pigs for Bacon",75.1
"1654","Pigs Slaughtered (Number)","2000M11","Pigs for Bacon",70427
"1655","Weight of Pigs Slaughtered (Tonnes)","2000M11","Pigs for Bacon",5292
"1656","Average Pig Carcass Weight (Kg)","2000M11","Pigs for Bacon",75.1
"1657","Pigs Slaughtered (Number)","2000M12","Pigs for Bacon",42656
"1658","Weight of Pigs Slaughtered (Tonnes)","2000M12","Pigs for Bacon",3145
"1659","Average Pig Carcass Weight (Kg)","2000M12","Pigs for Bacon",73.7
"1660","Pigs Slaughtered (Number)","2001M01","Pigs for Bacon",71394
"1661","Weight of Pigs Slaughtered (Tonnes)","2001M01","Pigs for Bacon",5444
"1662","Average Pig Carcass Weight (Kg)","2001M01","Pigs for Bacon",76.3
"1663","Pigs Slaughtered (Number)","2001M02","Pigs for Bacon",64269
"1664","Weight of Pigs Slaughtered (Tonnes)","2001M02","Pigs for Bacon",4858
"1665","Average Pig Carcass Weight (Kg)","2001M02","Pigs for Bacon",75.6
"1666","Pigs Slaughtered (Number)","2001M03","Pigs for Bacon",44720
"1667","Weight of Pigs Slaughtered (Tonnes)","2001M03","Pigs for Bacon",3368
"1668","Average Pig Carcass Weight (Kg)","2001M03","Pigs for Bacon",75.3
"1669","Pigs Slaughtered (Number)","2001M04","Pigs for Bacon",42597
"1670","Weight of Pigs Slaughtered (Tonnes)","2001M04","Pigs for Bacon",3202
"1671","Average Pig Carcass Weight (Kg)","2001M04","Pigs for Bacon",75.2
"1672","Pigs Slaughtered (Number)","2001M05","Pigs for Bacon",53379
"1673","Weight of Pigs Slaughtered (Tonnes)","2001M05","Pigs for Bacon",4033
"1674","Average Pig Carcass Weight (Kg)","2001M05","Pigs for Bacon",75.6
"1675","Pigs Slaughtered (Number)","2001M06","Pigs for Bacon",35006
"1676","Weight of Pigs Slaughtered (Tonnes)","2001M06","Pigs for Bacon",2649
"1677","Average Pig Carcass Weight (Kg)","2001M06","Pigs for Bacon",75.7
"1678","Pigs Slaughtered (Number)","2001M07","Pigs for Bacon",46067
"1679","Weight of Pigs Slaughtered (Tonnes)","2001M07","Pigs for Bacon",3434
"1680","Average Pig Carcass Weight (Kg)","2001M07","Pigs for Bacon",74.5
"1681","Pigs Slaughtered (Number)","2001M08","Pigs for Bacon",65862
"1682","Weight of Pigs Slaughtered (Tonnes)","2001M08","Pigs for Bacon",4884
"1683","Average Pig Carcass Weight (Kg)","2001M08","Pigs for Bacon",74.2
"1684","Pigs Slaughtered (Number)","2001M09","Pigs for Bacon",61502
"1685","Weight of Pigs Slaughtered (Tonnes)","2001M09","Pigs for Bacon",4606
"1686","Average Pig Carcass Weight (Kg)","2001M09","Pigs for Bacon",74.9
"1687","Pigs Slaughtered (Number)","2001M10","Pigs for Bacon",61026
"1688","Weight of Pigs Slaughtered (Tonnes)","2001M10","Pigs for Bacon",4627
"1689","Average Pig Carcass Weight (Kg)","2001M10","Pigs for Bacon",75.8
"1690","Pigs Slaughtered (Number)","2001M11","Pigs for Bacon",52490
"1691","Weight of Pigs Slaughtered (Tonnes)","2001M11","Pigs for Bacon",3933
"1692","Average Pig Carcass Weight (Kg)","2001M11","Pigs for Bacon",74.9
"1693","Pigs Slaughtered (Number)","2001M12","Pigs for Bacon",38732
"1694","Weight of Pigs Slaughtered (Tonnes)","2001M12","Pigs for Bacon",2831
"1695","Average Pig Carcass Weight (Kg)","2001M12","Pigs for Bacon",73.1
"1696","Pigs Slaughtered (Number)","2002M01","Pigs for Bacon",68821
"1697","Weight of Pigs Slaughtered (Tonnes)","2002M01","Pigs for Bacon",5178
"1698","Average Pig Carcass Weight (Kg)","2002M01","Pigs for Bacon",75.2
"1699","Pigs Slaughtered (Number)","2002M02","Pigs for Bacon",49826
"1700","Weight of Pigs Slaughtered (Tonnes)","2002M02","Pigs for Bacon",3792
"1701","Average Pig Carcass Weight (Kg)","2002M02","Pigs for Bacon",76.1
"1702","Pigs Slaughtered (Number)","2002M03","Pigs for Bacon",46756
"1703","Weight of Pigs Slaughtered (Tonnes)","2002M03","Pigs for Bacon",3582
"1704","Average Pig Carcass Weight (Kg)","2002M03","Pigs for Bacon",76.6
"1705","Pigs Slaughtered (Number)","2002M04","Pigs for Bacon",42563
"1706","Weight of Pigs Slaughtered (Tonnes)","2002M04","Pigs for Bacon",3244
"1707","Average Pig Carcass Weight (Kg)","2002M04","Pigs for Bacon",76.2
"1708","Pigs Slaughtered (Number)","2002M05","Pigs for Bacon",51331
"1709","Weight of Pigs Slaughtered (Tonnes)","2002M05","Pigs for Bacon",3937
"1710","Average Pig Carcass Weight (Kg)","2002M05","Pigs for Bacon",76.7
"1711","Pigs Slaughtered (Number)","2002M06","Pigs for Bacon",38636
"1712","Weight of Pigs Slaughtered (Tonnes)","2002M06","Pigs for Bacon",2952
"1713","Average Pig Carcass Weight (Kg)","2002M06","Pigs for Bacon",76.4
"1714","Pigs Slaughtered (Number)","2002M07","Pigs for Bacon",53266
"1715","Weight of Pigs Slaughtered (Tonnes)","2002M07","Pigs for Bacon",4051
"1716","Average Pig Carcass Weight (Kg)","2002M07","Pigs for Bacon",76.1
"1717","Pigs Slaughtered (Number)","2002M08","Pigs for Bacon",45529
"1718","Weight of Pigs Slaughtered (Tonnes)","2002M08","Pigs for Bacon",3453
"1719","Average Pig Carcass Weight (Kg)","2002M08","Pigs for Bacon",75.8
"1720","Pigs Slaughtered (Number)","2002M09","Pigs for Bacon",46206
"1721","Weight of Pigs Slaughtered (Tonnes)","2002M09","Pigs for Bacon",3507
"1722","Average Pig Carcass Weight (Kg)","2002M09","Pigs for Bacon",75.9
"1723","Pigs Slaughtered (Number)","2002M10","Pigs for Bacon",60552
"1724","Weight of Pigs Slaughtered (Tonnes)","2002M10","Pigs for Bacon",4616
"1725","Average Pig Carcass Weight (Kg)","2002M10","Pigs for Bacon",76.2
"1726","Pigs Slaughtered (Number)","2002M11","Pigs for Bacon",53094
"1727","Weight of Pigs Slaughtered (Tonnes)","2002M11","Pigs for Bacon",4010
"1728","Average Pig Carcass Weight (Kg)","2002M11","Pigs for Bacon",75.5
"1729","Pigs Slaughtered (Number)","2002M12","Pigs for Bacon",41251
"1730","Weight of Pigs Slaughtered (Tonnes)","2002M12","Pigs for Bacon",2984
"1731","Average Pig Carcass Weight (Kg)","2002M12","Pigs for Bacon",72.3
"1732","Pigs Slaughtered (Number)","2003M01","Pigs for Bacon",62880
