"","Statistic","Month","Meat.Usage","value"
"258","Average Pig Carcass Weight (Kg)","1987M02","All Pigs",64.5
"259","Pigs Slaughtered (Number)","1987M03","All Pigs",152663
"260","Weight of Pigs Slaughtered (Tonnes)","1987M03","All Pigs",9896
"261","Average Pig Carcass Weight (Kg)","1987M03","All Pigs",64.8
"262","Pigs Slaughtered (Number)","1987M04","All Pigs",153763
"263","Weight of Pigs Slaughtered (Tonnes)","1987M04","All Pigs",9889
"264","Average Pig Carcass Weight (Kg)","1987M04","All Pigs",64.3
"265","Pigs Slaughtered (Number)","1987M05","All Pigs",138765
"266","Weight of Pigs Slaughtered (Tonnes)","1987M05","All Pigs",8903
"267","Average Pig Carcass Weight (Kg)","1987M05","All Pigs",64.2
"268","Pigs Slaughtered (Number)","1987M06","All Pigs",151655
"269","Weight of Pigs Slaughtered (Tonnes)","1987M06","All Pigs",9660
"270","Average Pig Carcass Weight (Kg)","1987M06","All Pigs",63.7
"271","Pigs Slaughtered (Number)","1987M07","All Pigs",161717
"272","Weight of Pigs Slaughtered (Tonnes)","1987M07","All Pigs",10182
"273","Average Pig Carcass Weight (Kg)","1987M07","All Pigs",63
"274","Pigs Slaughtered (Number)","1987M08","All Pigs",143302
"275","Weight of Pigs Slaughtered (Tonnes)","1987M08","All Pigs",9135
"276","Average Pig Carcass Weight (Kg)","1987M08","All Pigs",63.7
"277","Pigs Slaughtered (Number)","1987M09","All Pigs",151865
"278","Weight of Pigs Slaughtered (Tonnes)","1987M09","All Pigs",9827
"279","Average Pig Carcass Weight (Kg)","1987M09","All Pigs",64.7
"280","Pigs Slaughtered (Number)","1987M10","All Pigs",150653
"281","Weight of Pigs Slaughtered (Tonnes)","1987M10","All Pigs",9756
"282","Average Pig Carcass Weight (Kg)","1987M10","All Pigs",64.8
"283","Pigs Slaughtered (Number)","1987M11","All Pigs",159516
"284","Weight of Pigs Slaughtered (Tonnes)","1987M11","All Pigs",10347
"285","Average Pig Carcass Weight (Kg)","1987M11","All Pigs",64.9
"286","Pigs Slaughtered (Number)","1987M12","All Pigs",141209
"287","Weight of Pigs Slaughtered (Tonnes)","1987M12","All Pigs",8858
"288","Average Pig Carcass Weight (Kg)","1987M12","All Pigs",62.7
"289","Pigs Slaughtered (Number)","1988M01","All Pigs",154342
"290","Weight of Pigs Slaughtered (Tonnes)","1988M01","All Pigs",10088
"291","Average Pig Carcass Weight (Kg)","1988M01","All Pigs",65.4
"292","Pigs Slaughtered (Number)","1988M02","All Pigs",148686
"293","Weight of Pigs Slaughtered (Tonnes)","1988M02","All Pigs",9576
"294","Average Pig Carcass Weight (Kg)","1988M02","All Pigs",64.4
"295","Pigs Slaughtered (Number)","1988M03","All Pigs",162542
"296","Weight of Pigs Slaughtered (Tonnes)","1988M03","All Pigs",10498
"297","Average Pig Carcass Weight (Kg)","1988M03","All Pigs",64.6
"298","Pigs Slaughtered (Number)","1988M04","All Pigs",138705
"299","Weight of Pigs Slaughtered (Tonnes)","1988M04","All Pigs",8903
"300","Average Pig Carcass Weight (Kg)","1988M04","All Pigs",64.2
"301","Pigs Slaughtered (Number)","1988M05","All Pigs",152434
"302","Weight of Pigs Slaughtered (Tonnes)","1988M05","All Pigs",9747
"303","Average Pig Carcass Weight (Kg)","1988M05","All Pigs",63.9
"304","Pigs Slaughtered (Number)","1988M06","All Pigs",154698
"305","Weight of Pigs Slaughtered (Tonnes)","1988M06","All Pigs",9870
"306","Average Pig Carcass Weight (Kg)","1988M06","All Pigs",63.8
"307","Pigs Slaughtered (Number)","1988M07","All Pigs",147527
"308","Weight of Pigs Slaughtered (Tonnes)","1988M07","All Pigs",9418
"309","Average Pig Carcass Weight (Kg)","1988M07","All Pigs",63.8
"310","Pigs Slaughtered (Number)","1988M08","All Pigs",164561
"311","Weight of Pigs Slaughtered (Tonnes)","1988M08","All Pigs",10587
"312","Average Pig Carcass Weight (Kg)","1988M08","All Pigs",64.3
"313","Pigs Slaughtered (Number)","1988M09","All Pigs",165434
"314","Weight of Pigs Slaughtered (Tonnes)","1988M09","All Pigs",10920
"315","Average Pig Carcass Weight (Kg)","1988M09","All Pigs",66
"316","Pigs Slaughtered (Number)","1988M10","All Pigs",145817
"317","Weight of Pigs Slaughtered (Tonnes)","1988M10","All Pigs",9637
"318","Average Pig Carcass Weight (Kg)","1988M10","All Pigs",66.1
"319","Pigs Slaughtered (Number)","1988M11","All Pigs",167310
"320","Weight of Pigs Slaughtered (Tonnes)","1988M11","All Pigs",10971
"321","Average Pig Carcass Weight (Kg)","1988M11","All Pigs",65.6
"322","Pigs Slaughtered (Number)","1988M12","All Pigs",154442
"323","Weight of Pigs Slaughtered (Tonnes)","1988M12","All Pigs",9896
"324","Average Pig Carcass Weight (Kg)","1988M12","All Pigs",64.1
"325","Pigs Slaughtered (Number)","1989M01","All Pigs",172473
"326","Weight of Pigs Slaughtered (Tonnes)","1989M01","All Pigs",11252
"327","Average Pig Carcass Weight (Kg)","1989M01","All Pigs",65.2
"328","Pigs Slaughtered (Number)","1989M02","All Pigs",154217
"329","Weight of Pigs Slaughtered (Tonnes)","1989M02","All Pigs",10102
"330","Average Pig Carcass Weight (Kg)","1989M02","All Pigs",65.5
"331","Pigs Slaughtered (Number)","1989M03","All Pigs",163889
"332","Weight of Pigs Slaughtered (Tonnes)","1989M03","All Pigs",10729
"333","Average Pig Carcass Weight (Kg)","1989M03","All Pigs",65.5
"334","Pigs Slaughtered (Number)","1989M04","All Pigs",153395
"335","Weight of Pigs Slaughtered (Tonnes)","1989M04","All Pigs",9984
"336","Average Pig Carcass Weight (Kg)","1989M04","All Pigs",65.1
"337","Pigs Slaughtered (Number)","1989M05","All Pigs",178036
"338","Weight of Pigs Slaughtered (Tonnes)","1989M05","All Pigs",11418
"339","Average Pig Carcass Weight (Kg)","1989M05","All Pigs",64.1
"340","Pigs Slaughtered (Number)","1989M06","All Pigs",162242
"341","Weight of Pigs Slaughtered (Tonnes)","1989M06","All Pigs",10443
"342","Average Pig Carcass Weight (Kg)","1989M06","All Pigs",64.4
"343","Pigs Slaughtered (Number)","1989M07","All Pigs",155035
"344","Weight of Pigs Slaughtered (Tonnes)","1989M07","All Pigs",9810
"345","Average Pig Carcass Weight (Kg)","1989M07","All Pigs",63.3
"346","Pigs Slaughtered (Number)","1989M08","All Pigs",172398
"347","Weight of Pigs Slaughtered (Tonnes)","1989M08","All Pigs",11053
"348","Average Pig Carcass Weight (Kg)","1989M08","All Pigs",64.1
"349","Pigs Slaughtered (Number)","1989M09","All Pigs",146076
"350","Weight of Pigs Slaughtered (Tonnes)","1989M09","All Pigs",9563
"351","Average Pig Carcass Weight (Kg)","1989M09","All Pigs",65.5
"352","Pigs Slaughtered (Number)","1989M10","All Pigs",162387
"353","Weight of Pigs Slaughtered (Tonnes)","1989M10","All Pigs",10726
"354","Average Pig Carcass Weight (Kg)","1989M10","All Pigs",66.1
"355","Pigs Slaughtered (Number)","1989M11","All Pigs",184554
"356","Weight of Pigs Slaughtered (Tonnes)","1989M11","All Pigs",12160
"357","Average Pig Carcass Weight (Kg)","1989M11","All Pigs",65.9
"358","Pigs Slaughtered (Number)","1989M12","All Pigs",140129
"359","Weight of Pigs Slaughtered (Tonnes)","1989M12","All Pigs",8996
"360","Average Pig Carcass Weight (Kg)","1989M12","All Pigs",64.2
"361","Pigs Slaughtered (Number)","1990M01","All Pigs",180664
"362","Weight of Pigs Slaughtered (Tonnes)","1990M01","All Pigs",11974
"363","Average Pig Carcass Weight (Kg)","1990M01","All Pigs",66.3
"364","Pigs Slaughtered (Number)","1990M02","All Pigs",140304
"365","Weight of Pigs Slaughtered (Tonnes)","1990M02","All Pigs",9246
"366","Average Pig Carcass Weight (Kg)","1990M02","All Pigs",65.9
"367","Pigs Slaughtered (Number)","1990M03","All Pigs",163251
"368","Weight of Pigs Slaughtered (Tonnes)","1990M03","All Pigs",11193
"369","Average Pig Carcass Weight (Kg)","1990M03","All Pigs",68.6
"370","Pigs Slaughtered (Number)","1990M04","All Pigs",153459
"371","Weight of Pigs Slaughtered (Tonnes)","1990M04","All Pigs",10421
"372","Average Pig Carcass Weight (Kg)","1990M04","All Pigs",67.9
"373","Pigs Slaughtered (Number)","1990M05","All Pigs",171305
"374","Weight of Pigs Slaughtered (Tonnes)","1990M05","All Pigs",11319
"375","Average Pig Carcass Weight (Kg)","1990M05","All Pigs",66.1
"376","Pigs Slaughtered (Number)","1990M06","All Pigs",158643
"377","Weight of Pigs Slaughtered (Tonnes)","1990M06","All Pigs",10467
"378","Average Pig Carcass Weight (Kg)","1990M06","All Pigs",66
"379","Pigs Slaughtered (Number)","1990M07","All Pigs",177163
"380","Weight of Pigs Slaughtered (Tonnes)","1990M07","All Pigs",11534
"381","Average Pig Carcass Weight (Kg)","1990M07","All Pigs",65.1
"382","Pigs Slaughtered (Number)","1990M08","All Pigs",183743
"383","Weight of Pigs Slaughtered (Tonnes)","1990M08","All Pigs",11896
"384","Average Pig Carcass Weight (Kg)","1990M08","All Pigs",64.7
"385","Pigs Slaughtered (Number)","1990M09","All Pigs",170900
"386","Weight of Pigs Slaughtered (Tonnes)","1990M09","All Pigs",11184
"387","Average Pig Carcass Weight (Kg)","1990M09","All Pigs",65.4
"388","Pigs Slaughtered (Number)","1990M10","All Pigs",192979
"389","Weight of Pigs Slaughtered (Tonnes)","1990M10","All Pigs",12871
"390","Average Pig Carcass Weight (Kg)","1990M10","All Pigs",66.7
"391","Pigs Slaughtered (Number)","1990M11","All Pigs",203392
"392","Weight of Pigs Slaughtered (Tonnes)","1990M11","All Pigs",13540
