"","Statistic","Year","Type.of.Animal","value"
"206","Weight of Animals Slaughtered (000 Tonnes)","1990","Heifers",NA
"207","Number of Animals Slaughtered (000 Head)","1991","Heifers",461.1
"208","Weight of Animals Slaughtered (000 Tonnes)","1991","Heifers",124.9
"209","Number of Animals Slaughtered (000 Head)","1992","Heifers",493.9
"210","Weight of Animals Slaughtered (000 Tonnes)","1992","Heifers",135.9
"211","Number of Animals Slaughtered (000 Head)","1993","Heifers",466
"212","Weight of Animals Slaughtered (000 Tonnes)","1993","Heifers",128.5
"213","Number of Animals Slaughtered (000 Head)","1994","Heifers",460.3
"214","Weight of Animals Slaughtered (000 Tonnes)","1994","Heifers",123.9
"215","Number of Animals Slaughtered (000 Head)","1995","Heifers",486.9
"216","Weight of Animals Slaughtered (000 Tonnes)","1995","Heifers",141.5
"217","Number of Animals Slaughtered (000 Head)","1996","Heifers",445.1
"218","Weight of Animals Slaughtered (000 Tonnes)","1996","Heifers",130
"219","Number of Animals Slaughtered (000 Head)","1997","Heifers",467.7
"220","Weight of Animals Slaughtered (000 Tonnes)","1997","Heifers",134.6
"221","Number of Animals Slaughtered (000 Head)","1998","Heifers",508.9
"222","Weight of Animals Slaughtered (000 Tonnes)","1998","Heifers",142.8
"223","Number of Animals Slaughtered (000 Head)","1999","Heifers",599
"224","Weight of Animals Slaughtered (000 Tonnes)","1999","Heifers",156.1
"225","Number of Animals Slaughtered (000 Head)","2000","Heifers",562.7
"226","Weight of Animals Slaughtered (000 Tonnes)","2000","Heifers",146
"227","Number of Animals Slaughtered (000 Head)","2001","Heifers",488.8
"228","Weight of Animals Slaughtered (000 Tonnes)","2001","Heifers",125.5
"229","Number of Animals Slaughtered (000 Head)","2002","Heifers",526.9
"230","Weight of Animals Slaughtered (000 Tonnes)","2002","Heifers",136.3
"231","Number of Animals Slaughtered (000 Head)","1980","Calves",7.3
"232","Weight of Animals Slaughtered (000 Tonnes)","1980","Calves",NA
"233","Number of Animals Slaughtered (000 Head)","1981","Calves",6.1
"234","Weight of Animals Slaughtered (000 Tonnes)","1981","Calves",NA
"235","Number of Animals Slaughtered (000 Head)","1982","Calves",7.6
"236","Weight of Animals Slaughtered (000 Tonnes)","1982","Calves",NA
"237","Number of Animals Slaughtered (000 Head)","1983","Calves",6.1
"238","Weight of Animals Slaughtered (000 Tonnes)","1983","Calves",NA
"239","Number of Animals Slaughtered (000 Head)","1984","Calves",7.5
"240","Weight of Animals Slaughtered (000 Tonnes)","1984","Calves",NA
"241","Number of Animals Slaughtered (000 Head)","1985","Calves",3.1
"242","Weight of Animals Slaughtered (000 Tonnes)","1985","Calves",NA
"243","Number of Animals Slaughtered (000 Head)","1986","Calves",3.8
"244","Weight of Animals Slaughtered (000 Tonnes)","1986","Calves",NA
"245","Number of Animals Slaughtered (000 Head)","1987","Calves",3.5
"246","Weight of Animals Slaughtered (000 Tonnes)","1987","Calves",NA
"247","Number of Animals Slaughtered (000 Head)","1988","Calves",2.2
"248","Weight of Animals Slaughtered (000 Tonnes)","1988","Calves",NA
"249","Number of Animals Slaughtered (000 Head)","1989","Calves",2.3
"250","Weight of Animals Slaughtered (000 Tonnes)","1989","Calves",NA
"251","Number of Animals Slaughtered (000 Head)","1990","Calves",2.8
"252","Weight of Animals Slaughtered (000 Tonnes)","1990","Calves",NA
"253","Number of Animals Slaughtered (000 Head)","1991","Calves",2.7
"254","Weight of Animals Slaughtered (000 Tonnes)","1991","Calves",0.3
"255","Number of Animals Slaughtered (000 Head)","1992","Calves",1.1
"256","Weight of Animals Slaughtered (000 Tonnes)","1992","Calves",0.1
"257","Number of Animals Slaughtered (000 Head)","1993","Calves",0.4
"258","Weight of Animals Slaughtered (000 Tonnes)","1993","Calves",0
"259","Number of Animals Slaughtered (000 Head)","1994","Calves",0.7
"260","Weight of Animals Slaughtered (000 Tonnes)","1994","Calves",0.1
"261","Number of Animals Slaughtered (000 Head)","1995","Calves",0.2
"262","Weight of Animals Slaughtered (000 Tonnes)","1995","Calves",0
"263","Number of Animals Slaughtered (000 Head)","1996","Calves",2.7
"264","Weight of Animals Slaughtered (000 Tonnes)","1996","Calves",0.3
"265","Number of Animals Slaughtered (000 Head)","1997","Calves",21.5
"266","Weight of Animals Slaughtered (000 Tonnes)","1997","Calves",1.3
"267","Number of Animals Slaughtered (000 Head)","1998","Calves",7
"268","Weight of Animals Slaughtered (000 Tonnes)","1998","Calves",0.6
"269","Number of Animals Slaughtered (000 Head)","1999","Calves",22.9
"270","Weight of Animals Slaughtered (000 Tonnes)","1999","Calves",1.4
"271","Number of Animals Slaughtered (000 Head)","2000","Calves",4.2
"272","Weight of Animals Slaughtered (000 Tonnes)","2000","Calves",0.5
"273","Number of Animals Slaughtered (000 Head)","2001","Calves",3.8
"274","Weight of Animals Slaughtered (000 Tonnes)","2001","Calves",0.4
"275","Number of Animals Slaughtered (000 Head)","2002","Calves",5.9
"276","Weight of Animals Slaughtered (000 Tonnes)","2002","Calves",1
"277","Number of Animals Slaughtered (000 Head)","1980","Cattle (Including Calves)",1674.7
"278","Weight of Animals Slaughtered (000 Tonnes)","1980","Cattle (Including Calves)",NA
"279","Number of Animals Slaughtered (000 Head)","1981","Cattle (Including Calves)",1191.4
"280","Weight of Animals Slaughtered (000 Tonnes)","1981","Cattle (Including Calves)",NA
"281","Number of Animals Slaughtered (000 Head)","1982","Cattle (Including Calves)",1243.2
"282","Weight of Animals Slaughtered (000 Tonnes)","1982","Cattle (Including Calves)",NA
"283","Number of Animals Slaughtered (000 Head)","1983","Cattle (Including Calves)",1266
"284","Weight of Animals Slaughtered (000 Tonnes)","1983","Cattle (Including Calves)",NA
"285","Number of Animals Slaughtered (000 Head)","1984","Cattle (Including Calves)",1403.8
"286","Weight of Animals Slaughtered (000 Tonnes)","1984","Cattle (Including Calves)",NA
"287","Number of Animals Slaughtered (000 Head)","1985","Cattle (Including Calves)",1521.6
