"","Statistic","Meat.Characteristic","Month","Type.of.Animal","value"
"112","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1981M02","Cattle without Calves",11.9
"113","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1981M03","Cattle without Calves",70.9
"114","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1981M03","Cattle without Calves",18.5
"115","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1981M03","Cattle without Calves",8.1
"116","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1981M03","Cattle without Calves",2.1
"117","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1981M03","Cattle without Calves",8.1
"118","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1981M03","Cattle without Calves",2.1
"119","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1981M03","Cattle without Calves",47.9
"120","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1981M03","Cattle without Calves",12.7
"121","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1981M04","Cattle without Calves",69.2
"122","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1981M04","Cattle without Calves",18.9
"123","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1981M04","Cattle without Calves",3.5
"124","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1981M04","Cattle without Calves",0.9
"125","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1981M04","Cattle without Calves",3.5
"126","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1981M04","Cattle without Calves",0.9
"127","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1981M04","Cattle without Calves",40.1
"128","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1981M04","Cattle without Calves",10.6
"129","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1981M05","Cattle without Calves",85.2
"130","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1981M05","Cattle without Calves",23.2
"131","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1981M05","Cattle without Calves",7.8
"132","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1981M05","Cattle without Calves",2
"133","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1981M05","Cattle without Calves",7.8
"134","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1981M05","Cattle without Calves",2
"135","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1981M05","Cattle without Calves",29.6
"136","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1981M05","Cattle without Calves",7.7
"137","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1981M06","Cattle without Calves",89.9
"138","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1981M06","Cattle without Calves",24.2
