"","Statistic","Meat.Characteristic","Month","Type.of.Animal","value"
"8389","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1993M08","Calves",NA
"8390","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1993M08","Calves",NA
"8391","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1993M08","Calves",2.5
"8392","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1993M08","Calves",0.1
"8393","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1993M09","Calves",0
"8394","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1993M09","Calves",0
"8395","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1993M09","Calves",1.2
"8396","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1993M09","Calves",0
"8397","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1993M09","Calves",NA
"8398","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1993M09","Calves",NA
"8399","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1993M09","Calves",5.3
"8400","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1993M09","Calves",0
"8401","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1993M10","Calves",0
"8402","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1993M10","Calves",0
"8403","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1993M10","Calves",0.6
"8404","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1993M10","Calves",0
"8405","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1993M10","Calves",NA
"8406","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1993M10","Calves",NA
"8407","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1993M10","Calves",5.7
"8408","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1993M10","Calves",0.1
"8409","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1993M11","Calves",0
"8410","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1993M11","Calves",0
"8411","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1993M11","Calves",0.4
"8412","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1993M11","Calves",0
"8413","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1993M11","Calves",NA
"8414","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1993M11","Calves",NA
"8415","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1993M11","Calves",8.3
"8416","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1993M11","Calves",0.1
"8417","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1993M12","Calves",0
"8418","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1993M12","Calves",0
"8419","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1993M12","Calves",0.5
"8420","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1993M12","Calves",0
"8421","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1993M12","Calves",NA
"8422","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1993M12","Calves",NA
"8423","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1993M12","Calves",4.1
"8424","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1993M12","Calves",0.1
"8425","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1994M01","Calves",0.1
"8426","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1994M01","Calves",0
"8427","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1994M01","Calves",0
"8428","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1994M01","Calves",0
"8429","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1994M01","Calves",NA
"8430","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1994M01","Calves",NA
"8431","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1994M01","Calves",0
"8432","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1994M01","Calves",0
"8433","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1994M02","Calves",0
"8434","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1994M02","Calves",0
"8435","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1994M02","Calves",0
"8436","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1994M02","Calves",0
"8437","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1994M02","Calves",NA
"8438","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1994M02","Calves",NA
"8439","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1994M02","Calves",0
"8440","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1994M02","Calves",0
"8441","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1994M03","Calves",0
"8442","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1994M03","Calves",0
"8443","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1994M03","Calves",0
"8444","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1994M03","Calves",0
"8445","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1994M03","Calves",NA
"8446","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1994M03","Calves",NA
"8447","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1994M03","Calves",0.2
"8448","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1994M03","Calves",0
"8449","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1994M04","Calves",0
"8450","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1994M04","Calves",0
"8451","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1994M04","Calves",0
"8452","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1994M04","Calves",0
"8453","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1994M04","Calves",NA
"8454","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1994M04","Calves",NA
"8455","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1994M04","Calves",0
"8456","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1994M04","Calves",0
"8457","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1994M05","Calves",0.1
"8458","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1994M05","Calves",0
"8459","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1994M05","Calves",0
"8460","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1994M05","Calves",0
"8461","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1994M05","Calves",NA
"8462","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1994M05","Calves",NA
"8463","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1994M05","Calves",0.1
"8464","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1994M05","Calves",0
"8465","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1994M06","Calves",0
"8466","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1994M06","Calves",0
"8467","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1994M06","Calves",0
"8468","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1994M06","Calves",0
"8469","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1994M06","Calves",NA
"8470","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1994M06","Calves",NA
"8471","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1994M06","Calves",0
"8472","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1994M06","Calves",0
"8473","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1994M07","Calves",0
"8474","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1994M07","Calves",0
"8475","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1994M07","Calves",0
"8476","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1994M07","Calves",0
"8477","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1994M07","Calves",NA
"8478","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1994M07","Calves",NA
"8479","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1994M07","Calves",0
"8480","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1994M07","Calves",0
"8481","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1994M08","Calves",0.2
"8482","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1994M08","Calves",0
"8483","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1994M08","Calves",0
"8484","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1994M08","Calves",0
"8485","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1994M08","Calves",NA
"8486","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1994M08","Calves",NA
"8487","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1994M08","Calves",0
"8488","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1994M08","Calves",0
"8489","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1994M09","Calves",0.1
"8490","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1994M09","Calves",0
"8491","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1994M09","Calves",0
"8492","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1994M09","Calves",0
"8493","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1994M09","Calves",NA
"8494","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1994M09","Calves",NA
"8495","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1994M09","Calves",0
"8496","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1994M09","Calves",0
"8497","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1980M01","Cattle (Including Calves)",150.9
"8498","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1980M01","Cattle (Including Calves)",41.3
"8499","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1980M01","Cattle (Including Calves)",NA
"8500","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1980M01","Cattle (Including Calves)",NA
"8501","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1980M01","Cattle (Including Calves)",NA
"8502","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1980M01","Cattle (Including Calves)",NA
"8503","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1980M01","Cattle (Including Calves)",NA
"8504","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1980M01","Cattle (Including Calves)",NA
"8505","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1980M02","Cattle (Including Calves)",141.4
"8506","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1980M02","Cattle (Including Calves)",38.4
"8507","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1980M02","Cattle (Including Calves)",NA
"8508","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1980M02","Cattle (Including Calves)",NA
"8509","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1980M02","Cattle (Including Calves)",NA
"8510","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1980M02","Cattle (Including Calves)",NA
"8511","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1980M02","Cattle (Including Calves)",NA
"8512","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1980M02","Cattle (Including Calves)",NA
"8513","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1980M03","Cattle (Including Calves)",109
"8514","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1980M03","Cattle (Including Calves)",29.2
"8515","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1980M03","Cattle (Including Calves)",NA
"8516","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1980M03","Cattle (Including Calves)",NA
"8517","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1980M03","Cattle (Including Calves)",NA
"8518","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1980M03","Cattle (Including Calves)",NA
"8519","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1980M03","Cattle (Including Calves)",NA
"8520","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1980M03","Cattle (Including Calves)",NA
"8521","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1980M04","Cattle (Including Calves)",100.7
"8522","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1980M04","Cattle (Including Calves)",27
"8523","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1980M04","Cattle (Including Calves)",NA
"8524","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1980M04","Cattle (Including Calves)",NA
"8525","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1980M04","Cattle (Including Calves)",NA
"8526","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1980M04","Cattle (Including Calves)",NA
"8527","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1980M04","Cattle (Including Calves)",NA
"8528","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1980M04","Cattle (Including Calves)",NA
"8529","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1980M05","Cattle (Including Calves)",106
"8530","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1980M05","Cattle (Including Calves)",28.6
"8531","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1980M05","Cattle (Including Calves)",NA
"8532","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1980M05","Cattle (Including Calves)",NA
"8533","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1980M05","Cattle (Including Calves)",NA
"8534","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1980M05","Cattle (Including Calves)",NA
"8535","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1980M05","Cattle (Including Calves)",NA
"8536","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1980M05","Cattle (Including Calves)",NA
"8537","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1980M06","Cattle (Including Calves)",104.9
"8538","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1980M06","Cattle (Including Calves)",28.7
"8539","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1980M06","Cattle (Including Calves)",NA
"8540","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1980M06","Cattle (Including Calves)",NA
"8541","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1980M06","Cattle (Including Calves)",NA
"8542","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1980M06","Cattle (Including Calves)",NA
"8543","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1980M06","Cattle (Including Calves)",NA
"8544","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1980M06","Cattle (Including Calves)",NA
"8545","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1980M07","Cattle (Including Calves)",131.4
"8546","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1980M07","Cattle (Including Calves)",37.2
"8547","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1980M07","Cattle (Including Calves)",NA
"8548","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1980M07","Cattle (Including Calves)",NA
"8549","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1980M07","Cattle (Including Calves)",NA
"8550","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1980M07","Cattle (Including Calves)",NA
"8551","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1980M07","Cattle (Including Calves)",NA
"8552","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1980M07","Cattle (Including Calves)",NA
"8553","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1980M08","Cattle (Including Calves)",154.1
"8554","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1980M08","Cattle (Including Calves)",42.4
"8555","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1980M08","Cattle (Including Calves)",NA
"8556","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1980M08","Cattle (Including Calves)",NA
"8557","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1980M08","Cattle (Including Calves)",NA
"8558","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1980M08","Cattle (Including Calves)",NA
"8559","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1980M08","Cattle (Including Calves)",NA
"8560","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1980M08","Cattle (Including Calves)",NA
"8561","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1980M09","Cattle (Including Calves)",172.3
"8562","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1980M09","Cattle (Including Calves)",47.6
"8563","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1980M09","Cattle (Including Calves)",NA
"8564","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1980M09","Cattle (Including Calves)",NA
"8565","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1980M09","Cattle (Including Calves)",NA
"8566","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1980M09","Cattle (Including Calves)",NA
"8567","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1980M09","Cattle (Including Calves)",NA
"8568","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1980M09","Cattle (Including Calves)",NA
"8569","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1980M10","Cattle (Including Calves)",207.6
"8570","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1980M10","Cattle (Including Calves)",56.1
"8571","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1980M10","Cattle (Including Calves)",NA
"8572","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1980M10","Cattle (Including Calves)",NA
"8573","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1980M10","Cattle (Including Calves)",NA
"8574","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1980M10","Cattle (Including Calves)",NA
"8575","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1980M10","Cattle (Including Calves)",NA
"8576","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1980M10","Cattle (Including Calves)",NA
"8577","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1980M11","Cattle (Including Calves)",175.4
"8578","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1980M11","Cattle (Including Calves)",46.7
"8579","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1980M11","Cattle (Including Calves)",NA
"8580","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1980M11","Cattle (Including Calves)",NA
"8581","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1980M11","Cattle (Including Calves)",NA
"8582","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1980M11","Cattle (Including Calves)",NA
"8583","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1980M11","Cattle (Including Calves)",NA
"8584","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1980M11","Cattle (Including Calves)",NA
"8585","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1980M12","Cattle (Including Calves)",121
"8586","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1980M12","Cattle (Including Calves)",31.8
"8587","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1980M12","Cattle (Including Calves)",NA
"8588","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1980M12","Cattle (Including Calves)",NA
"8589","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1980M12","Cattle (Including Calves)",NA
"8590","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1980M12","Cattle (Including Calves)",NA
"8591","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1980M12","Cattle (Including Calves)",NA
"8592","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1980M12","Cattle (Including Calves)",NA
"8593","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1981M01","Cattle (Including Calves)",88.4
"8594","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1981M01","Cattle (Including Calves)",23.1
"8595","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1981M01","Cattle (Including Calves)",NA
"8596","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1981M01","Cattle (Including Calves)",NA
"8597","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1981M01","Cattle (Including Calves)",NA
"8598","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1981M01","Cattle (Including Calves)",NA
"8599","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1981M01","Cattle (Including Calves)",NA
"8600","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1981M01","Cattle (Including Calves)",NA
"8601","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1981M02","Cattle (Including Calves)",68.2
"8602","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1981M02","Cattle (Including Calves)",17.6
"8603","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1981M02","Cattle (Including Calves)",NA
"8604","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1981M02","Cattle (Including Calves)",NA
"8605","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1981M02","Cattle (Including Calves)",NA
"8606","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1981M02","Cattle (Including Calves)",NA
"8607","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1981M02","Cattle (Including Calves)",NA
"8608","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1981M02","Cattle (Including Calves)",NA
"8609","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1981M03","Cattle (Including Calves)",71.4
"8610","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1981M03","Cattle (Including Calves)",18.6
"8611","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1981M03","Cattle (Including Calves)",NA
"8612","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1981M03","Cattle (Including Calves)",NA
"8613","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1981M03","Cattle (Including Calves)",NA
"8614","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1981M03","Cattle (Including Calves)",NA
"8615","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1981M03","Cattle (Including Calves)",NA
"8616","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1981M03","Cattle (Including Calves)",NA
"8617","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1981M04","Cattle (Including Calves)",69.7
"8618","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1981M04","Cattle (Including Calves)",19
"8619","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1981M04","Cattle (Including Calves)",NA
"8620","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1981M04","Cattle (Including Calves)",NA
"8621","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1981M04","Cattle (Including Calves)",NA
"8622","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1981M04","Cattle (Including Calves)",NA
"8623","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1981M04","Cattle (Including Calves)",NA
"8624","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1981M04","Cattle (Including Calves)",NA
"8625","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1981M05","Cattle (Including Calves)",85.8
"8626","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1981M05","Cattle (Including Calves)",23.3
"8627","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1981M05","Cattle (Including Calves)",NA
"8628","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1981M05","Cattle (Including Calves)",NA
"8629","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1981M05","Cattle (Including Calves)",NA
"8630","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1981M05","Cattle (Including Calves)",NA
"8631","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1981M05","Cattle (Including Calves)",NA
"8632","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1981M05","Cattle (Including Calves)",NA
"8633","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1981M06","Cattle (Including Calves)",90.5
