"","Statistic","Month","Type.of.Animal","value"
"179","Number of Livestock Slaughtered (000 Head)","1982M06","Cattle without Calves",87
"180","Weight of Livestock Slaughtered (000 Tonnes)","1982M06","Cattle without Calves",24.5
"181","Number of Livestock Slaughtered (000 Head)","1982M07","Cattle without Calves",101.2
"182","Weight of Livestock Slaughtered (000 Tonnes)","1982M07","Cattle without Calves",28.7
"183","Number of Livestock Slaughtered (000 Head)","1982M08","Cattle without Calves",122.6
"184","Weight of Livestock Slaughtered (000 Tonnes)","1982M08","Cattle without Calves",35.7
"185","Number of Livestock Slaughtered (000 Head)","1982M09","Cattle without Calves",143.7
"186","Weight of Livestock Slaughtered (000 Tonnes)","1982M09","Cattle without Calves",42
"187","Number of Livestock Slaughtered (000 Head)","1982M10","Cattle without Calves",162.8
"188","Weight of Livestock Slaughtered (000 Tonnes)","1982M10","Cattle without Calves",47.9
"189","Number of Livestock Slaughtered (000 Head)","1982M11","Cattle without Calves",157.4
"190","Weight of Livestock Slaughtered (000 Tonnes)","1982M11","Cattle without Calves",44.5
"191","Number of Livestock Slaughtered (000 Head)","1982M12","Cattle without Calves",91
"192","Weight of Livestock Slaughtered (000 Tonnes)","1982M12","Cattle without Calves",24.4
"193","Number of Livestock Slaughtered (000 Head)","1983M01","Cattle without Calves",81.5
"194","Weight of Livestock Slaughtered (000 Tonnes)","1983M01","Cattle without Calves",22.5
"195","Number of Livestock Slaughtered (000 Head)","1983M02","Cattle without Calves",77.3
"196","Weight of Livestock Slaughtered (000 Tonnes)","1983M02","Cattle without Calves",21.7
"197","Number of Livestock Slaughtered (000 Head)","1983M03","Cattle without Calves",85.1
"198","Weight of Livestock Slaughtered (000 Tonnes)","1983M03","Cattle without Calves",23.5
"199","Number of Livestock Slaughtered (000 Head)","1983M04","Cattle without Calves",68.7
"200","Weight of Livestock Slaughtered (000 Tonnes)","1983M04","Cattle without Calves",18.6
"201","Number of Livestock Slaughtered (000 Head)","1983M05","Cattle without Calves",76
"202","Weight of Livestock Slaughtered (000 Tonnes)","1983M05","Cattle without Calves",20.8
"203","Number of Livestock Slaughtered (000 Head)","1983M06","Cattle without Calves",90.2
"204","Weight of Livestock Slaughtered (000 Tonnes)","1983M06","Cattle without Calves",25.2
"205","Number of Livestock Slaughtered (000 Head)","1983M07","Cattle without Calves",99.9
"206","Weight of Livestock Slaughtered (000 Tonnes)","1983M07","Cattle without Calves",28.2
"207","Number of Livestock Slaughtered (000 Head)","1983M08","Cattle without Calves",114
"208","Weight of Livestock Slaughtered (000 Tonnes)","1983M08","Cattle without Calves",32.3
"209","Number of Livestock Slaughtered (000 Head)","1983M09","Cattle without Calves",137.8
"210","Weight of Livestock Slaughtered (000 Tonnes)","1983M09","Cattle without Calves",39.8
"211","Number of Livestock Slaughtered (000 Head)","1983M10","Cattle without Calves",151.4
"212","Weight of Livestock Slaughtered (000 Tonnes)","1983M10","Cattle without Calves",43.1
"213","Number of Livestock Slaughtered (000 Head)","1983M11","Cattle without Calves",163.3
"214","Weight of Livestock Slaughtered (000 Tonnes)","1983M11","Cattle without Calves",45.7
"215","Number of Livestock Slaughtered (000 Head)","1983M12","Cattle without Calves",114.7
"216","Weight of Livestock Slaughtered (000 Tonnes)","1983M12","Cattle without Calves",31.8
"217","Number of Livestock Slaughtered (000 Head)","1984M01","Cattle without Calves",92.1
"218","Weight of Livestock Slaughtered (000 Tonnes)","1984M01","Cattle without Calves",25.5
"219","Number of Livestock Slaughtered (000 Head)","1984M02","Cattle without Calves",92.9
"220","Weight of Livestock Slaughtered (000 Tonnes)","1984M02","Cattle without Calves",25.6
"221","Number of Livestock Slaughtered (000 Head)","1984M03","Cattle without Calves",88
"222","Weight of Livestock Slaughtered (000 Tonnes)","1984M03","Cattle without Calves",24.4
"223","Number of Livestock Slaughtered (000 Head)","1984M04","Cattle without Calves",74.1
"224","Weight of Livestock Slaughtered (000 Tonnes)","1984M04","Cattle without Calves",20.3
"225","Number of Livestock Slaughtered (000 Head)","1984M05","Cattle without Calves",78.4
"226","Weight of Livestock Slaughtered (000 Tonnes)","1984M05","Cattle without Calves",21.6
"227","Number of Livestock Slaughtered (000 Head)","1984M06","Cattle without Calves",77.7
"228","Weight of Livestock Slaughtered (000 Tonnes)","1984M06","Cattle without Calves",21.5
"229","Number of Livestock Slaughtered (000 Head)","1984M07","Cattle without Calves",94.4
"230","Weight of Livestock Slaughtered (000 Tonnes)","1984M07","Cattle without Calves",27.2
"231","Number of Livestock Slaughtered (000 Head)","1984M08","Cattle without Calves",131
"232","Weight of Livestock Slaughtered (000 Tonnes)","1984M08","Cattle without Calves",38.8
"233","Number of Livestock Slaughtered (000 Head)","1984M09","Cattle without Calves",165.9
"234","Weight of Livestock Slaughtered (000 Tonnes)","1984M09","Cattle without Calves",50.2
"235","Number of Livestock Slaughtered (000 Head)","1984M10","Cattle without Calves",199.4
"236","Weight of Livestock Slaughtered (000 Tonnes)","1984M10","Cattle without Calves",59.8
"237","Number of Livestock Slaughtered (000 Head)","1984M11","Cattle without Calves",195.8
"238","Weight of Livestock Slaughtered (000 Tonnes)","1984M11","Cattle without Calves",57.8
"239","Number of Livestock Slaughtered (000 Head)","1984M12","Cattle without Calves",106.6
"240","Weight of Livestock Slaughtered (000 Tonnes)","1984M12","Cattle without Calves",29.8
"241","Number of Livestock Slaughtered (000 Head)","1985M01","Cattle without Calves",106.6
"242","Weight of Livestock Slaughtered (000 Tonnes)","1985M01","Cattle without Calves",30.5
"243","Number of Livestock Slaughtered (000 Head)","1985M02","Cattle without Calves",79.4
"244","Weight of Livestock Slaughtered (000 Tonnes)","1985M02","Cattle without Calves",22.3
"245","Number of Livestock Slaughtered (000 Head)","1985M03","Cattle without Calves",90.3
"246","Weight of Livestock Slaughtered (000 Tonnes)","1985M03","Cattle without Calves",26
"247","Number of Livestock Slaughtered (000 Head)","1985M04","Cattle without Calves",95.3
"248","Weight of Livestock Slaughtered (000 Tonnes)","1985M04","Cattle without Calves",27.9
"249","Number of Livestock Slaughtered (000 Head)","1985M05","Cattle without Calves",118.3
"250","Weight of Livestock Slaughtered (000 Tonnes)","1985M05","Cattle without Calves",35.5
"251","Number of Livestock Slaughtered (000 Head)","1985M06","Cattle without Calves",79.1
"252","Weight of Livestock Slaughtered (000 Tonnes)","1985M06","Cattle without Calves",22.3
"253","Number of Livestock Slaughtered (000 Head)","1985M07","Cattle without Calves",97.3
"254","Weight of Livestock Slaughtered (000 Tonnes)","1985M07","Cattle without Calves",28
"255","Number of Livestock Slaughtered (000 Head)","1985M08","Cattle without Calves",130.6
"256","Weight of Livestock Slaughtered (000 Tonnes)","1985M08","Cattle without Calves",38.3
"257","Number of Livestock Slaughtered (000 Head)","1985M09","Cattle without Calves",180.7
"258","Weight of Livestock Slaughtered (000 Tonnes)","1985M09","Cattle without Calves",54.5
"259","Number of Livestock Slaughtered (000 Head)","1985M10","Cattle without Calves",222.6
"260","Weight of Livestock Slaughtered (000 Tonnes)","1985M10","Cattle without Calves",68.9
"261","Number of Livestock Slaughtered (000 Head)","1985M11","Cattle without Calves",195.6
"262","Weight of Livestock Slaughtered (000 Tonnes)","1985M11","Cattle without Calves",58.9
"263","Number of Livestock Slaughtered (000 Head)","1985M12","Cattle without Calves",122.7
"264","Weight of Livestock Slaughtered (000 Tonnes)","1985M12","Cattle without Calves",36.1
"265","Number of Livestock Slaughtered (000 Head)","1986M01","Cattle without Calves",108
"266","Weight of Livestock Slaughtered (000 Tonnes)","1986M01","Cattle without Calves",32
"267","Number of Livestock Slaughtered (000 Head)","1986M02","Cattle without Calves",98.3
"268","Weight of Livestock Slaughtered (000 Tonnes)","1986M02","Cattle without Calves",28.9
"269","Number of Livestock Slaughtered (000 Head)","1986M03","Cattle without Calves",99.1
"270","Weight of Livestock Slaughtered (000 Tonnes)","1986M03","Cattle without Calves",29
"271","Number of Livestock Slaughtered (000 Head)","1986M04","Cattle without Calves",113.1
"272","Weight of Livestock Slaughtered (000 Tonnes)","1986M04","Cattle without Calves",33.5
"273","Number of Livestock Slaughtered (000 Head)","1986M05","Cattle without Calves",103.8
"274","Weight of Livestock Slaughtered (000 Tonnes)","1986M05","Cattle without Calves",31.3
"275","Number of Livestock Slaughtered (000 Head)","1986M06","Cattle without Calves",91.1
"276","Weight of Livestock Slaughtered (000 Tonnes)","1986M06","Cattle without Calves",26.5
"277","Number of Livestock Slaughtered (000 Head)","1986M07","Cattle without Calves",129
"278","Weight of Livestock Slaughtered (000 Tonnes)","1986M07","Cattle without Calves",38.7
"279","Number of Livestock Slaughtered (000 Head)","1986M08","Cattle without Calves",151.7
"280","Weight of Livestock Slaughtered (000 Tonnes)","1986M08","Cattle without Calves",46.6
"281","Number of Livestock Slaughtered (000 Head)","1986M09","Cattle without Calves",178.4
"282","Weight of Livestock Slaughtered (000 Tonnes)","1986M09","Cattle without Calves",53.4
"283","Number of Livestock Slaughtered (000 Head)","1986M10","Cattle without Calves",267.4
"284","Weight of Livestock Slaughtered (000 Tonnes)","1986M10","Cattle without Calves",81.9
"285","Number of Livestock Slaughtered (000 Head)","1986M11","Cattle without Calves",225.8
"286","Weight of Livestock Slaughtered (000 Tonnes)","1986M11","Cattle without Calves",66.7
"287","Number of Livestock Slaughtered (000 Head)","1986M12","Cattle without Calves",130.6
"288","Weight of Livestock Slaughtered (000 Tonnes)","1986M12","Cattle without Calves",37.5
"289","Number of Livestock Slaughtered (000 Head)","1987M01","Cattle without Calves",114.2
"290","Weight of Livestock Slaughtered (000 Tonnes)","1987M01","Cattle without Calves",33.7
"291","Number of Livestock Slaughtered (000 Head)","1987M02","Cattle without Calves",107.8
"292","Weight of Livestock Slaughtered (000 Tonnes)","1987M02","Cattle without Calves",32.3
"293","Number of Livestock Slaughtered (000 Head)","1987M03","Cattle without Calves",125.7
"294","Weight of Livestock Slaughtered (000 Tonnes)","1987M03","Cattle without Calves",37.4
"295","Number of Livestock Slaughtered (000 Head)","1987M04","Cattle without Calves",90.4
"296","Weight of Livestock Slaughtered (000 Tonnes)","1987M04","Cattle without Calves",25.7
"297","Number of Livestock Slaughtered (000 Head)","1987M05","Cattle without Calves",85.3
"298","Weight of Livestock Slaughtered (000 Tonnes)","1987M05","Cattle without Calves",24.5
"299","Number of Livestock Slaughtered (000 Head)","1987M06","Cattle without Calves",104.2
"300","Weight of Livestock Slaughtered (000 Tonnes)","1987M06","Cattle without Calves",30.6
"301","Number of Livestock Slaughtered (000 Head)","1987M07","Cattle without Calves",115.6
"302","Weight of Livestock Slaughtered (000 Tonnes)","1987M07","Cattle without Calves",34.7
"303","Number of Livestock Slaughtered (000 Head)","1987M08","Cattle without Calves",123.2
"304","Weight of Livestock Slaughtered (000 Tonnes)","1987M08","Cattle without Calves",37.5
"305","Number of Livestock Slaughtered (000 Head)","1987M09","Cattle without Calves",191.1
"306","Weight of Livestock Slaughtered (000 Tonnes)","1987M09","Cattle without Calves",59.9
"307","Number of Livestock Slaughtered (000 Head)","1987M10","Cattle without Calves",262.3
"308","Weight of Livestock Slaughtered (000 Tonnes)","1987M10","Cattle without Calves",82.2
"309","Number of Livestock Slaughtered (000 Head)","1987M11","Cattle without Calves",172.9
"310","Weight of Livestock Slaughtered (000 Tonnes)","1987M11","Cattle without Calves",51.9
"311","Number of Livestock Slaughtered (000 Head)","1987M12","Cattle without Calves",95.6
"312","Weight of Livestock Slaughtered (000 Tonnes)","1987M12","Cattle without Calves",28
"313","Number of Livestock Slaughtered (000 Head)","1988M01","Cattle without Calves",90.4
"314","Weight of Livestock Slaughtered (000 Tonnes)","1988M01","Cattle without Calves",27
"315","Number of Livestock Slaughtered (000 Head)","1988M02","Cattle without Calves",95
"316","Weight of Livestock Slaughtered (000 Tonnes)","1988M02","Cattle without Calves",29.1
"317","Number of Livestock Slaughtered (000 Head)","1988M03","Cattle without Calves",109.6
"318","Weight of Livestock Slaughtered (000 Tonnes)","1988M03","Cattle without Calves",33.6
"319","Number of Livestock Slaughtered (000 Head)","1988M04","Cattle without Calves",88.1
"320","Weight of Livestock Slaughtered (000 Tonnes)","1988M04","Cattle without Calves",27.1
"321","Number of Livestock Slaughtered (000 Head)","1988M05","Cattle without Calves",70.7
"322","Weight of Livestock Slaughtered (000 Tonnes)","1988M05","Cattle without Calves",21.3
"323","Number of Livestock Slaughtered (000 Head)","1988M06","Cattle without Calves",87.6
"324","Weight of Livestock Slaughtered (000 Tonnes)","1988M06","Cattle without Calves",26.8
"325","Number of Livestock Slaughtered (000 Head)","1988M07","Cattle without Calves",81.9
"326","Weight of Livestock Slaughtered (000 Tonnes)","1988M07","Cattle without Calves",24.8
"327","Number of Livestock Slaughtered (000 Head)","1988M08","Cattle without Calves",109.5
"328","Weight of Livestock Slaughtered (000 Tonnes)","1988M08","Cattle without Calves",34.4
