"","Statistic","Month","Type.of.Animal","value"
"4605","Number of Livestock Slaughtered (000 Head)","2009M03","Heifers",41.9
"4606","Weight of Livestock Slaughtered (000 Tonnes)","2009M03","Heifers",11.81
"4607","Number of Livestock Slaughtered (000 Head)","2009M04","Heifers",40.04
"4608","Weight of Livestock Slaughtered (000 Tonnes)","2009M04","Heifers",11.26
"4609","Number of Livestock Slaughtered (000 Head)","2009M05","Heifers",37.06
"4610","Weight of Livestock Slaughtered (000 Tonnes)","2009M05","Heifers",10.47
"4611","Number of Livestock Slaughtered (000 Head)","2009M06","Heifers",34.22
"4612","Weight of Livestock Slaughtered (000 Tonnes)","2009M06","Heifers",9.67
"4613","Number of Livestock Slaughtered (000 Head)","2009M07","Heifers",40.41
"4614","Weight of Livestock Slaughtered (000 Tonnes)","2009M07","Heifers",11.4
"4615","Number of Livestock Slaughtered (000 Head)","2009M08","Heifers",36.01
"4616","Weight of Livestock Slaughtered (000 Tonnes)","2009M08","Heifers",9.98
"4617","Number of Livestock Slaughtered (000 Head)","2009M09","Heifers",40.87
"4618","Weight of Livestock Slaughtered (000 Tonnes)","2009M09","Heifers",11.35
"4619","Number of Livestock Slaughtered (000 Head)","2009M10","Heifers",40.17
"4620","Weight of Livestock Slaughtered (000 Tonnes)","2009M10","Heifers",11.22
"4621","Number of Livestock Slaughtered (000 Head)","2009M11","Heifers",44.43
"4622","Weight of Livestock Slaughtered (000 Tonnes)","2009M11","Heifers",12.38
"4623","Number of Livestock Slaughtered (000 Head)","2009M12","Heifers",43.83
"4624","Weight of Livestock Slaughtered (000 Tonnes)","2009M12","Heifers",12.36
"4625","Number of Livestock Slaughtered (000 Head)","2010M01","Heifers",43.04
"4626","Weight of Livestock Slaughtered (000 Tonnes)","2010M01","Heifers",12.17
"4627","Number of Livestock Slaughtered (000 Head)","2010M02","Heifers",45.89
"4628","Weight of Livestock Slaughtered (000 Tonnes)","2010M02","Heifers",13.12
"4629","Number of Livestock Slaughtered (000 Head)","2010M03","Heifers",52.28
"4630","Weight of Livestock Slaughtered (000 Tonnes)","2010M03","Heifers",14.86
"4631","Number of Livestock Slaughtered (000 Head)","2010M04","Heifers",43.93
"4632","Weight of Livestock Slaughtered (000 Tonnes)","2010M04","Heifers",12.47
"4633","Number of Livestock Slaughtered (000 Head)","2010M05","Heifers",43.13
"4634","Weight of Livestock Slaughtered (000 Tonnes)","2010M05","Heifers",12.34
"4635","Number of Livestock Slaughtered (000 Head)","2010M06","Heifers",41.3
"4636","Weight of Livestock Slaughtered (000 Tonnes)","2010M06","Heifers",11.83
"4637","Number of Livestock Slaughtered (000 Head)","2010M07","Heifers",39.23
"4638","Weight of Livestock Slaughtered (000 Tonnes)","2010M07","Heifers",11.08
"4639","Number of Livestock Slaughtered (000 Head)","2010M08","Heifers",38.07
"4640","Weight of Livestock Slaughtered (000 Tonnes)","2010M08","Heifers",10.78
"4641","Number of Livestock Slaughtered (000 Head)","2010M09","Heifers",43.67
"4642","Weight of Livestock Slaughtered (000 Tonnes)","2010M09","Heifers",12.44
"4643","Number of Livestock Slaughtered (000 Head)","2010M10","Heifers",39.35
"4644","Weight of Livestock Slaughtered (000 Tonnes)","2010M10","Heifers",11.17
"4645","Number of Livestock Slaughtered (000 Head)","2010M11","Heifers",46.39
"4646","Weight of Livestock Slaughtered (000 Tonnes)","2010M11","Heifers",13.18
"4647","Number of Livestock Slaughtered (000 Head)","2010M12","Heifers",39.58
"4648","Weight of Livestock Slaughtered (000 Tonnes)","2010M12","Heifers",11.31
"4649","Number of Livestock Slaughtered (000 Head)","2011M01","Heifers",40.01
"4650","Weight of Livestock Slaughtered (000 Tonnes)","2011M01","Heifers",11.56
"4651","Number of Livestock Slaughtered (000 Head)","2011M02","Heifers",41.06
"4652","Weight of Livestock Slaughtered (000 Tonnes)","2011M02","Heifers",11.95
"4653","Number of Livestock Slaughtered (000 Head)","2011M03","Heifers",46.44
"4654","Weight of Livestock Slaughtered (000 Tonnes)","2011M03","Heifers",13.57
"4655","Number of Livestock Slaughtered (000 Head)","2011M04","Heifers",43.09
"4656","Weight of Livestock Slaughtered (000 Tonnes)","2011M04","Heifers",12.63
"4657","Number of Livestock Slaughtered (000 Head)","2011M05","Heifers",39.65
"4658","Weight of Livestock Slaughtered (000 Tonnes)","2011M05","Heifers",11.63
"4659","Number of Livestock Slaughtered (000 Head)","2011M06","Heifers",38.49
"4660","Weight of Livestock Slaughtered (000 Tonnes)","2011M06","Heifers",11.26
"4661","Number of Livestock Slaughtered (000 Head)","2011M07","Heifers",34.93
"4662","Weight of Livestock Slaughtered (000 Tonnes)","2011M07","Heifers",10.2
"4663","Number of Livestock Slaughtered (000 Head)","2011M08","Heifers",39.69
"4664","Weight of Livestock Slaughtered (000 Tonnes)","2011M08","Heifers",11.71
"4665","Number of Livestock Slaughtered (000 Head)","2011M09","Heifers",40.35
"4666","Weight of Livestock Slaughtered (000 Tonnes)","2011M09","Heifers",11.93
"4667","Number of Livestock Slaughtered (000 Head)","2011M10","Heifers",39.98
"4668","Weight of Livestock Slaughtered (000 Tonnes)","2011M10","Heifers",11.72
"4669","Number of Livestock Slaughtered (000 Head)","2011M11","Heifers",45.79
"4670","Weight of Livestock Slaughtered (000 Tonnes)","2011M11","Heifers",13.36
"4671","Number of Livestock Slaughtered (000 Head)","2011M12","Heifers",35.72
"4672","Weight of Livestock Slaughtered (000 Tonnes)","2011M12","Heifers",10.42
"4673","Number of Livestock Slaughtered (000 Head)","2012M01","Heifers",40.06
"4674","Weight of Livestock Slaughtered (000 Tonnes)","2012M01","Heifers",11.89
"4675","Number of Livestock Slaughtered (000 Head)","2012M02","Heifers",37.67
"4676","Weight of Livestock Slaughtered (000 Tonnes)","2012M02","Heifers",11.25
"4677","Number of Livestock Slaughtered (000 Head)","2012M03","Heifers",35.69
"4678","Weight of Livestock Slaughtered (000 Tonnes)","2012M03","Heifers",10.64
"4679","Number of Livestock Slaughtered (000 Head)","2012M04","Heifers",34.01
"4680","Weight of Livestock Slaughtered (000 Tonnes)","2012M04","Heifers",10.22
"4681","Number of Livestock Slaughtered (000 Head)","2012M05","Heifers",34.4
"4682","Weight of Livestock Slaughtered (000 Tonnes)","2012M05","Heifers",10.25
"4683","Number of Livestock Slaughtered (000 Head)","2012M06","Heifers",30.86
"4684","Weight of Livestock Slaughtered (000 Tonnes)","2012M06","Heifers",9.19
"4685","Number of Livestock Slaughtered (000 Head)","2012M07","Heifers",33.09
"4686","Weight of Livestock Slaughtered (000 Tonnes)","2012M07","Heifers",9.8
"4687","Number of Livestock Slaughtered (000 Head)","2012M08","Heifers",35.38
"4688","Weight of Livestock Slaughtered (000 Tonnes)","2012M08","Heifers",10.44
"4689","Number of Livestock Slaughtered (000 Head)","2012M09","Heifers",33.17
"4690","Weight of Livestock Slaughtered (000 Tonnes)","2012M09","Heifers",9.74
"4691","Number of Livestock Slaughtered (000 Head)","2012M10","Heifers",37.97
"4692","Weight of Livestock Slaughtered (000 Tonnes)","2012M10","Heifers",10.94
"4693","Number of Livestock Slaughtered (000 Head)","2012M11","Heifers",40
"4694","Weight of Livestock Slaughtered (000 Tonnes)","2012M11","Heifers",11.46
"4695","Number of Livestock Slaughtered (000 Head)","2012M12","Heifers",34.75
"4696","Weight of Livestock Slaughtered (000 Tonnes)","2012M12","Heifers",10.07
"4697","Number of Livestock Slaughtered (000 Head)","2013M01","Heifers",43.44
"4698","Weight of Livestock Slaughtered (000 Tonnes)","2013M01","Heifers",13.21
"4699","Number of Livestock Slaughtered (000 Head)","2013M02","Heifers",37.85
"4700","Weight of Livestock Slaughtered (000 Tonnes)","2013M02","Heifers",11.47
"4701","Number of Livestock Slaughtered (000 Head)","2013M03","Heifers",35.16
"4702","Weight of Livestock Slaughtered (000 Tonnes)","2013M03","Heifers",10.62
"4703","Number of Livestock Slaughtered (000 Head)","2013M04","Heifers",39.61
"4704","Weight of Livestock Slaughtered (000 Tonnes)","2013M04","Heifers",11.91
"4705","Number of Livestock Slaughtered (000 Head)","2013M05","Heifers",38.72
"4706","Weight of Livestock Slaughtered (000 Tonnes)","2013M05","Heifers",11.54
"4707","Number of Livestock Slaughtered (000 Head)","2013M06","Heifers",32.68
"4708","Weight of Livestock Slaughtered (000 Tonnes)","2013M06","Heifers",9.79
"4709","Number of Livestock Slaughtered (000 Head)","2013M07","Heifers",39.7
"4710","Weight of Livestock Slaughtered (000 Tonnes)","2013M07","Heifers",11.85
"4711","Number of Livestock Slaughtered (000 Head)","2013M08","Heifers",33.8
"4712","Weight of Livestock Slaughtered (000 Tonnes)","2013M08","Heifers",10.07
"4713","Number of Livestock Slaughtered (000 Head)","2013M09","Heifers",37.88
"4714","Weight of Livestock Slaughtered (000 Tonnes)","2013M09","Heifers",11.43
"4715","Number of Livestock Slaughtered (000 Head)","2013M10","Heifers",40.81
"4716","Weight of Livestock Slaughtered (000 Tonnes)","2013M10","Heifers",12.24
"4717","Number of Livestock Slaughtered (000 Head)","2013M11","Heifers",40.13
"4718","Weight of Livestock Slaughtered (000 Tonnes)","2013M11","Heifers",11.97
"4719","Number of Livestock Slaughtered (000 Head)","2013M12","Heifers",39.07
"4720","Weight of Livestock Slaughtered (000 Tonnes)","2013M12","Heifers",11.83
"4721","Number of Livestock Slaughtered (000 Head)","2014M01","Heifers",48.31
"4722","Weight of Livestock Slaughtered (000 Tonnes)","2014M01","Heifers",14.82
"4723","Number of Livestock Slaughtered (000 Head)","2014M02","Heifers",40.74
"4724","Weight of Livestock Slaughtered (000 Tonnes)","2014M02","Heifers",12.53
"4725","Number of Livestock Slaughtered (000 Head)","2014M03","Heifers",43.69
"4726","Weight of Livestock Slaughtered (000 Tonnes)","2014M03","Heifers",13.48
"4727","Number of Livestock Slaughtered (000 Head)","2014M04","Heifers",46.11
"4728","Weight of Livestock Slaughtered (000 Tonnes)","2014M04","Heifers",14.27
"4729","Number of Livestock Slaughtered (000 Head)","2014M05","Heifers",46.19
"4730","Weight of Livestock Slaughtered (000 Tonnes)","2014M05","Heifers",14.38
"4731","Number of Livestock Slaughtered (000 Head)","1975M01","Calves",1
"4732","Weight of Livestock Slaughtered (000 Tonnes)","1975M01","Calves",NA
"4733","Number of Livestock Slaughtered (000 Head)","1975M02","Calves",0.1
"4734","Weight of Livestock Slaughtered (000 Tonnes)","1975M02","Calves",NA
"4735","Number of Livestock Slaughtered (000 Head)","1975M03","Calves",0.5
"4736","Weight of Livestock Slaughtered (000 Tonnes)","1975M03","Calves",NA
"4737","Number of Livestock Slaughtered (000 Head)","1975M04","Calves",0.2
"4738","Weight of Livestock Slaughtered (000 Tonnes)","1975M04","Calves",NA
"4739","Number of Livestock Slaughtered (000 Head)","1975M05","Calves",0.3
"4740","Weight of Livestock Slaughtered (000 Tonnes)","1975M05","Calves",NA
"4741","Number of Livestock Slaughtered (000 Head)","1975M06","Calves",0.4
"4742","Weight of Livestock Slaughtered (000 Tonnes)","1975M06","Calves",NA
"4743","Number of Livestock Slaughtered (000 Head)","1975M07","Calves",0.4
"4744","Weight of Livestock Slaughtered (000 Tonnes)","1975M07","Calves",NA
"4745","Number of Livestock Slaughtered (000 Head)","1975M08","Calves",0.6
"4746","Weight of Livestock Slaughtered (000 Tonnes)","1975M08","Calves",NA
"4747","Number of Livestock Slaughtered (000 Head)","1975M09","Calves",0.3
"4748","Weight of Livestock Slaughtered (000 Tonnes)","1975M09","Calves",NA
"4749","Number of Livestock Slaughtered (000 Head)","1975M10","Calves",1.1
"4750","Weight of Livestock Slaughtered (000 Tonnes)","1975M10","Calves",NA
"4751","Number of Livestock Slaughtered (000 Head)","1975M11","Calves",0.9
"4752","Weight of Livestock Slaughtered (000 Tonnes)","1975M11","Calves",NA
"4753","Number of Livestock Slaughtered (000 Head)","1975M12","Calves",0.4
"4754","Weight of Livestock Slaughtered (000 Tonnes)","1975M12","Calves",NA
"4755","Number of Livestock Slaughtered (000 Head)","1976M01","Calves",0.4
"4756","Weight of Livestock Slaughtered (000 Tonnes)","1976M01","Calves",NA
"4757","Number of Livestock Slaughtered (000 Head)","1976M02","Calves",0.3
"4758","Weight of Livestock Slaughtered (000 Tonnes)","1976M02","Calves",NA
"4759","Number of Livestock Slaughtered (000 Head)","1976M03","Calves",0.2
"4760","Weight of Livestock Slaughtered (000 Tonnes)","1976M03","Calves",NA
"4761","Number of Livestock Slaughtered (000 Head)","1976M04","Calves",0.2
"4762","Weight of Livestock Slaughtered (000 Tonnes)","1976M04","Calves",NA
"4763","Number of Livestock Slaughtered (000 Head)","1976M05","Calves",0.2
"4764","Weight of Livestock Slaughtered (000 Tonnes)","1976M05","Calves",NA
"4765","Number of Livestock Slaughtered (000 Head)","1976M06","Calves",0.3
"4766","Weight of Livestock Slaughtered (000 Tonnes)","1976M06","Calves",NA
"4767","Number of Livestock Slaughtered (000 Head)","1976M07","Calves",0.3
"4768","Weight of Livestock Slaughtered (000 Tonnes)","1976M07","Calves",NA
"4769","Number of Livestock Slaughtered (000 Head)","1976M08","Calves",0.2
"4770","Weight of Livestock Slaughtered (000 Tonnes)","1976M08","Calves",NA
"4771","Number of Livestock Slaughtered (000 Head)","1976M09","Calves",0.2
"4772","Weight of Livestock Slaughtered (000 Tonnes)","1976M09","Calves",NA
"4773","Number of Livestock Slaughtered (000 Head)","1976M10","Calves",0.3
"4774","Weight of Livestock Slaughtered (000 Tonnes)","1976M10","Calves",NA
"4775","Number of Livestock Slaughtered (000 Head)","1976M11","Calves",0.5
"4776","Weight of Livestock Slaughtered (000 Tonnes)","1976M11","Calves",NA
"4777","Number of Livestock Slaughtered (000 Head)","1976M12","Calves",0.6
"4778","Weight of Livestock Slaughtered (000 Tonnes)","1976M12","Calves",NA
"4779","Number of Livestock Slaughtered (000 Head)","1977M01","Calves",0.5
"4780","Weight of Livestock Slaughtered (000 Tonnes)","1977M01","Calves",NA
"4781","Number of Livestock Slaughtered (000 Head)","1977M02","Calves",0.3
"4782","Weight of Livestock Slaughtered (000 Tonnes)","1977M02","Calves",NA
"4783","Number of Livestock Slaughtered (000 Head)","1977M03","Calves",0.2
"4784","Weight of Livestock Slaughtered (000 Tonnes)","1977M03","Calves",NA
"4785","Number of Livestock Slaughtered (000 Head)","1977M04","Calves",0.3
"4786","Weight of Livestock Slaughtered (000 Tonnes)","1977M04","Calves",NA
"4787","Number of Livestock Slaughtered (000 Head)","1977M05","Calves",0.3
"4788","Weight of Livestock Slaughtered (000 Tonnes)","1977M05","Calves",NA
"4789","Number of Livestock Slaughtered (000 Head)","1977M06","Calves",0.2
"4790","Weight of Livestock Slaughtered (000 Tonnes)","1977M06","Calves",NA
"4791","Number of Livestock Slaughtered (000 Head)","1977M07","Calves",0.3
"4792","Weight of Livestock Slaughtered (000 Tonnes)","1977M07","Calves",NA
"4793","Number of Livestock Slaughtered (000 Head)","1977M08","Calves",0.3
"4794","Weight of Livestock Slaughtered (000 Tonnes)","1977M08","Calves",NA
"4795","Number of Livestock Slaughtered (000 Head)","1977M09","Calves",0.3
"4796","Weight of Livestock Slaughtered (000 Tonnes)","1977M09","Calves",NA
"4797","Number of Livestock Slaughtered (000 Head)","1977M10","Calves",1.2
"4798","Weight of Livestock Slaughtered (000 Tonnes)","1977M10","Calves",NA
"4799","Number of Livestock Slaughtered (000 Head)","1977M11","Calves",0.3
"4800","Weight of Livestock Slaughtered (000 Tonnes)","1977M11","Calves",NA
"4801","Number of Livestock Slaughtered (000 Head)","1977M12","Calves",0.2
"4802","Weight of Livestock Slaughtered (000 Tonnes)","1977M12","Calves",NA
"4803","Number of Livestock Slaughtered (000 Head)","1978M01","Calves",0.3
"4804","Weight of Livestock Slaughtered (000 Tonnes)","1978M01","Calves",NA
"4805","Number of Livestock Slaughtered (000 Head)","1978M02","Calves",0.3
"4806","Weight of Livestock Slaughtered (000 Tonnes)","1978M02","Calves",NA
"4807","Number of Livestock Slaughtered (000 Head)","1978M03","Calves",0.3
"4808","Weight of Livestock Slaughtered (000 Tonnes)","1978M03","Calves",NA
"4809","Number of Livestock Slaughtered (000 Head)","1978M04","Calves",0.4
"4810","Weight of Livestock Slaughtered (000 Tonnes)","1978M04","Calves",NA
"4811","Number of Livestock Slaughtered (000 Head)","1978M05","Calves",0.3
"4812","Weight of Livestock Slaughtered (000 Tonnes)","1978M05","Calves",NA
"4813","Number of Livestock Slaughtered (000 Head)","1978M06","Calves",0.3
"4814","Weight of Livestock Slaughtered (000 Tonnes)","1978M06","Calves",NA
"4815","Number of Livestock Slaughtered (000 Head)","1978M07","Calves",0.4
"4816","Weight of Livestock Slaughtered (000 Tonnes)","1978M07","Calves",NA
"4817","Number of Livestock Slaughtered (000 Head)","1978M08","Calves",0.5
"4818","Weight of Livestock Slaughtered (000 Tonnes)","1978M08","Calves",NA
"4819","Number of Livestock Slaughtered (000 Head)","1978M09","Calves",0.6
"4820","Weight of Livestock Slaughtered (000 Tonnes)","1978M09","Calves",NA
"4821","Number of Livestock Slaughtered (000 Head)","1978M10","Calves",0.7
"4822","Weight of Livestock Slaughtered (000 Tonnes)","1978M10","Calves",NA
"4823","Number of Livestock Slaughtered (000 Head)","1978M11","Calves",0.7
"4824","Weight of Livestock Slaughtered (000 Tonnes)","1978M11","Calves",NA
"4825","Number of Livestock Slaughtered (000 Head)","1978M12","Calves",0.5
"4826","Weight of Livestock Slaughtered (000 Tonnes)","1978M12","Calves",NA
"4827","Number of Livestock Slaughtered (000 Head)","1979M01","Calves",0.5
"4828","Weight of Livestock Slaughtered (000 Tonnes)","1979M01","Calves",NA
"4829","Number of Livestock Slaughtered (000 Head)","1979M02","Calves",0.3
"4830","Weight of Livestock Slaughtered (000 Tonnes)","1979M02","Calves",NA
"4831","Number of Livestock Slaughtered (000 Head)","1979M03","Calves",0.5
"4832","Weight of Livestock Slaughtered (000 Tonnes)","1979M03","Calves",NA
"4833","Number of Livestock Slaughtered (000 Head)","1979M04","Calves",0.6
"4834","Weight of Livestock Slaughtered (000 Tonnes)","1979M04","Calves",NA
"4835","Number of Livestock Slaughtered (000 Head)","1979M05","Calves",0.5
"4836","Weight of Livestock Slaughtered (000 Tonnes)","1979M05","Calves",NA
"4837","Number of Livestock Slaughtered (000 Head)","1979M06","Calves",0.5
"4838","Weight of Livestock Slaughtered (000 Tonnes)","1979M06","Calves",NA
"4839","Number of Livestock Slaughtered (000 Head)","1979M07","Calves",0.6
"4840","Weight of Livestock Slaughtered (000 Tonnes)","1979M07","Calves",NA
"4841","Number of Livestock Slaughtered (000 Head)","1979M08","Calves",0.6
"4842","Weight of Livestock Slaughtered (000 Tonnes)","1979M08","Calves",NA
"4843","Number of Livestock Slaughtered (000 Head)","1979M09","Calves",0.7
"4844","Weight of Livestock Slaughtered (000 Tonnes)","1979M09","Calves",NA
"4845","Number of Livestock Slaughtered (000 Head)","1979M10","Calves",0.9
"4846","Weight of Livestock Slaughtered (000 Tonnes)","1979M10","Calves",NA
"4847","Number of Livestock Slaughtered (000 Head)","1979M11","Calves",0.7
"4848","Weight of Livestock Slaughtered (000 Tonnes)","1979M11","Calves",NA
"4849","Number of Livestock Slaughtered (000 Head)","1979M12","Calves",0.8
"4850","Weight of Livestock Slaughtered (000 Tonnes)","1979M12","Calves",NA
"4851","Number of Livestock Slaughtered (000 Head)","1980M01","Calves",0.6
"4852","Weight of Livestock Slaughtered (000 Tonnes)","1980M01","Calves",0.1
"4853","Number of Livestock Slaughtered (000 Head)","1980M02","Calves",0.5
"4854","Weight of Livestock Slaughtered (000 Tonnes)","1980M02","Calves",0.1
"4855","Number of Livestock Slaughtered (000 Head)","1980M03","Calves",0.7
"4856","Weight of Livestock Slaughtered (000 Tonnes)","1980M03","Calves",0.1
"4857","Number of Livestock Slaughtered (000 Head)","1980M04","Calves",0.6
"4858","Weight of Livestock Slaughtered (000 Tonnes)","1980M04","Calves",0.1
"4859","Number of Livestock Slaughtered (000 Head)","1980M05","Calves",0.5
"4860","Weight of Livestock Slaughtered (000 Tonnes)","1980M05","Calves",0.1
"4861","Number of Livestock Slaughtered (000 Head)","1980M06","Calves",0.3
"4862","Weight of Livestock Slaughtered (000 Tonnes)","1980M06","Calves",0
"4863","Number of Livestock Slaughtered (000 Head)","1980M07","Calves",0.9
"4864","Weight of Livestock Slaughtered (000 Tonnes)","1980M07","Calves",0.1
"4865","Number of Livestock Slaughtered (000 Head)","1980M08","Calves",0.7
"4866","Weight of Livestock Slaughtered (000 Tonnes)","1980M08","Calves",0.1
"4867","Number of Livestock Slaughtered (000 Head)","1980M09","Calves",0.6
"4868","Weight of Livestock Slaughtered (000 Tonnes)","1980M09","Calves",0.1
"4869","Number of Livestock Slaughtered (000 Head)","1980M10","Calves",0.8
"4870","Weight of Livestock Slaughtered (000 Tonnes)","1980M10","Calves",0.1
"4871","Number of Livestock Slaughtered (000 Head)","1980M11","Calves",0.6
"4872","Weight of Livestock Slaughtered (000 Tonnes)","1980M11","Calves",0.1
"4873","Number of Livestock Slaughtered (000 Head)","1980M12","Calves",0.5
"4874","Weight of Livestock Slaughtered (000 Tonnes)","1980M12","Calves",0.1
"4875","Number of Livestock Slaughtered (000 Head)","1981M01","Calves",0.5
"4876","Weight of Livestock Slaughtered (000 Tonnes)","1981M01","Calves",0.1
"4877","Number of Livestock Slaughtered (000 Head)","1981M02","Calves",0.3
"4878","Weight of Livestock Slaughtered (000 Tonnes)","1981M02","Calves",0
"4879","Number of Livestock Slaughtered (000 Head)","1981M03","Calves",0.5
"4880","Weight of Livestock Slaughtered (000 Tonnes)","1981M03","Calves",0.1
"4881","Number of Livestock Slaughtered (000 Head)","1981M04","Calves",0.5
"4882","Weight of Livestock Slaughtered (000 Tonnes)","1981M04","Calves",0.1
"4883","Number of Livestock Slaughtered (000 Head)","1981M05","Calves",0.6
"4884","Weight of Livestock Slaughtered (000 Tonnes)","1981M05","Calves",0.1
"4885","Number of Livestock Slaughtered (000 Head)","1981M06","Calves",0.6
"4886","Weight of Livestock Slaughtered (000 Tonnes)","1981M06","Calves",0.1
"4887","Number of Livestock Slaughtered (000 Head)","1981M07","Calves",0.5
"4888","Weight of Livestock Slaughtered (000 Tonnes)","1981M07","Calves",0.1
"4889","Number of Livestock Slaughtered (000 Head)","1981M08","Calves",0.3
"4890","Weight of Livestock Slaughtered (000 Tonnes)","1981M08","Calves",0
"4891","Number of Livestock Slaughtered (000 Head)","1981M09","Calves",0.6
"4892","Weight of Livestock Slaughtered (000 Tonnes)","1981M09","Calves",0.1
"4893","Number of Livestock Slaughtered (000 Head)","1981M10","Calves",0.5
"4894","Weight of Livestock Slaughtered (000 Tonnes)","1981M10","Calves",0.1
"4895","Number of Livestock Slaughtered (000 Head)","1981M11","Calves",0.6
"4896","Weight of Livestock Slaughtered (000 Tonnes)","1981M11","Calves",0.1
"4897","Number of Livestock Slaughtered (000 Head)","1981M12","Calves",0.6
"4898","Weight of Livestock Slaughtered (000 Tonnes)","1981M12","Calves",0.1
"4899","Number of Livestock Slaughtered (000 Head)","1982M01","Calves",0.8
"4900","Weight of Livestock Slaughtered (000 Tonnes)","1982M01","Calves",0.1
"4901","Number of Livestock Slaughtered (000 Head)","1982M02","Calves",0.7
"4902","Weight of Livestock Slaughtered (000 Tonnes)","1982M02","Calves",0.1
"4903","Number of Livestock Slaughtered (000 Head)","1982M03","Calves",0.8
"4904","Weight of Livestock Slaughtered (000 Tonnes)","1982M03","Calves",0.1
"4905","Number of Livestock Slaughtered (000 Head)","1982M04","Calves",0.5
"4906","Weight of Livestock Slaughtered (000 Tonnes)","1982M04","Calves",0.1
"4907","Number of Livestock Slaughtered (000 Head)","1982M05","Calves",0.7
"4908","Weight of Livestock Slaughtered (000 Tonnes)","1982M05","Calves",0.1
"4909","Number of Livestock Slaughtered (000 Head)","1982M06","Calves",0.5
"4910","Weight of Livestock Slaughtered (000 Tonnes)","1982M06","Calves",0.1
"4911","Number of Livestock Slaughtered (000 Head)","1982M07","Calves",0.7
"4912","Weight of Livestock Slaughtered (000 Tonnes)","1982M07","Calves",0.1
"4913","Number of Livestock Slaughtered (000 Head)","1982M08","Calves",0.6
"4914","Weight of Livestock Slaughtered (000 Tonnes)","1982M08","Calves",0.1
"4915","Number of Livestock Slaughtered (000 Head)","1982M09","Calves",0.6
"4916","Weight of Livestock Slaughtered (000 Tonnes)","1982M09","Calves",0.1
"4917","Number of Livestock Slaughtered (000 Head)","1982M10","Calves",0.6
"4918","Weight of Livestock Slaughtered (000 Tonnes)","1982M10","Calves",0.1
"4919","Number of Livestock Slaughtered (000 Head)","1982M11","Calves",0.6
"4920","Weight of Livestock Slaughtered (000 Tonnes)","1982M11","Calves",0.1
"4921","Number of Livestock Slaughtered (000 Head)","1982M12","Calves",0.5
"4922","Weight of Livestock Slaughtered (000 Tonnes)","1982M12","Calves",0.1
"4923","Number of Livestock Slaughtered (000 Head)","1983M01","Calves",0.8
"4924","Weight of Livestock Slaughtered (000 Tonnes)","1983M01","Calves",0.1
"4925","Number of Livestock Slaughtered (000 Head)","1983M02","Calves",0.5
"4926","Weight of Livestock Slaughtered (000 Tonnes)","1983M02","Calves",0.1
"4927","Number of Livestock Slaughtered (000 Head)","1983M03","Calves",0.4
"4928","Weight of Livestock Slaughtered (000 Tonnes)","1983M03","Calves",0
"4929","Number of Livestock Slaughtered (000 Head)","1983M04","Calves",0.4
"4930","Weight of Livestock Slaughtered (000 Tonnes)","1983M04","Calves",0
"4931","Number of Livestock Slaughtered (000 Head)","1983M05","Calves",0.5
"4932","Weight of Livestock Slaughtered (000 Tonnes)","1983M05","Calves",0.1
"4933","Number of Livestock Slaughtered (000 Head)","1983M06","Calves",0.5
"4934","Weight of Livestock Slaughtered (000 Tonnes)","1983M06","Calves",0.1
"4935","Number of Livestock Slaughtered (000 Head)","1983M07","Calves",0.3
"4936","Weight of Livestock Slaughtered (000 Tonnes)","1983M07","Calves",0
"4937","Number of Livestock Slaughtered (000 Head)","1983M08","Calves",0.6
"4938","Weight of Livestock Slaughtered (000 Tonnes)","1983M08","Calves",0.1
"4939","Number of Livestock Slaughtered (000 Head)","1983M09","Calves",0.7
"4940","Weight of Livestock Slaughtered (000 Tonnes)","1983M09","Calves",0.1
"4941","Number of Livestock Slaughtered (000 Head)","1983M10","Calves",0.6
"4942","Weight of Livestock Slaughtered (000 Tonnes)","1983M10","Calves",0.1
"4943","Number of Livestock Slaughtered (000 Head)","1983M11","Calves",0.5
"4944","Weight of Livestock Slaughtered (000 Tonnes)","1983M11","Calves",0.1
"4945","Number of Livestock Slaughtered (000 Head)","1983M12","Calves",0.3
"4946","Weight of Livestock Slaughtered (000 Tonnes)","1983M12","Calves",0
"4947","Number of Livestock Slaughtered (000 Head)","1984M01","Calves",0.7
"4948","Weight of Livestock Slaughtered (000 Tonnes)","1984M01","Calves",0.1
"4949","Number of Livestock Slaughtered (000 Head)","1984M02","Calves",0.5
"4950","Weight of Livestock Slaughtered (000 Tonnes)","1984M02","Calves",0.1
"4951","Number of Livestock Slaughtered (000 Head)","1984M03","Calves",0.5
"4952","Weight of Livestock Slaughtered (000 Tonnes)","1984M03","Calves",0.1
"4953","Number of Livestock Slaughtered (000 Head)","1984M04","Calves",0.5
"4954","Weight of Livestock Slaughtered (000 Tonnes)","1984M04","Calves",0.1
"4955","Number of Livestock Slaughtered (000 Head)","1984M05","Calves",0.5
"4956","Weight of Livestock Slaughtered (000 Tonnes)","1984M05","Calves",0.1
"4957","Number of Livestock Slaughtered (000 Head)","1984M06","Calves",0.6
"4958","Weight of Livestock Slaughtered (000 Tonnes)","1984M06","Calves",0.1
"4959","Number of Livestock Slaughtered (000 Head)","1984M07","Calves",0.7
"4960","Weight of Livestock Slaughtered (000 Tonnes)","1984M07","Calves",0.1
"4961","Number of Livestock Slaughtered (000 Head)","1984M08","Calves",0.9
