"","Statistic","Year","Fish.Species","value"
"106","Value of Sea Fish Landings (Euro Thousand)","2002","Dogfish",2563
"107","Live Weight of Sea Fish Landings (Tonnes)","2003","Dogfish",2212
"108","Value of Sea Fish Landings (Euro Thousand)","2003","Dogfish",1557
"109","Live Weight of Sea Fish Landings (Tonnes)","2004","Dogfish",1685
"110","Value of Sea Fish Landings (Euro Thousand)","2004","Dogfish",1125
"111","Live Weight of Sea Fish Landings (Tonnes)","1994","Dover sole",573
"112","Value of Sea Fish Landings (Euro Thousand)","1994","Dover sole",4229
"113","Live Weight of Sea Fish Landings (Tonnes)","1995","Dover sole",561
"114","Value of Sea Fish Landings (Euro Thousand)","1995","Dover sole",3868
"115","Live Weight of Sea Fish Landings (Tonnes)","1996","Dover sole",463
"116","Value of Sea Fish Landings (Euro Thousand)","1996","Dover sole",3610
"117","Live Weight of Sea Fish Landings (Tonnes)","1997","Dover sole",479
"118","Value of Sea Fish Landings (Euro Thousand)","1997","Dover sole",3741
"119","Live Weight of Sea Fish Landings (Tonnes)","1998","Dover sole",526
"120","Value of Sea Fish Landings (Euro Thousand)","1998","Dover sole",4396
"121","Live Weight of Sea Fish Landings (Tonnes)","1999","Dover sole",492
"122","Value of Sea Fish Landings (Euro Thousand)","1999","Dover sole",3858
"123","Live Weight of Sea Fish Landings (Tonnes)","2000","Dover sole",376
"124","Value of Sea Fish Landings (Euro Thousand)","2000","Dover sole",3321
"125","Live Weight of Sea Fish Landings (Tonnes)","2001","Dover sole",376
"126","Value of Sea Fish Landings (Euro Thousand)","2001","Dover sole",4483
"127","Live Weight of Sea Fish Landings (Tonnes)","2002","Dover sole",334
"128","Value of Sea Fish Landings (Euro Thousand)","2002","Dover sole",3794
"129","Live Weight of Sea Fish Landings (Tonnes)","2003","Dover sole",312
"130","Value of Sea Fish Landings (Euro Thousand)","2003","Dover sole",2964
"131","Live Weight of Sea Fish Landings (Tonnes)","2004","Dover sole",292
"132","Value of Sea Fish Landings (Euro Thousand)","2004","Dover sole",3444
"133","Live Weight of Sea Fish Landings (Tonnes)","1994","Haddock",2860
"134","Value of Sea Fish Landings (Euro Thousand)","1994","Haddock",2849
"135","Live Weight of Sea Fish Landings (Tonnes)","1995","Haddock",3417
"136","Value of Sea Fish Landings (Euro Thousand)","1995","Haddock",3680
"137","Live Weight of Sea Fish Landings (Tonnes)","1996","Haddock",4462
"138","Value of Sea Fish Landings (Euro Thousand)","1996","Haddock",4530
"139","Live Weight of Sea Fish Landings (Tonnes)","1997","Haddock",6230
"140","Value of Sea Fish Landings (Euro Thousand)","1997","Haddock",6126
"141","Live Weight of Sea Fish Landings (Tonnes)","1998","Haddock",6572
"142","Value of Sea Fish Landings (Euro Thousand)","1998","Haddock",6983
"143","Live Weight of Sea Fish Landings (Tonnes)","1999","Haddock",4898
"144","Value of Sea Fish Landings (Euro Thousand)","1999","Haddock",5289
"145","Live Weight of Sea Fish Landings (Tonnes)","2000","Haddock",5812
"146","Value of Sea Fish Landings (Euro Thousand)","2000","Haddock",6774
"147","Live Weight of Sea Fish Landings (Tonnes)","2001","Haddock",5398
"148","Value of Sea Fish Landings (Euro Thousand)","2001","Haddock",8440
"149","Live Weight of Sea Fish Landings (Tonnes)","2002","Haddock",3505
"150","Value of Sea Fish Landings (Euro Thousand)","2002","Haddock",4709
"151","Live Weight of Sea Fish Landings (Tonnes)","2003","Haddock",2788
"152","Value of Sea Fish Landings (Euro Thousand)","2003","Haddock",5215
"153","Live Weight of Sea Fish Landings (Tonnes)","2004","Haddock",2257
"154","Value of Sea Fish Landings (Euro Thousand)","2004","Haddock",4379
"155","Live Weight of Sea Fish Landings (Tonnes)","1994","Hake",2175
"156","Value of Sea Fish Landings (Euro Thousand)","1994","Hake",6422
"157","Live Weight of Sea Fish Landings (Tonnes)","1995","Hake",2186
"158","Value of Sea Fish Landings (Euro Thousand)","1995","Hake",6653
"159","Live Weight of Sea Fish Landings (Tonnes)","1996","Hake",1741
"160","Value of Sea Fish Landings (Euro Thousand)","1996","Hake",5539
"161","Live Weight of Sea Fish Landings (Tonnes)","1997","Hake",2268
"162","Value of Sea Fish Landings (Euro Thousand)","1997","Hake",7630
"163","Live Weight of Sea Fish Landings (Tonnes)","1998","Hake",1971
"164","Value of Sea Fish Landings (Euro Thousand)","1998","Hake",6702
"165","Live Weight of Sea Fish Landings (Tonnes)","1999","Hake",2090
"166","Value of Sea Fish Landings (Euro Thousand)","1999","Hake",7005
"167","Live Weight of Sea Fish Landings (Tonnes)","2000","Hake",2037
"168","Value of Sea Fish Landings (Euro Thousand)","2000","Hake",6548
"169","Live Weight of Sea Fish Landings (Tonnes)","2001","Hake",1113
"170","Value of Sea Fish Landings (Euro Thousand)","2001","Hake",4660
"171","Live Weight of Sea Fish Landings (Tonnes)","2002","Hake",698
"172","Value of Sea Fish Landings (Euro Thousand)","2002","Hake",2401
"173","Live Weight of Sea Fish Landings (Tonnes)","2003","Hake",1077
"174","Value of Sea Fish Landings (Euro Thousand)","2003","Hake",3372
"175","Live Weight of Sea Fish Landings (Tonnes)","2004","Hake",1068
"176","Value of Sea Fish Landings (Euro Thousand)","2004","Hake",3344
"177","Live Weight of Sea Fish Landings (Tonnes)","1994","John dory",81
"178","Value of Sea Fish Landings (Euro Thousand)","1994","John dory",284
"179","Live Weight of Sea Fish Landings (Tonnes)","1995","John dory",147
"180","Value of Sea Fish Landings (Euro Thousand)","1995","John dory",502
"181","Live Weight of Sea Fish Landings (Tonnes)","1996","John dory",125
"182","Value of Sea Fish Landings (Euro Thousand)","1996","John dory",409
"183","Live Weight of Sea Fish Landings (Tonnes)","1997","John dory",112
"184","Value of Sea Fish Landings (Euro Thousand)","1997","John dory",335
"185","Live Weight of Sea Fish Landings (Tonnes)","1998","John dory",98
"186","Value of Sea Fish Landings (Euro Thousand)","1998","John dory",294
"187","Live Weight of Sea Fish Landings (Tonnes)","1999","John dory",145
"188","Value of Sea Fish Landings (Euro Thousand)","1999","John dory",535
"189","Live Weight of Sea Fish Landings (Tonnes)","2000","John dory",174
"190","Value of Sea Fish Landings (Euro Thousand)","2000","John dory",600
"191","Live Weight of Sea Fish Landings (Tonnes)","2001","John dory",169
"192","Value of Sea Fish Landings (Euro Thousand)","2001","John dory",889
"193","Live Weight of Sea Fish Landings (Tonnes)","2002","John dory",154
"194","Value of Sea Fish Landings (Euro Thousand)","2002","John dory",655
"195","Live Weight of Sea Fish Landings (Tonnes)","2003","John dory",266
"196","Value of Sea Fish Landings (Euro Thousand)","2003","John dory",709
"197","Live Weight of Sea Fish Landings (Tonnes)","2004","John dory",327
"198","Value of Sea Fish Landings (Euro Thousand)","2004","John dory",969
"199","Live Weight of Sea Fish Landings (Tonnes)","1994","Lemon sole",388
"200","Value of Sea Fish Landings (Euro Thousand)","1994","Lemon sole",533
"201","Live Weight of Sea Fish Landings (Tonnes)","1995","Lemon sole",723
"202","Value of Sea Fish Landings (Euro Thousand)","1995","Lemon sole",1081
"203","Live Weight of Sea Fish Landings (Tonnes)","1996","Lemon sole",581
"204","Value of Sea Fish Landings (Euro Thousand)","1996","Lemon sole",998
"205","Live Weight of Sea Fish Landings (Tonnes)","1997","Lemon sole",667
"206","Value of Sea Fish Landings (Euro Thousand)","1997","Lemon sole",1117
"207","Live Weight of Sea Fish Landings (Tonnes)","1998","Lemon sole",527
"208","Value of Sea Fish Landings (Euro Thousand)","1998","Lemon sole",888
"209","Live Weight of Sea Fish Landings (Tonnes)","1999","Lemon sole",531
"210","Value of Sea Fish Landings (Euro Thousand)","1999","Lemon sole",965
"211","Live Weight of Sea Fish Landings (Tonnes)","2000","Lemon sole",468
"212","Value of Sea Fish Landings (Euro Thousand)","2000","Lemon sole",798
"213","Live Weight of Sea Fish Landings (Tonnes)","2001","Lemon sole",441
"214","Value of Sea Fish Landings (Euro Thousand)","2001","Lemon sole",1288
"215","Live Weight of Sea Fish Landings (Tonnes)","2002","Lemon sole",482
"216","Value of Sea Fish Landings (Euro Thousand)","2002","Lemon sole",1197
"217","Live Weight of Sea Fish Landings (Tonnes)","2003","Lemon sole",521
"218","Value of Sea Fish Landings (Euro Thousand)","2003","Lemon sole",790
"219","Live Weight of Sea Fish Landings (Tonnes)","2004","Lemon sole",519
"220","Value of Sea Fish Landings (Euro Thousand)","2004","Lemon sole",759
"221","Live Weight of Sea Fish Landings (Tonnes)","1994","Ling",1159
"222","Value of Sea Fish Landings (Euro Thousand)","1994","Ling",1017
"223","Live Weight of Sea Fish Landings (Tonnes)","1995","Ling",1543
"224","Value of Sea Fish Landings (Euro Thousand)","1995","Ling",1381
"225","Live Weight of Sea Fish Landings (Tonnes)","1996","Ling",1381
"226","Value of Sea Fish Landings (Euro Thousand)","1996","Ling",1190
"227","Live Weight of Sea Fish Landings (Tonnes)","1997","Ling",1305
"228","Value of Sea Fish Landings (Euro Thousand)","1997","Ling",1078
"229","Live Weight of Sea Fish Landings (Tonnes)","1998","Ling",1272
"230","Value of Sea Fish Landings (Euro Thousand)","1998","Ling",1381
"231","Live Weight of Sea Fish Landings (Tonnes)","1999","Ling",1138
"232","Value of Sea Fish Landings (Euro Thousand)","1999","Ling",1045
"233","Live Weight of Sea Fish Landings (Tonnes)","2000","Ling",1089
"234","Value of Sea Fish Landings (Euro Thousand)","2000","Ling",1069
"235","Live Weight of Sea Fish Landings (Tonnes)","2001","Ling",1464
"236","Value of Sea Fish Landings (Euro Thousand)","2001","Ling",1953
"237","Live Weight of Sea Fish Landings (Tonnes)","2002","Ling",1305
"238","Value of Sea Fish Landings (Euro Thousand)","2002","Ling",1627
"239","Live Weight of Sea Fish Landings (Tonnes)","2003","Ling",1299
"240","Value of Sea Fish Landings (Euro Thousand)","2003","Ling",1081
"241","Live Weight of Sea Fish Landings (Tonnes)","2004","Ling",1258
"242","Value of Sea Fish Landings (Euro Thousand)","2004","Ling",1020
"243","Live Weight of Sea Fish Landings (Tonnes)","1994","Megrim",2876
"244","Value of Sea Fish Landings (Euro Thousand)","1994","Megrim",6030
"245","Live Weight of Sea Fish Landings (Tonnes)","1995","Megrim",3839
"246","Value of Sea Fish Landings (Euro Thousand)","1995","Megrim",7443
"247","Live Weight of Sea Fish Landings (Tonnes)","1996","Megrim",3507
"248","Value of Sea Fish Landings (Euro Thousand)","1996","Megrim",7630
"249","Live Weight of Sea Fish Landings (Tonnes)","1997","Megrim",3063
"250","Value of Sea Fish Landings (Euro Thousand)","1997","Megrim",6901
"251","Live Weight of Sea Fish Landings (Tonnes)","1998","Megrim",3383
"252","Value of Sea Fish Landings (Euro Thousand)","1998","Megrim",7570
"253","Live Weight of Sea Fish Landings (Tonnes)","1999","Megrim",3162
"254","Value of Sea Fish Landings (Euro Thousand)","1999","Megrim",7939
"255","Live Weight of Sea Fish Landings (Tonnes)","2000","Megrim",3364
"256","Value of Sea Fish Landings (Euro Thousand)","2000","Megrim",8437
"257","Live Weight of Sea Fish Landings (Tonnes)","2001","Megrim",3703
"258","Value of Sea Fish Landings (Euro Thousand)","2001","Megrim",11045
"259","Live Weight of Sea Fish Landings (Tonnes)","2002","Megrim",2848
"260","Value of Sea Fish Landings (Euro Thousand)","2002","Megrim",8415
"261","Live Weight of Sea Fish Landings (Tonnes)","2003","Megrim",2679
"262","Value of Sea Fish Landings (Euro Thousand)","2003","Megrim",8444
"263","Live Weight of Sea Fish Landings (Tonnes)","2004","Megrim",2613
"264","Value of Sea Fish Landings (Euro Thousand)","2004","Megrim",8494
"265","Live Weight of Sea Fish Landings (Tonnes)","1994","Monk/Angler",2536
"266","Value of Sea Fish Landings (Euro Thousand)","1994","Monk/Angler",5749
"267","Live Weight of Sea Fish Landings (Tonnes)","1995","Monk/Angler",2919
"268","Value of Sea Fish Landings (Euro Thousand)","1995","Monk/Angler",6459
"269","Live Weight of Sea Fish Landings (Tonnes)","1996","Monk/Angler",3348
"270","Value of Sea Fish Landings (Euro Thousand)","1996","Monk/Angler",7606
"271","Live Weight of Sea Fish Landings (Tonnes)","1997","Monk/Angler",3880
"272","Value of Sea Fish Landings (Euro Thousand)","1997","Monk/Angler",8948
"273","Live Weight of Sea Fish Landings (Tonnes)","1998","Monk/Angler",4251
"274","Value of Sea Fish Landings (Euro Thousand)","1998","Monk/Angler",9975
"275","Live Weight of Sea Fish Landings (Tonnes)","1999","Monk/Angler",4298
"276","Value of Sea Fish Landings (Euro Thousand)","1999","Monk/Angler",11324
"277","Live Weight of Sea Fish Landings (Tonnes)","2000","Monk/Angler",3838
"278","Value of Sea Fish Landings (Euro Thousand)","2000","Monk/Angler",11534
"279","Live Weight of Sea Fish Landings (Tonnes)","2001","Monk/Angler",3067
"280","Value of Sea Fish Landings (Euro Thousand)","2001","Monk/Angler",11594
"281","Live Weight of Sea Fish Landings (Tonnes)","2002","Monk/Angler",2523
"282","Value of Sea Fish Landings (Euro Thousand)","2002","Monk/Angler",8138
"283","Live Weight of Sea Fish Landings (Tonnes)","2003","Monk/Angler",2116
"284","Value of Sea Fish Landings (Euro Thousand)","2003","Monk/Angler",6411
"285","Live Weight of Sea Fish Landings (Tonnes)","2004","Monk/Angler",2249
"286","Value of Sea Fish Landings (Euro Thousand)","2004","Monk/Angler",7045
"287","Live Weight of Sea Fish Landings (Tonnes)","1994","Plaice",1469
"288","Value of Sea Fish Landings (Euro Thousand)","1994","Plaice",1867
"289","Live Weight of Sea Fish Landings (Tonnes)","1995","Plaice",1590
"290","Value of Sea Fish Landings (Euro Thousand)","1995","Plaice",2226
"291","Live Weight of Sea Fish Landings (Tonnes)","1996","Plaice",1679
"292","Value of Sea Fish Landings (Euro Thousand)","1996","Plaice",2786
"293","Live Weight of Sea Fish Landings (Tonnes)","1997","Plaice",1698
"294","Value of Sea Fish Landings (Euro Thousand)","1997","Plaice",3002
"295","Live Weight of Sea Fish Landings (Tonnes)","1998","Plaice",1731
