"","Statistic","Year","Fish.Species","value"
"757","Live Weight of Sea Fish Landings (Tonnes)","1998","Crab",7970
"758","Value of Sea Fish Landings (Euro Thousand)","1998","Crab",9241
"759","Live Weight of Sea Fish Landings (Tonnes)","1999","Crab",8550
"760","Value of Sea Fish Landings (Euro Thousand)","1999","Crab",10705
"761","Live Weight of Sea Fish Landings (Tonnes)","2000","Crab",10295
"762","Value of Sea Fish Landings (Euro Thousand)","2000","Crab",12699
"763","Live Weight of Sea Fish Landings (Tonnes)","2001","Crab",11443
"764","Value of Sea Fish Landings (Euro Thousand)","2001","Crab",19161
"765","Live Weight of Sea Fish Landings (Tonnes)","2002","Crab",11527
"766","Value of Sea Fish Landings (Euro Thousand)","2002","Crab",15444
"767","Live Weight of Sea Fish Landings (Tonnes)","2003","Crab",12441
"768","Value of Sea Fish Landings (Euro Thousand)","2003","Crab",12744
"769","Live Weight of Sea Fish Landings (Tonnes)","2004","Crab",14429
"770","Value of Sea Fish Landings (Euro Thousand)","2004","Crab",15409
"771","Live Weight of Sea Fish Landings (Tonnes)","1994","Crawfish",111
"772","Value of Sea Fish Landings (Euro Thousand)","1994","Crawfish",2165
"773","Live Weight of Sea Fish Landings (Tonnes)","1995","Crawfish",84
"774","Value of Sea Fish Landings (Euro Thousand)","1995","Crawfish",1742
"775","Live Weight of Sea Fish Landings (Tonnes)","1996","Crawfish",64
"776","Value of Sea Fish Landings (Euro Thousand)","1996","Crawfish",1263
"777","Live Weight of Sea Fish Landings (Tonnes)","1997","Crawfish",48
"778","Value of Sea Fish Landings (Euro Thousand)","1997","Crawfish",835
"779","Live Weight of Sea Fish Landings (Tonnes)","1998","Crawfish",46
"780","Value of Sea Fish Landings (Euro Thousand)","1998","Crawfish",957
"781","Live Weight of Sea Fish Landings (Tonnes)","1999","Crawfish",35
"782","Value of Sea Fish Landings (Euro Thousand)","1999","Crawfish",794
"783","Live Weight of Sea Fish Landings (Tonnes)","2000","Crawfish",42
"784","Value of Sea Fish Landings (Euro Thousand)","2000","Crawfish",748
"785","Live Weight of Sea Fish Landings (Tonnes)","2001","Crawfish",35
"786","Value of Sea Fish Landings (Euro Thousand)","2001","Crawfish",1002
"787","Live Weight of Sea Fish Landings (Tonnes)","2002","Crawfish",36
"788","Value of Sea Fish Landings (Euro Thousand)","2002","Crawfish",877
"789","Live Weight of Sea Fish Landings (Tonnes)","2003","Crawfish",58
"790","Value of Sea Fish Landings (Euro Thousand)","2003","Crawfish",1266
"791","Live Weight of Sea Fish Landings (Tonnes)","2004","Crawfish",80
"792","Value of Sea Fish Landings (Euro Thousand)","2004","Crawfish",1787
"793","Live Weight of Sea Fish Landings (Tonnes)","1994","Dublin bay prawns",2970
"794","Value of Sea Fish Landings (Euro Thousand)","1994","Dublin bay prawns",10116
"795","Live Weight of Sea Fish Landings (Tonnes)","1995","Dublin bay prawns",4077
"796","Value of Sea Fish Landings (Euro Thousand)","1995","Dublin bay prawns",12779
"797","Live Weight of Sea Fish Landings (Tonnes)","1996","Dublin bay prawns",2769
"798","Value of Sea Fish Landings (Euro Thousand)","1996","Dublin bay prawns",8430
"799","Live Weight of Sea Fish Landings (Tonnes)","1997","Dublin bay prawns",3454
"800","Value of Sea Fish Landings (Euro Thousand)","1997","Dublin bay prawns",11652
"801","Live Weight of Sea Fish Landings (Tonnes)","1998","Dublin bay prawns",3998
"802","Value of Sea Fish Landings (Euro Thousand)","1998","Dublin bay prawns",12584
"803","Live Weight of Sea Fish Landings (Tonnes)","1999","Dublin bay prawns",4603
"804","Value of Sea Fish Landings (Euro Thousand)","1999","Dublin bay prawns",15522
"805","Live Weight of Sea Fish Landings (Tonnes)","2000","Dublin bay prawns",4077
"806","Value of Sea Fish Landings (Euro Thousand)","2000","Dublin bay prawns",16192
"807","Live Weight of Sea Fish Landings (Tonnes)","2001","Dublin bay prawns",4901
"808","Value of Sea Fish Landings (Euro Thousand)","2001","Dublin bay prawns",22289
"809","Live Weight of Sea Fish Landings (Tonnes)","2002","Dublin bay prawns",4991
"810","Value of Sea Fish Landings (Euro Thousand)","2002","Dublin bay prawns",23906
"811","Live Weight of Sea Fish Landings (Tonnes)","2003","Dublin bay prawns",6825
"812","Value of Sea Fish Landings (Euro Thousand)","2003","Dublin bay prawns",18768
"813","Live Weight of Sea Fish Landings (Tonnes)","2004","Dublin bay prawns",6790
"814","Value of Sea Fish Landings (Euro Thousand)","2004","Dublin bay prawns",19507
"815","Live Weight of Sea Fish Landings (Tonnes)","1994","Escallop",918
"816","Value of Sea Fish Landings (Euro Thousand)","1994","Escallop",1990
"817","Live Weight of Sea Fish Landings (Tonnes)","1995","Escallop",423
"818","Value of Sea Fish Landings (Euro Thousand)","1995","Escallop",1155
"819","Live Weight of Sea Fish Landings (Tonnes)","1996","Escallop",600
"820","Value of Sea Fish Landings (Euro Thousand)","1996","Escallop",1595
"821","Live Weight of Sea Fish Landings (Tonnes)","1997","Escallop",633
"822","Value of Sea Fish Landings (Euro Thousand)","1997","Escallop",1652
"823","Live Weight of Sea Fish Landings (Tonnes)","1998","Escallop",693
"824","Value of Sea Fish Landings (Euro Thousand)","1998","Escallop",1930
"825","Live Weight of Sea Fish Landings (Tonnes)","1999","Escallop",1497
"826","Value of Sea Fish Landings (Euro Thousand)","1999","Escallop",4232
"827","Live Weight of Sea Fish Landings (Tonnes)","2000","Escallop",1577
"828","Value of Sea Fish Landings (Euro Thousand)","2000","Escallop",4006
"829","Live Weight of Sea Fish Landings (Tonnes)","2001","Escallop",1411
"830","Value of Sea Fish Landings (Euro Thousand)","2001","Escallop",4597
"831","Live Weight of Sea Fish Landings (Tonnes)","2002","Escallop",1139
"832","Value of Sea Fish Landings (Euro Thousand)","2002","Escallop",3367
"833","Live Weight of Sea Fish Landings (Tonnes)","2003","Escallop",1758
"834","Value of Sea Fish Landings (Euro Thousand)","2003","Escallop",3662
"835","Live Weight of Sea Fish Landings (Tonnes)","2004","Escallop",1824
"836","Value of Sea Fish Landings (Euro Thousand)","2004","Escallop",3590
"837","Live Weight of Sea Fish Landings (Tonnes)","1994","Lobster",715
"838","Value of Sea Fish Landings (Euro Thousand)","1994","Lobster",8058
"839","Live Weight of Sea Fish Landings (Tonnes)","1995","Lobster",564
"840","Value of Sea Fish Landings (Euro Thousand)","1995","Lobster",6515
"841","Live Weight of Sea Fish Landings (Tonnes)","1996","Lobster",574
"842","Value of Sea Fish Landings (Euro Thousand)","1996","Lobster",6738
"843","Live Weight of Sea Fish Landings (Tonnes)","1997","Lobster",514
"844","Value of Sea Fish Landings (Euro Thousand)","1997","Lobster",5669
"845","Live Weight of Sea Fish Landings (Tonnes)","1998","Lobster",611
"846","Value of Sea Fish Landings (Euro Thousand)","1998","Lobster",7248
"847","Live Weight of Sea Fish Landings (Tonnes)","1999","Lobster",597
"848","Value of Sea Fish Landings (Euro Thousand)","1999","Lobster",7807
"849","Live Weight of Sea Fish Landings (Tonnes)","2000","Lobster",605
"850","Value of Sea Fish Landings (Euro Thousand)","2000","Lobster",8378
"851","Live Weight of Sea Fish Landings (Tonnes)","2001","Lobster",781
"852","Value of Sea Fish Landings (Euro Thousand)","2001","Lobster",15434
"853","Live Weight of Sea Fish Landings (Tonnes)","2002","Lobster",737
"854","Value of Sea Fish Landings (Euro Thousand)","2002","Lobster",9522
"855","Live Weight of Sea Fish Landings (Tonnes)","2003","Lobster",657
"856","Value of Sea Fish Landings (Euro Thousand)","2003","Lobster",8241
"857","Live Weight of Sea Fish Landings (Tonnes)","2004","Lobster",853
"858","Value of Sea Fish Landings (Euro Thousand)","2004","Lobster",10705
"859","Live Weight of Sea Fish Landings (Tonnes)","1994","Periwinkle",2573
"860","Value of Sea Fish Landings (Euro Thousand)","1994","Periwinkle",1892
"861","Live Weight of Sea Fish Landings (Tonnes)","1995","Periwinkle",3007
"862","Value of Sea Fish Landings (Euro Thousand)","1995","Periwinkle",2666
"863","Live Weight of Sea Fish Landings (Tonnes)","1996","Periwinkle",2837
"864","Value of Sea Fish Landings (Euro Thousand)","1996","Periwinkle",2839
"865","Live Weight of Sea Fish Landings (Tonnes)","1997","Periwinkle",3142
"866","Value of Sea Fish Landings (Euro Thousand)","1997","Periwinkle",2658
"867","Live Weight of Sea Fish Landings (Tonnes)","1998","Periwinkle",2636
"868","Value of Sea Fish Landings (Euro Thousand)","1998","Periwinkle",2787
"869","Live Weight of Sea Fish Landings (Tonnes)","1999","Periwinkle",3014
"870","Value of Sea Fish Landings (Euro Thousand)","1999","Periwinkle",2863
"871","Live Weight of Sea Fish Landings (Tonnes)","2000","Periwinkle",2634
"872","Value of Sea Fish Landings (Euro Thousand)","2000","Periwinkle",3482
"873","Live Weight of Sea Fish Landings (Tonnes)","2001","Periwinkle",2775
"874","Value of Sea Fish Landings (Euro Thousand)","2001","Periwinkle",3351
"875","Live Weight of Sea Fish Landings (Tonnes)","2002","Periwinkle",2274
"876","Value of Sea Fish Landings (Euro Thousand)","2002","Periwinkle",2268
"877","Live Weight of Sea Fish Landings (Tonnes)","2003","Periwinkle",1838
"878","Value of Sea Fish Landings (Euro Thousand)","2003","Periwinkle",2484
"879","Live Weight of Sea Fish Landings (Tonnes)","2004","Periwinkle",1683
"880","Value of Sea Fish Landings (Euro Thousand)","2004","Periwinkle",2518
"881","Live Weight of Sea Fish Landings (Tonnes)","1994","Prawn tails",2340
"882","Value of Sea Fish Landings (Euro Thousand)","1994","Prawn tails",3014
"883","Live Weight of Sea Fish Landings (Tonnes)","1995","Prawn tails",3164
"884","Value of Sea Fish Landings (Euro Thousand)","1995","Prawn tails",3965
"885","Live Weight of Sea Fish Landings (Tonnes)","1996","Prawn tails",2409
"886","Value of Sea Fish Landings (Euro Thousand)","1996","Prawn tails",2953
"887","Live Weight of Sea Fish Landings (Tonnes)","1997","Prawn tails",3566
"888","Value of Sea Fish Landings (Euro Thousand)","1997","Prawn tails",5495
"889","Live Weight of Sea Fish Landings (Tonnes)","1998","Prawn tails",2952
"890","Value of Sea Fish Landings (Euro Thousand)","1998","Prawn tails",3884
"891","Live Weight of Sea Fish Landings (Tonnes)","1999","Prawn tails",3889
"892","Value of Sea Fish Landings (Euro Thousand)","1999","Prawn tails",5183
"893","Live Weight of Sea Fish Landings (Tonnes)","2000","Prawn tails",3632
"894","Value of Sea Fish Landings (Euro Thousand)","2000","Prawn tails",4647
"895","Live Weight of Sea Fish Landings (Tonnes)","2001","Prawn tails",2173
"896","Value of Sea Fish Landings (Euro Thousand)","2001","Prawn tails",3761
"897","Live Weight of Sea Fish Landings (Tonnes)","2002","Prawn tails",1992
"898","Value of Sea Fish Landings (Euro Thousand)","2002","Prawn tails",2986
"899","Live Weight of Sea Fish Landings (Tonnes)","2003","Prawn tails",0
"900","Value of Sea Fish Landings (Euro Thousand)","2003","Prawn tails",0
"901","Live Weight of Sea Fish Landings (Tonnes)","2004","Prawn tails",0
"902","Value of Sea Fish Landings (Euro Thousand)","2004","Prawn tails",0
"903","Live Weight of Sea Fish Landings (Tonnes)","1994","Shrimp",312
"904","Value of Sea Fish Landings (Euro Thousand)","1994","Shrimp",2115
"905","Live Weight of Sea Fish Landings (Tonnes)","1995","Shrimp",312
"906","Value of Sea Fish Landings (Euro Thousand)","1995","Shrimp",2204
"907","Live Weight of Sea Fish Landings (Tonnes)","1996","Shrimp",399
"908","Value of Sea Fish Landings (Euro Thousand)","1996","Shrimp",2588
"909","Live Weight of Sea Fish Landings (Tonnes)","1997","Shrimp",359
"910","Value of Sea Fish Landings (Euro Thousand)","1997","Shrimp",2124
"911","Live Weight of Sea Fish Landings (Tonnes)","1998","Shrimp",505
"912","Value of Sea Fish Landings (Euro Thousand)","1998","Shrimp",3129
"913","Live Weight of Sea Fish Landings (Tonnes)","1999","Shrimp",551
"914","Value of Sea Fish Landings (Euro Thousand)","1999","Shrimp",3570
"915","Live Weight of Sea Fish Landings (Tonnes)","2000","Shrimp",449
"916","Value of Sea Fish Landings (Euro Thousand)","2000","Shrimp",3055
"917","Live Weight of Sea Fish Landings (Tonnes)","2001","Shrimp",269
"918","Value of Sea Fish Landings (Euro Thousand)","2001","Shrimp",2098
"919","Live Weight of Sea Fish Landings (Tonnes)","2002","Shrimp",216
"920","Value of Sea Fish Landings (Euro Thousand)","2002","Shrimp",1493
"921","Live Weight of Sea Fish Landings (Tonnes)","2003","Shrimp",202
"922","Value of Sea Fish Landings (Euro Thousand)","2003","Shrimp",1412
"923","Live Weight of Sea Fish Landings (Tonnes)","2004","Shrimp",413
"924","Value of Sea Fish Landings (Euro Thousand)","2004","Shrimp",2547
"925","Live Weight of Sea Fish Landings (Tonnes)","1994","Squid",277
"926","Value of Sea Fish Landings (Euro Thousand)","1994","Squid",687
"927","Live Weight of Sea Fish Landings (Tonnes)","1995","Squid",298
"928","Value of Sea Fish Landings (Euro Thousand)","1995","Squid",711
"929","Live Weight of Sea Fish Landings (Tonnes)","1996","Squid",481
"930","Value of Sea Fish Landings (Euro Thousand)","1996","Squid",1116
"931","Live Weight of Sea Fish Landings (Tonnes)","1997","Squid",442
"932","Value of Sea Fish Landings (Euro Thousand)","1997","Squid",1108
"933","Live Weight of Sea Fish Landings (Tonnes)","1998","Squid",610
"934","Value of Sea Fish Landings (Euro Thousand)","1998","Squid",1388
"935","Live Weight of Sea Fish Landings (Tonnes)","1999","Squid",282
"936","Value of Sea Fish Landings (Euro Thousand)","1999","Squid",711
"937","Live Weight of Sea Fish Landings (Tonnes)","2000","Squid",330
"938","Value of Sea Fish Landings (Euro Thousand)","2000","Squid",530
"939","Live Weight of Sea Fish Landings (Tonnes)","2001","Squid",378
"940","Value of Sea Fish Landings (Euro Thousand)","2001","Squid",859
"941","Live Weight of Sea Fish Landings (Tonnes)","2002","Squid",513
"942","Value of Sea Fish Landings (Euro Thousand)","2002","Squid",1068
"943","Live Weight of Sea Fish Landings (Tonnes)","2003","Squid",457
"944","Value of Sea Fish Landings (Euro Thousand)","2003","Squid",1306
"945","Live Weight of Sea Fish Landings (Tonnes)","2004","Squid",322
"946","Value of Sea Fish Landings (Euro Thousand)","2004","Squid",914
"947","Live Weight of Sea Fish Landings (Tonnes)","1994","Whelk",4488
"948","Value of Sea Fish Landings (Euro Thousand)","1994","Whelk",1931
"949","Live Weight of Sea Fish Landings (Tonnes)","1995","Whelk",5952
"950","Value of Sea Fish Landings (Euro Thousand)","1995","Whelk",3465
"951","Live Weight of Sea Fish Landings (Tonnes)","1996","Whelk",6575
"952","Value of Sea Fish Landings (Euro Thousand)","1996","Whelk",4321
"953","Live Weight of Sea Fish Landings (Tonnes)","1997","Whelk",3852
"954","Value of Sea Fish Landings (Euro Thousand)","1997","Whelk",2152
"955","Live Weight of Sea Fish Landings (Tonnes)","1998","Whelk",3667
"956","Value of Sea Fish Landings (Euro Thousand)","1998","Whelk",2001
"957","Live Weight of Sea Fish Landings (Tonnes)","1999","Whelk",4561
"958","Value of Sea Fish Landings (Euro Thousand)","1999","Whelk",2573
"959","Live Weight of Sea Fish Landings (Tonnes)","2000","Whelk",4474
"960","Value of Sea Fish Landings (Euro Thousand)","2000","Whelk",2794
"961","Live Weight of Sea Fish Landings (Tonnes)","2001","Whelk",6363
"962","Value of Sea Fish Landings (Euro Thousand)","2001","Whelk",5130
"963","Live Weight of Sea Fish Landings (Tonnes)","2002","Whelk",7901
"964","Value of Sea Fish Landings (Euro Thousand)","2002","Whelk",5029
"965","Live Weight of Sea Fish Landings (Tonnes)","2003","Whelk",8752
"966","Value of Sea Fish Landings (Euro Thousand)","2003","Whelk",5798
"967","Live Weight of Sea Fish Landings (Tonnes)","2004","Whelk",7560
"968","Value of Sea Fish Landings (Euro Thousand)","2004","Whelk",3332
"969","Live Weight of Sea Fish Landings (Tonnes)","1994","Other shellfish",100
"970","Value of Sea Fish Landings (Euro Thousand)","1994","Other shellfish",221
"971","Live Weight of Sea Fish Landings (Tonnes)","1995","Other shellfish",81
"972","Value of Sea Fish Landings (Euro Thousand)","1995","Other shellfish",207
"973","Live Weight of Sea Fish Landings (Tonnes)","1996","Other shellfish",33
"974","Value of Sea Fish Landings (Euro Thousand)","1996","Other shellfish",77
"975","Live Weight of Sea Fish Landings (Tonnes)","1997","Other shellfish",151
"976","Value of Sea Fish Landings (Euro Thousand)","1997","Other shellfish",415
"977","Live Weight of Sea Fish Landings (Tonnes)","1998","Other shellfish",599
"978","Value of Sea Fish Landings (Euro Thousand)","1998","Other shellfish",1044
"979","Live Weight of Sea Fish Landings (Tonnes)","1999","Other shellfish",452
"980","Value of Sea Fish Landings (Euro Thousand)","1999","Other shellfish",1254
"981","Live Weight of Sea Fish Landings (Tonnes)","2000","Other shellfish",359
"982","Value of Sea Fish Landings (Euro Thousand)","2000","Other shellfish",942
"983","Live Weight of Sea Fish Landings (Tonnes)","2001","Other shellfish",368
"984","Value of Sea Fish Landings (Euro Thousand)","2001","Other shellfish",1184
"985","Live Weight of Sea Fish Landings (Tonnes)","2002","Other shellfish",351
"986","Value of Sea Fish Landings (Euro Thousand)","2002","Other shellfish",888
"987","Live Weight of Sea Fish Landings (Tonnes)","2003","Other shellfish",449
"988","Value of Sea Fish Landings (Euro Thousand)","2003","Other shellfish",1464
"989","Live Weight of Sea Fish Landings (Tonnes)","2004","Other shellfish",436
"990","Value of Sea Fish Landings (Euro Thousand)","2004","Other shellfish",1542
"991","Live Weight of Sea Fish Landings (Tonnes)","1994","Deepwater",NA
"992","Value of Sea Fish Landings (Euro Thousand)","1994","Deepwater",NA
"993","Live Weight of Sea Fish Landings (Tonnes)","1995","Deepwater",NA
"994","Value of Sea Fish Landings (Euro Thousand)","1995","Deepwater",NA
"995","Live Weight of Sea Fish Landings (Tonnes)","1996","Deepwater",NA
"996","Value of Sea Fish Landings (Euro Thousand)","1996","Deepwater",NA
"997","Live Weight of Sea Fish Landings (Tonnes)","1997","Deepwater",NA
"998","Value of Sea Fish Landings (Euro Thousand)","1997","Deepwater",NA
"999","Live Weight of Sea Fish Landings (Tonnes)","1998","Deepwater",NA
"1000","Value of Sea Fish Landings (Euro Thousand)","1998","Deepwater",NA
"1001","Live Weight of Sea Fish Landings (Tonnes)","1999","Deepwater",NA
"1002","Value of Sea Fish Landings (Euro Thousand)","1999","Deepwater",NA
"1003","Live Weight of Sea Fish Landings (Tonnes)","2000","Deepwater",NA
"1004","Value of Sea Fish Landings (Euro Thousand)","2000","Deepwater",NA
"1005","Live Weight of Sea Fish Landings (Tonnes)","2001","Deepwater",NA
"1006","Value of Sea Fish Landings (Euro Thousand)","2001","Deepwater",NA
"1007","Live Weight of Sea Fish Landings (Tonnes)","2002","Deepwater",7905
"1008","Value of Sea Fish Landings (Euro Thousand)","2002","Deepwater",17577
"1009","Live Weight of Sea Fish Landings (Tonnes)","2003","Deepwater",3442
"1010","Value of Sea Fish Landings (Euro Thousand)","2003","Deepwater",11512
"1011","Live Weight of Sea Fish Landings (Tonnes)","2004","Deepwater",2949
"1012","Value of Sea Fish Landings (Euro Thousand)","2004","Deepwater",3646
"1013","Live Weight of Sea Fish Landings (Tonnes)","1994","Siki",NA
"1014","Value of Sea Fish Landings (Euro Thousand)","1994","Siki",NA
"1015","Live Weight of Sea Fish Landings (Tonnes)","1995","Siki",NA
"1016","Value of Sea Fish Landings (Euro Thousand)","1995","Siki",NA
"1017","Live Weight of Sea Fish Landings (Tonnes)","1996","Siki",NA
"1018","Value of Sea Fish Landings (Euro Thousand)","1996","Siki",NA
"1019","Live Weight of Sea Fish Landings (Tonnes)","1997","Siki",NA
"1020","Value of Sea Fish Landings (Euro Thousand)","1997","Siki",NA
"1021","Live Weight of Sea Fish Landings (Tonnes)","1998","Siki",NA
"1022","Value of Sea Fish Landings (Euro Thousand)","1998","Siki",NA
"1023","Live Weight of Sea Fish Landings (Tonnes)","1999","Siki",NA
"1024","Value of Sea Fish Landings (Euro Thousand)","1999","Siki",NA
"1025","Live Weight of Sea Fish Landings (Tonnes)","2000","Siki",NA
"1026","Value of Sea Fish Landings (Euro Thousand)","2000","Siki",NA
"1027","Live Weight of Sea Fish Landings (Tonnes)","2001","Siki",NA
"1028","Value of Sea Fish Landings (Euro Thousand)","2001","Siki",NA
"1029","Live Weight of Sea Fish Landings (Tonnes)","2002","Siki",340
"1030","Value of Sea Fish Landings (Euro Thousand)","2002","Siki",715
"1031","Live Weight of Sea Fish Landings (Tonnes)","2003","Siki",728
"1032","Value of Sea Fish Landings (Euro Thousand)","2003","Siki",2109
"1033","Live Weight of Sea Fish Landings (Tonnes)","2004","Siki",485
"1034","Value of Sea Fish Landings (Euro Thousand)","2004","Siki",1413
"1035","Live Weight of Sea Fish Landings (Tonnes)","1994","Other deepwater",NA
"1036","Value of Sea Fish Landings (Euro Thousand)","1994","Other deepwater",NA
"1037","Live Weight of Sea Fish Landings (Tonnes)","1995","Other deepwater",NA
"1038","Value of Sea Fish Landings (Euro Thousand)","1995","Other deepwater",NA
"1039","Live Weight of Sea Fish Landings (Tonnes)","1996","Other deepwater",NA
"1040","Value of Sea Fish Landings (Euro Thousand)","1996","Other deepwater",NA
"1041","Live Weight of Sea Fish Landings (Tonnes)","1997","Other deepwater",NA
"1042","Value of Sea Fish Landings (Euro Thousand)","1997","Other deepwater",NA
"1043","Live Weight of Sea Fish Landings (Tonnes)","1998","Other deepwater",NA
"1044","Value of Sea Fish Landings (Euro Thousand)","1998","Other deepwater",NA
"1045","Live Weight of Sea Fish Landings (Tonnes)","1999","Other deepwater",NA
"1046","Value of Sea Fish Landings (Euro Thousand)","1999","Other deepwater",NA
"1047","Live Weight of Sea Fish Landings (Tonnes)","2000","Other deepwater",NA
"1048","Value of Sea Fish Landings (Euro Thousand)","2000","Other deepwater",NA
"1049","Live Weight of Sea Fish Landings (Tonnes)","2001","Other deepwater",NA
"1050","Value of Sea Fish Landings (Euro Thousand)","2001","Other deepwater",NA
"1051","Live Weight of Sea Fish Landings (Tonnes)","2002","Other deepwater",2919
"1052","Value of Sea Fish Landings (Euro Thousand)","2002","Other deepwater",3841
"1053","Live Weight of Sea Fish Landings (Tonnes)","2003","Other deepwater",2404
"1054","Value of Sea Fish Landings (Euro Thousand)","2003","Other deepwater",9005
"1055","Live Weight of Sea Fish Landings (Tonnes)","2004","Other deepwater",2255
"1056","Value of Sea Fish Landings (Euro Thousand)","2004","Other deepwater",2003
