"","Statistic","Year","Selected.Fish.Products","value"
"106","Consumer Price Index (Base Dec 2001=100)","2001","Smoked fish",99.6
"107","Consumer Price Index (Base Nov 1996=100)","2002","Smoked fish",106.5
"108","Consumer Price Index (Base Dec 2001=100)","2002","Smoked fish",102.8
"109","Consumer Price Index (Base Nov 1996=100)","2003","Smoked fish",NA
"110","Consumer Price Index (Base Dec 2001=100)","2003","Smoked fish",105.2
"111","Consumer Price Index (Base Nov 1996=100)","2004","Smoked fish",NA
"112","Consumer Price Index (Base Dec 2001=100)","2004","Smoked fish",104.8
"113","Consumer Price Index (Base Nov 1996=100)","1991","Tinned fish",114.5
"114","Consumer Price Index (Base Dec 2001=100)","1991","Tinned fish",NA
"115","Consumer Price Index (Base Nov 1996=100)","1992","Tinned fish",104.2
"116","Consumer Price Index (Base Dec 2001=100)","1992","Tinned fish",NA
"117","Consumer Price Index (Base Nov 1996=100)","1993","Tinned fish",109.7
"118","Consumer Price Index (Base Dec 2001=100)","1993","Tinned fish",NA
"119","Consumer Price Index (Base Nov 1996=100)","1994","Tinned fish",105.5
"120","Consumer Price Index (Base Dec 2001=100)","1994","Tinned fish",NA
"121","Consumer Price Index (Base Nov 1996=100)","1995","Tinned fish",106.4
"122","Consumer Price Index (Base Dec 2001=100)","1995","Tinned fish",NA
"123","Consumer Price Index (Base Nov 1996=100)","1996","Tinned fish",101.3
"124","Consumer Price Index (Base Dec 2001=100)","1996","Tinned fish",NA
"125","Consumer Price Index (Base Nov 1996=100)","1997","Tinned fish",100.3
"126","Consumer Price Index (Base Dec 2001=100)","1997","Tinned fish",69.8
"127","Consumer Price Index (Base Nov 1996=100)","1998","Tinned fish",118
"128","Consumer Price Index (Base Dec 2001=100)","1998","Tinned fish",82.1
"129","Consumer Price Index (Base Nov 1996=100)","1999","Tinned fish",128.6
"130","Consumer Price Index (Base Dec 2001=100)","1999","Tinned fish",89.5
"131","Consumer Price Index (Base Nov 1996=100)","2000","Tinned fish",134.1
"132","Consumer Price Index (Base Dec 2001=100)","2000","Tinned fish",93.3
"133","Consumer Price Index (Base Nov 1996=100)","2001","Tinned fish",148.6
"134","Consumer Price Index (Base Dec 2001=100)","2001","Tinned fish",103.4
"135","Consumer Price Index (Base Nov 1996=100)","2002","Tinned fish",146
"136","Consumer Price Index (Base Dec 2001=100)","2002","Tinned fish",101.6
"137","Consumer Price Index (Base Nov 1996=100)","2003","Tinned fish",NA
"138","Consumer Price Index (Base Dec 2001=100)","2003","Tinned fish",101
"139","Consumer Price Index (Base Nov 1996=100)","2004","Tinned fish",NA
"140","Consumer Price Index (Base Dec 2001=100)","2004","Tinned fish",97.9
