"","Statistic","Year","Port","value"
"128","Value of Sea Fish Landings (Euro Thousand)","2002","Ballycotton",939
"129","Live Weight of Sea Fish Landings (Tonnes)","2003","Ballycotton",612
"130","Value of Sea Fish Landings (Euro Thousand)","2003","Ballycotton",1060
"131","Live Weight of Sea Fish Landings (Tonnes)","2004","Ballycotton",583
"132","Value of Sea Fish Landings (Euro Thousand)","2004","Ballycotton",1233
"133","Live Weight of Sea Fish Landings (Tonnes)","1994","Ballyglass",478
"134","Value of Sea Fish Landings (Euro Thousand)","1994","Ballyglass",507
"135","Live Weight of Sea Fish Landings (Tonnes)","1995","Ballyglass",416
"136","Value of Sea Fish Landings (Euro Thousand)","1995","Ballyglass",452
"137","Live Weight of Sea Fish Landings (Tonnes)","1996","Ballyglass",334
"138","Value of Sea Fish Landings (Euro Thousand)","1996","Ballyglass",504
"139","Live Weight of Sea Fish Landings (Tonnes)","1997","Ballyglass",161
"140","Value of Sea Fish Landings (Euro Thousand)","1997","Ballyglass",269
"141","Live Weight of Sea Fish Landings (Tonnes)","1998","Ballyglass",180
"142","Value of Sea Fish Landings (Euro Thousand)","1998","Ballyglass",321
"143","Live Weight of Sea Fish Landings (Tonnes)","1999","Ballyglass",0
"144","Value of Sea Fish Landings (Euro Thousand)","1999","Ballyglass",0
"145","Live Weight of Sea Fish Landings (Tonnes)","2000","Ballyglass",0
"146","Value of Sea Fish Landings (Euro Thousand)","2000","Ballyglass",0
"147","Live Weight of Sea Fish Landings (Tonnes)","2001","Ballyglass",0
"148","Value of Sea Fish Landings (Euro Thousand)","2001","Ballyglass",0
"149","Live Weight of Sea Fish Landings (Tonnes)","2002","Ballyglass",0
"150","Value of Sea Fish Landings (Euro Thousand)","2002","Ballyglass",0
"151","Live Weight of Sea Fish Landings (Tonnes)","2003","Ballyglass",NA
"152","Value of Sea Fish Landings (Euro Thousand)","2003","Ballyglass",NA
"153","Live Weight of Sea Fish Landings (Tonnes)","2004","Ballyglass",NA
"154","Value of Sea Fish Landings (Euro Thousand)","2004","Ballyglass",NA
"155","Live Weight of Sea Fish Landings (Tonnes)","1994","Baltimore",1431
"156","Value of Sea Fish Landings (Euro Thousand)","1994","Baltimore",1341
"157","Live Weight of Sea Fish Landings (Tonnes)","1995","Baltimore",1942
"158","Value of Sea Fish Landings (Euro Thousand)","1995","Baltimore",2247
