"","Year","Fish.Species","value"
"238","2004","Whiting",839
"239","1991","Witch",1430
"240","1992","Witch",1854
"241","1993","Witch",1319
"242","1994","Witch",1256
"243","1995","Witch",1293
"244","1996","Witch",1525
"245","1997","Witch",1494
"246","1998","Witch",1405
"247","1999","Witch",1400
"248","2000","Witch",1597
"249","2001","Witch",2098
"250","2002","Witch",2059
"251","2003","Witch",1438
"252","2004","Witch",1429
"253","1991","Cutlassfish",NA
"254","1992","Cutlassfish",NA
"255","1993","Cutlassfish",1948
"256","1994","Cutlassfish",888
"257","1995","Cutlassfish",1480
"258","1996","Cutlassfish",1016
"259","1997","Cutlassfish",1176
"260","1998","Cutlassfish",NA
"261","1999","Cutlassfish",1270
"262","2000","Cutlassfish",1270
"263","2001","Cutlassfish",1525
"264","2002","Cutlassfish",1811
"265","2003","Cutlassfish",NA
"266","2004","Cutlassfish",NA
"267","1991","Orange roughy",NA
"268","1992","Orange roughy",NA
"269","1993","Orange roughy",NA
"270","1994","Orange roughy",NA
"271","1995","Orange roughy",NA
"272","1996","Orange roughy",NA
"273","1997","Orange roughy",782
"274","1998","Orange roughy",NA
"275","1999","Orange roughy",NA
"276","2000","Orange roughy",1143
"277","2001","Orange roughy",3138
"278","2002","Orange roughy",2802
"279","2003","Orange roughy",1285
"280","2004","Orange roughy",1100
"281","1991","Blue whiting",129
"282","1992","Blue whiting",145
"283","1993","Blue whiting",139
"284","1994","Blue whiting",182
"285","1995","Blue whiting",127
"286","1996","Blue whiting",56
"287","1997","Blue whiting",83
"288","1998","Blue whiting",77
"289","1999","Blue whiting",70
"290","2000","Blue whiting",57
"291","2001","Blue whiting",95
"292","2002","Blue whiting",68
"293","2003","Blue whiting",144
"294","2004","Blue whiting",136
"295","1991","Herring",164
"296","1992","Herring",184
"297","1993","Herring",176
"298","1994","Herring",231
"299","1995","Herring",213
"300","1996","Herring",210
"301","1997","Herring",167
"302","1998","Herring",184
"303","1999","Herring",195
"304","2000","Herring",227
"305","2001","Herring",267
"306","2002","Herring",210
"307","2003","Herring",209
"308","2004","Herring",215
"309","1991","Horse mackerel",152
"310","1992","Horse mackerel",137
"311","1993","Horse mackerel",131
"312","1994","Horse mackerel",118
"313","1995","Horse mackerel",111
"314","1996","Horse mackerel",179
"315","1997","Horse mackerel",265
"316","1998","Horse mackerel",232
"317","1999","Horse mackerel",347
"318","2000","Horse mackerel",278
"319","2001","Horse mackerel",328
"320","2002","Horse mackerel",299
"321","2003","Horse mackerel",243
"322","2004","Horse mackerel",236
"323","1991","Mackerel",189
"324","1992","Mackerel",159
"325","1993","Mackerel",180
"326","1994","Mackerel",183
"327","1995","Mackerel",236
"328","1996","Mackerel",472
"329","1997","Mackerel",439
"330","1998","Mackerel",575
"331","1999","Mackerel",331
"332","2000","Mackerel",410
"333","2001","Mackerel",501
"334","2002","Mackerel",541
"335","2003","Mackerel",406
"336","2004","Mackerel",446
"337","1991","Sprat",NA
"338","1992","Sprat",176
"339","1993","Sprat",140
"340","1994","Sprat",137
"341","1995","Sprat",143
"342","1996","Sprat",167
"343","1997","Sprat",296
"344","1998","Sprat",145
"345","1999","Sprat",307
"346","2000","Sprat",315
"347","2001","Sprat",233
"348","2002","Sprat",351
"349","2003","Sprat",171
"350","2004","Sprat",157
"351","1991","Tuna",3624
"352","1992","Tuna",2000
"353","1993","Tuna",2155
"354","1994","Tuna",1555
"355","1995","Tuna",1655
"356","1996","Tuna",1772
"357","1997","Tuna",1857
"358","1998","Tuna",1944
"359","1999","Tuna",2778
"360","2000","Tuna",2125
"361","2001","Tuna",2221
"362","2002","Tuna",1861
"363","2003","Tuna",2921
"364","2004","Tuna",1417
"365","1991","Pilchard",NA
"366","1992","Pilchard",NA
"367","1993","Pilchard",NA
"368","1994","Pilchard",NA
"369","1995","Pilchard",NA
"370","1996","Pilchard",NA
"371","1997","Pilchard",NA
"372","1998","Pilchard",NA
"373","1999","Pilchard",190
"374","2000","Pilchard",295
"375","2001","Pilchard",441
"376","2002","Pilchard",338
"377","2003","Pilchard",121
"378","2004","Pilchard",190
"379","1991","Blue mussel",116
"380","1992","Blue mussel",227
"381","1993","Blue mussel",104
"382","1994","Blue mussel",143
"383","1995","Blue mussel",69
"384","1996","Blue mussel",157
"385","1997","Blue mussel",275
"386","1998","Blue mussel",323
"387","1999","Blue mussel",388
"388","2000","Blue mussel",300
"389","2001","Blue mussel",225
"390","2002","Blue mussel",928
"391","2003","Blue mussel",803
"392","2004","Blue mussel",831
"393","1991","Crab",929
"394","1992","Crab",973
"395","1993","Crab",973
"396","1994","Crab",942
"397","1995","Crab",805
"398","1996","Crab",1105
"399","1997","Crab",992
"400","1998","Crab",1159
"401","1999","Crab",1252
"402","2000","Crab",1234
"403","2001","Crab",1675
"404","2002","Crab",1340
"405","2003","Crab",1024
"406","2004","Crab",1068
"407","1991","Crawfish",21159
"408","1992","Crawfish",18439
"409","1993","Crawfish",18633
"410","1994","Crawfish",19485
"411","1995","Crawfish",20822
"412","1996","Crawfish",19878
"413","1997","Crawfish",17448
"414","1998","Crawfish",20855
"415","1999","Crawfish",22594
"416","2000","Crawfish",17908
"417","2001","Crawfish",28457
"418","2002","Crawfish",24040
"419","2003","Crawfish",21943
"420","2004","Crawfish",22252
"421","1991","Dublin bay prawns",3179
"422","1992","Dublin bay prawns",2986
"423","1993","Dublin bay prawns",3397
"424","1994","Dublin bay prawns",3405
"425","1995","Dublin bay prawns",3135
"426","1996","Dublin bay prawns",3045
"427","1997","Dublin bay prawns",3373
"428","1998","Dublin bay prawns",3148
"429","1999","Dublin bay prawns",3372
