"","Statistic","Year","Key.Fish.Species","value"
"106","Value of Sea Fish Landings (Euro Thousand)","1993","Demersal",50315
"107","Live Weight of Sea Fish Landings (Tonnes)","1994","Demersal",37777
"108","Value of Sea Fish Landings (Euro Thousand)","1994","Demersal",51330
"109","Live Weight of Sea Fish Landings (Tonnes)","1995","Demersal",46199
"110","Value of Sea Fish Landings (Euro Thousand)","1995","Demersal",61134
"111","Live Weight of Sea Fish Landings (Tonnes)","1996","Demersal",46912
"112","Value of Sea Fish Landings (Euro Thousand)","1996","Demersal",64729
"113","Live Weight of Sea Fish Landings (Tonnes)","1997","Demersal",45086
"114","Value of Sea Fish Landings (Euro Thousand)","1997","Demersal",65457
"115","Live Weight of Sea Fish Landings (Tonnes)","1998","Demersal",43663
"116","Value of Sea Fish Landings (Euro Thousand)","1998","Demersal",67645
"117","Live Weight of Sea Fish Landings (Tonnes)","1999","Demersal",39431
"118","Value of Sea Fish Landings (Euro Thousand)","1999","Demersal",65995
"119","Live Weight of Sea Fish Landings (Tonnes)","2000","Demersal",36772
"120","Value of Sea Fish Landings (Euro Thousand)","2000","Demersal",65330
"121","Live Weight of Sea Fish Landings (Tonnes)","2001","Demersal",43020
"122","Value of Sea Fish Landings (Euro Thousand)","2001","Demersal",95176
"123","Live Weight of Sea Fish Landings (Tonnes)","2002","Demersal",32089
"124","Value of Sea Fish Landings (Euro Thousand)","2002","Demersal",61105
"125","Live Weight of Sea Fish Landings (Tonnes)","2003","Demersal",29419
"126","Value of Sea Fish Landings (Euro Thousand)","2003","Demersal",50600
"127","Live Weight of Sea Fish Landings (Tonnes)","2004","Demersal",27645
"128","Value of Sea Fish Landings (Euro Thousand)","2004","Demersal",48941
"129","Live Weight of Sea Fish Landings (Tonnes)","1973","Deepwater",NA
"130","Value of Sea Fish Landings (Euro Thousand)","1973","Deepwater",NA
"131","Live Weight of Sea Fish Landings (Tonnes)","1974","Deepwater",NA
"132","Value of Sea Fish Landings (Euro Thousand)","1974","Deepwater",NA
"133","Live Weight of Sea Fish Landings (Tonnes)","1975","Deepwater",NA
"134","Value of Sea Fish Landings (Euro Thousand)","1975","Deepwater",NA
"135","Live Weight of Sea Fish Landings (Tonnes)","1976","Deepwater",NA
"136","Value of Sea Fish Landings (Euro Thousand)","1976","Deepwater",NA
"137","Live Weight of Sea Fish Landings (Tonnes)","1977","Deepwater",NA
"138","Value of Sea Fish Landings (Euro Thousand)","1977","Deepwater",NA
"139","Live Weight of Sea Fish Landings (Tonnes)","1978","Deepwater",NA
"140","Value of Sea Fish Landings (Euro Thousand)","1978","Deepwater",NA
"141","Live Weight of Sea Fish Landings (Tonnes)","1979","Deepwater",NA
"142","Value of Sea Fish Landings (Euro Thousand)","1979","Deepwater",NA
"143","Live Weight of Sea Fish Landings (Tonnes)","1980","Deepwater",NA
"144","Value of Sea Fish Landings (Euro Thousand)","1980","Deepwater",NA
"145","Live Weight of Sea Fish Landings (Tonnes)","1981","Deepwater",NA
"146","Value of Sea Fish Landings (Euro Thousand)","1981","Deepwater",NA
"147","Live Weight of Sea Fish Landings (Tonnes)","1982","Deepwater",NA
"148","Value of Sea Fish Landings (Euro Thousand)","1982","Deepwater",NA
"149","Live Weight of Sea Fish Landings (Tonnes)","1983","Deepwater",NA
