"","Statistic","Month","Liveweight","value"
"169","Sheep Price per Head (Euro)","1983M01","Mart Sheep 30-39kg",49.98
"170","Sheep Price per Kg (Euro)","1983M01","Mart Sheep 30-39kg",1.36
"171","Sheep Price per Head (Euro)","1983M02","Mart Sheep 30-39kg",51.92
"172","Sheep Price per Kg (Euro)","1983M02","Mart Sheep 30-39kg",1.42
"173","Sheep Price per Head (Euro)","1983M03","Mart Sheep 30-39kg",58.53
"174","Sheep Price per Kg (Euro)","1983M03","Mart Sheep 30-39kg",1.61
"175","Sheep Price per Head (Euro)","1983M04","Mart Sheep 30-39kg",63.04
"176","Sheep Price per Kg (Euro)","1983M04","Mart Sheep 30-39kg",1.71
"177","Sheep Price per Head (Euro)","1983M05","Mart Sheep 30-39kg",65.04
"178","Sheep Price per Kg (Euro)","1983M05","Mart Sheep 30-39kg",1.78
"179","Sheep Price per Head (Euro)","1983M06","Mart Sheep 30-39kg",56.17
"180","Sheep Price per Kg (Euro)","1983M06","Mart Sheep 30-39kg",1.51
"181","Sheep Price per Head (Euro)","1983M07","Mart Sheep 30-39kg",49.67
"182","Sheep Price per Kg (Euro)","1983M07","Mart Sheep 30-39kg",1.35
"183","Sheep Price per Head (Euro)","1983M08","Mart Sheep 30-39kg",50.36
"184","Sheep Price per Kg (Euro)","1983M08","Mart Sheep 30-39kg",1.38
"185","Sheep Price per Head (Euro)","1983M09","Mart Sheep 30-39kg",52.62
"186","Sheep Price per Kg (Euro)","1983M09","Mart Sheep 30-39kg",1.43
"187","Sheep Price per Head (Euro)","1983M10","Mart Sheep 30-39kg",50.37
"188","Sheep Price per Kg (Euro)","1983M10","Mart Sheep 30-39kg",1.41
"189","Sheep Price per Head (Euro)","1983M11","Mart Sheep 30-39kg",50.31
"190","Sheep Price per Kg (Euro)","1983M11","Mart Sheep 30-39kg",1.37
"191","Sheep Price per Head (Euro)","1983M12","Mart Sheep 30-39kg",48.03
"192","Sheep Price per Kg (Euro)","1983M12","Mart Sheep 30-39kg",1.36
"193","Sheep Price per Head (Euro)","1984M01","Mart Sheep 30-39kg",49.79
"194","Sheep Price per Kg (Euro)","1984M01","Mart Sheep 30-39kg",1.36
"195","Sheep Price per Head (Euro)","1984M02","Mart Sheep 30-39kg",57.62
"196","Sheep Price per Kg (Euro)","1984M02","Mart Sheep 30-39kg",1.56
"197","Sheep Price per Head (Euro)","1984M03","Mart Sheep 30-39kg",61.3
"198","Sheep Price per Kg (Euro)","1984M03","Mart Sheep 30-39kg",1.66
"199","Sheep Price per Head (Euro)","1984M04","Mart Sheep 30-39kg",67.22
"200","Sheep Price per Kg (Euro)","1984M04","Mart Sheep 30-39kg",1.83
"201","Sheep Price per Head (Euro)","1984M05","Mart Sheep 30-39kg",61.19
"202","Sheep Price per Kg (Euro)","1984M05","Mart Sheep 30-39kg",1.64
"203","Sheep Price per Head (Euro)","1984M06","Mart Sheep 30-39kg",49.7
"204","Sheep Price per Kg (Euro)","1984M06","Mart Sheep 30-39kg",1.33
"205","Sheep Price per Head (Euro)","1984M07","Mart Sheep 30-39kg",50.41
"206","Sheep Price per Kg (Euro)","1984M07","Mart Sheep 30-39kg",1.36
"207","Sheep Price per Head (Euro)","1984M08","Mart Sheep 30-39kg",49.47
"208","Sheep Price per Kg (Euro)","1984M08","Mart Sheep 30-39kg",1.33
"209","Sheep Price per Head (Euro)","1984M09","Mart Sheep 30-39kg",49.28
"210","Sheep Price per Kg (Euro)","1984M09","Mart Sheep 30-39kg",1.37
"211","Sheep Price per Head (Euro)","1984M10","Mart Sheep 30-39kg",48.75
"212","Sheep Price per Kg (Euro)","1984M10","Mart Sheep 30-39kg",1.35
"213","Sheep Price per Head (Euro)","1984M11","Mart Sheep 30-39kg",49.61
"214","Sheep Price per Kg (Euro)","1984M11","Mart Sheep 30-39kg",1.37
"215","Sheep Price per Head (Euro)","1984M12","Mart Sheep 30-39kg",50.36
"216","Sheep Price per Kg (Euro)","1984M12","Mart Sheep 30-39kg",1.4
"217","Sheep Price per Head (Euro)","1985M01","Mart Sheep 30-39kg",50.14
"218","Sheep Price per Kg (Euro)","1985M01","Mart Sheep 30-39kg",1.38
"219","Sheep Price per Head (Euro)","1985M02","Mart Sheep 30-39kg",50.32
"220","Sheep Price per Kg (Euro)","1985M02","Mart Sheep 30-39kg",1.36
"221","Sheep Price per Head (Euro)","1985M03","Mart Sheep 30-39kg",47.81
"222","Sheep Price per Kg (Euro)","1985M03","Mart Sheep 30-39kg",1.32
"223","Sheep Price per Head (Euro)","1985M04","Mart Sheep 30-39kg",60.19
"224","Sheep Price per Kg (Euro)","1985M04","Mart Sheep 30-39kg",1.65
"225","Sheep Price per Head (Euro)","1985M05","Mart Sheep 30-39kg",56.71
"226","Sheep Price per Kg (Euro)","1985M05","Mart Sheep 30-39kg",1.51
"227","Sheep Price per Head (Euro)","1985M06","Mart Sheep 30-39kg",51.39
"228","Sheep Price per Kg (Euro)","1985M06","Mart Sheep 30-39kg",1.37
"229","Sheep Price per Head (Euro)","1985M07","Mart Sheep 30-39kg",48.64
"230","Sheep Price per Kg (Euro)","1985M07","Mart Sheep 30-39kg",1.31
"231","Sheep Price per Head (Euro)","1985M08","Mart Sheep 30-39kg",46.84
"232","Sheep Price per Kg (Euro)","1985M08","Mart Sheep 30-39kg",1.27
"233","Sheep Price per Head (Euro)","1985M09","Mart Sheep 30-39kg",45.33
"234","Sheep Price per Kg (Euro)","1985M09","Mart Sheep 30-39kg",1.26
"235","Sheep Price per Head (Euro)","1985M10","Mart Sheep 30-39kg",47.26
"236","Sheep Price per Kg (Euro)","1985M10","Mart Sheep 30-39kg",1.28
"237","Sheep Price per Head (Euro)","1985M11","Mart Sheep 30-39kg",48.43
"238","Sheep Price per Kg (Euro)","1985M11","Mart Sheep 30-39kg",1.31
"239","Sheep Price per Head (Euro)","1985M12","Mart Sheep 30-39kg",50.37
"240","Sheep Price per Kg (Euro)","1985M12","Mart Sheep 30-39kg",1.36
"241","Sheep Price per Head (Euro)","1986M01","Mart Sheep 30-39kg",51.45
"242","Sheep Price per Kg (Euro)","1986M01","Mart Sheep 30-39kg",1.43
"243","Sheep Price per Head (Euro)","1986M02","Mart Sheep 30-39kg",54.45
"244","Sheep Price per Kg (Euro)","1986M02","Mart Sheep 30-39kg",1.51
"245","Sheep Price per Head (Euro)","1986M03","Mart Sheep 30-39kg",63.69
"246","Sheep Price per Kg (Euro)","1986M03","Mart Sheep 30-39kg",1.83
"247","Sheep Price per Head (Euro)","1986M04","Mart Sheep 30-39kg",64.92
"248","Sheep Price per Kg (Euro)","1986M04","Mart Sheep 30-39kg",1.78
"249","Sheep Price per Head (Euro)","1986M05","Mart Sheep 30-39kg",64.07
"250","Sheep Price per Kg (Euro)","1986M05","Mart Sheep 30-39kg",1.7
"251","Sheep Price per Head (Euro)","1986M06","Mart Sheep 30-39kg",52.99
"252","Sheep Price per Kg (Euro)","1986M06","Mart Sheep 30-39kg",1.41
"253","Sheep Price per Head (Euro)","1986M07","Mart Sheep 30-39kg",48.44
"254","Sheep Price per Kg (Euro)","1986M07","Mart Sheep 30-39kg",1.31
"255","Sheep Price per Head (Euro)","1986M08","Mart Sheep 30-39kg",47.53
"256","Sheep Price per Kg (Euro)","1986M08","Mart Sheep 30-39kg",1.28
"257","Sheep Price per Head (Euro)","1986M09","Mart Sheep 30-39kg",45.96
"258","Sheep Price per Kg (Euro)","1986M09","Mart Sheep 30-39kg",1.27
"259","Sheep Price per Head (Euro)","1986M10","Mart Sheep 30-39kg",45.48
"260","Sheep Price per Kg (Euro)","1986M10","Mart Sheep 30-39kg",1.28
"261","Sheep Price per Head (Euro)","1986M11","Mart Sheep 30-39kg",46.74
"262","Sheep Price per Kg (Euro)","1986M11","Mart Sheep 30-39kg",1.3
"263","Sheep Price per Head (Euro)","1986M12","Mart Sheep 30-39kg",50.01
"264","Sheep Price per Kg (Euro)","1986M12","Mart Sheep 30-39kg",1.37
"265","Sheep Price per Head (Euro)","1987M01","Mart Sheep 30-39kg",51.91
"266","Sheep Price per Kg (Euro)","1987M01","Mart Sheep 30-39kg",1.42
"267","Sheep Price per Head (Euro)","1987M02","Mart Sheep 30-39kg",51.93
"268","Sheep Price per Kg (Euro)","1987M02","Mart Sheep 30-39kg",1.47
"269","Sheep Price per Head (Euro)","1987M03","Mart Sheep 30-39kg",55.03
"270","Sheep Price per Kg (Euro)","1987M03","Mart Sheep 30-39kg",1.52
"271","Sheep Price per Head (Euro)","1987M04","Mart Sheep 30-39kg",65.4
"272","Sheep Price per Kg (Euro)","1987M04","Mart Sheep 30-39kg",1.76
"273","Sheep Price per Head (Euro)","1987M05","Mart Sheep 30-39kg",62.93
"274","Sheep Price per Kg (Euro)","1987M05","Mart Sheep 30-39kg",1.68
"275","Sheep Price per Head (Euro)","1987M06","Mart Sheep 30-39kg",52.43
"276","Sheep Price per Kg (Euro)","1987M06","Mart Sheep 30-39kg",1.38
"277","Sheep Price per Head (Euro)","1987M07","Mart Sheep 30-39kg",52.43
"278","Sheep Price per Kg (Euro)","1987M07","Mart Sheep 30-39kg",1.41
"279","Sheep Price per Head (Euro)","1987M08","Mart Sheep 30-39kg",52.17
"280","Sheep Price per Kg (Euro)","1987M08","Mart Sheep 30-39kg",1.43
"281","Sheep Price per Head (Euro)","1987M09","Mart Sheep 30-39kg",51.44
"282","Sheep Price per Kg (Euro)","1987M09","Mart Sheep 30-39kg",1.49
