"","Statistic","Month","Liveweight","value"
"1266","Sheep Price per Kg (Euro)","1993M09","Mart Sheep 40-49kg",1.07
"1267","Sheep Price per Head (Euro)","1993M10","Mart Sheep 40-49kg",46.08
"1268","Sheep Price per Kg (Euro)","1993M10","Mart Sheep 40-49kg",1.03
"1269","Sheep Price per Head (Euro)","1993M11","Mart Sheep 40-49kg",51.79
"1270","Sheep Price per Kg (Euro)","1993M11","Mart Sheep 40-49kg",1.16
"1271","Sheep Price per Head (Euro)","1993M12","Mart Sheep 40-49kg",51.42
"1272","Sheep Price per Kg (Euro)","1993M12","Mart Sheep 40-49kg",1.14
"1273","Sheep Price per Head (Euro)","1994M01","Mart Sheep 40-49kg",56.67
"1274","Sheep Price per Kg (Euro)","1994M01","Mart Sheep 40-49kg",1.26
"1275","Sheep Price per Head (Euro)","1994M02","Mart Sheep 40-49kg",63.12
"1276","Sheep Price per Kg (Euro)","1994M02","Mart Sheep 40-49kg",1.41
"1277","Sheep Price per Head (Euro)","1994M03","Mart Sheep 40-49kg",73.3
"1278","Sheep Price per Kg (Euro)","1994M03","Mart Sheep 40-49kg",1.64
"1279","Sheep Price per Head (Euro)","1994M04","Mart Sheep 40-49kg",78.05
"1280","Sheep Price per Kg (Euro)","1994M04","Mart Sheep 40-49kg",1.79
"1281","Sheep Price per Head (Euro)","1994M05","Mart Sheep 40-49kg",73.09
"1282","Sheep Price per Kg (Euro)","1994M05","Mart Sheep 40-49kg",1.7
"1283","Sheep Price per Head (Euro)","1994M06","Mart Sheep 40-49kg",57
"1284","Sheep Price per Kg (Euro)","1994M06","Mart Sheep 40-49kg",1.3
"1285","Sheep Price per Head (Euro)","1994M07","Mart Sheep 40-49kg",53.15
"1286","Sheep Price per Kg (Euro)","1994M07","Mart Sheep 40-49kg",1.19
"1287","Sheep Price per Head (Euro)","1994M08","Mart Sheep 40-49kg",50.93
"1288","Sheep Price per Kg (Euro)","1994M08","Mart Sheep 40-49kg",1.13
"1289","Sheep Price per Head (Euro)","1994M09","Mart Sheep 40-49kg",49.51
"1290","Sheep Price per Kg (Euro)","1994M09","Mart Sheep 40-49kg",1.1
"1291","Sheep Price per Head (Euro)","1994M10","Mart Sheep 40-49kg",49.33
"1292","Sheep Price per Kg (Euro)","1994M10","Mart Sheep 40-49kg",1.09
"1293","Sheep Price per Head (Euro)","1994M11","Mart Sheep 40-49kg",54.13
"1294","Sheep Price per Kg (Euro)","1994M11","Mart Sheep 40-49kg",1.16
"1295","Sheep Price per Head (Euro)","1994M12","Mart Sheep 40-49kg",62.24
"1296","Sheep Price per Kg (Euro)","1994M12","Mart Sheep 40-49kg",1.54
"1297","Sheep Price per Head (Euro)","1995M01","Mart Sheep 40-49kg",68.71
"1298","Sheep Price per Kg (Euro)","1995M01","Mart Sheep 40-49kg",1.54
"1299","Sheep Price per Head (Euro)","1995M02","Mart Sheep 40-49kg",68.62
"1300","Sheep Price per Kg (Euro)","1995M02","Mart Sheep 40-49kg",1.53
"1301","Sheep Price per Head (Euro)","1995M03","Mart Sheep 40-49kg",68.73
"1302","Sheep Price per Kg (Euro)","1995M03","Mart Sheep 40-49kg",1.5
"1303","Sheep Price per Head (Euro)","1995M04","Mart Sheep 40-49kg",66.96
"1304","Sheep Price per Kg (Euro)","1995M04","Mart Sheep 40-49kg",1.51
"1305","Sheep Price per Head (Euro)","1995M05","Mart Sheep 40-49kg",62.26
"1306","Sheep Price per Kg (Euro)","1995M05","Mart Sheep 40-49kg",1.4
"1307","Sheep Price per Head (Euro)","1995M06","Mart Sheep 40-49kg",54.05
"1308","Sheep Price per Kg (Euro)","1995M06","Mart Sheep 40-49kg",1.21
"1309","Sheep Price per Head (Euro)","1995M07","Mart Sheep 40-49kg",50.13
"1310","Sheep Price per Kg (Euro)","1995M07","Mart Sheep 40-49kg",1.12
"1311","Sheep Price per Head (Euro)","1995M08","Mart Sheep 40-49kg",48.47
"1312","Sheep Price per Kg (Euro)","1995M08","Mart Sheep 40-49kg",1.07
"1313","Sheep Price per Head (Euro)","1995M09","Mart Sheep 40-49kg",49.96
"1314","Sheep Price per Kg (Euro)","1995M09","Mart Sheep 40-49kg",1.11
"1315","Sheep Price per Head (Euro)","1995M10","Mart Sheep 40-49kg",54.6
"1316","Sheep Price per Kg (Euro)","1995M10","Mart Sheep 40-49kg",1.22
"1317","Sheep Price per Head (Euro)","1995M11","Mart Sheep 40-49kg",58.59
"1318","Sheep Price per Kg (Euro)","1995M11","Mart Sheep 40-49kg",1.31
"1319","Sheep Price per Head (Euro)","1995M12","Mart Sheep 40-49kg",59.31
"1320","Sheep Price per Kg (Euro)","1995M12","Mart Sheep 40-49kg",1.33
"1321","Sheep Price per Head (Euro)","1996M01","Mart Sheep 40-49kg",61.94
"1322","Sheep Price per Kg (Euro)","1996M01","Mart Sheep 40-49kg",1.38
"1323","Sheep Price per Head (Euro)","1996M02","Mart Sheep 40-49kg",68.6
"1324","Sheep Price per Kg (Euro)","1996M02","Mart Sheep 40-49kg",1.53
"1325","Sheep Price per Head (Euro)","1996M03","Mart Sheep 40-49kg",76.71
"1326","Sheep Price per Kg (Euro)","1996M03","Mart Sheep 40-49kg",1.71
"1327","Sheep Price per Head (Euro)","1996M04","Mart Sheep 40-49kg",85.65
"1328","Sheep Price per Kg (Euro)","1996M04","Mart Sheep 40-49kg",1.99
"1329","Sheep Price per Head (Euro)","1996M05","Mart Sheep 40-49kg",78.55
"1330","Sheep Price per Kg (Euro)","1996M05","Mart Sheep 40-49kg",1.79
"1331","Sheep Price per Head (Euro)","1996M06","Mart Sheep 40-49kg",67.28
"1332","Sheep Price per Kg (Euro)","1996M06","Mart Sheep 40-49kg",1.54
"1333","Sheep Price per Head (Euro)","1996M07","Mart Sheep 40-49kg",60.5
"1334","Sheep Price per Kg (Euro)","1996M07","Mart Sheep 40-49kg",1.36
"1335","Sheep Price per Head (Euro)","1996M08","Mart Sheep 40-49kg",61.78
"1336","Sheep Price per Kg (Euro)","1996M08","Mart Sheep 40-49kg",1.39
"1337","Sheep Price per Head (Euro)","1996M09","Mart Sheep 40-49kg",66.69
"1338","Sheep Price per Kg (Euro)","1996M09","Mart Sheep 40-49kg",1.49
"1339","Sheep Price per Head (Euro)","1996M10","Mart Sheep 40-49kg",65.86
"1340","Sheep Price per Kg (Euro)","1996M10","Mart Sheep 40-49kg",1.47
"1341","Sheep Price per Head (Euro)","1996M11","Mart Sheep 40-49kg",78.24
"1342","Sheep Price per Kg (Euro)","1996M11","Mart Sheep 40-49kg",1.74
"1343","Sheep Price per Head (Euro)","1996M12","Mart Sheep 40-49kg",81.84
"1344","Sheep Price per Kg (Euro)","1996M12","Mart Sheep 40-49kg",1.83
"1345","Sheep Price per Head (Euro)","1997M01","Mart Sheep 40-49kg",81.96
"1346","Sheep Price per Kg (Euro)","1997M01","Mart Sheep 40-49kg",1.87
"1347","Sheep Price per Head (Euro)","1997M02","Mart Sheep 40-49kg",83.29
"1348","Sheep Price per Kg (Euro)","1997M02","Mart Sheep 40-49kg",1.83
"1349","Sheep Price per Head (Euro)","1997M03","Mart Sheep 40-49kg",84.26
"1350","Sheep Price per Kg (Euro)","1997M03","Mart Sheep 40-49kg",1.88
"1351","Sheep Price per Head (Euro)","1997M04","Mart Sheep 40-49kg",79.08
"1352","Sheep Price per Kg (Euro)","1997M04","Mart Sheep 40-49kg",1.82
"1353","Sheep Price per Head (Euro)","1997M05","Mart Sheep 40-49kg",75.36
"1354","Sheep Price per Kg (Euro)","1997M05","Mart Sheep 40-49kg",1.74
"1355","Sheep Price per Head (Euro)","1997M06","Mart Sheep 40-49kg",75.23
"1356","Sheep Price per Kg (Euro)","1997M06","Mart Sheep 40-49kg",1.7
"1357","Sheep Price per Head (Euro)","1997M07","Mart Sheep 40-49kg",69.39
"1358","Sheep Price per Kg (Euro)","1997M07","Mart Sheep 40-49kg",1.56
"1359","Sheep Price per Head (Euro)","1997M08","Mart Sheep 40-49kg",73.82
"1360","Sheep Price per Kg (Euro)","1997M08","Mart Sheep 40-49kg",1.66
"1361","Sheep Price per Head (Euro)","1997M09","Mart Sheep 40-49kg",73.61
"1362","Sheep Price per Kg (Euro)","1997M09","Mart Sheep 40-49kg",1.64
"1363","Sheep Price per Head (Euro)","1997M10","Mart Sheep 40-49kg",70.46
"1364","Sheep Price per Kg (Euro)","1997M10","Mart Sheep 40-49kg",1.57
"1365","Sheep Price per Head (Euro)","1997M11","Mart Sheep 40-49kg",67.7
"1366","Sheep Price per Kg (Euro)","1997M11","Mart Sheep 40-49kg",1.52
"1367","Sheep Price per Head (Euro)","1997M12","Mart Sheep 40-49kg",64.25
"1368","Sheep Price per Kg (Euro)","1997M12","Mart Sheep 40-49kg",1.42
"1369","Sheep Price per Head (Euro)","1998M01","Mart Sheep 40-49kg",64.44
"1370","Sheep Price per Kg (Euro)","1998M01","Mart Sheep 40-49kg",1.42
"1371","Sheep Price per Head (Euro)","1998M02","Mart Sheep 40-49kg",59.52
"1372","Sheep Price per Kg (Euro)","1998M02","Mart Sheep 40-49kg",1.31
"1373","Sheep Price per Head (Euro)","1998M03","Mart Sheep 40-49kg",61.38
"1374","Sheep Price per Kg (Euro)","1998M03","Mart Sheep 40-49kg",1.36
"1375","Sheep Price per Head (Euro)","1998M04","Mart Sheep 40-49kg",69.81
"1376","Sheep Price per Kg (Euro)","1998M04","Mart Sheep 40-49kg",1.6
"1377","Sheep Price per Head (Euro)","1998M05","Mart Sheep 40-49kg",73.25
"1378","Sheep Price per Kg (Euro)","1998M05","Mart Sheep 40-49kg",1.67
"1379","Sheep Price per Head (Euro)","1998M06","Mart Sheep 40-49kg",73.06
"1380","Sheep Price per Kg (Euro)","1998M06","Mart Sheep 40-49kg",1.69
"1381","Sheep Price per Head (Euro)","1998M07","Mart Sheep 40-49kg",70.29
"1382","Sheep Price per Kg (Euro)","1998M07","Mart Sheep 40-49kg",1.61
"1383","Sheep Price per Head (Euro)","1998M08","Mart Sheep 40-49kg",68.26
"1384","Sheep Price per Kg (Euro)","1998M08","Mart Sheep 40-49kg",1.54
"1385","Sheep Price per Head (Euro)","1998M09","Mart Sheep 40-49kg",59.44
"1386","Sheep Price per Kg (Euro)","1998M09","Mart Sheep 40-49kg",1.35
"1387","Sheep Price per Head (Euro)","1998M10","Mart Sheep 40-49kg",52.99
"1388","Sheep Price per Kg (Euro)","1998M10","Mart Sheep 40-49kg",1.19
"1389","Sheep Price per Head (Euro)","1998M11","Mart Sheep 40-49kg",48.41
"1390","Sheep Price per Kg (Euro)","1998M11","Mart Sheep 40-49kg",1.08
"1391","Sheep Price per Head (Euro)","1998M12","Mart Sheep 40-49kg",47.8
"1392","Sheep Price per Kg (Euro)","1998M12","Mart Sheep 40-49kg",1.07
"1393","Sheep Price per Head (Euro)","1999M01","Mart Sheep 40-49kg",50.04
"1394","Sheep Price per Kg (Euro)","1999M01","Mart Sheep 40-49kg",1.12
"1395","Sheep Price per Head (Euro)","1999M02","Mart Sheep 40-49kg",55.54
"1396","Sheep Price per Kg (Euro)","1999M02","Mart Sheep 40-49kg",1.25
"1397","Sheep Price per Head (Euro)","1999M03","Mart Sheep 40-49kg",62.66
"1398","Sheep Price per Kg (Euro)","1999M03","Mart Sheep 40-49kg",1.41
"1399","Sheep Price per Head (Euro)","1999M04","Mart Sheep 40-49kg",63.64
"1400","Sheep Price per Kg (Euro)","1999M04","Mart Sheep 40-49kg",1.46
"1401","Sheep Price per Head (Euro)","1999M05","Mart Sheep 40-49kg",70.82
"1402","Sheep Price per Kg (Euro)","1999M05","Mart Sheep 40-49kg",1.62
"1403","Sheep Price per Head (Euro)","1999M06","Mart Sheep 40-49kg",64.86
"1404","Sheep Price per Kg (Euro)","1999M06","Mart Sheep 40-49kg",1.52
"1405","Sheep Price per Head (Euro)","1999M07","Mart Sheep 40-49kg",58.22
"1406","Sheep Price per Kg (Euro)","1999M07","Mart Sheep 40-49kg",1.31
"1407","Sheep Price per Head (Euro)","1999M08","Mart Sheep 40-49kg",54.02
"1408","Sheep Price per Kg (Euro)","1999M08","Mart Sheep 40-49kg",1.2
"1409","Sheep Price per Head (Euro)","1999M09","Mart Sheep 40-49kg",51.88
"1410","Sheep Price per Kg (Euro)","1999M09","Mart Sheep 40-49kg",1.14
"1411","Sheep Price per Head (Euro)","1999M10","Mart Sheep 40-49kg",49.19
"1412","Sheep Price per Kg (Euro)","1999M10","Mart Sheep 40-49kg",1.09
"1413","Sheep Price per Head (Euro)","1999M11","Mart Sheep 40-49kg",52.64
"1414","Sheep Price per Kg (Euro)","1999M11","Mart Sheep 40-49kg",1.18
"1415","Sheep Price per Head (Euro)","1999M12","Mart Sheep 40-49kg",53.27
"1416","Sheep Price per Kg (Euro)","1999M12","Mart Sheep 40-49kg",1.19
"1417","Sheep Price per Head (Euro)","2000M01","Mart Sheep 40-49kg",64.63
"1418","Sheep Price per Kg (Euro)","2000M01","Mart Sheep 40-49kg",1.43
"1419","Sheep Price per Head (Euro)","2000M02","Mart Sheep 40-49kg",74.14
"1420","Sheep Price per Kg (Euro)","2000M02","Mart Sheep 40-49kg",1.65
"1421","Sheep Price per Head (Euro)","2000M03","Mart Sheep 40-49kg",77.3
"1422","Sheep Price per Kg (Euro)","2000M03","Mart Sheep 40-49kg",1.7
"1423","Sheep Price per Head (Euro)","2000M04","Mart Sheep 40-49kg",79.17
"1424","Sheep Price per Kg (Euro)","2000M04","Mart Sheep 40-49kg",1.81
"1425","Sheep Price per Head (Euro)","2000M05","Mart Sheep 40-49kg",67.93
"1426","Sheep Price per Kg (Euro)","2000M05","Mart Sheep 40-49kg",1.54
"1427","Sheep Price per Head (Euro)","2000M06","Mart Sheep 40-49kg",60.91
"1428","Sheep Price per Kg (Euro)","2000M06","Mart Sheep 40-49kg",1.38
"1429","Sheep Price per Head (Euro)","2000M07","Mart Sheep 40-49kg",57.57
"1430","Sheep Price per Kg (Euro)","2000M07","Mart Sheep 40-49kg",1.29
"1431","Sheep Price per Head (Euro)","2000M08","Mart Sheep 40-49kg",58.76
"1432","Sheep Price per Kg (Euro)","2000M08","Mart Sheep 40-49kg",1.32
"1433","Sheep Price per Head (Euro)","2000M09","Mart Sheep 40-49kg",59.43
"1434","Sheep Price per Kg (Euro)","2000M09","Mart Sheep 40-49kg",1.33
"1435","Sheep Price per Head (Euro)","2000M10","Mart Sheep 40-49kg",59.49
"1436","Sheep Price per Kg (Euro)","2000M10","Mart Sheep 40-49kg",1.32
"1437","Sheep Price per Head (Euro)","2000M11","Mart Sheep 40-49kg",63.86
"1438","Sheep Price per Kg (Euro)","2000M11","Mart Sheep 40-49kg",1.41
"1439","Sheep Price per Head (Euro)","2000M12","Mart Sheep 40-49kg",67.46
"1440","Sheep Price per Kg (Euro)","2000M12","Mart Sheep 40-49kg",1.49
"1441","Sheep Price per Head (Euro)","2001M01","Mart Sheep 40-49kg",79.93
"1442","Sheep Price per Kg (Euro)","2001M01","Mart Sheep 40-49kg",1.76
"1443","Sheep Price per Head (Euro)","2001M02","Mart Sheep 40-49kg",85.66
"1444","Sheep Price per Kg (Euro)","2001M02","Mart Sheep 40-49kg",1.89
"1445","Sheep Price per Head (Euro)","2001M03","Mart Sheep 40-49kg",NA
"1446","Sheep Price per Kg (Euro)","2001M03","Mart Sheep 40-49kg",NA
"1447","Sheep Price per Head (Euro)","2001M04","Mart Sheep 40-49kg",NA
"1448","Sheep Price per Kg (Euro)","2001M04","Mart Sheep 40-49kg",NA
"1449","Sheep Price per Head (Euro)","2001M05","Mart Sheep 40-49kg",NA
"1450","Sheep Price per Kg (Euro)","2001M05","Mart Sheep 40-49kg",NA
"1451","Sheep Price per Head (Euro)","2001M06","Mart Sheep 40-49kg",NA
"1452","Sheep Price per Kg (Euro)","2001M06","Mart Sheep 40-49kg",NA
"1453","Sheep Price per Head (Euro)","2001M07","Mart Sheep 40-49kg",NA
"1454","Sheep Price per Kg (Euro)","2001M07","Mart Sheep 40-49kg",NA
"1455","Sheep Price per Head (Euro)","2001M08","Mart Sheep 40-49kg",84.53
"1456","Sheep Price per Kg (Euro)","2001M08","Mart Sheep 40-49kg",1.91
"1457","Sheep Price per Head (Euro)","2001M09","Mart Sheep 40-49kg",85.24
"1458","Sheep Price per Kg (Euro)","2001M09","Mart Sheep 40-49kg",1.92
"1459","Sheep Price per Head (Euro)","2001M10","Mart Sheep 40-49kg",88.23
"1460","Sheep Price per Kg (Euro)","2001M10","Mart Sheep 40-49kg",1.97
"1461","Sheep Price per Head (Euro)","2001M11","Mart Sheep 40-49kg",98.08
"1462","Sheep Price per Kg (Euro)","2001M11","Mart Sheep 40-49kg",2.18
"1463","Sheep Price per Head (Euro)","2001M12","Mart Sheep 40-49kg",105.64
"1464","Sheep Price per Kg (Euro)","2001M12","Mart Sheep 40-49kg",2.34
"1465","Sheep Price per Head (Euro)","2002M01","Mart Sheep 40-49kg",107.8
"1466","Sheep Price per Kg (Euro)","2002M01","Mart Sheep 40-49kg",2.37
"1467","Sheep Price per Head (Euro)","2002M02","Mart Sheep 40-49kg",91.33
"1468","Sheep Price per Kg (Euro)","2002M02","Mart Sheep 40-49kg",2.01
"1469","Sheep Price per Head (Euro)","2002M03","Mart Sheep 40-49kg",91.06
"1470","Sheep Price per Kg (Euro)","2002M03","Mart Sheep 40-49kg",2
"1471","Sheep Price per Head (Euro)","2002M04","Mart Sheep 40-49kg",87.9
"1472","Sheep Price per Kg (Euro)","2002M04","Mart Sheep 40-49kg",2.02
"1473","Sheep Price per Head (Euro)","2002M05","Mart Sheep 40-49kg",87.17
"1474","Sheep Price per Kg (Euro)","2002M05","Mart Sheep 40-49kg",1.97
"1475","Sheep Price per Head (Euro)","2002M06","Mart Sheep 40-49kg",79.16
"1476","Sheep Price per Kg (Euro)","2002M06","Mart Sheep 40-49kg",1.77
"1477","Sheep Price per Head (Euro)","2002M07","Mart Sheep 40-49kg",67.1
"1478","Sheep Price per Kg (Euro)","2002M07","Mart Sheep 40-49kg",1.49
"1479","Sheep Price per Head (Euro)","2002M08","Mart Sheep 40-49kg",71.02
"1480","Sheep Price per Kg (Euro)","2002M08","Mart Sheep 40-49kg",1.6
"1481","Sheep Price per Head (Euro)","2002M09","Mart Sheep 40-49kg",70.97
"1482","Sheep Price per Kg (Euro)","2002M09","Mart Sheep 40-49kg",1.59
"1483","Sheep Price per Head (Euro)","2002M10","Mart Sheep 40-49kg",70.86
"1484","Sheep Price per Kg (Euro)","2002M10","Mart Sheep 40-49kg",1.58
"1485","Sheep Price per Head (Euro)","2002M11","Mart Sheep 40-49kg",71.87
"1486","Sheep Price per Kg (Euro)","2002M11","Mart Sheep 40-49kg",1.6
"1487","Sheep Price per Head (Euro)","2002M12","Mart Sheep 40-49kg",73.28
"1488","Sheep Price per Kg (Euro)","2002M12","Mart Sheep 40-49kg",1.62
"1489","Sheep Price per Head (Euro)","2003M01","Mart Sheep 40-49kg",79.94
"1490","Sheep Price per Kg (Euro)","2003M01","Mart Sheep 40-49kg",1.76
"1491","Sheep Price per Head (Euro)","2003M02","Mart Sheep 40-49kg",78.86
"1492","Sheep Price per Kg (Euro)","2003M02","Mart Sheep 40-49kg",1.73
"1493","Sheep Price per Head (Euro)","2003M03","Mart Sheep 40-49kg",81.53
"1494","Sheep Price per Kg (Euro)","2003M03","Mart Sheep 40-49kg",1.79
"1495","Sheep Price per Head (Euro)","2003M04","Mart Sheep 40-49kg",95.27
"1496","Sheep Price per Kg (Euro)","2003M04","Mart Sheep 40-49kg",2.18
"1497","Sheep Price per Head (Euro)","2003M05","Mart Sheep 40-49kg",95.79
"1498","Sheep Price per Kg (Euro)","2003M05","Mart Sheep 40-49kg",2.19
"1499","Sheep Price per Head (Euro)","2003M06","Mart Sheep 40-49kg",80.66
"1500","Sheep Price per Kg (Euro)","2003M06","Mart Sheep 40-49kg",1.82
"1501","Sheep Price per Head (Euro)","2003M07","Mart Sheep 40-49kg",71.45
"1502","Sheep Price per Kg (Euro)","2003M07","Mart Sheep 40-49kg",1.61
"1503","Sheep Price per Head (Euro)","2003M08","Mart Sheep 40-49kg",71.32
"1504","Sheep Price per Kg (Euro)","2003M08","Mart Sheep 40-49kg",1.6
"1505","Sheep Price per Head (Euro)","2003M09","Mart Sheep 40-49kg",69.39
"1506","Sheep Price per Kg (Euro)","2003M09","Mart Sheep 40-49kg",1.54
"1507","Sheep Price per Head (Euro)","2003M10","Mart Sheep 40-49kg",69.44
"1508","Sheep Price per Kg (Euro)","2003M10","Mart Sheep 40-49kg",1.54
"1509","Sheep Price per Head (Euro)","2003M11","Mart Sheep 40-49kg",68.93
"1510","Sheep Price per Kg (Euro)","2003M11","Mart Sheep 40-49kg",1.53
"1511","Sheep Price per Head (Euro)","2003M12","Mart Sheep 40-49kg",69.48
"1512","Sheep Price per Kg (Euro)","2003M12","Mart Sheep 40-49kg",1.53
"1513","Sheep Price per Head (Euro)","2004M01","Mart Sheep 40-49kg",75.5
"1514","Sheep Price per Kg (Euro)","2004M01","Mart Sheep 40-49kg",1.66
"1515","Sheep Price per Head (Euro)","2004M02","Mart Sheep 40-49kg",83.48
"1516","Sheep Price per Kg (Euro)","2004M02","Mart Sheep 40-49kg",1.83
"1517","Sheep Price per Head (Euro)","2004M03","Mart Sheep 40-49kg",86.37
"1518","Sheep Price per Kg (Euro)","2004M03","Mart Sheep 40-49kg",1.89
"1519","Sheep Price per Head (Euro)","2004M04","Mart Sheep 40-49kg",96.07
"1520","Sheep Price per Kg (Euro)","2004M04","Mart Sheep 40-49kg",2.18
"1521","Sheep Price per Head (Euro)","2004M05","Mart Sheep 40-49kg",84.98
"1522","Sheep Price per Kg (Euro)","2004M05","Mart Sheep 40-49kg",1.92
"1523","Sheep Price per Head (Euro)","2004M06","Mart Sheep 40-49kg",75.82
"1524","Sheep Price per Kg (Euro)","2004M06","Mart Sheep 40-49kg",1.69
"1525","Sheep Price per Head (Euro)","2004M07","Mart Sheep 40-49kg",72.8
"1526","Sheep Price per Kg (Euro)","2004M07","Mart Sheep 40-49kg",1.62
"1527","Sheep Price per Head (Euro)","2004M08","Mart Sheep 40-49kg",69
"1528","Sheep Price per Kg (Euro)","2004M08","Mart Sheep 40-49kg",1.54
"1529","Sheep Price per Head (Euro)","2004M09","Mart Sheep 40-49kg",69.61
"1530","Sheep Price per Kg (Euro)","2004M09","Mart Sheep 40-49kg",1.55
"1531","Sheep Price per Head (Euro)","2004M10","Mart Sheep 40-49kg",66.56
"1532","Sheep Price per Kg (Euro)","2004M10","Mart Sheep 40-49kg",1.48
"1533","Sheep Price per Head (Euro)","2004M11","Mart Sheep 40-49kg",69.98
"1534","Sheep Price per Kg (Euro)","2004M11","Mart Sheep 40-49kg",1.55
"1535","Sheep Price per Head (Euro)","2004M12","Mart Sheep 40-49kg",71.26
"1536","Sheep Price per Kg (Euro)","2004M12","Mart Sheep 40-49kg",1.57
"1537","Sheep Price per Head (Euro)","2005M01","Mart Sheep 40-49kg",77.74
"1538","Sheep Price per Kg (Euro)","2005M01","Mart Sheep 40-49kg",1.7
"1539","Sheep Price per Head (Euro)","2005M02","Mart Sheep 40-49kg",75.39
"1540","Sheep Price per Kg (Euro)","2005M02","Mart Sheep 40-49kg",1.64
"1541","Sheep Price per Head (Euro)","2005M03","Mart Sheep 40-49kg",80.1
"1542","Sheep Price per Kg (Euro)","2005M03","Mart Sheep 40-49kg",1.76
"1543","Sheep Price per Head (Euro)","2005M04","Mart Sheep 40-49kg",86.8
"1544","Sheep Price per Kg (Euro)","2005M04","Mart Sheep 40-49kg",1.96
"1545","Sheep Price per Head (Euro)","2005M05","Mart Sheep 40-49kg",79.78
"1546","Sheep Price per Kg (Euro)","2005M05","Mart Sheep 40-49kg",1.78
"1547","Sheep Price per Head (Euro)","2005M06","Mart Sheep 40-49kg",76.91
"1548","Sheep Price per Kg (Euro)","2005M06","Mart Sheep 40-49kg",1.7
"1549","Sheep Price per Head (Euro)","2005M07","Mart Sheep 40-49kg",66
"1550","Sheep Price per Kg (Euro)","2005M07","Mart Sheep 40-49kg",1.46
"1551","Sheep Price per Head (Euro)","2005M08","Mart Sheep 40-49kg",65.75
"1552","Sheep Price per Kg (Euro)","2005M08","Mart Sheep 40-49kg",1.46
"1553","Sheep Price per Head (Euro)","2005M09","Mart Sheep 40-49kg",63.81
"1554","Sheep Price per Kg (Euro)","2005M09","Mart Sheep 40-49kg",1.41
"1555","Sheep Price per Head (Euro)","2005M10","Mart Sheep 40-49kg",63.81
"1556","Sheep Price per Kg (Euro)","2005M10","Mart Sheep 40-49kg",1.41
"1557","Sheep Price per Head (Euro)","2005M11","Mart Sheep 40-49kg",65.84
"1558","Sheep Price per Kg (Euro)","2005M11","Mart Sheep 40-49kg",1.45
"1559","Sheep Price per Head (Euro)","2005M12","Mart Sheep 40-49kg",67.26
"1560","Sheep Price per Kg (Euro)","2005M12","Mart Sheep 40-49kg",1.48
"1561","Sheep Price per Head (Euro)","2006M01","Mart Sheep 40-49kg",69.5
"1562","Sheep Price per Kg (Euro)","2006M01","Mart Sheep 40-49kg",1.52
"1563","Sheep Price per Head (Euro)","2006M02","Mart Sheep 40-49kg",71.13
"1564","Sheep Price per Kg (Euro)","2006M02","Mart Sheep 40-49kg",1.56
"1565","Sheep Price per Head (Euro)","2006M03","Mart Sheep 40-49kg",76.13
"1566","Sheep Price per Kg (Euro)","2006M03","Mart Sheep 40-49kg",1.65
"1567","Sheep Price per Head (Euro)","2006M04","Mart Sheep 40-49kg",87.72
"1568","Sheep Price per Kg (Euro)","2006M04","Mart Sheep 40-49kg",1.96
"1569","Sheep Price per Head (Euro)","2006M05","Mart Sheep 40-49kg",83.76
"1570","Sheep Price per Kg (Euro)","2006M05","Mart Sheep 40-49kg",1.89
"1571","Sheep Price per Head (Euro)","2006M06","Mart Sheep 40-49kg",81.41
"1572","Sheep Price per Kg (Euro)","2006M06","Mart Sheep 40-49kg",1.81
"1573","Sheep Price per Head (Euro)","2006M07","Mart Sheep 40-49kg",69.12
"1574","Sheep Price per Kg (Euro)","2006M07","Mart Sheep 40-49kg",1.52
"1575","Sheep Price per Head (Euro)","2006M08","Mart Sheep 40-49kg",67.54
"1576","Sheep Price per Kg (Euro)","2006M08","Mart Sheep 40-49kg",1.49
"1577","Sheep Price per Head (Euro)","2006M09","Mart Sheep 40-49kg",68.24
"1578","Sheep Price per Kg (Euro)","2006M09","Mart Sheep 40-49kg",1.51
"1579","Sheep Price per Head (Euro)","2006M10","Mart Sheep 40-49kg",70.35
"1580","Sheep Price per Kg (Euro)","2006M10","Mart Sheep 40-49kg",1.55
"1581","Sheep Price per Head (Euro)","2006M11","Mart Sheep 40-49kg",68.01
"1582","Sheep Price per Kg (Euro)","2006M11","Mart Sheep 40-49kg",1.5
"1583","Sheep Price per Head (Euro)","2006M12","Mart Sheep 40-49kg",68.95
"1584","Sheep Price per Kg (Euro)","2006M12","Mart Sheep 40-49kg",1.52
"1585","Sheep Price per Head (Euro)","2007M01","Mart Sheep 40-49kg",73.35
"1586","Sheep Price per Kg (Euro)","2007M01","Mart Sheep 40-49kg",1.61
"1587","Sheep Price per Head (Euro)","2007M02","Mart Sheep 40-49kg",79.6
"1588","Sheep Price per Kg (Euro)","2007M02","Mart Sheep 40-49kg",1.72
"1589","Sheep Price per Head (Euro)","2007M03","Mart Sheep 40-49kg",82.83
"1590","Sheep Price per Kg (Euro)","2007M03","Mart Sheep 40-49kg",1.79
"1591","Sheep Price per Head (Euro)","2007M04","Mart Sheep 40-49kg",87.56
"1592","Sheep Price per Kg (Euro)","2007M04","Mart Sheep 40-49kg",1.99
"1593","Sheep Price per Head (Euro)","2007M05","Mart Sheep 40-49kg",78.58
"1594","Sheep Price per Kg (Euro)","2007M05","Mart Sheep 40-49kg",1.74
