"","Year","Type.of.Fertiliser","value"
"104","1981","Muriate of Potash (50% K)",135
"105","1982","Muriate of Potash (50% K)",148
"106","1983","Muriate of Potash (50% K)",152
"107","1984","Muriate of Potash (50% K)",171
"108","1985","Muriate of Potash (50% K)",194
"109","1986","Muriate of Potash (50% K)",193
"110","1987","Muriate of Potash (50% K)",NA
"111","1988","Muriate of Potash (50% K)",NA
"112","1989","Muriate of Potash (50% K)",NA
"113","1990","Muriate of Potash (50% K)",193
"114","1991","Muriate of Potash (50% K)",194
"115","1992","Muriate of Potash (50% K)",191
"116","1993","Muriate of Potash (50% K)",187
"117","1994","Muriate of Potash (50% K)",195
"118","1995","Muriate of Potash (50% K)",206
"119","1996","Muriate of Potash (50% K)",214
"120","1997","Muriate of Potash (50% K)",211
"121","1998","Muriate of Potash (50% K)",209
"122","1999","Muriate of Potash (50% K)",209
"123","2000","Muriate of Potash (50% K)",217
"124","2001","Muriate of Potash (50% K)",225
"125","2002","Muriate of Potash (50% K)",222
"126","2003","Muriate of Potash (50% K)",232
"127","2004","Muriate of Potash (50% K)",231
"128","2005","Muriate of Potash (50% K)",230
"129","2006","Muriate of Potash (50% K)",247
"130","2007","Muriate of Potash (50% K)",259
"131","2008","Muriate of Potash (50% K)",453
"132","2009","Muriate of Potash (50% K)",642
"133","2010","Muriate of Potash (50% K)",448
"134","2011","Muriate of Potash (50% K)",460
"135","2012","Muriate of Potash (50% K)",460
"136","2013","Muriate of Potash (50% K)",454
"137","1980","Compound 0-10-20",138
"138","1981","Compound 0-10-20",162
"139","1982","Compound 0-10-20",168
"140","1983","Compound 0-10-20",168
"141","1984","Compound 0-10-20",189
"142","1985","Compound 0-10-20",203
"143","1986","Compound 0-10-20",179
"144","1987","Compound 0-10-20",149
"145","1988","Compound 0-10-20",163
"146","1989","Compound 0-10-20",177
"147","1990","Compound 0-10-20",174
"148","1991","Compound 0-10-20",165
"149","1992","Compound 0-10-20",165
"150","1993","Compound 0-10-20",153
"151","1994","Compound 0-10-20",162
"152","1995","Compound 0-10-20",173
"153","1996","Compound 0-10-20",181
"154","1997","Compound 0-10-20",173
"155","1998","Compound 0-10-20",170
"156","1999","Compound 0-10-20",187
"157","2000","Compound 0-10-20",192
"158","2001","Compound 0-10-20",204
"159","2002","Compound 0-10-20",201
"160","2003","Compound 0-10-20",206
"161","2004","Compound 0-10-20",208
"162","2005","Compound 0-10-20",214
"163","2006","Compound 0-10-20",226
"164","2007","Compound 0-10-20",238
"165","2008","Compound 0-10-20",418
"166","2009","Compound 0-10-20",489
"167","2010","Compound 0-10-20",368
"168","2011","Compound 0-10-20",425
"169","2012","Compound 0-10-20",453
"170","2013","Compound 0-10-20",447
"171","1980","Compound 0-7-30",135
