"","Year","Type.of.Feedstuff","value"
"651","1980","Dairy meal (16-18% protein)",187
"652","1981","Dairy meal (16-18% protein)",200
"653","1982","Dairy meal (16-18% protein)",214
"654","1983","Dairy meal (16-18% protein)",235
"655","1984","Dairy meal (16-18% protein)",256
"656","1985","Dairy meal (16-18% protein)",232
"657","1986","Dairy meal (16-18% protein)",222
"658","1987","Dairy meal (16-18% protein)",215
"659","1988","Dairy meal (16-18% protein)",216
"660","1989","Dairy meal (16-18% protein)",228
"661","1990","Dairy meal (16-18% protein)",225
"662","1991","Dairy meal (16-18% protein)",214
"663","1992","Dairy meal (16-18% protein)",219
"664","1993","Dairy meal (16-18% protein)",218
"665","1994","Dairy meal (16-18% protein)",219
"666","1995","Dairy meal (16-18% protein)",217
"667","1996","Dairy meal (16-18% protein)",228
"668","1997","Dairy meal (16-18% protein)",219
"669","1998","Dairy meal (16-18% protein)",202
"670","1999","Dairy meal (16-18% protein)",190
"671","2000","Dairy meal (16-18% protein)",195
"672","2001","Dairy meal (16-18% protein)",209
"673","2002","Dairy meal (16-18% protein)",213
"674","2003","Dairy meal (16-18% protein)",209
"675","2004","Dairy meal (16-18% protein)",214
"676","2005","Dairy meal (16-18% protein)",208
"677","2006","Dairy meal (16-18% protein)",212
"678","2007","Dairy meal (16-18% protein)",245
"679","2008","Dairy meal (16-18% protein)",285
"680","2009","Dairy meal (16-18% protein)",262
"681","2010","Dairy meal (16-18% protein)",247
"682","2011","Dairy meal (16-18% protein)",284
"683","2012","Dairy meal (16-18% protein)",297
"684","2013","Dairy meal (16-18% protein)",328
"685","1976","Dairy nuts and cubes (13-15% protein)",NA
"686","1977","Dairy nuts and cubes (13-15% protein)",NA
"687","1978","Dairy nuts and cubes (13-15% protein)",NA
"688","1979","Dairy nuts and cubes (13-15% protein)",NA
"689","1980","Dairy nuts and cubes (13-15% protein)",183
"690","1981","Dairy nuts and cubes (13-15% protein)",197
"691","1982","Dairy nuts and cubes (13-15% protein)",212
"692","1983","Dairy nuts and cubes (13-15% protein)",228
"693","1984","Dairy nuts and cubes (13-15% protein)",245
"694","1985","Dairy nuts and cubes (13-15% protein)",221
"695","1986","Dairy nuts and cubes (13-15% protein)",213
"696","1987","Dairy nuts and cubes (13-15% protein)",208
"697","1988","Dairy nuts and cubes (13-15% protein)",205
"698","1989","Dairy nuts and cubes (13-15% protein)",218
"699","1990","Dairy nuts and cubes (13-15% protein)",210
"700","1991","Dairy nuts and cubes (13-15% protein)",203
"701","1992","Dairy nuts and cubes (13-15% protein)",212
"702","1993","Dairy nuts and cubes (13-15% protein)",209
"703","1994","Dairy nuts and cubes (13-15% protein)",212
"704","1995","Dairy nuts and cubes (13-15% protein)",204
"705","1996","Dairy nuts and cubes (13-15% protein)",219
"706","1997","Dairy nuts and cubes (13-15% protein)",210
"707","1998","Dairy nuts and cubes (13-15% protein)",197
"708","1999","Dairy nuts and cubes (13-15% protein)",184
"709","2000","Dairy nuts and cubes (13-15% protein)",188
"710","2001","Dairy nuts and cubes (13-15% protein)",194
"711","2002","Dairy nuts and cubes (13-15% protein)",190
"712","2003","Dairy nuts and cubes (13-15% protein)",189
"713","2004","Dairy nuts and cubes (13-15% protein)",195
"714","2005","Dairy nuts and cubes (13-15% protein)",191
"715","2006","Dairy nuts and cubes (13-15% protein)",203
"716","2007","Dairy nuts and cubes (13-15% protein)",245
"717","2008","Dairy nuts and cubes (13-15% protein)",288
"718","2009","Dairy nuts and cubes (13-15% protein)",257
"719","2010","Dairy nuts and cubes (13-15% protein)",NA
"720","2011","Dairy nuts and cubes (13-15% protein)",NA
"721","2012","Dairy nuts and cubes (13-15% protein)",NA
"722","2013","Dairy nuts and cubes (13-15% protein)",NA
"723","1976","Dairy meal (13-15% protein)",NA
"724","1977","Dairy meal (13-15% protein)",NA
"725","1978","Dairy meal (13-15% protein)",NA
"726","1979","Dairy meal (13-15% protein)",NA
"727","1980","Dairy meal (13-15% protein)",180
"728","1981","Dairy meal (13-15% protein)",195
"729","1982","Dairy meal (13-15% protein)",210
"730","1983","Dairy meal (13-15% protein)",229
"731","1984","Dairy meal (13-15% protein)",247
"732","1985","Dairy meal (13-15% protein)",228
"733","1986","Dairy meal (13-15% protein)",222
"734","1987","Dairy meal (13-15% protein)",220
"735","1988","Dairy meal (13-15% protein)",223
"736","1989","Dairy meal (13-15% protein)",NA
"737","1990","Dairy meal (13-15% protein)",NA
"738","1991","Dairy meal (13-15% protein)",NA
"739","1992","Dairy meal (13-15% protein)",NA
"740","1993","Dairy meal (13-15% protein)",0
"741","1994","Dairy meal (13-15% protein)",0
"742","1995","Dairy meal (13-15% protein)",0
"743","1996","Dairy meal (13-15% protein)",0
"744","1997","Dairy meal (13-15% protein)",NA
"745","1998","Dairy meal (13-15% protein)",NA
"746","1999","Dairy meal (13-15% protein)",NA
"747","2000","Dairy meal (13-15% protein)",NA
"748","2001","Dairy meal (13-15% protein)",NA
"749","2002","Dairy meal (13-15% protein)",NA
"750","2003","Dairy meal (13-15% protein)",NA
"751","2004","Dairy meal (13-15% protein)",NA
"752","2005","Dairy meal (13-15% protein)",NA
"753","2006","Dairy meal (13-15% protein)",NA
"754","2007","Dairy meal (13-15% protein)",NA
"755","2008","Dairy meal (13-15% protein)",NA
"756","2009","Dairy meal (13-15% protein)",NA
"757","2010","Dairy meal (13-15% protein)",NA
"758","2011","Dairy meal (13-15% protein)",NA
"759","2012","Dairy meal (13-15% protein)",NA
"760","2013","Dairy meal (13-15% protein)",NA
"761","1976","Chick mash (18-20% protein)",154
"762","1977","Chick mash (18-20% protein)",204
"763","1978","Chick mash (18-20% protein)",208
"764","1979","Chick mash (18-20% protein)",214
"765","1980","Chick mash (18-20% protein)",226
"766","1981","Chick mash (18-20% protein)",258
"767","1982","Chick mash (18-20% protein)",280
"768","1983","Chick mash (18-20% protein)",306
"769","1984","Chick mash (18-20% protein)",324
"770","1985","Chick mash (18-20% protein)",307
"771","1986","Chick mash (18-20% protein)",304
"772","1987","Chick mash (18-20% protein)",301
"773","1988","Chick mash (18-20% protein)",308
"774","1989","Chick mash (18-20% protein)",322
"775","1990","Chick mash (18-20% protein)",315
"776","1991","Chick mash (18-20% protein)",307
"777","1992","Chick mash (18-20% protein)",308
"778","1993","Chick mash (18-20% protein)",308
"779","1994","Chick mash (18-20% protein)",306
"780","1995","Chick mash (18-20% protein)",291
"781","1996","Chick mash (18-20% protein)",301
"782","1997","Chick mash (18-20% protein)",303
"783","1998","Chick mash (18-20% protein)",298
"784","1999","Chick mash (18-20% protein)",285
"785","2000","Chick mash (18-20% protein)",292
"786","2001","Chick mash (18-20% protein)",314
"787","2002","Chick mash (18-20% protein)",319
"788","2003","Chick mash (18-20% protein)",329
"789","2004","Chick mash (18-20% protein)",342
"790","2005","Chick mash (18-20% protein)",330
"791","2006","Chick mash (18-20% protein)",338
"792","2007","Chick mash (18-20% protein)",385
"793","2008","Chick mash (18-20% protein)",417
"794","2009","Chick mash (18-20% protein)",412
"795","2010","Chick mash (18-20% protein)",NA
"796","2011","Chick mash (18-20% protein)",NA
"797","2012","Chick mash (18-20% protein)",NA
"798","2013","Chick mash (18-20% protein)",NA
"799","1976","Layers' mash (14-16% protein)",141
"800","1977","Layers' mash (14-16% protein)",180
"801","1978","Layers' mash (14-16% protein)",183
"802","1979","Layers' mash (14-16% protein)",197
"803","1980","Layers' mash (14-16% protein)",207
"804","1981","Layers' mash (14-16% protein)",230
"805","1982","Layers' mash (14-16% protein)",248
"806","1983","Layers' mash (14-16% protein)",274
"807","1984","Layers' mash (14-16% protein)",291
"808","1985","Layers' mash (14-16% protein)",275
"809","1986","Layers' mash (14-16% protein)",268
"810","1987","Layers' mash (14-16% protein)",267
"811","1988","Layers' mash (14-16% protein)",272
"812","1989","Layers' mash (14-16% protein)",285
"813","1990","Layers' mash (14-16% protein)",275
"814","1991","Layers' mash (14-16% protein)",264
"815","1992","Layers' mash (14-16% protein)",260
"816","1993","Layers' mash (14-16% protein)",263
"817","1994","Layers' mash (14-16% protein)",263
"818","1995","Layers' mash (14-16% protein)",257
"819","1996","Layers' mash (14-16% protein)",267
"820","1997","Layers' mash (14-16% protein)",261
"821","1998","Layers' mash (14-16% protein)",260
"822","1999","Layers' mash (14-16% protein)",266
"823","2000","Layers' mash (14-16% protein)",276
"824","2001","Layers' mash (14-16% protein)",283
"825","2002","Layers' mash (14-16% protein)",288
"826","2003","Layers' mash (14-16% protein)",289
"827","2004","Layers' mash (14-16% protein)",301
"828","2005","Layers' mash (14-16% protein)",296
"829","2006","Layers' mash (14-16% protein)",298
"830","2007","Layers' mash (14-16% protein)",326
"831","2008","Layers' mash (14-16% protein)",367
"832","2009","Layers' mash (14-16% protein)",345
"833","2010","Layers' mash (14-16% protein)",320
"834","2011","Layers' mash (14-16% protein)",361
"835","2012","Layers' mash (14-16% protein)",387
"836","2013","Layers' mash (14-16% protein)",423
"837","1976","Broiler starter (22-24% protein)",NA
"838","1977","Broiler starter (22-24% protein)",NA
"839","1978","Broiler starter (22-24% protein)",NA
"840","1979","Broiler starter (22-24% protein)",NA
"841","1980","Broiler starter (22-24% protein)",NA
"842","1981","Broiler starter (22-24% protein)",296
"843","1982","Broiler starter (22-24% protein)",323
"844","1983","Broiler starter (22-24% protein)",354
"845","1984","Broiler starter (22-24% protein)",377
"846","1985","Broiler starter (22-24% protein)",366
"847","1986","Broiler starter (22-24% protein)",360
"848","1987","Broiler starter (22-24% protein)",352
"849","1988","Broiler starter (22-24% protein)",357
"850","1989","Broiler starter (22-24% protein)",367
"851","1990","Broiler starter (22-24% protein)",357
"852","1991","Broiler starter (22-24% protein)",352
"853","1992","Broiler starter (22-24% protein)",349
"854","1993","Broiler starter (22-24% protein)",347
"855","1994","Broiler starter (22-24% protein)",344
"856","1995","Broiler starter (22-24% protein)",324
"857","1996","Broiler starter (22-24% protein)",340
"858","1997","Broiler starter (22-24% protein)",336
"859","1998","Broiler starter (22-24% protein)",333
"860","1999","Broiler starter (22-24% protein)",325
"861","2000","Broiler starter (22-24% protein)",326
"862","2001","Broiler starter (22-24% protein)",343
"863","2002","Broiler starter (22-24% protein)",349
"864","2003","Broiler starter (22-24% protein)",348
"865","2004","Broiler starter (22-24% protein)",360
"866","2005","Broiler starter (22-24% protein)",349
"867","2006","Broiler starter (22-24% protein)",348
"868","2007","Broiler starter (22-24% protein)",385
"869","2008","Broiler starter (22-24% protein)",429
"870","2009","Broiler starter (22-24% protein)",421
"871","2010","Broiler starter (22-24% protein)",408
"872","2011","Broiler starter (22-24% protein)",456
"873","2012","Broiler starter (22-24% protein)",464
"874","2013","Broiler starter (22-24% protein)",516
"875","1976","Broiler finisher (19-21% protein)",NA
"876","1977","Broiler finisher (19-21% protein)",NA
"877","1978","Broiler finisher (19-21% protein)",NA
"878","1979","Broiler finisher (19-21% protein)",NA
"879","1980","Broiler finisher (19-21% protein)",NA
"880","1981","Broiler finisher (19-21% protein)",284
"881","1982","Broiler finisher (19-21% protein)",308
"882","1983","Broiler finisher (19-21% protein)",341
"883","1984","Broiler finisher (19-21% protein)",367
"884","1985","Broiler finisher (19-21% protein)",351
"885","1986","Broiler finisher (19-21% protein)",342
"886","1987","Broiler finisher (19-21% protein)",329
"887","1988","Broiler finisher (19-21% protein)",339
"888","1989","Broiler finisher (19-21% protein)",353
"889","1990","Broiler finisher (19-21% protein)",342
"890","1991","Broiler finisher (19-21% protein)",330
"891","1992","Broiler finisher (19-21% protein)",329
"892","1993","Broiler finisher (19-21% protein)",334
"893","1994","Broiler finisher (19-21% protein)",328
"894","1995","Broiler finisher (19-21% protein)",313
"895","1996","Broiler finisher (19-21% protein)",327
"896","1997","Broiler finisher (19-21% protein)",319
"897","1998","Broiler finisher (19-21% protein)",311
"898","1999","Broiler finisher (19-21% protein)",305
"899","2000","Broiler finisher (19-21% protein)",304
"900","2001","Broiler finisher (19-21% protein)",318
"901","2002","Broiler finisher (19-21% protein)",324
"902","2003","Broiler finisher (19-21% protein)",328
"903","2004","Broiler finisher (19-21% protein)",343
"904","2005","Broiler finisher (19-21% protein)",332
"905","2006","Broiler finisher (19-21% protein)",335
"906","2007","Broiler finisher (19-21% protein)",373
"907","2008","Broiler finisher (19-21% protein)",420
"908","2009","Broiler finisher (19-21% protein)",407
"909","2010","Broiler finisher (19-21% protein)",389
"910","2011","Broiler finisher (19-21% protein)",434
"911","2012","Broiler finisher (19-21% protein)",456
"912","2013","Broiler finisher (19-21% protein)",501
"913","1976","Milk replacer",NA
"914","1977","Milk replacer",NA
"915","1978","Milk replacer",NA
"916","1979","Milk replacer",NA
"917","1980","Milk replacer",780
"918","1981","Milk replacer",882
"919","1982","Milk replacer",965
"920","1983","Milk replacer",1012
"921","1984","Milk replacer",1053
"922","1985","Milk replacer",1085
"923","1986","Milk replacer",1114
"924","1987","Milk replacer",1122
"925","1988","Milk replacer",1241
"926","1989","Milk replacer",1581
"927","1990","Milk replacer",1615
"928","1991","Milk replacer",1493
"929","1992","Milk replacer",1537
"930","1993","Milk replacer",1608
"931","1994","Milk replacer",1638
"932","1995","Milk replacer",1661
"933","1996","Milk replacer",1716
"934","1997","Milk replacer",1681
"935","1998","Milk replacer",1674
"936","1999","Milk replacer",1660
"937","2000","Milk replacer",1669
"938","2001","Milk replacer",1829
"939","2002","Milk replacer",1830
"940","2003","Milk replacer",1829
"941","2004","Milk replacer",1821
"942","2005","Milk replacer",1820
"943","2006","Milk replacer",1816
"944","2007","Milk replacer",1961
"945","2008","Milk replacer",2122
"946","2009","Milk replacer",1975
"947","2010","Milk replacer",1937
"948","2011","Milk replacer",2045
"949","2012","Milk replacer",2072
"950","2013","Milk replacer",2136
