"","Month","Type.of.Feedstuff","value"
"1","1976M01","Rolled barley",NA
"2","1976M02","Rolled barley",NA
"3","1976M03","Rolled barley",NA
"4","1976M04","Rolled barley",NA
"5","1976M05","Rolled barley",NA
"6","1976M06","Rolled barley",NA
"7","1976M07","Rolled barley",NA
"8","1976M08","Rolled barley",NA
"9","1976M09","Rolled barley",NA
"10","1976M10","Rolled barley",NA
"11","1976M11","Rolled barley",NA
"12","1976M12","Rolled barley",NA
"13","1977M01","Rolled barley",NA
"14","1977M02","Rolled barley",NA
"15","1977M03","Rolled barley",NA
"16","1977M04","Rolled barley",NA
"17","1977M05","Rolled barley",NA
"18","1977M06","Rolled barley",NA
"19","1977M07","Rolled barley",NA
"20","1977M08","Rolled barley",NA
"21","1977M09","Rolled barley",NA
"22","1977M10","Rolled barley",NA
"23","1977M11","Rolled barley",NA
"24","1977M12","Rolled barley",NA
"25","1978M01","Rolled barley",NA
"26","1978M02","Rolled barley",NA
"27","1978M03","Rolled barley",NA
"28","1978M04","Rolled barley",NA
"29","1978M05","Rolled barley",NA
"30","1978M06","Rolled barley",NA
"31","1978M07","Rolled barley",NA
"32","1978M08","Rolled barley",NA
"33","1978M09","Rolled barley",NA
"34","1978M10","Rolled barley",NA
"35","1978M11","Rolled barley",NA
"36","1978M12","Rolled barley",NA
"37","1979M01","Rolled barley",NA
"38","1979M02","Rolled barley",NA
"39","1979M03","Rolled barley",NA
"40","1979M04","Rolled barley",NA
"41","1979M05","Rolled barley",NA
"42","1979M06","Rolled barley",NA
"43","1979M07","Rolled barley",NA
"44","1979M08","Rolled barley",NA
"45","1979M09","Rolled barley",NA
"46","1979M10","Rolled barley",NA
"47","1979M11","Rolled barley",NA
"48","1979M12","Rolled barley",NA
"49","1980M01","Rolled barley",168
"50","1980M02","Rolled barley",171
"51","1980M03","Rolled barley",171
"52","1980M04","Rolled barley",170
"53","1980M05","Rolled barley",170
"54","1980M06","Rolled barley",170
"55","1980M07","Rolled barley",168
"56","1980M08","Rolled barley",167
"57","1980M09","Rolled barley",165
"58","1980M10","Rolled barley",167
"59","1980M11","Rolled barley",164
"60","1980M12","Rolled barley",164
"61","1981M01","Rolled barley",169
"62","1981M02","Rolled barley",172
"63","1981M03","Rolled barley",174
"64","1981M04","Rolled barley",177
"65","1981M05","Rolled barley",180
"66","1981M06","Rolled barley",183
"67","1981M07","Rolled barley",185
"68","1981M08","Rolled barley",184
"69","1981M09","Rolled barley",183
"70","1981M10","Rolled barley",178
"71","1981M11","Rolled barley",177
"72","1981M12","Rolled barley",177
"73","1982M01","Rolled barley",179
"74","1982M02","Rolled barley",183
"75","1982M03","Rolled barley",185
"76","1982M04","Rolled barley",185
"77","1982M05","Rolled barley",187
"78","1982M06","Rolled barley",191
"79","1982M07","Rolled barley",194
"80","1982M08","Rolled barley",193
"81","1982M09","Rolled barley",191
"82","1982M10","Rolled barley",188
"83","1982M11","Rolled barley",187
"84","1982M12","Rolled barley",187
"85","1983M01","Rolled barley",190
"86","1983M02","Rolled barley",193
"87","1983M03","Rolled barley",198
"88","1983M04","Rolled barley",210
"89","1983M05","Rolled barley",217
"90","1983M06","Rolled barley",221
"91","1983M07","Rolled barley",223
"92","1983M08","Rolled barley",220
"93","1983M09","Rolled barley",222
"94","1983M10","Rolled barley",224
"95","1983M11","Rolled barley",225
"96","1983M12","Rolled barley",227
"97","1984M01","Rolled barley",232
"98","1984M02","Rolled barley",234
"99","1984M03","Rolled barley",236
"100","1984M04","Rolled barley",237
"101","1984M05","Rolled barley",241
"102","1984M06","Rolled barley",236
"103","1984M07","Rolled barley",232
"104","1984M08","Rolled barley",215
"105","1984M09","Rolled barley",204
"106","1984M10","Rolled barley",200
"107","1984M11","Rolled barley",201
"108","1984M12","Rolled barley",202
"109","1985M01","Rolled barley",205
"110","1985M02","Rolled barley",205
"111","1985M03","Rolled barley",211
"112","1985M04","Rolled barley",216
"113","1985M05","Rolled barley",216
"114","1985M06","Rolled barley",217
"115","1985M07","Rolled barley",220
"116","1985M08","Rolled barley",214
"117","1985M09","Rolled barley",206
"118","1985M10","Rolled barley",203
"119","1985M11","Rolled barley",205
"120","1985M12","Rolled barley",205
"121","1986M01","Rolled barley",203
"122","1986M02","Rolled barley",205
"123","1986M03","Rolled barley",208
"124","1986M04","Rolled barley",211
"125","1986M05","Rolled barley",213
"126","1986M06","Rolled barley",212
"127","1986M07","Rolled barley",211
"128","1986M08","Rolled barley",210
"129","1986M09","Rolled barley",208
"130","1986M10","Rolled barley",203
"131","1986M11","Rolled barley",203
"132","1986M12","Rolled barley",203
"133","1987M01","Rolled barley",203
"134","1987M02","Rolled barley",203
"135","1987M03","Rolled barley",205
"136","1987M04","Rolled barley",209
"137","1987M05","Rolled barley",208
"138","1987M06","Rolled barley",209
"139","1987M07","Rolled barley",211
"140","1987M08","Rolled barley",208
"141","1987M09","Rolled barley",203
"142","1987M10","Rolled barley",202
"143","1987M11","Rolled barley",200
"144","1987M12","Rolled barley",199
"145","1988M01","Rolled barley",201
"146","1988M02","Rolled barley",202
"147","1988M03","Rolled barley",204
"148","1988M04","Rolled barley",206
"149","1988M05","Rolled barley",206
"150","1988M06","Rolled barley",206
"151","1988M07","Rolled barley",209
"152","1988M08","Rolled barley",212
"153","1988M09","Rolled barley",212
"154","1988M10","Rolled barley",209
"155","1988M11","Rolled barley",208
"156","1988M12","Rolled barley",209
"157","1989M01","Rolled barley",209
"158","1989M02","Rolled barley",209
"159","1989M03","Rolled barley",209
"160","1989M04","Rolled barley",213
"161","1989M05","Rolled barley",216
"162","1989M06","Rolled barley",216
"163","1989M07","Rolled barley",216
"164","1989M08","Rolled barley",217
"165","1989M09","Rolled barley",213
"166","1989M10","Rolled barley",212
"167","1989M11","Rolled barley",215
"168","1989M12","Rolled barley",213
"169","1990M01","Rolled barley",214
"170","1990M02","Rolled barley",213
"171","1990M03","Rolled barley",214
"172","1990M04","Rolled barley",215
"173","1990M05","Rolled barley",215
"174","1990M06","Rolled barley",214
"175","1990M07","Rolled barley",213
"176","1990M08","Rolled barley",212
"177","1990M09","Rolled barley",208
"178","1990M10","Rolled barley",206
"179","1990M11","Rolled barley",205
"180","1990M12","Rolled barley",205
"181","1991M01","Rolled barley",203
"182","1991M02","Rolled barley",207
"183","1991M03","Rolled barley",207
"184","1991M04","Rolled barley",207
"185","1991M05","Rolled barley",210
"186","1991M06","Rolled barley",210
"187","1991M07","Rolled barley",213
"188","1991M08","Rolled barley",211
"189","1991M09","Rolled barley",210
"190","1991M10","Rolled barley",204
"191","1991M11","Rolled barley",204
"192","1991M12","Rolled barley",204
"193","1992M01","Rolled barley",206
"194","1992M02","Rolled barley",205
"195","1992M03","Rolled barley",205
"196","1992M04","Rolled barley",207
"197","1992M05","Rolled barley",209
"198","1992M06","Rolled barley",207
"199","1992M07","Rolled barley",208
"200","1992M08","Rolled barley",208
"201","1992M09","Rolled barley",207
"202","1992M10","Rolled barley",203
"203","1992M11","Rolled barley",202
"204","1992M12","Rolled barley",202
"205","1993M01","Rolled barley",201
"206","1993M02","Rolled barley",207
"207","1993M03","Rolled barley",209
"208","1993M04","Rolled barley",210
"209","1993M05","Rolled barley",211
"210","1993M06","Rolled barley",211
"211","1993M07","Rolled barley",211
"212","1993M08","Rolled barley",209
"213","1993M09","Rolled barley",206
"214","1993M10","Rolled barley",199
"215","1993M11","Rolled barley",199
"216","1993M12","Rolled barley",197
"217","1994M01","Rolled barley",197
"218","1994M02","Rolled barley",200
"219","1994M03","Rolled barley",202
"220","1994M04","Rolled barley",196
"221","1994M05","Rolled barley",202
"222","1994M06","Rolled barley",202
"223","1994M07","Rolled barley",202
"224","1994M08","Rolled barley",204
"225","1994M09","Rolled barley",197
"226","1994M10","Rolled barley",195
"227","1994M11","Rolled barley",193
"228","1994M12","Rolled barley",196
"229","1995M01","Rolled barley",191
"230","1995M02","Rolled barley",193
"231","1995M03","Rolled barley",196
"232","1995M04","Rolled barley",195
"233","1995M05","Rolled barley",193
"234","1995M06","Rolled barley",196
"235","1995M07","Rolled barley",200
"236","1995M08","Rolled barley",202
"237","1995M09","Rolled barley",202
"238","1995M10","Rolled barley",202
"239","1995M11","Rolled barley",203
"240","1995M12","Rolled barley",203
"241","1996M01","Rolled barley",206
"242","1996M02","Rolled barley",207
"243","1996M03","Rolled barley",208
"244","1996M04","Rolled barley",212
"245","1996M05","Rolled barley",209
"246","1996M06","Rolled barley",212
"247","1996M07","Rolled barley",213
"248","1996M08","Rolled barley",208
"249","1996M09","Rolled barley",195
"250","1996M10","Rolled barley",193
"251","1996M11","Rolled barley",188
"252","1996M12","Rolled barley",196
"253","1997M01","Rolled barley",196
"254","1997M02","Rolled barley",195
"255","1997M03","Rolled barley",200
"256","1997M04","Rolled barley",195
"257","1997M05","Rolled barley",201
"258","1997M06","Rolled barley",197
"259","1997M07","Rolled barley",192
"260","1997M08","Rolled barley",192
"261","1997M09","Rolled barley",185
"262","1997M10","Rolled barley",180
"263","1997M11","Rolled barley",171
"264","1997M12","Rolled barley",181
"265","1998M01","Rolled barley",179
"266","1998M02","Rolled barley",173
"267","1998M03","Rolled barley",174
"268","1998M04","Rolled barley",174
"269","1998M05","Rolled barley",175
"270","1998M06","Rolled barley",175
"271","1998M07","Rolled barley",177
"272","1998M08","Rolled barley",176
"273","1998M09","Rolled barley",175
"274","1998M10","Rolled barley",172
"275","1998M11","Rolled barley",173
"276","1998M12","Rolled barley",174
"277","1999M01","Rolled barley",179
"278","1999M02","Rolled barley",183
"279","1999M03","Rolled barley",185
"280","1999M04","Rolled barley",185
"281","1999M05","Rolled barley",185
"282","1999M06","Rolled barley",187
"283","1999M07","Rolled barley",186
"284","1999M08","Rolled barley",186
"285","1999M09","Rolled barley",185
"286","1999M10","Rolled barley",185
"287","1999M11","Rolled barley",185
"288","1999M12","Rolled barley",186
"289","2000M01","Rolled barley",186
"290","2000M02","Rolled barley",185
"291","2000M03","Rolled barley",185
"292","2000M04","Rolled barley",184
"293","2000M05","Rolled barley",186
"294","2000M06","Rolled barley",186
"295","2000M07","Rolled barley",185
"296","2000M08","Rolled barley",186
"297","2000M09","Rolled barley",186
"298","2000M10","Rolled barley",187
"299","2000M11","Rolled barley",183
"300","2000M12","Rolled barley",186
"301","2001M01","Rolled barley",186
"302","2001M02","Rolled barley",186
"303","2001M03","Rolled barley",185
"304","2001M04","Rolled barley",185
"305","2001M05","Rolled barley",184
"306","2001M06","Rolled barley",185
"307","2001M07","Rolled barley",185
"308","2001M08","Rolled barley",187
"309","2001M09","Rolled barley",186
"310","2001M10","Rolled barley",186
"311","2001M11","Rolled barley",187
"312","2001M12","Rolled barley",187
"313","2002M01","Rolled barley",188
"314","2002M02","Rolled barley",190
"315","2002M03","Rolled barley",190
"316","2002M04","Rolled barley",190
"317","2002M05","Rolled barley",190
"318","2002M06","Rolled barley",190
"319","2002M07","Rolled barley",190
"320","2002M08","Rolled barley",188
"321","2002M09","Rolled barley",187
"322","2002M10","Rolled barley",186
"323","2002M11","Rolled barley",185
"324","2002M12","Rolled barley",184
"325","2003M01","Rolled barley",185
"326","2003M02","Rolled barley",186
"327","2003M03","Rolled barley",187
"328","2003M04","Rolled barley",187
"329","2003M05","Rolled barley",187
"330","2003M06","Rolled barley",188
"331","2003M07","Rolled barley",188
"332","2003M08","Rolled barley",188
"333","2003M09","Rolled barley",190
"334","2003M10","Rolled barley",194
"335","2003M11","Rolled barley",200
"336","2003M12","Rolled barley",202
"337","2004M01","Rolled barley",204
"338","2004M02","Rolled barley",206
"339","2004M03","Rolled barley",206
"340","2004M04","Rolled barley",209
"341","2004M05","Rolled barley",209
"342","2004M06","Rolled barley",205
"343","2004M07","Rolled barley",203
"344","2004M08","Rolled barley",201
"345","2004M09","Rolled barley",198
"346","2004M10","Rolled barley",194
"347","2004M11","Rolled barley",190
"348","2004M12","Rolled barley",189
"349","2005M01","Rolled barley",189
"350","2005M02","Rolled barley",189
"351","2005M03","Rolled barley",186
"352","2005M04","Rolled barley",184
"353","2005M05","Rolled barley",184
"354","2005M06","Rolled barley",182
"355","2005M07","Rolled barley",185
"356","2005M08","Rolled barley",186
"357","2005M09","Rolled barley",187
"358","2005M10","Rolled barley",189
"359","2005M11","Rolled barley",190
"360","2005M12","Rolled barley",191
"361","2006M01","Rolled barley",195
"362","2006M02","Rolled barley",194
"363","2006M03","Rolled barley",194
"364","2006M04","Rolled barley",194
"365","2006M05","Rolled barley",195
"366","2006M06","Rolled barley",197
"367","2006M07","Rolled barley",196
"368","2006M08","Rolled barley",196
"369","2006M09","Rolled barley",197
"370","2006M10","Rolled barley",200
"371","2006M11","Rolled barley",199
"372","2006M12","Rolled barley",208
"373","2007M01","Rolled barley",223
"374","2007M02","Rolled barley",227
"375","2007M03","Rolled barley",229
"376","2007M04","Rolled barley",229
"377","2007M05","Rolled barley",230
"378","2007M06","Rolled barley",232
"379","2007M07","Rolled barley",241
"380","2007M08","Rolled barley",259
"381","2007M09","Rolled barley",279
"382","2007M10","Rolled barley",287
"383","2007M11","Rolled barley",292
"384","2007M12","Rolled barley",299
"385","2008M01","Rolled barley",306
"386","2008M02","Rolled barley",307
"387","2008M03","Rolled barley",305
"388","2008M04","Rolled barley",305
"389","2008M05","Rolled barley",305
"390","2008M06","Rolled barley",306
"391","2008M07","Rolled barley",304
"392","2008M08","Rolled barley",302
"393","2008M09","Rolled barley",283
"394","2008M10","Rolled barley",264
"395","2008M11","Rolled barley",254
"396","2008M12","Rolled barley",249
"397","2009M01","Rolled barley",245
"398","2009M02","Rolled barley",246
"399","2009M03","Rolled barley",246
"400","2009M04","Rolled barley",247
"401","2009M05","Rolled barley",255
"402","2009M06","Rolled barley",252
"403","2009M07","Rolled barley",253
"404","2009M08","Rolled barley",245
"405","2009M09","Rolled barley",222
"406","2009M10","Rolled barley",207
"407","2009M11","Rolled barley",203
"408","2009M12","Rolled barley",203
"409","2010M01","Rolled barley",202
"410","2010M02","Rolled barley",202
"411","2010M03","Rolled barley",199
"412","2010M04","Rolled barley",202
"413","2010M05","Rolled barley",203
"414","2010M06","Rolled barley",201
"415","2010M07","Rolled barley",203
"416","2010M08","Rolled barley",216
"417","2010M09","Rolled barley",236
"418","2010M10","Rolled barley",242
"419","2010M11","Rolled barley",245
"420","2010M12","Rolled barley",246
"421","2011M01","Rolled barley",262
"422","2011M02","Rolled barley",269
"423","2011M03","Rolled barley",273
"424","2011M04","Rolled barley",274
"425","2011M05","Rolled barley",277
"426","2011M06","Rolled barley",276
"427","2011M07","Rolled barley",277
"428","2011M08","Rolled barley",276
"429","2011M09","Rolled barley",268
"430","2011M10","Rolled barley",267
"431","2011M11","Rolled barley",264
"432","2011M12","Rolled barley",263
"433","2012M01","Rolled barley",263
"434","2012M02","Rolled barley",262
"435","2012M03","Rolled barley",264
"436","2012M04","Rolled barley",269
"437","2012M05","Rolled barley",276
"438","2012M06","Rolled barley",280
"439","2012M07","Rolled barley",288
"440","2012M08","Rolled barley",300
"441","2012M09","Rolled barley",308
"442","2012M10","Rolled barley",323
"443","2012M11","Rolled barley",318
"444","2012M12","Rolled barley",319
"445","2013M01","Rolled barley",324
"446","2013M02","Rolled barley",326
"447","2013M03","Rolled barley",318
"448","2013M04","Rolled barley",318
"449","2013M05","Rolled barley",319
"450","2013M06","Rolled barley",319
"451","2013M07","Rolled barley",315
"452","2013M08","Rolled barley",307
"453","2013M09","Rolled barley",290
"454","2013M10","Rolled barley",283
"455","2013M11","Rolled barley",268
"456","2013M12","Rolled barley",273
"457","2014M01","Rolled barley",274
"458","2014M02","Rolled barley",268
"459","2014M03","Rolled barley",268
"460","2014M04","Rolled barley",273
"461","1976M01","Bran",97
"462","1976M02","Bran",99
"463","1976M03","Bran",102
"464","1976M04","Bran",106
"465","1976M05","Bran",110
"466","1976M06","Bran",110
"467","1976M07","Bran",110
"468","1976M08","Bran",109
"469","1976M09","Bran",114
"470","1976M10","Bran",123
"471","1976M11","Bran",128
"472","1976M12","Bran",131
"473","1977M01","Bran",139
"474","1977M02","Bran",142
"475","1977M03","Bran",146
"476","1977M04","Bran",149
"477","1977M05","Bran",152
"478","1977M06","Bran",153
"479","1977M07","Bran",152
"480","1977M08","Bran",152
"481","1977M09","Bran",150
"482","1977M10","Bran",149
"483","1977M11","Bran",149
"484","1977M12","Bran",151
"485","1978M01","Bran",151
"486","1978M02","Bran",154
"487","1978M03","Bran",155
"488","1978M04","Bran",156
"489","1978M05","Bran",157
"490","1978M06","Bran",157
"491","1978M07","Bran",158
"492","1978M08","Bran",156
"493","1978M09","Bran",155
"494","1978M10","Bran",157
"495","1978M11","Bran",158
"496","1978M12","Bran",159
"497","1979M01","Bran",159
"498","1979M02","Bran",159
"499","1979M03","Bran",162
"500","1979M04","Bran",175
"501","1979M05","Bran",182
"502","1979M06","Bran",194
"503","1979M07","Bran",194
"504","1979M08","Bran",192
"505","1979M09","Bran",191
"506","1979M10","Bran",193
"507","1979M11","Bran",195
"508","1979M12","Bran",201
"509","1980M01","Bran",205
"510","1980M02","Bran",209
"511","1980M03","Bran",210
"512","1980M04","Bran",210
"513","1980M05","Bran",212
"514","1980M06","Bran",215
"515","1980M07","Bran",215
"516","1980M08","Bran",213
"517","1980M09","Bran",213
"518","1980M10","Bran",213
"519","1980M11","Bran",215
"520","1980M12","Bran",208
"521","1981M01","Bran",216
"522","1981M02","Bran",219
"523","1981M03","Bran",219
"524","1981M04","Bran",223
"525","1981M05","Bran",224
"526","1981M06","Bran",224
"527","1981M07","Bran",231
"528","1981M08","Bran",229
"529","1981M09","Bran",229
"530","1981M10","Bran",227
"531","1981M11","Bran",230
"532","1981M12","Bran",225
"533","1982M01","Bran",229
"534","1982M02","Bran",235
"535","1982M03","Bran",237
"536","1982M04","Bran",242
"537","1982M05","Bran",242
"538","1982M06","Bran",252
"539","1982M07","Bran",251
"540","1982M08","Bran",257
"541","1982M09","Bran",257
"542","1982M10","Bran",253
"543","1982M11","Bran",252
"544","1982M12","Bran",254
"545","1983M01","Bran",264
"546","1983M02","Bran",271
"547","1983M03","Bran",277
"548","1983M04","Bran",287
"549","1983M05","Bran",285
"550","1983M06","Bran",289
"551","1983M07","Bran",289
"552","1983M08","Bran",289
"553","1983M09","Bran",298
"554","1983M10","Bran",305
"555","1983M11","Bran",314
"556","1983M12","Bran",315
"557","1984M01","Bran",326
"558","1984M02","Bran",330
"559","1984M03","Bran",330
"560","1984M04","Bran",325
"561","1984M05","Bran",323
"562","1984M06","Bran",326
"563","1984M07","Bran",325
"564","1984M08","Bran",325
"565","1984M09","Bran",329
"566","1984M10","Bran",329
"567","1984M11","Bran",329
"568","1984M12","Bran",325
"569","1985M01","Bran",326
"570","1985M02","Bran",326
"571","1985M03","Bran",331
"572","1985M04","Bran",330
"573","1985M05","Bran",333
"574","1985M06","Bran",330
"575","1985M07","Bran",330
"576","1985M08","Bran",327
"577","1985M09","Bran",331
"578","1985M10","Bran",333
"579","1985M11","Bran",333
"580","1985M12","Bran",333
"581","1986M01","Bran",334
"582","1986M02","Bran",335
"583","1986M03","Bran",335
"584","1986M04","Bran",336
"585","1986M05","Bran",336
"586","1986M06","Bran",333
"587","1986M07","Bran",337
"588","1986M08","Bran",337
"589","1986M09","Bran",336
"590","1986M10","Bran",334
"591","1986M11","Bran",336
"592","1986M12","Bran",336
"593","1987M01","Bran",337
"594","1987M02","Bran",339
"595","1987M03","Bran",338
"596","1987M04","Bran",337
"597","1987M05","Bran",337
"598","1987M06","Bran",338
"599","1987M07","Bran",340
"600","1987M08","Bran",340
"601","1987M09","Bran",339
"602","1987M10","Bran",338
"603","1987M11","Bran",340
"604","1987M12","Bran",335
"605","1988M01","Bran",337
"606","1988M02","Bran",336
"607","1988M03","Bran",336
"608","1988M04","Bran",336
"609","1988M05","Bran",336
"610","1988M06","Bran",332
"611","1988M07","Bran",336
"612","1988M08","Bran",336
"613","1988M09","Bran",336
"614","1988M10","Bran",332
"615","1988M11","Bran",332
"616","1988M12","Bran",332
"617","1989M01","Bran",339
"618","1989M02","Bran",332
"619","1989M03","Bran",346
"620","1989M04","Bran",349
"621","1989M05","Bran",342
"622","1989M06","Bran",336
"623","1989M07","Bran",349
"624","1989M08","Bran",347
"625","1989M09","Bran",346
"626","1989M10","Bran",347
"627","1989M11","Bran",346
"628","1989M12","Bran",345
"629","1990M01","Bran",345
"630","1990M02","Bran",340
"631","1990M03","Bran",348
"632","1990M04","Bran",346
"633","1990M05","Bran",346
"634","1990M06","Bran",347
"635","1990M07","Bran",335
"636","1990M08","Bran",331
"637","1990M09","Bran",331
"638","1990M10","Bran",343
"639","1990M11","Bran",343
"640","1990M12","Bran",346
"641","1991M01","Bran",356
"642","1991M02","Bran",355
"643","1991M03","Bran",354
"644","1991M04","Bran",354
"645","1991M05","Bran",349
"646","1991M06","Bran",348
"647","1991M07","Bran",358
"648","1991M08","Bran",359
"649","1991M09","Bran",355
"650","1991M10","Bran",351
"651","1991M11","Bran",345
"652","1991M12","Bran",349
"653","1992M01","Bran",344
"654","1992M02","Bran",348
"655","1992M03","Bran",351
"656","1992M04","Bran",351
"657","1992M05","Bran",352
"658","1992M06","Bran",350
"659","1992M07","Bran",351
"660","1992M08","Bran",355
"661","1992M09","Bran",356
"662","1992M10","Bran",361
"663","1992M11","Bran",363
"664","1992M12","Bran",357
"665","1993M01","Bran",357
"666","1993M02","Bran",341
"667","1993M03","Bran",367
"668","1993M04","Bran",367
"669","1993M05","Bran",367
"670","1993M06","Bran",369
"671","1993M07","Bran",365
"672","1993M08","Bran",365
"673","1993M09","Bran",365
"674","1993M10","Bran",365
"675","1993M11","Bran",329
"676","1993M12","Bran",379
"677","1994M01","Bran",378
"678","1994M02","Bran",378
"679","1994M03","Bran",377
"680","1994M04","Bran",379
"681","1994M05","Bran",379
"682","1994M06","Bran",379
"683","1994M07","Bran",379
"684","1994M08","Bran",381
"685","1994M09","Bran",381
"686","1994M10","Bran",377
"687","1994M11","Bran",373
"688","1994M12","Bran",373
"689","1995M01","Bran",372
"690","1995M02","Bran",372
"691","1995M03","Bran",NA
"692","1995M04","Bran",349
"693","1995M05","Bran",NA
"694","1995M06","Bran",349
"695","1995M07","Bran",363
"696","1995M08","Bran",359
"697","1995M09","Bran",368
"698","1995M10","Bran",368
"699","1995M11","Bran",362
"700","1995M12","Bran",369
"701","1996M01","Bran",367
"702","1996M02","Bran",370
"703","1996M03","Bran",371
"704","1996M04","Bran",370
"705","1996M05","Bran",393
"706","1996M06","Bran",384
"707","1996M07","Bran",381
"708","1996M08","Bran",381
"709","1996M09","Bran",380
"710","1996M10","Bran",387
"711","1996M11","Bran",382
"712","1996M12","Bran",376
"713","1997M01","Bran",381
"714","1997M02","Bran",385
"715","1997M03","Bran",377
"716","1997M04","Bran",377
"717","1997M05","Bran",378
"718","1997M06","Bran",378
"719","1997M07","Bran",380
"720","1997M08","Bran",380
"721","1997M09","Bran",379
"722","1997M10","Bran",378
"723","1997M11","Bran",380
"724","1997M12","Bran",384
"725","1998M01","Bran",385
"726","1998M02","Bran",376
"727","1998M03","Bran",381
"728","1998M04","Bran",383
"729","1998M05","Bran",380
"730","1998M06","Bran",380
"731","1998M07","Bran",372
"732","1998M08","Bran",368
"733","1998M09","Bran",371
"734","1998M10","Bran",378
"735","1998M11","Bran",372
"736","1998M12","Bran",374
"737","1999M01","Bran",369
"738","1999M02","Bran",369
"739","1999M03","Bran",371
"740","1999M04","Bran",371
"741","1999M05","Bran",368
"742","1999M06","Bran",372
"743","1999M07","Bran",379
"744","1999M08","Bran",377
"745","1999M09","Bran",377
"746","1999M10","Bran",382
"747","1999M11","Bran",383
"748","1999M12","Bran",383
"749","2000M01","Bran",383
"750","2000M02","Bran",383
"751","2000M03","Bran",384
"752","2000M04","Bran",384
"753","2000M05","Bran",382
"754","2000M06","Bran",382
"755","2000M07","Bran",382
"756","2000M08","Bran",382
"757","2000M09","Bran",382
"758","2000M10","Bran",382
"759","2000M11","Bran",382
"760","2000M12","Bran",382
"761","2001M01","Bran",382
"762","2001M02","Bran",384
"763","2001M03","Bran",384
"764","2001M04","Bran",384
"765","2001M05","Bran",384
"766","2001M06","Bran",384
"767","2001M07","Bran",384
"768","2001M08","Bran",384
"769","2001M09","Bran",384
"770","2001M10","Bran",385
"771","2001M11","Bran",385
"772","2001M12","Bran",384
"773","2002M01","Bran",383
"774","2002M02","Bran",383
"775","2002M03","Bran",384
"776","2002M04","Bran",384
"777","2002M05","Bran",384
"778","2002M06","Bran",384
"779","2002M07","Bran",384
"780","2002M08","Bran",383
"781","2002M09","Bran",383
"782","2002M10","Bran",388
"783","2002M11","Bran",392
"784","2002M12","Bran",392
"785","2003M01","Bran",392
"786","2003M02","Bran",392
"787","2003M03","Bran",392
"788","2003M04","Bran",392
"789","2003M05","Bran",392
"790","2003M06","Bran",392
"791","2003M07","Bran",392
"792","2003M08","Bran",391
"793","2003M09","Bran",391
"794","2003M10","Bran",392
"795","2003M11","Bran",402
"796","2003M12","Bran",407
"797","2004M01","Bran",406
"798","2004M02","Bran",414
"799","2004M03","Bran",414
"800","2004M04","Bran",414
"801","2004M05","Bran",414
"802","2004M06","Bran",412
"803","2004M07","Bran",412
"804","2004M08","Bran",422
"805","2004M09","Bran",429
"806","2004M10","Bran",429
"807","2004M11","Bran",424
"808","2004M12","Bran",424
"809","2005M01","Bran",424
"810","2005M02","Bran",421
"811","2005M03","Bran",419
"812","2005M04","Bran",421
"813","2005M05","Bran",443
"814","2005M06","Bran",426
"815","2005M07","Bran",430
"816","2005M08","Bran",430
"817","2005M09","Bran",437
"818","2005M10","Bran",432
"819","2005M11","Bran",432
"820","2005M12","Bran",437
"821","2006M01","Bran",430
"822","2006M02","Bran",431
"823","2006M03","Bran",431
"824","2006M04","Bran",437
"825","2006M05","Bran",437
"826","2006M06","Bran",437
"827","2006M07","Bran",437
"828","2006M08","Bran",437
"829","2006M09","Bran",437
"830","2006M10","Bran",448
"831","2006M11","Bran",448
"832","2006M12","Bran",452
"833","2007M01","Bran",480
"834","2007M02","Bran",480
"835","2007M03","Bran",480
"836","2007M04","Bran",480
"837","2007M05","Bran",480
"838","2007M06","Bran",480
"839","2007M07","Bran",490
"840","2007M08","Bran",491
"841","2007M09","Bran",504
"842","2007M10","Bran",544
"843","2007M11","Bran",559
"844","2007M12","Bran",569
"845","2008M01","Bran",609
"846","2008M02","Bran",609
"847","2008M03","Bran",621
"848","2008M04","Bran",621
"849","2008M05","Bran",621
"850","2008M06","Bran",621
"851","2008M07","Bran",621
"852","2008M08","Bran",621
"853","2008M09","Bran",619
"854","2008M10","Bran",621
"855","2008M11","Bran",621
"856","2008M12","Bran",621
"857","2009M01","Bran",618
"858","2009M02","Bran",625
"859","2009M03","Bran",634
"860","2009M04","Bran",638
"861","2009M05","Bran",638
"862","2009M06","Bran",639
"863","2009M07","Bran",639
"864","2009M08","Bran",639
"865","2009M09","Bran",633
"866","2009M10","Bran",667
"867","2009M11","Bran",665
"868","2009M12","Bran",671
"869","2010M01","Bran",670
"870","2010M02","Bran",646
"871","2010M03","Bran",646
"872","2010M04","Bran",637
"873","2010M05","Bran",637
"874","2010M06","Bran",637
"875","2010M07","Bran",637
"876","2010M08","Bran",662
"877","2010M09","Bran",667
"878","2010M10","Bran",667
"879","2010M11","Bran",667
"880","2010M12","Bran",667
"881","2011M01","Bran",657
"882","2011M02","Bran",660
"883","2011M03","Bran",660
"884","2011M04","Bran",660
"885","2011M05","Bran",625
"886","2011M06","Bran",625
"887","2011M07","Bran",627
"888","2011M08","Bran",627
"889","2011M09","Bran",627
"890","2011M10","Bran",627
"891","2011M11","Bran",628
"892","2011M12","Bran",628
"893","2012M01","Bran",632
"894","2012M02","Bran",632
"895","2012M03","Bran",632
"896","2012M04","Bran",661
