"","Month","Type.of.Fertiliser","value"
"2282","1998M06","Compound 0-7-30",168
"2283","1998M07","Compound 0-7-30",168
"2284","1998M08","Compound 0-7-30",171
"2285","1998M09","Compound 0-7-30",173
"2286","1998M10","Compound 0-7-30",179
"2287","1998M11","Compound 0-7-30",181
"2288","1998M12","Compound 0-7-30",181
"2289","1999M01","Compound 0-7-30",184
"2290","1999M02","Compound 0-7-30",186
"2291","1999M03","Compound 0-7-30",185
"2292","1999M04","Compound 0-7-30",186
"2293","1999M05","Compound 0-7-30",187
"2294","1999M06","Compound 0-7-30",187
"2295","1999M07","Compound 0-7-30",187
"2296","1999M08","Compound 0-7-30",187
"2297","1999M09","Compound 0-7-30",187
"2298","1999M10","Compound 0-7-30",188
"2299","1999M11","Compound 0-7-30",188
"2300","1999M12","Compound 0-7-30",188
"2301","2000M01","Compound 0-7-30",190
"2302","2000M02","Compound 0-7-30",190
"2303","2000M03","Compound 0-7-30",190
"2304","2000M04","Compound 0-7-30",190
"2305","2000M05","Compound 0-7-30",191
"2306","2000M06","Compound 0-7-30",191
"2307","2000M07","Compound 0-7-30",191
"2308","2000M08","Compound 0-7-30",193
"2309","2000M09","Compound 0-7-30",194
"2310","2000M10","Compound 0-7-30",199
"2311","2000M11","Compound 0-7-30",199
"2312","2000M12","Compound 0-7-30",203
"2313","2001M01","Compound 0-7-30",202
"2314","2001M02","Compound 0-7-30",203
"2315","2001M03","Compound 0-7-30",202
"2316","2001M04","Compound 0-7-30",203
"2317","2001M05","Compound 0-7-30",203
"2318","2001M06","Compound 0-7-30",202
"2319","2001M07","Compound 0-7-30",201
"2320","2001M08","Compound 0-7-30",202
"2321","2001M09","Compound 0-7-30",201
"2322","2001M10","Compound 0-7-30",203
"2323","2001M11","Compound 0-7-30",203
"2324","2001M12","Compound 0-7-30",203
"2325","2002M01","Compound 0-7-30",202
"2326","2002M02","Compound 0-7-30",201
"2327","2002M03","Compound 0-7-30",201
"2328","2002M04","Compound 0-7-30",201
"2329","2002M05","Compound 0-7-30",201
"2330","2002M06","Compound 0-7-30",201
"2331","2002M07","Compound 0-7-30",201
"2332","2002M08","Compound 0-7-30",201
"2333","2002M09","Compound 0-7-30",201
"2334","2002M10","Compound 0-7-30",201
"2335","2002M11","Compound 0-7-30",202
"2336","2002M12","Compound 0-7-30",203
"2337","2003M01","Compound 0-7-30",204
"2338","2003M02","Compound 0-7-30",206
"2339","2003M03","Compound 0-7-30",207
"2340","2003M04","Compound 0-7-30",206
"2341","2003M05","Compound 0-7-30",206
"2342","2003M06","Compound 0-7-30",206
"2343","2003M07","Compound 0-7-30",205
"2344","2003M08","Compound 0-7-30",205
"2345","2003M09","Compound 0-7-30",205
"2346","2003M10","Compound 0-7-30",205
"2347","2003M11","Compound 0-7-30",208
"2348","2003M12","Compound 0-7-30",209
"2349","2004M01","Compound 0-7-30",209
"2350","2004M02","Compound 0-7-30",208
"2351","2004M03","Compound 0-7-30",208
"2352","2004M04","Compound 0-7-30",207
"2353","2004M05","Compound 0-7-30",207
"2354","2004M06","Compound 0-7-30",207
"2355","2004M07","Compound 0-7-30",207
"2356","2004M08","Compound 0-7-30",207
"2357","2004M09","Compound 0-7-30",206
"2358","2004M10","Compound 0-7-30",207
"2359","2004M11","Compound 0-7-30",208
"2360","2004M12","Compound 0-7-30",210
"2361","2005M01","Compound 0-7-30",213
"2362","2005M02","Compound 0-7-30",213
"2363","2005M03","Compound 0-7-30",214
"2364","2005M04","Compound 0-7-30",212
"2365","2005M05","Compound 0-7-30",213
"2366","2005M06","Compound 0-7-30",213
"2367","2005M07","Compound 0-7-30",214
"2368","2005M08","Compound 0-7-30",214
"2369","2005M09","Compound 0-7-30",214
"2370","2005M10","Compound 0-7-30",213
"2371","2005M11","Compound 0-7-30",213
"2372","2005M12","Compound 0-7-30",213
"2373","2006M01","Compound 0-7-30",222
"2374","2006M02","Compound 0-7-30",224
"2375","2006M03","Compound 0-7-30",224
"2376","2006M04","Compound 0-7-30",226
"2377","2006M05","Compound 0-7-30",227
"2378","2006M06","Compound 0-7-30",227
"2379","2006M07","Compound 0-7-30",227
"2380","2006M08","Compound 0-7-30",227
"2381","2006M09","Compound 0-7-30",227
"2382","2006M10","Compound 0-7-30",227
"2383","2006M11","Compound 0-7-30",228
"2384","2006M12","Compound 0-7-30",228
"2385","2007M01","Compound 0-7-30",230
"2386","2007M02","Compound 0-7-30",232
"2387","2007M03","Compound 0-7-30",233
"2388","2007M04","Compound 0-7-30",234
"2389","2007M05","Compound 0-7-30",235
"2390","2007M06","Compound 0-7-30",235
"2391","2007M07","Compound 0-7-30",235
"2392","2007M08","Compound 0-7-30",235
"2393","2007M09","Compound 0-7-30",249
"2394","2007M10","Compound 0-7-30",257
"2395","2007M11","Compound 0-7-30",266
"2396","2007M12","Compound 0-7-30",286
"2397","2008M01","Compound 0-7-30",325
"2398","2008M02","Compound 0-7-30",383
"2399","2008M03","Compound 0-7-30",409
"2400","2008M04","Compound 0-7-30",426
"2401","2008M05","Compound 0-7-30",434
"2402","2008M06","Compound 0-7-30",458
"2403","2008M07","Compound 0-7-30",487
"2404","2008M08","Compound 0-7-30",526
"2405","2008M09","Compound 0-7-30",526
"2406","2008M10","Compound 0-7-30",525
"2407","2008M11","Compound 0-7-30",525
"2408","2008M12","Compound 0-7-30",525
"2409","2009M01","Compound 0-7-30",521
"2410","2009M02","Compound 0-7-30",518
"2411","2009M03","Compound 0-7-30",515
"2412","2009M04","Compound 0-7-30",494
"2413","2009M05","Compound 0-7-30",512
"2414","2009M06","Compound 0-7-30",517
"2415","2009M07","Compound 0-7-30",525
"2416","2009M08","Compound 0-7-30",525
"2417","2009M09","Compound 0-7-30",525
"2418","2009M10","Compound 0-7-30",525
"2419","2009M11","Compound 0-7-30",525
"2420","2009M12","Compound 0-7-30",512
"2421","2010M01","Compound 0-7-30",471
"2422","2010M02","Compound 0-7-30",408
"2423","2010M03","Compound 0-7-30",386
"2424","2010M04","Compound 0-7-30",380
"2425","2010M05","Compound 0-7-30",380
"2426","2010M06","Compound 0-7-30",380
"2427","2010M07","Compound 0-7-30",380
"2428","2010M08","Compound 0-7-30",380
"2429","2010M09","Compound 0-7-30",391
"2430","2010M10","Compound 0-7-30",392
"2431","2010M11","Compound 0-7-30",392
"2432","2010M12","Compound 0-7-30",391
"2433","2011M01","Compound 0-7-30",405
"2434","2011M02","Compound 0-7-30",419
"2435","2011M03","Compound 0-7-30",434
"2436","2011M04","Compound 0-7-30",430
"2437","2011M05","Compound 0-7-30",431
"2438","2011M06","Compound 0-7-30",431
"2439","2011M07","Compound 0-7-30",432
"2440","2011M08","Compound 0-7-30",434
"2441","2011M09","Compound 0-7-30",434
"2442","2011M10","Compound 0-7-30",438
"2443","2011M11","Compound 0-7-30",438
"2444","2011M12","Compound 0-7-30",444
"2445","2012M01","Compound 0-7-30",451
"2446","2012M02","Compound 0-7-30",450
"2447","2012M03","Compound 0-7-30",454
"2448","2012M04","Compound 0-7-30",454
"2449","2012M05","Compound 0-7-30",454
"2450","2012M06","Compound 0-7-30",454
"2451","2012M07","Compound 0-7-30",454
"2452","2012M08","Compound 0-7-30",455
"2453","2012M09","Compound 0-7-30",455
"2454","2012M10","Compound 0-7-30",456
"2455","2012M11","Compound 0-7-30",456
"2456","2012M12","Compound 0-7-30",456
"2457","2013M01","Compound 0-7-30",457
"2458","2013M02","Compound 0-7-30",456
"2459","2013M03","Compound 0-7-30",455
"2460","2013M04","Compound 0-7-30",456
"2461","2013M05","Compound 0-7-30",456
"2462","2013M06","Compound 0-7-30",456
"2463","2013M07","Compound 0-7-30",455
"2464","2013M08","Compound 0-7-30",448
"2465","2013M09","Compound 0-7-30",447
"2466","2013M10","Compound 0-7-30",446
"2467","2013M11","Compound 0-7-30",445
"2468","2013M12","Compound 0-7-30",442
"2469","2014M01","Compound 0-7-30",422
"2470","2014M02","Compound 0-7-30",417
"2471","2014M03","Compound 0-7-30",417
"2472","2014M04","Compound 0-7-30",418
"2473","1980M01","Compound 7-6-17",151
"2474","1980M02","Compound 7-6-17",154
"2475","1980M03","Compound 7-6-17",154
"2476","1980M04","Compound 7-6-17",159
"2477","1980M05","Compound 7-6-17",174
"2478","1980M06","Compound 7-6-17",176
"2479","1980M07","Compound 7-6-17",168
"2480","1980M08","Compound 7-6-17",169
"2481","1980M09","Compound 7-6-17",172
"2482","1980M10","Compound 7-6-17",170
"2483","1980M11","Compound 7-6-17",176
"2484","1980M12","Compound 7-6-17",179
"2485","1981M01","Compound 7-6-17",180
"2486","1981M02","Compound 7-6-17",187
"2487","1981M03","Compound 7-6-17",188
"2488","1981M04","Compound 7-6-17",193
"2489","1981M05","Compound 7-6-17",193
"2490","1981M06","Compound 7-6-17",193
"2491","1981M07","Compound 7-6-17",192
"2492","1981M08","Compound 7-6-17",194
"2493","1981M09","Compound 7-6-17",197
"2494","1981M10","Compound 7-6-17",199
"2495","1981M11","Compound 7-6-17",206
"2496","1981M12","Compound 7-6-17",201
"2497","1982M01","Compound 7-6-17",208
"2498","1982M02","Compound 7-6-17",209
"2499","1982M03","Compound 7-6-17",216
"2500","1982M04","Compound 7-6-17",218
"2501","1982M05","Compound 7-6-17",218
"2502","1982M06","Compound 7-6-17",218
"2503","1982M07","Compound 7-6-17",218
"2504","1982M08","Compound 7-6-17",219
"2505","1982M09","Compound 7-6-17",219
"2506","1982M10","Compound 7-6-17",219
"2507","1982M11","Compound 7-6-17",218
"2508","1982M12","Compound 7-6-17",218
"2509","1983M01","Compound 7-6-17",216
"2510","1983M02","Compound 7-6-17",217
"2511","1983M03","Compound 7-6-17",218
"2512","1983M04","Compound 7-6-17",216
"2513","1983M05","Compound 7-6-17",216
"2514","1983M06","Compound 7-6-17",217
"2515","1983M07","Compound 7-6-17",217
"2516","1983M08","Compound 7-6-17",218
"2517","1983M09","Compound 7-6-17",218
"2518","1983M10","Compound 7-6-17",216
"2519","1983M11","Compound 7-6-17",222
"2520","1983M12","Compound 7-6-17",224
"2521","1984M01","Compound 7-6-17",226
"2522","1984M02","Compound 7-6-17",232
"2523","1984M03","Compound 7-6-17",235
"2524","1984M04","Compound 7-6-17",239
"2525","1984M05","Compound 7-6-17",239
"2526","1984M06","Compound 7-6-17",239
"2527","1984M07","Compound 7-6-17",240
"2528","1984M08","Compound 7-6-17",243
"2529","1984M09","Compound 7-6-17",246
"2530","1984M10","Compound 7-6-17",248
"2531","1984M11","Compound 7-6-17",250
"2532","1984M12","Compound 7-6-17",248
"2533","1985M01","Compound 7-6-17",253
"2534","1985M02","Compound 7-6-17",256
"2535","1985M03","Compound 7-6-17",262
"2536","1985M04","Compound 7-6-17",262
"2537","1985M05","Compound 7-6-17",261
"2538","1985M06","Compound 7-6-17",261
"2539","1985M07","Compound 7-6-17",262
"2540","1985M08","Compound 7-6-17",261
"2541","1985M09","Compound 7-6-17",262
"2542","1985M10","Compound 7-6-17",261
"2543","1985M11","Compound 7-6-17",260
"2544","1985M12","Compound 7-6-17",258
"2545","1986M01","Compound 7-6-17",253
"2546","1986M02","Compound 7-6-17",249
"2547","1986M03","Compound 7-6-17",247
"2548","1986M04","Compound 7-6-17",246
"2549","1986M05","Compound 7-6-17",244
"2550","1986M06","Compound 7-6-17",242
"2551","1986M07","Compound 7-6-17",241
"2552","1986M08","Compound 7-6-17",241
"2553","1986M09","Compound 7-6-17",239
"2554","1986M10","Compound 7-6-17",236
"2555","1986M11","Compound 7-6-17",240
"2556","1986M12","Compound 7-6-17",234
"2557","1987M01","Compound 7-6-17",218
"2558","1987M02","Compound 7-6-17",208
"2559","1987M03","Compound 7-6-17",207
"2560","1987M04","Compound 7-6-17",207
"2561","1987M05","Compound 7-6-17",206
"2562","1987M06","Compound 7-6-17",205
"2563","1987M07","Compound 7-6-17",206
"2564","1987M08","Compound 7-6-17",205
"2565","1987M09","Compound 7-6-17",208
"2566","1987M10","Compound 7-6-17",207
"2567","1987M11","Compound 7-6-17",211
"2568","1987M12","Compound 7-6-17",209
"2569","1988M01","Compound 7-6-17",NA
"2570","1988M02","Compound 7-6-17",226
"2571","1988M03","Compound 7-6-17",222
"2572","1988M04","Compound 7-6-17",222
"2573","1988M05","Compound 7-6-17",224
"2574","1988M06","Compound 7-6-17",224
"2575","1988M07","Compound 7-6-17",225
"2576","1988M08","Compound 7-6-17",226
"2577","1988M09","Compound 7-6-17",227
"2578","1988M10","Compound 7-6-17",227
"2579","1988M11","Compound 7-6-17",NA
"2580","1988M12","Compound 7-6-17",NA
"2581","1989M01","Compound 7-6-17",NA
"2582","1989M02","Compound 7-6-17",NA
"2583","1989M03","Compound 7-6-17",NA
"2584","1989M04","Compound 7-6-17",NA
"2585","1989M05","Compound 7-6-17",NA
"2586","1989M06","Compound 7-6-17",NA
"2587","1989M07","Compound 7-6-17",239
"2588","1989M08","Compound 7-6-17",241
"2589","1989M09","Compound 7-6-17",241
"2590","1989M10","Compound 7-6-17",241
"2591","1989M11","Compound 7-6-17",241
"2592","1989M12","Compound 7-6-17",240
"2593","1990M01","Compound 7-6-17",242
"2594","1990M02","Compound 7-6-17",240
"2595","1990M03","Compound 7-6-17",236
"2596","1990M04","Compound 7-6-17",236
"2597","1990M05","Compound 7-6-17",235
"2598","1990M06","Compound 7-6-17",236
"2599","1990M07","Compound 7-6-17",238
"2600","1990M08","Compound 7-6-17",237
"2601","1990M09","Compound 7-6-17",238
"2602","1990M10","Compound 7-6-17",239
"2603","1990M11","Compound 7-6-17",NA
"2604","1990M12","Compound 7-6-17",NA
"2605","1991M01","Compound 7-6-17",NA
"2606","1991M02","Compound 7-6-17",NA
"2607","1991M03","Compound 7-6-17",235
"2608","1991M04","Compound 7-6-17",234
"2609","1991M05","Compound 7-6-17",234
"2610","1991M06","Compound 7-6-17",234
"2611","1991M07","Compound 7-6-17",233
"2612","1991M08","Compound 7-6-17",233
"2613","1991M09","Compound 7-6-17",233
"2614","1991M10","Compound 7-6-17",233
"2615","1991M11","Compound 7-6-17",235
"2616","1991M12","Compound 7-6-17",235
"2617","1992M01","Compound 7-6-17",236
"2618","1992M02","Compound 7-6-17",236
"2619","1992M03","Compound 7-6-17",233
"2620","1992M04","Compound 7-6-17",232
"2621","1992M05","Compound 7-6-17",232
"2622","1992M06","Compound 7-6-17",233
"2623","1992M07","Compound 7-6-17",231
"2624","1992M08","Compound 7-6-17",231
"2625","1992M09","Compound 7-6-17",231
"2626","1992M10","Compound 7-6-17",234
"2627","1992M11","Compound 7-6-17",234
"2628","1992M12","Compound 7-6-17",234
"2629","1993M01","Compound 7-6-17",233
"2630","1993M02","Compound 7-6-17",226
"2631","1993M03","Compound 7-6-17",226
"2632","1993M04","Compound 7-6-17",226
"2633","1993M05","Compound 7-6-17",226
"2634","1993M06","Compound 7-6-17",223
"2635","1993M07","Compound 7-6-17",224
"2636","1993M08","Compound 7-6-17",224
"2637","1993M09","Compound 7-6-17",223
"2638","1993M10","Compound 7-6-17",223
"2639","1993M11","Compound 7-6-17",223
"2640","1993M12","Compound 7-6-17",225
"2641","1994M01","Compound 7-6-17",227
"2642","1994M02","Compound 7-6-17",232
"2643","1994M03","Compound 7-6-17",228
"2644","1994M04","Compound 7-6-17",NA
"2645","1994M05","Compound 7-6-17",NA
"2646","1994M06","Compound 7-6-17",NA
"2647","1994M07","Compound 7-6-17",NA
"2648","1994M08","Compound 7-6-17",NA
"2649","1994M09","Compound 7-6-17",NA
"2650","1994M10","Compound 7-6-17",NA
"2651","1994M11","Compound 7-6-17",NA
"2652","1994M12","Compound 7-6-17",NA
"2653","1995M01","Compound 7-6-17",NA
"2654","1995M02","Compound 7-6-17",NA
"2655","1995M03","Compound 7-6-17",NA
"2656","1995M04","Compound 7-6-17",NA
"2657","1995M05","Compound 7-6-17",NA
"2658","1995M06","Compound 7-6-17",NA
"2659","1995M07","Compound 7-6-17",NA
"2660","1995M08","Compound 7-6-17",NA
"2661","1995M09","Compound 7-6-17",NA
"2662","1995M10","Compound 7-6-17",NA
"2663","1995M11","Compound 7-6-17",NA
"2664","1995M12","Compound 7-6-17",NA
"2665","1996M01","Compound 7-6-17",NA
"2666","1996M02","Compound 7-6-17",NA
"2667","1996M03","Compound 7-6-17",NA
"2668","1996M04","Compound 7-6-17",NA
"2669","1996M05","Compound 7-6-17",NA
"2670","1996M06","Compound 7-6-17",NA
"2671","1996M07","Compound 7-6-17",NA
"2672","1996M08","Compound 7-6-17",NA
"2673","1996M09","Compound 7-6-17",NA
"2674","1996M10","Compound 7-6-17",NA
"2675","1996M11","Compound 7-6-17",NA
"2676","1996M12","Compound 7-6-17",NA
"2677","1997M01","Compound 7-6-17",NA
"2678","1997M02","Compound 7-6-17",NA
"2679","1997M03","Compound 7-6-17",NA
"2680","1997M04","Compound 7-6-17",NA
"2681","1997M05","Compound 7-6-17",NA
"2682","1997M06","Compound 7-6-17",NA
"2683","1997M07","Compound 7-6-17",NA
"2684","1997M08","Compound 7-6-17",NA
"2685","1997M09","Compound 7-6-17",NA
"2686","1997M10","Compound 7-6-17",NA
"2687","1997M11","Compound 7-6-17",NA
"2688","1997M12","Compound 7-6-17",NA
"2689","1998M01","Compound 7-6-17",NA
"2690","1998M02","Compound 7-6-17",NA
"2691","1998M03","Compound 7-6-17",NA
"2692","1998M04","Compound 7-6-17",NA
"2693","1998M05","Compound 7-6-17",NA
"2694","1998M06","Compound 7-6-17",NA
"2695","1998M07","Compound 7-6-17",NA
"2696","1998M08","Compound 7-6-17",NA
"2697","1998M09","Compound 7-6-17",NA
"2698","1998M10","Compound 7-6-17",NA
"2699","1998M11","Compound 7-6-17",NA
"2700","1998M12","Compound 7-6-17",NA
"2701","1999M01","Compound 7-6-17",NA
"2702","1999M02","Compound 7-6-17",NA
"2703","1999M03","Compound 7-6-17",NA
"2704","1999M04","Compound 7-6-17",NA
"2705","1999M05","Compound 7-6-17",NA
"2706","1999M06","Compound 7-6-17",NA
"2707","1999M07","Compound 7-6-17",NA
"2708","1999M08","Compound 7-6-17",NA
"2709","1999M09","Compound 7-6-17",NA
"2710","1999M10","Compound 7-6-17",NA
"2711","1999M11","Compound 7-6-17",NA
"2712","1999M12","Compound 7-6-17",NA
"2713","2000M01","Compound 7-6-17",NA
"2714","2000M02","Compound 7-6-17",NA
"2715","2000M03","Compound 7-6-17",NA
"2716","2000M04","Compound 7-6-17",NA
"2717","2000M05","Compound 7-6-17",NA
"2718","2000M06","Compound 7-6-17",NA
"2719","2000M07","Compound 7-6-17",NA
"2720","2000M08","Compound 7-6-17",NA
"2721","2000M09","Compound 7-6-17",NA
"2722","2000M10","Compound 7-6-17",NA
"2723","2000M11","Compound 7-6-17",NA
"2724","2000M12","Compound 7-6-17",NA
"2725","2001M01","Compound 7-6-17",NA
"2726","2001M02","Compound 7-6-17",NA
"2727","2001M03","Compound 7-6-17",NA
"2728","2001M04","Compound 7-6-17",NA
"2729","2001M05","Compound 7-6-17",NA
"2730","2001M06","Compound 7-6-17",NA
"2731","2001M07","Compound 7-6-17",NA
"2732","2001M08","Compound 7-6-17",NA
"2733","2001M09","Compound 7-6-17",NA
"2734","2001M10","Compound 7-6-17",NA
"2735","2001M11","Compound 7-6-17",NA
"2736","2001M12","Compound 7-6-17",NA
"2737","2002M01","Compound 7-6-17",NA
"2738","2002M02","Compound 7-6-17",NA
"2739","2002M03","Compound 7-6-17",NA
"2740","2002M04","Compound 7-6-17",NA
"2741","2002M05","Compound 7-6-17",NA
"2742","2002M06","Compound 7-6-17",NA
"2743","2002M07","Compound 7-6-17",NA
"2744","2002M08","Compound 7-6-17",NA
"2745","2002M09","Compound 7-6-17",NA
"2746","2002M10","Compound 7-6-17",NA
"2747","2002M11","Compound 7-6-17",NA
"2748","2002M12","Compound 7-6-17",NA
"2749","2003M01","Compound 7-6-17",NA
"2750","2003M02","Compound 7-6-17",NA
"2751","2003M03","Compound 7-6-17",NA
"2752","2003M04","Compound 7-6-17",NA
"2753","2003M05","Compound 7-6-17",NA
"2754","2003M06","Compound 7-6-17",NA
"2755","2003M07","Compound 7-6-17",NA
"2756","2003M08","Compound 7-6-17",NA
"2757","2003M09","Compound 7-6-17",NA
"2758","2003M10","Compound 7-6-17",NA
"2759","2003M11","Compound 7-6-17",NA
"2760","2003M12","Compound 7-6-17",NA
"2761","2004M01","Compound 7-6-17",NA
"2762","2004M02","Compound 7-6-17",NA
"2763","2004M03","Compound 7-6-17",NA
"2764","2004M04","Compound 7-6-17",NA
"2765","2004M05","Compound 7-6-17",NA
"2766","2004M06","Compound 7-6-17",NA
"2767","2004M07","Compound 7-6-17",NA
"2768","2004M08","Compound 7-6-17",NA
"2769","2004M09","Compound 7-6-17",NA
"2770","2004M10","Compound 7-6-17",NA
"2771","2004M11","Compound 7-6-17",NA
"2772","2004M12","Compound 7-6-17",NA
"2773","2005M01","Compound 7-6-17",NA
"2774","2005M02","Compound 7-6-17",NA
"2775","2005M03","Compound 7-6-17",NA
"2776","2005M04","Compound 7-6-17",NA
"2777","2005M05","Compound 7-6-17",NA
"2778","2005M06","Compound 7-6-17",NA
"2779","2005M07","Compound 7-6-17",NA
"2780","2005M08","Compound 7-6-17",NA
"2781","2005M09","Compound 7-6-17",NA
"2782","2005M10","Compound 7-6-17",NA
"2783","2005M11","Compound 7-6-17",NA
"2784","2005M12","Compound 7-6-17",NA
"2785","2006M01","Compound 7-6-17",NA
"2786","2006M02","Compound 7-6-17",NA
"2787","2006M03","Compound 7-6-17",NA
"2788","2006M04","Compound 7-6-17",NA
"2789","2006M05","Compound 7-6-17",NA
"2790","2006M06","Compound 7-6-17",NA
"2791","2006M07","Compound 7-6-17",NA
"2792","2006M08","Compound 7-6-17",NA
"2793","2006M09","Compound 7-6-17",NA
"2794","2006M10","Compound 7-6-17",NA
"2795","2006M11","Compound 7-6-17",NA
"2796","2006M12","Compound 7-6-17",NA
"2797","2007M01","Compound 7-6-17",NA
"2798","2007M02","Compound 7-6-17",NA
"2799","2007M03","Compound 7-6-17",NA
"2800","2007M04","Compound 7-6-17",NA
"2801","2007M05","Compound 7-6-17",NA
"2802","2007M06","Compound 7-6-17",NA
"2803","2007M07","Compound 7-6-17",NA
"2804","2007M08","Compound 7-6-17",NA
"2805","2007M09","Compound 7-6-17",NA
"2806","2007M10","Compound 7-6-17",NA
"2807","2007M11","Compound 7-6-17",NA
"2808","2007M12","Compound 7-6-17",NA
"2809","2008M01","Compound 7-6-17",NA
"2810","2008M02","Compound 7-6-17",NA
"2811","2008M03","Compound 7-6-17",NA
"2812","2008M04","Compound 7-6-17",NA
"2813","2008M05","Compound 7-6-17",NA
"2814","2008M06","Compound 7-6-17",NA
"2815","2008M07","Compound 7-6-17",NA
"2816","2008M08","Compound 7-6-17",NA
"2817","2008M09","Compound 7-6-17",NA
"2818","2008M10","Compound 7-6-17",NA
"2819","2008M11","Compound 7-6-17",NA
"2820","2008M12","Compound 7-6-17",NA
"2821","2009M01","Compound 7-6-17",NA
"2822","2009M02","Compound 7-6-17",NA
"2823","2009M03","Compound 7-6-17",NA
"2824","2009M04","Compound 7-6-17",NA
"2825","2009M05","Compound 7-6-17",NA
"2826","2009M06","Compound 7-6-17",NA
"2827","2009M07","Compound 7-6-17",NA
"2828","2009M08","Compound 7-6-17",NA
"2829","2009M09","Compound 7-6-17",NA
"2830","2009M10","Compound 7-6-17",NA
"2831","2009M11","Compound 7-6-17",NA
"2832","2009M12","Compound 7-6-17",NA
"2833","2010M01","Compound 7-6-17",NA
"2834","2010M02","Compound 7-6-17",NA
"2835","2010M03","Compound 7-6-17",NA
"2836","2010M04","Compound 7-6-17",NA
"2837","2010M05","Compound 7-6-17",NA
"2838","2010M06","Compound 7-6-17",NA
"2839","2010M07","Compound 7-6-17",NA
"2840","2010M08","Compound 7-6-17",NA
"2841","2010M09","Compound 7-6-17",NA
"2842","2010M10","Compound 7-6-17",NA
"2843","2010M11","Compound 7-6-17",NA
"2844","2010M12","Compound 7-6-17",NA
"2845","2011M01","Compound 7-6-17",NA
"2846","2011M02","Compound 7-6-17",NA
"2847","2011M03","Compound 7-6-17",NA
"2848","2011M04","Compound 7-6-17",NA
"2849","2011M05","Compound 7-6-17",NA
"2850","2011M06","Compound 7-6-17",NA
"2851","2011M07","Compound 7-6-17",NA
"2852","2011M08","Compound 7-6-17",NA
"2853","2011M09","Compound 7-6-17",NA
"2854","2011M10","Compound 7-6-17",NA
"2855","2011M11","Compound 7-6-17",NA
"2856","2011M12","Compound 7-6-17",NA
"2857","2012M01","Compound 7-6-17",NA
"2858","2012M02","Compound 7-6-17",NA
"2859","2012M03","Compound 7-6-17",NA
"2860","2012M04","Compound 7-6-17",NA
"2861","2012M05","Compound 7-6-17",NA
"2862","2012M06","Compound 7-6-17",NA
"2863","2012M07","Compound 7-6-17",NA
"2864","2012M08","Compound 7-6-17",NA
"2865","2012M09","Compound 7-6-17",NA
"2866","2012M10","Compound 7-6-17",NA
"2867","2012M11","Compound 7-6-17",NA
"2868","2012M12","Compound 7-6-17",NA
"2869","2013M01","Compound 7-6-17",NA
"2870","2013M02","Compound 7-6-17",NA
"2871","2013M03","Compound 7-6-17",NA
"2872","2013M04","Compound 7-6-17",NA
"2873","2013M05","Compound 7-6-17",NA
"2874","2013M06","Compound 7-6-17",NA
"2875","2013M07","Compound 7-6-17",NA
"2876","2013M08","Compound 7-6-17",NA
"2877","2013M09","Compound 7-6-17",NA
"2878","2013M10","Compound 7-6-17",NA
"2879","2013M11","Compound 7-6-17",NA
"2880","2013M12","Compound 7-6-17",NA
"2881","2014M01","Compound 7-6-17",485
"2882","2014M02","Compound 7-6-17",476
"2883","2014M03","Compound 7-6-17",472
"2884","2014M04","Compound 7-6-17",470
"2885","1980M01","Compound 10-10-20",165
"2886","1980M02","Compound 10-10-20",167
"2887","1980M03","Compound 10-10-20",169
"2888","1980M04","Compound 10-10-20",170
"2889","1980M05","Compound 10-10-20",171
"2890","1980M06","Compound 10-10-20",171
"2891","1980M07","Compound 10-10-20",171
"2892","1980M08","Compound 10-10-20",172
"2893","1980M09","Compound 10-10-20",183
"2894","1980M10","Compound 10-10-20",183
"2895","1980M11","Compound 10-10-20",185
"2896","1980M12","Compound 10-10-20",187
"2897","1981M01","Compound 10-10-20",189
"2898","1981M02","Compound 10-10-20",191
"2899","1981M03","Compound 10-10-20",195
"2900","1981M04","Compound 10-10-20",199
"2901","1981M05","Compound 10-10-20",201
"2902","1981M06","Compound 10-10-20",201
"2903","1981M07","Compound 10-10-20",201
"2904","1981M08","Compound 10-10-20",202
"2905","1981M09","Compound 10-10-20",205
"2906","1981M10","Compound 10-10-20",205
"2907","1981M11","Compound 10-10-20",205
"2908","1981M12","Compound 10-10-20",204
"2909","1982M01","Compound 10-10-20",205
"2910","1982M02","Compound 10-10-20",205
"2911","1982M03","Compound 10-10-20",207
"2912","1982M04","Compound 10-10-20",207
"2913","1982M05","Compound 10-10-20",207
"2914","1982M06","Compound 10-10-20",207
"2915","1982M07","Compound 10-10-20",206
"2916","1982M08","Compound 10-10-20",206
"2917","1982M09","Compound 10-10-20",206
"2918","1982M10","Compound 10-10-20",206
"2919","1982M11","Compound 10-10-20",206
"2920","1982M12","Compound 10-10-20",205
"2921","1983M01","Compound 10-10-20",204
"2922","1983M02","Compound 10-10-20",204
"2923","1983M03","Compound 10-10-20",205
"2924","1983M04","Compound 10-10-20",207
"2925","1983M05","Compound 10-10-20",207
"2926","1983M06","Compound 10-10-20",207
"2927","1983M07","Compound 10-10-20",207
"2928","1983M08","Compound 10-10-20",207
"2929","1983M09","Compound 10-10-20",208
"2930","1983M10","Compound 10-10-20",208
"2931","1983M11","Compound 10-10-20",210
"2932","1983M12","Compound 10-10-20",213
"2933","1984M01","Compound 10-10-20",217
"2934","1984M02","Compound 10-10-20",222
