"","Statistic","Liveweight","Month","value"
"707","Pig Price per Head (Euro)","Pigs 25-34 kg","1983M05",41.57
"708","Pig Price per Kg (Euro)","Pigs 25-34 kg","1983M05",1.35
"709","Pig Price per Head (Euro)","Pigs 35-44 kg","1983M05",49.04
"710","Pig Price per Kg (Euro)","Pigs 35-44 kg","1983M05",1.28
"711","Pig Price per Head (Euro)","Pigs 45-54 kg","1983M05",55.87
"712","Pig Price per Kg (Euro)","Pigs 45-54 kg","1983M05",1.18
"713","Pig Price per Head (Euro)","Pigs 15-24 kg","1983M06",32.48
"714","Pig Price per Kg (Euro)","Pigs 15-24 kg","1983M06",1.46
"715","Pig Price per Head (Euro)","Pigs 25-34 kg","1983M06",41.63
"716","Pig Price per Kg (Euro)","Pigs 25-34 kg","1983M06",1.36
"717","Pig Price per Head (Euro)","Pigs 35-44 kg","1983M06",48.96
"718","Pig Price per Kg (Euro)","Pigs 35-44 kg","1983M06",1.28
"719","Pig Price per Head (Euro)","Pigs 45-54 kg","1983M06",55.46
"720","Pig Price per Kg (Euro)","Pigs 45-54 kg","1983M06",1.18
"721","Pig Price per Head (Euro)","Pigs 15-24 kg","1983M07",32.62
"722","Pig Price per Kg (Euro)","Pigs 15-24 kg","1983M07",1.43
"723","Pig Price per Head (Euro)","Pigs 25-34 kg","1983M07",41.23
"724","Pig Price per Kg (Euro)","Pigs 25-34 kg","1983M07",1.38
"725","Pig Price per Head (Euro)","Pigs 35-44 kg","1983M07",48.36
"726","Pig Price per Kg (Euro)","Pigs 35-44 kg","1983M07",1.27
"727","Pig Price per Head (Euro)","Pigs 45-54 kg","1983M07",56.69
"728","Pig Price per Kg (Euro)","Pigs 45-54 kg","1983M07",1.21
"729","Pig Price per Head (Euro)","Pigs 15-24 kg","1983M08",31.02
"730","Pig Price per Kg (Euro)","Pigs 15-24 kg","1983M08",1.4
"731","Pig Price per Head (Euro)","Pigs 25-34 kg","1983M08",39.58
"732","Pig Price per Kg (Euro)","Pigs 25-34 kg","1983M08",1.32
"733","Pig Price per Head (Euro)","Pigs 35-44 kg","1983M08",47.7
"734","Pig Price per Kg (Euro)","Pigs 35-44 kg","1983M08",1.26
"735","Pig Price per Head (Euro)","Pigs 45-54 kg","1983M08",52.94
"736","Pig Price per Kg (Euro)","Pigs 45-54 kg","1983M08",1.12
"737","Pig Price per Head (Euro)","Pigs 15-24 kg","1983M09",31.59
"738","Pig Price per Kg (Euro)","Pigs 15-24 kg","1983M09",1.43
"739","Pig Price per Head (Euro)","Pigs 25-34 kg","1983M09",40.1
"740","Pig Price per Kg (Euro)","Pigs 25-34 kg","1983M09",1.33
"741","Pig Price per Head (Euro)","Pigs 35-44 kg","1983M09",48.99
"742","Pig Price per Kg (Euro)","Pigs 35-44 kg","1983M09",1.28
"743","Pig Price per Head (Euro)","Pigs 45-54 kg","1983M09",57.65
"744","Pig Price per Kg (Euro)","Pigs 45-54 kg","1983M09",1.21
"745","Pig Price per Head (Euro)","Pigs 15-24 kg","1983M10",30.5
"746","Pig Price per Kg (Euro)","Pigs 15-24 kg","1983M10",1.42
"747","Pig Price per Head (Euro)","Pigs 25-34 kg","1983M10",38.55
"748","Pig Price per Kg (Euro)","Pigs 25-34 kg","1983M10",1.28
"749","Pig Price per Head (Euro)","Pigs 35-44 kg","1983M10",46.84
"750","Pig Price per Kg (Euro)","Pigs 35-44 kg","1983M10",1.24
"751","Pig Price per Head (Euro)","Pigs 45-54 kg","1983M10",55.14
"752","Pig Price per Kg (Euro)","Pigs 45-54 kg","1983M10",1.16
"753","Pig Price per Head (Euro)","Pigs 15-24 kg","1983M11",27.1
"754","Pig Price per Kg (Euro)","Pigs 15-24 kg","1983M11",1.18
"755","Pig Price per Head (Euro)","Pigs 25-34 kg","1983M11",35.27
"756","Pig Price per Kg (Euro)","Pigs 25-34 kg","1983M11",1.14
"757","Pig Price per Head (Euro)","Pigs 35-44 kg","1983M11",42.51
"758","Pig Price per Kg (Euro)","Pigs 35-44 kg","1983M11",1.12
"759","Pig Price per Head (Euro)","Pigs 45-54 kg","1983M11",53.25
"760","Pig Price per Kg (Euro)","Pigs 45-54 kg","1983M11",1.1
"761","Pig Price per Head (Euro)","Pigs 15-24 kg","1983M12",26.37
"762","Pig Price per Kg (Euro)","Pigs 15-24 kg","1983M12",1.21
"763","Pig Price per Head (Euro)","Pigs 25-34 kg","1983M12",36.2
"764","Pig Price per Kg (Euro)","Pigs 25-34 kg","1983M12",1.21
"765","Pig Price per Head (Euro)","Pigs 35-44 kg","1983M12",43.88
"766","Pig Price per Kg (Euro)","Pigs 35-44 kg","1983M12",1.16
"767","Pig Price per Head (Euro)","Pigs 45-54 kg","1983M12",52.3
"768","Pig Price per Kg (Euro)","Pigs 45-54 kg","1983M12",1.09
"769","Pig Price per Head (Euro)","Pigs 15-24 kg","1984M01",24.75
"770","Pig Price per Kg (Euro)","Pigs 15-24 kg","1984M01",1.07
"771","Pig Price per Head (Euro)","Pigs 25-34 kg","1984M01",33.74
"772","Pig Price per Kg (Euro)","Pigs 25-34 kg","1984M01",1.09
"773","Pig Price per Head (Euro)","Pigs 35-44 kg","1984M01",40.86
"774","Pig Price per Kg (Euro)","Pigs 35-44 kg","1984M01",1.08
"775","Pig Price per Head (Euro)","Pigs 45-54 kg","1984M01",48.12
"776","Pig Price per Kg (Euro)","Pigs 45-54 kg","1984M01",1
"777","Pig Price per Head (Euro)","Pigs 15-24 kg","1984M02",25.38
"778","Pig Price per Kg (Euro)","Pigs 15-24 kg","1984M02",1.17
"779","Pig Price per Head (Euro)","Pigs 25-34 kg","1984M02",35.54
"780","Pig Price per Kg (Euro)","Pigs 25-34 kg","1984M02",1.18
"781","Pig Price per Head (Euro)","Pigs 35-44 kg","1984M02",44.56
"782","Pig Price per Kg (Euro)","Pigs 35-44 kg","1984M02",1.16
"783","Pig Price per Head (Euro)","Pigs 45-54 kg","1984M02",52.78
"784","Pig Price per Kg (Euro)","Pigs 45-54 kg","1984M02",1.1
"785","Pig Price per Head (Euro)","Pigs 15-24 kg","1984M03",28.05
"786","Pig Price per Kg (Euro)","Pigs 15-24 kg","1984M03",1.3
"787","Pig Price per Head (Euro)","Pigs 25-34 kg","1984M03",40.54
"788","Pig Price per Kg (Euro)","Pigs 25-34 kg","1984M03",1.32
"789","Pig Price per Head (Euro)","Pigs 35-44 kg","1984M03",46.71
"790","Pig Price per Kg (Euro)","Pigs 35-44 kg","1984M03",1.22
"791","Pig Price per Head (Euro)","Pigs 45-54 kg","1984M03",54.52
"792","Pig Price per Kg (Euro)","Pigs 45-54 kg","1984M03",1.17
"793","Pig Price per Head (Euro)","Pigs 15-24 kg","1984M04",36.23
"794","Pig Price per Kg (Euro)","Pigs 15-24 kg","1984M04",1.71
"795","Pig Price per Head (Euro)","Pigs 25-34 kg","1984M04",47.16
"796","Pig Price per Kg (Euro)","Pigs 25-34 kg","1984M04",1.56
"797","Pig Price per Head (Euro)","Pigs 35-44 kg","1984M04",54.09
"798","Pig Price per Kg (Euro)","Pigs 35-44 kg","1984M04",1.42
"799","Pig Price per Head (Euro)","Pigs 45-54 kg","1984M04",58.93
"800","Pig Price per Kg (Euro)","Pigs 45-54 kg","1984M04",1.23
"801","Pig Price per Head (Euro)","Pigs 15-24 kg","1984M05",34.56
"802","Pig Price per Kg (Euro)","Pigs 15-24 kg","1984M05",1.61
"803","Pig Price per Head (Euro)","Pigs 25-34 kg","1984M05",45.34
"804","Pig Price per Kg (Euro)","Pigs 25-34 kg","1984M05",1.5
"805","Pig Price per Head (Euro)","Pigs 35-44 kg","1984M05",52.59
"806","Pig Price per Kg (Euro)","Pigs 35-44 kg","1984M05",1.38
"807","Pig Price per Head (Euro)","Pigs 45-54 kg","1984M05",62.31
"808","Pig Price per Kg (Euro)","Pigs 45-54 kg","1984M05",1.31
"809","Pig Price per Head (Euro)","Pigs 15-24 kg","1984M06",33.01
"810","Pig Price per Kg (Euro)","Pigs 15-24 kg","1984M06",1.5
"811","Pig Price per Head (Euro)","Pigs 25-34 kg","1984M06",43.49
"812","Pig Price per Kg (Euro)","Pigs 25-34 kg","1984M06",1.45
"813","Pig Price per Head (Euro)","Pigs 35-44 kg","1984M06",50.89
"814","Pig Price per Kg (Euro)","Pigs 35-44 kg","1984M06",1.35
"815","Pig Price per Head (Euro)","Pigs 45-54 kg","1984M06",60.08
"816","Pig Price per Kg (Euro)","Pigs 45-54 kg","1984M06",1.26
"817","Pig Price per Head (Euro)","Pigs 15-24 kg","1984M07",34.4
"818","Pig Price per Kg (Euro)","Pigs 15-24 kg","1984M07",1.56
"819","Pig Price per Head (Euro)","Pigs 25-34 kg","1984M07",43.72
"820","Pig Price per Kg (Euro)","Pigs 25-34 kg","1984M07",1.43
"821","Pig Price per Head (Euro)","Pigs 35-44 kg","1984M07",50.87
"822","Pig Price per Kg (Euro)","Pigs 35-44 kg","1984M07",1.33
"823","Pig Price per Head (Euro)","Pigs 45-54 kg","1984M07",58.29
"824","Pig Price per Kg (Euro)","Pigs 45-54 kg","1984M07",1.27
"825","Pig Price per Head (Euro)","Pigs 15-24 kg","1984M08",34.96
"826","Pig Price per Kg (Euro)","Pigs 15-24 kg","1984M08",1.57
"827","Pig Price per Head (Euro)","Pigs 25-34 kg","1984M08",44.22
"828","Pig Price per Kg (Euro)","Pigs 25-34 kg","1984M08",1.47
"829","Pig Price per Head (Euro)","Pigs 35-44 kg","1984M08",51.83
"830","Pig Price per Kg (Euro)","Pigs 35-44 kg","1984M08",1.38
"831","Pig Price per Head (Euro)","Pigs 45-54 kg","1984M08",59.33
"832","Pig Price per Kg (Euro)","Pigs 45-54 kg","1984M08",1.24
"833","Pig Price per Head (Euro)","Pigs 15-24 kg","1984M09",37.28
"834","Pig Price per Kg (Euro)","Pigs 15-24 kg","1984M09",1.65
"835","Pig Price per Head (Euro)","Pigs 25-34 kg","1984M09",46.45
"836","Pig Price per Kg (Euro)","Pigs 25-34 kg","1984M09",1.55
"837","Pig Price per Head (Euro)","Pigs 35-44 kg","1984M09",53.85
"838","Pig Price per Kg (Euro)","Pigs 35-44 kg","1984M09",1.43
"839","Pig Price per Head (Euro)","Pigs 45-54 kg","1984M09",62.19
"840","Pig Price per Kg (Euro)","Pigs 45-54 kg","1984M09",1.32
"841","Pig Price per Head (Euro)","Pigs 15-24 kg","1984M10",33.05
"842","Pig Price per Kg (Euro)","Pigs 15-24 kg","1984M10",1.54
"843","Pig Price per Head (Euro)","Pigs 25-34 kg","1984M10",43.15
"844","Pig Price per Kg (Euro)","Pigs 25-34 kg","1984M10",1.42
"845","Pig Price per Head (Euro)","Pigs 35-44 kg","1984M10",50.62
"846","Pig Price per Kg (Euro)","Pigs 35-44 kg","1984M10",1.32
"847","Pig Price per Head (Euro)","Pigs 45-54 kg","1984M10",59.27
"848","Pig Price per Kg (Euro)","Pigs 45-54 kg","1984M10",1.24
"849","Pig Price per Head (Euro)","Pigs 15-24 kg","1984M11",31.35
"850","Pig Price per Kg (Euro)","Pigs 15-24 kg","1984M11",1.4
"851","Pig Price per Head (Euro)","Pigs 25-34 kg","1984M11",40.29
"852","Pig Price per Kg (Euro)","Pigs 25-34 kg","1984M11",1.31
"853","Pig Price per Head (Euro)","Pigs 35-44 kg","1984M11",47.41
"854","Pig Price per Kg (Euro)","Pigs 35-44 kg","1984M11",1.24
"855","Pig Price per Head (Euro)","Pigs 45-54 kg","1984M11",56.24
"856","Pig Price per Kg (Euro)","Pigs 45-54 kg","1984M11",1.16
"857","Pig Price per Head (Euro)","Pigs 15-24 kg","1984M12",27.55
"858","Pig Price per Kg (Euro)","Pigs 15-24 kg","1984M12",1.22
"859","Pig Price per Head (Euro)","Pigs 25-34 kg","1984M12",36.4
"860","Pig Price per Kg (Euro)","Pigs 25-34 kg","1984M12",1.22
"861","Pig Price per Head (Euro)","Pigs 35-44 kg","1984M12",44.35
"862","Pig Price per Kg (Euro)","Pigs 35-44 kg","1984M12",1.18
"863","Pig Price per Head (Euro)","Pigs 45-54 kg","1984M12",54.29
"864","Pig Price per Kg (Euro)","Pigs 45-54 kg","1984M12",1.13
"865","Pig Price per Head (Euro)","Pigs 15-24 kg","1985M01",32.02
"866","Pig Price per Kg (Euro)","Pigs 15-24 kg","1985M01",1.4
"867","Pig Price per Head (Euro)","Pigs 25-34 kg","1985M01",40.21
"868","Pig Price per Kg (Euro)","Pigs 25-34 kg","1985M01",1.28
"869","Pig Price per Head (Euro)","Pigs 35-44 kg","1985M01",47.82
"870","Pig Price per Kg (Euro)","Pigs 35-44 kg","1985M01",1.24
"871","Pig Price per Head (Euro)","Pigs 45-54 kg","1985M01",54.04
"872","Pig Price per Kg (Euro)","Pigs 45-54 kg","1985M01",1.14
"873","Pig Price per Head (Euro)","Pigs 15-24 kg","1985M02",31.27
"874","Pig Price per Kg (Euro)","Pigs 15-24 kg","1985M02",1.41
"875","Pig Price per Head (Euro)","Pigs 25-34 kg","1985M02",43.02
"876","Pig Price per Kg (Euro)","Pigs 25-34 kg","1985M02",1.4
"877","Pig Price per Head (Euro)","Pigs 35-44 kg","1985M02",49.77
"878","Pig Price per Kg (Euro)","Pigs 35-44 kg","1985M02",1.32
"879","Pig Price per Head (Euro)","Pigs 45-54 kg","1985M02",56.44
"880","Pig Price per Kg (Euro)","Pigs 45-54 kg","1985M02",1.19
"881","Pig Price per Head (Euro)","Pigs 15-24 kg","1985M03",35.57
"882","Pig Price per Kg (Euro)","Pigs 15-24 kg","1985M03",1.64
"883","Pig Price per Head (Euro)","Pigs 25-34 kg","1985M03",42.99
"884","Pig Price per Kg (Euro)","Pigs 25-34 kg","1985M03",1.45
"885","Pig Price per Head (Euro)","Pigs 35-44 kg","1985M03",51.41
"886","Pig Price per Kg (Euro)","Pigs 35-44 kg","1985M03",1.33
"887","Pig Price per Head (Euro)","Pigs 45-54 kg","1985M03",56.63
"888","Pig Price per Kg (Euro)","Pigs 45-54 kg","1985M03",1.22
"889","Pig Price per Head (Euro)","Pigs 15-24 kg","1985M04",31.59
"890","Pig Price per Kg (Euro)","Pigs 15-24 kg","1985M04",1.43
"891","Pig Price per Head (Euro)","Pigs 25-34 kg","1985M04",44.34
"892","Pig Price per Kg (Euro)","Pigs 25-34 kg","1985M04",1.45
"893","Pig Price per Head (Euro)","Pigs 35-44 kg","1985M04",49.81
"894","Pig Price per Kg (Euro)","Pigs 35-44 kg","1985M04",1.31
"895","Pig Price per Head (Euro)","Pigs 45-54 kg","1985M04",55.74
"896","Pig Price per Kg (Euro)","Pigs 45-54 kg","1985M04",1.17
"897","Pig Price per Head (Euro)","Pigs 15-24 kg","1985M05",35.81
"898","Pig Price per Kg (Euro)","Pigs 15-24 kg","1985M05",1.71
"899","Pig Price per Head (Euro)","Pigs 25-34 kg","1985M05",42.68
"900","Pig Price per Kg (Euro)","Pigs 25-34 kg","1985M05",1.4
"901","Pig Price per Head (Euro)","Pigs 35-44 kg","1985M05",49.11
"902","Pig Price per Kg (Euro)","Pigs 35-44 kg","1985M05",1.33
"903","Pig Price per Head (Euro)","Pigs 45-54 kg","1985M05",57.3
"904","Pig Price per Kg (Euro)","Pigs 45-54 kg","1985M05",1.19
"905","Pig Price per Head (Euro)","Pigs 15-24 kg","1985M06",33.32
"906","Pig Price per Kg (Euro)","Pigs 15-24 kg","1985M06",1.5
"907","Pig Price per Head (Euro)","Pigs 25-34 kg","1985M06",43.56
"908","Pig Price per Kg (Euro)","Pigs 25-34 kg","1985M06",1.45
"909","Pig Price per Head (Euro)","Pigs 35-44 kg","1985M06",51.56
"910","Pig Price per Kg (Euro)","Pigs 35-44 kg","1985M06",1.35
"911","Pig Price per Head (Euro)","Pigs 45-54 kg","1985M06",59.32
"912","Pig Price per Kg (Euro)","Pigs 45-54 kg","1985M06",1.28
"913","Pig Price per Head (Euro)","Pigs 15-24 kg","1985M07",34.59
"914","Pig Price per Kg (Euro)","Pigs 15-24 kg","1985M07",1.63
"915","Pig Price per Head (Euro)","Pigs 25-34 kg","1985M07",44.16
"916","Pig Price per Kg (Euro)","Pigs 25-34 kg","1985M07",1.47
"917","Pig Price per Head (Euro)","Pigs 35-44 kg","1985M07",52.77
"918","Pig Price per Kg (Euro)","Pigs 35-44 kg","1985M07",1.37
"919","Pig Price per Head (Euro)","Pigs 45-54 kg","1985M07",60.95
"920","Pig Price per Kg (Euro)","Pigs 45-54 kg","1985M07",1.22
"921","Pig Price per Head (Euro)","Pigs 15-24 kg","1985M08",33.48
"922","Pig Price per Kg (Euro)","Pigs 15-24 kg","1985M08",1.54
"923","Pig Price per Head (Euro)","Pigs 25-34 kg","1985M08",43.53
"924","Pig Price per Kg (Euro)","Pigs 25-34 kg","1985M08",1.45
"925","Pig Price per Head (Euro)","Pigs 35-44 kg","1985M08",50.89
"926","Pig Price per Kg (Euro)","Pigs 35-44 kg","1985M08",1.35
"927","Pig Price per Head (Euro)","Pigs 45-54 kg","1985M08",58.62
"928","Pig Price per Kg (Euro)","Pigs 45-54 kg","1985M08",1.21
"929","Pig Price per Head (Euro)","Pigs 15-24 kg","1985M09",32.96
"930","Pig Price per Kg (Euro)","Pigs 15-24 kg","1985M09",1.61
"931","Pig Price per Head (Euro)","Pigs 25-34 kg","1985M09",42.76
"932","Pig Price per Kg (Euro)","Pigs 25-34 kg","1985M09",1.42
"933","Pig Price per Head (Euro)","Pigs 35-44 kg","1985M09",50.45
"934","Pig Price per Kg (Euro)","Pigs 35-44 kg","1985M09",1.32
"935","Pig Price per Head (Euro)","Pigs 45-54 kg","1985M09",57.43
"936","Pig Price per Kg (Euro)","Pigs 45-54 kg","1985M09",1.17
"937","Pig Price per Head (Euro)","Pigs 15-24 kg","1985M10",28.21
"938","Pig Price per Kg (Euro)","Pigs 15-24 kg","1985M10",1.27
"939","Pig Price per Head (Euro)","Pigs 25-34 kg","1985M10",38.4
"940","Pig Price per Kg (Euro)","Pigs 25-34 kg","1985M10",1.26
"941","Pig Price per Head (Euro)","Pigs 35-44 kg","1985M10",46.21
"942","Pig Price per Kg (Euro)","Pigs 35-44 kg","1985M10",1.21
"943","Pig Price per Head (Euro)","Pigs 45-54 kg","1985M10",52.49
"944","Pig Price per Kg (Euro)","Pigs 45-54 kg","1985M10",1.13
"945","Pig Price per Head (Euro)","Pigs 15-24 kg","1985M11",29.04
"946","Pig Price per Kg (Euro)","Pigs 15-24 kg","1985M11",1.33
"947","Pig Price per Head (Euro)","Pigs 25-34 kg","1985M11",38.96
"948","Pig Price per Kg (Euro)","Pigs 25-34 kg","1985M11",1.28
"949","Pig Price per Head (Euro)","Pigs 35-44 kg","1985M11",47.21
"950","Pig Price per Kg (Euro)","Pigs 35-44 kg","1985M11",1.23
"951","Pig Price per Head (Euro)","Pigs 45-54 kg","1985M11",55.56
"952","Pig Price per Kg (Euro)","Pigs 45-54 kg","1985M11",1.09
"953","Pig Price per Head (Euro)","Pigs 15-24 kg","1985M12",28.82
"954","Pig Price per Kg (Euro)","Pigs 15-24 kg","1985M12",1.31
"955","Pig Price per Head (Euro)","Pigs 25-34 kg","1985M12",38.5
"956","Pig Price per Kg (Euro)","Pigs 25-34 kg","1985M12",1.26
"957","Pig Price per Head (Euro)","Pigs 35-44 kg","1985M12",45.94
"958","Pig Price per Kg (Euro)","Pigs 35-44 kg","1985M12",1.22
"959","Pig Price per Head (Euro)","Pigs 45-54 kg","1985M12",53.15
"960","Pig Price per Kg (Euro)","Pigs 45-54 kg","1985M12",1.1
"961","Pig Price per Head (Euro)","Pigs 15-24 kg","1986M01",33.86
"962","Pig Price per Kg (Euro)","Pigs 15-24 kg","1986M01",1.49
"963","Pig Price per Head (Euro)","Pigs 25-34 kg","1986M01",40.19
"964","Pig Price per Kg (Euro)","Pigs 25-34 kg","1986M01",1.31
"965","Pig Price per Head (Euro)","Pigs 35-44 kg","1986M01",47.87
"966","Pig Price per Kg (Euro)","Pigs 35-44 kg","1986M01",1.24
"967","Pig Price per Head (Euro)","Pigs 45-54 kg","1986M01",55.93
"968","Pig Price per Kg (Euro)","Pigs 45-54 kg","1986M01",1.16
"969","Pig Price per Head (Euro)","Pigs 15-24 kg","1986M02",30.47
"970","Pig Price per Kg (Euro)","Pigs 15-24 kg","1986M02",1.46
"971","Pig Price per Head (Euro)","Pigs 25-34 kg","1986M02",42.32
"972","Pig Price per Kg (Euro)","Pigs 25-34 kg","1986M02",1.37
"973","Pig Price per Head (Euro)","Pigs 35-44 kg","1986M02",50.73
"974","Pig Price per Kg (Euro)","Pigs 35-44 kg","1986M02",1.32
"975","Pig Price per Head (Euro)","Pigs 45-54 kg","1986M02",59.28
"976","Pig Price per Kg (Euro)","Pigs 45-54 kg","1986M02",1.24
"977","Pig Price per Head (Euro)","Pigs 15-24 kg","1986M03",32.07
"978","Pig Price per Kg (Euro)","Pigs 15-24 kg","1986M03",1.49
"979","Pig Price per Head (Euro)","Pigs 25-34 kg","1986M03",41.47
"980","Pig Price per Kg (Euro)","Pigs 25-34 kg","1986M03",1.38
"981","Pig Price per Head (Euro)","Pigs 35-44 kg","1986M03",50.31
"982","Pig Price per Kg (Euro)","Pigs 35-44 kg","1986M03",1.33
"983","Pig Price per Head (Euro)","Pigs 45-54 kg","1986M03",58.04
"984","Pig Price per Kg (Euro)","Pigs 45-54 kg","1986M03",1.21
"985","Pig Price per Head (Euro)","Pigs 15-24 kg","1986M04",30.49
"986","Pig Price per Kg (Euro)","Pigs 15-24 kg","1986M04",1.43
"987","Pig Price per Head (Euro)","Pigs 25-34 kg","1986M04",40.61
"988","Pig Price per Kg (Euro)","Pigs 25-34 kg","1986M04",1.35
"989","Pig Price per Head (Euro)","Pigs 35-44 kg","1986M04",48.66
"990","Pig Price per Kg (Euro)","Pigs 35-44 kg","1986M04",1.28
"991","Pig Price per Head (Euro)","Pigs 45-54 kg","1986M04",56.71
"992","Pig Price per Kg (Euro)","Pigs 45-54 kg","1986M04",1.16
"993","Pig Price per Head (Euro)","Pigs 15-24 kg","1986M05",29.75
"994","Pig Price per Kg (Euro)","Pigs 15-24 kg","1986M05",1.32
"995","Pig Price per Head (Euro)","Pigs 25-34 kg","1986M05",40.86
"996","Pig Price per Kg (Euro)","Pigs 25-34 kg","1986M05",1.31
"997","Pig Price per Head (Euro)","Pigs 35-44 kg","1986M05",47.39
"998","Pig Price per Kg (Euro)","Pigs 35-44 kg","1986M05",1.23
"999","Pig Price per Head (Euro)","Pigs 45-54 kg","1986M05",55.22
"1000","Pig Price per Kg (Euro)","Pigs 45-54 kg","1986M05",1.12
"1001","Pig Price per Head (Euro)","Pigs 15-24 kg","1986M06",26.75
"1002","Pig Price per Kg (Euro)","Pigs 15-24 kg","1986M06",1.19
"1003","Pig Price per Head (Euro)","Pigs 25-34 kg","1986M06",35.31
"1004","Pig Price per Kg (Euro)","Pigs 25-34 kg","1986M06",1.17
"1005","Pig Price per Head (Euro)","Pigs 35-44 kg","1986M06",43.79
"1006","Pig Price per Kg (Euro)","Pigs 35-44 kg","1986M06",1.16
"1007","Pig Price per Head (Euro)","Pigs 45-54 kg","1986M06",52.15
"1008","Pig Price per Kg (Euro)","Pigs 45-54 kg","1986M06",1.09
"1009","Pig Price per Head (Euro)","Pigs 15-24 kg","1986M07",20.75
"1010","Pig Price per Kg (Euro)","Pigs 15-24 kg","1986M07",1
"1011","Pig Price per Head (Euro)","Pigs 25-34 kg","1986M07",29.19
"1012","Pig Price per Kg (Euro)","Pigs 25-34 kg","1986M07",0.95
"1013","Pig Price per Head (Euro)","Pigs 35-44 kg","1986M07",36.61
"1014","Pig Price per Kg (Euro)","Pigs 35-44 kg","1986M07",0.97
"1015","Pig Price per Head (Euro)","Pigs 45-54 kg","1986M07",46.08
"1016","Pig Price per Kg (Euro)","Pigs 45-54 kg","1986M07",0.97
"1017","Pig Price per Head (Euro)","Pigs 15-24 kg","1986M08",27.97
"1018","Pig Price per Kg (Euro)","Pigs 15-24 kg","1986M08",1.23
"1019","Pig Price per Head (Euro)","Pigs 25-34 kg","1986M08",31.57
"1020","Pig Price per Kg (Euro)","Pigs 25-34 kg","1986M08",1.05
"1021","Pig Price per Head (Euro)","Pigs 35-44 kg","1986M08",40.07
"1022","Pig Price per Kg (Euro)","Pigs 35-44 kg","1986M08",1.04
"1023","Pig Price per Head (Euro)","Pigs 45-54 kg","1986M08",49.46
"1024","Pig Price per Kg (Euro)","Pigs 45-54 kg","1986M08",1.03
"1025","Pig Price per Head (Euro)","Pigs 15-24 kg","1986M09",27.86
"1026","Pig Price per Kg (Euro)","Pigs 15-24 kg","1986M09",1.24
"1027","Pig Price per Head (Euro)","Pigs 25-34 kg","1986M09",33.32
"1028","Pig Price per Kg (Euro)","Pigs 25-34 kg","1986M09",1.14
"1029","Pig Price per Head (Euro)","Pigs 35-44 kg","1986M09",42.63
"1030","Pig Price per Kg (Euro)","Pigs 35-44 kg","1986M09",1.12
"1031","Pig Price per Head (Euro)","Pigs 45-54 kg","1986M09",49.39
"1032","Pig Price per Kg (Euro)","Pigs 45-54 kg","1986M09",1.05
"1033","Pig Price per Head (Euro)","Pigs 15-24 kg","1986M10",25.72
"1034","Pig Price per Kg (Euro)","Pigs 15-24 kg","1986M10",1.16
"1035","Pig Price per Head (Euro)","Pigs 25-34 kg","1986M10",31.55
"1036","Pig Price per Kg (Euro)","Pigs 25-34 kg","1986M10",1.08
"1037","Pig Price per Head (Euro)","Pigs 35-44 kg","1986M10",40.9
"1038","Pig Price per Kg (Euro)","Pigs 35-44 kg","1986M10",1.05
"1039","Pig Price per Head (Euro)","Pigs 45-54 kg","1986M10",46.71
"1040","Pig Price per Kg (Euro)","Pigs 45-54 kg","1986M10",0.98
"1041","Pig Price per Head (Euro)","Pigs 15-24 kg","1986M11",25.26
"1042","Pig Price per Kg (Euro)","Pigs 15-24 kg","1986M11",1.13
"1043","Pig Price per Head (Euro)","Pigs 25-34 kg","1986M11",32.42
"1044","Pig Price per Kg (Euro)","Pigs 25-34 kg","1986M11",1.09
"1045","Pig Price per Head (Euro)","Pigs 35-44 kg","1986M11",41.04
"1046","Pig Price per Kg (Euro)","Pigs 35-44 kg","1986M11",1.05
"1047","Pig Price per Head (Euro)","Pigs 45-54 kg","1986M11",47.04
"1048","Pig Price per Kg (Euro)","Pigs 45-54 kg","1986M11",0.98
"1049","Pig Price per Head (Euro)","Pigs 15-24 kg","1986M12",29.05
"1050","Pig Price per Kg (Euro)","Pigs 15-24 kg","1986M12",1.31
"1051","Pig Price per Head (Euro)","Pigs 25-34 kg","1986M12",35.57
"1052","Pig Price per Kg (Euro)","Pigs 25-34 kg","1986M12",1.19
"1053","Pig Price per Head (Euro)","Pigs 35-44 kg","1986M12",41.58
"1054","Pig Price per Kg (Euro)","Pigs 35-44 kg","1986M12",1.09
"1055","Pig Price per Head (Euro)","Pigs 45-54 kg","1986M12",46.03
"1056","Pig Price per Kg (Euro)","Pigs 45-54 kg","1986M12",0.97
"1057","Pig Price per Head (Euro)","Pigs 15-24 kg","1987M01",28.45
"1058","Pig Price per Kg (Euro)","Pigs 15-24 kg","1987M01",1.35
"1059","Pig Price per Head (Euro)","Pigs 25-34 kg","1987M01",36.72
"1060","Pig Price per Kg (Euro)","Pigs 25-34 kg","1987M01",1.19
"1061","Pig Price per Head (Euro)","Pigs 35-44 kg","1987M01",44.81
"1062","Pig Price per Kg (Euro)","Pigs 35-44 kg","1987M01",1.17
"1063","Pig Price per Head (Euro)","Pigs 45-54 kg","1987M01",50.15
"1064","Pig Price per Kg (Euro)","Pigs 45-54 kg","1987M01",1.04
"1065","Pig Price per Head (Euro)","Pigs 15-24 kg","1987M02",29.19
"1066","Pig Price per Kg (Euro)","Pigs 15-24 kg","1987M02",1.41
"1067","Pig Price per Head (Euro)","Pigs 25-34 kg","1987M02",36.96
