"","Statistic","Year","Liveweight","value"
"140","Pig Price per Kg (Euro)","2010","Pigs 25-34 kg",NA
"141","Pig Price per Head (Euro)","1976","Pigs 35-44 kg",32.42
"142","Pig Price per Kg (Euro)","1976","Pigs 35-44 kg",0.81
"143","Pig Price per Head (Euro)","1977","Pigs 35-44 kg",40.02
"144","Pig Price per Kg (Euro)","1977","Pigs 35-44 kg",1.03
"145","Pig Price per Head (Euro)","1978","Pigs 35-44 kg",41.2
"146","Pig Price per Kg (Euro)","1978","Pigs 35-44 kg",1.07
"147","Pig Price per Head (Euro)","1979","Pigs 35-44 kg",38.55
"148","Pig Price per Kg (Euro)","1979","Pigs 35-44 kg",1
"149","Pig Price per Head (Euro)","1980","Pigs 35-44 kg",37.94
"150","Pig Price per Kg (Euro)","1980","Pigs 35-44 kg",0.98
"151","Pig Price per Head (Euro)","1981","Pigs 35-44 kg",46.78
"152","Pig Price per Kg (Euro)","1981","Pigs 35-44 kg",1.22
"153","Pig Price per Head (Euro)","1982","Pigs 35-44 kg",50.09
"154","Pig Price per Kg (Euro)","1982","Pigs 35-44 kg",1.32
"155","Pig Price per Head (Euro)","1983","Pigs 35-44 kg",46.12
"156","Pig Price per Kg (Euro)","1983","Pigs 35-44 kg",1.21
"157","Pig Price per Head (Euro)","1984","Pigs 35-44 kg",49.05
"158","Pig Price per Kg (Euro)","1984","Pigs 35-44 kg",1.3
"159","Pig Price per Head (Euro)","1985","Pigs 35-44 kg",49.16
"160","Pig Price per Kg (Euro)","1985","Pigs 35-44 kg",1.3
"161","Pig Price per Head (Euro)","1986","Pigs 35-44 kg",44.73
"162","Pig Price per Kg (Euro)","1986","Pigs 35-44 kg",1.17
"163","Pig Price per Head (Euro)","1987","Pigs 35-44 kg",46.41
"164","Pig Price per Kg (Euro)","1987","Pigs 35-44 kg",1.23
"165","Pig Price per Head (Euro)","1988","Pigs 35-44 kg",43.88
"166","Pig Price per Kg (Euro)","1988","Pigs 35-44 kg",1.16
"167","Pig Price per Head (Euro)","1989","Pigs 35-44 kg",50.33
"168","Pig Price per Kg (Euro)","1989","Pigs 35-44 kg",1.33
"169","Pig Price per Head (Euro)","1990","Pigs 35-44 kg",45.65
"170","Pig Price per Kg (Euro)","1990","Pigs 35-44 kg",1.21
"171","Pig Price per Head (Euro)","1991","Pigs 35-44 kg",44.47
"172","Pig Price per Kg (Euro)","1991","Pigs 35-44 kg",1.18
"173","Pig Price per Head (Euro)","1992","Pigs 35-44 kg",46.69
"174","Pig Price per Kg (Euro)","1992","Pigs 35-44 kg",1.23
"175","Pig Price per Head (Euro)","1993","Pigs 35-44 kg",38.92
"176","Pig Price per Kg (Euro)","1993","Pigs 35-44 kg",1.03
"177","Pig Price per Head (Euro)","1994","Pigs 35-44 kg",40.86
"178","Pig Price per Kg (Euro)","1994","Pigs 35-44 kg",1.08
"179","Pig Price per Head (Euro)","1995","Pigs 35-44 kg",49.42
"180","Pig Price per Kg (Euro)","1995","Pigs 35-44 kg",1.31
"181","Pig Price per Head (Euro)","1996","Pigs 35-44 kg",54.84
"182","Pig Price per Kg (Euro)","1996","Pigs 35-44 kg",1.44
"183","Pig Price per Head (Euro)","1997","Pigs 35-44 kg",47.11
"184","Pig Price per Kg (Euro)","1997","Pigs 35-44 kg",1.24
"185","Pig Price per Head (Euro)","1998","Pigs 35-44 kg",36.78
"186","Pig Price per Kg (Euro)","1998","Pigs 35-44 kg",0.96
"187","Pig Price per Head (Euro)","1999","Pigs 35-44 kg",31.15
"188","Pig Price per Kg (Euro)","1999","Pigs 35-44 kg",0.82
"189","Pig Price per Head (Euro)","2000","Pigs 35-44 kg",43.23
"190","Pig Price per Kg (Euro)","2000","Pigs 35-44 kg",1.14
"191","Pig Price per Head (Euro)","2001","Pigs 35-44 kg",44.91
"192","Pig Price per Kg (Euro)","2001","Pigs 35-44 kg",1.16
"193","Pig Price per Head (Euro)","2002","Pigs 35-44 kg",NA
"194","Pig Price per Kg (Euro)","2002","Pigs 35-44 kg",NA
"195","Pig Price per Head (Euro)","2003","Pigs 35-44 kg",NA
"196","Pig Price per Kg (Euro)","2003","Pigs 35-44 kg",NA
"197","Pig Price per Head (Euro)","2004","Pigs 35-44 kg",NA
"198","Pig Price per Kg (Euro)","2004","Pigs 35-44 kg",NA
"199","Pig Price per Head (Euro)","2005","Pigs 35-44 kg",NA
"200","Pig Price per Kg (Euro)","2005","Pigs 35-44 kg",NA
"201","Pig Price per Head (Euro)","2006","Pigs 35-44 kg",NA
"202","Pig Price per Kg (Euro)","2006","Pigs 35-44 kg",NA
"203","Pig Price per Head (Euro)","2007","Pigs 35-44 kg",NA
"204","Pig Price per Kg (Euro)","2007","Pigs 35-44 kg",NA
"205","Pig Price per Head (Euro)","2008","Pigs 35-44 kg",NA
"206","Pig Price per Kg (Euro)","2008","Pigs 35-44 kg",NA
"207","Pig Price per Head (Euro)","2009","Pigs 35-44 kg",NA
"208","Pig Price per Kg (Euro)","2009","Pigs 35-44 kg",NA
"209","Pig Price per Head (Euro)","2010","Pigs 35-44 kg",NA
"210","Pig Price per Kg (Euro)","2010","Pigs 35-44 kg",NA
"211","Pig Price per Head (Euro)","1976","Pigs 45-54 kg",35.1
"212","Pig Price per Kg (Euro)","1976","Pigs 45-54 kg",0.72
"213","Pig Price per Head (Euro)","1977","Pigs 45-54 kg",42.24
"214","Pig Price per Kg (Euro)","1977","Pigs 45-54 kg",0.89
"215","Pig Price per Head (Euro)","1978","Pigs 45-54 kg",45.69
"216","Pig Price per Kg (Euro)","1978","Pigs 45-54 kg",0.97
"217","Pig Price per Head (Euro)","1979","Pigs 45-54 kg",43.6
"218","Pig Price per Kg (Euro)","1979","Pigs 45-54 kg",0.91
"219","Pig Price per Head (Euro)","1980","Pigs 45-54 kg",43.13
"220","Pig Price per Kg (Euro)","1980","Pigs 45-54 kg",0.9
"221","Pig Price per Head (Euro)","1981","Pigs 45-54 kg",52.3
"222","Pig Price per Kg (Euro)","1981","Pigs 45-54 kg",1.1
"223","Pig Price per Head (Euro)","1982","Pigs 45-54 kg",57.18
"224","Pig Price per Kg (Euro)","1982","Pigs 45-54 kg",1.21
