"","Statistic","Month","Type.of.Cattle","value"
"112","Cattle Price per 100 Kg (Euro)","1980M08","Bullocks 200-249kg",94.04
"113","Cattle Price per Head (Euro)","1980M09","Bullocks 200-249kg",225.71
"114","Cattle Price per 100 Kg (Euro)","1980M09","Bullocks 200-249kg",99.47
"115","Cattle Price per Head (Euro)","1980M10","Bullocks 200-249kg",210.07
"116","Cattle Price per 100 Kg (Euro)","1980M10","Bullocks 200-249kg",94.05
"117","Cattle Price per Head (Euro)","1980M11","Bullocks 200-249kg",228.06
"118","Cattle Price per 100 Kg (Euro)","1980M11","Bullocks 200-249kg",101.86
"119","Cattle Price per Head (Euro)","1980M12","Bullocks 200-249kg",242.55
"120","Cattle Price per 100 Kg (Euro)","1980M12","Bullocks 200-249kg",110.43
"121","Cattle Price per Head (Euro)","1981M01","Bullocks 200-249kg",287.32
"122","Cattle Price per 100 Kg (Euro)","1981M01","Bullocks 200-249kg",127.86
"123","Cattle Price per Head (Euro)","1981M02","Bullocks 200-249kg",295.15
"124","Cattle Price per 100 Kg (Euro)","1981M02","Bullocks 200-249kg",131.68
"125","Cattle Price per Head (Euro)","1981M03","Bullocks 200-249kg",310.18
"126","Cattle Price per 100 Kg (Euro)","1981M03","Bullocks 200-249kg",138.33
"127","Cattle Price per Head (Euro)","1981M04","Bullocks 200-249kg",325.78
"128","Cattle Price per 100 Kg (Euro)","1981M04","Bullocks 200-249kg",145.37
"129","Cattle Price per Head (Euro)","1981M05","Bullocks 200-249kg",304.75
"130","Cattle Price per 100 Kg (Euro)","1981M05","Bullocks 200-249kg",134.8
"131","Cattle Price per Head (Euro)","1981M06","Bullocks 200-249kg",288.08
"132","Cattle Price per 100 Kg (Euro)","1981M06","Bullocks 200-249kg",127.34
"133","Cattle Price per Head (Euro)","1981M07","Bullocks 200-249kg",298.19
"134","Cattle Price per 100 Kg (Euro)","1981M07","Bullocks 200-249kg",130.03
"135","Cattle Price per Head (Euro)","1981M08","Bullocks 200-249kg",303.15
