"","Statistic","Month","Type.of.Cattle","value"
"4743","Cattle Price per Head (Euro)","1981M12","Bullocks 450-499kg",591.2
"4744","Cattle Price per 100 Kg (Euro)","1981M12","Bullocks 450-499kg",125.96
"4745","Cattle Price per Head (Euro)","1982M01","Bullocks 450-499kg",635.64
"4746","Cattle Price per 100 Kg (Euro)","1982M01","Bullocks 450-499kg",135.43
"4747","Cattle Price per Head (Euro)","1982M02","Bullocks 450-499kg",657.57
"4748","Cattle Price per 100 Kg (Euro)","1982M02","Bullocks 450-499kg",140.19
"4749","Cattle Price per Head (Euro)","1982M03","Bullocks 450-499kg",674.32
"4750","Cattle Price per 100 Kg (Euro)","1982M03","Bullocks 450-499kg",144.1
"4751","Cattle Price per Head (Euro)","1982M04","Bullocks 450-499kg",680.07
"4752","Cattle Price per 100 Kg (Euro)","1982M04","Bullocks 450-499kg",144.89
"4753","Cattle Price per Head (Euro)","1982M05","Bullocks 450-499kg",671.25
"4754","Cattle Price per 100 Kg (Euro)","1982M05","Bullocks 450-499kg",143.4
"4755","Cattle Price per Head (Euro)","1982M06","Bullocks 450-499kg",673.14
"4756","Cattle Price per 100 Kg (Euro)","1982M06","Bullocks 450-499kg",143.04
"4757","Cattle Price per Head (Euro)","1982M07","Bullocks 450-499kg",644.16
"4758","Cattle Price per 100 Kg (Euro)","1982M07","Bullocks 450-499kg",136.81
"4759","Cattle Price per Head (Euro)","1982M08","Bullocks 450-499kg",619.85
"4760","Cattle Price per 100 Kg (Euro)","1982M08","Bullocks 450-499kg",131.49
"4761","Cattle Price per Head (Euro)","1982M09","Bullocks 450-499kg",620.15
"4762","Cattle Price per 100 Kg (Euro)","1982M09","Bullocks 450-499kg",131.53
"4763","Cattle Price per Head (Euro)","1982M10","Bullocks 450-499kg",615.4
"4764","Cattle Price per 100 Kg (Euro)","1982M10","Bullocks 450-499kg",130.63
"4765","Cattle Price per Head (Euro)","1982M11","Bullocks 450-499kg",618.35
"4766","Cattle Price per 100 Kg (Euro)","1982M11","Bullocks 450-499kg",131.16
"4767","Cattle Price per Head (Euro)","1982M12","Bullocks 450-499kg",614.64
"4768","Cattle Price per 100 Kg (Euro)","1982M12","Bullocks 450-499kg",130.99
"4769","Cattle Price per Head (Euro)","1983M01","Bullocks 450-499kg",664.39
"4770","Cattle Price per 100 Kg (Euro)","1983M01","Bullocks 450-499kg",141.4
"4771","Cattle Price per Head (Euro)","1983M02","Bullocks 450-499kg",679.02
"4772","Cattle Price per 100 Kg (Euro)","1983M02","Bullocks 450-499kg",144.98
"4773","Cattle Price per Head (Euro)","1983M03","Bullocks 450-499kg",716.86
"4774","Cattle Price per 100 Kg (Euro)","1983M03","Bullocks 450-499kg",152.09
"4775","Cattle Price per Head (Euro)","1983M04","Bullocks 450-499kg",730.43
"4776","Cattle Price per 100 Kg (Euro)","1983M04","Bullocks 450-499kg",154.96
"4777","Cattle Price per Head (Euro)","1983M05","Bullocks 450-499kg",733.3
"4778","Cattle Price per 100 Kg (Euro)","1983M05","Bullocks 450-499kg",156.1
"4779","Cattle Price per Head (Euro)","1983M06","Bullocks 450-499kg",755.66
"4780","Cattle Price per 100 Kg (Euro)","1983M06","Bullocks 450-499kg",160.36
"4781","Cattle Price per Head (Euro)","1983M07","Bullocks 450-499kg",723.75
"4782","Cattle Price per 100 Kg (Euro)","1983M07","Bullocks 450-499kg",154.02
"4783","Cattle Price per Head (Euro)","1983M08","Bullocks 450-499kg",705.96
"4784","Cattle Price per 100 Kg (Euro)","1983M08","Bullocks 450-499kg",149.45
"4785","Cattle Price per Head (Euro)","1983M09","Bullocks 450-499kg",692.4
"4786","Cattle Price per 100 Kg (Euro)","1983M09","Bullocks 450-499kg",147.18
"4787","Cattle Price per Head (Euro)","1983M10","Bullocks 450-499kg",680.41
"4788","Cattle Price per 100 Kg (Euro)","1983M10","Bullocks 450-499kg",144.47
"4789","Cattle Price per Head (Euro)","1983M11","Bullocks 450-499kg",676.49
"4790","Cattle Price per 100 Kg (Euro)","1983M11","Bullocks 450-499kg",143.75
"4791","Cattle Price per Head (Euro)","1983M12","Bullocks 450-499kg",678.19
"4792","Cattle Price per 100 Kg (Euro)","1983M12","Bullocks 450-499kg",144.55
"4793","Cattle Price per Head (Euro)","1984M01","Bullocks 450-499kg",698.36
"4794","Cattle Price per 100 Kg (Euro)","1984M01","Bullocks 450-499kg",148.62
"4795","Cattle Price per Head (Euro)","1984M02","Bullocks 450-499kg",740.03
"4796","Cattle Price per 100 Kg (Euro)","1984M02","Bullocks 450-499kg",160.72
"4797","Cattle Price per Head (Euro)","1984M03","Bullocks 450-499kg",809.6
"4798","Cattle Price per 100 Kg (Euro)","1984M03","Bullocks 450-499kg",172.01
"4799","Cattle Price per Head (Euro)","1984M04","Bullocks 450-499kg",819.1
"4800","Cattle Price per 100 Kg (Euro)","1984M04","Bullocks 450-499kg",174.64
"4801","Cattle Price per Head (Euro)","1984M05","Bullocks 450-499kg",825.2
"4802","Cattle Price per 100 Kg (Euro)","1984M05","Bullocks 450-499kg",175.27
"4803","Cattle Price per Head (Euro)","1984M06","Bullocks 450-499kg",767.84
"4804","Cattle Price per 100 Kg (Euro)","1984M06","Bullocks 450-499kg",163.17
"4805","Cattle Price per Head (Euro)","1984M07","Bullocks 450-499kg",705.35
"4806","Cattle Price per 100 Kg (Euro)","1984M07","Bullocks 450-499kg",149.66
"4807","Cattle Price per Head (Euro)","1984M08","Bullocks 450-499kg",698.39
"4808","Cattle Price per 100 Kg (Euro)","1984M08","Bullocks 450-499kg",148.05
"4809","Cattle Price per Head (Euro)","1984M09","Bullocks 450-499kg",689.51
"4810","Cattle Price per 100 Kg (Euro)","1984M09","Bullocks 450-499kg",146.21
"4811","Cattle Price per Head (Euro)","1984M10","Bullocks 450-499kg",688.77
"4812","Cattle Price per 100 Kg (Euro)","1984M10","Bullocks 450-499kg",146.22
"4813","Cattle Price per Head (Euro)","1984M11","Bullocks 450-499kg",704.98
"4814","Cattle Price per 100 Kg (Euro)","1984M11","Bullocks 450-499kg",149.71
"4815","Cattle Price per Head (Euro)","1984M12","Bullocks 450-499kg",741.78
"4816","Cattle Price per 100 Kg (Euro)","1984M12","Bullocks 450-499kg",157.76
"4817","Cattle Price per Head (Euro)","1985M01","Bullocks 450-499kg",780.77
"4818","Cattle Price per 100 Kg (Euro)","1985M01","Bullocks 450-499kg",165.76
"4819","Cattle Price per Head (Euro)","1985M02","Bullocks 450-499kg",790.34
"4820","Cattle Price per 100 Kg (Euro)","1985M02","Bullocks 450-499kg",167.97
"4821","Cattle Price per Head (Euro)","1985M03","Bullocks 450-499kg",795.2
"4822","Cattle Price per 100 Kg (Euro)","1985M03","Bullocks 450-499kg",168.62
"4823","Cattle Price per Head (Euro)","1985M04","Bullocks 450-499kg",806.89
"4824","Cattle Price per 100 Kg (Euro)","1985M04","Bullocks 450-499kg",171.92
"4825","Cattle Price per Head (Euro)","1985M05","Bullocks 450-499kg",800.04
"4826","Cattle Price per 100 Kg (Euro)","1985M05","Bullocks 450-499kg",170.12
"4827","Cattle Price per Head (Euro)","1985M06","Bullocks 450-499kg",765.52
"4828","Cattle Price per 100 Kg (Euro)","1985M06","Bullocks 450-499kg",163.06
"4829","Cattle Price per Head (Euro)","1985M07","Bullocks 450-499kg",735.18
"4830","Cattle Price per 100 Kg (Euro)","1985M07","Bullocks 450-499kg",155.75
"4831","Cattle Price per Head (Euro)","1985M08","Bullocks 450-499kg",669.34
"4832","Cattle Price per 100 Kg (Euro)","1985M08","Bullocks 450-499kg",142.12
"4833","Cattle Price per Head (Euro)","1985M09","Bullocks 450-499kg",649.97
"4834","Cattle Price per 100 Kg (Euro)","1985M09","Bullocks 450-499kg",137.32
"4835","Cattle Price per Head (Euro)","1985M10","Bullocks 450-499kg",666.19
"4836","Cattle Price per 100 Kg (Euro)","1985M10","Bullocks 450-499kg",141.52
"4837","Cattle Price per Head (Euro)","1985M11","Bullocks 450-499kg",682.2
"4838","Cattle Price per 100 Kg (Euro)","1985M11","Bullocks 450-499kg",144.8
"4839","Cattle Price per Head (Euro)","1985M12","Bullocks 450-499kg",681.53
"4840","Cattle Price per 100 Kg (Euro)","1985M12","Bullocks 450-499kg",145.17
"4841","Cattle Price per Head (Euro)","1986M01","Bullocks 450-499kg",704.96
"4842","Cattle Price per 100 Kg (Euro)","1986M01","Bullocks 450-499kg",150.1
"4843","Cattle Price per Head (Euro)","1986M02","Bullocks 450-499kg",725.07
"4844","Cattle Price per 100 Kg (Euro)","1986M02","Bullocks 450-499kg",154.11
"4845","Cattle Price per Head (Euro)","1986M03","Bullocks 450-499kg",718.61
"4846","Cattle Price per 100 Kg (Euro)","1986M03","Bullocks 450-499kg",154.65
"4847","Cattle Price per Head (Euro)","1986M04","Bullocks 450-499kg",716.65
"4848","Cattle Price per 100 Kg (Euro)","1986M04","Bullocks 450-499kg",152.2
"4849","Cattle Price per Head (Euro)","1986M05","Bullocks 450-499kg",726.96
"4850","Cattle Price per 100 Kg (Euro)","1986M05","Bullocks 450-499kg",155.53
"4851","Cattle Price per Head (Euro)","1986M06","Bullocks 450-499kg",703.24
"4852","Cattle Price per 100 Kg (Euro)","1986M06","Bullocks 450-499kg",149.49
"4853","Cattle Price per Head (Euro)","1986M07","Bullocks 450-499kg",688.55
"4854","Cattle Price per 100 Kg (Euro)","1986M07","Bullocks 450-499kg",145.93
"4855","Cattle Price per Head (Euro)","1986M08","Bullocks 450-499kg",644.26
"4856","Cattle Price per 100 Kg (Euro)","1986M08","Bullocks 450-499kg",136.83
"4857","Cattle Price per Head (Euro)","1986M09","Bullocks 450-499kg",635.47
"4858","Cattle Price per 100 Kg (Euro)","1986M09","Bullocks 450-499kg",134.68
"4859","Cattle Price per Head (Euro)","1986M10","Bullocks 450-499kg",651.79
"4860","Cattle Price per 100 Kg (Euro)","1986M10","Bullocks 450-499kg",138.39
"4861","Cattle Price per Head (Euro)","1986M11","Bullocks 450-499kg",662.03
"4862","Cattle Price per 100 Kg (Euro)","1986M11","Bullocks 450-499kg",140.36
"4863","Cattle Price per Head (Euro)","1986M12","Bullocks 450-499kg",679.87
"4864","Cattle Price per 100 Kg (Euro)","1986M12","Bullocks 450-499kg",144.46
"4865","Cattle Price per Head (Euro)","1987M01","Bullocks 450-499kg",728.96
"4866","Cattle Price per 100 Kg (Euro)","1987M01","Bullocks 450-499kg",155.31
"4867","Cattle Price per Head (Euro)","1987M02","Bullocks 450-499kg",747.18
"4868","Cattle Price per 100 Kg (Euro)","1987M02","Bullocks 450-499kg",159.03
"4869","Cattle Price per Head (Euro)","1987M03","Bullocks 450-499kg",763.33
"4870","Cattle Price per 100 Kg (Euro)","1987M03","Bullocks 450-499kg",162.62
"4871","Cattle Price per Head (Euro)","1987M04","Bullocks 450-499kg",787.02
"4872","Cattle Price per 100 Kg (Euro)","1987M04","Bullocks 450-499kg",167.21
"4873","Cattle Price per Head (Euro)","1987M05","Bullocks 450-499kg",789.81
"4874","Cattle Price per 100 Kg (Euro)","1987M05","Bullocks 450-499kg",167.49
"4875","Cattle Price per Head (Euro)","1987M06","Bullocks 450-499kg",749.23
"4876","Cattle Price per 100 Kg (Euro)","1987M06","Bullocks 450-499kg",159.43
"4877","Cattle Price per Head (Euro)","1987M07","Bullocks 450-499kg",737.98
"4878","Cattle Price per 100 Kg (Euro)","1987M07","Bullocks 450-499kg",156.86
"4879","Cattle Price per Head (Euro)","1987M08","Bullocks 450-499kg",744.23
"4880","Cattle Price per 100 Kg (Euro)","1987M08","Bullocks 450-499kg",158.12
"4881","Cattle Price per Head (Euro)","1987M09","Bullocks 450-499kg",730.23
"4882","Cattle Price per 100 Kg (Euro)","1987M09","Bullocks 450-499kg",154.43
"4883","Cattle Price per Head (Euro)","1987M10","Bullocks 450-499kg",725.4
"4884","Cattle Price per 100 Kg (Euro)","1987M10","Bullocks 450-499kg",154.06
"4885","Cattle Price per Head (Euro)","1987M11","Bullocks 450-499kg",722.47
"4886","Cattle Price per 100 Kg (Euro)","1987M11","Bullocks 450-499kg",153.31
"4887","Cattle Price per Head (Euro)","1987M12","Bullocks 450-499kg",736.19
"4888","Cattle Price per 100 Kg (Euro)","1987M12","Bullocks 450-499kg",156.34
"4889","Cattle Price per Head (Euro)","1988M01","Bullocks 450-499kg",784.22
"4890","Cattle Price per 100 Kg (Euro)","1988M01","Bullocks 450-499kg",166.03
"4891","Cattle Price per Head (Euro)","1988M02","Bullocks 450-499kg",817.11
"4892","Cattle Price per 100 Kg (Euro)","1988M02","Bullocks 450-499kg",173.52
"4893","Cattle Price per Head (Euro)","1988M03","Bullocks 450-499kg",843.21
"4894","Cattle Price per 100 Kg (Euro)","1988M03","Bullocks 450-499kg",179.25
"4895","Cattle Price per Head (Euro)","1988M04","Bullocks 450-499kg",871.71
"4896","Cattle Price per 100 Kg (Euro)","1988M04","Bullocks 450-499kg",184.34
"4897","Cattle Price per Head (Euro)","1988M05","Bullocks 450-499kg",883.39
"4898","Cattle Price per 100 Kg (Euro)","1988M05","Bullocks 450-499kg",187.54
"4899","Cattle Price per Head (Euro)","1988M06","Bullocks 450-499kg",854.06
"4900","Cattle Price per 100 Kg (Euro)","1988M06","Bullocks 450-499kg",180.81
"4901","Cattle Price per Head (Euro)","1988M07","Bullocks 450-499kg",844.52
"4902","Cattle Price per 100 Kg (Euro)","1988M07","Bullocks 450-499kg",178.63
"4903","Cattle Price per Head (Euro)","1988M08","Bullocks 450-499kg",837.85
"4904","Cattle Price per 100 Kg (Euro)","1988M08","Bullocks 450-499kg",177.62
"4905","Cattle Price per Head (Euro)","1988M09","Bullocks 450-499kg",809.46
"4906","Cattle Price per 100 Kg (Euro)","1988M09","Bullocks 450-499kg",172.04
"4907","Cattle Price per Head (Euro)","1988M10","Bullocks 450-499kg",821.56
"4908","Cattle Price per 100 Kg (Euro)","1988M10","Bullocks 450-499kg",174.28
"4909","Cattle Price per Head (Euro)","1988M11","Bullocks 450-499kg",838.81
"4910","Cattle Price per 100 Kg (Euro)","1988M11","Bullocks 450-499kg",177.73
"4911","Cattle Price per Head (Euro)","1988M12","Bullocks 450-499kg",842.73
"4912","Cattle Price per 100 Kg (Euro)","1988M12","Bullocks 450-499kg",179.02
"4913","Cattle Price per Head (Euro)","1989M01","Bullocks 450-499kg",869.12
"4914","Cattle Price per 100 Kg (Euro)","1989M01","Bullocks 450-499kg",183.91
"4915","Cattle Price per Head (Euro)","1989M02","Bullocks 450-499kg",894
"4916","Cattle Price per 100 Kg (Euro)","1989M02","Bullocks 450-499kg",189.75
"4917","Cattle Price per Head (Euro)","1989M03","Bullocks 450-499kg",900.17
"4918","Cattle Price per 100 Kg (Euro)","1989M03","Bullocks 450-499kg",191.32
"4919","Cattle Price per Head (Euro)","1989M04","Bullocks 450-499kg",913.5
"4920","Cattle Price per 100 Kg (Euro)","1989M04","Bullocks 450-499kg",193.67
"4921","Cattle Price per Head (Euro)","1989M05","Bullocks 450-499kg",913.92
"4922","Cattle Price per 100 Kg (Euro)","1989M05","Bullocks 450-499kg",193.9
"4923","Cattle Price per Head (Euro)","1989M06","Bullocks 450-499kg",871.8
"4924","Cattle Price per 100 Kg (Euro)","1989M06","Bullocks 450-499kg",184.34
"4925","Cattle Price per Head (Euro)","1989M07","Bullocks 450-499kg",810.38
"4926","Cattle Price per 100 Kg (Euro)","1989M07","Bullocks 450-499kg",171.8
"4927","Cattle Price per Head (Euro)","1989M08","Bullocks 450-499kg",776
"4928","Cattle Price per 100 Kg (Euro)","1989M08","Bullocks 450-499kg",164.49
"4929","Cattle Price per Head (Euro)","1989M09","Bullocks 450-499kg",748.18
"4930","Cattle Price per 100 Kg (Euro)","1989M09","Bullocks 450-499kg",158.63
"4931","Cattle Price per Head (Euro)","1989M10","Bullocks 450-499kg",740.04
"4932","Cattle Price per 100 Kg (Euro)","1989M10","Bullocks 450-499kg",157.14
"4933","Cattle Price per Head (Euro)","1989M11","Bullocks 450-499kg",740.57
"4934","Cattle Price per 100 Kg (Euro)","1989M11","Bullocks 450-499kg",156.48
"4935","Cattle Price per Head (Euro)","1989M12","Bullocks 450-499kg",737.41
"4936","Cattle Price per 100 Kg (Euro)","1989M12","Bullocks 450-499kg",156.46
"4937","Cattle Price per Head (Euro)","1990M01","Bullocks 450-499kg",723.98
"4938","Cattle Price per 100 Kg (Euro)","1990M01","Bullocks 450-499kg",153.47
"4939","Cattle Price per Head (Euro)","1990M02","Bullocks 450-499kg",750.29
"4940","Cattle Price per 100 Kg (Euro)","1990M02","Bullocks 450-499kg",159.07
"4941","Cattle Price per Head (Euro)","1990M03","Bullocks 450-499kg",822.56
"4942","Cattle Price per 100 Kg (Euro)","1990M03","Bullocks 450-499kg",174.45
"4943","Cattle Price per Head (Euro)","1990M04","Bullocks 450-499kg",818.66
"4944","Cattle Price per 100 Kg (Euro)","1990M04","Bullocks 450-499kg",173.26
"4945","Cattle Price per Head (Euro)","1990M05","Bullocks 450-499kg",781.31
"4946","Cattle Price per 100 Kg (Euro)","1990M05","Bullocks 450-499kg",165.27
"4947","Cattle Price per Head (Euro)","1990M06","Bullocks 450-499kg",731.43
"4948","Cattle Price per 100 Kg (Euro)","1990M06","Bullocks 450-499kg",154.51
"4949","Cattle Price per Head (Euro)","1990M07","Bullocks 450-499kg",725.46
"4950","Cattle Price per 100 Kg (Euro)","1990M07","Bullocks 450-499kg",153.04
"4951","Cattle Price per Head (Euro)","1990M08","Bullocks 450-499kg",690.26
"4952","Cattle Price per 100 Kg (Euro)","1990M08","Bullocks 450-499kg",146.08
"4953","Cattle Price per Head (Euro)","1990M09","Bullocks 450-499kg",677.04
"4954","Cattle Price per 100 Kg (Euro)","1990M09","Bullocks 450-499kg",143.42
"4955","Cattle Price per Head (Euro)","1990M10","Bullocks 450-499kg",688.74
"4956","Cattle Price per 100 Kg (Euro)","1990M10","Bullocks 450-499kg",147.47
"4957","Cattle Price per Head (Euro)","1990M11","Bullocks 450-499kg",690.05
"4958","Cattle Price per 100 Kg (Euro)","1990M11","Bullocks 450-499kg",146.11
"4959","Cattle Price per Head (Euro)","1990M12","Bullocks 450-499kg",698.14
"4960","Cattle Price per 100 Kg (Euro)","1990M12","Bullocks 450-499kg",147.89
"4961","Cattle Price per Head (Euro)","1991M01","Bullocks 450-499kg",713.77
"4962","Cattle Price per 100 Kg (Euro)","1991M01","Bullocks 450-499kg",151.3
"4963","Cattle Price per Head (Euro)","1991M02","Bullocks 450-499kg",739.08
"4964","Cattle Price per 100 Kg (Euro)","1991M02","Bullocks 450-499kg",156.48
"4965","Cattle Price per Head (Euro)","1991M03","Bullocks 450-499kg",734.35
"4966","Cattle Price per 100 Kg (Euro)","1991M03","Bullocks 450-499kg",155.58
"4967","Cattle Price per Head (Euro)","1991M04","Bullocks 450-499kg",763.93
"4968","Cattle Price per 100 Kg (Euro)","1991M04","Bullocks 450-499kg",160.53
"4969","Cattle Price per Head (Euro)","1991M05","Bullocks 450-499kg",760.55
"4970","Cattle Price per 100 Kg (Euro)","1991M05","Bullocks 450-499kg",161.46
"4971","Cattle Price per Head (Euro)","1991M06","Bullocks 450-499kg",709.99
"4972","Cattle Price per 100 Kg (Euro)","1991M06","Bullocks 450-499kg",149.18
"4973","Cattle Price per Head (Euro)","1991M07","Bullocks 450-499kg",674.89
"4974","Cattle Price per 100 Kg (Euro)","1991M07","Bullocks 450-499kg",142.66
"4975","Cattle Price per Head (Euro)","1991M08","Bullocks 450-499kg",666.12
"4976","Cattle Price per 100 Kg (Euro)","1991M08","Bullocks 450-499kg",140.97
"4977","Cattle Price per Head (Euro)","1991M09","Bullocks 450-499kg",667.69
"4978","Cattle Price per 100 Kg (Euro)","1991M09","Bullocks 450-499kg",141.75
"4979","Cattle Price per Head (Euro)","1991M10","Bullocks 450-499kg",674.31
"4980","Cattle Price per 100 Kg (Euro)","1991M10","Bullocks 450-499kg",143.01
"4981","Cattle Price per Head (Euro)","1991M11","Bullocks 450-499kg",672.19
"4982","Cattle Price per 100 Kg (Euro)","1991M11","Bullocks 450-499kg",142.78
"4983","Cattle Price per Head (Euro)","1991M12","Bullocks 450-499kg",684.68
"4984","Cattle Price per 100 Kg (Euro)","1991M12","Bullocks 450-499kg",145.26
"4985","Cattle Price per Head (Euro)","1992M01","Bullocks 450-499kg",719.22
"4986","Cattle Price per 100 Kg (Euro)","1992M01","Bullocks 450-499kg",152.44
"4987","Cattle Price per Head (Euro)","1992M02","Bullocks 450-499kg",735.17
"4988","Cattle Price per 100 Kg (Euro)","1992M02","Bullocks 450-499kg",155.52
"4989","Cattle Price per Head (Euro)","1992M03","Bullocks 450-499kg",741.82
"4990","Cattle Price per 100 Kg (Euro)","1992M03","Bullocks 450-499kg",157.07
"4991","Cattle Price per Head (Euro)","1992M04","Bullocks 450-499kg",747.65
"4992","Cattle Price per 100 Kg (Euro)","1992M04","Bullocks 450-499kg",158.2
"4993","Cattle Price per Head (Euro)","1992M05","Bullocks 450-499kg",739.32
"4994","Cattle Price per 100 Kg (Euro)","1992M05","Bullocks 450-499kg",156.52
"4995","Cattle Price per Head (Euro)","1992M06","Bullocks 450-499kg",727.53
"4996","Cattle Price per 100 Kg (Euro)","1992M06","Bullocks 450-499kg",154.25
"4997","Cattle Price per Head (Euro)","1992M07","Bullocks 450-499kg",704.59
"4998","Cattle Price per 100 Kg (Euro)","1992M07","Bullocks 450-499kg",149.46
"4999","Cattle Price per Head (Euro)","1992M08","Bullocks 450-499kg",699.08
"5000","Cattle Price per 100 Kg (Euro)","1992M08","Bullocks 450-499kg",147.56
"5001","Cattle Price per Head (Euro)","1992M09","Bullocks 450-499kg",686.55
"5002","Cattle Price per 100 Kg (Euro)","1992M09","Bullocks 450-499kg",145.63
"5003","Cattle Price per Head (Euro)","1992M10","Bullocks 450-499kg",684.48
"5004","Cattle Price per 100 Kg (Euro)","1992M10","Bullocks 450-499kg",145.26
"5005","Cattle Price per Head (Euro)","1992M11","Bullocks 450-499kg",678.88
"5006","Cattle Price per 100 Kg (Euro)","1992M11","Bullocks 450-499kg",143.82
"5007","Cattle Price per Head (Euro)","1992M12","Bullocks 450-499kg",679.41
"5008","Cattle Price per 100 Kg (Euro)","1992M12","Bullocks 450-499kg",143.63
"5009","Cattle Price per Head (Euro)","1993M01","Bullocks 450-499kg",683.13
"5010","Cattle Price per 100 Kg (Euro)","1993M01","Bullocks 450-499kg",144.71
"5011","Cattle Price per Head (Euro)","1993M02","Bullocks 450-499kg",774.55
"5012","Cattle Price per 100 Kg (Euro)","1993M02","Bullocks 450-499kg",164.13
"5013","Cattle Price per Head (Euro)","1993M03","Bullocks 450-499kg",804.95
"5014","Cattle Price per 100 Kg (Euro)","1993M03","Bullocks 450-499kg",170.44
"5015","Cattle Price per Head (Euro)","1993M04","Bullocks 450-499kg",794.7
"5016","Cattle Price per 100 Kg (Euro)","1993M04","Bullocks 450-499kg",168.65
"5017","Cattle Price per Head (Euro)","1993M05","Bullocks 450-499kg",806.74
"5018","Cattle Price per 100 Kg (Euro)","1993M05","Bullocks 450-499kg",171.44
"5019","Cattle Price per Head (Euro)","1993M06","Bullocks 450-499kg",777.74
"5020","Cattle Price per 100 Kg (Euro)","1993M06","Bullocks 450-499kg",165.26
"5021","Cattle Price per Head (Euro)","1993M07","Bullocks 450-499kg",767.19
"5022","Cattle Price per 100 Kg (Euro)","1993M07","Bullocks 450-499kg",162.4
"5023","Cattle Price per Head (Euro)","1993M08","Bullocks 450-499kg",767.21
"5024","Cattle Price per 100 Kg (Euro)","1993M08","Bullocks 450-499kg",162.72
"5025","Cattle Price per Head (Euro)","1993M09","Bullocks 450-499kg",731.27
"5026","Cattle Price per 100 Kg (Euro)","1993M09","Bullocks 450-499kg",155.39
"5027","Cattle Price per Head (Euro)","1993M10","Bullocks 450-499kg",735.23
"5028","Cattle Price per 100 Kg (Euro)","1993M10","Bullocks 450-499kg",155.71
"5029","Cattle Price per Head (Euro)","1993M11","Bullocks 450-499kg",758.14
"5030","Cattle Price per 100 Kg (Euro)","1993M11","Bullocks 450-499kg",160.2
"5031","Cattle Price per Head (Euro)","1993M12","Bullocks 450-499kg",779.23
"5032","Cattle Price per 100 Kg (Euro)","1993M12","Bullocks 450-499kg",164.69
"5033","Cattle Price per Head (Euro)","1994M01","Bullocks 450-499kg",827.09
"5034","Cattle Price per 100 Kg (Euro)","1994M01","Bullocks 450-499kg",173.03
"5035","Cattle Price per Head (Euro)","1994M02","Bullocks 450-499kg",815.44
"5036","Cattle Price per 100 Kg (Euro)","1994M02","Bullocks 450-499kg",173.05
"5037","Cattle Price per Head (Euro)","1994M03","Bullocks 450-499kg",845.07
"5038","Cattle Price per 100 Kg (Euro)","1994M03","Bullocks 450-499kg",181.81
"5039","Cattle Price per Head (Euro)","1994M04","Bullocks 450-499kg",843.31
"5040","Cattle Price per 100 Kg (Euro)","1994M04","Bullocks 450-499kg",180.32
"5041","Cattle Price per Head (Euro)","1994M05","Bullocks 450-499kg",855.8
"5042","Cattle Price per 100 Kg (Euro)","1994M05","Bullocks 450-499kg",182.12
"5043","Cattle Price per Head (Euro)","1994M06","Bullocks 450-499kg",803.54
"5044","Cattle Price per 100 Kg (Euro)","1994M06","Bullocks 450-499kg",170.65
"5045","Cattle Price per Head (Euro)","1994M07","Bullocks 450-499kg",783.72
"5046","Cattle Price per 100 Kg (Euro)","1994M07","Bullocks 450-499kg",165.97
"5047","Cattle Price per Head (Euro)","1994M08","Bullocks 450-499kg",741.49
"5048","Cattle Price per 100 Kg (Euro)","1994M08","Bullocks 450-499kg",156.23
"5049","Cattle Price per Head (Euro)","1994M09","Bullocks 450-499kg",737.77
"5050","Cattle Price per 100 Kg (Euro)","1994M09","Bullocks 450-499kg",155.71
"5051","Cattle Price per Head (Euro)","1994M10","Bullocks 450-499kg",736.38
"5052","Cattle Price per 100 Kg (Euro)","1994M10","Bullocks 450-499kg",156.83
"5053","Cattle Price per Head (Euro)","1994M11","Bullocks 450-499kg",743.74
"5054","Cattle Price per 100 Kg (Euro)","1994M11","Bullocks 450-499kg",157.87
"5055","Cattle Price per Head (Euro)","1994M12","Bullocks 450-499kg",772.27
"5056","Cattle Price per 100 Kg (Euro)","1994M12","Bullocks 450-499kg",163.63
"5057","Cattle Price per Head (Euro)","1995M01","Bullocks 450-499kg",796.27
"5058","Cattle Price per 100 Kg (Euro)","1995M01","Bullocks 450-499kg",168.02
"5059","Cattle Price per Head (Euro)","1995M02","Bullocks 450-499kg",796.19
"5060","Cattle Price per 100 Kg (Euro)","1995M02","Bullocks 450-499kg",167.79
"5061","Cattle Price per Head (Euro)","1995M03","Bullocks 450-499kg",813.71
"5062","Cattle Price per 100 Kg (Euro)","1995M03","Bullocks 450-499kg",171.54
"5063","Cattle Price per Head (Euro)","1995M04","Bullocks 450-499kg",825.6
"5064","Cattle Price per 100 Kg (Euro)","1995M04","Bullocks 450-499kg",174.48
"5065","Cattle Price per Head (Euro)","1995M05","Bullocks 450-499kg",792.1
"5066","Cattle Price per 100 Kg (Euro)","1995M05","Bullocks 450-499kg",168.22
"5067","Cattle Price per Head (Euro)","1995M06","Bullocks 450-499kg",770.61
"5068","Cattle Price per 100 Kg (Euro)","1995M06","Bullocks 450-499kg",163.52
"5069","Cattle Price per Head (Euro)","1995M07","Bullocks 450-499kg",755.98
"5070","Cattle Price per 100 Kg (Euro)","1995M07","Bullocks 450-499kg",160.56
"5071","Cattle Price per Head (Euro)","1995M08","Bullocks 450-499kg",751.3
"5072","Cattle Price per 100 Kg (Euro)","1995M08","Bullocks 450-499kg",159.34
"5073","Cattle Price per Head (Euro)","1995M09","Bullocks 450-499kg",737.42
"5074","Cattle Price per 100 Kg (Euro)","1995M09","Bullocks 450-499kg",155.95
