"","Statistic","Year","Type.of.Cattle","value"
"108","Cattle Price per 100 Kg (Euro)","1991","Bullocks 250-299kg",163.17
"109","Cattle Price per Head (Euro)","1992","Bullocks 250-299kg",466.79
"110","Cattle Price per 100 Kg (Euro)","1992","Bullocks 250-299kg",169.65
"111","Cattle Price per Head (Euro)","1993","Bullocks 250-299kg",506.42
"112","Cattle Price per 100 Kg (Euro)","1993","Bullocks 250-299kg",183.32
"113","Cattle Price per Head (Euro)","1994","Bullocks 250-299kg",541.19
"114","Cattle Price per 100 Kg (Euro)","1994","Bullocks 250-299kg",195.21
"115","Cattle Price per Head (Euro)","1995","Bullocks 250-299kg",524.86
"116","Cattle Price per 100 Kg (Euro)","1995","Bullocks 250-299kg",189.74
"117","Cattle Price per Head (Euro)","1996","Bullocks 250-299kg",476.24
"118","Cattle Price per 100 Kg (Euro)","1996","Bullocks 250-299kg",171.66
"119","Cattle Price per Head (Euro)","1997","Bullocks 250-299kg",454.67
"120","Cattle Price per 100 Kg (Euro)","1997","Bullocks 250-299kg",163.26
"121","Cattle Price per Head (Euro)","1998","Bullocks 250-299kg",421.88
"122","Cattle Price per 100 Kg (Euro)","1998","Bullocks 250-299kg",152.34
"123","Cattle Price per Head (Euro)","1999","Bullocks 250-299kg",358.57
"124","Cattle Price per 100 Kg (Euro)","1999","Bullocks 250-299kg",130.82
"125","Cattle Price per Head (Euro)","2000","Bullocks 250-299kg",497.29
"126","Cattle Price per 100 Kg (Euro)","2000","Bullocks 250-299kg",179.78
"127","Cattle Price per Head (Euro)","2001","Bullocks 250-299kg",503.01
"128","Cattle Price per 100 Kg (Euro)","2001","Bullocks 250-299kg",182.45
"129","Cattle Price per Head (Euro)","2002","Bullocks 250-299kg",517.15
"130","Cattle Price per 100 Kg (Euro)","2002","Bullocks 250-299kg",187.39
"131","Cattle Price per Head (Euro)","2003","Bullocks 250-299kg",516.03
"132","Cattle Price per 100 Kg (Euro)","2003","Bullocks 250-299kg",186.7
"133","Cattle Price per Head (Euro)","2004","Bullocks 250-299kg",554.83
"134","Cattle Price per 100 Kg (Euro)","2004","Bullocks 250-299kg",200.61
"135","Cattle Price per Head (Euro)","2005","Bullocks 250-299kg",484.33
"136","Cattle Price per 100 Kg (Euro)","2005","Bullocks 250-299kg",174.32
"137","Cattle Price per Head (Euro)","2006","Bullocks 250-299kg",472.36
"138","Cattle Price per 100 Kg (Euro)","2006","Bullocks 250-299kg",169.98
"139","Cattle Price per Head (Euro)","2007","Bullocks 250-299kg",470.29
"140","Cattle Price per 100 Kg (Euro)","2007","Bullocks 250-299kg",169.07
"141","Cattle Price per Head (Euro)","2008","Bullocks 250-299kg",523.51
"142","Cattle Price per 100 Kg (Euro)","2008","Bullocks 250-299kg",188.91
"143","Cattle Price per Head (Euro)","2009","Bullocks 250-299kg",434.56
"144","Cattle Price per 100 Kg (Euro)","2009","Bullocks 250-299kg",156.96
"145","Cattle Price per Head (Euro)","2010","Bullocks 250-299kg",434.6
"146","Cattle Price per 100 Kg (Euro)","2010","Bullocks 250-299kg",156.48
"147","Cattle Price per Head (Euro)","2011","Bullocks 250-299kg",577.3
"148","Cattle Price per 100 Kg (Euro)","2011","Bullocks 250-299kg",208.18
"149","Cattle Price per Head (Euro)","2012","Bullocks 250-299kg",662.6
"150","Cattle Price per 100 Kg (Euro)","2012","Bullocks 250-299kg",238.8
"151","Cattle Price per Head (Euro)","2013","Bullocks 250-299kg",547.79
"152","Cattle Price per 100 Kg (Euro)","2013","Bullocks 250-299kg",196.97
"153","Cattle Price per Head (Euro)","1976","Bullocks 300-349kg",238.29
"154","Cattle Price per 100 Kg (Euro)","1976","Bullocks 300-349kg",72.55
"155","Cattle Price per Head (Euro)","1977","Bullocks 300-349kg",287.61
"156","Cattle Price per 100 Kg (Euro)","1977","Bullocks 300-349kg",88.37
"157","Cattle Price per Head (Euro)","1978","Bullocks 300-349kg",331.54
