"","Statistic","Year","Type.of.Cattle","value"
"719","Cattle Price per Head (Euro)","1993","Heifers 250-299kg",429.37
"720","Cattle Price per 100 Kg (Euro)","1993","Heifers 250-299kg",155.77
"721","Cattle Price per Head (Euro)","1994","Heifers 250-299kg",464.31
"722","Cattle Price per 100 Kg (Euro)","1994","Heifers 250-299kg",168.61
"723","Cattle Price per Head (Euro)","1995","Heifers 250-299kg",438.72
"724","Cattle Price per 100 Kg (Euro)","1995","Heifers 250-299kg",159.29
"725","Cattle Price per Head (Euro)","1996","Heifers 250-299kg",387.76
"726","Cattle Price per 100 Kg (Euro)","1996","Heifers 250-299kg",140.26
"727","Cattle Price per Head (Euro)","1997","Heifers 250-299kg",359.25
"728","Cattle Price per 100 Kg (Euro)","1997","Heifers 250-299kg",130.69
"729","Cattle Price per Head (Euro)","1998","Heifers 250-299kg",330.9
"730","Cattle Price per 100 Kg (Euro)","1998","Heifers 250-299kg",119.79
"731","Cattle Price per Head (Euro)","1999","Heifers 250-299kg",283.59
"732","Cattle Price per 100 Kg (Euro)","1999","Heifers 250-299kg",102.2
"733","Cattle Price per Head (Euro)","2000","Heifers 250-299kg",362.83
"734","Cattle Price per 100 Kg (Euro)","2000","Heifers 250-299kg",131.77
"735","Cattle Price per Head (Euro)","2001","Heifers 250-299kg",349.53
"736","Cattle Price per 100 Kg (Euro)","2001","Heifers 250-299kg",126.91
"737","Cattle Price per Head (Euro)","2002","Heifers 250-299kg",377.32
"738","Cattle Price per 100 Kg (Euro)","2002","Heifers 250-299kg",137.02
"739","Cattle Price per Head (Euro)","2003","Heifers 250-299kg",381.54
"740","Cattle Price per 100 Kg (Euro)","2003","Heifers 250-299kg",138.12
"741","Cattle Price per Head (Euro)","2004","Heifers 250-299kg",443.08
"742","Cattle Price per 100 Kg (Euro)","2004","Heifers 250-299kg",160.59
"743","Cattle Price per Head (Euro)","2005","Heifers 250-299kg",440.18
"744","Cattle Price per 100 Kg (Euro)","2005","Heifers 250-299kg",159.02
"745","Cattle Price per Head (Euro)","2006","Heifers 250-299kg",431.26
"746","Cattle Price per 100 Kg (Euro)","2006","Heifers 250-299kg",155.89
"747","Cattle Price per Head (Euro)","2007","Heifers 250-299kg",453.01
"748","Cattle Price per 100 Kg (Euro)","2007","Heifers 250-299kg",163.56
"749","Cattle Price per Head (Euro)","2008","Heifers 250-299kg",497.96
"750","Cattle Price per 100 Kg (Euro)","2008","Heifers 250-299kg",180.19
"751","Cattle Price per Head (Euro)","2009","Heifers 250-299kg",428.64
"752","Cattle Price per 100 Kg (Euro)","2009","Heifers 250-299kg",154.78
"753","Cattle Price per Head (Euro)","2010","Heifers 250-299kg",451.35
"754","Cattle Price per 100 Kg (Euro)","2010","Heifers 250-299kg",160.09
"755","Cattle Price per Head (Euro)","2011","Heifers 250-299kg",569.11
"756","Cattle Price per 100 Kg (Euro)","2011","Heifers 250-299kg",205.93
"757","Cattle Price per Head (Euro)","2012","Heifers 250-299kg",676.89
"758","Cattle Price per 100 Kg (Euro)","2012","Heifers 250-299kg",245.01
"759","Cattle Price per Head (Euro)","2013","Heifers 250-299kg",573.47
"760","Cattle Price per 100 Kg (Euro)","2013","Heifers 250-299kg",207.45
"761","Cattle Price per Head (Euro)","1976","Heifers 300-349kg",205.28
"762","Cattle Price per 100 Kg (Euro)","1976","Heifers 300-349kg",62.71
"763","Cattle Price per Head (Euro)","1977","Heifers 300-349kg",244.08
"764","Cattle Price per 100 Kg (Euro)","1977","Heifers 300-349kg",75.37
"765","Cattle Price per Head (Euro)","1978","Heifers 300-349kg",287.62
"766","Cattle Price per 100 Kg (Euro)","1978","Heifers 300-349kg",89.12
"767","Cattle Price per Head (Euro)","1979","Heifers 300-349kg",318.46
"768","Cattle Price per 100 Kg (Euro)","1979","Heifers 300-349kg",98.86
"769","Cattle Price per Head (Euro)","1980","Heifers 300-349kg",290.54
"770","Cattle Price per 100 Kg (Euro)","1980","Heifers 300-349kg",90.14
"771","Cattle Price per Head (Euro)","1981","Heifers 300-349kg",374.37
"772","Cattle Price per 100 Kg (Euro)","1981","Heifers 300-349kg",115.91
"773","Cattle Price per Head (Euro)","1982","Heifers 300-349kg",411.83
"774","Cattle Price per 100 Kg (Euro)","1982","Heifers 300-349kg",127.84
"775","Cattle Price per Head (Euro)","1983","Heifers 300-349kg",410.77
"776","Cattle Price per 100 Kg (Euro)","1983","Heifers 300-349kg",127.27
"777","Cattle Price per Head (Euro)","1984","Heifers 300-349kg",428.6
"778","Cattle Price per 100 Kg (Euro)","1984","Heifers 300-349kg",132.42
"779","Cattle Price per Head (Euro)","1985","Heifers 300-349kg",431.52
"780","Cattle Price per 100 Kg (Euro)","1985","Heifers 300-349kg",133.55
"781","Cattle Price per Head (Euro)","1986","Heifers 300-349kg",413.43
"782","Cattle Price per 100 Kg (Euro)","1986","Heifers 300-349kg",127.53
"783","Cattle Price per Head (Euro)","1987","Heifers 300-349kg",451.53
"784","Cattle Price per 100 Kg (Euro)","1987","Heifers 300-349kg",139.54
"785","Cattle Price per Head (Euro)","1988","Heifers 300-349kg",577.6
"786","Cattle Price per 100 Kg (Euro)","1988","Heifers 300-349kg",178.17
"787","Cattle Price per Head (Euro)","1989","Heifers 300-349kg",564.91
"788","Cattle Price per 100 Kg (Euro)","1989","Heifers 300-349kg",174.25
"789","Cattle Price per Head (Euro)","1990","Heifers 300-349kg",497.32
"790","Cattle Price per 100 Kg (Euro)","1990","Heifers 300-349kg",153.73
"791","Cattle Price per Head (Euro)","1991","Heifers 300-349kg",451.58
"792","Cattle Price per 100 Kg (Euro)","1991","Heifers 300-349kg",139.33
"793","Cattle Price per Head (Euro)","1992","Heifers 300-349kg",451.73
"794","Cattle Price per 100 Kg (Euro)","1992","Heifers 300-349kg",139.79
"795","Cattle Price per Head (Euro)","1993","Heifers 300-349kg",497.29
"796","Cattle Price per 100 Kg (Euro)","1993","Heifers 300-349kg",153.78
"797","Cattle Price per Head (Euro)","1994","Heifers 300-349kg",521.7
"798","Cattle Price per 100 Kg (Euro)","1994","Heifers 300-349kg",160.79
"799","Cattle Price per Head (Euro)","1995","Heifers 300-349kg",503.99
"800","Cattle Price per 100 Kg (Euro)","1995","Heifers 300-349kg",155.03
"801","Cattle Price per Head (Euro)","1996","Heifers 300-349kg",441.24
"802","Cattle Price per 100 Kg (Euro)","1996","Heifers 300-349kg",135.92
"803","Cattle Price per Head (Euro)","1997","Heifers 300-349kg",421.89
"804","Cattle Price per 100 Kg (Euro)","1997","Heifers 300-349kg",129.76
"805","Cattle Price per Head (Euro)","1998","Heifers 300-349kg",390.09
"806","Cattle Price per 100 Kg (Euro)","1998","Heifers 300-349kg",120.55
"807","Cattle Price per Head (Euro)","1999","Heifers 300-349kg",331.58
"808","Cattle Price per 100 Kg (Euro)","1999","Heifers 300-349kg",102.08
"809","Cattle Price per Head (Euro)","2000","Heifers 300-349kg",426.31
"810","Cattle Price per 100 Kg (Euro)","2000","Heifers 300-349kg",131.46
"811","Cattle Price per Head (Euro)","2001","Heifers 300-349kg",410.14
"812","Cattle Price per 100 Kg (Euro)","2001","Heifers 300-349kg",126.1
"813","Cattle Price per Head (Euro)","2002","Heifers 300-349kg",435.79
"814","Cattle Price per 100 Kg (Euro)","2002","Heifers 300-349kg",134.13
"815","Cattle Price per Head (Euro)","2003","Heifers 300-349kg",442.74
"816","Cattle Price per 100 Kg (Euro)","2003","Heifers 300-349kg",136.34
"817","Cattle Price per Head (Euro)","2004","Heifers 300-349kg",500.97
"818","Cattle Price per 100 Kg (Euro)","2004","Heifers 300-349kg",154.2
"819","Cattle Price per Head (Euro)","2005","Heifers 300-349kg",491.91
"820","Cattle Price per 100 Kg (Euro)","2005","Heifers 300-349kg",151.39
"821","Cattle Price per Head (Euro)","2006","Heifers 300-349kg",496.79
"822","Cattle Price per 100 Kg (Euro)","2006","Heifers 300-349kg",152.54
"823","Cattle Price per Head (Euro)","2007","Heifers 300-349kg",514.49
"824","Cattle Price per 100 Kg (Euro)","2007","Heifers 300-349kg",158.29
"825","Cattle Price per Head (Euro)","2008","Heifers 300-349kg",561.4
"826","Cattle Price per 100 Kg (Euro)","2008","Heifers 300-349kg",173.01
"827","Cattle Price per Head (Euro)","2009","Heifers 300-349kg",491.02
"828","Cattle Price per 100 Kg (Euro)","2009","Heifers 300-349kg",151.1
"829","Cattle Price per Head (Euro)","2010","Heifers 300-349kg",517.76
"830","Cattle Price per 100 Kg (Euro)","2010","Heifers 300-349kg",159.44
"831","Cattle Price per Head (Euro)","2011","Heifers 300-349kg",651.32
"832","Cattle Price per 100 Kg (Euro)","2011","Heifers 300-349kg",200.53
"833","Cattle Price per Head (Euro)","2012","Heifers 300-349kg",747.8
"834","Cattle Price per 100 Kg (Euro)","2012","Heifers 300-349kg",229.81
"835","Cattle Price per Head (Euro)","2013","Heifers 300-349kg",675.26
"836","Cattle Price per 100 Kg (Euro)","2013","Heifers 300-349kg",208.02
"837","Cattle Price per Head (Euro)","1976","Heifers 350-399kg",236.46
"838","Cattle Price per 100 Kg (Euro)","1976","Heifers 350-399kg",62.76
"839","Cattle Price per Head (Euro)","1977","Heifers 350-399kg",284.7
"840","Cattle Price per 100 Kg (Euro)","1977","Heifers 350-399kg",76.29
"841","Cattle Price per Head (Euro)","1978","Heifers 350-399kg",332.54
"842","Cattle Price per 100 Kg (Euro)","1978","Heifers 350-399kg",89.47
"843","Cattle Price per Head (Euro)","1979","Heifers 350-399kg",364.2
"844","Cattle Price per 100 Kg (Euro)","1979","Heifers 350-399kg",98.19
"845","Cattle Price per Head (Euro)","1980","Heifers 350-399kg",337.48
"846","Cattle Price per 100 Kg (Euro)","1980","Heifers 350-399kg",91.09
"847","Cattle Price per Head (Euro)","1981","Heifers 350-399kg",427.86
"848","Cattle Price per 100 Kg (Euro)","1981","Heifers 350-399kg",115.57
"849","Cattle Price per Head (Euro)","1982","Heifers 350-399kg",468.01
"850","Cattle Price per 100 Kg (Euro)","1982","Heifers 350-399kg",126.34
"851","Cattle Price per Head (Euro)","1983","Heifers 350-399kg",469.12
"852","Cattle Price per 100 Kg (Euro)","1983","Heifers 350-399kg",126.43
"853","Cattle Price per Head (Euro)","1984","Heifers 350-399kg",491.11
"854","Cattle Price per 100 Kg (Euro)","1984","Heifers 350-399kg",132.37
"855","Cattle Price per Head (Euro)","1985","Heifers 350-399kg",490.04
"856","Cattle Price per 100 Kg (Euro)","1985","Heifers 350-399kg",131.77
"857","Cattle Price per Head (Euro)","1986","Heifers 350-399kg",474.26
"858","Cattle Price per 100 Kg (Euro)","1986","Heifers 350-399kg",127.38
"859","Cattle Price per Head (Euro)","1987","Heifers 350-399kg",510.24
"860","Cattle Price per 100 Kg (Euro)","1987","Heifers 350-399kg",137.07
"861","Cattle Price per Head (Euro)","1988","Heifers 350-399kg",629.6
"862","Cattle Price per 100 Kg (Euro)","1988","Heifers 350-399kg",168.82
"863","Cattle Price per Head (Euro)","1989","Heifers 350-399kg",611.49
"864","Cattle Price per 100 Kg (Euro)","1989","Heifers 350-399kg",164.16
"865","Cattle Price per Head (Euro)","1990","Heifers 350-399kg",546.76
"866","Cattle Price per 100 Kg (Euro)","1990","Heifers 350-399kg",146.96
"867","Cattle Price per Head (Euro)","1991","Heifers 350-399kg",514.62
"868","Cattle Price per 100 Kg (Euro)","1991","Heifers 350-399kg",138.01
"869","Cattle Price per Head (Euro)","1992","Heifers 350-399kg",513.84
"870","Cattle Price per 100 Kg (Euro)","1992","Heifers 350-399kg",138.01
"871","Cattle Price per Head (Euro)","1993","Heifers 350-399kg",560.39
"872","Cattle Price per 100 Kg (Euro)","1993","Heifers 350-399kg",150.4
"873","Cattle Price per Head (Euro)","1994","Heifers 350-399kg",578.87
"874","Cattle Price per 100 Kg (Euro)","1994","Heifers 350-399kg",155.26
"875","Cattle Price per Head (Euro)","1995","Heifers 350-399kg",567.63
"876","Cattle Price per 100 Kg (Euro)","1995","Heifers 350-399kg",151.87
"877","Cattle Price per Head (Euro)","1996","Heifers 350-399kg",487.35
"878","Cattle Price per 100 Kg (Euro)","1996","Heifers 350-399kg",130.43
"879","Cattle Price per Head (Euro)","1997","Heifers 350-399kg",476.12
"880","Cattle Price per 100 Kg (Euro)","1997","Heifers 350-399kg",127.45
"881","Cattle Price per Head (Euro)","1998","Heifers 350-399kg",442.88
"882","Cattle Price per 100 Kg (Euro)","1998","Heifers 350-399kg",118.81
"883","Cattle Price per Head (Euro)","1999","Heifers 350-399kg",409.39
"884","Cattle Price per 100 Kg (Euro)","1999","Heifers 350-399kg",109.69
"885","Cattle Price per Head (Euro)","2000","Heifers 350-399kg",490.61
"886","Cattle Price per 100 Kg (Euro)","2000","Heifers 350-399kg",131.29
"887","Cattle Price per Head (Euro)","2001","Heifers 350-399kg",475.28
"888","Cattle Price per 100 Kg (Euro)","2001","Heifers 350-399kg",127.13
"889","Cattle Price per Head (Euro)","2002","Heifers 350-399kg",494.5
"890","Cattle Price per 100 Kg (Euro)","2002","Heifers 350-399kg",132.43
"891","Cattle Price per Head (Euro)","2003","Heifers 350-399kg",505.76
"892","Cattle Price per 100 Kg (Euro)","2003","Heifers 350-399kg",135.34
"893","Cattle Price per Head (Euro)","2004","Heifers 350-399kg",559.08
"894","Cattle Price per 100 Kg (Euro)","2004","Heifers 350-399kg",149.77
"895","Cattle Price per Head (Euro)","2005","Heifers 350-399kg",547.42
"896","Cattle Price per 100 Kg (Euro)","2005","Heifers 350-399kg",146.38
"897","Cattle Price per Head (Euro)","2006","Heifers 350-399kg",563.25
"898","Cattle Price per 100 Kg (Euro)","2006","Heifers 350-399kg",150.6
"899","Cattle Price per Head (Euro)","2007","Heifers 350-399kg",577.8
"900","Cattle Price per 100 Kg (Euro)","2007","Heifers 350-399kg",154.46
"901","Cattle Price per Head (Euro)","2008","Heifers 350-399kg",631.15
"902","Cattle Price per 100 Kg (Euro)","2008","Heifers 350-399kg",169.14
"903","Cattle Price per Head (Euro)","2009","Heifers 350-399kg",563.31
"904","Cattle Price per 100 Kg (Euro)","2009","Heifers 350-399kg",150.79
"905","Cattle Price per Head (Euro)","2010","Heifers 350-399kg",593.79
"906","Cattle Price per 100 Kg (Euro)","2010","Heifers 350-399kg",159
"907","Cattle Price per Head (Euro)","2011","Heifers 350-399kg",734.29
"908","Cattle Price per 100 Kg (Euro)","2011","Heifers 350-399kg",196.53
"909","Cattle Price per Head (Euro)","2012","Heifers 350-399kg",820.01
"910","Cattle Price per 100 Kg (Euro)","2012","Heifers 350-399kg",219.38
"911","Cattle Price per Head (Euro)","2013","Heifers 350-399kg",785.7
"912","Cattle Price per 100 Kg (Euro)","2013","Heifers 350-399kg",210.19
"913","Cattle Price per Head (Euro)","1976","Heifers 400-449kg",268.5
"914","Cattle Price per 100 Kg (Euro)","1976","Heifers 400-449kg",62.95
"915","Cattle Price per Head (Euro)","1977","Heifers 400-449kg",318.77
"916","Cattle Price per 100 Kg (Euro)","1977","Heifers 400-449kg",75.65
"917","Cattle Price per Head (Euro)","1978","Heifers 400-449kg",376.26
"918","Cattle Price per 100 Kg (Euro)","1978","Heifers 400-449kg",89.78
"919","Cattle Price per Head (Euro)","1979","Heifers 400-449kg",406.66
"920","Cattle Price per 100 Kg (Euro)","1979","Heifers 400-449kg",97.13
"921","Cattle Price per Head (Euro)","1980","Heifers 400-449kg",383.51
"922","Cattle Price per 100 Kg (Euro)","1980","Heifers 400-449kg",91.59
"923","Cattle Price per Head (Euro)","1981","Heifers 400-449kg",480.86
"924","Cattle Price per 100 Kg (Euro)","1981","Heifers 400-449kg",114.77
"925","Cattle Price per Head (Euro)","1982","Heifers 400-449kg",521.49
"926","Cattle Price per 100 Kg (Euro)","1982","Heifers 400-449kg",124.54
"927","Cattle Price per Head (Euro)","1983","Heifers 400-449kg",530.24
"928","Cattle Price per 100 Kg (Euro)","1983","Heifers 400-449kg",126.59
"929","Cattle Price per Head (Euro)","1984","Heifers 400-449kg",554.62
"930","Cattle Price per 100 Kg (Euro)","1984","Heifers 400-449kg",132.38
"931","Cattle Price per Head (Euro)","1985","Heifers 400-449kg",551.65
"932","Cattle Price per 100 Kg (Euro)","1985","Heifers 400-449kg",130.99
"933","Cattle Price per Head (Euro)","1986","Heifers 400-449kg",535.69
"934","Cattle Price per 100 Kg (Euro)","1986","Heifers 400-449kg",127.62
"935","Cattle Price per Head (Euro)","1987","Heifers 400-449kg",571.42
"936","Cattle Price per 100 Kg (Euro)","1987","Heifers 400-449kg",136.01
"937","Cattle Price per Head (Euro)","1988","Heifers 400-449kg",686.95
"938","Cattle Price per 100 Kg (Euro)","1988","Heifers 400-449kg",163.29
"939","Cattle Price per Head (Euro)","1989","Heifers 400-449kg",673.08
"940","Cattle Price per 100 Kg (Euro)","1989","Heifers 400-449kg",159.83
"941","Cattle Price per Head (Euro)","1990","Heifers 400-449kg",609.66
"942","Cattle Price per 100 Kg (Euro)","1990","Heifers 400-449kg",144.66
"943","Cattle Price per Head (Euro)","1991","Heifers 400-449kg",579.61
"944","Cattle Price per 100 Kg (Euro)","1991","Heifers 400-449kg",137.31
"945","Cattle Price per Head (Euro)","1992","Heifers 400-449kg",575.67
"946","Cattle Price per 100 Kg (Euro)","1992","Heifers 400-449kg",136.51
"947","Cattle Price per Head (Euro)","1993","Heifers 400-449kg",627.95
"948","Cattle Price per 100 Kg (Euro)","1993","Heifers 400-449kg",149.11
"949","Cattle Price per Head (Euro)","1994","Heifers 400-449kg",646.35
"950","Cattle Price per 100 Kg (Euro)","1994","Heifers 400-449kg",153.55
"951","Cattle Price per Head (Euro)","1995","Heifers 400-449kg",636.47
"952","Cattle Price per 100 Kg (Euro)","1995","Heifers 400-449kg",150.5
"953","Cattle Price per Head (Euro)","1996","Heifers 400-449kg",544.39
"954","Cattle Price per 100 Kg (Euro)","1996","Heifers 400-449kg",129.03
"955","Cattle Price per Head (Euro)","1997","Heifers 400-449kg",530.26
"956","Cattle Price per 100 Kg (Euro)","1997","Heifers 400-449kg",125.56
"957","Cattle Price per Head (Euro)","1998","Heifers 400-449kg",500.72
"958","Cattle Price per 100 Kg (Euro)","1998","Heifers 400-449kg",118.64
"959","Cattle Price per Head (Euro)","1999","Heifers 400-449kg",475.52
"960","Cattle Price per 100 Kg (Euro)","1999","Heifers 400-449kg",112.86
"961","Cattle Price per Head (Euro)","2000","Heifers 400-449kg",553.52
"962","Cattle Price per 100 Kg (Euro)","2000","Heifers 400-449kg",130.97
"963","Cattle Price per Head (Euro)","2001","Heifers 400-449kg",536.84
"964","Cattle Price per 100 Kg (Euro)","2001","Heifers 400-449kg",127.24
"965","Cattle Price per Head (Euro)","2002","Heifers 400-449kg",553.33
"966","Cattle Price per 100 Kg (Euro)","2002","Heifers 400-449kg",131.17
"967","Cattle Price per Head (Euro)","2003","Heifers 400-449kg",566.52
"968","Cattle Price per 100 Kg (Euro)","2003","Heifers 400-449kg",134.24
"969","Cattle Price per Head (Euro)","2004","Heifers 400-449kg",617.34
"970","Cattle Price per 100 Kg (Euro)","2004","Heifers 400-449kg",146.22
"971","Cattle Price per Head (Euro)","2005","Heifers 400-449kg",602.27
"972","Cattle Price per 100 Kg (Euro)","2005","Heifers 400-449kg",142.36
"973","Cattle Price per Head (Euro)","2006","Heifers 400-449kg",636.27
"974","Cattle Price per 100 Kg (Euro)","2006","Heifers 400-449kg",150.57
"975","Cattle Price per Head (Euro)","2007","Heifers 400-449kg",643.81
"976","Cattle Price per 100 Kg (Euro)","2007","Heifers 400-449kg",152.24
"977","Cattle Price per Head (Euro)","2008","Heifers 400-449kg",710.46
"978","Cattle Price per 100 Kg (Euro)","2008","Heifers 400-449kg",168.41
"979","Cattle Price per Head (Euro)","2009","Heifers 400-449kg",638.64
"980","Cattle Price per 100 Kg (Euro)","2009","Heifers 400-449kg",151.27
"981","Cattle Price per Head (Euro)","2010","Heifers 400-449kg",668.77
"982","Cattle Price per 100 Kg (Euro)","2010","Heifers 400-449kg",158.31
"983","Cattle Price per Head (Euro)","2011","Heifers 400-449kg",816.39
"984","Cattle Price per 100 Kg (Euro)","2011","Heifers 400-449kg",193.06
"985","Cattle Price per Head (Euro)","2012","Heifers 400-449kg",911.37
"986","Cattle Price per 100 Kg (Euro)","2012","Heifers 400-449kg",215.69
"987","Cattle Price per Head (Euro)","2013","Heifers 400-449kg",898.36
"988","Cattle Price per 100 Kg (Euro)","2013","Heifers 400-449kg",212.69
"989","Cattle Price per Head (Euro)","1976","Cows for slaughter",NA
"990","Cattle Price per 100 Kg (Euro)","1976","Cows for slaughter",46.24
"991","Cattle Price per Head (Euro)","1977","Cows for slaughter",NA
"992","Cattle Price per 100 Kg (Euro)","1977","Cows for slaughter",58.34
"993","Cattle Price per Head (Euro)","1978","Cows for slaughter",NA
"994","Cattle Price per 100 Kg (Euro)","1978","Cows for slaughter",69.89
"995","Cattle Price per Head (Euro)","1979","Cows for slaughter",NA
"996","Cattle Price per 100 Kg (Euro)","1979","Cows for slaughter",71.61
"997","Cattle Price per Head (Euro)","1980","Cows for slaughter",NA
"998","Cattle Price per 100 Kg (Euro)","1980","Cows for slaughter",69.49
"999","Cattle Price per Head (Euro)","1981","Cows for slaughter",NA
"1000","Cattle Price per 100 Kg (Euro)","1981","Cows for slaughter",83.75
"1001","Cattle Price per Head (Euro)","1982","Cows for slaughter",NA
"1002","Cattle Price per 100 Kg (Euro)","1982","Cows for slaughter",91.19
"1003","Cattle Price per Head (Euro)","1983","Cows for slaughter",NA
"1004","Cattle Price per 100 Kg (Euro)","1983","Cows for slaughter",90.67
"1005","Cattle Price per Head (Euro)","1984","Cows for slaughter",NA
"1006","Cattle Price per 100 Kg (Euro)","1984","Cows for slaughter",92.79
"1007","Cattle Price per Head (Euro)","1985","Cows for slaughter",NA
"1008","Cattle Price per 100 Kg (Euro)","1985","Cows for slaughter",91.05
"1009","Cattle Price per Head (Euro)","1986","Cows for slaughter",NA
"1010","Cattle Price per 100 Kg (Euro)","1986","Cows for slaughter",88.68
"1011","Cattle Price per Head (Euro)","1987","Cows for slaughter",NA
"1012","Cattle Price per 100 Kg (Euro)","1987","Cows for slaughter",94
"1013","Cattle Price per Head (Euro)","1988","Cows for slaughter",NA
"1014","Cattle Price per 100 Kg (Euro)","1988","Cows for slaughter",110.19
"1015","Cattle Price per Head (Euro)","1989","Cows for slaughter",NA
"1016","Cattle Price per 100 Kg (Euro)","1989","Cows for slaughter",112.02
"1017","Cattle Price per Head (Euro)","1990","Cows for slaughter",NA
"1018","Cattle Price per 100 Kg (Euro)","1990","Cows for slaughter",95.6
"1019","Cattle Price per Head (Euro)","1991","Cows for slaughter",NA
"1020","Cattle Price per 100 Kg (Euro)","1991","Cows for slaughter",86.77
"1021","Cattle Price per Head (Euro)","1992","Cows for slaughter",NA
"1022","Cattle Price per 100 Kg (Euro)","1992","Cows for slaughter",92.74
"1023","Cattle Price per Head (Euro)","1993","Cows for slaughter",NA
"1024","Cattle Price per 100 Kg (Euro)","1993","Cows for slaughter",104.64
"1025","Cattle Price per Head (Euro)","1994","Cows for slaughter",NA
"1026","Cattle Price per 100 Kg (Euro)","1994","Cows for slaughter",104.97
"1027","Cattle Price per Head (Euro)","1995","Cows for slaughter",NA
"1028","Cattle Price per 100 Kg (Euro)","1995","Cows for slaughter",104.08
"1029","Cattle Price per Head (Euro)","1996","Cows for slaughter",NA
"1030","Cattle Price per 100 Kg (Euro)","1996","Cows for slaughter",83.32
"1031","Cattle Price per Head (Euro)","1997","Cows for slaughter",NA
"1032","Cattle Price per 100 Kg (Euro)","1997","Cows for slaughter",77.07
"1033","Cattle Price per Head (Euro)","1998","Cows for slaughter",NA
"1034","Cattle Price per 100 Kg (Euro)","1998","Cows for slaughter",73.23
"1035","Cattle Price per Head (Euro)","1999","Cows for slaughter",NA
"1036","Cattle Price per 100 Kg (Euro)","1999","Cows for slaughter",63.4
"1037","Cattle Price per Head (Euro)","2000","Cows for slaughter",NA
"1038","Cattle Price per 100 Kg (Euro)","2000","Cows for slaughter",73.77
"1039","Cattle Price per Head (Euro)","2001","Cows for slaughter",NA
"1040","Cattle Price per 100 Kg (Euro)","2001","Cows for slaughter",65.51
"1041","Cattle Price per Head (Euro)","2002","Cows for slaughter",NA
"1042","Cattle Price per 100 Kg (Euro)","2002","Cows for slaughter",71.83
"1043","Cattle Price per Head (Euro)","2003","Cows for slaughter",NA
"1044","Cattle Price per 100 Kg (Euro)","2003","Cows for slaughter",NA
"1045","Cattle Price per Head (Euro)","2004","Cows for slaughter",NA
"1046","Cattle Price per 100 Kg (Euro)","2004","Cows for slaughter",NA
"1047","Cattle Price per Head (Euro)","2005","Cows for slaughter",NA
"1048","Cattle Price per 100 Kg (Euro)","2005","Cows for slaughter",NA
"1049","Cattle Price per Head (Euro)","2006","Cows for slaughter",NA
"1050","Cattle Price per 100 Kg (Euro)","2006","Cows for slaughter",NA
"1051","Cattle Price per Head (Euro)","2007","Cows for slaughter",NA
"1052","Cattle Price per 100 Kg (Euro)","2007","Cows for slaughter",NA
"1053","Cattle Price per Head (Euro)","2008","Cows for slaughter",NA
"1054","Cattle Price per 100 Kg (Euro)","2008","Cows for slaughter",NA
"1055","Cattle Price per Head (Euro)","2009","Cows for slaughter",NA
"1056","Cattle Price per 100 Kg (Euro)","2009","Cows for slaughter",NA
"1057","Cattle Price per Head (Euro)","2010","Cows for slaughter",NA
"1058","Cattle Price per 100 Kg (Euro)","2010","Cows for slaughter",NA
"1059","Cattle Price per Head (Euro)","2011","Cows for slaughter",NA
"1060","Cattle Price per 100 Kg (Euro)","2011","Cows for slaughter",NA
"1061","Cattle Price per Head (Euro)","2012","Cows for slaughter",NA
"1062","Cattle Price per 100 Kg (Euro)","2012","Cows for slaughter",NA
"1063","Cattle Price per Head (Euro)","2013","Cows for slaughter",NA
"1064","Cattle Price per 100 Kg (Euro)","2013","Cows for slaughter",NA
