"","Year","Statistic","value"
"41","2009","All Livestock (Base 2000=100)",92.7
"42","2010","All Livestock (Base 2000=100)",93.5
"43","1990","Livestock - Cattle (Base 2000=100)",99.3
"44","1991","Livestock - Cattle (Base 2000=100)",99.2
"45","1992","Livestock - Cattle (Base 2000=100)",104.6
"46","1993","Livestock - Cattle (Base 2000=100)",100.7
"47","1994","Livestock - Cattle (Base 2000=100)",91.5
"48","1995","Livestock - Cattle (Base 2000=100)",98.1
"49","1996","Livestock - Cattle (Base 2000=100)",104.6
"50","1997","Livestock - Cattle (Base 2000=100)",104.4
"51","1998","Livestock - Cattle (Base 2000=100)",107.9
"52","1999","Livestock - Cattle (Base 2000=100)",107.2
"53","2000","Livestock - Cattle (Base 2000=100)",100
"54","2001","Livestock - Cattle (Base 2000=100)",99.4
"55","2002","Livestock - Cattle (Base 2000=100)",92.1
"56","2003","Livestock - Cattle (Base 2000=100)",97.7
"57","2004","Livestock - Cattle (Base 2000=100)",96.8
"58","2005","Livestock - Cattle (Base 2000=100)",96.8
"59","2006","Livestock - Cattle (Base 2000=100)",94.6
"60","2007","Livestock - Cattle (Base 2000=100)",97.9
"61","2008","Livestock - Cattle (Base 2000=100)",95.2
"62","2009","Livestock - Cattle (Base 2000=100)",91.3
"63","2010","Livestock - Cattle (Base 2000=100)",91.2
"64","1990","Livestock - Pigs (Base 2000=100)",68.3
"65","1991","Livestock - Pigs (Base 2000=100)",72.8
"66","1992","Livestock - Pigs (Base 2000=100)",79
"67","1993","Livestock - Pigs (Base 2000=100)",84.6
"68","1994","Livestock - Pigs (Base 2000=100)",86.7
"69","1995","Livestock - Pigs (Base 2000=100)",89.2
"70","1996","Livestock - Pigs (Base 2000=100)",96.5
"71","1997","Livestock - Pigs (Base 2000=100)",103.4
"72","1998","Livestock - Pigs (Base 2000=100)",108.2
"73","1999","Livestock - Pigs (Base 2000=100)",106.1
"74","2000","Livestock - Pigs (Base 2000=100)",100
"75","2001","Livestock - Pigs (Base 2000=100)",102.3
"76","2002","Livestock - Pigs (Base 2000=100)",101.7
"77","2003","Livestock - Pigs (Base 2000=100)",101.2
"78","2004","Livestock - Pigs (Base 2000=100)",97.7
"79","2005","Livestock - Pigs (Base 2000=100)",97.6
"80","2006","Livestock - Pigs (Base 2000=100)",100.1
"81","2007","Livestock - Pigs (Base 2000=100)",96.8
"82","2008","Livestock - Pigs (Base 2000=100)",100.9
"83","2009","Livestock - Pigs (Base 2000=100)",101.2
"84","2010","Livestock - Pigs (Base 2000=100)",110.1
"85","1990","Livestock - Sheep (Base 2000=100)",112.3
"86","1991","Livestock - Sheep (Base 2000=100)",117.8
"87","1992","Livestock - Sheep (Base 2000=100)",125
"88","1993","Livestock - Sheep (Base 2000=100)",129.8
"89","1994","Livestock - Sheep (Base 2000=100)",119.5
"90","1995","Livestock - Sheep (Base 2000=100)",104.5
"91","1996","Livestock - Sheep (Base 2000=100)",107.9
"92","1997","Livestock - Sheep (Base 2000=100)",101.4
"93","1998","Livestock - Sheep (Base 2000=100)",110.5
"94","1999","Livestock - Sheep (Base 2000=100)",110.7
"95","2000","Livestock - Sheep (Base 2000=100)",100
"96","2001","Livestock - Sheep (Base 2000=100)",96.3
"97","2002","Livestock - Sheep (Base 2000=100)",82.1
"98","2003","Livestock - Sheep (Base 2000=100)",79.1
"99","2004","Livestock - Sheep (Base 2000=100)",82.6
"100","2005","Livestock - Sheep (Base 2000=100)",84.5
"101","2006","Livestock - Sheep (Base 2000=100)",82.3
"102","2007","Livestock - Sheep (Base 2000=100)",76.1
"103","2008","Livestock - Sheep (Base 2000=100)",69.1
"104","2009","Livestock - Sheep (Base 2000=100)",60.6
"105","2010","Livestock - Sheep (Base 2000=100)",53.7
"106","1990","Livestock - Horses (Base 2000=100)",78.3
"107","1991","Livestock - Horses (Base 2000=100)",76.8
"108","1992","Livestock - Horses (Base 2000=100)",81.2
"109","1993","Livestock - Horses (Base 2000=100)",78.2
"110","1994","Livestock - Horses (Base 2000=100)",84.8
"111","1995","Livestock - Horses (Base 2000=100)",77.6
"112","1996","Livestock - Horses (Base 2000=100)",82.9
"113","1997","Livestock - Horses (Base 2000=100)",91.4
"114","1998","Livestock - Horses (Base 2000=100)",83.5
"115","1999","Livestock - Horses (Base 2000=100)",91
"116","2000","Livestock - Horses (Base 2000=100)",100
"117","2001","Livestock - Horses (Base 2000=100)",111
"118","2002","Livestock - Horses (Base 2000=100)",119.2
"119","2003","Livestock - Horses (Base 2000=100)",132
"120","2004","Livestock - Horses (Base 2000=100)",142
"121","2005","Livestock - Horses (Base 2000=100)",123.1
"122","2006","Livestock - Horses (Base 2000=100)",129.6
"123","2007","Livestock - Horses (Base 2000=100)",143
"124","2008","Livestock - Horses (Base 2000=100)",154.2
"125","2009","Livestock - Horses (Base 2000=100)",138.2
"126","2010","Livestock - Horses (Base 2000=100)",134
"127","1990","Livestock - Poultry (Base 2000=100)",81.4
"128","1991","Livestock - Poultry (Base 2000=100)",88.3
"129","1992","Livestock - Poultry (Base 2000=100)",84.9
"130","1993","Livestock - Poultry (Base 2000=100)",83.2
"131","1994","Livestock - Poultry (Base 2000=100)",101.9
"132","1995","Livestock - Poultry (Base 2000=100)",102.1
"133","1996","Livestock - Poultry (Base 2000=100)",103.6
"134","1997","Livestock - Poultry (Base 2000=100)",108.5
"135","1998","Livestock - Poultry (Base 2000=100)",107.9
"136","1999","Livestock - Poultry (Base 2000=100)",110.8
"137","2000","Livestock - Poultry (Base 2000=100)",100
"138","2001","Livestock - Poultry (Base 2000=100)",107.5
"139","2002","Livestock - Poultry (Base 2000=100)",101.3
"140","2003","Livestock - Poultry (Base 2000=100)",106.2
"141","2004","Livestock - Poultry (Base 2000=100)",109.5
"142","2005","Livestock - Poultry (Base 2000=100)",106.7
"143","2006","Livestock - Poultry (Base 2000=100)",85.1
"144","2007","Livestock - Poultry (Base 2000=100)",92.3
"145","2008","Livestock - Poultry (Base 2000=100)",82.7
"146","2009","Livestock - Poultry (Base 2000=100)",80.6
"147","2010","Livestock - Poultry (Base 2000=100)",91.8
"148","1990","All Livestock Products (Base 2000=100)",106.6
"149","1991","All Livestock Products (Base 2000=100)",105.5
"150","1992","All Livestock Products (Base 2000=100)",106
"151","1993","All Livestock Products (Base 2000=100)",105.1
"152","1994","All Livestock Products (Base 2000=100)",105.7
"153","1995","All Livestock Products (Base 2000=100)",105.7
"154","1996","All Livestock Products (Base 2000=100)",105.3
"155","1997","All Livestock Products (Base 2000=100)",103.9
"156","1998","All Livestock Products (Base 2000=100)",99.4
"157","1999","All Livestock Products (Base 2000=100)",99.1
"158","2000","All Livestock Products (Base 2000=100)",100
"159","2001","All Livestock Products (Base 2000=100)",102.2
"160","2002","All Livestock Products (Base 2000=100)",99.7
"161","2003","All Livestock Products (Base 2000=100)",101.8
"162","2004","All Livestock Products (Base 2000=100)",100.5
"163","2005","All Livestock Products (Base 2000=100)",96.4
"164","2006","All Livestock Products (Base 2000=100)",99.9
"165","2007","All Livestock Products (Base 2000=100)",98.6
"166","2008","All Livestock Products (Base 2000=100)",95.4
"167","2009","All Livestock Products (Base 2000=100)",92.2
"168","2010","All Livestock Products (Base 2000=100)",99.1
"169","1990","Livestock Products - Milk (Base 2000=100)",106.8
"170","1991","Livestock Products - Milk (Base 2000=100)",105.3
"171","1992","Livestock Products - Milk (Base 2000=100)",105.9
"172","1993","Livestock Products - Milk (Base 2000=100)",105
"173","1994","Livestock Products - Milk (Base 2000=100)",105.9
"174","1995","Livestock Products - Milk (Base 2000=100)",105.8
"175","1996","Livestock Products - Milk (Base 2000=100)",105.7
"176","1997","Livestock Products - Milk (Base 2000=100)",104.3
"177","1998","Livestock Products - Milk (Base 2000=100)",99.6
"178","1999","Livestock Products - Milk (Base 2000=100)",99.4
"179","2000","Livestock Products - Milk (Base 2000=100)",100
"180","2001","Livestock Products - Milk (Base 2000=100)",102.3
"181","2002","Livestock Products - Milk (Base 2000=100)",99.6
"182","2003","Livestock Products - Milk (Base 2000=100)",101.8
"183","2004","Livestock Products - Milk (Base 2000=100)",100.5
"184","2005","Livestock Products - Milk (Base 2000=100)",96.1
"185","2006","Livestock Products - Milk (Base 2000=100)",99.6
"186","2007","Livestock Products - Milk (Base 2000=100)",98.5
"187","2008","Livestock Products - Milk (Base 2000=100)",95.3
"188","2009","Livestock Products - Milk (Base 2000=100)",92
"189","2010","Livestock Products - Milk (Base 2000=100)",98.8
"190","1990","All Crops (Base 2000=100)",91.4
"191","1991","All Crops (Base 2000=100)",89.6
"192","1992","All Crops (Base 2000=100)",93.9
"193","1993","All Crops (Base 2000=100)",89.8
"194","1994","All Crops (Base 2000=100)",93.2
"195","1995","All Crops (Base 2000=100)",92.6
"196","1996","All Crops (Base 2000=100)",99.9
"197","1997","All Crops (Base 2000=100)",92.6
"198","1998","All Crops (Base 2000=100)",91.2
"199","1999","All Crops (Base 2000=100)",95.8
"200","2000","All Crops (Base 2000=100)",100
"201","2001","All Crops (Base 2000=100)",103.3
"202","2002","All Crops (Base 2000=100)",96.1
"203","2003","All Crops (Base 2000=100)",98
"204","2004","All Crops (Base 2000=100)",102.2
"205","2005","All Crops (Base 2000=100)",102
"206","2006","All Crops (Base 2000=100)",98.5
"207","2007","All Crops (Base 2000=100)",89.9
"208","2008","All Crops (Base 2000=100)",92.9
"209","2009","All Crops (Base 2000=100)",88.5
"210","2010","All Crops (Base 2000=100)",87.6
"211","1990","Crops - Barley (Base 2000=100)",81.4
"212","1991","Crops - Barley (Base 2000=100)",79.3
"213","1992","Crops - Barley (Base 2000=100)",91.2
"214","1993","Crops - Barley (Base 2000=100)",69.2
"215","1994","Crops - Barley (Base 2000=100)",62.3
"216","1995","Crops - Barley (Base 2000=100)",70.6
"217","1996","Crops - Barley (Base 2000=100)",93.2
"218","1997","Crops - Barley (Base 2000=100)",86.7
"219","1998","Crops - Barley (Base 2000=100)",77.1
"220","1999","Crops - Barley (Base 2000=100)",91.4
"221","2000","Crops - Barley (Base 2000=100)",100
"222","2001","Crops - Barley (Base 2000=100)",90.8
"223","2002","Crops - Barley (Base 2000=100)",69.1
"224","2003","Crops - Barley (Base 2000=100)",83.3
"225","2004","Crops - Barley (Base 2000=100)",91.1
"226","2005","Crops - Barley (Base 2000=100)",59
"227","2006","Crops - Barley (Base 2000=100)",67.7
"228","2007","Crops - Barley (Base 2000=100)",65.4
"229","2008","Crops - Barley (Base 2000=100)",78.2
"230","2009","Crops - Barley (Base 2000=100)",68.4
"231","2010","Crops - Barley (Base 2000=100)",68.6
"232","1990","Crops - Wheat (Base 2000=100)",89
"233","1991","Crops - Wheat (Base 2000=100)",93.7
"234","1992","Crops - Wheat (Base 2000=100)",110.8
"235","1993","Crops - Wheat (Base 2000=100)",74
"236","1994","Crops - Wheat (Base 2000=100)",67.2
"237","1995","Crops - Wheat (Base 2000=100)",47.3
"238","1996","Crops - Wheat (Base 2000=100)",91.2
"239","1997","Crops - Wheat (Base 2000=100)",100.1
"240","1998","Crops - Wheat (Base 2000=100)",81.3
"241","1999","Crops - Wheat (Base 2000=100)",72.7
"242","2000","Crops - Wheat (Base 2000=100)",100
"243","2001","Crops - Wheat (Base 2000=100)",81.1
"244","2002","Crops - Wheat (Base 2000=100)",103.7
"245","2003","Crops - Wheat (Base 2000=100)",79.7
"246","2004","Crops - Wheat (Base 2000=100)",113.5
"247","2005","Crops - Wheat (Base 2000=100)",78.2
"248","2006","Crops - Wheat (Base 2000=100)",82.1
"249","2007","Crops - Wheat (Base 2000=100)",68.8
"250","2008","Crops - Wheat (Base 2000=100)",92.2
"251","2009","Crops - Wheat (Base 2000=100)",52.3
"252","2010","Crops - Wheat (Base 2000=100)",59.7
"253","1990","Crops - Potatoes (Base 2000=100)",153.8
"254","1991","Crops - Potatoes (Base 2000=100)",137.6
"255","1992","Crops - Potatoes (Base 2000=100)",159.1
"256","1993","Crops - Potatoes (Base 2000=100)",134.9
"257","1994","Crops - Potatoes (Base 2000=100)",161.9
"258","1995","Crops - Potatoes (Base 2000=100)",157.3
"259","1996","Crops - Potatoes (Base 2000=100)",180.7
"260","1997","Crops - Potatoes (Base 2000=100)",115.7
"261","1998","Crops - Potatoes (Base 2000=100)",112.8
"262","1999","Crops - Potatoes (Base 2000=100)",138.3
"263","2000","Crops - Potatoes (Base 2000=100)",100
"264","2001","Crops - Potatoes (Base 2000=100)",118.3
"265","2002","Crops - Potatoes (Base 2000=100)",112.7
"266","2003","Crops - Potatoes (Base 2000=100)",116.3
"267","2004","Crops - Potatoes (Base 2000=100)",149.7
"268","2005","Crops - Potatoes (Base 2000=100)",100.2
"269","2006","Crops - Potatoes (Base 2000=100)",87.4
"270","2007","Crops - Potatoes (Base 2000=100)",84.3
"271","2008","Crops - Potatoes (Base 2000=100)",67.9
"272","2009","Crops - Potatoes (Base 2000=100)",70.5
"273","2010","Crops - Potatoes (Base 2000=100)",100
"274","1990","Crops - Sugar Beet (Base 2000=100)",104.3
"275","1991","Crops - Sugar Beet (Base 2000=100)",98.9
"276","1992","Crops - Sugar Beet (Base 2000=100)",100
"277","1993","Crops - Sugar Beet (Base 2000=100)",78.9
"278","1994","Crops - Sugar Beet (Base 2000=100)",97.9
"279","1995","Crops - Sugar Beet (Base 2000=100)",107.7
"280","1996","Crops - Sugar Beet (Base 2000=100)",104
"281","1997","Crops - Sugar Beet (Base 2000=100)",97.9
"282","1998","Crops - Sugar Beet (Base 2000=100)",98.6
"283","1999","Crops - Sugar Beet (Base 2000=100)",98.7
"284","2000","Crops - Sugar Beet (Base 2000=100)",100
"285","2001","Crops - Sugar Beet (Base 2000=100)",96.8
"286","2002","Crops - Sugar Beet (Base 2000=100)",91
"287","2003","Crops - Sugar Beet (Base 2000=100)",96.4
"288","2004","Crops - Sugar Beet (Base 2000=100)",95.9
"289","2005","Crops - Sugar Beet (Base 2000=100)",84.5
"290","2006","Crops - Sugar Beet (Base 2000=100)",0
"291","2007","Crops - Sugar Beet (Base 2000=100)",0
"292","2008","Crops - Sugar Beet (Base 2000=100)",0
"293","2009","Crops - Sugar Beet (Base 2000=100)",0
"294","2010","Crops - Sugar Beet (Base 2000=100)",0
"295","1990","Crops - Fresh Vegetables (Base 2000=100)",80
"296","1991","Crops - Fresh Vegetables (Base 2000=100)",83.5
"297","1992","Crops - Fresh Vegetables (Base 2000=100)",84.1
"298","1993","Crops - Fresh Vegetables (Base 2000=100)",87.9
"299","1994","Crops - Fresh Vegetables (Base 2000=100)",92.7
"300","1995","Crops - Fresh Vegetables (Base 2000=100)",87.9
"301","1996","Crops - Fresh Vegetables (Base 2000=100)",91.9
"302","1997","Crops - Fresh Vegetables (Base 2000=100)",91
"303","1998","Crops - Fresh Vegetables (Base 2000=100)",96.4
"304","1999","Crops - Fresh Vegetables (Base 2000=100)",101.3
"305","2000","Crops - Fresh Vegetables (Base 2000=100)",100
"306","2001","Crops - Fresh Vegetables (Base 2000=100)",107.9
"307","2002","Crops - Fresh Vegetables (Base 2000=100)",104.6
"308","2003","Crops - Fresh Vegetables (Base 2000=100)",106.6
"309","2004","Crops - Fresh Vegetables (Base 2000=100)",101.5
"310","2005","Crops - Fresh Vegetables (Base 2000=100)",103.8
"311","2006","Crops - Fresh Vegetables (Base 2000=100)",95.6
"312","2007","Crops - Fresh Vegetables (Base 2000=100)",89.6
"313","2008","Crops - Fresh Vegetables (Base 2000=100)",91.3
"314","2009","Crops - Fresh Vegetables (Base 2000=100)",88.7
"315","2010","Crops - Fresh Vegetables (Base 2000=100)",87.9
"316","1990","Intermediate Consumption (Base 2000=100)",84.3
"317","1991","Intermediate Consumption (Base 2000=100)",83.1
"318","1992","Intermediate Consumption (Base 2000=100)",83
"319","1993","Intermediate Consumption (Base 2000=100)",87.9
"320","1994","Intermediate Consumption (Base 2000=100)",93.1
"321","1995","Intermediate Consumption (Base 2000=100)",95.3
"322","1996","Intermediate Consumption (Base 2000=100)",98
"323","1997","Intermediate Consumption (Base 2000=100)",94.7
"324","1998","Intermediate Consumption (Base 2000=100)",98.8
"325","1999","Intermediate Consumption (Base 2000=100)",101
"326","2000","Intermediate Consumption (Base 2000=100)",100
"327","2001","Intermediate Consumption (Base 2000=100)",102.5
"328","2002","Intermediate Consumption (Base 2000=100)",98.2
"329","2003","Intermediate Consumption (Base 2000=100)",97.3
"330","2004","Intermediate Consumption (Base 2000=100)",95.9
"331","2005","Intermediate Consumption (Base 2000=100)",99.1
"332","2006","Intermediate Consumption (Base 2000=100)",102
"333","2007","Intermediate Consumption (Base 2000=100)",97.7
"334","2008","Intermediate Consumption (Base 2000=100)",96.7
"335","2009","Intermediate Consumption (Base 2000=100)",93.3
"336","2010","Intermediate Consumption (Base 2000=100)",96.2
"337","1990","Intermediate Consumption - Feedingstuffs (Base 2000=100)",66.8
"338","1991","Intermediate Consumption - Feedingstuffs (Base 2000=100)",73.5
"339","1992","Intermediate Consumption - Feedingstuffs (Base 2000=100)",75.6
"340","1993","Intermediate Consumption - Feedingstuffs (Base 2000=100)",82.9
"341","1994","Intermediate Consumption - Feedingstuffs (Base 2000=100)",92.2
"342","1995","Intermediate Consumption - Feedingstuffs (Base 2000=100)",92.9
"343","1996","Intermediate Consumption - Feedingstuffs (Base 2000=100)",88.3
"344","1997","Intermediate Consumption - Feedingstuffs (Base 2000=100)",85
"345","1998","Intermediate Consumption - Feedingstuffs (Base 2000=100)",99.2
"346","1999","Intermediate Consumption - Feedingstuffs (Base 2000=100)",105.6
"347","2000","Intermediate Consumption - Feedingstuffs (Base 2000=100)",100
"348","2001","Intermediate Consumption - Feedingstuffs (Base 2000=100)",101.4
"349","2002","Intermediate Consumption - Feedingstuffs (Base 2000=100)",107.9
"350","2003","Intermediate Consumption - Feedingstuffs (Base 2000=100)",104
"351","2004","Intermediate Consumption - Feedingstuffs (Base 2000=100)",98.1
"352","2005","Intermediate Consumption - Feedingstuffs (Base 2000=100)",98.3
"353","2006","Intermediate Consumption - Feedingstuffs (Base 2000=100)",106.5
"354","2007","Intermediate Consumption - Feedingstuffs (Base 2000=100)",99.3
"355","2008","Intermediate Consumption - Feedingstuffs (Base 2000=100)",100.7
"356","2009","Intermediate Consumption - Feedingstuffs (Base 2000=100)",99.8
"357","2010","Intermediate Consumption - Feedingstuffs (Base 2000=100)",101.1
"358","1990","Intermediate Consumption - Fertilisers (Base 2000=100)",103.4
"359","1991","Intermediate Consumption - Fertilisers (Base 2000=100)",98.4
"360","1992","Intermediate Consumption - Fertilisers (Base 2000=100)",95.8
"361","1993","Intermediate Consumption - Fertilisers (Base 2000=100)",100.7
"362","1994","Intermediate Consumption - Fertilisers (Base 2000=100)",103.4
"363","1995","Intermediate Consumption - Fertilisers (Base 2000=100)",110.9
"364","1996","Intermediate Consumption - Fertilisers (Base 2000=100)",109.8
"365","1997","Intermediate Consumption - Fertilisers (Base 2000=100)",98
"366","1998","Intermediate Consumption - Fertilisers (Base 2000=100)",103.2
"367","1999","Intermediate Consumption - Fertilisers (Base 2000=100)",105
"368","2000","Intermediate Consumption - Fertilisers (Base 2000=100)",100
"369","2001","Intermediate Consumption - Fertilisers (Base 2000=100)",88.9
"370","2002","Intermediate Consumption - Fertilisers (Base 2000=100)",87.6
"371","2003","Intermediate Consumption - Fertilisers (Base 2000=100)",94.1
"372","2004","Intermediate Consumption - Fertilisers (Base 2000=100)",88.7
"373","2005","Intermediate Consumption - Fertilisers (Base 2000=100)",84.5
"374","2006","Intermediate Consumption - Fertilisers (Base 2000=100)",82.1
"375","2007","Intermediate Consumption - Fertilisers (Base 2000=100)",76.5
"376","2008","Intermediate Consumption - Fertilisers (Base 2000=100)",72.9
"377","2009","Intermediate Consumption - Fertilisers (Base 2000=100)",65.1
"378","2010","Intermediate Consumption - Fertilisers (Base 2000=100)",80.5
"379","1990","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Base 2000=100)",76.3
"380","1991","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Base 2000=100)",84.2
"381","1992","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Base 2000=100)",90.8
"382","1993","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Base 2000=100)",97.4
"383","1994","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Base 2000=100)",110.5
"384","1995","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Base 2000=100)",118.4
"385","1996","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Base 2000=100)",119.7
"386","1997","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Base 2000=100)",117.1
"387","1998","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Base 2000=100)",110.5
"388","1999","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Base 2000=100)",130.3
"389","2000","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Base 2000=100)",100
"390","2001","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Base 2000=100)",96.1
"391","2002","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Base 2000=100)",85.9
"392","2003","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Base 2000=100)",93.4
"393","2004","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Base 2000=100)",111.8
"394","2005","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Base 2000=100)",119.7
"395","2006","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Base 2000=100)",112
"396","2007","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Base 2000=100)",109.1
"397","2008","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Base 2000=100)",115.9
"398","2009","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Base 2000=100)",115.4
"399","2010","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Base 2000=100)",117.6
"400","1990","Intermediate Consumption - Seeds (Base 2000=100)",78.5
"401","1991","Intermediate Consumption - Seeds (Base 2000=100)",78
"402","1992","Intermediate Consumption - Seeds (Base 2000=100)",78.7
"403","1993","Intermediate Consumption - Seeds (Base 2000=100)",75.3
"404","1994","Intermediate Consumption - Seeds (Base 2000=100)",93.6
"405","1995","Intermediate Consumption - Seeds (Base 2000=100)",103.9
"406","1996","Intermediate Consumption - Seeds (Base 2000=100)",121.6
"407","1997","Intermediate Consumption - Seeds (Base 2000=100)",133.8
"408","1998","Intermediate Consumption - Seeds (Base 2000=100)",122.4
"409","1999","Intermediate Consumption - Seeds (Base 2000=100)",94.2
"410","2000","Intermediate Consumption - Seeds (Base 2000=100)",100
"411","2001","Intermediate Consumption - Seeds (Base 2000=100)",134.6
"412","2002","Intermediate Consumption - Seeds (Base 2000=100)",133.4
"413","2003","Intermediate Consumption - Seeds (Base 2000=100)",126.8
"414","2004","Intermediate Consumption - Seeds (Base 2000=100)",142.9
"415","2005","Intermediate Consumption - Seeds (Base 2000=100)",154.9
"416","2006","Intermediate Consumption - Seeds (Base 2000=100)",204.8
"417","2007","Intermediate Consumption - Seeds (Base 2000=100)",241.4
"418","2008","Intermediate Consumption - Seeds (Base 2000=100)",225.4
"419","2009","Intermediate Consumption - Seeds (Base 2000=100)",171.8
"420","2010","Intermediate Consumption - Seeds (Base 2000=100)",266.4
"421","1990","Intermediate Consumption - Energy and Lubricants (Base 2000=100)",102.2
"422","1991","Intermediate Consumption - Energy and Lubricants (Base 2000=100)",100.2
"423","1992","Intermediate Consumption - Energy and Lubricants (Base 2000=100)",99.5
"424","1993","Intermediate Consumption - Energy and Lubricants (Base 2000=100)",99.1
"425","1994","Intermediate Consumption - Energy and Lubricants (Base 2000=100)",100.9
"426","1995","Intermediate Consumption - Energy and Lubricants (Base 2000=100)",101.5
"427","1996","Intermediate Consumption - Energy and Lubricants (Base 2000=100)",110.4
"428","1997","Intermediate Consumption - Energy and Lubricants (Base 2000=100)",108.4
"429","1998","Intermediate Consumption - Energy and Lubricants (Base 2000=100)",110.2
"430","1999","Intermediate Consumption - Energy and Lubricants (Base 2000=100)",106.5
"431","2000","Intermediate Consumption - Energy and Lubricants (Base 2000=100)",100
"432","2001","Intermediate Consumption - Energy and Lubricants (Base 2000=100)",113.6
"433","2002","Intermediate Consumption - Energy and Lubricants (Base 2000=100)",103.2
"434","2003","Intermediate Consumption - Energy and Lubricants (Base 2000=100)",100.2
"435","2004","Intermediate Consumption - Energy and Lubricants (Base 2000=100)",96
"436","2005","Intermediate Consumption - Energy and Lubricants (Base 2000=100)",98.4
"437","2006","Intermediate Consumption - Energy and Lubricants (Base 2000=100)",99.1
"438","2007","Intermediate Consumption - Energy and Lubricants (Base 2000=100)",98.8
"439","2008","Intermediate Consumption - Energy and Lubricants (Base 2000=100)",94
"440","2009","Intermediate Consumption - Energy and Lubricants (Base 2000=100)",95
"441","2010","Intermediate Consumption - Energy and Lubricants (Base 2000=100)",95.9
"442","1990","Intermediate Consumption - Maintenance and Repairs (Base 2000=100)",96
"443","1991","Intermediate Consumption - Maintenance and Repairs (Base 2000=100)",83.1
"444","1992","Intermediate Consumption - Maintenance and Repairs (Base 2000=100)",75.4
"445","1993","Intermediate Consumption - Maintenance and Repairs (Base 2000=100)",82.1
"446","1994","Intermediate Consumption - Maintenance and Repairs (Base 2000=100)",92
"447","1995","Intermediate Consumption - Maintenance and Repairs (Base 2000=100)",97.3
