"","Year","State","Statistic","value"
"214","2011","State","Intermediate Consumption - Crop Protection Products (Base 2010 = 100)",110
"215","2012","State","Intermediate Consumption - Crop Protection Products (Base 2010 = 100)",126.1
"216","2013","State","Intermediate Consumption - Crop Protection Products (Base 2010 = 100)",111.6
"217","2005","State","Intermediate Consumption - Veterinary Expenses (Base 2010 = 100)",105.5
"218","2006","State","Intermediate Consumption - Veterinary Expenses (Base 2010 = 100)",105.8
"219","2007","State","Intermediate Consumption - Veterinary Expenses (Base 2010 = 100)",104.2
"220","2008","State","Intermediate Consumption - Veterinary Expenses (Base 2010 = 100)",97.2
"221","2009","State","Intermediate Consumption - Veterinary Expenses (Base 2010 = 100)",99.6
"222","2010","State","Intermediate Consumption - Veterinary Expenses (Base 2010 = 100)",100
"223","2011","State","Intermediate Consumption - Veterinary Expenses (Base 2010 = 100)",107.3
"224","2012","State","Intermediate Consumption - Veterinary Expenses (Base 2010 = 100)",114.4
"225","2013","State","Intermediate Consumption - Veterinary Expenses (Base 2010 = 100)",126.3
"226","2005","State","Gross Value Added at Basic Prices (Base 2010 = 100)",132
"227","2006","State","Gross Value Added at Basic Prices (Base 2010 = 100)",94.8
"228","2007","State","Gross Value Added at Basic Prices (Base 2010 = 100)",100.9
"229","2008","State","Gross Value Added at Basic Prices (Base 2010 = 100)",104.1
"230","2009","State","Gross Value Added at Basic Prices (Base 2010 = 100)",97.6
"231","2010","State","Gross Value Added at Basic Prices (Base 2010 = 100)",100
"232","2011","State","Gross Value Added at Basic Prices (Base 2010 = 100)",113.3
"233","2012","State","Gross Value Added at Basic Prices (Base 2010 = 100)",97.8
"234","2013","State","Gross Value Added at Basic Prices (Base 2010 = 100)",93.9
