"","Region","Year","Type.of.Animal","value"
"58","South-West (IRL)","1989","Total cattle",1680.9
"59","West","1989","Total cattle",1311
"60","North West","1989","Total cattle",918
"61","State","1990","Total cattle",6816.2
"62","Midlands and East","1990","Total cattle",1188.9
"63","South-East (IRL)","1990","Total cattle",1610.6
"64","South-West (IRL)","1990","Total cattle",1736.9
"65","West","1990","Total cattle",1326.1
"66","North West","1990","Total cattle",953.7
"67","State","1991","Total cattle",6912
"68","Midlands and East","1991","Total cattle",1192.7
"69","South-East (IRL)","1991","Total cattle",1661.5
"70","South-West (IRL)","1991","Total cattle",1790
"71","West","1991","Total cattle",1321.2
"72","North West","1991","Total cattle",946.5
"73","State","1992","Total cattle",6951.4
"74","Midlands and East","1992","Total cattle",1186.6
"75","South-East (IRL)","1992","Total cattle",1664.9
"76","South-West (IRL)","1992","Total cattle",1803.2
"77","West","1992","Total cattle",1338
"78","North West","1992","Total cattle",958.7
"79","State","1993","Total cattle",6981.8
"80","Midlands and East","1993","Total cattle",1189.3
"81","South-East (IRL)","1993","Total cattle",1671.6
"82","South-West (IRL)","1993","Total cattle",1817.4
"83","West","1993","Total cattle",1339.7
"84","North West","1993","Total cattle",963.8
"85","State","1994","Total cattle",6996.5
"86","Midlands and East","1994","Total cattle",1199.6
"87","South-East (IRL)","1994","Total cattle",1694.3
"88","South-West (IRL)","1994","Total cattle",1810.9
"89","West","1994","Total cattle",1325.3
"90","North West","1994","Total cattle",966.3
"91","State","1995","Total cattle",7034
"92","Midlands and East","1995","Total cattle",1205.7
"93","South-East (IRL)","1995","Total cattle",1686.5
"94","South-West (IRL)","1995","Total cattle",1826.2
"95","West","1995","Total cattle",1342.4
"96","North West","1995","Total cattle",973.2
"97","State","1996","Total cattle",7313.5
"98","Midlands and East","1996","Total cattle",1235.3
"99","South-East (IRL)","1996","Total cattle",1747
"100","South-West (IRL)","1996","Total cattle",1903.3
"101","West","1996","Total cattle",1410.8
"102","North West","1996","Total cattle",1017.1
"103","State","1997","Total cattle",7532.7
"104","Midlands and East","1997","Total cattle",1258.9
"105","South-East (IRL)","1997","Total cattle",1762
"106","South-West (IRL)","1997","Total cattle",1968.7
"107","West","1997","Total cattle",1473.9
"108","North West","1997","Total cattle",1069.2
"109","State","1998","Total cattle",7640
"110","Midlands and East","1998","Total cattle",1290.3
"111","South-East (IRL)","1998","Total cattle",1780.7
"112","South-West (IRL)","1998","Total cattle",1981.7
"113","West","1998","Total cattle",1495.4
"114","North West","1998","Total cattle",1092
"115","State","1999","Total cattle",7387
"116","Midlands and East","1999","Total cattle",1258.2
"117","South-East (IRL)","1999","Total cattle",1750.9
"118","South-West (IRL)","1999","Total cattle",1916.4
"119","West","1999","Total cattle",1415.1
"120","North West","1999","Total cattle",1046.4
"121","State","1980","Breeding cattle",2321.8
"122","Midlands and East","1980","Breeding cattle",293.3
"123","South-East (IRL)","1980","Breeding cattle",544
"124","South-West (IRL)","1980","Breeding cattle",794.4
"125","West","1980","Breeding cattle",366.5
"126","North West","1980","Breeding cattle",323.7
"127","State","1981","Breeding cattle",2276.4
"128","Midlands and East","1981","Breeding cattle",289.9
"129","South-East (IRL)","1981","Breeding cattle",533.6
"130","South-West (IRL)","1981","Breeding cattle",769.4
"131","West","1981","Breeding cattle",364.2
"132","North West","1981","Breeding cattle",319.4
"133","State","1982","Breeding cattle",2283.7
"134","Midlands and East","1982","Breeding cattle",290.5
"135","South-East (IRL)","1982","Breeding cattle",537.9
"136","South-West (IRL)","1982","Breeding cattle",775
"137","West","1982","Breeding cattle",363.2
"138","North West","1982","Breeding cattle",317
"139","State","1983","Breeding cattle",2326.2
"140","Midlands and East","1983","Breeding cattle",297.5
"141","South-East (IRL)","1983","Breeding cattle",549.1
"142","South-West (IRL)","1983","Breeding cattle",794.4
"143","West","1983","Breeding cattle",363.9
"144","North West","1983","Breeding cattle",321.2
"145","State","1984","Breeding cattle",2337.8
"146","Midlands and East","1984","Breeding cattle",300.6
"147","South-East (IRL)","1984","Breeding cattle",555.9
"148","South-West (IRL)","1984","Breeding cattle",797.4
"149","West","1984","Breeding cattle",362.3
"150","North West","1984","Breeding cattle",321.6
"151","State","1985","Breeding cattle",2330.8
"152","Midlands and East","1985","Breeding cattle",302.8
"153","South-East (IRL)","1985","Breeding cattle",547.9
"154","South-West (IRL)","1985","Breeding cattle",793.7
"155","West","1985","Breeding cattle",365.3
"156","North West","1985","Breeding cattle",320.9
"157","State","1986","Breeding cattle",2255.7
"158","Midlands and East","1986","Breeding cattle",289.6
"159","South-East (IRL)","1986","Breeding cattle",532
"160","South-West (IRL)","1986","Breeding cattle",772.2
"161","West","1986","Breeding cattle",350.1
"162","North West","1986","Breeding cattle",311.9
"163","State","1987","Breeding cattle",2212.4
"164","Midlands and East","1987","Breeding cattle",285.6
"165","South-East (IRL)","1987","Breeding cattle",519.5
"166","South-West (IRL)","1987","Breeding cattle",756.8
"167","West","1987","Breeding cattle",347.5
"168","North West","1987","Breeding cattle",303.1
"169","State","1988","Breeding cattle",2221.4
"170","Midlands and East","1988","Breeding cattle",291.5
"171","South-East (IRL)","1988","Breeding cattle",519.8
"172","South-West (IRL)","1988","Breeding cattle",749.2
"173","West","1988","Breeding cattle",358.6
"174","North West","1988","Breeding cattle",302.2
"175","State","1989","Breeding cattle",2290
"176","Midlands and East","1989","Breeding cattle",304.9
"177","South-East (IRL)","1989","Breeding cattle",532.7
"178","South-West (IRL)","1989","Breeding cattle",760.2
"179","West","1989","Breeding cattle",375.1
"180","North West","1989","Breeding cattle",316.9
"181","State","1990","Breeding cattle",2344.3
"182","Midlands and East","1990","Breeding cattle",315.5
"183","South-East (IRL)","1990","Breeding cattle",543.7
"184","South-West (IRL)","1990","Breeding cattle",764.2
"185","West","1990","Breeding cattle",392.6
"186","North West","1990","Breeding cattle",328.2
"187","State","1991","Breeding cattle",2356.6
"188","Midlands and East","1991","Breeding cattle",312.8
"189","South-East (IRL)","1991","Breeding cattle",553.9
"190","South-West (IRL)","1991","Breeding cattle",757.9
"191","West","1991","Breeding cattle",400
"192","North West","1991","Breeding cattle",332.2
"193","State","1992","Breeding cattle",2467.5
"194","Midlands and East","1992","Breeding cattle",327.5
"195","South-East (IRL)","1992","Breeding cattle",573.7
"196","South-West (IRL)","1992","Breeding cattle",785
"197","West","1992","Breeding cattle",431.5
"198","North West","1992","Breeding cattle",349.8
"199","State","1993","Breeding cattle",2579.3
"200","Midlands and East","1993","Breeding cattle",344.9
"201","South-East (IRL)","1993","Breeding cattle",593.6
"202","South-West (IRL)","1993","Breeding cattle",816.2
"203","West","1993","Breeding cattle",453.5
"204","North West","1993","Breeding cattle",371.1
"205","State","1994","Breeding cattle",2616.8
"206","Midlands and East","1994","Breeding cattle",352.4
"207","South-East (IRL)","1994","Breeding cattle",610.9
"208","South-West (IRL)","1994","Breeding cattle",825.4
"209","West","1994","Breeding cattle",455.3
"210","North West","1994","Breeding cattle",372.8
"211","State","1995","Breeding cattle",2678.9
"212","Midlands and East","1995","Breeding cattle",360.6
"213","South-East (IRL)","1995","Breeding cattle",617.9
"214","South-West (IRL)","1995","Breeding cattle",843
"215","West","1995","Breeding cattle",471.3
"216","North West","1995","Breeding cattle",386.1
"217","State","1996","Breeding cattle",2785.8
"218","Midlands and East","1996","Breeding cattle",376.7
"219","South-East (IRL)","1996","Breeding cattle",637.9
"220","South-West (IRL)","1996","Breeding cattle",865.6
"221","West","1996","Breeding cattle",499.3
"222","North West","1996","Breeding cattle",406.5
"223","State","1997","Breeding cattle",2891.9
"224","Midlands and East","1997","Breeding cattle",390.4
"225","South-East (IRL)","1997","Breeding cattle",649.8
"226","South-West (IRL)","1997","Breeding cattle",884.5
"227","West","1997","Breeding cattle",536.4
"228","North West","1997","Breeding cattle",430.7
"229","State","1998","Breeding cattle",2890.2
"230","Midlands and East","1998","Breeding cattle",395
"231","South-East (IRL)","1998","Breeding cattle",643.1
"232","South-West (IRL)","1998","Breeding cattle",870.8
"233","West","1998","Breeding cattle",544.2
"234","North West","1998","Breeding cattle",437
"235","State","1999","Breeding cattle",2802.6
"236","Midlands and East","1999","Breeding cattle",388
"237","South-East (IRL)","1999","Breeding cattle",631.8
"238","South-West (IRL)","1999","Breeding cattle",837.6
"239","West","1999","Breeding cattle",523.8
"240","North West","1999","Breeding cattle",421.5
"241","State","1980","Cows",2043.2
"242","Midlands and East","1980","Cows",249.2
"243","South-East (IRL)","1980","Cows",468.1
"244","South-West (IRL)","1980","Cows",696.5
"245","West","1980","Cows",331.3
"246","North West","1980","Cows",298
"247","State","1981","Cows",2003.4
"248","Midlands and East","1981","Cows",245.8
"249","South-East (IRL)","1981","Cows",458.8
"250","South-West (IRL)","1981","Cows",678.3
"251","West","1981","Cows",327.5
"252","North West","1981","Cows",293
"253","State","1982","Cows",2030.4
"254","Midlands and East","1982","Cows",249.6
"255","South-East (IRL)","1982","Cows",469.1
"256","South-West (IRL)","1982","Cows",690.5
"257","West","1982","Cows",327.9
"258","North West","1982","Cows",293.2
"259","State","1983","Cows",2066.6
"260","Midlands and East","1983","Cows",255.4
"261","South-East (IRL)","1983","Cows",478
"262","South-West (IRL)","1983","Cows",708.4
"263","West","1983","Cows",329
"264","North West","1983","Cows",295.8
"265","State","1984","Cows",2077.5
"266","Midlands and East","1984","Cows",260.3
"267","South-East (IRL)","1984","Cows",483.7
"268","South-West (IRL)","1984","Cows",709.9
"269","West","1984","Cows",328.2
"270","North West","1984","Cows",295.4
"271","State","1985","Cows",2078.3
"272","Midlands and East","1985","Cows",262.5
"273","South-East (IRL)","1985","Cows",481.9
"274","South-West (IRL)","1985","Cows",710.2
"275","West","1985","Cows",329.1
"276","North West","1985","Cows",294.6
"277","State","1986","Cows",2025.3
"278","Midlands and East","1986","Cows",252.7
"279","South-East (IRL)","1986","Cows",471.4
"280","South-West (IRL)","1986","Cows",695.5
"281","West","1986","Cows",318.4
"282","North West","1986","Cows",287.3
"283","State","1987","Cows",1985.6
"284","Midlands and East","1987","Cows",249.8
"285","South-East (IRL)","1987","Cows",459.9
"286","South-West (IRL)","1987","Cows",683.1
"287","West","1987","Cows",313.9
"288","North West","1987","Cows",279
"289","State","1988","Cows",1964.4
"290","Midlands and East","1988","Cows",248.7
"291","South-East (IRL)","1988","Cows",451.2
"292","South-West (IRL)","1988","Cows",668.2
"293","West","1988","Cows",320.6
"294","North West","1988","Cows",275.7
"295","State","1989","Cows",2036.5
"296","Midlands and East","1989","Cows",261.9
"297","South-East (IRL)","1989","Cows",464.8
"298","South-West (IRL)","1989","Cows",679.8
"299","West","1989","Cows",339.2
"300","North West","1989","Cows",290.8
"301","State","1990","Cows",2091
"302","Midlands and East","1990","Cows",274
"303","South-East (IRL)","1990","Cows",475
"304","South-West (IRL)","1990","Cows",685.7
"305","West","1990","Cows",355.7
"306","North West","1990","Cows",300.6
"307","State","1991","Cows",2148.1
"308","Midlands and East","1991","Cows",277.6
"309","South-East (IRL)","1991","Cows",497.1
"310","South-West (IRL)","1991","Cows",691.4
"311","West","1991","Cows",371.3
"312","North West","1991","Cows",310.8
"313","State","1992","Cows",2167
"314","Midlands and East","1992","Cows",281.2
"315","South-East (IRL)","1992","Cows",494.6
"316","South-West (IRL)","1992","Cows",689.7
"317","West","1992","Cows",385
"318","North West","1992","Cows",316.5
"319","State","1993","Cows",2243.2
"320","Midlands and East","1993","Cows",295
"321","South-East (IRL)","1993","Cows",510.8
"322","South-West (IRL)","1993","Cows",701.8
"323","West","1993","Cows",403.2
"324","North West","1993","Cows",332.4
"325","State","1994","Cows",2271.7
"326","Midlands and East","1994","Cows",301.3
"327","South-East (IRL)","1994","Cows",522.2
"328","South-West (IRL)","1994","Cows",704.8
"329","West","1994","Cows",408.6
"330","North West","1994","Cows",334.8
"331","State","1995","Cows",2295.3
"332","Midlands and East","1995","Cows",303.4
"333","South-East (IRL)","1995","Cows",524.2
"334","South-West (IRL)","1995","Cows",710.5
"335","West","1995","Cows",415.8
"336","North West","1995","Cows",341.4
"337","State","1996","Cows",2379.1
"338","Midlands and East","1996","Cows",317
"339","South-East (IRL)","1996","Cows",540.3
"340","South-West (IRL)","1996","Cows",726.2
"341","West","1996","Cows",437.4
"342","North West","1996","Cows",358.2
"343","State","1997","Cows",2453.6
"344","Midlands and East","1997","Cows",326.4
"345","South-East (IRL)","1997","Cows",548.1
"346","South-West (IRL)","1997","Cows",735.5
"347","West","1997","Cows",467.1
"348","North West","1997","Cows",376.5
"349","State","1998","Cows",2481.7
"350","Midlands and East","1998","Cows",332.2
"351","South-East (IRL)","1998","Cows",549.4
"352","South-West (IRL)","1998","Cows",733.4
"353","West","1998","Cows",482.6
"354","North West","1998","Cows",384.1
"355","State","1999","Cows",2417.9
"356","Midlands and East","1999","Cows",326.9
"357","South-East (IRL)","1999","Cows",540.2
"358","South-West (IRL)","1999","Cows",709.2
"359","West","1999","Cows",468
"360","North West","1999","Cows",373.5
"361","State","1980","Dairy cows",1583.3
"362","Midlands and East","1980","Dairy cows",181.2
"363","South-East (IRL)","1980","Dairy cows",388.6
"364","South-West (IRL)","1980","Dairy cows",640.3
"365","West","1980","Dairy cows",185.2
"366","North West","1980","Dairy cows",188
"367","State","1981","Dairy cows",1547.6
"368","Midlands and East","1981","Dairy cows",181.6
"369","South-East (IRL)","1981","Dairy cows",383.4
"370","South-West (IRL)","1981","Dairy cows",618.3
"371","West","1981","Dairy cows",181.4
"372","North West","1981","Dairy cows",182.8
"373","State","1982","Dairy cows",1565.2
"374","Midlands and East","1982","Dairy cows",184.1
"375","South-East (IRL)","1982","Dairy cows",392.6
"376","South-West (IRL)","1982","Dairy cows",625.5
"377","West","1982","Dairy cows",179.4
"378","North West","1982","Dairy cows",183.5
"379","State","1983","Dairy cows",1596
"380","Midlands and East","1983","Dairy cows",190.8
"381","South-East (IRL)","1983","Dairy cows",401.3
"382","South-West (IRL)","1983","Dairy cows",639.1
"383","West","1983","Dairy cows",180.3
"384","North West","1983","Dairy cows",184.5
"385","State","1984","Dairy cows",1598.9
"386","Midlands and East","1984","Dairy cows",195.7
"387","South-East (IRL)","1984","Dairy cows",406.2
"388","South-West (IRL)","1984","Dairy cows",638
"389","West","1984","Dairy cows",178
"390","North West","1984","Dairy cows",181
"391","State","1985","Dairy cows",1579.1
"392","Midlands and East","1985","Dairy cows",195.2
"393","South-East (IRL)","1985","Dairy cows",402
"394","South-West (IRL)","1985","Dairy cows",633.3
"395","West","1985","Dairy cows",171.6
"396","North West","1985","Dairy cows",177
"397","State","1986","Dairy cows",1518.2
"398","Midlands and East","1986","Dairy cows",186.4
"399","South-East (IRL)","1986","Dairy cows",391.5
"400","South-West (IRL)","1986","Dairy cows",614
"401","West","1986","Dairy cows",157.9
"402","North West","1986","Dairy cows",168.4
"403","State","1987","Dairy cows",1452.4
"404","Midlands and East","1987","Dairy cows",180.3
"405","South-East (IRL)","1987","Dairy cows",374.8
"406","South-West (IRL)","1987","Dairy cows",594.4
"407","West","1987","Dairy cows",146.6
"408","North West","1987","Dairy cows",156.4
"409","State","1988","Dairy cows",1395.3
"410","Midlands and East","1988","Dairy cows",176.1
"411","South-East (IRL)","1988","Dairy cows",358.3
"412","South-West (IRL)","1988","Dairy cows",571.5
"413","West","1988","Dairy cows",140.7
"414","North West","1988","Dairy cows",148.6
"415","State","1989","Dairy cows",1381.9
"416","Midlands and East","1989","Dairy cows",175.5
"417","South-East (IRL)","1989","Dairy cows",356.2
"418","South-West (IRL)","1989","Dairy cows",568.8
"419","West","1989","Dairy cows",136.4
"420","North West","1989","Dairy cows",145.1
"421","State","1990","Dairy cows",1359.7
"422","Midlands and East","1990","Dairy cows",172.2
"423","South-East (IRL)","1990","Dairy cows",352.9
"424","South-West (IRL)","1990","Dairy cows",562.2
"425","West","1990","Dairy cows",132.5
"426","North West","1990","Dairy cows",139.9
"427","State","1991","Dairy cows",1330.8
"428","Midlands and East","1991","Dairy cows",169.1
"429","South-East (IRL)","1991","Dairy cows",348.5
"430","South-West (IRL)","1991","Dairy cows",556.5
"431","West","1991","Dairy cows",124.2
"432","North West","1991","Dairy cows",132.5
"433","State","1992","Dairy cows",1277.9
"434","Midlands and East","1992","Dairy cows",161.6
"435","South-East (IRL)","1992","Dairy cows",333.2
"436","South-West (IRL)","1992","Dairy cows",533.5
"437","West","1992","Dairy cows",121.6
"438","North West","1992","Dairy cows",128
"439","State","1993","Dairy cows",1263.5
"440","Midlands and East","1993","Dairy cows",160.4
"441","South-East (IRL)","1993","Dairy cows",331.1
"442","South-West (IRL)","1993","Dairy cows",529.1
"443","West","1993","Dairy cows",117.6
"444","North West","1993","Dairy cows",125.3
"445","State","1994","Dairy cows",1260.6
"446","Midlands and East","1994","Dairy cows",161.1
"447","South-East (IRL)","1994","Dairy cows",332.8
"448","South-West (IRL)","1994","Dairy cows",528.1
"449","West","1994","Dairy cows",114.3
"450","North West","1994","Dairy cows",124.5
"451","State","1995","Dairy cows",1256.2
"452","Midlands and East","1995","Dairy cows",158.7
"453","South-East (IRL)","1995","Dairy cows",331.1
"454","South-West (IRL)","1995","Dairy cows",529.2
"455","West","1995","Dairy cows",113.4
"456","North West","1995","Dairy cows",123.8
"457","State","1996","Dairy cows",1266.4
"458","Midlands and East","1996","Dairy cows",159.2
"459","South-East (IRL)","1996","Dairy cows",334.7
"460","South-West (IRL)","1996","Dairy cows",531.6
"461","West","1996","Dairy cows",113.6
"462","North West","1996","Dairy cows",127.2
"463","State","1997","Dairy cows",1251.7
"464","Midlands and East","1997","Dairy cows",157.7
"465","South-East (IRL)","1997","Dairy cows",330
"466","South-West (IRL)","1997","Dairy cows",526.2
"467","West","1997","Dairy cows",113.4
"468","North West","1997","Dairy cows",124.3
"469","State","1998","Dairy cows",1233.8
"470","Midlands and East","1998","Dairy cows",155.8
"471","South-East (IRL)","1998","Dairy cows",324.8
"472","South-West (IRL)","1998","Dairy cows",516
"473","West","1998","Dairy cows",113.2
"474","North West","1998","Dairy cows",123.9
"475","State","1999","Dairy cows",1200.6
"476","Midlands and East","1999","Dairy cows",152.7
"477","South-East (IRL)","1999","Dairy cows",320.2
"478","South-West (IRL)","1999","Dairy cows",502.4
"479","West","1999","Dairy cows",106.6
"480","North West","1999","Dairy cows",118.7
"481","State","1980","Other cows",459.9
"482","Midlands and East","1980","Other cows",68
"483","South-East (IRL)","1980","Other cows",79.5
"484","South-West (IRL)","1980","Other cows",56.3
"485","West","1980","Other cows",146.2
"486","North West","1980","Other cows",110
"487","State","1981","Other cows",455.8
"488","Midlands and East","1981","Other cows",64.2
"489","South-East (IRL)","1981","Other cows",75.3
"490","South-West (IRL)","1981","Other cows",60
"491","West","1981","Other cows",146.1
"492","North West","1981","Other cows",110.2
"493","State","1982","Other cows",465.3
"494","Midlands and East","1982","Other cows",65.5
"495","South-East (IRL)","1982","Other cows",76.5
"496","South-West (IRL)","1982","Other cows",65
"497","West","1982","Other cows",148.5
"498","North West","1982","Other cows",109.7
"499","State","1983","Other cows",470.7
"500","Midlands and East","1983","Other cows",64.6
"501","South-East (IRL)","1983","Other cows",76.8
"502","South-West (IRL)","1983","Other cows",69.4
"503","West","1983","Other cows",148.7
"504","North West","1983","Other cows",111.2
"505","State","1984","Other cows",478.5
"506","Midlands and East","1984","Other cows",64.5
"507","South-East (IRL)","1984","Other cows",77.5
"508","South-West (IRL)","1984","Other cows",71.8
"509","West","1984","Other cows",150.2
"510","North West","1984","Other cows",114.4
"511","State","1985","Other cows",499.2
"512","Midlands and East","1985","Other cows",67.4
"513","South-East (IRL)","1985","Other cows",79.8
"514","South-West (IRL)","1985","Other cows",76.8
"515","West","1985","Other cows",157.5
"516","North West","1985","Other cows",117.7
"517","State","1986","Other cows",507
"518","Midlands and East","1986","Other cows",66.4
"519","South-East (IRL)","1986","Other cows",79.9
"520","South-West (IRL)","1986","Other cows",81.4
"521","West","1986","Other cows",160.5
"522","North West","1986","Other cows",118.9
"523","State","1987","Other cows",533.2
"524","Midlands and East","1987","Other cows",69.5
"525","South-East (IRL)","1987","Other cows",85.1
"526","South-West (IRL)","1987","Other cows",88.7
"527","West","1987","Other cows",167.3
"528","North West","1987","Other cows",122.6
"529","State","1988","Other cows",569.1
"530","Midlands and East","1988","Other cows",72.6
"531","South-East (IRL)","1988","Other cows",92.9
"532","South-West (IRL)","1988","Other cows",96.7
"533","West","1988","Other cows",179.9
"534","North West","1988","Other cows",127.1
"535","State","1989","Other cows",654.5
"536","Midlands and East","1989","Other cows",86.4
"537","South-East (IRL)","1989","Other cows",108.5
"538","South-West (IRL)","1989","Other cows",111.1
"539","West","1989","Other cows",202.8
"540","North West","1989","Other cows",145.7
"541","State","1990","Other cows",731.3
"542","Midlands and East","1990","Other cows",101.8
"543","South-East (IRL)","1990","Other cows",122.1
"544","South-West (IRL)","1990","Other cows",123.5
"545","West","1990","Other cows",223.2
"546","North West","1990","Other cows",160.7
"547","State","1991","Other cows",817.3
"548","Midlands and East","1991","Other cows",108.5
"549","South-East (IRL)","1991","Other cows",148.6
"550","South-West (IRL)","1991","Other cows",134.9
"551","West","1991","Other cows",247.1
"552","North West","1991","Other cows",178.2
"553","State","1992","Other cows",889.1
"554","Midlands and East","1992","Other cows",119.7
"555","South-East (IRL)","1992","Other cows",161.4
"556","South-West (IRL)","1992","Other cows",156.2
"557","West","1992","Other cows",263.5
"558","North West","1992","Other cows",188.5
"559","State","1993","Other cows",979.7
"560","Midlands and East","1993","Other cows",134.6
"561","South-East (IRL)","1993","Other cows",179.8
"562","South-West (IRL)","1993","Other cows",172.7
"563","West","1993","Other cows",285.6
"564","North West","1993","Other cows",207.1
"565","State","1994","Other cows",1011
"566","Midlands and East","1994","Other cows",140.3
"567","South-East (IRL)","1994","Other cows",189.4
"568","South-West (IRL)","1994","Other cows",176.7
"569","West","1994","Other cows",294.3
"570","North West","1994","Other cows",210.3
"571","State","1995","Other cows",1039.1
"572","Midlands and East","1995","Other cows",144.7
"573","South-East (IRL)","1995","Other cows",193.1
"574","South-West (IRL)","1995","Other cows",181.3
"575","West","1995","Other cows",302.5
"576","North West","1995","Other cows",217.6
"577","State","1996","Other cows",1112.7
"578","Midlands and East","1996","Other cows",157.8
"579","South-East (IRL)","1996","Other cows",205.6
"580","South-West (IRL)","1996","Other cows",194.6
"581","West","1996","Other cows",323.8
"582","North West","1996","Other cows",230.9
"583","State","1997","Other cows",1201.9
"584","Midlands and East","1997","Other cows",168.7
"585","South-East (IRL)","1997","Other cows",218
"586","South-West (IRL)","1997","Other cows",209.3
"587","West","1997","Other cows",353.7
"588","North West","1997","Other cows",252.2
"589","State","1998","Other cows",1247.9
"590","Midlands and East","1998","Other cows",176.4
"591","South-East (IRL)","1998","Other cows",224.6
"592","South-West (IRL)","1998","Other cows",217.4
"593","West","1998","Other cows",369.4
"594","North West","1998","Other cows",260.2
"595","State","1999","Other cows",1217.3
"596","Midlands and East","1999","Other cows",174.3
"597","South-East (IRL)","1999","Other cows",220
"598","South-West (IRL)","1999","Other cows",206.8
"599","West","1999","Other cows",361.3
"600","North West","1999","Other cows",254.8
"601","State","1980","Heifers in calf",265.1
"602","Midlands and East","1980","Heifers in calf",42.5
"603","South-East (IRL)","1980","Heifers in calf",72.2
"604","South-West (IRL)","1980","Heifers in calf",92.4
"605","West","1980","Heifers in calf",33.7
"606","North West","1980","Heifers in calf",24.4
"607","State","1981","Heifers in calf",258.4
"608","Midlands and East","1981","Heifers in calf",42.4
"609","South-East (IRL)","1981","Heifers in calf",70.8
"610","South-West (IRL)","1981","Heifers in calf",85.1
"611","West","1981","Heifers in calf",35.1
"612","North West","1981","Heifers in calf",25
"613","State","1982","Heifers in calf",237.6
"614","Midlands and East","1982","Heifers in calf",39.1
"615","South-East (IRL)","1982","Heifers in calf",64.6
"616","South-West (IRL)","1982","Heifers in calf",78
"617","West","1982","Heifers in calf",33.6
"618","North West","1982","Heifers in calf",22.3
"619","State","1983","Heifers in calf",242.7
"620","Midlands and East","1983","Heifers in calf",40.2
"621","South-East (IRL)","1983","Heifers in calf",66.5
"622","South-West (IRL)","1983","Heifers in calf",79
"623","West","1983","Heifers in calf",33.1
"624","North West","1983","Heifers in calf",23.8
"625","State","1984","Heifers in calf",242.3
"626","Midlands and East","1984","Heifers in calf",38.3
"627","South-East (IRL)","1984","Heifers in calf",67.3
"628","South-West (IRL)","1984","Heifers in calf",80
"629","West","1984","Heifers in calf",32.2
"630","North West","1984","Heifers in calf",24.5
"631","State","1985","Heifers in calf",233.6
"632","Midlands and East","1985","Heifers in calf",38.2
"633","South-East (IRL)","1985","Heifers in calf",60.9
"634","South-West (IRL)","1985","Heifers in calf",75.6
"635","West","1985","Heifers in calf",34.2
"636","North West","1985","Heifers in calf",24.6
"637","State","1986","Heifers in calf",210.8
"638","Midlands and East","1986","Heifers in calf",34.8
"639","South-East (IRL)","1986","Heifers in calf",55.2
"640","South-West (IRL)","1986","Heifers in calf",68.4
"641","West","1986","Heifers in calf",29.7
"642","North West","1986","Heifers in calf",22.8
"643","State","1987","Heifers in calf",205.9
"644","Midlands and East","1987","Heifers in calf",33.5
"645","South-East (IRL)","1987","Heifers in calf",53.9
"646","South-West (IRL)","1987","Heifers in calf",64.9
"647","West","1987","Heifers in calf",31.4
"648","North West","1987","Heifers in calf",22.2
