"","Year","Region","Type.of.Animal","value"
"2577","2007","South-East","Total goats",0.8
"2578","2008","South-East","Total goats",1
"2579","2009","South-East","Total goats",1.1
"2580","2010","South-East","Total goats",0.8
"2581","2011","South-East","Total goats",0.9
"2582","2012","South-East","Total goats",0.6
"2583","2013","South-East","Total goats",0.7
"2584","2005","South-West","Total goats",0.9
"2585","2006","South-West","Total goats",0.7
"2586","2007","South-West","Total goats",1.4
"2587","2008","South-West","Total goats",2.9
"2588","2009","South-West","Total goats",3.3
"2589","2010","South-West","Total goats",1.5
"2590","2011","South-West","Total goats",1.7
"2591","2012","South-West","Total goats",2.3
"2592","2013","South-West","Total goats",1.9
"2593","2005","State","Total farmed deer",10.1
"2594","2006","State","Total farmed deer",9.3
"2595","2007","State","Total farmed deer",9.6
"2596","2008","State","Total farmed deer",9.7
"2597","2009","State","Total farmed deer",9.2
"2598","2010","State","Total farmed deer",5.2
"2599","2011","State","Total farmed deer",2.8
"2600","2012","State","Total farmed deer",2.1
"2601","2013","State","Total farmed deer",1.5
"2602","2005","Dublin plus Mid East","Total farmed deer",1.1
"2603","2006","Dublin plus Mid East","Total farmed deer",1.3
"2604","2007","Dublin plus Mid East","Total farmed deer",1
"2605","2008","Dublin plus Mid East","Total farmed deer",1
"2606","2009","Dublin plus Mid East","Total farmed deer",0.9
"2607","2010","Dublin plus Mid East","Total farmed deer",0.5
"2608","2011","Dublin plus Mid East","Total farmed deer",0.6
"2609","2012","Dublin plus Mid East","Total farmed deer",0.1
"2610","2013","Dublin plus Mid East","Total farmed deer",0.1
"2611","2005","Border","Total farmed deer",1.7
"2612","2006","Border","Total farmed deer",1.7
"2613","2007","Border","Total farmed deer",1.3
"2614","2008","Border","Total farmed deer",1.3
"2615","2009","Border","Total farmed deer",1.2
"2616","2010","Border","Total farmed deer",1
"2617","2011","Border","Total farmed deer",1.2
"2618","2012","Border","Total farmed deer",0.2
"2619","2013","Border","Total farmed deer",0.2
"2620","2005","Midland","Total farmed deer",1.2
"2621","2006","Midland","Total farmed deer",1.1
"2622","2007","Midland","Total farmed deer",0.9
"2623","2008","Midland","Total farmed deer",0.9
"2624","2009","Midland","Total farmed deer",0.9
"2625","2010","Midland","Total farmed deer",0.3
"2626","2011","Midland","Total farmed deer",0
"2627","2012","Midland","Total farmed deer",0
"2628","2013","Midland","Total farmed deer",0
"2629","2005","West","Total farmed deer",1.5
"2630","2006","West","Total farmed deer",1.5
"2631","2007","West","Total farmed deer",1.2
"2632","2008","West","Total farmed deer",1.3
"2633","2009","West","Total farmed deer",1.2
"2634","2010","West","Total farmed deer",1.3
"2635","2011","West","Total farmed deer",0
"2636","2012","West","Total farmed deer",1
"2637","2013","West","Total farmed deer",0.7
"2638","2005","Mid-West","Total farmed deer",1.2
"2639","2006","Mid-West","Total farmed deer",1.1
"2640","2007","Mid-West","Total farmed deer",1.4
"2641","2008","Mid-West","Total farmed deer",1.4
"2642","2009","Mid-West","Total farmed deer",1.3
"2643","2010","Mid-West","Total farmed deer",0.4
"2644","2011","Mid-West","Total farmed deer",0.1
"2645","2012","Mid-West","Total farmed deer",0
"2646","2013","Mid-West","Total farmed deer",0
"2647","2005","South-East","Total farmed deer",2.5
"2648","2006","South-East","Total farmed deer",2
"2649","2007","South-East","Total farmed deer",2.5
"2650","2008","South-East","Total farmed deer",2.5
"2651","2009","South-East","Total farmed deer",2.4
"2652","2010","South-East","Total farmed deer",0.5
"2653","2011","South-East","Total farmed deer",0.4
"2654","2012","South-East","Total farmed deer",0.4
"2655","2013","South-East","Total farmed deer",0.3
"2656","2005","South-West","Total farmed deer",0.9
"2657","2006","South-West","Total farmed deer",0.8
"2658","2007","South-West","Total farmed deer",1.3
"2659","2008","South-West","Total farmed deer",1.3
"2660","2009","South-West","Total farmed deer",1.3
"2661","2010","South-West","Total farmed deer",1.2
"2662","2011","South-West","Total farmed deer",0.4
"2663","2012","South-West","Total farmed deer",0.4
"2664","2013","South-West","Total farmed deer",0.2
