"","Statistic","Type.of.Pig","Year","value"
"142","Pig Population Estimated from April Survey (Thousand)","Other pigs: 20kg and under 50kg","1977",259.5
"143","Pig Population Estimated from August Survey (Thousand)","Other pigs: 20kg and under 50kg","1977",251.3
"144","Pig Population Estimated from June Survey (Thousand)","Other pigs: 20kg and under 50kg","1977",255.4
"145","Pig Population Estimated from December Survey (Thousand)","Other pigs: 50kg and under 80kg","1977",272.3
"146","Pig Population Estimated from April Survey (Thousand)","Other pigs: 50kg and under 80kg","1977",243.4
"147","Pig Population Estimated from August Survey (Thousand)","Other pigs: 50kg and under 80kg","1977",266.2
"148","Pig Population Estimated from June Survey (Thousand)","Other pigs: 50kg and under 80kg","1977",254.8
"149","Pig Population Estimated from December Survey (Thousand)","Other pigs: 80kg and under 110kg","1977",69.7
"150","Pig Population Estimated from April Survey (Thousand)","Other pigs: 80kg and under 110kg","1977",81.38
"151","Pig Population Estimated from August Survey (Thousand)","Other pigs: 80kg and under 110kg","1977",76.69
"152","Pig Population Estimated from June Survey (Thousand)","Other pigs: 80kg and under 110kg","1977",79
"153","Pig Population Estimated from December Survey (Thousand)","Other pigs: 110kg and over","1977",8.4
"154","Pig Population Estimated from April Survey (Thousand)","Other pigs: 110kg and over","1977",8.9
"155","Pig Population Estimated from August Survey (Thousand)","Other pigs: 110kg and over","1977",9.7
"156","Pig Population Estimated from June Survey (Thousand)","Other pigs: 110kg and over","1977",9.3
"157","Pig Population Estimated from December Survey (Thousand)","Total pigs","1978",1099.5
"158","Pig Population Estimated from April Survey (Thousand)","Total pigs","1978",1027.5
"159","Pig Population Estimated from August Survey (Thousand)","Total pigs","1978",1053.5
"160","Pig Population Estimated from June Survey (Thousand)","Total pigs","1978",1040.5
"161","Pig Population Estimated from December Survey (Thousand)","Breeding pigs","1978",129.2
"162","Pig Population Estimated from April Survey (Thousand)","Breeding pigs","1978",126.2
"163","Pig Population Estimated from August Survey (Thousand)","Breeding pigs","1978",132.1
"164","Pig Population Estimated from June Survey (Thousand)","Breeding pigs","1978",129.1
"165","Pig Population Estimated from December Survey (Thousand)","Gilts in pig","1978",15.7
"166","Pig Population Estimated from April Survey (Thousand)","Gilts in pig","1978",16.6
"167","Pig Population Estimated from August Survey (Thousand)","Gilts in pig","1978",16.1
"168","Pig Population Estimated from June Survey (Thousand)","Gilts in pig","1978",16.3
"169","Pig Population Estimated from December Survey (Thousand)","Gilts not yet served","1978",9.9
"170","Pig Population Estimated from April Survey (Thousand)","Gilts not yet served","1978",9.4
"171","Pig Population Estimated from August Survey (Thousand)","Gilts not yet served","1978",10.8
"172","Pig Population Estimated from June Survey (Thousand)","Gilts not yet served","1978",10.1
"173","Pig Population Estimated from December Survey (Thousand)","Sows in pig","1978",66.9
"174","Pig Population Estimated from April Survey (Thousand)","Sows in pig","1978",62.6
"175","Pig Population Estimated from August Survey (Thousand)","Sows in pig","1978",66.9
"176","Pig Population Estimated from June Survey (Thousand)","Sows in pig","1978",64.7
"177","Pig Population Estimated from December Survey (Thousand)","Other sows for breeding","1978",32.6
"178","Pig Population Estimated from April Survey (Thousand)","Other sows for breeding","1978",33.8
"179","Pig Population Estimated from August Survey (Thousand)","Other sows for breeding","1978",34.3
"180","Pig Population Estimated from June Survey (Thousand)","Other sows for breeding","1978",34
"181","Pig Population Estimated from December Survey (Thousand)","Boars","1978",4.1
"182","Pig Population Estimated from April Survey (Thousand)","Boars","1978",3.8
"183","Pig Population Estimated from August Survey (Thousand)","Boars","1978",4.1
"184","Pig Population Estimated from June Survey (Thousand)","Boars","1978",3.9
"185","Pig Population Estimated from December Survey (Thousand)","Other pigs","1978",970.3
"186","Pig Population Estimated from April Survey (Thousand)","Other pigs","1978",901.3
"187","Pig Population Estimated from August Survey (Thousand)","Other pigs","1978",921.3
"188","Pig Population Estimated from June Survey (Thousand)","Other pigs","1978",911.3
"189","Pig Population Estimated from December Survey (Thousand)","Other pigs: under 20kg","1978",255.7
"190","Pig Population Estimated from April Survey (Thousand)","Other pigs: under 20kg","1978",247.5
"191","Pig Population Estimated from August Survey (Thousand)","Other pigs: under 20kg","1978",248.7
"192","Pig Population Estimated from June Survey (Thousand)","Other pigs: under 20kg","1978",248.1
"193","Pig Population Estimated from December Survey (Thousand)","Other pigs: 20kg and under 50kg","1978",315.7
"194","Pig Population Estimated from April Survey (Thousand)","Other pigs: 20kg and under 50kg","1978",286.3
"195","Pig Population Estimated from August Survey (Thousand)","Other pigs: 20kg and under 50kg","1978",287.6
"196","Pig Population Estimated from June Survey (Thousand)","Other pigs: 20kg and under 50kg","1978",286.9
"197","Pig Population Estimated from December Survey (Thousand)","Other pigs: 50kg and under 80kg","1978",307
"198","Pig Population Estimated from April Survey (Thousand)","Other pigs: 50kg and under 80kg","1978",279
"199","Pig Population Estimated from August Survey (Thousand)","Other pigs: 50kg and under 80kg","1978",290.5
"200","Pig Population Estimated from June Survey (Thousand)","Other pigs: 50kg and under 80kg","1978",284.8
"201","Pig Population Estimated from December Survey (Thousand)","Other pigs: 80kg and under 110kg","1978",76.6
"202","Pig Population Estimated from April Survey (Thousand)","Other pigs: 80kg and under 110kg","1978",71.83
"203","Pig Population Estimated from August Survey (Thousand)","Other pigs: 80kg and under 110kg","1978",78.51
"204","Pig Population Estimated from June Survey (Thousand)","Other pigs: 80kg and under 110kg","1978",75.2
"205","Pig Population Estimated from December Survey (Thousand)","Other pigs: 110kg and over","1978",15.4
"206","Pig Population Estimated from April Survey (Thousand)","Other pigs: 110kg and over","1978",16.71
"207","Pig Population Estimated from August Survey (Thousand)","Other pigs: 110kg and over","1978",16.02
"208","Pig Population Estimated from June Survey (Thousand)","Other pigs: 110kg and over","1978",16.4
"209","Pig Population Estimated from December Survey (Thousand)","Total pigs","1979",1057
"210","Pig Population Estimated from April Survey (Thousand)","Total pigs","1979",1104.9
"211","Pig Population Estimated from August Survey (Thousand)","Total pigs","1979",1097.5
"212","Pig Population Estimated from June Survey (Thousand)","Total pigs","1979",1101.2
"213","Pig Population Estimated from December Survey (Thousand)","Breeding pigs","1979",121.3
"214","Pig Population Estimated from April Survey (Thousand)","Breeding pigs","1979",126.6
"215","Pig Population Estimated from August Survey (Thousand)","Breeding pigs","1979",122.2
"216","Pig Population Estimated from June Survey (Thousand)","Breeding pigs","1979",124.4
"217","Pig Population Estimated from December Survey (Thousand)","Gilts in pig","1979",12.4
"218","Pig Population Estimated from April Survey (Thousand)","Gilts in pig","1979",13.7
"219","Pig Population Estimated from August Survey (Thousand)","Gilts in pig","1979",13
"220","Pig Population Estimated from June Survey (Thousand)","Gilts in pig","1979",13.4
"221","Pig Population Estimated from December Survey (Thousand)","Gilts not yet served","1979",9
"222","Pig Population Estimated from April Survey (Thousand)","Gilts not yet served","1979",10
"223","Pig Population Estimated from August Survey (Thousand)","Gilts not yet served","1979",8.7
"224","Pig Population Estimated from June Survey (Thousand)","Gilts not yet served","1979",9.3
"225","Pig Population Estimated from December Survey (Thousand)","Sows in pig","1979",65.5
"226","Pig Population Estimated from April Survey (Thousand)","Sows in pig","1979",68.3
"227","Pig Population Estimated from August Survey (Thousand)","Sows in pig","1979",64.6
"228","Pig Population Estimated from June Survey (Thousand)","Sows in pig","1979",66.4
"229","Pig Population Estimated from December Survey (Thousand)","Other sows for breeding","1979",30.1
"230","Pig Population Estimated from April Survey (Thousand)","Other sows for breeding","1979",30.4
"231","Pig Population Estimated from August Survey (Thousand)","Other sows for breeding","1979",31.8
