"","Statistic","Type.of.Pig","Year","value"
"678","Pig Population Estimated from April Survey (Thousand)","Total pigs","1988",988.8
"679","Pig Population Estimated from August Survey (Thousand)","Total pigs","1988",1011.9
"680","Pig Population Estimated from June Survey (Thousand)","Total pigs","1988",1013.9
"681","Pig Population Estimated from December Survey (Thousand)","Breeding pigs","1988",119.6
"682","Pig Population Estimated from April Survey (Thousand)","Breeding pigs","1988",116.7
"683","Pig Population Estimated from August Survey (Thousand)","Breeding pigs","1988",118.4
"684","Pig Population Estimated from June Survey (Thousand)","Breeding pigs","1988",120.5
"685","Pig Population Estimated from December Survey (Thousand)","Gilts in pig","1988",15.1
"686","Pig Population Estimated from April Survey (Thousand)","Gilts in pig","1988",15.2
"687","Pig Population Estimated from August Survey (Thousand)","Gilts in pig","1988",14.4
"688","Pig Population Estimated from June Survey (Thousand)","Gilts in pig","1988",15.3
"689","Pig Population Estimated from December Survey (Thousand)","Gilts not yet served","1988",8.9
"690","Pig Population Estimated from April Survey (Thousand)","Gilts not yet served","1988",9.1
"691","Pig Population Estimated from August Survey (Thousand)","Gilts not yet served","1988",9.4
"692","Pig Population Estimated from June Survey (Thousand)","Gilts not yet served","1988",9.2
"693","Pig Population Estimated from December Survey (Thousand)","Sows in pig","1988",66.1
"694","Pig Population Estimated from April Survey (Thousand)","Sows in pig","1988",62.8
"695","Pig Population Estimated from August Survey (Thousand)","Sows in pig","1988",65.2
"696","Pig Population Estimated from June Survey (Thousand)","Sows in pig","1988",65.8
"697","Pig Population Estimated from December Survey (Thousand)","Other sows for breeding","1988",24.5
"698","Pig Population Estimated from April Survey (Thousand)","Other sows for breeding","1988",24.6
"699","Pig Population Estimated from August Survey (Thousand)","Other sows for breeding","1988",24.4
"700","Pig Population Estimated from June Survey (Thousand)","Other sows for breeding","1988",25.2
"701","Pig Population Estimated from December Survey (Thousand)","Boars","1988",5
"702","Pig Population Estimated from April Survey (Thousand)","Boars","1988",5
"703","Pig Population Estimated from August Survey (Thousand)","Boars","1988",5
"704","Pig Population Estimated from June Survey (Thousand)","Boars","1988",5
"705","Pig Population Estimated from December Survey (Thousand)","Other pigs","1988",894.9
"706","Pig Population Estimated from April Survey (Thousand)","Other pigs","1988",872.1
"707","Pig Population Estimated from August Survey (Thousand)","Other pigs","1988",893.6
"708","Pig Population Estimated from June Survey (Thousand)","Other pigs","1988",893.4
"709","Pig Population Estimated from December Survey (Thousand)","Other pigs: under 20kg","1988",244.7
"710","Pig Population Estimated from April Survey (Thousand)","Other pigs: under 20kg","1988",241.6
"711","Pig Population Estimated from August Survey (Thousand)","Other pigs: under 20kg","1988",240.7
"712","Pig Population Estimated from June Survey (Thousand)","Other pigs: under 20kg","1988",240.8
"713","Pig Population Estimated from December Survey (Thousand)","Other pigs: 20kg and under 50kg","1988",322.1
"714","Pig Population Estimated from April Survey (Thousand)","Other pigs: 20kg and under 50kg","1988",308
"715","Pig Population Estimated from August Survey (Thousand)","Other pigs: 20kg and under 50kg","1988",321
"716","Pig Population Estimated from June Survey (Thousand)","Other pigs: 20kg and under 50kg","1988",320.1
"717","Pig Population Estimated from December Survey (Thousand)","Other pigs: 50kg and under 80kg","1988",250.7
"718","Pig Population Estimated from April Survey (Thousand)","Other pigs: 50kg and under 80kg","1988",238.2
"719","Pig Population Estimated from August Survey (Thousand)","Other pigs: 50kg and under 80kg","1988",252.8
"720","Pig Population Estimated from June Survey (Thousand)","Other pigs: 50kg and under 80kg","1988",250.8
"721","Pig Population Estimated from December Survey (Thousand)","Other pigs: 80kg and under 110kg","1988",67.9
"722","Pig Population Estimated from April Survey (Thousand)","Other pigs: 80kg and under 110kg","1988",67.99
"723","Pig Population Estimated from August Survey (Thousand)","Other pigs: 80kg and under 110kg","1988",64.49
"724","Pig Population Estimated from June Survey (Thousand)","Other pigs: 80kg and under 110kg","1988",68.3
"725","Pig Population Estimated from December Survey (Thousand)","Other pigs: 110kg and over","1988",13.5
"726","Pig Population Estimated from April Survey (Thousand)","Other pigs: 110kg and over","1988",16.35
"727","Pig Population Estimated from August Survey (Thousand)","Other pigs: 110kg and over","1988",14.57
"728","Pig Population Estimated from June Survey (Thousand)","Other pigs: 110kg and over","1988",13.5
"729","Pig Population Estimated from December Survey (Thousand)","Total pigs","1989",1110.1
"730","Pig Population Estimated from April Survey (Thousand)","Total pigs","1989",1056.6
"731","Pig Population Estimated from August Survey (Thousand)","Total pigs","1989",1080.5
"732","Pig Population Estimated from June Survey (Thousand)","Total pigs","1989",1067.1
"733","Pig Population Estimated from December Survey (Thousand)","Breeding pigs","1989",138.2
"734","Pig Population Estimated from April Survey (Thousand)","Breeding pigs","1989",124.5
"735","Pig Population Estimated from August Survey (Thousand)","Breeding pigs","1989",129.7
"736","Pig Population Estimated from June Survey (Thousand)","Breeding pigs","1989",126.4
"737","Pig Population Estimated from December Survey (Thousand)","Gilts in pig","1989",20
"738","Pig Population Estimated from April Survey (Thousand)","Gilts in pig","1989",15.1
"739","Pig Population Estimated from August Survey (Thousand)","Gilts in pig","1989",16.8
"740","Pig Population Estimated from June Survey (Thousand)","Gilts in pig","1989",15.8
"741","Pig Population Estimated from December Survey (Thousand)","Gilts not yet served","1989",11.5
"742","Pig Population Estimated from April Survey (Thousand)","Gilts not yet served","1989",9.1
"743","Pig Population Estimated from August Survey (Thousand)","Gilts not yet served","1989",9.8
"744","Pig Population Estimated from June Survey (Thousand)","Gilts not yet served","1989",9.4
"745","Pig Population Estimated from December Survey (Thousand)","Sows in pig","1989",74.5
"746","Pig Population Estimated from April Survey (Thousand)","Sows in pig","1989",69.3
"747","Pig Population Estimated from August Survey (Thousand)","Sows in pig","1989",71.2
"748","Pig Population Estimated from June Survey (Thousand)","Sows in pig","1989",69.8
"749","Pig Population Estimated from December Survey (Thousand)","Other sows for breeding","1989",26.6
"750","Pig Population Estimated from April Survey (Thousand)","Other sows for breeding","1989",25.8
"751","Pig Population Estimated from August Survey (Thousand)","Other sows for breeding","1989",26.7
"752","Pig Population Estimated from June Survey (Thousand)","Other sows for breeding","1989",26.1
"753","Pig Population Estimated from December Survey (Thousand)","Boars","1989",5.6
"754","Pig Population Estimated from April Survey (Thousand)","Boars","1989",5.2
"755","Pig Population Estimated from August Survey (Thousand)","Boars","1989",5.2
"756","Pig Population Estimated from June Survey (Thousand)","Boars","1989",5.2
"757","Pig Population Estimated from December Survey (Thousand)","Other pigs","1989",971.8
"758","Pig Population Estimated from April Survey (Thousand)","Other pigs","1989",932
"759","Pig Population Estimated from August Survey (Thousand)","Other pigs","1989",950.7
"760","Pig Population Estimated from June Survey (Thousand)","Other pigs","1989",941.2
"761","Pig Population Estimated from December Survey (Thousand)","Other pigs: under 20kg","1989",279.9
"762","Pig Population Estimated from April Survey (Thousand)","Other pigs: under 20kg","1989",257.6
"763","Pig Population Estimated from August Survey (Thousand)","Other pigs: under 20kg","1989",271.9
"764","Pig Population Estimated from June Survey (Thousand)","Other pigs: under 20kg","1989",265.8
"765","Pig Population Estimated from December Survey (Thousand)","Other pigs: 20kg and under 50kg","1989",341.4
"766","Pig Population Estimated from April Survey (Thousand)","Other pigs: 20kg and under 50kg","1989",339.4
"767","Pig Population Estimated from August Survey (Thousand)","Other pigs: 20kg and under 50kg","1989",335.5
"768","Pig Population Estimated from June Survey (Thousand)","Other pigs: 20kg and under 50kg","1989",336.8
"769","Pig Population Estimated from December Survey (Thousand)","Other pigs: 50kg and under 80kg","1989",265.5
"770","Pig Population Estimated from April Survey (Thousand)","Other pigs: 50kg and under 80kg","1989",257.7
"771","Pig Population Estimated from August Survey (Thousand)","Other pigs: 50kg and under 80kg","1989",262.2
"772","Pig Population Estimated from June Survey (Thousand)","Other pigs: 50kg and under 80kg","1989",259.4
"773","Pig Population Estimated from December Survey (Thousand)","Other pigs: 80kg and under 110kg","1989",72.9
"774","Pig Population Estimated from April Survey (Thousand)","Other pigs: 80kg and under 110kg","1989",67.66
"775","Pig Population Estimated from August Survey (Thousand)","Other pigs: 80kg and under 110kg","1989",71.29
"776","Pig Population Estimated from June Survey (Thousand)","Other pigs: 80kg and under 110kg","1989",69.3
"777","Pig Population Estimated from December Survey (Thousand)","Other pigs: 110kg and over","1989",12.2
"778","Pig Population Estimated from April Survey (Thousand)","Other pigs: 110kg and over","1989",9.66
"779","Pig Population Estimated from August Survey (Thousand)","Other pigs: 110kg and over","1989",9.86
"780","Pig Population Estimated from June Survey (Thousand)","Other pigs: 110kg and over","1989",9.8
"781","Pig Population Estimated from December Survey (Thousand)","Total pigs","1990",1249.1
"782","Pig Population Estimated from April Survey (Thousand)","Total pigs","1990",1162.4
"783","Pig Population Estimated from August Survey (Thousand)","Total pigs","1990",1202.7
"784","Pig Population Estimated from June Survey (Thousand)","Total pigs","1990",1194.4
"785","Pig Population Estimated from December Survey (Thousand)","Breeding pigs","1990",155.1
"786","Pig Population Estimated from April Survey (Thousand)","Breeding pigs","1990",145.2
"787","Pig Population Estimated from August Survey (Thousand)","Breeding pigs","1990",150.1
"788","Pig Population Estimated from June Survey (Thousand)","Breeding pigs","1990",151.7
"789","Pig Population Estimated from December Survey (Thousand)","Gilts in pig","1990",20.1
"790","Pig Population Estimated from April Survey (Thousand)","Gilts in pig","1990",21.4
"791","Pig Population Estimated from August Survey (Thousand)","Gilts in pig","1990",21.5
"792","Pig Population Estimated from June Survey (Thousand)","Gilts in pig","1990",22.1
"793","Pig Population Estimated from December Survey (Thousand)","Gilts not yet served","1990",12.3
"794","Pig Population Estimated from April Survey (Thousand)","Gilts not yet served","1990",12.1
"795","Pig Population Estimated from August Survey (Thousand)","Gilts not yet served","1990",11.4
"796","Pig Population Estimated from June Survey (Thousand)","Gilts not yet served","1990",11.9
"797","Pig Population Estimated from December Survey (Thousand)","Sows in pig","1990",85.4
"798","Pig Population Estimated from April Survey (Thousand)","Sows in pig","1990",76.9
"799","Pig Population Estimated from August Survey (Thousand)","Sows in pig","1990",81.3
"800","Pig Population Estimated from June Survey (Thousand)","Sows in pig","1990",81.5
"801","Pig Population Estimated from December Survey (Thousand)","Other sows for breeding","1990",30.9
"802","Pig Population Estimated from April Survey (Thousand)","Other sows for breeding","1990",28.8
"803","Pig Population Estimated from August Survey (Thousand)","Other sows for breeding","1990",29.7
"804","Pig Population Estimated from June Survey (Thousand)","Other sows for breeding","1990",30.1
"805","Pig Population Estimated from December Survey (Thousand)","Boars","1990",6.4
"806","Pig Population Estimated from April Survey (Thousand)","Boars","1990",6
"807","Pig Population Estimated from August Survey (Thousand)","Boars","1990",6.2
"808","Pig Population Estimated from June Survey (Thousand)","Boars","1990",6.1
"809","Pig Population Estimated from December Survey (Thousand)","Other pigs","1990",1093.9
"810","Pig Population Estimated from April Survey (Thousand)","Other pigs","1990",1017.2
"811","Pig Population Estimated from August Survey (Thousand)","Other pigs","1990",1052.7
"812","Pig Population Estimated from June Survey (Thousand)","Other pigs","1990",1042.4
"813","Pig Population Estimated from December Survey (Thousand)","Other pigs: under 20kg","1990",333.9
"814","Pig Population Estimated from April Survey (Thousand)","Other pigs: under 20kg","1990",296.9
"815","Pig Population Estimated from August Survey (Thousand)","Other pigs: under 20kg","1990",311.2
"816","Pig Population Estimated from June Survey (Thousand)","Other pigs: under 20kg","1990",304.1
"817","Pig Population Estimated from December Survey (Thousand)","Other pigs: 20kg and under 50kg","1990",376.9
"818","Pig Population Estimated from April Survey (Thousand)","Other pigs: 20kg and under 50kg","1990",358.6
"819","Pig Population Estimated from August Survey (Thousand)","Other pigs: 20kg and under 50kg","1990",360.3
"820","Pig Population Estimated from June Survey (Thousand)","Other pigs: 20kg and under 50kg","1990",363.2
"821","Pig Population Estimated from December Survey (Thousand)","Other pigs: 50kg and under 80kg","1990",282.3
"822","Pig Population Estimated from April Survey (Thousand)","Other pigs: 50kg and under 80kg","1990",275.3
"823","Pig Population Estimated from August Survey (Thousand)","Other pigs: 50kg and under 80kg","1990",280.6
"824","Pig Population Estimated from June Survey (Thousand)","Other pigs: 50kg and under 80kg","1990",280.9
"825","Pig Population Estimated from December Survey (Thousand)","Other pigs: 80kg and under 110kg","1990",90.5
"826","Pig Population Estimated from April Survey (Thousand)","Other pigs: 80kg and under 110kg","1990",75.02
"827","Pig Population Estimated from August Survey (Thousand)","Other pigs: 80kg and under 110kg","1990",86.42
"828","Pig Population Estimated from June Survey (Thousand)","Other pigs: 80kg and under 110kg","1990",81.5
"829","Pig Population Estimated from December Survey (Thousand)","Other pigs: 110kg and over","1990",10.3
"830","Pig Population Estimated from April Survey (Thousand)","Other pigs: 110kg and over","1990",11.39
"831","Pig Population Estimated from August Survey (Thousand)","Other pigs: 110kg and over","1990",14.19
"832","Pig Population Estimated from June Survey (Thousand)","Other pigs: 110kg and over","1990",12.8
"833","Pig Population Estimated from December Survey (Thousand)","Total pigs","1991",1345.5
"834","Pig Population Estimated from April Survey (Thousand)","Total pigs","1991",1290.9
"835","Pig Population Estimated from August Survey (Thousand)","Total pigs","1991",1316.5
"836","Pig Population Estimated from June Survey (Thousand)","Total pigs","1991",1303.7
"837","Pig Population Estimated from December Survey (Thousand)","Breeding pigs","1991",166.6
"838","Pig Population Estimated from April Survey (Thousand)","Breeding pigs","1991",158.7
"839","Pig Population Estimated from August Survey (Thousand)","Breeding pigs","1991",163.8
"840","Pig Population Estimated from June Survey (Thousand)","Breeding pigs","1991",161.1
"841","Pig Population Estimated from December Survey (Thousand)","Gilts in pig","1991",22.1
"842","Pig Population Estimated from April Survey (Thousand)","Gilts in pig","1991",20.8
"843","Pig Population Estimated from August Survey (Thousand)","Gilts in pig","1991",22.5
"844","Pig Population Estimated from June Survey (Thousand)","Gilts in pig","1991",21.6
"845","Pig Population Estimated from December Survey (Thousand)","Gilts not yet served","1991",14
"846","Pig Population Estimated from April Survey (Thousand)","Gilts not yet served","1991",13.6
"847","Pig Population Estimated from August Survey (Thousand)","Gilts not yet served","1991",14
"848","Pig Population Estimated from June Survey (Thousand)","Gilts not yet served","1991",13.8
"849","Pig Population Estimated from December Survey (Thousand)","Sows in pig","1991",92.6
"850","Pig Population Estimated from April Survey (Thousand)","Sows in pig","1991",86.5
"851","Pig Population Estimated from August Survey (Thousand)","Sows in pig","1991",89.5
"852","Pig Population Estimated from June Survey (Thousand)","Sows in pig","1991",87.9
"853","Pig Population Estimated from December Survey (Thousand)","Other sows for breeding","1991",31.3
"854","Pig Population Estimated from April Survey (Thousand)","Other sows for breeding","1991",31.2
"855","Pig Population Estimated from August Survey (Thousand)","Other sows for breeding","1991",31.1
"856","Pig Population Estimated from June Survey (Thousand)","Other sows for breeding","1991",31.1
"857","Pig Population Estimated from December Survey (Thousand)","Boars","1991",6.6
"858","Pig Population Estimated from April Survey (Thousand)","Boars","1991",6.6
"859","Pig Population Estimated from August Survey (Thousand)","Boars","1991",6.7
"860","Pig Population Estimated from June Survey (Thousand)","Boars","1991",6.7
"861","Pig Population Estimated from December Survey (Thousand)","Other pigs","1991",1178.9
"862","Pig Population Estimated from April Survey (Thousand)","Other pigs","1991",1132.3
"863","Pig Population Estimated from August Survey (Thousand)","Other pigs","1991",1152.7
"864","Pig Population Estimated from June Survey (Thousand)","Other pigs","1991",1142.6
"865","Pig Population Estimated from December Survey (Thousand)","Other pigs: under 20kg","1991",365.2
"866","Pig Population Estimated from April Survey (Thousand)","Other pigs: under 20kg","1991",347.3
"867","Pig Population Estimated from August Survey (Thousand)","Other pigs: under 20kg","1991",354.6
"868","Pig Population Estimated from June Survey (Thousand)","Other pigs: under 20kg","1991",351
"869","Pig Population Estimated from December Survey (Thousand)","Other pigs: 20kg and under 50kg","1991",402.6
"870","Pig Population Estimated from April Survey (Thousand)","Other pigs: 20kg and under 50kg","1991",387.5
"871","Pig Population Estimated from August Survey (Thousand)","Other pigs: 20kg and under 50kg","1991",390.5
"872","Pig Population Estimated from June Survey (Thousand)","Other pigs: 20kg and under 50kg","1991",389
"873","Pig Population Estimated from December Survey (Thousand)","Other pigs: 50kg and under 80kg","1991",309.7
"874","Pig Population Estimated from April Survey (Thousand)","Other pigs: 50kg and under 80kg","1991",291
"875","Pig Population Estimated from August Survey (Thousand)","Other pigs: 50kg and under 80kg","1991",302.5
"876","Pig Population Estimated from June Survey (Thousand)","Other pigs: 50kg and under 80kg","1991",296.8
"877","Pig Population Estimated from December Survey (Thousand)","Other pigs: 80kg and under 110kg","1991",93.1
"878","Pig Population Estimated from April Survey (Thousand)","Other pigs: 80kg and under 110kg","1991",95.59
"879","Pig Population Estimated from August Survey (Thousand)","Other pigs: 80kg and under 110kg","1991",93.93
"880","Pig Population Estimated from June Survey (Thousand)","Other pigs: 80kg and under 110kg","1991",94.8
"881","Pig Population Estimated from December Survey (Thousand)","Other pigs: 110kg and over","1991",8.3
"882","Pig Population Estimated from April Survey (Thousand)","Other pigs: 110kg and over","1991",10.91
"883","Pig Population Estimated from August Survey (Thousand)","Other pigs: 110kg and over","1991",11.17
"884","Pig Population Estimated from June Survey (Thousand)","Other pigs: 110kg and over","1991",11
"885","Pig Population Estimated from December Survey (Thousand)","Total pigs","1992",1422.7
"886","Pig Population Estimated from April Survey (Thousand)","Total pigs","1992",1379.3
"887","Pig Population Estimated from August Survey (Thousand)","Total pigs","1992",1398.9
"888","Pig Population Estimated from June Survey (Thousand)","Total pigs","1992",1385.8
"889","Pig Population Estimated from December Survey (Thousand)","Breeding pigs","1992",178
"890","Pig Population Estimated from April Survey (Thousand)","Breeding pigs","1992",171.6
"891","Pig Population Estimated from August Survey (Thousand)","Breeding pigs","1992",176.2
"892","Pig Population Estimated from June Survey (Thousand)","Breeding pigs","1992",173.6
"893","Pig Population Estimated from December Survey (Thousand)","Gilts in pig","1992",26.6
"894","Pig Population Estimated from April Survey (Thousand)","Gilts in pig","1992",24
"895","Pig Population Estimated from August Survey (Thousand)","Gilts in pig","1992",24.6
"896","Pig Population Estimated from June Survey (Thousand)","Gilts in pig","1992",24.3
"897","Pig Population Estimated from December Survey (Thousand)","Gilts not yet served","1992",14.9
"898","Pig Population Estimated from April Survey (Thousand)","Gilts not yet served","1992",13.8
"899","Pig Population Estimated from August Survey (Thousand)","Gilts not yet served","1992",14.6
"900","Pig Population Estimated from June Survey (Thousand)","Gilts not yet served","1992",14.2
"901","Pig Population Estimated from December Survey (Thousand)","Sows in pig","1992",96.5
"902","Pig Population Estimated from April Survey (Thousand)","Sows in pig","1992",95.8
"903","Pig Population Estimated from August Survey (Thousand)","Sows in pig","1992",96.1
"904","Pig Population Estimated from June Survey (Thousand)","Sows in pig","1992",95.8
"905","Pig Population Estimated from December Survey (Thousand)","Other sows for breeding","1992",33.5
"906","Pig Population Estimated from April Survey (Thousand)","Other sows for breeding","1992",31.3
"907","Pig Population Estimated from August Survey (Thousand)","Other sows for breeding","1992",34.2
"908","Pig Population Estimated from June Survey (Thousand)","Other sows for breeding","1992",32.7
"909","Pig Population Estimated from December Survey (Thousand)","Boars","1992",6.5
"910","Pig Population Estimated from April Survey (Thousand)","Boars","1992",6.7
"911","Pig Population Estimated from August Survey (Thousand)","Boars","1992",6.7
"912","Pig Population Estimated from June Survey (Thousand)","Boars","1992",6.6
"913","Pig Population Estimated from December Survey (Thousand)","Other pigs","1992",1244.7
"914","Pig Population Estimated from April Survey (Thousand)","Other pigs","1992",1207.7
"915","Pig Population Estimated from August Survey (Thousand)","Other pigs","1992",1222.6
"916","Pig Population Estimated from June Survey (Thousand)","Other pigs","1992",1212.2
"917","Pig Population Estimated from December Survey (Thousand)","Other pigs: under 20kg","1992",397.6
"918","Pig Population Estimated from April Survey (Thousand)","Other pigs: under 20kg","1992",382.5
"919","Pig Population Estimated from August Survey (Thousand)","Other pigs: under 20kg","1992",394.2
"920","Pig Population Estimated from June Survey (Thousand)","Other pigs: under 20kg","1992",386.3
"921","Pig Population Estimated from December Survey (Thousand)","Other pigs: 20kg and under 50kg","1992",423.5
"922","Pig Population Estimated from April Survey (Thousand)","Other pigs: 20kg and under 50kg","1992",412
"923","Pig Population Estimated from August Survey (Thousand)","Other pigs: 20kg and under 50kg","1992",419.5
"924","Pig Population Estimated from June Survey (Thousand)","Other pigs: 20kg and under 50kg","1992",415.3
"925","Pig Population Estimated from December Survey (Thousand)","Other pigs: 50kg and under 80kg","1992",314.6
"926","Pig Population Estimated from April Survey (Thousand)","Other pigs: 50kg and under 80kg","1992",315.1
"927","Pig Population Estimated from August Survey (Thousand)","Other pigs: 50kg and under 80kg","1992",303
"928","Pig Population Estimated from June Survey (Thousand)","Other pigs: 50kg and under 80kg","1992",308.7
"929","Pig Population Estimated from December Survey (Thousand)","Other pigs: 80kg and under 110kg","1992",102.1
"930","Pig Population Estimated from April Survey (Thousand)","Other pigs: 80kg and under 110kg","1992",90.05
"931","Pig Population Estimated from August Survey (Thousand)","Other pigs: 80kg and under 110kg","1992",97.67
"932","Pig Population Estimated from June Survey (Thousand)","Other pigs: 80kg and under 110kg","1992",93.8
"933","Pig Population Estimated from December Survey (Thousand)","Other pigs: 110kg and over","1992",6.8
"934","Pig Population Estimated from April Survey (Thousand)","Other pigs: 110kg and over","1992",8.05
"935","Pig Population Estimated from August Survey (Thousand)","Other pigs: 110kg and over","1992",8.28
"936","Pig Population Estimated from June Survey (Thousand)","Other pigs: 110kg and over","1992",8.2
"937","Pig Population Estimated from December Survey (Thousand)","Total pigs","1993",1487.2
"938","Pig Population Estimated from April Survey (Thousand)","Total pigs","1993",1504.5
"939","Pig Population Estimated from August Survey (Thousand)","Total pigs","1993",1512.8
"940","Pig Population Estimated from June Survey (Thousand)","Total pigs","1993",1521.6
"941","Pig Population Estimated from December Survey (Thousand)","Breeding pigs","1993",175
"942","Pig Population Estimated from April Survey (Thousand)","Breeding pigs","1993",181.3
"943","Pig Population Estimated from August Survey (Thousand)","Breeding pigs","1993",178
"944","Pig Population Estimated from June Survey (Thousand)","Breeding pigs","1993",179.7
"945","Pig Population Estimated from December Survey (Thousand)","Gilts in pig","1993",22.7
"946","Pig Population Estimated from April Survey (Thousand)","Gilts in pig","1993",24.6
"947","Pig Population Estimated from August Survey (Thousand)","Gilts in pig","1993",22.8
"948","Pig Population Estimated from June Survey (Thousand)","Gilts in pig","1993",23.7
"949","Pig Population Estimated from December Survey (Thousand)","Gilts not yet served","1993",14.4
"950","Pig Population Estimated from April Survey (Thousand)","Gilts not yet served","1993",13.8
"951","Pig Population Estimated from August Survey (Thousand)","Gilts not yet served","1993",14.8
"952","Pig Population Estimated from June Survey (Thousand)","Gilts not yet served","1993",14.3
"953","Pig Population Estimated from December Survey (Thousand)","Sows in pig","1993",100.2
"954","Pig Population Estimated from April Survey (Thousand)","Sows in pig","1993",101.7
"955","Pig Population Estimated from August Survey (Thousand)","Sows in pig","1993",100.9
"956","Pig Population Estimated from June Survey (Thousand)","Sows in pig","1993",101.3
"957","Pig Population Estimated from December Survey (Thousand)","Other sows for breeding","1993",31.4
"958","Pig Population Estimated from April Survey (Thousand)","Other sows for breeding","1993",35
"959","Pig Population Estimated from August Survey (Thousand)","Other sows for breeding","1993",33.2
"960","Pig Population Estimated from June Survey (Thousand)","Other sows for breeding","1993",34.1
"961","Pig Population Estimated from December Survey (Thousand)","Boars","1993",6.4
"962","Pig Population Estimated from April Survey (Thousand)","Boars","1993",6.2
"963","Pig Population Estimated from August Survey (Thousand)","Boars","1993",6.3
"964","Pig Population Estimated from June Survey (Thousand)","Boars","1993",6.3
"965","Pig Population Estimated from December Survey (Thousand)","Other pigs","1993",1312.2
"966","Pig Population Estimated from April Survey (Thousand)","Other pigs","1993",1323.1
"967","Pig Population Estimated from August Survey (Thousand)","Other pigs","1993",1334.8
"968","Pig Population Estimated from June Survey (Thousand)","Other pigs","1993",1341.9
"969","Pig Population Estimated from December Survey (Thousand)","Other pigs: under 20kg","1993",427.2
"970","Pig Population Estimated from April Survey (Thousand)","Other pigs: under 20kg","1993",409.7
"971","Pig Population Estimated from August Survey (Thousand)","Other pigs: under 20kg","1993",424.3
"972","Pig Population Estimated from June Survey (Thousand)","Other pigs: under 20kg","1993",417
"973","Pig Population Estimated from December Survey (Thousand)","Other pigs: 20kg and under 50kg","1993",430.6
"974","Pig Population Estimated from April Survey (Thousand)","Other pigs: 20kg and under 50kg","1993",459.4
"975","Pig Population Estimated from August Survey (Thousand)","Other pigs: 20kg and under 50kg","1993",466.8
"976","Pig Population Estimated from June Survey (Thousand)","Other pigs: 20kg and under 50kg","1993",469.6
"977","Pig Population Estimated from December Survey (Thousand)","Other pigs: 50kg and under 80kg","1993",334.4
"978","Pig Population Estimated from April Survey (Thousand)","Other pigs: 50kg and under 80kg","1993",342.4
"979","Pig Population Estimated from August Survey (Thousand)","Other pigs: 50kg and under 80kg","1993",334.1
"980","Pig Population Estimated from June Survey (Thousand)","Other pigs: 50kg and under 80kg","1993",343.5
"981","Pig Population Estimated from December Survey (Thousand)","Other pigs: 80kg and under 110kg","1993",115.7
"982","Pig Population Estimated from April Survey (Thousand)","Other pigs: 80kg and under 110kg","1993",97.75
"983","Pig Population Estimated from August Survey (Thousand)","Other pigs: 80kg and under 110kg","1993",100.7
"984","Pig Population Estimated from June Survey (Thousand)","Other pigs: 80kg and under 110kg","1993",100.5
"985","Pig Population Estimated from December Survey (Thousand)","Other pigs: 110kg and over","1993",4.3
"986","Pig Population Estimated from April Survey (Thousand)","Other pigs: 110kg and over","1993",13.82
"987","Pig Population Estimated from August Survey (Thousand)","Other pigs: 110kg and over","1993",8.85
"988","Pig Population Estimated from June Survey (Thousand)","Other pigs: 110kg and over","1993",11.3
"989","Pig Population Estimated from December Survey (Thousand)","Total pigs","1994",1498.3
"990","Pig Population Estimated from April Survey (Thousand)","Total pigs","1994",1525.7
"991","Pig Population Estimated from August Survey (Thousand)","Total pigs","1994",1535.1
"992","Pig Population Estimated from June Survey (Thousand)","Total pigs","1994",1530.4
"993","Pig Population Estimated from December Survey (Thousand)","Breeding pigs","1994",167
"994","Pig Population Estimated from April Survey (Thousand)","Breeding pigs","1994",177.8
"995","Pig Population Estimated from August Survey (Thousand)","Breeding pigs","1994",173.8
"996","Pig Population Estimated from June Survey (Thousand)","Breeding pigs","1994",175.8
"997","Pig Population Estimated from December Survey (Thousand)","Gilts in pig","1994",21.2
"998","Pig Population Estimated from April Survey (Thousand)","Gilts in pig","1994",22.5
"999","Pig Population Estimated from August Survey (Thousand)","Gilts in pig","1994",21.7
"1000","Pig Population Estimated from June Survey (Thousand)","Gilts in pig","1994",22.1
"1001","Pig Population Estimated from December Survey (Thousand)","Gilts not yet served","1994",15.3
"1002","Pig Population Estimated from April Survey (Thousand)","Gilts not yet served","1994",13.4
"1003","Pig Population Estimated from August Survey (Thousand)","Gilts not yet served","1994",14.8
"1004","Pig Population Estimated from June Survey (Thousand)","Gilts not yet served","1994",14.1
"1005","Pig Population Estimated from December Survey (Thousand)","Sows in pig","1994",96.3
"1006","Pig Population Estimated from April Survey (Thousand)","Sows in pig","1994",103.9
"1007","Pig Population Estimated from August Survey (Thousand)","Sows in pig","1994",101.1
"1008","Pig Population Estimated from June Survey (Thousand)","Sows in pig","1994",102.5
"1009","Pig Population Estimated from December Survey (Thousand)","Other sows for breeding","1994",28.9
"1010","Pig Population Estimated from April Survey (Thousand)","Other sows for breeding","1994",31.9
"1011","Pig Population Estimated from August Survey (Thousand)","Other sows for breeding","1994",30.3
"1012","Pig Population Estimated from June Survey (Thousand)","Other sows for breeding","1994",31.1
"1013","Pig Population Estimated from December Survey (Thousand)","Boars","1994",5.3
"1014","Pig Population Estimated from April Survey (Thousand)","Boars","1994",6.1
"1015","Pig Population Estimated from August Survey (Thousand)","Boars","1994",5.9
"1016","Pig Population Estimated from June Survey (Thousand)","Boars","1994",6
"1017","Pig Population Estimated from December Survey (Thousand)","Other pigs","1994",1331.4
