"","Region","Year","Type.of.Animal","value"
"182","Mid-West","1999","Breeding cattle",422.9
"183","South-East","1999","Breeding cattle",476.4
"184","South-West","1999","Breeding cattle",653.4
"185","State","2000","Breeding cattle",2752.1
"186","Dublin plus Mid East","2000","Breeding cattle",203.2
"187","Border","2000","Breeding cattle",403.2
"188","Midland","2000","Breeding cattle",253
"189","West","2000","Breeding cattle",377
"190","Mid-West","2000","Breeding cattle",417.1
"191","South-East","2000","Breeding cattle",465.3
"192","South-West","2000","Breeding cattle",633.2
"193","State","2001","Breeding cattle",2769.2
"194","Dublin plus Mid East","2001","Breeding cattle",199.8
"195","Border","2001","Breeding cattle",407.9
"196","Midland","2001","Breeding cattle",255.1
"197","West","2001","Breeding cattle",380.1
"198","Mid-West","2001","Breeding cattle",415.3
"199","South-East","2001","Breeding cattle",469.2
"200","South-West","2001","Breeding cattle",641.7
"201","State","2002","Breeding cattle",2755
"202","Dublin plus Mid East","2002","Breeding cattle",197.6
"203","Border","2002","Breeding cattle",405
"204","Midland","2002","Breeding cattle",261.3
"205","West","2002","Breeding cattle",379.2
"206","Mid-West","2002","Breeding cattle",413.6
"207","South-East","2002","Breeding cattle",465.1
"208","South-West","2002","Breeding cattle",633.2
"209","State","2003","Breeding cattle",2759.8
"210","Dublin plus Mid East","2003","Breeding cattle",200.1
"211","Border","2003","Breeding cattle",395.8
"212","Midland","2003","Breeding cattle",263.7
"213","West","2003","Breeding cattle",379.3
"214","Mid-West","2003","Breeding cattle",425.5
"215","South-East","2003","Breeding cattle",464.7
"216","South-West","2003","Breeding cattle",630.7
"217","State","2004","Breeding cattle",2798.9
"218","Dublin plus Mid East","2004","Breeding cattle",202.5
"219","Border","2004","Breeding cattle",394.2
"220","Midland","2004","Breeding cattle",270.8
"221","West","2004","Breeding cattle",383.4
"222","Mid-West","2004","Breeding cattle",435
"223","South-East","2004","Breeding cattle",478.8
"224","South-West","2004","Breeding cattle",634
"225","State","1991","Cows",2148.1
