"","Region","Year","Type.of.Animal","value"
"2071","South-East","1997","Other cattle female: under 1 year",155.1
"2072","South-West","1997","Other cattle female: under 1 year",201.7
"2073","State","1998","Other cattle female: under 1 year",910.3
"2074","Dublin plus Mid East","1998","Other cattle female: under 1 year",66.9
"2075","Border","1998","Other cattle female: under 1 year",134
"2076","Midland","1998","Other cattle female: under 1 year",91
"2077","West","1998","Other cattle female: under 1 year",130.7
"2078","Mid-West","1998","Other cattle female: under 1 year",136.7
"2079","South-East","1998","Other cattle female: under 1 year",156.2
"2080","South-West","1998","Other cattle female: under 1 year",194.9
"2081","State","1999","Other cattle female: under 1 year",855.5
"2082","Dublin plus Mid East","1999","Other cattle female: under 1 year",63.7
"2083","Border","1999","Other cattle female: under 1 year",129.6
"2084","Midland","1999","Other cattle female: under 1 year",84.2
"2085","West","1999","Other cattle female: under 1 year",117.9
"2086","Mid-West","1999","Other cattle female: under 1 year",126.9
"2087","South-East","1999","Other cattle female: under 1 year",147
"2088","South-West","1999","Other cattle female: under 1 year",186.2
"2089","State","2000","Other cattle female: under 1 year",832.5
"2090","Dublin plus Mid East","2000","Other cattle female: under 1 year",60.6
"2091","Border","2000","Other cattle female: under 1 year",124.6
"2092","Midland","2000","Other cattle female: under 1 year",84.2
"2093","West","2000","Other cattle female: under 1 year",117.8
"2094","Mid-West","2000","Other cattle female: under 1 year",123.6
"2095","South-East","2000","Other cattle female: under 1 year",146.8
"2096","South-West","2000","Other cattle female: under 1 year",175
"2097","State","2001","Other cattle female: under 1 year",869.2
"2098","Dublin plus Mid East","2001","Other cattle female: under 1 year",60.2
"2099","Border","2001","Other cattle female: under 1 year",127.4
"2100","Midland","2001","Other cattle female: under 1 year",83.8
"2101","West","2001","Other cattle female: under 1 year",120.9
"2102","Mid-West","2001","Other cattle female: under 1 year",133
"2103","South-East","2001","Other cattle female: under 1 year",150
"2104","South-West","2001","Other cattle female: under 1 year",194
"2105","State","2002","Other cattle female: under 1 year",846.2
"2106","Dublin plus Mid East","2002","Other cattle female: under 1 year",59.3
"2107","Border","2002","Other cattle female: under 1 year",126.3
"2108","Midland","2002","Other cattle female: under 1 year",86.3
"2109","West","2002","Other cattle female: under 1 year",118.3
"2110","Mid-West","2002","Other cattle female: under 1 year",128.4
"2111","South-East","2002","Other cattle female: under 1 year",149.3
"2112","South-West","2002","Other cattle female: under 1 year",178.2
"2113","State","2003","Other cattle female: under 1 year",839.1
"2114","Dublin plus Mid East","2003","Other cattle female: under 1 year",59.4
"2115","Border","2003","Other cattle female: under 1 year",121.6
"2116","Midland","2003","Other cattle female: under 1 year",88.4
"2117","West","2003","Other cattle female: under 1 year",117.7
"2118","Mid-West","2003","Other cattle female: under 1 year",127
"2119","South-East","2003","Other cattle female: under 1 year",147.3
"2120","South-West","2003","Other cattle female: under 1 year",177.7
"2121","State","2004","Other cattle female: under 1 year",841.6
"2122","Dublin plus Mid East","2004","Other cattle female: under 1 year",58
"2123","Border","2004","Other cattle female: under 1 year",118.9
"2124","Midland","2004","Other cattle female: under 1 year",91.6
"2125","West","2004","Other cattle female: under 1 year",117.5
"2126","Mid-West","2004","Other cattle female: under 1 year",130.3
"2127","South-East","2004","Other cattle female: under 1 year",148
"2128","South-West","2004","Other cattle female: under 1 year",177.4
"2129","State","1991","Total sheep",8888.2
"2130","Dublin plus Mid East","1991","Total sheep",1350.5
"2131","Border","1991","Total sheep",1402.8
"2132","Midland","1991","Total sheep",666.5
"2133","West","1991","Total sheep",2187
"2134","Mid-West","1991","Total sheep",375.3
"2135","South-East","1991","Total sheep",1775.7
"2136","South-West","1991","Total sheep",1130.5
"2137","State","1992","Total sheep",8897.9
"2138","Dublin plus Mid East","1992","Total sheep",1347.8
"2139","Border","1992","Total sheep",1407.1
"2140","Midland","1992","Total sheep",675.2
"2141","West","1992","Total sheep",2176.8
"2142","Mid-West","1992","Total sheep",376.9
"2143","South-East","1992","Total sheep",1766.4
"2144","South-West","1992","Total sheep",1147.7
"2145","State","1993","Total sheep",8626.7
"2146","Dublin plus Mid East","1993","Total sheep",1302.7
"2147","Border","1993","Total sheep",1377.5
"2148","Midland","1993","Total sheep",632.7
"2149","West","1993","Total sheep",2127.4
"2150","Mid-West","1993","Total sheep",358.9
"2151","South-East","1993","Total sheep",1707.2
"2152","South-West","1993","Total sheep",1120.1
"2153","State","1994","Total sheep",8404.2
"2154","Dublin plus Mid East","1994","Total sheep",1278.5
"2155","Border","1994","Total sheep",1330.8
"2156","Midland","1994","Total sheep",633.6
"2157","West","1994","Total sheep",2076
"2158","Mid-West","1994","Total sheep",347.4
"2159","South-East","1994","Total sheep",1678.6
"2160","South-West","1994","Total sheep",1059.4
"2161","State","1995","Total sheep",8331.5
"2162","Dublin plus Mid East","1995","Total sheep",1256.5
"2163","Border","1995","Total sheep",1336.3
"2164","Midland","1995","Total sheep",616.7
"2165","West","1995","Total sheep",2125.6
"2166","Mid-West","1995","Total sheep",350.1
"2167","South-East","1995","Total sheep",1616.1
"2168","South-West","1995","Total sheep",1030.2
"2169","State","1996","Total sheep",7888.2
"2170","Dublin plus Mid East","1996","Total sheep",1180
"2171","Border","1996","Total sheep",1298
"2172","Midland","1996","Total sheep",541.6
"2173","West","1996","Total sheep",2079
"2174","Mid-West","1996","Total sheep",310.1
"2175","South-East","1996","Total sheep",1491.4
"2176","South-West","1996","Total sheep",988.1
"2177","State","1997","Total sheep",8131.5
"2178","Dublin plus Mid East","1997","Total sheep",1213.5
"2179","Border","1997","Total sheep",1332.7
"2180","Midland","1997","Total sheep",576.5
"2181","West","1997","Total sheep",2139.6
"2182","Mid-West","1997","Total sheep",316
"2183","South-East","1997","Total sheep",1529.9
"2184","South-West","1997","Total sheep",1023.3
"2185","State","1998","Total sheep",8312
"2186","Dublin plus Mid East","1998","Total sheep",1219
"2187","Border","1998","Total sheep",1377.5
"2188","Midland","1998","Total sheep",613.1
"2189","West","1998","Total sheep",2192.7
"2190","Mid-West","1998","Total sheep",322.8
"2191","South-East","1998","Total sheep",1547.4
"2192","South-West","1998","Total sheep",1039.5
"2193","State","1999","Total sheep",7925.5
"2194","Dublin plus Mid East","1999","Total sheep",1254.8
"2195","Border","1999","Total sheep",1239.7
"2196","Midland","1999","Total sheep",597.6
"2197","West","1999","Total sheep",2041
"2198","Mid-West","1999","Total sheep",309.8
"2199","South-East","1999","Total sheep",1548.5
"2200","South-West","1999","Total sheep",934.1
"2201","State","2000","Total sheep",7555
"2202","Dublin plus Mid East","2000","Total sheep",1137.3
"2203","Border","2000","Total sheep",1336.9
"2204","Midland","2000","Total sheep",583.6
"2205","West","2000","Total sheep",1959.7
"2206","Mid-West","2000","Total sheep",270.7
"2207","South-East","2000","Total sheep",1347.2
"2208","South-West","2000","Total sheep",919.7
"2209","State","2001","Total sheep",7330.3
"2210","Dublin plus Mid East","2001","Total sheep",1080.1
"2211","Border","2001","Total sheep",1330.9
"2212","Midland","2001","Total sheep",570.4
"2213","West","2001","Total sheep",1931
"2214","Mid-West","2001","Total sheep",251.2
"2215","South-East","2001","Total sheep",1277.9
"2216","South-West","2001","Total sheep",888.8
"2217","State","2002","Total sheep",7209.6
"2218","Dublin plus Mid East","2002","Total sheep",1056.4
"2219","Border","2002","Total sheep",1285.6
"2220","Midland","2002","Total sheep",558.1
"2221","West","2002","Total sheep",1923.6
"2222","Mid-West","2002","Total sheep",248
"2223","South-East","2002","Total sheep",1249.9
"2224","South-West","2002","Total sheep",888.1
"2225","State","2003","Total sheep",6848.9
"2226","Dublin plus Mid East","2003","Total sheep",1036
"2227","Border","2003","Total sheep",1240.3
"2228","Midland","2003","Total sheep",516.1
"2229","West","2003","Total sheep",1828.7
"2230","Mid-West","2003","Total sheep",223.6
"2231","South-East","2003","Total sheep",1134.3
"2232","South-West","2003","Total sheep",869.9
"2233","State","2004","Total sheep",6777.2
"2234","Dublin plus Mid East","2004","Total sheep",998.7
"2235","Border","2004","Total sheep",1240.8
"2236","Midland","2004","Total sheep",507.2
"2237","West","2004","Total sheep",1800.4
"2238","Mid-West","2004","Total sheep",212.7
"2239","South-East","2004","Total sheep",1154.1
"2240","South-West","2004","Total sheep",863.3
"2241","State","1991","Breeding sheep",4741.8
"2242","Dublin plus Mid East","1991","Breeding sheep",725.7
"2243","Border","1991","Breeding sheep",754.4
"2244","Midland","1991","Breeding sheep",357.6
"2245","West","1991","Breeding sheep",1128.1
"2246","Mid-West","1991","Breeding sheep",197.3
"2247","South-East","1991","Breeding sheep",930.2
"2248","South-West","1991","Breeding sheep",648.4
"2249","State","1992","Breeding sheep",4867.7
"2250","Dublin plus Mid East","1992","Breeding sheep",731.4
"2251","Border","1992","Breeding sheep",781
"2252","Midland","1992","Breeding sheep",372.2
"2253","West","1992","Breeding sheep",1158.2
"2254","Mid-West","1992","Breeding sheep",204.1
"2255","South-East","1992","Breeding sheep",937.5
"2256","South-West","1992","Breeding sheep",683.3
"2257","State","1993","Breeding sheep",4839.8
"2258","Dublin plus Mid East","1993","Breeding sheep",727.3
"2259","Border","1993","Breeding sheep",785.2
"2260","Midland","1993","Breeding sheep",361
"2261","West","1993","Breeding sheep",1168.2
"2262","Mid-West","1993","Breeding sheep",201.6
"2263","South-East","1993","Breeding sheep",924.1
"2264","South-West","1993","Breeding sheep",672.3
"2265","State","1994","Breeding sheep",4741.2
"2266","Dublin plus Mid East","1994","Breeding sheep",713.6
"2267","Border","1994","Breeding sheep",766.5
"2268","Midland","1994","Breeding sheep",356.6
"2269","West","1994","Breeding sheep",1150.2
"2270","Mid-West","1994","Breeding sheep",194.8
"2271","South-East","1994","Breeding sheep",909.5
"2272","South-West","1994","Breeding sheep",649.9
"2273","State","1995","Breeding sheep",4613.6
"2274","Dublin plus Mid East","1995","Breeding sheep",683.7
"2275","Border","1995","Breeding sheep",759.4
"2276","Midland","1995","Breeding sheep",337.8
"2277","West","1995","Breeding sheep",1149.2
"2278","Mid-West","1995","Breeding sheep",184.3
"2279","South-East","1995","Breeding sheep",870.2
"2280","South-West","1995","Breeding sheep",628.7
"2281","State","1996","Breeding sheep",4465.8
"2282","Dublin plus Mid East","1996","Breeding sheep",655.9
"2283","Border","1996","Breeding sheep",741.4
"2284","Midland","1996","Breeding sheep",309.5
"2285","West","1996","Breeding sheep",1136.1
"2286","Mid-West","1996","Breeding sheep",173.4
"2287","South-East","1996","Breeding sheep",834.2
"2288","South-West","1996","Breeding sheep",615.4
"2289","State","1997","Breeding sheep",4491.4
"2290","Dublin plus Mid East","1997","Breeding sheep",659.6
"2291","Border","1997","Breeding sheep",746.5
"2292","Midland","1997","Breeding sheep",316.5
"2293","West","1997","Breeding sheep",1148.5
"2294","Mid-West","1997","Breeding sheep",170.8
"2295","South-East","1997","Breeding sheep",832.9
"2296","South-West","1997","Breeding sheep",616.7
"2297","State","1998","Breeding sheep",4577.4
"2298","Dublin plus Mid East","1998","Breeding sheep",664.7
"2299","Border","1998","Breeding sheep",770.3
"2300","Midland","1998","Breeding sheep",327.1
"2301","West","1998","Breeding sheep",1178
"2302","Mid-West","1998","Breeding sheep",178
"2303","South-East","1998","Breeding sheep",834.6
"2304","South-West","1998","Breeding sheep",624.6
"2305","State","1999","Breeding sheep",4398.9
"2306","Dublin plus Mid East","1999","Breeding sheep",682.3
"2307","Border","1999","Breeding sheep",708.6
"2308","Midland","1999","Breeding sheep",320.9
"2309","West","1999","Breeding sheep",1110.8
"2310","Mid-West","1999","Breeding sheep",165.3
"2311","South-East","1999","Breeding sheep",827
"2312","South-West","1999","Breeding sheep",583.8
"2313","State","2000","Breeding sheep",4216.4
"2314","Dublin plus Mid East","2000","Breeding sheep",591.8
"2315","Border","2000","Breeding sheep",776.5
"2316","Midland","2000","Breeding sheep",317.6
"2317","West","2000","Breeding sheep",1082.1
"2318","Mid-West","2000","Breeding sheep",146.5
"2319","South-East","2000","Breeding sheep",728.4
"2320","South-West","2000","Breeding sheep",573.2
"2321","State","2001","Breeding sheep",4019.5
"2322","Dublin plus Mid East","2001","Breeding sheep",557.2
"2323","Border","2001","Breeding sheep",742.9
"2324","Midland","2001","Breeding sheep",303.7
"2325","West","2001","Breeding sheep",1039.4
"2326","Mid-West","2001","Breeding sheep",140.3
"2327","South-East","2001","Breeding sheep",685.9
"2328","South-West","2001","Breeding sheep",549.9
"2329","State","2002","Breeding sheep",3909.4
"2330","Dublin plus Mid East","2002","Breeding sheep",549.5
"2331","Border","2002","Breeding sheep",708.7
"2332","Midland","2002","Breeding sheep",285.8
"2333","West","2002","Breeding sheep",1036.8
"2334","Mid-West","2002","Breeding sheep",138.2
"2335","South-East","2002","Breeding sheep",659
"2336","South-West","2002","Breeding sheep",531.6
"2337","State","2003","Breeding sheep",3717.9
"2338","Dublin plus Mid East","2003","Breeding sheep",529.7
"2339","Border","2003","Breeding sheep",693.1
"2340","Midland","2003","Breeding sheep",267.4
"2341","West","2003","Breeding sheep",971.8
"2342","Mid-West","2003","Breeding sheep",121.1
"2343","South-East","2003","Breeding sheep",603.9
"2344","South-West","2003","Breeding sheep",531.1
"2345","State","2004","Breeding sheep",3670
"2346","Dublin plus Mid East","2004","Breeding sheep",513.6
"2347","Border","2004","Breeding sheep",702
"2348","Midland","2004","Breeding sheep",264.4
"2349","West","2004","Breeding sheep",961.5
"2350","Mid-West","2004","Breeding sheep",113
"2351","South-East","2004","Breeding sheep",600
"2352","South-West","2004","Breeding sheep",515.3
"2353","State","1991","Ewes",4626.1
"2354","Dublin plus Mid East","1991","Ewes",706.4
"2355","Border","1991","Ewes",736.2
"2356","Midland","1991","Ewes",347.9
"2357","West","1991","Ewes",1102.7
"2358","Mid-West","1991","Ewes",191.7
"2359","South-East","1991","Ewes",906.8
"2360","South-West","1991","Ewes",634.3
"2361","State","1992","Ewes",4744.8
"2362","Dublin plus Mid East","1992","Ewes",711.9
"2363","Border","1992","Ewes",760.2
"2364","Midland","1992","Ewes",361.5
"2365","West","1992","Ewes",1131.1
"2366","Mid-West","1992","Ewes",198.4
"2367","South-East","1992","Ewes",913.6
"2368","South-West","1992","Ewes",668.1
"2369","State","1993","Ewes",4718.4
"2370","Dublin plus Mid East","1993","Ewes",708.4
"2371","Border","1993","Ewes",765.4
"2372","Midland","1993","Ewes",350.7
"2373","West","1993","Ewes",1140.8
"2374","Mid-West","1993","Ewes",195.5
"2375","South-East","1993","Ewes",900.5
"2376","South-West","1993","Ewes",657.2
"2377","State","1994","Ewes",4621.4
"2378","Dublin plus Mid East","1994","Ewes",695.8
"2379","Border","1994","Ewes",745.9
"2380","Midland","1994","Ewes",346
"2381","West","1994","Ewes",1123
"2382","Mid-West","1994","Ewes",189.3
"2383","South-East","1994","Ewes",886
"2384","South-West","1994","Ewes",635.3
"2385","State","1995","Ewes",4495.9
"2386","Dublin plus Mid East","1995","Ewes",665.7
"2387","Border","1995","Ewes",740.4
"2388","Midland","1995","Ewes",327.9
"2389","West","1995","Ewes",1120.7
"2390","Mid-West","1995","Ewes",178.8
"2391","South-East","1995","Ewes",847.7
"2392","South-West","1995","Ewes",614.5
"2393","State","1996","Ewes",4355.6
"2394","Dublin plus Mid East","1996","Ewes",639.6
"2395","Border","1996","Ewes",723.4
"2396","Midland","1996","Ewes",301.3
"2397","West","1996","Ewes",1107.2
"2398","Mid-West","1996","Ewes",168.5
"2399","South-East","1996","Ewes",813.9
"2400","South-West","1996","Ewes",601.7
"2401","State","1997","Ewes",4379.3
"2402","Dublin plus Mid East","1997","Ewes",643.4
"2403","Border","1997","Ewes",727.5
"2404","Midland","1997","Ewes",308.1
"2405","West","1997","Ewes",1120.4
"2406","Mid-West","1997","Ewes",165.8
"2407","South-East","1997","Ewes",811.9
"2408","South-West","1997","Ewes",602.3
"2409","State","1998","Ewes",4463.3
"2410","Dublin plus Mid East","1998","Ewes",647.9
"2411","Border","1998","Ewes",750.9
"2412","Midland","1998","Ewes",318.1
"2413","West","1998","Ewes",1149.8
"2414","Mid-West","1998","Ewes",173.2
"2415","South-East","1998","Ewes",813.8
"2416","South-West","1998","Ewes",609.6
"2417","State","1999","Ewes",4287.2
"2418","Dublin plus Mid East","1999","Ewes",665.6
"2419","Border","1999","Ewes",688.6
"2420","Midland","1999","Ewes",311.9
"2421","West","1999","Ewes",1084.1
"2422","Mid-West","1999","Ewes",160.7
"2423","South-East","1999","Ewes",806.4
"2424","South-West","1999","Ewes",569.8
"2425","State","2000","Ewes",4106.9
"2426","Dublin plus Mid East","2000","Ewes",575.7
"2427","Border","2000","Ewes",755.7
"2428","Midland","2000","Ewes",308.7
"2429","West","2000","Ewes",1055.3
"2430","Mid-West","2000","Ewes",142.3
"2431","South-East","2000","Ewes",709.3
"2432","South-West","2000","Ewes",559.8
"2433","State","2001","Ewes",3914.6
"2434","Dublin plus Mid East","2001","Ewes",542.2
"2435","Border","2001","Ewes",722.6
"2436","Midland","2001","Ewes",294.8
"2437","West","2001","Ewes",1014
"2438","Mid-West","2001","Ewes",136.4
"2439","South-East","2001","Ewes",667.5
"2440","South-West","2001","Ewes",537
"2441","State","2002","Ewes",3804.1
"2442","Dublin plus Mid East","2002","Ewes",534.1
"2443","Border","2002","Ewes",688.9
"2444","Midland","2002","Ewes",277.7
"2445","West","2002","Ewes",1010.8
"2446","Mid-West","2002","Ewes",134.1
"2447","South-East","2002","Ewes",640.7
"2448","South-West","2002","Ewes",517.9
"2449","State","2003","Ewes",3615.4
"2450","Dublin plus Mid East","2003","Ewes",514.8
"2451","Border","2003","Ewes",672.8
"2452","Midland","2003","Ewes",259.7
"2453","West","2003","Ewes",945.8
"2454","Mid-West","2003","Ewes",117.4
"2455","South-East","2003","Ewes",587.5
"2456","South-West","2003","Ewes",517.5
"2457","State","2004","Ewes",3570.4
"2458","Dublin plus Mid East","2004","Ewes",499.5
"2459","Border","2004","Ewes",682.4
"2460","Midland","2004","Ewes",256.4
"2461","West","2004","Ewes",935.1
"2462","Mid-West","2004","Ewes",109.4
"2463","South-East","2004","Ewes",585.1
"2464","South-West","2004","Ewes",502.4
"2465","State","1991","Ewes: 2 years and over",4003.2
"2466","Dublin plus Mid East","1991","Ewes: 2 years and over",604.7
"2467","Border","1991","Ewes: 2 years and over",628
"2468","Midland","1991","Ewes: 2 years and over",308.8
"2469","West","1991","Ewes: 2 years and over",962.7
"2470","Mid-West","1991","Ewes: 2 years and over",169.9
"2471","South-East","1991","Ewes: 2 years and over",791.6
"2472","South-West","1991","Ewes: 2 years and over",537.5
"2473","State","1992","Ewes: 2 years and over",3953.2
"2474","Dublin plus Mid East","1992","Ewes: 2 years and over",585.2
"2475","Border","1992","Ewes: 2 years and over",623.6
"2476","Midland","1992","Ewes: 2 years and over",310.5
"2477","West","1992","Ewes: 2 years and over",938.5
"2478","Mid-West","1992","Ewes: 2 years and over",170.7
"2479","South-East","1992","Ewes: 2 years and over",762.2
"2480","South-West","1992","Ewes: 2 years and over",562.4
"2481","State","1993","Ewes: 2 years and over",3890.7
"2482","Dublin plus Mid East","1993","Ewes: 2 years and over",569.3
"2483","Border","1993","Ewes: 2 years and over",629.7
"2484","Midland","1993","Ewes: 2 years and over",297.7
"2485","West","1993","Ewes: 2 years and over",947.5
"2486","Mid-West","1993","Ewes: 2 years and over",163.8
"2487","South-East","1993","Ewes: 2 years and over",731.5
"2488","South-West","1993","Ewes: 2 years and over",551.2
"2489","State","1994","Ewes: 2 years and over",3752.8
"2490","Dublin plus Mid East","1994","Ewes: 2 years and over",543.9
"2491","Border","1994","Ewes: 2 years and over",599.7
"2492","Midland","1994","Ewes: 2 years and over",287.7
"2493","West","1994","Ewes: 2 years and over",926.6
"2494","Mid-West","1994","Ewes: 2 years and over",155.4
"2495","South-East","1994","Ewes: 2 years and over",709.8
"2496","South-West","1994","Ewes: 2 years and over",529.6
"2497","State","1995","Ewes: 2 years and over",3666.4
"2498","Dublin plus Mid East","1995","Ewes: 2 years and over",532.5
"2499","Border","1995","Ewes: 2 years and over",594.9
"2500","Midland","1995","Ewes: 2 years and over",275.1
"2501","West","1995","Ewes: 2 years and over",922.7
"2502","Mid-West","1995","Ewes: 2 years and over",150.4
"2503","South-East","1995","Ewes: 2 years and over",682.6
"2504","South-West","1995","Ewes: 2 years and over",508
"2505","State","1996","Ewes: 2 years and over",3526.8
"2506","Dublin plus Mid East","1996","Ewes: 2 years and over",516.4
"2507","Border","1996","Ewes: 2 years and over",573.2
"2508","Midland","1996","Ewes: 2 years and over",256.6
"2509","West","1996","Ewes: 2 years and over",900.6
"2510","Mid-West","1996","Ewes: 2 years and over",136.8
"2511","South-East","1996","Ewes: 2 years and over",657.2
"2512","South-West","1996","Ewes: 2 years and over",486
"2513","State","1997","Ewes: 2 years and over",3512
"2514","Dublin plus Mid East","1997","Ewes: 2 years and over",512.4
"2515","Border","1997","Ewes: 2 years and over",575.2
"2516","Midland","1997","Ewes: 2 years and over",255.2
"2517","West","1997","Ewes: 2 years and over",903.2
"2518","Mid-West","1997","Ewes: 2 years and over",135.4
"2519","South-East","1997","Ewes: 2 years and over",645.8
"2520","South-West","1997","Ewes: 2 years and over",484.9
"2521","State","1998","Ewes: 2 years and over",3536.4
"2522","Dublin plus Mid East","1998","Ewes: 2 years and over",502
"2523","Border","1998","Ewes: 2 years and over",580.2
"2524","Midland","1998","Ewes: 2 years and over",262.3
"2525","West","1998","Ewes: 2 years and over",919.9
"2526","Mid-West","1998","Ewes: 2 years and over",136.2
"2527","South-East","1998","Ewes: 2 years and over",646.1
"2528","South-West","1998","Ewes: 2 years and over",489.5
"2529","State","1999","Ewes: 2 years and over",3475.8
"2530","Dublin plus Mid East","1999","Ewes: 2 years and over",521.5
"2531","Border","1999","Ewes: 2 years and over",551.5
"2532","Midland","1999","Ewes: 2 years and over",265.7
"2533","West","1999","Ewes: 2 years and over",880.1
"2534","Mid-West","1999","Ewes: 2 years and over",137
"2535","South-East","1999","Ewes: 2 years and over",658.6
"2536","South-West","1999","Ewes: 2 years and over",461.4
"2537","State","2000","Ewes: 2 years and over",3398.3
"2538","Dublin plus Mid East","2000","Ewes: 2 years and over",474.2
"2539","Border","2000","Ewes: 2 years and over",624.9
"2540","Midland","2000","Ewes: 2 years and over",263.3
"2541","West","2000","Ewes: 2 years and over",874.2
"2542","Mid-West","2000","Ewes: 2 years and over",119.5
"2543","South-East","2000","Ewes: 2 years and over",579.6
"2544","South-West","2000","Ewes: 2 years and over",462.6
"2545","State","2001","Ewes: 2 years and over",3261.3
"2546","Dublin plus Mid East","2001","Ewes: 2 years and over",443.1
"2547","Border","2001","Ewes: 2 years and over",599.2
"2548","Midland","2001","Ewes: 2 years and over",254.1
"2549","West","2001","Ewes: 2 years and over",848.5
"2550","Mid-West","2001","Ewes: 2 years and over",117
"2551","South-East","2001","Ewes: 2 years and over",552.8
"2552","South-West","2001","Ewes: 2 years and over",446.7
"2553","State","2002","Ewes: 2 years and over",3150
"2554","Dublin plus Mid East","2002","Ewes: 2 years and over",430.2
"2555","Border","2002","Ewes: 2 years and over",567.9
"2556","Midland","2002","Ewes: 2 years and over",234.2
"2557","West","2002","Ewes: 2 years and over",841.9
"2558","Mid-West","2002","Ewes: 2 years and over",113.7
"2559","South-East","2002","Ewes: 2 years and over",531.9
"2560","South-West","2002","Ewes: 2 years and over",430.2
"2561","State","2003","Ewes: 2 years and over",3026.8
"2562","Dublin plus Mid East","2003","Ewes: 2 years and over",420.8
"2563","Border","2003","Ewes: 2 years and over",561.2
"2564","Midland","2003","Ewes: 2 years and over",225.5
"2565","West","2003","Ewes: 2 years and over",795.3
"2566","Mid-West","2003","Ewes: 2 years and over",102.3
"2567","South-East","2003","Ewes: 2 years and over",486.5
"2568","South-West","2003","Ewes: 2 years and over",435.2
"2569","State","2004","Ewes: 2 years and over",2985.6
"2570","Dublin plus Mid East","2004","Ewes: 2 years and over",411.6
"2571","Border","2004","Ewes: 2 years and over",572
"2572","Midland","2004","Ewes: 2 years and over",218.3
"2573","West","2004","Ewes: 2 years and over",788.9
"2574","Mid-West","2004","Ewes: 2 years and over",95.9
"2575","South-East","2004","Ewes: 2 years and over",471.2
"2576","South-West","2004","Ewes: 2 years and over",427.6
"2577","State","1991","Ewes: under 2 years",622.8
"2578","Dublin plus Mid East","1991","Ewes: under 2 years",101.8
"2579","Border","1991","Ewes: under 2 years",108.2
"2580","Midland","1991","Ewes: under 2 years",39.1
"2581","West","1991","Ewes: under 2 years",140
"2582","Mid-West","1991","Ewes: under 2 years",21.8
"2583","South-East","1991","Ewes: under 2 years",115.2
"2584","South-West","1991","Ewes: under 2 years",96.8
"2585","State","1992","Ewes: under 2 years",791.6
"2586","Dublin plus Mid East","1992","Ewes: under 2 years",126.7
"2587","Border","1992","Ewes: under 2 years",136.7
"2588","Midland","1992","Ewes: under 2 years",51
"2589","West","1992","Ewes: under 2 years",192.6
"2590","Mid-West","1992","Ewes: under 2 years",27.7
"2591","South-East","1992","Ewes: under 2 years",151.3
"2592","South-West","1992","Ewes: under 2 years",105.6
"2593","State","1993","Ewes: under 2 years",827.7
"2594","Dublin plus Mid East","1993","Ewes: under 2 years",139.2
"2595","Border","1993","Ewes: under 2 years",135.7
"2596","Midland","1993","Ewes: under 2 years",52.9
"2597","West","1993","Ewes: under 2 years",193.1
"2598","Mid-West","1993","Ewes: under 2 years",31.8
"2599","South-East","1993","Ewes: under 2 years",169.1
"2600","South-West","1993","Ewes: under 2 years",105.9
"2601","State","1994","Ewes: under 2 years",868.6
"2602","Dublin plus Mid East","1994","Ewes: under 2 years",151.9
"2603","Border","1994","Ewes: under 2 years",146.3
"2604","Midland","1994","Ewes: under 2 years",58.2
"2605","West","1994","Ewes: under 2 years",196.4
"2606","Mid-West","1994","Ewes: under 2 years",33.9
"2607","South-East","1994","Ewes: under 2 years",176.2
"2608","South-West","1994","Ewes: under 2 years",105.7
"2609","State","1995","Ewes: under 2 years",829.5
"2610","Dublin plus Mid East","1995","Ewes: under 2 years",133.5
"2611","Border","1995","Ewes: under 2 years",145.7
"2612","Midland","1995","Ewes: under 2 years",52.7
"2613","West","1995","Ewes: under 2 years",197.8
"2614","Mid-West","1995","Ewes: under 2 years",28.3
"2615","South-East","1995","Ewes: under 2 years",165.2
"2616","South-West","1995","Ewes: under 2 years",106.2
"2617","State","1996","Ewes: under 2 years",828.8
"2618","Dublin plus Mid East","1996","Ewes: under 2 years",123.2
"2619","Border","1996","Ewes: under 2 years",150.2
"2620","Midland","1996","Ewes: under 2 years",44.7
"2621","West","1996","Ewes: under 2 years",206.6
"2622","Mid-West","1996","Ewes: under 2 years",31.7
"2623","South-East","1996","Ewes: under 2 years",156.7
"2624","South-West","1996","Ewes: under 2 years",115.7
"2625","State","1997","Ewes: under 2 years",867.3
"2626","Dublin plus Mid East","1997","Ewes: under 2 years",131
"2627","Border","1997","Ewes: under 2 years",152.3
"2628","Midland","1997","Ewes: under 2 years",52.9
"2629","West","1997","Ewes: under 2 years",217.2
"2630","Mid-West","1997","Ewes: under 2 years",30.4
"2631","South-East","1997","Ewes: under 2 years",166.1
"2632","South-West","1997","Ewes: under 2 years",117.4
"2633","State","1998","Ewes: under 2 years",926.9
"2634","Dublin plus Mid East","1998","Ewes: under 2 years",145.9
"2635","Border","1998","Ewes: under 2 years",170.7
"2636","Midland","1998","Ewes: under 2 years",55.8
"2637","West","1998","Ewes: under 2 years",229.9
"2638","Mid-West","1998","Ewes: under 2 years",37
"2639","South-East","1998","Ewes: under 2 years",167.7
"2640","South-West","1998","Ewes: under 2 years",120.1
"2641","State","1999","Ewes: under 2 years",811.4
"2642","Dublin plus Mid East","1999","Ewes: under 2 years",145
"2643","Border","1999","Ewes: under 2 years",137.4
"2644","Midland","1999","Ewes: under 2 years",45.5
"2645","West","1999","Ewes: under 2 years",203.8
"2646","Mid-West","1999","Ewes: under 2 years",23.4
