"","Statistic","Year","Type.of.Sheep","Size.of.Flock","value"
"187","Number of Farms with Sheep (Thousand)","2001","Ewes","500-999",0.5
"188","Number of Sheep (Thousand)","2001","Ewes","500-999",297.8
"189","Number of Farms with Sheep (Thousand)","2003","Ewes","500-999",0.4
"190","Number of Sheep (Thousand)","2003","Ewes","500-999",287.6
"191","Number of Farms with Sheep (Thousand)","2005","Ewes","500-999",0.4
"192","Number of Sheep (Thousand)","2005","Ewes","500-999",249
"193","Number of Farms with Sheep (Thousand)","1995","Sheep","1000+",0.1
"194","Number of Sheep (Thousand)","1995","Sheep","1000+",144.4
"195","Number of Farms with Sheep (Thousand)","1997","Sheep","1000+",0.1
"196","Number of Sheep (Thousand)","1997","Sheep","1000+",175.3
"197","Number of Farms with Sheep (Thousand)","1999","Sheep","1000+",0.1
"198","Number of Sheep (Thousand)","1999","Sheep","1000+",143.8
"199","Number of Farms with Sheep (Thousand)","2001","Sheep","1000+",0.1
"200","Number of Sheep (Thousand)","2001","Sheep","1000+",150.4
"201","Number of Farms with Sheep (Thousand)","2003","Sheep","1000+",0.1
"202","Number of Sheep (Thousand)","2003","Sheep","1000+",189
"203","Number of Farms with Sheep (Thousand)","2005","Sheep","1000+",0.1
"204","Number of Sheep (Thousand)","2005","Sheep","1000+",199.3
"205","Number of Farms with Sheep (Thousand)","1995","Ewes","1000+",0
"206","Number of Sheep (Thousand)","1995","Ewes","1000+",48.2
"207","Number of Farms with Sheep (Thousand)","1997","Ewes","1000+",0
"208","Number of Sheep (Thousand)","1997","Ewes","1000+",35.7
"209","Number of Farms with Sheep (Thousand)","1999","Ewes","1000+",0
"210","Number of Sheep (Thousand)","1999","Ewes","1000+",41.1
"211","Number of Farms with Sheep (Thousand)","2001","Ewes","1000+",0
"212","Number of Sheep (Thousand)","2001","Ewes","1000+",50.7
"213","Number of Farms with Sheep (Thousand)","2003","Ewes","1000+",0.1
"214","Number of Sheep (Thousand)","2003","Ewes","1000+",74.7
"215","Number of Farms with Sheep (Thousand)","2005","Ewes","1000+",0
"216","Number of Sheep (Thousand)","2005","Ewes","1000+",58.1
