"","Statistic","Year","Type.of.Pig","Size.of.Herd","value"
"1","Number of Farms with Pigs (Thousand)","1973","Pigs","Total",35.7
"2","Number of Pigs (Thousand)","1973","Pigs","Total",1035.3
"3","Number of Farms with Pigs (Thousand)","1975","Pigs","Total",25
"4","Number of Pigs (Thousand)","1975","Pigs","Total",880.2
"5","Number of Farms with Pigs (Thousand)","1977","Pigs","Total",19.7
"6","Number of Pigs (Thousand)","1977","Pigs","Total",968.6
"7","Number of Farms with Pigs (Thousand)","1979","Pigs","Total",13.9
"8","Number of Pigs (Thousand)","1979","Pigs","Total",1057
"9","Number of Farms with Pigs (Thousand)","1981","Pigs","Total",10.1
"10","Number of Pigs (Thousand)","1981","Pigs","Total",1027
"11","Number of Farms with Pigs (Thousand)","1983","Pigs","Total",9.2
"12","Number of Pigs (Thousand)","1983","Pigs","Total",1053.4
"13","Number of Farms with Pigs (Thousand)","1985","Pigs","Total",7.1
"14","Number of Pigs (Thousand)","1985","Pigs","Total",994.1
"15","Number of Farms with Pigs (Thousand)","1987","Pigs","Total",4.8
"16","Number of Pigs (Thousand)","1987","Pigs","Total",960.3
"17","Number of Farms with Pigs (Thousand)","1989","Pigs","Total",2.5
"18","Number of Pigs (Thousand)","1989","Pigs","Total",994.9
"19","Number of Farms with Pigs (Thousand)","1991","Pigs","Total",2.9
"20","Number of Pigs (Thousand)","1991","Pigs","Total",1345.5
"21","Number of Farms with Pigs (Thousand)","1993","Pigs","Total",2.8
"22","Number of Pigs (Thousand)","1993","Pigs","Total",1487.2
"23","Number of Farms with Pigs (Thousand)","1995","Pigs","Total",2.4
"24","Number of Pigs (Thousand)","1995","Pigs","Total",1542.3
"25","Number of Farms with Pigs (Thousand)","1997","Pigs","Total",2
"26","Number of Pigs (Thousand)","1997","Pigs","Total",1717
"27","Number of Farms with Pigs (Thousand)","1999","Pigs","Total",1.4
"28","Number of Pigs (Thousand)","1999","Pigs","Total",1762.9
"29","Number of Farms with Pigs (Thousand)","2001","Pigs","Total",1.4
"30","Number of Pigs (Thousand)","2001","Pigs","Total",1762.9
"31","Number of Farms with Pigs (Thousand)","2003","Pigs","Total",0.7
"32","Number of Pigs (Thousand)","2003","Pigs","Total",1731
"33","Number of Farms with Pigs (Thousand)","2005","Pigs","Total",0.6
"34","Number of Pigs (Thousand)","2005","Pigs","Total",1670.8
"35","Number of Farms with Pigs (Thousand)","1973","Female Breeding Pigs","Total",26.3
"36","Number of Pigs (Thousand)","1973","Female Breeding Pigs","Total",126.4
"37","Number of Farms with Pigs (Thousand)","1975","Female Breeding Pigs","Total",16.9
"38","Number of Pigs (Thousand)","1975","Female Breeding Pigs","Total",110
"39","Number of Farms with Pigs (Thousand)","1977","Female Breeding Pigs","Total",13
"40","Number of Pigs (Thousand)","1977","Female Breeding Pigs","Total",113.7
"41","Number of Farms with Pigs (Thousand)","1979","Female Breeding Pigs","Total",9.2
"42","Number of Pigs (Thousand)","1979","Female Breeding Pigs","Total",117.1
"43","Number of Farms with Pigs (Thousand)","1981","Female Breeding Pigs","Total",6.6
"44","Number of Pigs (Thousand)","1981","Female Breeding Pigs","Total",117
"45","Number of Farms with Pigs (Thousand)","1983","Female Breeding Pigs","Total",5.7
"46","Number of Pigs (Thousand)","1983","Female Breeding Pigs","Total",117.9
"47","Number of Farms with Pigs (Thousand)","1985","Female Breeding Pigs","Total",4.3
"48","Number of Pigs (Thousand)","1985","Female Breeding Pigs","Total",112.6
"49","Number of Farms with Pigs (Thousand)","1987","Female Breeding Pigs","Total",2.7
"50","Number of Pigs (Thousand)","1987","Female Breeding Pigs","Total",107.8
"51","Number of Farms with Pigs (Thousand)","1989","Female Breeding Pigs","Total",1.8
"52","Number of Pigs (Thousand)","1989","Female Breeding Pigs","Total",114.9
"53","Number of Farms with Pigs (Thousand)","1991","Female Breeding Pigs","Total",2
"54","Number of Pigs (Thousand)","1991","Female Breeding Pigs","Total",160
"55","Number of Farms with Pigs (Thousand)","1993","Female Breeding Pigs","Total",1.9
"56","Number of Pigs (Thousand)","1993","Female Breeding Pigs","Total",168.7
"57","Number of Farms with Pigs (Thousand)","1995","Female Breeding Pigs","Total",1.6
"58","Number of Pigs (Thousand)","1995","Female Breeding Pigs","Total",175.6
"59","Number of Farms with Pigs (Thousand)","1997","Female Breeding Pigs","Total",1.5
"60","Number of Pigs (Thousand)","1997","Female Breeding Pigs","Total",192.4
"61","Number of Farms with Pigs (Thousand)","1999","Female Breeding Pigs","Total",1
"62","Number of Pigs (Thousand)","1999","Female Breeding Pigs","Total",186.2
"63","Number of Farms with Pigs (Thousand)","2001","Female Breeding Pigs","Total",0.9
"64","Number of Pigs (Thousand)","2001","Female Breeding Pigs","Total",187.2
"65","Number of Farms with Pigs (Thousand)","2003","Female Breeding Pigs","Total",0.5
"66","Number of Pigs (Thousand)","2003","Female Breeding Pigs","Total",175.5
"67","Number of Farms with Pigs (Thousand)","2005","Female Breeding Pigs","Total",0.4
"68","Number of Pigs (Thousand)","2005","Female Breeding Pigs","Total",174.7
"69","Number of Farms with Pigs (Thousand)","1973","Young Pigs (Less than 50kg Liveweight)","Total",20.9
"70","Number of Pigs (Thousand)","1973","Young Pigs (Less than 50kg Liveweight)","Total",533.3
"71","Number of Farms with Pigs (Thousand)","1975","Young Pigs (Less than 50kg Liveweight)","Total",14
"72","Number of Pigs (Thousand)","1975","Young Pigs (Less than 50kg Liveweight)","Total",459.8
"73","Number of Farms with Pigs (Thousand)","1977","Young Pigs (Less than 50kg Liveweight)","Total",10.7
"74","Number of Pigs (Thousand)","1977","Young Pigs (Less than 50kg Liveweight)","Total",501.4
"75","Number of Farms with Pigs (Thousand)","1979","Young Pigs (Less than 50kg Liveweight)","Total",7.9
"76","Number of Pigs (Thousand)","1979","Young Pigs (Less than 50kg Liveweight)","Total",535.2
"77","Number of Farms with Pigs (Thousand)","1981","Young Pigs (Less than 50kg Liveweight)","Total",5.5
"78","Number of Pigs (Thousand)","1981","Young Pigs (Less than 50kg Liveweight)","Total",533.5
"79","Number of Farms with Pigs (Thousand)","1983","Young Pigs (Less than 50kg Liveweight)","Total",5
"80","Number of Pigs (Thousand)","1983","Young Pigs (Less than 50kg Liveweight)","Total",552.2
"81","Number of Farms with Pigs (Thousand)","1985","Young Pigs (Less than 50kg Liveweight)","Total",4
"82","Number of Pigs (Thousand)","1985","Young Pigs (Less than 50kg Liveweight)","Total",525.5
"83","Number of Farms with Pigs (Thousand)","1987","Young Pigs (Less than 50kg Liveweight)","Total",2.5
"84","Number of Pigs (Thousand)","1987","Young Pigs (Less than 50kg Liveweight)","Total",512.3
"85","Number of Farms with Pigs (Thousand)","1989","Young Pigs (Less than 50kg Liveweight)","Total",1.4
"86","Number of Pigs (Thousand)","1989","Young Pigs (Less than 50kg Liveweight)","Total",548.8
"87","Number of Farms with Pigs (Thousand)","1991","Young Pigs (Less than 50kg Liveweight)","Total",1.4
"88","Number of Pigs (Thousand)","1991","Young Pigs (Less than 50kg Liveweight)","Total",767.8
"89","Number of Farms with Pigs (Thousand)","1993","Young Pigs (Less than 50kg Liveweight)","Total",1.4
"90","Number of Pigs (Thousand)","1993","Young Pigs (Less than 50kg Liveweight)","Total",857.8
"91","Number of Farms with Pigs (Thousand)","1995","Young Pigs (Less than 50kg Liveweight)","Total",1.7
"92","Number of Pigs (Thousand)","1995","Young Pigs (Less than 50kg Liveweight)","Total",875.1
"93","Number of Farms with Pigs (Thousand)","1997","Young Pigs (Less than 50kg Liveweight)","Total",1.5
"94","Number of Pigs (Thousand)","1997","Young Pigs (Less than 50kg Liveweight)","Total",974.9
"95","Number of Farms with Pigs (Thousand)","1999","Young Pigs (Less than 50kg Liveweight)","Total",1
"96","Number of Pigs (Thousand)","1999","Young Pigs (Less than 50kg Liveweight)","Total",1006
"97","Number of Farms with Pigs (Thousand)","2001","Young Pigs (Less than 50kg Liveweight)","Total",1.1
"98","Number of Pigs (Thousand)","2001","Young Pigs (Less than 50kg Liveweight)","Total",1002
"99","Number of Farms with Pigs (Thousand)","2003","Young Pigs (Less than 50kg Liveweight)","Total",0.6
"100","Number of Pigs (Thousand)","2003","Young Pigs (Less than 50kg Liveweight)","Total",971.9
"101","Number of Farms with Pigs (Thousand)","2005","Young Pigs (Less than 50kg Liveweight)","Total",0.5
"102","Number of Pigs (Thousand)","2005","Young Pigs (Less than 50kg Liveweight)","Total",960.8
"103","Number of Farms with Pigs (Thousand)","1973","Fattening Pigs (50kg+ Liveweight)","Total",11.3
"104","Number of Pigs (Thousand)","1973","Fattening Pigs (50kg+ Liveweight)","Total",372.7
"105","Number of Farms with Pigs (Thousand)","1975","Fattening Pigs (50kg+ Liveweight)","Total",7.9
"106","Number of Pigs (Thousand)","1975","Fattening Pigs (50kg+ Liveweight)","Total",307.7
"107","Number of Farms with Pigs (Thousand)","1977","Fattening Pigs (50kg+ Liveweight)","Total",7.7
"108","Number of Pigs (Thousand)","1977","Fattening Pigs (50kg+ Liveweight)","Total",350.4
"109","Number of Farms with Pigs (Thousand)","1979","Fattening Pigs (50kg+ Liveweight)","Total",5.6
"110","Number of Pigs (Thousand)","1979","Fattening Pigs (50kg+ Liveweight)","Total",400.6
"111","Number of Farms with Pigs (Thousand)","1981","Fattening Pigs (50kg+ Liveweight)","Total",4.4
"112","Number of Pigs (Thousand)","1981","Fattening Pigs (50kg+ Liveweight)","Total",372.2
"113","Number of Farms with Pigs (Thousand)","1983","Fattening Pigs (50kg+ Liveweight)","Total",4.4
"114","Number of Pigs (Thousand)","1983","Fattening Pigs (50kg+ Liveweight)","Total",378.5
"115","Number of Farms with Pigs (Thousand)","1985","Fattening Pigs (50kg+ Liveweight)","Total",3.4
"116","Number of Pigs (Thousand)","1985","Fattening Pigs (50kg+ Liveweight)","Total",351.1
"117","Number of Farms with Pigs (Thousand)","1987","Fattening Pigs (50kg+ Liveweight)","Total",2.4
"118","Number of Pigs (Thousand)","1987","Fattening Pigs (50kg+ Liveweight)","Total",335.2
"119","Number of Farms with Pigs (Thousand)","1989","Fattening Pigs (50kg+ Liveweight)","Total",1.2
"120","Number of Pigs (Thousand)","1989","Fattening Pigs (50kg+ Liveweight)","Total",326.4
"121","Number of Farms with Pigs (Thousand)","1991","Fattening Pigs (50kg+ Liveweight)","Total",1.6
"122","Number of Pigs (Thousand)","1991","Fattening Pigs (50kg+ Liveweight)","Total",411.1
"123","Number of Farms with Pigs (Thousand)","1993","Fattening Pigs (50kg+ Liveweight)","Total",1.8
"124","Number of Pigs (Thousand)","1993","Fattening Pigs (50kg+ Liveweight)","Total",454.4
"125","Number of Farms with Pigs (Thousand)","1995","Fattening Pigs (50kg+ Liveweight)","Total",1.8
"126","Number of Pigs (Thousand)","1995","Fattening Pigs (50kg+ Liveweight)","Total",486.3
"127","Number of Farms with Pigs (Thousand)","1997","Fattening Pigs (50kg+ Liveweight)","Total",1.5
"128","Number of Pigs (Thousand)","1997","Fattening Pigs (50kg+ Liveweight)","Total",544.5
"129","Number of Farms with Pigs (Thousand)","1999","Fattening Pigs (50kg+ Liveweight)","Total",1
"130","Number of Pigs (Thousand)","1999","Fattening Pigs (50kg+ Liveweight)","Total",566.5
"131","Number of Farms with Pigs (Thousand)","2001","Fattening Pigs (50kg+ Liveweight)","Total",1
"132","Number of Pigs (Thousand)","2001","Fattening Pigs (50kg+ Liveweight)","Total",570
"133","Number of Farms with Pigs (Thousand)","2003","Fattening Pigs (50kg+ Liveweight)","Total",0.6
"134","Number of Pigs (Thousand)","2003","Fattening Pigs (50kg+ Liveweight)","Total",580.8
"135","Number of Farms with Pigs (Thousand)","2005","Fattening Pigs (50kg+ Liveweight)","Total",0.4
"136","Number of Pigs (Thousand)","2005","Fattening Pigs (50kg+ Liveweight)","Total",533
"137","Number of Farms with Pigs (Thousand)","1973","Pigs","Less than 10",NA
"138","Number of Pigs (Thousand)","1973","Pigs","Less than 10",NA
"139","Number of Farms with Pigs (Thousand)","1975","Pigs","Less than 10",NA
"140","Number of Pigs (Thousand)","1975","Pigs","Less than 10",NA
"141","Number of Farms with Pigs (Thousand)","1977","Pigs","Less than 10",NA
"142","Number of Pigs (Thousand)","1977","Pigs","Less than 10",NA
"143","Number of Farms with Pigs (Thousand)","1979","Pigs","Less than 10",NA
"144","Number of Pigs (Thousand)","1979","Pigs","Less than 10",NA
"145","Number of Farms with Pigs (Thousand)","1981","Pigs","Less than 10",NA
"146","Number of Pigs (Thousand)","1981","Pigs","Less than 10",NA
"147","Number of Farms with Pigs (Thousand)","1983","Pigs","Less than 10",NA
"148","Number of Pigs (Thousand)","1983","Pigs","Less than 10",NA
"149","Number of Farms with Pigs (Thousand)","1985","Pigs","Less than 10",NA
"150","Number of Pigs (Thousand)","1985","Pigs","Less than 10",NA
"151","Number of Farms with Pigs (Thousand)","1987","Pigs","Less than 10",NA
"152","Number of Pigs (Thousand)","1987","Pigs","Less than 10",NA
"153","Number of Farms with Pigs (Thousand)","1989","Pigs","Less than 10",NA
"154","Number of Pigs (Thousand)","1989","Pigs","Less than 10",NA
"155","Number of Farms with Pigs (Thousand)","1991","Pigs","Less than 10",NA
"156","Number of Pigs (Thousand)","1991","Pigs","Less than 10",NA
"157","Number of Farms with Pigs (Thousand)","1993","Pigs","Less than 10",NA
"158","Number of Pigs (Thousand)","1993","Pigs","Less than 10",NA
"159","Number of Farms with Pigs (Thousand)","1995","Pigs","Less than 10",NA
"160","Number of Pigs (Thousand)","1995","Pigs","Less than 10",NA
"161","Number of Farms with Pigs (Thousand)","1997","Pigs","Less than 10",NA
"162","Number of Pigs (Thousand)","1997","Pigs","Less than 10",NA
"163","Number of Farms with Pigs (Thousand)","1999","Pigs","Less than 10",NA
"164","Number of Pigs (Thousand)","1999","Pigs","Less than 10",NA
"165","Number of Farms with Pigs (Thousand)","2001","Pigs","Less than 10",NA
"166","Number of Pigs (Thousand)","2001","Pigs","Less than 10",NA
"167","Number of Farms with Pigs (Thousand)","2003","Pigs","Less than 10",NA
"168","Number of Pigs (Thousand)","2003","Pigs","Less than 10",NA
"169","Number of Farms with Pigs (Thousand)","2005","Pigs","Less than 10",NA
"170","Number of Pigs (Thousand)","2005","Pigs","Less than 10",NA
"171","Number of Farms with Pigs (Thousand)","1973","Female Breeding Pigs","Less than 10",24.4
"172","Number of Pigs (Thousand)","1973","Female Breeding Pigs","Less than 10",63.7
"173","Number of Farms with Pigs (Thousand)","1975","Female Breeding Pigs","Less than 10",15.5
"174","Number of Pigs (Thousand)","1975","Female Breeding Pigs","Less than 10",39.3
"175","Number of Farms with Pigs (Thousand)","1977","Female Breeding Pigs","Less than 10",11.6
"176","Number of Pigs (Thousand)","1977","Female Breeding Pigs","Less than 10",29.4
"177","Number of Farms with Pigs (Thousand)","1979","Female Breeding Pigs","Less than 10",7.9
"178","Number of Pigs (Thousand)","1979","Female Breeding Pigs","Less than 10",19.7
"179","Number of Farms with Pigs (Thousand)","1981","Female Breeding Pigs","Less than 10",5.4
"180","Number of Pigs (Thousand)","1981","Female Breeding Pigs","Less than 10",14.2
"181","Number of Farms with Pigs (Thousand)","1983","Female Breeding Pigs","Less than 10",4.6
"182","Number of Pigs (Thousand)","1983","Female Breeding Pigs","Less than 10",12.6
"183","Number of Farms with Pigs (Thousand)","1985","Female Breeding Pigs","Less than 10",3.4
"184","Number of Pigs (Thousand)","1985","Female Breeding Pigs","Less than 10",9.5
"185","Number of Farms with Pigs (Thousand)","1987","Female Breeding Pigs","Less than 10",2
"186","Number of Pigs (Thousand)","1987","Female Breeding Pigs","Less than 10",5.5
"187","Number of Farms with Pigs (Thousand)","1989","Female Breeding Pigs","Less than 10",1.2
"188","Number of Pigs (Thousand)","1989","Female Breeding Pigs","Less than 10",3.3
"189","Number of Farms with Pigs (Thousand)","1991","Female Breeding Pigs","Less than 10",1.2
"190","Number of Pigs (Thousand)","1991","Female Breeding Pigs","Less than 10",3.1
"191","Number of Farms with Pigs (Thousand)","1993","Female Breeding Pigs","Less than 10",1.3
"192","Number of Pigs (Thousand)","1993","Female Breeding Pigs","Less than 10",3.4
"193","Number of Farms with Pigs (Thousand)","1995","Female Breeding Pigs","Less than 10",1
"194","Number of Pigs (Thousand)","1995","Female Breeding Pigs","Less than 10",2.5
"195","Number of Farms with Pigs (Thousand)","1997","Female Breeding Pigs","Less than 10",0.8
"196","Number of Pigs (Thousand)","1997","Female Breeding Pigs","Less than 10",2
"197","Number of Farms with Pigs (Thousand)","1999","Female Breeding Pigs","Less than 10",0.5
"198","Number of Pigs (Thousand)","1999","Female Breeding Pigs","Less than 10",1.2
"199","Number of Farms with Pigs (Thousand)","2001","Female Breeding Pigs","Less than 10",0.5
"200","Number of Pigs (Thousand)","2001","Female Breeding Pigs","Less than 10",1.1
"201","Number of Farms with Pigs (Thousand)","2003","Female Breeding Pigs","Less than 10",0
"202","Number of Pigs (Thousand)","2003","Female Breeding Pigs","Less than 10",0.2
"203","Number of Farms with Pigs (Thousand)","2005","Female Breeding Pigs","Less than 10",0.1
"204","Number of Pigs (Thousand)","2005","Female Breeding Pigs","Less than 10",0.1
"205","Number of Farms with Pigs (Thousand)","1973","Young Pigs (Less than 50kg Liveweight)","Less than 10",NA
"206","Number of Pigs (Thousand)","1973","Young Pigs (Less than 50kg Liveweight)","Less than 10",NA
"207","Number of Farms with Pigs (Thousand)","1975","Young Pigs (Less than 50kg Liveweight)","Less than 10",NA
"208","Number of Pigs (Thousand)","1975","Young Pigs (Less than 50kg Liveweight)","Less than 10",NA
"209","Number of Farms with Pigs (Thousand)","1977","Young Pigs (Less than 50kg Liveweight)","Less than 10",NA
"210","Number of Pigs (Thousand)","1977","Young Pigs (Less than 50kg Liveweight)","Less than 10",NA
"211","Number of Farms with Pigs (Thousand)","1979","Young Pigs (Less than 50kg Liveweight)","Less than 10",NA
"212","Number of Pigs (Thousand)","1979","Young Pigs (Less than 50kg Liveweight)","Less than 10",NA
"213","Number of Farms with Pigs (Thousand)","1981","Young Pigs (Less than 50kg Liveweight)","Less than 10",NA
"214","Number of Pigs (Thousand)","1981","Young Pigs (Less than 50kg Liveweight)","Less than 10",NA
"215","Number of Farms with Pigs (Thousand)","1983","Young Pigs (Less than 50kg Liveweight)","Less than 10",NA
"216","Number of Pigs (Thousand)","1983","Young Pigs (Less than 50kg Liveweight)","Less than 10",NA
"217","Number of Farms with Pigs (Thousand)","1985","Young Pigs (Less than 50kg Liveweight)","Less than 10",NA
"218","Number of Pigs (Thousand)","1985","Young Pigs (Less than 50kg Liveweight)","Less than 10",NA
"219","Number of Farms with Pigs (Thousand)","1987","Young Pigs (Less than 50kg Liveweight)","Less than 10",NA
"220","Number of Pigs (Thousand)","1987","Young Pigs (Less than 50kg Liveweight)","Less than 10",NA
"221","Number of Farms with Pigs (Thousand)","1989","Young Pigs (Less than 50kg Liveweight)","Less than 10",NA
"222","Number of Pigs (Thousand)","1989","Young Pigs (Less than 50kg Liveweight)","Less than 10",NA
"223","Number of Farms with Pigs (Thousand)","1991","Young Pigs (Less than 50kg Liveweight)","Less than 10",NA
"224","Number of Pigs (Thousand)","1991","Young Pigs (Less than 50kg Liveweight)","Less than 10",NA
"225","Number of Farms with Pigs (Thousand)","1993","Young Pigs (Less than 50kg Liveweight)","Less than 10",NA
"226","Number of Pigs (Thousand)","1993","Young Pigs (Less than 50kg Liveweight)","Less than 10",NA
"227","Number of Farms with Pigs (Thousand)","1995","Young Pigs (Less than 50kg Liveweight)","Less than 10",NA
"228","Number of Pigs (Thousand)","1995","Young Pigs (Less than 50kg Liveweight)","Less than 10",NA
"229","Number of Farms with Pigs (Thousand)","1997","Young Pigs (Less than 50kg Liveweight)","Less than 10",NA
"230","Number of Pigs (Thousand)","1997","Young Pigs (Less than 50kg Liveweight)","Less than 10",NA
"231","Number of Farms with Pigs (Thousand)","1999","Young Pigs (Less than 50kg Liveweight)","Less than 10",NA
"232","Number of Pigs (Thousand)","1999","Young Pigs (Less than 50kg Liveweight)","Less than 10",NA
"233","Number of Farms with Pigs (Thousand)","2001","Young Pigs (Less than 50kg Liveweight)","Less than 10",NA
"234","Number of Pigs (Thousand)","2001","Young Pigs (Less than 50kg Liveweight)","Less than 10",NA
"235","Number of Farms with Pigs (Thousand)","2003","Young Pigs (Less than 50kg Liveweight)","Less than 10",NA
"236","Number of Pigs (Thousand)","2003","Young Pigs (Less than 50kg Liveweight)","Less than 10",NA
"237","Number of Farms with Pigs (Thousand)","2005","Young Pigs (Less than 50kg Liveweight)","Less than 10",NA
"238","Number of Pigs (Thousand)","2005","Young Pigs (Less than 50kg Liveweight)","Less than 10",NA
"239","Number of Farms with Pigs (Thousand)","1973","Fattening Pigs (50kg+ Liveweight)","Less than 10",NA
"240","Number of Pigs (Thousand)","1973","Fattening Pigs (50kg+ Liveweight)","Less than 10",NA
"241","Number of Farms with Pigs (Thousand)","1975","Fattening Pigs (50kg+ Liveweight)","Less than 10",NA
"242","Number of Pigs (Thousand)","1975","Fattening Pigs (50kg+ Liveweight)","Less than 10",NA
"243","Number of Farms with Pigs (Thousand)","1977","Fattening Pigs (50kg+ Liveweight)","Less than 10",NA
"244","Number of Pigs (Thousand)","1977","Fattening Pigs (50kg+ Liveweight)","Less than 10",NA
"245","Number of Farms with Pigs (Thousand)","1979","Fattening Pigs (50kg+ Liveweight)","Less than 10",NA
"246","Number of Pigs (Thousand)","1979","Fattening Pigs (50kg+ Liveweight)","Less than 10",NA
"247","Number of Farms with Pigs (Thousand)","1981","Fattening Pigs (50kg+ Liveweight)","Less than 10",NA
"248","Number of Pigs (Thousand)","1981","Fattening Pigs (50kg+ Liveweight)","Less than 10",NA
"249","Number of Farms with Pigs (Thousand)","1983","Fattening Pigs (50kg+ Liveweight)","Less than 10",NA
"250","Number of Pigs (Thousand)","1983","Fattening Pigs (50kg+ Liveweight)","Less than 10",NA
"251","Number of Farms with Pigs (Thousand)","1985","Fattening Pigs (50kg+ Liveweight)","Less than 10",NA
"252","Number of Pigs (Thousand)","1985","Fattening Pigs (50kg+ Liveweight)","Less than 10",NA
"253","Number of Farms with Pigs (Thousand)","1987","Fattening Pigs (50kg+ Liveweight)","Less than 10",NA
"254","Number of Pigs (Thousand)","1987","Fattening Pigs (50kg+ Liveweight)","Less than 10",NA
"255","Number of Farms with Pigs (Thousand)","1989","Fattening Pigs (50kg+ Liveweight)","Less than 10",NA
"256","Number of Pigs (Thousand)","1989","Fattening Pigs (50kg+ Liveweight)","Less than 10",NA
"257","Number of Farms with Pigs (Thousand)","1991","Fattening Pigs (50kg+ Liveweight)","Less than 10",NA
"258","Number of Pigs (Thousand)","1991","Fattening Pigs (50kg+ Liveweight)","Less than 10",NA
"259","Number of Farms with Pigs (Thousand)","1993","Fattening Pigs (50kg+ Liveweight)","Less than 10",NA
"260","Number of Pigs (Thousand)","1993","Fattening Pigs (50kg+ Liveweight)","Less than 10",NA
"261","Number of Farms with Pigs (Thousand)","1995","Fattening Pigs (50kg+ Liveweight)","Less than 10",NA
"262","Number of Pigs (Thousand)","1995","Fattening Pigs (50kg+ Liveweight)","Less than 10",NA
"263","Number of Farms with Pigs (Thousand)","1997","Fattening Pigs (50kg+ Liveweight)","Less than 10",NA
"264","Number of Pigs (Thousand)","1997","Fattening Pigs (50kg+ Liveweight)","Less than 10",NA
"265","Number of Farms with Pigs (Thousand)","1999","Fattening Pigs (50kg+ Liveweight)","Less than 10",NA
"266","Number of Pigs (Thousand)","1999","Fattening Pigs (50kg+ Liveweight)","Less than 10",NA
"267","Number of Farms with Pigs (Thousand)","2001","Fattening Pigs (50kg+ Liveweight)","Less than 10",NA
"268","Number of Pigs (Thousand)","2001","Fattening Pigs (50kg+ Liveweight)","Less than 10",NA
"269","Number of Farms with Pigs (Thousand)","2003","Fattening Pigs (50kg+ Liveweight)","Less than 10",NA
"270","Number of Pigs (Thousand)","2003","Fattening Pigs (50kg+ Liveweight)","Less than 10",NA
"271","Number of Farms with Pigs (Thousand)","2005","Fattening Pigs (50kg+ Liveweight)","Less than 10",NA
"272","Number of Pigs (Thousand)","2005","Fattening Pigs (50kg+ Liveweight)","Less than 10",NA
"273","Number of Farms with Pigs (Thousand)","1973","Pigs","1-2",10.9
"274","Number of Pigs (Thousand)","1973","Pigs","1-2",16.5
"275","Number of Farms with Pigs (Thousand)","1975","Pigs","1-2",8.5
"276","Number of Pigs (Thousand)","1975","Pigs","1-2",12.7
"277","Number of Farms with Pigs (Thousand)","1977","Pigs","1-2",6.7
"278","Number of Pigs (Thousand)","1977","Pigs","1-2",9.9
"279","Number of Farms with Pigs (Thousand)","1979","Pigs","1-2",4.6
"280","Number of Pigs (Thousand)","1979","Pigs","1-2",6.8
"281","Number of Farms with Pigs (Thousand)","1981","Pigs","1-2",3.2
"282","Number of Pigs (Thousand)","1981","Pigs","1-2",4.7
"283","Number of Farms with Pigs (Thousand)","1983","Pigs","1-2",3.2
"284","Number of Pigs (Thousand)","1983","Pigs","1-2",4.9
"285","Number of Farms with Pigs (Thousand)","1985","Pigs","1-2",2.4
"286","Number of Pigs (Thousand)","1985","Pigs","1-2",3.5
"287","Number of Farms with Pigs (Thousand)","1987","Pigs","1-2",1.9
"288","Number of Pigs (Thousand)","1987","Pigs","1-2",2.8
"289","Number of Farms with Pigs (Thousand)","1989","Pigs","1-2",0.8
"290","Number of Pigs (Thousand)","1989","Pigs","1-2",1.2
"291","Number of Farms with Pigs (Thousand)","1991","Pigs","1-2",0.9
"292","Number of Pigs (Thousand)","1991","Pigs","1-2",1.4
"293","Number of Farms with Pigs (Thousand)","1993","Pigs","1-2",0.8
"294","Number of Pigs (Thousand)","1993","Pigs","1-2",1.2
"295","Number of Farms with Pigs (Thousand)","1995","Pigs","1-2",0.8
"296","Number of Pigs (Thousand)","1995","Pigs","1-2",1.2
"297","Number of Farms with Pigs (Thousand)","1997","Pigs","1-2",0.6
"298","Number of Pigs (Thousand)","1997","Pigs","1-2",0.9
"299","Number of Farms with Pigs (Thousand)","1999","Pigs","1-2",0.4
"300","Number of Pigs (Thousand)","1999","Pigs","1-2",0.5
"301","Number of Farms with Pigs (Thousand)","2001","Pigs","1-2",0.4
"302","Number of Pigs (Thousand)","2001","Pigs","1-2",0.6
"303","Number of Farms with Pigs (Thousand)","2003","Pigs","1-2",0.1
"304","Number of Pigs (Thousand)","2003","Pigs","1-2",0.2
"305","Number of Farms with Pigs (Thousand)","2005","Pigs","1-2",0.1
"306","Number of Pigs (Thousand)","2005","Pigs","1-2",0.1
"307","Number of Farms with Pigs (Thousand)","1973","Female Breeding Pigs","1-2",NA
"308","Number of Pigs (Thousand)","1973","Female Breeding Pigs","1-2",NA
"309","Number of Farms with Pigs (Thousand)","1975","Female Breeding Pigs","1-2",NA
"310","Number of Pigs (Thousand)","1975","Female Breeding Pigs","1-2",NA
"311","Number of Farms with Pigs (Thousand)","1977","Female Breeding Pigs","1-2",NA
"312","Number of Pigs (Thousand)","1977","Female Breeding Pigs","1-2",NA
"313","Number of Farms with Pigs (Thousand)","1979","Female Breeding Pigs","1-2",NA
"314","Number of Pigs (Thousand)","1979","Female Breeding Pigs","1-2",NA
"315","Number of Farms with Pigs (Thousand)","1981","Female Breeding Pigs","1-2",NA
"316","Number of Pigs (Thousand)","1981","Female Breeding Pigs","1-2",NA
"317","Number of Farms with Pigs (Thousand)","1983","Female Breeding Pigs","1-2",NA
"318","Number of Pigs (Thousand)","1983","Female Breeding Pigs","1-2",NA
"319","Number of Farms with Pigs (Thousand)","1985","Female Breeding Pigs","1-2",NA
"320","Number of Pigs (Thousand)","1985","Female Breeding Pigs","1-2",NA
"321","Number of Farms with Pigs (Thousand)","1987","Female Breeding Pigs","1-2",NA
"322","Number of Pigs (Thousand)","1987","Female Breeding Pigs","1-2",NA
