"","Year","Type.of.Animal","value"
"164","1988","Heifers in calf",294.9
"165","1989","Heifers in calf",272.3
"166","1990","Heifers in calf",276.6
"167","1991","Heifers in calf",273.8
"168","1992","Heifers in calf",316
"169","1993","Heifers in calf",315.1
"170","1994","Heifers in calf",316.6
"171","1995","Heifers in calf",364.6
"172","1996","Heifers in calf",382.8
"173","1997","Heifers in calf",398
"174","1998","Heifers in calf",352.6
"175","1999","Heifers in calf",335.6
"176","2000","Heifers in calf",343.3
"177","2001","Heifers in calf",353.7
"178","2002","Heifers in calf",357.4
"179","2003","Heifers in calf",366.5
"180","2004","Heifers in calf",381.6
"181","1975","Dairy heifers in calf",NA
"182","1976","Dairy heifers in calf",NA
"183","1977","Dairy heifers in calf",NA
"184","1978","Dairy heifers in calf",278.2
"185","1979","Dairy heifers in calf",261.4
"186","1980","Dairy heifers in calf",270.4
"187","1981","Dairy heifers in calf",281.6
"188","1982","Dairy heifers in calf",258.2
"189","1983","Dairy heifers in calf",238.5
"190","1984","Dairy heifers in calf",225.5
"191","1985","Dairy heifers in calf",212.1
"192","1986","Dairy heifers in calf",190.1
"193","1987","Dairy heifers in calf",188.4
"194","1988","Dairy heifers in calf",194.1
"195","1989","Dairy heifers in calf",172.3
"196","1990","Dairy heifers in calf",185.3
"197","1991","Dairy heifers in calf",182.1
"198","1992","Dairy heifers in calf",198.7
"199","1993","Dairy heifers in calf",193.7
"200","1994","Dairy heifers in calf",209.4
"201","1995","Dairy heifers in calf",235.4
"202","1996","Dairy heifers in calf",243.8
"203","1997","Dairy heifers in calf",244
"204","1998","Dairy heifers in calf",223.8
"205","1999","Dairy heifers in calf",210.4
"206","2000","Dairy heifers in calf",202.9
"207","2001","Dairy heifers in calf",206.2
"208","2002","Dairy heifers in calf",215.8
"209","2003","Dairy heifers in calf",225.6
"210","2004","Dairy heifers in calf",238
"211","1975","Other heifers in calf",NA
"212","1976","Other heifers in calf",NA
"213","1977","Other heifers in calf",NA
"214","1978","Other heifers in calf",60
"215","1979","Other heifers in calf",59.2
"216","1980","Other heifers in calf",48.5
"217","1981","Other heifers in calf",58.3
"218","1982","Other heifers in calf",58.8
"219","1983","Other heifers in calf",60.5
"220","1984","Other heifers in calf",58.5
"221","1985","Other heifers in calf",62.2
"222","1986","Other heifers in calf",60.3
"223","1987","Other heifers in calf",65.6
"224","1988","Other heifers in calf",100.8
"225","1989","Other heifers in calf",100
"226","1990","Other heifers in calf",91.3
"227","1991","Other heifers in calf",91.7
"228","1992","Other heifers in calf",117.3
"229","1993","Other heifers in calf",121.4
"230","1994","Other heifers in calf",107.2
"231","1995","Other heifers in calf",129.2
"232","1996","Other heifers in calf",139
"233","1997","Other heifers in calf",154
"234","1998","Other heifers in calf",128.8
"235","1999","Other heifers in calf",125.2
"236","2000","Other heifers in calf",140.4
"237","2001","Other heifers in calf",147.5
"238","2002","Other heifers in calf",141.6
"239","2003","Other heifers in calf",140.9
"240","2004","Other heifers in calf",143.6
"241","1975","Bulls",16.7
"242","1976","Bulls",16.7
"243","1977","Bulls",17.2
"244","1978","Bulls",17
"245","1979","Bulls",16.9
"246","1980","Bulls",15.7
"247","1981","Bulls",15.7
"248","1982","Bulls",15.8
"249","1983","Bulls",16.1
"250","1984","Bulls",16.6
"251","1985","Bulls",17.4
"252","1986","Bulls",19
"253","1987","Bulls",20.2
"254","1988","Bulls",22.3
"255","1989","Bulls",25.5
"256","1990","Bulls",27.5
"257","1991","Bulls",29.7
"258","1992","Bulls",32.4
"259","1993","Bulls",34.5
"260","1994","Bulls",36
"261","1995","Bulls",38.6
"262","1996","Bulls",41.6
"263","1997","Bulls",44.8
"264","1998","Bulls",46.8
"265","1999","Bulls",47.5
"266","2000","Bulls",49.8
"267","2001","Bulls",53
"268","2002","Bulls",55.3
"269","2003","Bulls",56.6
"270","2004","Bulls",58.7
"271","1975","Other cattle",3899.2
"272","1976","Other cattle",3881.5
"273","1977","Other cattle",3913.5
"274","1978","Other cattle",3788.2
"275","1979","Other cattle",3878.3
"276","1980","Other cattle",3623.5
"277","1981","Other cattle",3545.4
"278","1982","Other cattle",3548.9
"279","1983","Other cattle",3581.8
"280","1984","Other cattle",3617.2
"281","1985","Other cattle",3586.4
"282","1986","Other cattle",3512.8
"283","1987","Other cattle",3504.8
"284","1988","Other cattle",3471.6
"285","1989","Other cattle",3670.5
"286","1990","Other cattle",3744.7
"287","1991","Other cattle",3771.8
"288","1992","Other cattle",3725.1
"289","1993","Other cattle",3729.4
"290","1994","Other cattle",3789.5
"291","1995","Other cattle",3822.1
"292","1996","Other cattle",3937.6
"293","1997","Other cattle",4073.6
"294","1998","Other cattle",4157.4
"295","1999","Other cattle",3834
"296","2000","Other cattle",3629
"297","2001","Other cattle",3693.7
"298","2002","Other cattle",3640.7
"299","2003","Other cattle",3520.5
"300","2004","Other cattle",3498.6
"301","1975","Other cattle: 2 years and over",1119.5
"302","1976","Other cattle: 2 years and over",1215.6
"303","1977","Other cattle: 2 years and over",1172
"304","1978","Other cattle: 2 years and over",1149.8
"305","1979","Other cattle: 2 years and over",1195
"306","1980","Other cattle: 2 years and over",1016.4
"307","1981","Other cattle: 2 years and over",968.1
"308","1982","Other cattle: 2 years and over",927.6
"309","1983","Other cattle: 2 years and over",951.9
"310","1984","Other cattle: 2 years and over",945.5
"311","1985","Other cattle: 2 years and over",925.8
"312","1986","Other cattle: 2 years and over",904
"313","1987","Other cattle: 2 years and over",906.1
"314","1988","Other cattle: 2 years and over",867.1
"315","1989","Other cattle: 2 years and over",922.6
"316","1990","Other cattle: 2 years and over",920.1
"317","1991","Other cattle: 2 years and over",881.5
"318","1992","Other cattle: 2 years and over",873.8
"319","1993","Other cattle: 2 years and over",803.1
"320","1994","Other cattle: 2 years and over",829.1
"321","1995","Other cattle: 2 years and over",810.5
"322","1996","Other cattle: 2 years and over",778
"323","1997","Other cattle: 2 years and over",763.1
"324","1998","Other cattle: 2 years and over",818.9
"325","1999","Other cattle: 2 years and over",738.7
"326","2000","Other cattle: 2 years and over",669.8
"327","2001","Other cattle: 2 years and over",485.3
"328","2002","Other cattle: 2 years and over",471.2
"329","2003","Other cattle: 2 years and over",449.5
"330","2004","Other cattle: 2 years and over",499.2
"331","1975","Other cattle male: 2 years and over",815.8
"332","1976","Other cattle male: 2 years and over",922.9
"333","1977","Other cattle male: 2 years and over",881.4
"334","1978","Other cattle male: 2 years and over",868.7
"335","1979","Other cattle male: 2 years and over",905.8
"336","1980","Other cattle male: 2 years and over",755.9
"337","1981","Other cattle male: 2 years and over",707.4
"338","1982","Other cattle male: 2 years and over",668.8
"339","1983","Other cattle male: 2 years and over",690.8
"340","1984","Other cattle male: 2 years and over",668.5
"341","1985","Other cattle male: 2 years and over",654
"342","1986","Other cattle male: 2 years and over",625.5
"343","1987","Other cattle male: 2 years and over",629.8
"344","1988","Other cattle male: 2 years and over",607.5
"345","1989","Other cattle male: 2 years and over",638.7
"346","1990","Other cattle male: 2 years and over",623.9
"347","1991","Other cattle male: 2 years and over",591.2
"348","1992","Other cattle male: 2 years and over",608.5
"349","1993","Other cattle male: 2 years and over",551.8
"350","1994","Other cattle male: 2 years and over",571.4
"351","1995","Other cattle male: 2 years and over",563.3
"352","1996","Other cattle male: 2 years and over",531.4
"353","1997","Other cattle male: 2 years and over",521.9
"354","1998","Other cattle male: 2 years and over",546.4
"355","1999","Other cattle male: 2 years and over",491.1
"356","2000","Other cattle male: 2 years and over",452.3
"357","2001","Other cattle male: 2 years and over",288
"358","2002","Other cattle male: 2 years and over",278.6
"359","2003","Other cattle male: 2 years and over",258.2
"360","2004","Other cattle male: 2 years and over",283.2
"361","1975","Other cattle female: 2 years and over",303.7
"362","1976","Other cattle female: 2 years and over",292.7
"363","1977","Other cattle female: 2 years and over",290.6
"364","1978","Other cattle female: 2 years and over",281.1
"365","1979","Other cattle female: 2 years and over",289.2
"366","1980","Other cattle female: 2 years and over",260.5
"367","1981","Other cattle female: 2 years and over",260.7
"368","1982","Other cattle female: 2 years and over",258.8
"369","1983","Other cattle female: 2 years and over",261.1
"370","1984","Other cattle female: 2 years and over",277
"371","1985","Other cattle female: 2 years and over",271.8
"372","1986","Other cattle female: 2 years and over",278.5
"373","1987","Other cattle female: 2 years and over",276.3
"374","1988","Other cattle female: 2 years and over",259.6
"375","1989","Other cattle female: 2 years and over",283.9
"376","1990","Other cattle female: 2 years and over",296.2
"377","1991","Other cattle female: 2 years and over",290.3
"378","1992","Other cattle female: 2 years and over",265.3
"379","1993","Other cattle female: 2 years and over",251.3
"380","1994","Other cattle female: 2 years and over",257.7
"381","1995","Other cattle female: 2 years and over",247.2
"382","1996","Other cattle female: 2 years and over",246.6
"383","1997","Other cattle female: 2 years and over",241.2
"384","1998","Other cattle female: 2 years and over",272.5
"385","1999","Other cattle female: 2 years and over",247.6
"386","2000","Other cattle female: 2 years and over",217.5
"387","2001","Other cattle female: 2 years and over",197.3
"388","2002","Other cattle female: 2 years and over",192.6
"389","2003","Other cattle female: 2 years and over",191.3
"390","2004","Other cattle female: 2 years and over",216
"391","1975","Other cattle: 1-2 years",1353.8
"392","1976","Other cattle: 1-2 years",1292.7
"393","1977","Other cattle: 1-2 years",1313.2
"394","1978","Other cattle: 1-2 years",1282.3
"395","1979","Other cattle: 1-2 years",1272.4
"396","1980","Other cattle: 1-2 years",1258.8
"397","1981","Other cattle: 1-2 years",1253.7
"398","1982","Other cattle: 1-2 years",1254.9
"399","1983","Other cattle: 1-2 years",1244
"400","1984","Other cattle: 1-2 years",1275.7
"401","1985","Other cattle: 1-2 years",1267.8
"402","1986","Other cattle: 1-2 years",1251
"403","1987","Other cattle: 1-2 years",1256.6
"404","1988","Other cattle: 1-2 years",1255.2
"405","1989","Other cattle: 1-2 years",1311.7
"406","1990","Other cattle: 1-2 years",1347.6
"407","1991","Other cattle: 1-2 years",1399.3
"408","1992","Other cattle: 1-2 years",1379
"409","1993","Other cattle: 1-2 years",1361.4
"410","1994","Other cattle: 1-2 years",1403.9
"411","1995","Other cattle: 1-2 years",1380.2
"412","1996","Other cattle: 1-2 years",1424.6
"413","1997","Other cattle: 1-2 years",1481.9
"414","1998","Other cattle: 1-2 years",1548.9
"415","1999","Other cattle: 1-2 years",1446.4
"416","2000","Other cattle: 1-2 years",1269.3
"417","2001","Other cattle: 1-2 years",1329
"418","2002","Other cattle: 1-2 years",1363.8
"419","2003","Other cattle: 1-2 years",1319.9
"420","2004","Other cattle: 1-2 years",1253.4
"421","1975","Other cattle male: 1-2 years",838
"422","1976","Other cattle male: 1-2 years",795.2
"423","1977","Other cattle male: 1-2 years",812
"424","1978","Other cattle male: 1-2 years",811.6
"425","1979","Other cattle male: 1-2 years",807.7
"426","1980","Other cattle male: 1-2 years",787.5
"427","1981","Other cattle male: 1-2 years",785.5
"428","1982","Other cattle male: 1-2 years",775
"429","1983","Other cattle male: 1-2 years",790.4
"430","1984","Other cattle male: 1-2 years",794.2
"431","1985","Other cattle male: 1-2 years",790.8
"432","1986","Other cattle male: 1-2 years",778.9
"433","1987","Other cattle male: 1-2 years",783.9
"434","1988","Other cattle male: 1-2 years",785.1
"435","1989","Other cattle male: 1-2 years",813.8
"436","1990","Other cattle male: 1-2 years",824
"437","1991","Other cattle male: 1-2 years",846
"438","1992","Other cattle male: 1-2 years",857.5
"439","1993","Other cattle male: 1-2 years",841.2
"440","1994","Other cattle male: 1-2 years",850.6
"441","1995","Other cattle male: 1-2 years",853
"442","1996","Other cattle male: 1-2 years",894.7
"443","1997","Other cattle male: 1-2 years",943.6
"444","1998","Other cattle male: 1-2 years",976.1
"445","1999","Other cattle male: 1-2 years",904.8
"446","2000","Other cattle male: 1-2 years",798.1
"447","2001","Other cattle male: 1-2 years",841.4
"448","2002","Other cattle male: 1-2 years",885.6
"449","2003","Other cattle male: 1-2 years",856.2
"450","2004","Other cattle male: 1-2 years",782
"451","1975","Other cattle female: 1-2 years",515.8
"452","1976","Other cattle female: 1-2 years",497.5
"453","1977","Other cattle female: 1-2 years",501.2
"454","1978","Other cattle female: 1-2 years",470.7
"455","1979","Other cattle female: 1-2 years",464.7
"456","1980","Other cattle female: 1-2 years",471.3
"457","1981","Other cattle female: 1-2 years",468.2
"458","1982","Other cattle female: 1-2 years",479.9
"459","1983","Other cattle female: 1-2 years",453.6
"460","1984","Other cattle female: 1-2 years",481.5
"461","1985","Other cattle female: 1-2 years",477
"462","1986","Other cattle female: 1-2 years",472.1
"463","1987","Other cattle female: 1-2 years",472.7
"464","1988","Other cattle female: 1-2 years",470.1
"465","1989","Other cattle female: 1-2 years",497.9
"466","1990","Other cattle female: 1-2 years",523.6
"467","1991","Other cattle female: 1-2 years",553.3
"468","1992","Other cattle female: 1-2 years",521.5
"469","1993","Other cattle female: 1-2 years",520.2
"470","1994","Other cattle female: 1-2 years",553.3
"471","1995","Other cattle female: 1-2 years",527.2
"472","1996","Other cattle female: 1-2 years",529.9
"473","1997","Other cattle female: 1-2 years",538.3
"474","1998","Other cattle female: 1-2 years",572.8
"475","1999","Other cattle female: 1-2 years",541.6
"476","2000","Other cattle female: 1-2 years",471.2
"477","2001","Other cattle female: 1-2 years",487.6
"478","2002","Other cattle female: 1-2 years",478.2
"479","2003","Other cattle female: 1-2 years",463.7
"480","2004","Other cattle female: 1-2 years",471.4
"481","1975","Other cattle: under 1 year",1425.9
"482","1976","Other cattle: under 1 year",1373.2
"483","1977","Other cattle: under 1 year",1428.3
"484","1978","Other cattle: under 1 year",1356.1
"485","1979","Other cattle: under 1 year",1410.9
"486","1980","Other cattle: under 1 year",1348.3
"487","1981","Other cattle: under 1 year",1323.6
"488","1982","Other cattle: under 1 year",1366.4
"489","1983","Other cattle: under 1 year",1385.9
"490","1984","Other cattle: under 1 year",1396
"491","1985","Other cattle: under 1 year",1392.8
"492","1986","Other cattle: under 1 year",1357.8
"493","1987","Other cattle: under 1 year",1342.1
"494","1988","Other cattle: under 1 year",1349.3
"495","1989","Other cattle: under 1 year",1436.2
"496","1990","Other cattle: under 1 year",1477
"497","1991","Other cattle: under 1 year",1491
"498","1992","Other cattle: under 1 year",1472.3
"499","1993","Other cattle: under 1 year",1564.9
"500","1994","Other cattle: under 1 year",1556.5
"501","1995","Other cattle: under 1 year",1631.4
"502","1996","Other cattle: under 1 year",1735
"503","1997","Other cattle: under 1 year",1828.6
"504","1998","Other cattle: under 1 year",1789.6
"505","1999","Other cattle: under 1 year",1648.9
"506","2000","Other cattle: under 1 year",1689.9
"507","2001","Other cattle: under 1 year",1879.4
"508","2002","Other cattle: under 1 year",1805.7
"509","2003","Other cattle: under 1 year",1751.1
"510","2004","Other cattle: under 1 year",1746
"511","1975","Other cattle male: under 1 year",760.6
"512","1976","Other cattle male: under 1 year",728.5
"513","1977","Other cattle male: under 1 year",773.9
"514","1978","Other cattle male: under 1 year",700.8
"515","1979","Other cattle male: under 1 year",764.9
"516","1980","Other cattle male: under 1 year",717.2
"517","1981","Other cattle male: under 1 year",708.7
"518","1982","Other cattle male: under 1 year",738.5
"519","1983","Other cattle male: under 1 year",750.2
"520","1984","Other cattle male: under 1 year",754.2
"521","1985","Other cattle male: under 1 year",752.4
"522","1986","Other cattle male: under 1 year",740.2
"523","1987","Other cattle male: under 1 year",730.2
"524","1988","Other cattle male: under 1 year",737.1
"525","1989","Other cattle male: under 1 year",775.3
"526","1990","Other cattle male: under 1 year",794.8
"527","1991","Other cattle male: under 1 year",796.1
"528","1992","Other cattle male: under 1 year",799.4
"529","1993","Other cattle male: under 1 year",849.6
"530","1994","Other cattle male: under 1 year",842.2
"531","1995","Other cattle male: under 1 year",888.1
"532","1996","Other cattle male: under 1 year",952.9
"533","1997","Other cattle male: under 1 year",1012.8
"534","1998","Other cattle male: under 1 year",983.1
"535","1999","Other cattle male: under 1 year",892.2
"536","2000","Other cattle male: under 1 year",927.1
"537","2001","Other cattle male: under 1 year",1007.4
"538","2002","Other cattle male: under 1 year",1001.1
"539","2003","Other cattle male: under 1 year",948.6
"540","2004","Other cattle male: under 1 year",924.2
"541","1975","Other cattle female: under 1 year",665.3
"542","1976","Other cattle female: under 1 year",644.7
"543","1977","Other cattle female: under 1 year",654.4
"544","1978","Other cattle female: under 1 year",655.3
"545","1979","Other cattle female: under 1 year",646
"546","1980","Other cattle female: under 1 year",631.1
"547","1981","Other cattle female: under 1 year",614.9
"548","1982","Other cattle female: under 1 year",627.9
"549","1983","Other cattle female: under 1 year",635.7
"550","1984","Other cattle female: under 1 year",641.8
"551","1985","Other cattle female: under 1 year",640.4
"552","1986","Other cattle female: under 1 year",617.6
"553","1987","Other cattle female: under 1 year",611.9
"554","1988","Other cattle female: under 1 year",612.2
"555","1989","Other cattle female: under 1 year",660.9
"556","1990","Other cattle female: under 1 year",682.2
"557","1991","Other cattle female: under 1 year",694.9
"558","1992","Other cattle female: under 1 year",672.9
"559","1993","Other cattle female: under 1 year",715.3
"560","1994","Other cattle female: under 1 year",714.3
"561","1995","Other cattle female: under 1 year",743.3
"562","1996","Other cattle female: under 1 year",782.1
"563","1997","Other cattle female: under 1 year",815.8
"564","1998","Other cattle female: under 1 year",806.5
"565","1999","Other cattle female: under 1 year",756.7
"566","2000","Other cattle female: under 1 year",762.8
"567","2001","Other cattle female: under 1 year",872
"568","2002","Other cattle female: under 1 year",804.6
"569","2003","Other cattle female: under 1 year",802.5
"570","2004","Other cattle female: under 1 year",821.8
"571","1975","Total sheep",2653.2
"572","1976","Total sheep",2581.9
"573","1977","Total sheep",2526
"574","1978","Total sheep",2417.8
"575","1979","Total sheep",2359.6
"576","1980","Total sheep",2343.6
"577","1981","Total sheep",2449.3
"578","1982","Total sheep",2608.5
"579","1983","Total sheep",2813.2
"580","1984","Total sheep",3081.8
"581","1985","Total sheep",3304
"582","1986","Total sheep",3671.8
"583","1987","Total sheep",4300.6
"584","1988","Total sheep",4991.2
"585","1989","Total sheep",5713.9
"586","1990","Total sheep",5863.7
"587","1991","Total sheep",5982.6
"588","1992","Total sheep",6109.2
"589","1993","Total sheep",5966.5
"590","1994","Total sheep",5739.7
"591","1995","Total sheep",5543.4
"592","1996","Total sheep",5341.9
"593","1997","Total sheep",5577.2
"594","1998","Total sheep",5559.1
"595","1999","Total sheep",5318.6
"596","2000","Total sheep",5056
"597","2001","Total sheep",4807
"598","2002","Total sheep",4828.5
"599","2003","Total sheep",4850.1
"600","2004","Total sheep",4556.7
"601","1975","Breeding sheep",1787.5
"602","1976","Breeding sheep",1747
"603","1977","Breeding sheep",1687
"604","1978","Breeding sheep",1694.5
"605","1979","Breeding sheep",1633.4
"606","1980","Breeding sheep",1660.5
"607","1981","Breeding sheep",1745.8
"608","1982","Breeding sheep",1887.2
"609","1983","Breeding sheep",2025.4
"610","1984","Breeding sheep",2214.8
"611","1985","Breeding sheep",2481.4
"612","1986","Breeding sheep",2744.7
"613","1987","Breeding sheep",3213.3
"614","1988","Breeding sheep",3709
"615","1989","Breeding sheep",4271.1
"616","1990","Breeding sheep",4615.9
"617","1991","Breeding sheep",4748.9
"618","1992","Breeding sheep",4919.7
"619","1993","Breeding sheep",4779.2
"620","1994","Breeding sheep",4634.2
"621","1995","Breeding sheep",4451.8
"622","1996","Breeding sheep",4375.3
"623","1997","Breeding sheep",4429.6
"624","1998","Breeding sheep",4386.6
"625","1999","Breeding sheep",4216.6
"626","2000","Breeding sheep",4045.6
"627","2001","Breeding sheep",3920.2
"628","2002","Breeding sheep",3834.9
"629","2003","Breeding sheep",3779.2
"630","2004","Breeding sheep",3569.4
"631","1975","Ewes",1730.8
"632","1976","Ewes",1691.1
"633","1977","Ewes",1631.5
"634","1978","Ewes",1638.8
"635","1979","Ewes",1580.3
"636","1980","Ewes",1607
"637","1981","Ewes",1689.7
"638","1982","Ewes",1826.3
"639","1983","Ewes",1961.3
"640","1984","Ewes",2146.7
"641","1985","Ewes",2406.2
"642","1986","Ewes",2663.3
"643","1987","Ewes",3120
"644","1988","Ewes",3600
"645","1989","Ewes",4148.4
"646","1990","Ewes",4488.1
"647","1991","Ewes",4619.5
"648","1992","Ewes",4789.7
"649","1993","Ewes",4650.5
"650","1994","Ewes",4509.9
"651","1995","Ewes",4329.5
"652","1996","Ewes",4259.2
"653","1997","Ewes",4310.7
"654","1998","Ewes",4269.3
"655","1999","Ewes",4101.8
"656","2000","Ewes",3933.8
"657","2001","Ewes",3812
"658","2002","Ewes",3730.9
"659","2003","Ewes",3677
"660","2004","Ewes",3469
"661","1975","Ewes: 2 years and over",NA
"662","1976","Ewes: 2 years and over",NA
"663","1977","Ewes: 2 years and over",NA
"664","1978","Ewes: 2 years and over",NA
"665","1979","Ewes: 2 years and over",NA
"666","1980","Ewes: 2 years and over",NA
"667","1981","Ewes: 2 years and over",NA
"668","1982","Ewes: 2 years and over",NA
"669","1983","Ewes: 2 years and over",NA
"670","1984","Ewes: 2 years and over",NA
"671","1985","Ewes: 2 years and over",NA
"672","1986","Ewes: 2 years and over",NA
"673","1987","Ewes: 2 years and over",NA
"674","1988","Ewes: 2 years and over",NA
"675","1989","Ewes: 2 years and over",NA
"676","1990","Ewes: 2 years and over",NA
"677","1991","Ewes: 2 years and over",NA
"678","1992","Ewes: 2 years and over",3940.4
"679","1993","Ewes: 2 years and over",3743
"680","1994","Ewes: 2 years and over",3617.3
"681","1995","Ewes: 2 years and over",3448.1
"682","1996","Ewes: 2 years and over",3407.8
"683","1997","Ewes: 2 years and over",3417.1
"684","1998","Ewes: 2 years and over",3378.4
"685","1999","Ewes: 2 years and over",3318.6
"686","2000","Ewes: 2 years and over",3233.1
"687","2001","Ewes: 2 years and over",3147.5
"688","2002","Ewes: 2 years and over",3048.2
"689","2003","Ewes: 2 years and over",2955.3
"690","2004","Ewes: 2 years and over",2867.6
"691","1975","Ewes: under 2 years",NA
"692","1976","Ewes: under 2 years",NA
"693","1977","Ewes: under 2 years",NA
"694","1978","Ewes: under 2 years",NA
"695","1979","Ewes: under 2 years",NA
"696","1980","Ewes: under 2 years",NA
"697","1981","Ewes: under 2 years",NA
"698","1982","Ewes: under 2 years",NA
"699","1983","Ewes: under 2 years",NA
"700","1984","Ewes: under 2 years",NA
"701","1985","Ewes: under 2 years",NA
"702","1986","Ewes: under 2 years",NA
"703","1987","Ewes: under 2 years",NA
"704","1988","Ewes: under 2 years",NA
"705","1989","Ewes: under 2 years",NA
