"","Year","Type.of.Livestock","Rural.District","value"
"40962","1933","Other cattle : 1 - 2 years female","Killarney",NA
"40963","1955","Other cattle : 1 - 2 years female","Killarney",NA
"40964","1960","Other cattle : 1 - 2 years female","Killarney",NA
"40965","1965","Other cattle : 1 - 2 years female","Killarney",NA
"40966","1970","Other cattle : 1 - 2 years female","Killarney",5305
"40967","1975","Other cattle : 1 - 2 years female","Killarney",8416
"40968","1980","Other cattle : 1 - 2 years female","Killarney",8048
"40969","1926","Other cattle : less than 1","Killarney",16507
"40970","1933","Other cattle : less than 1","Killarney",16353
"40971","1955","Other cattle : less than 1","Killarney",15659
"40972","1960","Other cattle : less than 1","Killarney",15425
"40973","1965","Other cattle : less than 1","Killarney",17981
"40974","1970","Other cattle : less than 1","Killarney",19585
"40975","1975","Other cattle : less than 1","Killarney",18943
"40976","1980","Other cattle : less than 1","Killarney",18692
"40977","1926","Other cattle : less than 1 male","Killarney",NA
"40978","1933","Other cattle : less than 1 male","Killarney",NA
"40979","1955","Other cattle : less than 1 male","Killarney",NA
"40980","1960","Other cattle : less than 1 male","Killarney",NA
"40981","1965","Other cattle : less than 1 male","Killarney",NA
"40982","1970","Other cattle : less than 1 male","Killarney",8235
"40983","1975","Other cattle : less than 1 male","Killarney",8095
"40984","1980","Other cattle : less than 1 male","Killarney",7091
"40985","1926","Other cattle : less than 1 female","Killarney",NA
"40986","1933","Other cattle : less than 1 female","Killarney",NA
"40987","1955","Other cattle : less than 1 female","Killarney",NA
"40988","1960","Other cattle : less than 1 female","Killarney",NA
"40989","1965","Other cattle : less than 1 female","Killarney",NA
"40990","1970","Other cattle : less than 1 female","Killarney",11350
"40991","1975","Other cattle : less than 1 female","Killarney",10848
"40992","1980","Other cattle : less than 1 female","Killarney",11601
"40993","1926","Sheep","Killarney",27319
"40994","1933","Sheep","Killarney",24480
"40995","1955","Sheep","Killarney",30178
"40996","1960","Sheep","Killarney",36277
"40997","1965","Sheep","Killarney",34317
"40998","1970","Sheep","Killarney",35785
"40999","1975","Sheep","Killarney",37923
"41000","1980","Sheep","Killarney",36915
"41001","1926","Sheep for breeding","Killarney",13899
"41002","1933","Sheep for breeding","Killarney",11582
"41003","1955","Sheep for breeding","Killarney",14130
"41004","1960","Sheep for breeding","Killarney",15787
"41005","1965","Sheep for breeding","Killarney",16544
"41006","1970","Sheep for breeding","Killarney",17695
"41007","1975","Sheep for breeding","Killarney",19614
"41008","1980","Sheep for breeding","Killarney",20270
"41009","1926","Rams for breeding","Killarney",489
"41010","1933","Rams for breeding","Killarney",477
"41011","1955","Rams for breeding","Killarney",351
"41012","1960","Rams for breeding","Killarney",486
"41013","1965","Rams for breeding","Killarney",551
"41014","1970","Rams for breeding","Killarney",419
"41015","1975","Rams for breeding","Killarney",420
"41016","1980","Rams for breeding","Killarney",649
"41017","1926","Ewes for breeding","Killarney",13410
"41018","1933","Ewes for breeding","Killarney",11105
"41019","1955","Ewes for breeding","Killarney",13779
"41020","1960","Ewes for breeding","Killarney",15301
"41021","1965","Ewes for breeding","Killarney",15993
"41022","1970","Ewes for breeding","Killarney",17276
"41023","1975","Ewes for breeding","Killarney",19194
"41024","1980","Ewes for breeding","Killarney",19621
"41025","1926","Ewes : cheviot type","Killarney",NA
"41026","1933","Ewes : cheviot type","Killarney",NA
"41027","1955","Ewes : cheviot type","Killarney",NA
"41028","1960","Ewes : cheviot type","Killarney",NA
"41029","1965","Ewes : cheviot type","Killarney",473
"41030","1970","Ewes : cheviot type","Killarney",340
"41031","1975","Ewes : cheviot type","Killarney",570
"41032","1980","Ewes : cheviot type","Killarney",548
"41033","1926","Ewes : blackface moutain type","Killarney",NA
"41034","1933","Ewes : blackface moutain type","Killarney",NA
"41035","1955","Ewes : blackface moutain type","Killarney",NA
"41036","1960","Ewes : blackface moutain type","Killarney",NA
"41037","1965","Ewes : blackface moutain type","Killarney",14029
"41038","1970","Ewes : blackface moutain type","Killarney",15938
"41039","1975","Ewes : blackface moutain type","Killarney",17509
"41040","1980","Ewes : blackface moutain type","Killarney",18499
"41041","1926","Ewes : long woolled galway type","Killarney",NA
"41042","1933","Ewes : long woolled galway type","Killarney",NA
"41043","1955","Ewes : long woolled galway type","Killarney",NA
"41044","1960","Ewes : long woolled galway type","Killarney",NA
"41045","1965","Ewes : long woolled galway type","Killarney",618
"41046","1970","Ewes : long woolled galway type","Killarney",640
"41047","1975","Ewes : long woolled galway type","Killarney",473
"41048","1980","Ewes : long woolled galway type","Killarney",157
"41049","1926","Ewes : other breeds","Killarney",NA
"41050","1933","Ewes : other breeds","Killarney",NA
"41051","1955","Ewes : other breeds","Killarney",NA
"41052","1960","Ewes : other breeds","Killarney",NA
"41053","1965","Ewes : other breeds","Killarney",873
"41054","1970","Ewes : other breeds","Killarney",358
"41055","1975","Ewes : other breeds","Killarney",642
"41056","1980","Ewes : other breeds","Killarney",417
"41057","1926","Other sheep","Killarney",13420
"41058","1933","Other sheep","Killarney",12898
"41059","1955","Other sheep","Killarney",16048
"41060","1960","Other sheep","Killarney",20490
"41061","1965","Other sheep","Killarney",17773
"41062","1970","Other sheep","Killarney",18090
"41063","1975","Other sheep","Killarney",18309
"41064","1980","Other sheep","Killarney",16645
"41065","1926","Other sheep : one year and over","Killarney",3965
"41066","1933","Other sheep : one year and over","Killarney",4118
"41067","1955","Other sheep : one year and over","Killarney",5620
"41068","1960","Other sheep : one year and over","Killarney",9102
"41069","1965","Other sheep : one year and over","Killarney",5116
"41070","1970","Other sheep : one year and over","Killarney",5497
"41071","1975","Other sheep : one year and over","Killarney",4639
"41072","1980","Other sheep : one year and over","Killarney",4354
"41073","1926","Other sheep : less than one year","Killarney",9455
"41074","1933","Other sheep : less than one year","Killarney",8780
"41075","1955","Other sheep : less than one year","Killarney",10428
"41076","1960","Other sheep : less than one year","Killarney",11388
"41077","1965","Other sheep : less than one year","Killarney",12657
"41078","1970","Other sheep : less than one year","Killarney",12593
"41079","1975","Other sheep : less than one year","Killarney",13670
"41080","1980","Other sheep : less than one year","Killarney",12291
"41081","1926","Pigs","Killarney",13493
"41082","1933","Pigs","Killarney",17188
"41083","1955","Pigs","Killarney",13520
"41084","1960","Pigs","Killarney",19639
"41085","1965","Pigs","Killarney",28391
"41086","1970","Pigs","Killarney",21517
"41087","1975","Pigs","Killarney",8022
"41088","1980","Pigs","Killarney",9315
"41089","1926","Pigs for breeding","Killarney",1494
"41090","1933","Pigs for breeding","Killarney",1590
"41091","1955","Pigs for breeding","Killarney",1347
"41092","1960","Pigs for breeding","Killarney",1930
"41093","1965","Pigs for breeding","Killarney",3036
"41094","1970","Pigs for breeding","Killarney",2421
"41095","1975","Pigs for breeding","Killarney",825
"41096","1980","Pigs for breeding","Killarney",1250
"41097","1926","Boars for breeding","Killarney",13
"41098","1933","Boars for breeding","Killarney",14
"41099","1955","Boars for breeding","Killarney",31
"41100","1960","Boars for breeding","Killarney",14
"41101","1965","Boars for breeding","Killarney",54
"41102","1970","Boars for breeding","Killarney",26
"41103","1975","Boars for breeding","Killarney",13
"41104","1980","Boars for breeding","Killarney",30
"41105","1926","Sows for breeding","Killarney",1481
"41106","1933","Sows for breeding","Killarney",1576
"41107","1955","Sows for breeding","Killarney",1316
"41108","1960","Sows for breeding","Killarney",1916
"41109","1965","Sows for breeding","Killarney",2982
"41110","1970","Sows for breeding","Killarney",2395
"41111","1975","Sows for breeding","Killarney",812
"41112","1980","Sows for breeding","Killarney",1220
"41113","1926","Other pigs","Killarney",11999
"41114","1933","Other pigs","Killarney",15598
"41115","1955","Other pigs","Killarney",12173
"41116","1960","Other pigs","Killarney",17709
"41117","1965","Other pigs","Killarney",25355
"41118","1970","Other pigs","Killarney",19096
"41119","1975","Other pigs","Killarney",7197
"41120","1980","Other pigs","Killarney",8065
"41121","1926","Horses and ponies","Killarney",4355
"41122","1933","Horses and ponies","Killarney",5375
"41123","1955","Horses and ponies","Killarney",4469
"41124","1960","Horses and ponies","Killarney",3781
"41125","1965","Horses and ponies","Killarney",2934
"41126","1970","Horses and ponies","Killarney",2341
"41127","1975","Horses and ponies","Killarney",1411
"41128","1980","Horses and ponies","Killarney",828
"41129","1926","Working horses and ponies","Killarney",NA
"41130","1933","Working horses and ponies","Killarney",NA
"41131","1955","Working horses and ponies","Killarney",NA
"41132","1960","Working horses and ponies","Killarney",2883
"41133","1965","Working horses and ponies","Killarney",2183
"41134","1970","Working horses and ponies","Killarney",2057
"41135","1975","Working horses and ponies","Killarney",1035
"41136","1980","Working horses and ponies","Killarney",528
"41137","1926","Thoroughbreds","Killarney",NA
"41138","1933","Thoroughbreds","Killarney",NA
"41139","1955","Thoroughbreds","Killarney",NA
"41140","1960","Thoroughbreds","Killarney",16
"41141","1965","Thoroughbreds","Killarney",39
"41142","1970","Thoroughbreds","Killarney",20
"41143","1975","Thoroughbreds","Killarney",0
"41144","1980","Thoroughbreds","Killarney",16
"41145","1926","Other horses and ponies","Killarney",NA
"41146","1933","Other horses and ponies","Killarney",NA
"41147","1955","Other horses and ponies","Killarney",NA
"41148","1960","Other horses and ponies","Killarney",882
"41149","1965","Other horses and ponies","Killarney",712
"41150","1970","Other horses and ponies","Killarney",264
"41151","1975","Other horses and ponies","Killarney",376
"41152","1980","Other horses and ponies","Killarney",284
"41153","1926","Mules, jennets and asses","Killarney",NA
"41154","1933","Mules, jennets and asses","Killarney",NA
"41155","1955","Mules, jennets and asses","Killarney",NA
"41156","1960","Mules, jennets and asses","Killarney",NA
"41157","1965","Mules, jennets and asses","Killarney",NA
"41158","1970","Mules, jennets and asses","Killarney",NA
"41159","1975","Mules, jennets and asses","Killarney",689
"41160","1980","Mules, jennets and asses","Killarney",375
"41161","1926","Goats","Killarney",NA
"41162","1933","Goats","Killarney",NA
"41163","1955","Goats","Killarney",NA
"41164","1960","Goats","Killarney",NA
"41165","1965","Goats","Killarney",NA
"41166","1970","Goats","Killarney",NA
"41167","1975","Goats","Killarney",NA
"41168","1980","Goats","Killarney",83
"41169","1926","Poultry","Killarney",242411
"41170","1933","Poultry","Killarney",274569
"41171","1955","Poultry","Killarney",211633
"41172","1960","Poultry","Killarney",152971
"41173","1965","Poultry","Killarney",146199
"41174","1970","Poultry","Killarney",92837
"41175","1975","Poultry","Killarney",68869
"41176","1980","Poultry","Killarney",NA
"41177","1926","Turkeys","Killarney",6708
"41178","1933","Turkeys","Killarney",25332
"41179","1955","Turkeys","Killarney",28815
"41180","1960","Turkeys","Killarney",21301
"41181","1965","Turkeys","Killarney",12329
"41182","1970","Turkeys","Killarney",5507
"41183","1975","Turkeys","Killarney",3439
"41184","1980","Turkeys","Killarney",2659
"41185","1926","Geese","Killarney",25618
"41186","1933","Geese","Killarney",22063
"41187","1955","Geese","Killarney",5847
"41188","1960","Geese","Killarney",3201
"41189","1965","Geese","Killarney",2143
"41190","1970","Geese","Killarney",755
"41191","1975","Geese","Killarney",533
"41192","1980","Geese","Killarney",382
"41193","1926","Ducks","Killarney",37411
"41194","1933","Ducks","Killarney",31452
"41195","1955","Ducks","Killarney",10246
"41196","1960","Ducks","Killarney",3803
"41197","1965","Ducks","Killarney",2875
"41198","1970","Ducks","Killarney",1317
"41199","1975","Ducks","Killarney",780
"41200","1980","Ducks","Killarney",1268
"41201","1926","Ordinary fowl","Killarney",172674
"41202","1933","Ordinary fowl","Killarney",195722
"41203","1955","Ordinary fowl","Killarney",166725
"41204","1960","Ordinary fowl","Killarney",124666
"41205","1965","Ordinary fowl","Killarney",128852
"41206","1970","Ordinary fowl","Killarney",85258
"41207","1975","Ordinary fowl","Killarney",64117
"41208","1980","Ordinary fowl","Killarney",NA
"41209","1926","Cattle","Listowel",48291
"41210","1933","Cattle","Listowel",55070
"41211","1955","Cattle","Listowel",63477
"41212","1960","Cattle","Listowel",69946
"41213","1965","Cattle","Listowel",75821
"41214","1970","Cattle","Listowel",82598
"41215","1975","Cattle","Listowel",93418
"41216","1980","Cattle","Listowel",94204
"41217","1926","Bulls","Listowel",645
"41218","1933","Bulls","Listowel",650
"41219","1955","Bulls","Listowel",774
"41220","1960","Bulls","Listowel",721
"41221","1965","Bulls","Listowel",440
"41222","1970","Bulls","Listowel",453
"41223","1975","Bulls","Listowel",347
"41224","1980","Bulls","Listowel",353
"41225","1926","Cows","Listowel",25186
"41226","1933","Cows","Listowel",28439
"41227","1955","Cows","Listowel",29220
"41228","1960","Cows","Listowel",31031
"41229","1965","Cows","Listowel",35647
"41230","1970","Cows","Listowel",39525
"41231","1975","Cows","Listowel",46611
"41232","1980","Cows","Listowel",48850
"41233","1926","Dairy cows","Listowel",NA
"41234","1933","Dairy cows","Listowel",NA
"41235","1955","Dairy cows","Listowel",NA
"41236","1960","Dairy cows","Listowel",NA
"41237","1965","Dairy cows","Listowel",NA
"41238","1970","Dairy cows","Listowel",NA
"41239","1975","Dairy cows","Listowel",43541
"41240","1980","Dairy cows","Listowel",46559
"41241","1926","Other cows","Listowel",NA
"41242","1933","Other cows","Listowel",NA
"41243","1955","Other cows","Listowel",NA
"41244","1960","Other cows","Listowel",NA
"41245","1965","Other cows","Listowel",NA
"41246","1970","Other cows","Listowel",NA
"41247","1975","Other cows","Listowel",3070
"41248","1980","Other cows","Listowel",2291
"41249","1926","Cows : friesian and friesian cross","Listowel",NA
"41250","1933","Cows : friesian and friesian cross","Listowel",NA
"41251","1955","Cows : friesian and friesian cross","Listowel",NA
"41252","1960","Cows : friesian and friesian cross","Listowel",1898
"41253","1965","Cows : friesian and friesian cross","Listowel",8137
"41254","1970","Cows : friesian and friesian cross","Listowel",22680
"41255","1975","Cows : friesian and friesian cross","Listowel",39581
"41256","1980","Cows : friesian and friesian cross","Listowel",47219
"41257","1926","Cows : shorthorn","Listowel",NA
"41258","1933","Cows : shorthorn","Listowel",NA
"41259","1955","Cows : shorthorn","Listowel",NA
"41260","1960","Cows : shorthorn","Listowel",28145
"41261","1965","Cows : shorthorn","Listowel",26566
"41262","1970","Cows : shorthorn","Listowel",15971
"41263","1975","Cows : shorthorn","Listowel",6215
"41264","1980","Cows : shorthorn","Listowel",1233
"41265","1926","Cows : other breeds","Listowel",NA
"41266","1933","Cows : other breeds","Listowel",NA
"41267","1955","Cows : other breeds","Listowel",NA
"41268","1960","Cows : other breeds","Listowel",988
"41269","1965","Cows : other breeds","Listowel",944
"41270","1970","Cows : other breeds","Listowel",874
"41271","1975","Cows : other breeds","Listowel",815
"41272","1980","Cows : other breeds","Listowel",398
"41273","1926","Heifers in calf","Listowel",986
"41274","1933","Heifers in calf","Listowel",718
"41275","1955","Heifers in calf","Listowel",1509
"41276","1960","Heifers in calf","Listowel",2174
"41277","1965","Heifers in calf","Listowel",1793
"41278","1970","Heifers in calf","Listowel",2418
"41279","1975","Heifers in calf","Listowel",4760
"41280","1980","Heifers in calf","Listowel",6146
"41281","1926","Dairy heifers","Listowel",NA
"41282","1933","Dairy heifers","Listowel",NA
"41283","1955","Dairy heifers","Listowel",NA
"41284","1960","Dairy heifers","Listowel",NA
"41285","1965","Dairy heifers","Listowel",NA
"41286","1970","Dairy heifers","Listowel",NA
"41287","1975","Dairy heifers","Listowel",NA
"41288","1980","Dairy heifers","Listowel",5868
"41289","1926","Other heifers","Listowel",NA
"41290","1933","Other heifers","Listowel",NA
"41291","1955","Other heifers","Listowel",NA
"41292","1960","Other heifers","Listowel",NA
"41293","1965","Other heifers","Listowel",NA
"41294","1970","Other heifers","Listowel",NA
"41295","1975","Other heifers","Listowel",NA
"41296","1980","Other heifers","Listowel",278
"41297","1926","Other cattle","Listowel",21474
"41298","1933","Other cattle","Listowel",25263
"41299","1955","Other cattle","Listowel",31974
"41300","1960","Other cattle","Listowel",36020
"41301","1965","Other cattle","Listowel",37941
"41302","1970","Other cattle","Listowel",40202
"41303","1975","Other cattle","Listowel",41700
"41304","1980","Other cattle","Listowel",38855
"41305","1926","Other cattle : 3 years and over","Listowel",597
"41306","1933","Other cattle : 3 years and over","Listowel",528
"41307","1955","Other cattle : 3 years and over","Listowel",591
"41308","1960","Other cattle : 3 years and over","Listowel",1264
"41309","1965","Other cattle : 3 years and over","Listowel",1270
"41310","1970","Other cattle : 3 years and over","Listowel",1007
"41311","1975","Other cattle : 3 years and over","Listowel",915
"41312","1980","Other cattle : 3 years and over","Listowel",1164
"41313","1926","Other cattle : 3 years and over male","Listowel",NA
"41314","1933","Other cattle : 3 years and over male","Listowel",NA
"41315","1955","Other cattle : 3 years and over male","Listowel",NA
"41316","1960","Other cattle : 3 years and over male","Listowel",NA
"41317","1965","Other cattle : 3 years and over male","Listowel",NA
"41318","1970","Other cattle : 3 years and over male","Listowel",520
"41319","1975","Other cattle : 3 years and over male","Listowel",525
"41320","1980","Other cattle : 3 years and over male","Listowel",754
"41321","1926","Other cattle : 3 years and over female","Listowel",NA
"41322","1933","Other cattle : 3 years and over female","Listowel",NA
"41323","1955","Other cattle : 3 years and over female","Listowel",NA
"41324","1960","Other cattle : 3 years and over female","Listowel",NA
"41325","1965","Other cattle : 3 years and over female","Listowel",NA
"41326","1970","Other cattle : 3 years and over female","Listowel",487
"41327","1975","Other cattle : 3 years and over female","Listowel",390
"41328","1980","Other cattle : 3 years and over female","Listowel",410
"41329","1926","Other cattle : 2 - 3 years","Listowel",2710
"41330","1933","Other cattle : 2 - 3 years","Listowel",2722
"41331","1955","Other cattle : 2 - 3 years","Listowel",3951
"41332","1960","Other cattle : 2 - 3 years","Listowel",5524
"41333","1965","Other cattle : 2 - 3 years","Listowel",5218
"41334","1970","Other cattle : 2 - 3 years","Listowel",4442
"41335","1975","Other cattle : 2 - 3 years","Listowel",5424
"41336","1980","Other cattle : 2 - 3 years","Listowel",5298
"41337","1926","Other cattle : 2 - 3 years male","Listowel",NA
"41338","1933","Other cattle : 2 - 3 years male","Listowel",NA
"41339","1955","Other cattle : 2 - 3 years male","Listowel",NA
"41340","1960","Other cattle : 2 - 3 years male","Listowel",NA
"41341","1965","Other cattle : 2 - 3 years male","Listowel",NA
"41342","1970","Other cattle : 2 - 3 years male","Listowel",2270
"41343","1975","Other cattle : 2 - 3 years male","Listowel",2262
"41344","1980","Other cattle : 2 - 3 years male","Listowel",2308
"41345","1926","Other cattle : 2 - 3 years female","Listowel",NA
"41346","1933","Other cattle : 2 - 3 years female","Listowel",NA
"41347","1955","Other cattle : 2 - 3 years female","Listowel",NA
"41348","1960","Other cattle : 2 - 3 years female","Listowel",NA
"41349","1965","Other cattle : 2 - 3 years female","Listowel",NA
"41350","1970","Other cattle : 2 - 3 years female","Listowel",2172
"41351","1975","Other cattle : 2 - 3 years female","Listowel",3162
"41352","1980","Other cattle : 2 - 3 years female","Listowel",2990
"41353","1926","Other cattle : 1 - 2 years","Listowel",4022
"41354","1933","Other cattle : 1 - 2 years","Listowel",5883
"41355","1955","Other cattle : 1 - 2 years","Listowel",7451
"41356","1960","Other cattle : 1 - 2 years","Listowel",8996
"41357","1965","Other cattle : 1 - 2 years","Listowel",9827
"41358","1970","Other cattle : 1 - 2 years","Listowel",11020
"41359","1975","Other cattle : 1 - 2 years","Listowel",12013
"41360","1980","Other cattle : 1 - 2 years","Listowel",11163
"41361","1926","Other cattle : 1 - 2 years male","Listowel",NA
"41362","1933","Other cattle : 1 - 2 years male","Listowel",NA
"41363","1955","Other cattle : 1 - 2 years male","Listowel",NA
"41364","1960","Other cattle : 1 - 2 years male","Listowel",NA
"41365","1965","Other cattle : 1 - 2 years male","Listowel",NA
"41366","1970","Other cattle : 1 - 2 years male","Listowel",3412
"41367","1975","Other cattle : 1 - 2 years male","Listowel",3341
"41368","1980","Other cattle : 1 - 2 years male","Listowel",3037
"41369","1926","Other cattle : 1 - 2 years female","Listowel",NA
"41370","1933","Other cattle : 1 - 2 years female","Listowel",NA
"41371","1955","Other cattle : 1 - 2 years female","Listowel",NA
"41372","1960","Other cattle : 1 - 2 years female","Listowel",NA
"41373","1965","Other cattle : 1 - 2 years female","Listowel",NA
"41374","1970","Other cattle : 1 - 2 years female","Listowel",7608
"41375","1975","Other cattle : 1 - 2 years female","Listowel",8672
"41376","1980","Other cattle : 1 - 2 years female","Listowel",8126
"41377","1926","Other cattle : less than 1","Listowel",14145
"41378","1933","Other cattle : less than 1","Listowel",16130
"41379","1955","Other cattle : less than 1","Listowel",19981
"41380","1960","Other cattle : less than 1","Listowel",20236
"41381","1965","Other cattle : less than 1","Listowel",21626
"41382","1970","Other cattle : less than 1","Listowel",23733
"41383","1975","Other cattle : less than 1","Listowel",23348
"41384","1980","Other cattle : less than 1","Listowel",21230
"41385","1926","Other cattle : less than 1 male","Listowel",NA
"41386","1933","Other cattle : less than 1 male","Listowel",NA
"41387","1955","Other cattle : less than 1 male","Listowel",NA
"41388","1960","Other cattle : less than 1 male","Listowel",NA
"41389","1965","Other cattle : less than 1 male","Listowel",NA
"41390","1970","Other cattle : less than 1 male","Listowel",9519
"41391","1975","Other cattle : less than 1 male","Listowel",8982
"41392","1980","Other cattle : less than 1 male","Listowel",6505
"41393","1926","Other cattle : less than 1 female","Listowel",NA
"41394","1933","Other cattle : less than 1 female","Listowel",NA
"41395","1955","Other cattle : less than 1 female","Listowel",NA
"41396","1960","Other cattle : less than 1 female","Listowel",NA
"41397","1965","Other cattle : less than 1 female","Listowel",NA
"41398","1970","Other cattle : less than 1 female","Listowel",14214
"41399","1975","Other cattle : less than 1 female","Listowel",14366
"41400","1980","Other cattle : less than 1 female","Listowel",14725
"41401","1926","Sheep","Listowel",1127
"41402","1933","Sheep","Listowel",1085
"41403","1955","Sheep","Listowel",1562
"41404","1960","Sheep","Listowel",2378
"41405","1965","Sheep","Listowel",1785
"41406","1970","Sheep","Listowel",1041
"41407","1975","Sheep","Listowel",517
"41408","1980","Sheep","Listowel",539
"41409","1926","Sheep for breeding","Listowel",412
"41410","1933","Sheep for breeding","Listowel",507
"41411","1955","Sheep for breeding","Listowel",562
"41412","1960","Sheep for breeding","Listowel",838
"41413","1965","Sheep for breeding","Listowel",740
"41414","1970","Sheep for breeding","Listowel",429
"41415","1975","Sheep for breeding","Listowel",178
"41416","1980","Sheep for breeding","Listowel",204
"41417","1926","Rams for breeding","Listowel",29
"41418","1933","Rams for breeding","Listowel",16
"41419","1955","Rams for breeding","Listowel",17
"41420","1960","Rams for breeding","Listowel",49
"41421","1965","Rams for breeding","Listowel",29
"41422","1970","Rams for breeding","Listowel",14
"41423","1975","Rams for breeding","Listowel",9
"41424","1980","Rams for breeding","Listowel",4
"41425","1926","Ewes for breeding","Listowel",383
"41426","1933","Ewes for breeding","Listowel",491
"41427","1955","Ewes for breeding","Listowel",545
"41428","1960","Ewes for breeding","Listowel",789
"41429","1965","Ewes for breeding","Listowel",711
"41430","1970","Ewes for breeding","Listowel",415
"41431","1975","Ewes for breeding","Listowel",169
"41432","1980","Ewes for breeding","Listowel",200
"41433","1926","Ewes : cheviot type","Listowel",NA
"41434","1933","Ewes : cheviot type","Listowel",NA
"41435","1955","Ewes : cheviot type","Listowel",NA
"41436","1960","Ewes : cheviot type","Listowel",NA
"41437","1965","Ewes : cheviot type","Listowel",117
"41438","1970","Ewes : cheviot type","Listowel",83
"41439","1975","Ewes : cheviot type","Listowel",10
"41440","1980","Ewes : cheviot type","Listowel",2
"41441","1926","Ewes : blackface moutain type","Listowel",NA
"41442","1933","Ewes : blackface moutain type","Listowel",NA
"41443","1955","Ewes : blackface moutain type","Listowel",NA
"41444","1960","Ewes : blackface moutain type","Listowel",NA
"41445","1965","Ewes : blackface moutain type","Listowel",139
"41446","1970","Ewes : blackface moutain type","Listowel",77
"41447","1975","Ewes : blackface moutain type","Listowel",58
"41448","1980","Ewes : blackface moutain type","Listowel",115
"41449","1926","Ewes : long woolled galway type","Listowel",NA
"41450","1933","Ewes : long woolled galway type","Listowel",NA
"41451","1955","Ewes : long woolled galway type","Listowel",NA
"41452","1960","Ewes : long woolled galway type","Listowel",NA
"41453","1965","Ewes : long woolled galway type","Listowel",408
"41454","1970","Ewes : long woolled galway type","Listowel",243
"41455","1975","Ewes : long woolled galway type","Listowel",66
"41456","1980","Ewes : long woolled galway type","Listowel",56
"41457","1926","Ewes : other breeds","Listowel",NA
"41458","1933","Ewes : other breeds","Listowel",NA
"41459","1955","Ewes : other breeds","Listowel",NA
"41460","1960","Ewes : other breeds","Listowel",NA
"41461","1965","Ewes : other breeds","Listowel",47
"41462","1970","Ewes : other breeds","Listowel",12
"41463","1975","Ewes : other breeds","Listowel",35
"41464","1980","Ewes : other breeds","Listowel",27
"41465","1926","Other sheep","Listowel",715
"41466","1933","Other sheep","Listowel",578
"41467","1955","Other sheep","Listowel",1000
"41468","1960","Other sheep","Listowel",1540
"41469","1965","Other sheep","Listowel",1045
"41470","1970","Other sheep","Listowel",612
"41471","1975","Other sheep","Listowel",339
"41472","1980","Other sheep","Listowel",335
"41473","1926","Other sheep : one year and over","Listowel",156
"41474","1933","Other sheep : one year and over","Listowel",156
"41475","1955","Other sheep : one year and over","Listowel",392
"41476","1960","Other sheep : one year and over","Listowel",512
"41477","1965","Other sheep : one year and over","Listowel",377
"41478","1970","Other sheep : one year and over","Listowel",235
"41479","1975","Other sheep : one year and over","Listowel",226
"41480","1980","Other sheep : one year and over","Listowel",178
"41481","1926","Other sheep : less than one year","Listowel",559
"41482","1933","Other sheep : less than one year","Listowel",422
"41483","1955","Other sheep : less than one year","Listowel",608
"41484","1960","Other sheep : less than one year","Listowel",1028
"41485","1965","Other sheep : less than one year","Listowel",668
"41486","1970","Other sheep : less than one year","Listowel",377
"41487","1975","Other sheep : less than one year","Listowel",113
"41488","1980","Other sheep : less than one year","Listowel",157
"41489","1926","Pigs","Listowel",18758
"41490","1933","Pigs","Listowel",21596
"41491","1955","Pigs","Listowel",13047
"41492","1960","Pigs","Listowel",19651
"41493","1965","Pigs","Listowel",28430
"41494","1970","Pigs","Listowel",19802
"41495","1975","Pigs","Listowel",3812
"41496","1980","Pigs","Listowel",7369
"41497","1926","Pigs for breeding","Listowel",2075
"41498","1933","Pigs for breeding","Listowel",2347
"41499","1955","Pigs for breeding","Listowel",1358
"41500","1960","Pigs for breeding","Listowel",2047
"41501","1965","Pigs for breeding","Listowel",2729
"41502","1970","Pigs for breeding","Listowel",2183
"41503","1975","Pigs for breeding","Listowel",551
"41504","1980","Pigs for breeding","Listowel",580
"41505","1926","Boars for breeding","Listowel",18
"41506","1933","Boars for breeding","Listowel",28
"41507","1955","Boars for breeding","Listowel",22
"41508","1960","Boars for breeding","Listowel",26
"41509","1965","Boars for breeding","Listowel",51
"41510","1970","Boars for breeding","Listowel",22
"41511","1975","Boars for breeding","Listowel",7
"41512","1980","Boars for breeding","Listowel",21
"41513","1926","Sows for breeding","Listowel",2057
"41514","1933","Sows for breeding","Listowel",2319
"41515","1955","Sows for breeding","Listowel",1336
"41516","1960","Sows for breeding","Listowel",2021
"41517","1965","Sows for breeding","Listowel",2678
"41518","1970","Sows for breeding","Listowel",2161
"41519","1975","Sows for breeding","Listowel",544
"41520","1980","Sows for breeding","Listowel",559
"41521","1926","Other pigs","Listowel",16683
"41522","1933","Other pigs","Listowel",19249
"41523","1955","Other pigs","Listowel",11689
"41524","1960","Other pigs","Listowel",17604
"41525","1965","Other pigs","Listowel",25701
"41526","1970","Other pigs","Listowel",17619
"41527","1975","Other pigs","Listowel",3261
"41528","1980","Other pigs","Listowel",6789
"41529","1926","Horses and ponies","Listowel",5167
"41530","1933","Horses and ponies","Listowel",5698
"41531","1955","Horses and ponies","Listowel",4802
"41532","1960","Horses and ponies","Listowel",3959
"41533","1965","Horses and ponies","Listowel",3252
"41534","1970","Horses and ponies","Listowel",2036
"41535","1975","Horses and ponies","Listowel",897
"41536","1980","Horses and ponies","Listowel",569
"41537","1926","Working horses and ponies","Listowel",NA
"41538","1933","Working horses and ponies","Listowel",NA
