"","Year","Type.of.Livestock","Rural.District","value"
"237","1965","Ewes : blackface moutain type","State",553698
"238","1970","Ewes : blackface moutain type","State",523213
"239","1975","Ewes : blackface moutain type","State",565523
"240","1980","Ewes : blackface moutain type","State",578545
"241","1926","Ewes : long woolled galway type","State",NA
"242","1933","Ewes : long woolled galway type","State",NA
"243","1955","Ewes : long woolled galway type","State",NA
"244","1960","Ewes : long woolled galway type","State",NA
"245","1965","Ewes : long woolled galway type","State",753068
"246","1970","Ewes : long woolled galway type","State",630684
"247","1975","Ewes : long woolled galway type","State",487480
"248","1980","Ewes : long woolled galway type","State",355154
"249","1926","Ewes : other breeds","State",NA
"250","1933","Ewes : other breeds","State",NA
"251","1955","Ewes : other breeds","State",NA
"252","1960","Ewes : other breeds","State",NA
"253","1965","Ewes : other breeds","State",521275
"254","1970","Ewes : other breeds","State",338084
"255","1975","Ewes : other breeds","State",309094
"256","1980","Ewes : other breeds","State",286331
"257","1926","Other sheep","State",1669997
"258","1933","Other sheep","State",1893403
"259","1955","Other sheep","State",1867755
"260","1960","Other sheep","State",2420011
"261","1965","Other sheep","State",2751249
"262","1970","Other sheep","State",2188075
"263","1975","Other sheep","State",1952185
"264","1980","Other sheep","State",1705385
"265","1926","Other sheep : one year and over","State",471467
"266","1933","Other sheep : one year and over","State",504603
"267","1955","Other sheep : one year and over","State",470789
"268","1960","Other sheep : one year and over","State",591291
"269","1965","Other sheep : one year and over","State",481709
"270","1970","Other sheep : one year and over","State",364099
"271","1975","Other sheep : one year and over","State",300549
"272","1980","Other sheep : one year and over","State",256893
"273","1926","Other sheep : less than one year","State",1198530
"274","1933","Other sheep : less than one year","State",1388800
"275","1955","Other sheep : less than one year","State",1396966
"276","1960","Other sheep : less than one year","State",1828720
"277","1965","Other sheep : less than one year","State",2269540
"278","1970","Other sheep : less than one year","State",1823976
"279","1975","Other sheep : less than one year","State",1651636
"280","1980","Other sheep : less than one year","State",1448492
"281","1926","Pigs","State",884216
"282","1933","Pigs","State",930554
"283","1955","Pigs","State",798845
"284","1960","Pigs","State",951118
"285","1965","Pigs","State",1265876
"286","1970","Pigs","State",1192451
"287","1975","Pigs","State",795549
"288","1980","Pigs","State",1030464
"289","1926","Pigs for breeding","State",95182
"290","1933","Pigs for breeding","State",99646
"291","1955","Pigs for breeding","State",81767
"292","1960","Pigs for breeding","State",112065
"293","1965","Pigs for breeding","State",142842
"294","1970","Pigs for breeding","State",141571
"295","1975","Pigs for breeding","State",99200
"296","1980","Pigs for breeding","State",120183
"297","1926","Boars for breeding","State",1989
"298","1933","Boars for breeding","State",1897
"299","1955","Boars for breeding","State",1949
"300","1960","Boars for breeding","State",2621
"301","1965","Boars for breeding","State",3577
"302","1970","Boars for breeding","State",2637
"303","1975","Boars for breeding","State",2548
"304","1980","Boars for breeding","State",4145
"305","1926","Sows for breeding","State",93193
"306","1933","Sows for breeding","State",97749
"307","1955","Sows for breeding","State",79818
"308","1960","Sows for breeding","State",109444
"309","1965","Sows for breeding","State",139265
"310","1970","Sows for breeding","State",138934
"311","1975","Sows for breeding","State",96652
