"","Region.and.County","Year","Type.of.Cattle","value"
"1191","Kilkenny","2010","Cattle: 1-2 years",87.1
"1192","Laois","2010","Cattle: 1-2 years",61.7
"1193","West","2010","Cattle: 1-2 years",210.2
"1194","Longford","2010","Cattle: 1-2 years",28
"1195","Southern and Eastern","2010","Cattle: 1-2 years",1002
"1196","Louth","2010","Cattle: 1-2 years",21.6
"1197","Dublin","2010","Cattle: 1-2 years",5.7
"1198","Meath","2010","Cattle: 1-2 years",78.4
"1199","Offaly","2010","Cattle: 1-2 years",65.8
"1200","Mid-West","2010","Cattle: 1-2 years",230
"1201","Westmeath","2010","Cattle: 1-2 years",53.7
"1202","South-East","2010","Cattle: 1-2 years",317.1
"1203","South-West","2010","Cattle: 1-2 years",308.7
"1204","Wexford","2010","Cattle: 1-2 years",65.8
"1205","Wicklow","2010","Cattle: 1-2 years",28
"1206","Clare","2010","Cattle: 1-2 years",56
"1207","Cork","2010","Cattle: 1-2 years",242
"1208","Kerry","2010","Cattle: 1-2 years",66.7
"1209","Limerick","2010","Cattle: 1-2 years",93.1
"1210","North Tipperary","2010","Cattle: 1-2 years",80.9
"1211","South Tipperary","2010","Cattle: 1-2 years",78.3
"1212","Waterford","2010","Cattle: 1-2 years",60.9
"1213","Galway","2010","Cattle: 1-2 years",97.9
"1214","Leitrim","2010","Cattle: 1-2 years",10.5
"1215","Mayo","2010","Cattle: 1-2 years",61.6
"1216","Roscommon","2010","Cattle: 1-2 years",50.8
"1217","Sligo","2010","Cattle: 1-2 years",24.7
"1218","Cavan","2010","Cattle: 1-2 years",49.5
"1219","Donegal","2010","Cattle: 1-2 years",51.6
"1220","Monaghan","2010","Cattle: 1-2 years",52.3
"1221","Dublin plus Mid East","2010","Cattle: 1-2 years",146.2
"1222","State","2011","Cattle: 1-2 years",1528.1
"1223","Carlow","2011","Cattle: 1-2 years",23.5
"1224","Border, Midland and Western","2011","Cattle: 1-2 years",598.4
"1225","Border","2011","Cattle: 1-2 years",202.1
"1226","Kildare","2011","Cattle: 1-2 years",33.2
"1227","Midland","2011","Cattle: 1-2 years",195.4
"1228","Kilkenny","2011","Cattle: 1-2 years",80.9
"1229","Laois","2011","Cattle: 1-2 years",56.7
"1230","West","2011","Cattle: 1-2 years",200.9
"1231","Longford","2011","Cattle: 1-2 years",26.2
"1232","Southern and Eastern","2011","Cattle: 1-2 years",929.7
"1233","Louth","2011","Cattle: 1-2 years",19.9
"1234","Dublin","2011","Cattle: 1-2 years",5.4
"1235","Meath","2011","Cattle: 1-2 years",75.5
"1236","Offaly","2011","Cattle: 1-2 years",60.5
"1237","Mid-West","2011","Cattle: 1-2 years",210.3
"1238","Westmeath","2011","Cattle: 1-2 years",52
"1239","South-East","2011","Cattle: 1-2 years",298.9
"1240","South-West","2011","Cattle: 1-2 years",280.6
"1241","Wexford","2011","Cattle: 1-2 years",63.7
"1242","Wicklow","2011","Cattle: 1-2 years",25.8
"1243","Clare","2011","Cattle: 1-2 years",52.9
"1244","Cork","2011","Cattle: 1-2 years",220.5
"1245","Kerry","2011","Cattle: 1-2 years",60.2
"1246","Limerick","2011","Cattle: 1-2 years",83.3
"1247","North Tipperary","2011","Cattle: 1-2 years",74
"1248","South Tipperary","2011","Cattle: 1-2 years",74.1
"1249","Waterford","2011","Cattle: 1-2 years",56.6
"1250","Galway","2011","Cattle: 1-2 years",92.9
"1251","Leitrim","2011","Cattle: 1-2 years",9.9
"1252","Mayo","2011","Cattle: 1-2 years",58.3
"1253","Roscommon","2011","Cattle: 1-2 years",49.8
"1254","Sligo","2011","Cattle: 1-2 years",23.3
"1255","Cavan","2011","Cattle: 1-2 years",46.7
"1256","Donegal","2011","Cattle: 1-2 years",51.8
"1257","Monaghan","2011","Cattle: 1-2 years",50.6
"1258","Dublin plus Mid East","2011","Cattle: 1-2 years",139.8
"1259","State","2012","Cattle: 1-2 years",1660
"1260","Carlow","2012","Cattle: 1-2 years",24.4
"1261","Border, Midland and Western","2012","Cattle: 1-2 years",640.5
"1262","Border","2012","Cattle: 1-2 years",210
"1263","Kildare","2012","Cattle: 1-2 years",35.2
"1264","Midland","2012","Cattle: 1-2 years",215.1
"1265","Kilkenny","2012","Cattle: 1-2 years",89.6
"1266","Laois","2012","Cattle: 1-2 years",64.5
"1267","West","2012","Cattle: 1-2 years",215.4
"1268","Longford","2012","Cattle: 1-2 years",28.2
"1269","Southern and Eastern","2012","Cattle: 1-2 years",1019.6
"1270","Louth","2012","Cattle: 1-2 years",21.5
"1271","Dublin","2012","Cattle: 1-2 years",6.5
"1272","Meath","2012","Cattle: 1-2 years",80.4
"1273","Offaly","2012","Cattle: 1-2 years",66.8
"1274","Mid-West","2012","Cattle: 1-2 years",235.3
"1275","Westmeath","2012","Cattle: 1-2 years",55.7
"1276","South-East","2012","Cattle: 1-2 years",327.5
"1277","South-West","2012","Cattle: 1-2 years",307.8
"1278","Wexford","2012","Cattle: 1-2 years",69.6
"1279","Wicklow","2012","Cattle: 1-2 years",26.8
"1280","Clare","2012","Cattle: 1-2 years",56
"1281","Cork","2012","Cattle: 1-2 years",243
"1282","Kerry","2012","Cattle: 1-2 years",64.9
"1283","Limerick","2012","Cattle: 1-2 years",95.9
"1284","North Tipperary","2012","Cattle: 1-2 years",83.4
"1285","South Tipperary","2012","Cattle: 1-2 years",82.2
"1286","Waterford","2012","Cattle: 1-2 years",61.8
"1287","Galway","2012","Cattle: 1-2 years",101.1
"1288","Leitrim","2012","Cattle: 1-2 years",9.7
"1289","Mayo","2012","Cattle: 1-2 years",61.7
"1290","Roscommon","2012","Cattle: 1-2 years",52.6
"1291","Sligo","2012","Cattle: 1-2 years",23.8
"1292","Cavan","2012","Cattle: 1-2 years",49.9
"1293","Donegal","2012","Cattle: 1-2 years",50.7
"1294","Monaghan","2012","Cattle: 1-2 years",54.4
"1295","Dublin plus Mid East","2012","Cattle: 1-2 years",148.9
"1296","State","2013","Cattle: 1-2 years",1811
"1297","Carlow","2013","Cattle: 1-2 years",27.6
"1298","Border, Midland and Western","2013","Cattle: 1-2 years",691.8
"1299","Border","2013","Cattle: 1-2 years",226.6
"1300","Kildare","2013","Cattle: 1-2 years",40.4
"1301","Midland","2013","Cattle: 1-2 years",234.9
"1302","Kilkenny","2013","Cattle: 1-2 years",100.9
"1303","Laois","2013","Cattle: 1-2 years",70.2
"1304","West","2013","Cattle: 1-2 years",230.3
"1305","Longford","2013","Cattle: 1-2 years",30.9
"1306","Southern and Eastern","2013","Cattle: 1-2 years",1119.1
"1307","Louth","2013","Cattle: 1-2 years",24.1
"1308","Dublin","2013","Cattle: 1-2 years",7.5
"1309","Meath","2013","Cattle: 1-2 years",87.7
"1310","Offaly","2013","Cattle: 1-2 years",72.9
"1311","Mid-West","2013","Cattle: 1-2 years",255.7
"1312","Westmeath","2013","Cattle: 1-2 years",61
"1313","South-East","2013","Cattle: 1-2 years",362.5
"1314","South-West","2013","Cattle: 1-2 years",335.5
"1315","Wexford","2013","Cattle: 1-2 years",78.4
"1316","Wicklow","2013","Cattle: 1-2 years",29.8
"1317","Clare","2013","Cattle: 1-2 years",63
"1318","Cork","2013","Cattle: 1-2 years",264
"1319","Kerry","2013","Cattle: 1-2 years",71.4
"1320","Limerick","2013","Cattle: 1-2 years",103.2
"1321","North Tipperary","2013","Cattle: 1-2 years",89.5
"1322","South Tipperary","2013","Cattle: 1-2 years",89.7
"1323","Waterford","2013","Cattle: 1-2 years",66
"1324","Galway","2013","Cattle: 1-2 years",108.4
"1325","Leitrim","2013","Cattle: 1-2 years",10.6
"1326","Mayo","2013","Cattle: 1-2 years",66
"1327","Roscommon","2013","Cattle: 1-2 years",55.9
"1328","Sligo","2013","Cattle: 1-2 years",25.8
"1329","Cavan","2013","Cattle: 1-2 years",54
"1330","Donegal","2013","Cattle: 1-2 years",52.4
"1331","Monaghan","2013","Cattle: 1-2 years",59.6
"1332","Dublin plus Mid East","2013","Cattle: 1-2 years",165.5
"1333","State","2010","Cattle male: 1-2 years",760.3
"1334","Carlow","2010","Cattle male: 1-2 years",11.8
"1335","Border, Midland and Western","2010","Cattle male: 1-2 years",291.8
"1336","Border","2010","Cattle male: 1-2 years",94.9
"1337","Kildare","2010","Cattle male: 1-2 years",17
"1338","Midland","2010","Cattle male: 1-2 years",101.2
"1339","Kilkenny","2010","Cattle male: 1-2 years",45.4
"1340","Laois","2010","Cattle male: 1-2 years",32.3
"1341","West","2010","Cattle male: 1-2 years",95.7
"1342","Longford","2010","Cattle male: 1-2 years",14.3
"1343","Southern and Eastern","2010","Cattle male: 1-2 years",468.5
"1344","Louth","2010","Cattle male: 1-2 years",9.9
"1345","Dublin","2010","Cattle male: 1-2 years",2.5
"1346","Meath","2010","Cattle male: 1-2 years",36.7
"1347","Offaly","2010","Cattle male: 1-2 years",31
"1348","Mid-West","2010","Cattle male: 1-2 years",110.1
"1349","Westmeath","2010","Cattle male: 1-2 years",23.6
"1350","South-East","2010","Cattle male: 1-2 years",155.8
"1351","South-West","2010","Cattle male: 1-2 years",134.5
"1352","Wexford","2010","Cattle male: 1-2 years",31.1
"1353","Wicklow","2010","Cattle male: 1-2 years",12
"1354","Clare","2010","Cattle male: 1-2 years",26.3
"1355","Cork","2010","Cattle male: 1-2 years",108.7
"1356","Kerry","2010","Cattle male: 1-2 years",25.8
"1357","Limerick","2010","Cattle male: 1-2 years",42.6
"1358","North Tipperary","2010","Cattle male: 1-2 years",41.2
"1359","South Tipperary","2010","Cattle male: 1-2 years",39.2
"1360","Waterford","2010","Cattle male: 1-2 years",28.3
"1361","Galway","2010","Cattle male: 1-2 years",44.8
"1362","Leitrim","2010","Cattle male: 1-2 years",3.6
"1363","Mayo","2010","Cattle male: 1-2 years",26.3
"1364","Roscommon","2010","Cattle male: 1-2 years",24.7
"1365","Sligo","2010","Cattle male: 1-2 years",10.5
"1366","Cavan","2010","Cattle male: 1-2 years",20.3
"1367","Donegal","2010","Cattle male: 1-2 years",26.7
"1368","Monaghan","2010","Cattle male: 1-2 years",24
"1369","Dublin plus Mid East","2010","Cattle male: 1-2 years",68.2
"1370","State","2011","Cattle male: 1-2 years",673.4
"1371","Carlow","2011","Cattle male: 1-2 years",10.7
"1372","Border, Midland and Western","2011","Cattle male: 1-2 years",267.2
"1373","Border","2011","Cattle male: 1-2 years",88.8
"1374","Kildare","2011","Cattle male: 1-2 years",16.1
"1375","Midland","2011","Cattle male: 1-2 years",90.3
"1376","Kilkenny","2011","Cattle male: 1-2 years",40.4
"1377","Laois","2011","Cattle male: 1-2 years",28
"1378","West","2011","Cattle male: 1-2 years",88.1
"1379","Longford","2011","Cattle male: 1-2 years",12.8
"1380","Southern and Eastern","2011","Cattle male: 1-2 years",406.2
"1381","Louth","2011","Cattle male: 1-2 years",8.8
"1382","Dublin","2011","Cattle male: 1-2 years",1.9
"1383","Meath","2011","Cattle male: 1-2 years",34
"1384","Offaly","2011","Cattle male: 1-2 years",26.8
"1385","Mid-West","2011","Cattle male: 1-2 years",95.1
"1386","Westmeath","2011","Cattle male: 1-2 years",22.7
"1387","South-East","2011","Cattle male: 1-2 years",139.9
"1388","South-West","2011","Cattle male: 1-2 years",108.8
"1389","Wexford","2011","Cattle male: 1-2 years",29
"1390","Wicklow","2011","Cattle male: 1-2 years",10.4
"1391","Clare","2011","Cattle male: 1-2 years",23.9
"1392","Cork","2011","Cattle male: 1-2 years",88.6
"1393","Kerry","2011","Cattle male: 1-2 years",20.2
"1394","Limerick","2011","Cattle male: 1-2 years",35.2
"1395","North Tipperary","2011","Cattle male: 1-2 years",36
"1396","South Tipperary","2011","Cattle male: 1-2 years",34.8
"1397","Waterford","2011","Cattle male: 1-2 years",25
"1398","Galway","2011","Cattle male: 1-2 years",40.9
"1399","Leitrim","2011","Cattle male: 1-2 years",3.3
"1400","Mayo","2011","Cattle male: 1-2 years",23.7
"1401","Roscommon","2011","Cattle male: 1-2 years",23.6
"1402","Sligo","2011","Cattle male: 1-2 years",9.6
"1403","Cavan","2011","Cattle male: 1-2 years",18
"1404","Donegal","2011","Cattle male: 1-2 years",26.2
"1405","Monaghan","2011","Cattle male: 1-2 years",22.9
"1406","Dublin plus Mid East","2011","Cattle male: 1-2 years",62.4
"1407","State","2012","Cattle male: 1-2 years",770.2
"1408","Carlow","2012","Cattle male: 1-2 years",11.6
"1409","Border, Midland and Western","2012","Cattle male: 1-2 years",297.3
"1410","Border","2012","Cattle male: 1-2 years",95.4
"1411","Kildare","2012","Cattle male: 1-2 years",17.5
"1412","Midland","2012","Cattle male: 1-2 years",104.4
"1413","Kilkenny","2012","Cattle male: 1-2 years",46.5
"1414","Laois","2012","Cattle male: 1-2 years",34.1
"1415","West","2012","Cattle male: 1-2 years",97.4
"1416","Longford","2012","Cattle male: 1-2 years",14.5
"1417","Southern and Eastern","2012","Cattle male: 1-2 years",472.9
"1418","Louth","2012","Cattle male: 1-2 years",9.8
"1419","Dublin","2012","Cattle male: 1-2 years",2.5
"1420","Meath","2012","Cattle male: 1-2 years",37.9
"1421","Offaly","2012","Cattle male: 1-2 years",31
"1422","Mid-West","2012","Cattle male: 1-2 years",114.1
"1423","Westmeath","2012","Cattle male: 1-2 years",24.8
"1424","South-East","2012","Cattle male: 1-2 years",161.8
"1425","South-West","2012","Cattle male: 1-2 years",127.8
"1426","Wexford","2012","Cattle male: 1-2 years",33
"1427","Wicklow","2012","Cattle male: 1-2 years",11.3
"1428","Clare","2012","Cattle male: 1-2 years",26.5
"1429","Cork","2012","Cattle male: 1-2 years",104.4
"1430","Kerry","2012","Cattle male: 1-2 years",23.4
"1431","Limerick","2012","Cattle male: 1-2 years",44.3
"1432","North Tipperary","2012","Cattle male: 1-2 years",43.3
"1433","South Tipperary","2012","Cattle male: 1-2 years",41.9
"1434","Waterford","2012","Cattle male: 1-2 years",28.8
"1435","Galway","2012","Cattle male: 1-2 years",46.4
"1436","Leitrim","2012","Cattle male: 1-2 years",3
"1437","Mayo","2012","Cattle male: 1-2 years",25.9
"1438","Roscommon","2012","Cattle male: 1-2 years",25.1
"1439","Sligo","2012","Cattle male: 1-2 years",9.9
"1440","Cavan","2012","Cattle male: 1-2 years",20
"1441","Donegal","2012","Cattle male: 1-2 years",26.7
"1442","Monaghan","2012","Cattle male: 1-2 years",26
"1443","Dublin plus Mid East","2012","Cattle male: 1-2 years",69.3
"1444","State","2013","Cattle male: 1-2 years",872.7
"1445","Carlow","2013","Cattle male: 1-2 years",13.6
"1446","Border, Midland and Western","2013","Cattle male: 1-2 years",330.4
"1447","Border","2013","Cattle male: 1-2 years",105.7
"1448","Kildare","2013","Cattle male: 1-2 years",21.1
"1449","Midland","2013","Cattle male: 1-2 years",118.7
"1450","Kilkenny","2013","Cattle male: 1-2 years",54.8
"1451","Laois","2013","Cattle male: 1-2 years",39
"1452","West","2013","Cattle male: 1-2 years",106
"1453","Longford","2013","Cattle male: 1-2 years",16
"1454","Southern and Eastern","2013","Cattle male: 1-2 years",542.3
"1455","Louth","2013","Cattle male: 1-2 years",11.7
"1456","Dublin","2013","Cattle male: 1-2 years",3.2
"1457","Meath","2013","Cattle male: 1-2 years",43
"1458","Offaly","2013","Cattle male: 1-2 years",36.5
"1459","Mid-West","2013","Cattle male: 1-2 years",128.4
"1460","Westmeath","2013","Cattle male: 1-2 years",27.3
"1461","South-East","2013","Cattle male: 1-2 years",184.8
"1462","South-West","2013","Cattle male: 1-2 years",148.7
"1463","Wexford","2013","Cattle male: 1-2 years",38.3
"1464","Wicklow","2013","Cattle male: 1-2 years",13.1
"1465","Clare","2013","Cattle male: 1-2 years",30.8
"1466","Cork","2013","Cattle male: 1-2 years",120.9
"1467","Kerry","2013","Cattle male: 1-2 years",27.8
"1468","Limerick","2013","Cattle male: 1-2 years",50.3
"1469","North Tipperary","2013","Cattle male: 1-2 years",47.3
"1470","South Tipperary","2013","Cattle male: 1-2 years",47
"1471","Waterford","2013","Cattle male: 1-2 years",31.2
"1472","Galway","2013","Cattle male: 1-2 years",50
"1473","Leitrim","2013","Cattle male: 1-2 years",3.6
"1474","Mayo","2013","Cattle male: 1-2 years",28.8
"1475","Roscommon","2013","Cattle male: 1-2 years",27.2
"1476","Sligo","2013","Cattle male: 1-2 years",11
"1477","Cavan","2013","Cattle male: 1-2 years",22.5
"1478","Donegal","2013","Cattle male: 1-2 years",27.9
"1479","Monaghan","2013","Cattle male: 1-2 years",29
"1480","Dublin plus Mid East","2013","Cattle male: 1-2 years",80.3
"1481","State","2010","Cattle female: 1-2 years",871.5
"1482","Carlow","2010","Cattle female: 1-2 years",13.2
"1483","Border, Midland and Western","2010","Cattle female: 1-2 years",337.9
"1484","Border","2010","Cattle female: 1-2 years",115.4
"1485","Kildare","2010","Cattle female: 1-2 years",17
"1486","Midland","2010","Cattle female: 1-2 years",108.1
"1487","Kilkenny","2010","Cattle female: 1-2 years",41.7
"1488","Laois","2010","Cattle female: 1-2 years",29.5
"1489","West","2010","Cattle female: 1-2 years",114.5
"1490","Longford","2010","Cattle female: 1-2 years",13.7
"1491","Southern and Eastern","2010","Cattle female: 1-2 years",533.5
"1492","Louth","2010","Cattle female: 1-2 years",11.7
"1493","Dublin","2010","Cattle female: 1-2 years",3.3
"1494","Meath","2010","Cattle female: 1-2 years",41.7
"1495","Offaly","2010","Cattle female: 1-2 years",34.8
"1496","Mid-West","2010","Cattle female: 1-2 years",119.9
"1497","Westmeath","2010","Cattle female: 1-2 years",30.1
"1498","South-East","2010","Cattle female: 1-2 years",161.3
"1499","South-West","2010","Cattle female: 1-2 years",174.2
"1500","Wexford","2010","Cattle female: 1-2 years",34.7
"1501","Wicklow","2010","Cattle female: 1-2 years",16
"1502","Clare","2010","Cattle female: 1-2 years",29.8
"1503","Cork","2010","Cattle female: 1-2 years",133.3
"1504","Kerry","2010","Cattle female: 1-2 years",40.9
"1505","Limerick","2010","Cattle female: 1-2 years",50.5
"1506","North Tipperary","2010","Cattle female: 1-2 years",39.7
"1507","South Tipperary","2010","Cattle female: 1-2 years",39.1
"1508","Waterford","2010","Cattle female: 1-2 years",32.6
"1509","Galway","2010","Cattle female: 1-2 years",53.1
"1510","Leitrim","2010","Cattle female: 1-2 years",6.9
"1511","Mayo","2010","Cattle female: 1-2 years",35.3
"1512","Roscommon","2010","Cattle female: 1-2 years",26.1
"1513","Sligo","2010","Cattle female: 1-2 years",14.2
"1514","Cavan","2010","Cattle female: 1-2 years",29.3
"1515","Donegal","2010","Cattle female: 1-2 years",24.9
"1516","Monaghan","2010","Cattle female: 1-2 years",28.3
"1517","Dublin plus Mid East","2010","Cattle female: 1-2 years",78.1
"1518","State","2011","Cattle female: 1-2 years",854.7
"1519","Carlow","2011","Cattle female: 1-2 years",12.8
"1520","Border, Midland and Western","2011","Cattle female: 1-2 years",331.2
"1521","Border","2011","Cattle female: 1-2 years",113.3
"1522","Kildare","2011","Cattle female: 1-2 years",17.1
"1523","Midland","2011","Cattle female: 1-2 years",105.1
"1524","Kilkenny","2011","Cattle female: 1-2 years",40.5
"1525","Laois","2011","Cattle female: 1-2 years",28.6
"1526","West","2011","Cattle female: 1-2 years",112.8
"1527","Longford","2011","Cattle female: 1-2 years",13.4
"1528","Southern and Eastern","2011","Cattle female: 1-2 years",523.4
"1529","Louth","2011","Cattle female: 1-2 years",11.1
"1530","Dublin","2011","Cattle female: 1-2 years",3.4
"1531","Meath","2011","Cattle female: 1-2 years",41.5
"1532","Offaly","2011","Cattle female: 1-2 years",33.8
"1533","Mid-West","2011","Cattle female: 1-2 years",115.2
"1534","Westmeath","2011","Cattle female: 1-2 years",29.4
"1535","South-East","2011","Cattle female: 1-2 years",159
"1536","South-West","2011","Cattle female: 1-2 years",171.9
"1537","Wexford","2011","Cattle female: 1-2 years",34.7
"1538","Wicklow","2011","Cattle female: 1-2 years",15.4
"1539","Clare","2011","Cattle female: 1-2 years",29
"1540","Cork","2011","Cattle female: 1-2 years",131.9
"1541","Kerry","2011","Cattle female: 1-2 years",40
"1542","Limerick","2011","Cattle female: 1-2 years",48.2
"1543","North Tipperary","2011","Cattle female: 1-2 years",38
"1544","South Tipperary","2011","Cattle female: 1-2 years",39.3
"1545","Waterford","2011","Cattle female: 1-2 years",31.7
"1546","Galway","2011","Cattle female: 1-2 years",51.9
"1547","Leitrim","2011","Cattle female: 1-2 years",6.6
"1548","Mayo","2011","Cattle female: 1-2 years",34.7
"1549","Roscommon","2011","Cattle female: 1-2 years",26.2
"1550","Sligo","2011","Cattle female: 1-2 years",13.6
"1551","Cavan","2011","Cattle female: 1-2 years",28.7
"1552","Donegal","2011","Cattle female: 1-2 years",25.7
"1553","Monaghan","2011","Cattle female: 1-2 years",27.7
"1554","Dublin plus Mid East","2011","Cattle female: 1-2 years",77.4
"1555","State","2012","Cattle female: 1-2 years",889.8
"1556","Carlow","2012","Cattle female: 1-2 years",12.7
"1557","Border, Midland and Western","2012","Cattle female: 1-2 years",343.2
"1558","Border","2012","Cattle female: 1-2 years",114.5
"1559","Kildare","2012","Cattle female: 1-2 years",17.7
"1560","Midland","2012","Cattle female: 1-2 years",110.7
"1561","Kilkenny","2012","Cattle female: 1-2 years",43.1
"1562","Laois","2012","Cattle female: 1-2 years",30.4
"1563","West","2012","Cattle female: 1-2 years",117.9
"1564","Longford","2012","Cattle female: 1-2 years",13.7
"1565","Southern and Eastern","2012","Cattle female: 1-2 years",546.6
"1566","Louth","2012","Cattle female: 1-2 years",11.6
"1567","Dublin","2012","Cattle female: 1-2 years",4
"1568","Meath","2012","Cattle female: 1-2 years",42.5
"1569","Offaly","2012","Cattle female: 1-2 years",35.8
"1570","Mid-West","2012","Cattle female: 1-2 years",121.2
"1571","Westmeath","2012","Cattle female: 1-2 years",30.9
"1572","South-East","2012","Cattle female: 1-2 years",165.7
"1573","South-West","2012","Cattle female: 1-2 years",180.1
"1574","Wexford","2012","Cattle female: 1-2 years",36.6
"1575","Wicklow","2012","Cattle female: 1-2 years",15.4
"1576","Clare","2012","Cattle female: 1-2 years",29.6
"1577","Cork","2012","Cattle female: 1-2 years",138.6
"1578","Kerry","2012","Cattle female: 1-2 years",41.5
"1579","Limerick","2012","Cattle female: 1-2 years",51.6
"1580","North Tipperary","2012","Cattle female: 1-2 years",40.1
"1581","South Tipperary","2012","Cattle female: 1-2 years",40.3
"1582","Waterford","2012","Cattle female: 1-2 years",33.1
"1583","Galway","2012","Cattle female: 1-2 years",54.7
"1584","Leitrim","2012","Cattle female: 1-2 years",6.6
"1585","Mayo","2012","Cattle female: 1-2 years",35.8
"1586","Roscommon","2012","Cattle female: 1-2 years",27.4
"1587","Sligo","2012","Cattle female: 1-2 years",14
"1588","Cavan","2012","Cattle female: 1-2 years",29.9
"1589","Donegal","2012","Cattle female: 1-2 years",24
"1590","Monaghan","2012","Cattle female: 1-2 years",28.4
"1591","Dublin plus Mid East","2012","Cattle female: 1-2 years",79.6
"1592","State","2013","Cattle female: 1-2 years",938.3
"1593","Carlow","2013","Cattle female: 1-2 years",14
"1594","Border, Midland and Western","2013","Cattle female: 1-2 years",361.4
"1595","Border","2013","Cattle female: 1-2 years",120.8
"1596","Kildare","2013","Cattle female: 1-2 years",19.4
"1597","Midland","2013","Cattle female: 1-2 years",116.2
"1598","Kilkenny","2013","Cattle female: 1-2 years",46.1
"1599","Laois","2013","Cattle female: 1-2 years",31.2
"1600","West","2013","Cattle female: 1-2 years",124.3
"1601","Longford","2013","Cattle female: 1-2 years",14.9
"1602","Southern and Eastern","2013","Cattle female: 1-2 years",576.9
"1603","Louth","2013","Cattle female: 1-2 years",12.4
"1604","Dublin","2013","Cattle female: 1-2 years",4.4
"1605","Meath","2013","Cattle female: 1-2 years",44.7
"1606","Offaly","2013","Cattle female: 1-2 years",36.4
"1607","Mid-West","2013","Cattle female: 1-2 years",127.3
"1608","Westmeath","2013","Cattle female: 1-2 years",33.7
"1609","South-East","2013","Cattle female: 1-2 years",177.6
"1610","South-West","2013","Cattle female: 1-2 years",186.8
"1611","Wexford","2013","Cattle female: 1-2 years",40.1
"1612","Wicklow","2013","Cattle female: 1-2 years",16.7
"1613","Clare","2013","Cattle female: 1-2 years",32.2
"1614","Cork","2013","Cattle female: 1-2 years",143.1
"1615","Kerry","2013","Cattle female: 1-2 years",43.6
"1616","Limerick","2013","Cattle female: 1-2 years",52.9
"1617","North Tipperary","2013","Cattle female: 1-2 years",42.2
"1618","South Tipperary","2013","Cattle female: 1-2 years",42.6
"1619","Waterford","2013","Cattle female: 1-2 years",34.8
"1620","Galway","2013","Cattle female: 1-2 years",58.4
"1621","Leitrim","2013","Cattle female: 1-2 years",6.9
"1622","Mayo","2013","Cattle female: 1-2 years",37.2
"1623","Roscommon","2013","Cattle female: 1-2 years",28.7
"1624","Sligo","2013","Cattle female: 1-2 years",14.8
"1625","Cavan","2013","Cattle female: 1-2 years",31.5
"1626","Donegal","2013","Cattle female: 1-2 years",24.5
"1627","Monaghan","2013","Cattle female: 1-2 years",30.7
"1628","Dublin plus Mid East","2013","Cattle female: 1-2 years",85.2
"1629","State","2010","Cattle: under 1 year",1761.3
"1630","Carlow","2010","Cattle: under 1 year",27.1
"1631","Border, Midland and Western","2010","Cattle: under 1 year",700.1
"1632","Border","2010","Cattle: under 1 year",248.4
"1633","Kildare","2010","Cattle: under 1 year",27.3
"1634","Midland","2010","Cattle: under 1 year",196.2
"1635","Kilkenny","2010","Cattle: under 1 year",87.7
"1636","Laois","2010","Cattle: under 1 year",59
"1637","West","2010","Cattle: under 1 year",255.5
"1638","Longford","2010","Cattle: under 1 year",30.5
"1639","Southern and Eastern","2010","Cattle: under 1 year",1061.1
"1640","Louth","2010","Cattle: under 1 year",19.3
"1641","Dublin","2010","Cattle: under 1 year",5.4
"1642","Meath","2010","Cattle: under 1 year",67
"1643","Offaly","2010","Cattle: under 1 year",55.7
"1644","Mid-West","2010","Cattle: under 1 year",256.1
"1645","Westmeath","2010","Cattle: under 1 year",51
"1646","South-East","2010","Cattle: under 1 year",327.4
"1647","South-West","2010","Cattle: under 1 year",344.3
"1648","Wexford","2010","Cattle: under 1 year",69.2
"1649","Wicklow","2010","Cattle: under 1 year",33.7
"1650","Clare","2010","Cattle: under 1 year",82.3
"1651","Cork","2010","Cattle: under 1 year",257
"1652","Kerry","2010","Cattle: under 1 year",87.3
"1653","Limerick","2010","Cattle: under 1 year",97.6
"1654","North Tipperary","2010","Cattle: under 1 year",76.1
"1655","South Tipperary","2010","Cattle: under 1 year",79.3
"1656","Waterford","2010","Cattle: under 1 year",64.1
"1657","Galway","2010","Cattle: under 1 year",117.4
"1658","Leitrim","2010","Cattle: under 1 year",22.5
"1659","Mayo","2010","Cattle: under 1 year",82.5
"1660","Roscommon","2010","Cattle: under 1 year",55.6
"1661","Sligo","2010","Cattle: under 1 year",34.5
"1662","Cavan","2010","Cattle: under 1 year",61.7
"1663","Donegal","2010","Cattle: under 1 year",57.2
"1664","Monaghan","2010","Cattle: under 1 year",53.2
"1665","Dublin plus Mid East","2010","Cattle: under 1 year",133.3
"1666","State","2011","Cattle: under 1 year",1845.5
"1667","Carlow","2011","Cattle: under 1 year",26.5
"1668","Border, Midland and Western","2011","Cattle: under 1 year",721.3
"1669","Border","2011","Cattle: under 1 year",250.1
"1670","Kildare","2011","Cattle: under 1 year",29.8
"1671","Midland","2011","Cattle: under 1 year",207.1
"1672","Kilkenny","2011","Cattle: under 1 year",91.4
"1673","Laois","2011","Cattle: under 1 year",62.5
"1674","West","2011","Cattle: under 1 year",264.2
"1675","Longford","2011","Cattle: under 1 year",31
"1676","Southern and Eastern","2011","Cattle: under 1 year",1124.2
"1677","Louth","2011","Cattle: under 1 year",19.5
"1678","Dublin","2011","Cattle: under 1 year",5.8
"1679","Meath","2011","Cattle: under 1 year",69.2
