"","Region.and.County","Year","Type.of.Cattle","value"
"355","Clare","2011","Dairy cows",26.5
"356","Cork","2011","Dairy cows",295.3
"357","Kerry","2011","Dairy cows",89.1
"358","Limerick","2011","Dairy cows",100.2
"359","North Tipperary","2011","Dairy cows",50.2
"360","South Tipperary","2011","Dairy cows",70.5
"361","Waterford","2011","Dairy cows",59.2
"362","Galway","2011","Dairy cows",26
"363","Leitrim","2011","Dairy cows",1.8
"364","Mayo","2011","Dairy cows",15.6
"365","Roscommon","2011","Dairy cows",5.3
"366","Sligo","2011","Dairy cows",7.7
"367","Cavan","2011","Dairy cows",31.2
"368","Donegal","2011","Dairy cows",16.3
"369","Monaghan","2011","Dairy cows",30.9
"370","Dublin plus Mid East","2011","Dairy cows",78
"371","State","2012","Dairy cows",1140.8
"372","Carlow","2012","Dairy cows",10.8
"373","Border, Midland and Western","2012","Dairy cows",230.9
"374","Border","2012","Dairy cows",103.3
"375","Kildare","2012","Dairy cows",12.1
"376","Midland","2012","Dairy cows",79
"377","Kilkenny","2012","Dairy cows",62.7
"378","Laois","2012","Dairy cows",29.4
"379","West","2012","Dairy cows",48.6
"380","Longford","2012","Dairy cows",8.2
"381","Southern and Eastern","2012","Dairy cows",910
"382","Louth","2012","Dairy cows",12.6
"383","Dublin","2012","Dairy cows",2.9
"384","Meath","2012","Dairy cows",46.3
"385","Offaly","2012","Dairy cows",21.1
"386","Mid-West","2012","Dairy cows",182.1
"387","Westmeath","2012","Dairy cows",20.2
"388","South-East","2012","Dairy cows",259.2
"389","South-West","2012","Dairy cows",390
"390","Wexford","2012","Dairy cows",53.1
"391","Wicklow","2012","Dairy cows",17.4
"392","Clare","2012","Dairy cows",27.7
"393","Cork","2012","Dairy cows",299.5
"394","Kerry","2012","Dairy cows",90.5
"395","Limerick","2012","Dairy cows",101.5
"396","North Tipperary","2012","Dairy cows",52.9
"397","South Tipperary","2012","Dairy cows",72
"398","Waterford","2012","Dairy cows",60.5
"399","Galway","2012","Dairy cows",26.4
"400","Leitrim","2012","Dairy cows",1.9
"401","Mayo","2012","Dairy cows",16.6
"402","Roscommon","2012","Dairy cows",5.6
"403","Sligo","2012","Dairy cows",7.9
"404","Cavan","2012","Dairy cows",32.4
"405","Donegal","2012","Dairy cows",16.7
"406","Monaghan","2012","Dairy cows",31.8
"407","Dublin plus Mid East","2012","Dairy cows",78.7
"408","State","2013","Dairy cows",1163.2
"409","Carlow","2013","Dairy cows",11.4
"410","Border, Midland and Western","2013","Dairy cows",234.1
"411","Border","2013","Dairy cows",103.3
"412","Kildare","2013","Dairy cows",12.4
"413","Midland","2013","Dairy cows",81.4
"414","Kilkenny","2013","Dairy cows",65.9
"415","Laois","2013","Dairy cows",30.8
"416","West","2013","Dairy cows",49.3
"417","Longford","2013","Dairy cows",8.4
"418","Southern and Eastern","2013","Dairy cows",929.2
"419","Louth","2013","Dairy cows",13.1
"420","Dublin","2013","Dairy cows",2.7
"421","Meath","2013","Dairy cows",46.8
"422","Offaly","2013","Dairy cows",21.9
"423","Mid-West","2013","Dairy cows",184.4
"424","Westmeath","2013","Dairy cows",20.4
"425","South-East","2013","Dairy cows",269.9
"426","South-West","2013","Dairy cows",395.2
